job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数字化技术专家（数字孪生）,某自动化设备公司,40-70K,北京,北京,本科,经验不限,,boss,数字孪生 智慧农业 三维引擎 unity Cesium ThreeJs,数字孪生 智慧农业 三维引擎 unity Cesium ThreeJs,https://www.zhipin.com/job_detail/c74e40a20a26265d03V83dy7EVNS.html
军工销售经理（JG/航天/仿真/数字孪生）,君合创想,15-30K,北京·丰台区·花乡,北京,大专,5-10年,,boss,企业（To B）,企业（To B）,https://www.zhipin.com/job_detail/53d308db09fcb9f803J42tm4F1RY.html
数字孪生项目负责/产品负责人,北京某中型通信/网络设备公司,25-50K,北京,北京,本科,5-10年,,boss,游戏引擎,游戏引擎,https://www.zhipin.com/job_detail/cb0c284a51b931140nF809m6EFBT.html
数字孪生工程师,上元数智,8-9K,北京·朝阳区·高碑店,北京,大专,1-3年,,boss,JavaScript CSS Vue Node.js Java 接受居家办公,JavaScript CSS Vue Node.js Java 接受居家办公,https://www.zhipin.com/job_detail/783cfb18f76fc8600nF53t6-EVVT.html
数字孪生三维重建工程师,百度,25-40K·16薪,北京·海淀区·西二旗,北京,本科,经验不限,,boss,C++ Python PyTorch TensorFlow Redis MySQL 机器学习经验 Linux开发/部署经验,C++ Python PyTorch TensorFlow Redis MySQL 机器学习经验 Linux开发/部署经验,https://www.zhipin.com/job_detail/fc8dd790dcc0e2f11HVy3di9F1tU.html
UEC++工程师（偏数字孪生）,烟台东方瑞创达电...,14-20K·13薪,北京·海淀区·五棵松,北京,本科,经验不限,,boss,C/C++ UE4,C/C++ UE4,https://www.zhipin.com/job_detail/96d1f2dabc5ed3bf0nZ42tS5F1RT.html
数字孪生产品经理,北京玄杉科技有限公司,250-300元/时,北京·大兴区·黄村,北京,学历不限,3-5年,,boss,C端产品 用户/功能产品 内容产品,C端产品 用户/功能产品 内容产品,https://www.zhipin.com/job_detail/a16da699b53bd42103x62dW6EFFX.html
IP数字孪生高级架构人员,某大型信息通信科技公司,20-40K,北京,北京,本科,3-5年,,boss,网络交换技术 Go 网络协议 Python,网络交换技术 Go 网络协议 Python,https://www.zhipin.com/job_detail/4fb1f5b27310bf030nB82tW_EFJQ.html
数字孪生解决方案专家,商询科技,25-35K,北京·朝阳区·左家庄,北京,本科,10年以上,,boss,智慧城市信息化项目 能源信息化项目 售前技术支持经验,智慧城市信息化项目 能源信息化项目 售前技术支持经验,https://www.zhipin.com/job_detail/cc5f489cd7bffa8a0nRz3N-_E1ZS.html
数字孪生产品经理,百度,8-13K,北京·海淀区·上地,北京,本科,经验不限,,boss,G端产品,G端产品,https://www.zhipin.com/job_detail/83d046d2cb9b48b60nBz0t61EltT.html
数字孪生架构师,北京时空体科技,30-50K,北京·丰台区·大红门,北京,本科,5-10年,,boss,微服务架构 分布式技术 平台架构,微服务架构 分布式技术 平台架构,https://www.zhipin.com/job_detail/d75b3697d9ba774e03B83d-5FlRQ.html
数字孪生/工业智能产品经理,信通院,15-20K,北京,北京,硕士,5-10年,,boss,数字孪生 制造,数字孪生 制造,https://www.zhipin.com/job_detail/a9a7a26b36c5eff70nF739m7FVdT.html
3D HUD设计师-数字孪生,影网,15-30K,北京·朝阳区·CBD,北京,本科,3-5年,,boss,交互设计 原型设计 视觉设计 客户端 游戏端 网页端 三维设计 平面设计 图标设计 切图和标注 界面设计 AI InDesign PS,交互设计 原型设计 视觉设计 客户端 游戏端 网页端 三维设计 平面设计 图标设计 切图和标注 界面设计 AI InDesign PS,https://www.zhipin.com/job_detail/65cc87749c491d741Xx52t29FVpU.html
技术型销售工程师,北京星禾航空装备,8-13K,北京·大兴区·亦庄,北京,本科,1-3年,,boss,机械/电子工程相关专业,机械/电子工程相关专业,https://www.zhipin.com/job_detail/6170736043219ce50nF42d-6GVNX.html
数字孪生前端工程师,北京澜境空间科技,8-12K,北京·朝阳区·三里屯,北京,本科,3-5年,,boss,JavaScript Vue 前端开发经验 计算机/软件工程相关专业 接受居家办公,JavaScript Vue 前端开发经验 计算机/软件工程相关专业 接受居家办公,https://www.zhipin.com/job_detail/670635c0df1673b803R909q9F1FT.html
工业数字化产品经理（智能制造）,中科飞思,9-14K·13薪,北京·石景山区·鲁谷,北京,本科,5-10年,,boss,B端产品 AI产品,B端产品 AI产品,https://www.zhipin.com/job_detail/f0cd6f477d94db7e0nJ42d61FlVW.html
工程技术副总经理,某大型投资公司,45-65K·15薪,北京,北京,本科,10年以上,,boss,国企 外企 民企/私企 0-30人 有中高层管理经验 新能源 工程技术,国企 外企 民企/私企 0-30人 有中高层管理经验 新能源 工程技术,https://www.zhipin.com/job_detail/462ff95e3c784c601HR-2tS8FVtR.html
混凝土外加剂售前/售后技术服务工程师,厚德交通,12-20K,北京·通州区·玉桥,北京,大专,3-5年,,boss,无机非金属材料经验 新能源经验 房地产/建筑经验 材料检测经验 材料/产品量产经验 材料合成经验 无机非金属材料相关专业 复合材料相关专业 化学相关专业 减水剂配方调整 外加剂复配 速凝剂 混凝土,无机非金属材料经验 新能源经验 房地产/建筑经验 材料检测经验 材料/产品量产经验 材料合成经验 无机非金属材料相关专业 复合材料相关专业 化学相关专业 减水剂配方调整 外加剂复配 速凝剂 混凝土,https://www.zhipin.com/job_detail/7ca975cdc81cd1e20nR40ty5GVFX.html
