job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
风控算法,百度,80-100K·16薪,北京·海淀区·上地,北京,本科,5-10年,,boss,互联网/AI 内容治理 反作弊 风控治理 技术安全 业务安全,互联网/AI 内容治理 反作弊 风控治理 技术安全 业务安全,https://www.zhipin.com/job_detail/339edc26818f25630nJ50t64FlBS.html
风控算法工程师-国际化,滴滴,25-50K·15薪,北京·昌平区·回龙观,北京,本科,3-5年,,boss,深度学习 反作弊算法 图算法 风控模型,深度学习 反作弊算法 图算法 风控模型,https://www.zhipin.com/job_detail/b256faa8d80e44ed0nRz3t-1GVNY.html
【大量招】风控算法工程师,快手,45-75K·16薪,北京·海淀区·上地,北京,本科,3-5年,,boss,Python Java 计算机相关专业 数学/统计相关专业 风控/安全策略经验 机器学习算法/工程化经验 自然语言处理经验,Python Java 计算机相关专业 数学/统计相关专业 风控/安全策略经验 机器学习算法/工程化经验 自然语言处理经验,https://www.zhipin.com/job_detail/1ae7d007e6e9e60a0nZ-3tm9F1RU.html
【阿里巴巴】反作弊/风控算法工程师,阿里巴巴集团,40-60K·20薪,北京,北京,硕士,3-5年,,boss,分布式训练 自然语言处理算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 广告算法 风控算法 并行计算 优秀开源项目经历 数值计算/力学/物理 发表算法相关优秀论文 行为序列 机器学习 异常检测,分布式训练 自然语言处理算法 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 广告算法 风控算法 并行计算 优秀开源项目经历 数值计算/力学/物理 发表算法相关优秀论文 行为序列 机器学习 异常检测,https://www.zhipin.com/job_detail/a82c5cd5cef90c001X182dm-GFJY.html
风控算法工程师,某大型互联网公司,35-65K,北京,北京,本科,3-5年,,boss,风控/安全策略经验,风控/安全策略经验,https://www.zhipin.com/job_detail/2cbf913aa58170230nR92di9GVdQ.html
风控算法,京东科技,150-200元/天,北京·通州区·马驹桥,北京,本科,,,boss,机器学习 大模型算法 搜索算法 风控算法 其他 Python 大数据处理框架(Spark/Hadoop/Hive) SQL,机器学习 大模型算法 搜索算法 风控算法 其他 Python 大数据处理框架(Spark/Hadoop/Hive) SQL,https://www.zhipin.com/job_detail/6f1a0769845c90d41HN739u5E1NS.html
风控产品经理（交通运输方向）,宏瓴科技,15-30K·14薪,北京·朝阳区·朝外,北京,本科,5-10年,,boss,B端产品 风控产品 风险管理 物流科技 车联网 物联网,B端产品 风控产品 风险管理 物流科技 车联网 物联网,https://www.zhipin.com/job_detail/93369442ec32f8f50nJ62t28GFBU.html
风控运营（交易风控/反作弊）,合正信达,10-11K,北京·昌平区·回龙观,北京,大专,3-5年,,boss,反欺诈 反作弊,反欺诈 反作弊,https://www.zhipin.com/job_detail/58da16ac0991334c0nJ53N6_FFZW.html
风控策略分析师（商用车业务）,北京万联易达网络科技,15-30K,北京·朝阳区·望京,北京,本科,5-10年,,boss,整车租赁 商用车金融 商用车 经营性租赁,整车租赁 商用车金融 商用车 经营性租赁,https://www.zhipin.com/job_detail/428b3e17ff5f2e0d0nF82Nq6EVtW.html
风控算法工程师,金果未来,28-50K·13薪,北京·东城区·朝阳门,北京,本科,3-5年,,boss,英文读写能力良好 机器学习 机器学习算法/工程化经验 计算机相关专业 风控 深度学习算法 Python 风控/反欺诈,英文读写能力良好 机器学习 机器学习算法/工程化经验 计算机相关专业 风控 深度学习算法 Python 风控/反欺诈,https://www.zhipin.com/job_detail/1d74755f3b6725ed1XV40t-1F1tX.html
海外信贷风控,宇创时代,40-60K·13薪,北京·朝阳区·太阳宫,北京,本科,5-10年,,boss,Python 金融机构策略开发/建模经验 风控/安全策略经验 信贷风控 金融风控 风控策略 风控模型 贷前风控,Python 金融机构策略开发/建模经验 风控/安全策略经验 信贷风控 金融风控 风控策略 风控模型 贷前风控,https://www.zhipin.com/job_detail/e75de0aa96a9ff310nBy0tm-GFZY.html
风控算法,北京万联易达科技,25-50K·13薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,风控/安全策略经验 图神经网络 信贷 支付,风控/安全策略经验 图神经网络 信贷 支付,https://www.zhipin.com/job_detail/8a4fd2fad90cdc0e0nZ60t6_EVtR.html
风控算法管理岗,北京某中型知名互联网金融公司,80-110K·15薪,北京,北京,本科,5-10年,,boss,风控/安全策略经验 金融机构策略开发/建模经验,风控/安全策略经验 金融机构策略开发/建模经验,https://www.zhipin.com/job_detail/80d0a29a7b20703003B92du-FVBR.html
蚂蚁集团-机器学习算法(搜索广告推荐风控）,蚂蚁集团,40-60K·16薪,北京·朝阳区·花家地,北京,本科,3-5年,,boss,大模型算法 深度学习 推荐算法 搜索算法 风控算法 分布式训练 参加算法相关竞赛/获奖 发表算法相关优秀论文,大模型算法 深度学习 推荐算法 搜索算法 风控算法 分布式训练 参加算法相关竞赛/获奖 发表算法相关优秀论文,https://www.zhipin.com/job_detail/b355b94e915d59f11HB739m9E1dY.html
风控算法工程师（金融信贷业务线）,柯莱特集团,22-27K,北京·昌平区·回龙观,北京,本科,3-5年,,boss,机器学习 大模型算法 自然语言处理算法 风控算法 Python SQL 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 金融信贷 风险算法,机器学习 大模型算法 自然语言处理算法 风控算法 Python SQL 大数据处理框架(Spark/Hadoop/Hive) 算法工程化经验 金融信贷 风险算法,https://www.zhipin.com/job_detail/f504fe7a4ef376680nJ40tq9EVJQ.html
风控后端开发-互联网/金融背景优先进,某知名互联网公司,60-80K·15薪,北京,北京,本科,经验不限,,boss,KYC 支付 金融北京/大厂背景,KYC 支付 金融北京/大厂背景,https://www.zhipin.com/job_detail/e567ba499fb9a0820nB709y1FlZV.html
风控算法工程师-全额社金,汉克时代,23-27K,北京·昌平区·龙泽,北京,本科,3-5年,,boss,风险 风控 算法 机器学习,风险 风控 算法 机器学习,https://www.zhipin.com/job_detail/4befac3fd17ad5930nFz3ti4F1RZ.html
风控策略运营,某大型互联网公司,30-50K·14薪,北京,北京,本科,5-10年,,boss,大中型企业从业 风险管理体系组建 内部控制/内部审计 账号安全,大中型企业从业 风险管理体系组建 内部控制/内部审计 账号安全,https://www.zhipin.com/job_detail/cacb53d18337db240nVz3N-4FlpQ.html
【急招】风控算法工程师,字节跳动,35-65K·15薪,北京·海淀区·大钟寺,北京,本科,经验不限,,boss,搜索/推荐 风控/反欺诈 语音/图像识别 计算机相关专业 机器学习算法/工程化经验 深度学习经验,搜索/推荐 风控/反欺诈 语音/图像识别 计算机相关专业 机器学习算法/工程化经验 深度学习经验,https://www.zhipin.com/job_detail/b5c4baa0cb90d6371HR83tu1GFRY.html
安全风控高级专家leader，对标互联网P89,某知名互联网公司,80-100K·20薪,北京,北京,本科,5-10年,,boss,风控/安全策略经验 计算机相关专业 金融机构策略开发/建模经验 电商/广告反作弊经验 团队管理经验 本地生活风控 到店到家风控 风控策略 风控算法 交易性业务风控,风控/安全策略经验 计算机相关专业 金融机构策略开发/建模经验 电商/广告反作弊经验 团队管理经验 本地生活风控 到店到家风控 风控策略 风控算法 交易性业务风控,https://www.zhipin.com/job_detail/9d7d5648b1c4716f0nVz3tm7GVVZ.html
