job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI应用工程师/AI产品经理,图灵文化,11-18K,北京·丰台区·成寿寺,北京,本科,经验不限,2026-08-09,boss,"北京图灵文化发展有限公司成立于2005年6月,由人民邮电出版社投资控股,以策划出版高质量的科技书籍为核心业务,主要出版领域包括计算机、电子电气、数学统计、科普数理化和通识课、职业成长发展、产品与设计、前沿科技等,公司以促进科技发展为己任,通过引进国际高水平的教材、专著,以及发掘国内优秀原创作品等手段,为目标读者提供一流的内容。经过15年的发展,图灵公司已经成为计算机出版行业里较有影响的出版单位。公司推出了一系列高质量的畅销技术图书如畅销近百万册《Python编程从入门到实践》、《第一行代码》、《JavaScript高级程序设计》、《算法》《写给大家看的设计书》、《黑客与画家》、《信息简史》、《程序员的数学》,还有经典的数学书和科普新知类图书如《番茄工作法图解》、《人工智能简史》,《生命是什么》、《普林斯顿微积分读本》、《不焦虑的数字》、《考试脑科学》、《数学女孩》系列等都已经成为深受广大程序员和科普读者欢迎的经典著作。公司对于信息科学技术和科普新知类图书的发展趋势有较强的把握能力和独到的眼光,出版的科技史、科技文化、人物传记和职业成长类图书独领风骚,及时满足了读者职业发展需要和行业发展需要。在数学方面,公司翻译和挖掘了一大批获菲尔兹奖和沃尔夫奖的数学家的作品,图灵新知的科普品牌有力地开拓了读者的视野。如今,图灵公司每年推出新书150种,怀着“汇集全球智慧,服务中国科技”的理想,图灵公司正一如既往地努力耕耘着。如需对我司有更详细了解可登陆我司网站:www.ituring.com.cn",智能体 Agent AIGC,https://www.zhipin.com/job_detail/835e276c9ae1c73e0nZ53ti7GVFX.html
ai产品经理,海鱼星空,20-40K·15薪,北京·朝阳区·望京,北京,本科,1-3年,,boss,AI真人短剧,AI真人短剧,https://www.zhipin.com/job_detail/5bf8c17139f1fcd503183dS6FVpR.html
AI产品经理（AI Agent）大厂、双休,深圳某大型通信/网络设备公司,15-25K,北京,北京,大专,3-5年,,boss,C端产品 语音类AI 产品需求文档 AI Agent 手机助手 手机行业 语义类AI,C端产品 语音类AI 产品需求文档 AI Agent 手机助手 手机行业 语义类AI,https://www.zhipin.com/job_detail/ab7221b3aba791310nJ62dS7F1RV.html
AI产品经理,工智科技,150-250元/天,北京,北京,本科,,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/581243542376406f0nJ62Ny6EFVU.html
AI产品经理（计算机人工智能专业本硕）,实战云,16-25K,北京·朝阳区·朝外,北京,本科,3-5年,,boss,AI产品技术经验 B端产品 计算机人工智能专业,AI产品技术经验 B端产品 计算机人工智能专业,https://www.zhipin.com/job_detail/45aaf04fc0122e7a03Jz3t-1GVFY.html
ai产品经理,北京妮娅智能科技,25-35K,北京·朝阳区·望京,北京,本科,1-3年,,boss,C端产品 视觉类AI AI图像/视频 海外AI产品,C端产品 视觉类AI AI图像/视频 海外AI产品,https://www.zhipin.com/job_detail/a6e297ae79f22b040nJ52N25FFpZ.html
AI产品经理 AI Agent/用户增长  剪映CapCut,字节跳动,21-26K·15薪,北京·海淀区·中关村,北京,本科,,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/8fcf68ffd92e94fd0nJ43d-6ElBU.html
ai产品经理,京东零售,40-65K·19薪,北京,北京,本科,经验不限,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/8d162e5123296a9c03Nz09m4ElBT.html
AI产品经理,微创软件,9-10K,北京·海淀区·上地,北京,本科,1-3年,,boss,B端产品 语义类AI 视觉类AI 语音类AI AI机器人,B端产品 语义类AI 视觉类AI 语音类AI AI机器人,https://www.zhipin.com/job_detail/2f9851e66d8b8fc40nJ-2920FlFY.html
ai产品经理,知页简历,10-11K,北京·朝阳区·大屯,北京,本科,,,boss,B端产品 C端产品,B端产品 C端产品,https://www.zhipin.com/job_detail/c21a5bcc2054aae3031439S0ElFX.html
AI产品经理,BOSS直聘,30-45K·14薪,北京·朝阳区·西坝河,北京,本科,1-3年,,boss,C端产品 AI产品 策略产品,C端产品 AI产品 策略产品,https://www.zhipin.com/job_detail/427c20461a0fff810nZz3Nu6E1tU.html
ai产品经理,北京瑞麟祥科技,12-22K,北京·石景山区·古城,北京,本科,3-5年,,boss,C端产品 B端产品 视觉类AI 机器学习类AI 语音类AI,C端产品 B端产品 视觉类AI 机器学习类AI 语音类AI,https://www.zhipin.com/job_detail/672a31b22aabfaa60ndz2Ni4FFdZ.html
AI产品经理,淘宝闪购,面议,北京,北京,本科,,,boss,校招,校招,https://www.zhipin.com/job_detail/dcabd69db8d85a910nJ52NW8GFRV.html
AI 产品经理,人瑞网络科技,16-17K,北京·海淀区·上地,北京,大专,3-5年,,boss,B端产品 中后台产品 用户/功能产品 数据产品 AI产品 云计算产品,B端产品 中后台产品 用户/功能产品 数据产品 AI产品 云计算产品,https://www.zhipin.com/job_detail/a5336744bcbfec4b0nFy3Nu_EFVQ.html
AI 产品经理,北京星尘浩宇智能科技,15-30K,北京·东城区·交道口,北京,本科,1-3年,,boss,C端产品 AI产品经理，IAP产品,C端产品 AI产品经理，IAP产品,https://www.zhipin.com/job_detail/987b6c83ac0db1c40nFz09m0E1dR.html
AI产品经理,半人科技,250-300元/天,北京·昌平区·回龙观,北京,本科,,,boss,机器学习类AI C端产品,机器学习类AI C端产品,https://www.zhipin.com/job_detail/d699b598d0dfc24e1HBz0tS1EVZY.html
AI产品经理,易车,20-35K,北京,北京,本科,3-5年,,boss,B端产品 AI直播 AI短视频 AIGC,B端产品 AI直播 AI短视频 AIGC,https://www.zhipin.com/job_detail/7bc6ffd79e201f200nB939y8EltU.html
AI产品经理,数智兴华,200-250元/天,北京·朝阳区·小营,北京,本科,,,boss,B端产品 C端产品 语音类AI 语义类AI 视觉类AI,B端产品 C端产品 语音类AI 语义类AI 视觉类AI,https://www.zhipin.com/job_detail/e5504f77702f2a3c0nF82N2-ElBQ.html
ai产品经理,北京项素云荟餐饮管理,25-30K·14薪,北京·朝阳区·望京,北京,本科,3-5年,,boss,B端产品 视觉类AI 语音类AI,B端产品 视觉类AI 语音类AI,https://www.zhipin.com/job_detail/802d36cb186eb2890nJ-2d21FVtU.html
AI产品经理,今日水印相机,20-30K·14薪,北京·海淀区·上地,北京,本科,1-3年,,boss,C端产品 workflow 语义类AI 语言类AI,C端产品 workflow 语义类AI 语言类AI,https://www.zhipin.com/job_detail/82d173ea38b2ba5003N53NS5EVNW.html
AI产品经理,石识科技人工智能,8-12K,北京·朝阳区·大望路,北京,本科,1-3年,,boss,B端产品 AI产品经理,B端产品 AI产品经理,https://www.zhipin.com/job_detail/38334c8a289571980nJ-2Nm4E1pY.html
ai产品经理,京东集团,50-80K·20薪,北京·大兴区·亦庄,北京,本科,5-10年,,boss,C端产品 大模型 AIGC,C端产品 大模型 AIGC,https://www.zhipin.com/job_detail/ff6a941a67ef2d320nB93967F1NW.html
AI产品经理,冰兰智能,11-20K,北京·朝阳区·望京,北京,本科,经验不限,,boss,语音类AI,语音类AI,https://www.zhipin.com/job_detail/8912d3e9e9c00949031z39y6ElFR.html
AI产品经理（K12教育）,北京北文科技文化发展有限公司,10-15K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,B端产品 C端产品 AI机器人 语音类AI,B端产品 C端产品 AI机器人 语音类AI,https://www.zhipin.com/job_detail/f7af8dacfd941bf70nBz3ty_FFpW.html
AI产品经理(J14889),万联智链,30-50K,北京·朝阳区·望京,北京,本科,3-5年,,boss,AI产品,AI产品,https://www.zhipin.com/job_detail/dc1031eb59c07f860nF92d-6E1tW.html
ai产品经理,北京某中型游戏+社交平台公司,25-45K·14薪,北京,北京,本科,3-5年,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/390d30ad338e94f30nF70t-9F1ZQ.html
ai产品经理,集结号爆量传媒,15-20K,北京·通州区·九棵树,北京,本科,3-5年,,boss,B端产品 C端产品 功能设计 流程设计 产品需求 多模态 ai短剧,B端产品 C端产品 功能设计 流程设计 产品需求 多模态 ai短剧,https://www.zhipin.com/job_detail/116a1fb3a81255591HV92960FFBW.html
AI产品经理,有点牛企业管理咨询,13-18K,北京·东城区·东四,北京,本科,1-3年,,boss,金融 汽车金融 AI Agent,金融 汽车金融 AI Agent,https://www.zhipin.com/job_detail/4dd97bef18a4ff490nFz2Nq7EFZZ.html
AI产品经理,凯禾瑞华,8-12K,北京,北京,大专,经验不限,,boss,机器学习类AI B端产品 C端产品 语义类AI,机器学习类AI B端产品 C端产品 语义类AI,https://www.zhipin.com/job_detail/168ff9846ce4ff500nJ40tu6GVdY.html
AI产品经理,北京珩合科技有限公司,15-30K·14薪,北京·朝阳区·亚运村,北京,本科,3-5年,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/a6ec1a8614b652110nV82t6-GVNU.html
ai产品经理,北京短剧快照科技,20-40K,北京·海淀区·学院路,北京,本科,1-3年,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/256063de04f1860e0nJ62dS1EFNU.html
AI产品经理,伴刻翼,15-25K,北京·朝阳区·劲松,北京,大专,5-10年,,boss,资产评估 C端产品 AI 金融产品,资产评估 C端产品 AI 金融产品,https://www.zhipin.com/job_detail/b3d2c5f0119700c80nJ50t64GVtQ.html
AI产品经理,江苏光晟融合智能技术,15-18K,北京·朝阳区·望京,北京,本科,1-3年,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/142f98f2a982b81e0nJ63Nq-EFZX.html
AI产品经理,大智作,20-30K,北京·朝阳区·四惠,北京,本科,1-3年,,boss,C端产品 B端产品 直播/视频产品 AIGC产品,C端产品 B端产品 直播/视频产品 AIGC产品,https://www.zhipin.com/job_detail/3ea841966ddf60a00nJ42t-0EFVQ.html
ai产品经理,炅炅有神,15-25K,北京·海淀区·清河,北京,本科,1年以内,,boss,C端产品 Agent 多Agent,C端产品 Agent 多Agent,https://www.zhipin.com/job_detail/e95013577aaf55e40nF50tm5GVBY.html
AI产品经理,北京极致上下文科技,25-50K·15薪,北京·朝阳区·望京,北京,本科,1-3年,,boss,C端产品 视觉类AI,C端产品 视觉类AI,https://www.zhipin.com/job_detail/22f87d8b3bbb715b0nZy0ty6EVNT.html
ai产品经理,未必然,10-15K,北京·朝阳区·望京,北京,本科,1-3年,,boss,B端产品 视觉类AI,B端产品 视觉类AI,https://www.zhipin.com/job_detail/545f8afa5d3efc870nF92NW_FFRW.html
AI产品经理,中博长鸿,5-8K,北京·通州区·新华大街,北京,本科,1-3年,,boss,B端产品 AI员工 AI获客 AI智能体,B端产品 AI员工 AI获客 AI智能体,https://www.zhipin.com/job_detail/502bf5d01f6724130nF909u5FFBX.html
ai产品经理,东风汽车集团股份...,20-40K,北京·海淀区·万柳,北京,本科,3-5年,,boss,C端产品 语音类AI 视觉类AI 机器学习类AI 智能汽车 语义类AI 车载多模态 智能座舱,C端产品 语音类AI 视觉类AI 机器学习类AI 智能汽车 语义类AI 车载多模态 智能座舱,https://www.zhipin.com/job_detail/3b1183079841cc8b0nF60921EVJU.html
AI产品经理,上海能良,25-35K,上海·宝山区·顾村,上海,本科,3-5年,,boss,语音类AI 视觉类AI C端产品 B端产品 智能穿戴 语义类AI 智能家居,语音类AI 视觉类AI C端产品 B端产品 智能穿戴 语义类AI 智能家居,https://www.zhipin.com/job_detail/c0674b817dd713360nF_2Ni0GFBZ.html
ai产品经理,皓翰同辉,100-150元/天,上海·浦东新区·金桥,上海,本科,,,boss,AI机器人,AI机器人,https://www.zhipin.com/job_detail/950e500c4810ace10nF_2d26EFBU.html
ai产品经理,百秋尚美,23-45K·14薪,上海·长宁区·北新泾,上海,本科,5-10年,,boss,AI机器人,AI机器人,https://www.zhipin.com/job_detail/94f4485e6d4268630nF43d21FltV.html
ai产品经理,上海连盛信息科技,30-40K,上海·黄浦区·人民广场,上海,本科,,,boss,机器学习类AI B端产品 C端产品 AI机器人 智能医疗 AI芯片 视觉类AI 语义类AI,机器学习类AI B端产品 C端产品 AI机器人 智能医疗 AI芯片 视觉类AI 语义类AI,https://www.zhipin.com/job_detail/9390bd290cdae4100nR93du6EFFS.html
AI产品经理(Agent方向）,MiniMax,30-50K·16薪,上海·徐汇区·漕河泾,上海,本科,3-5年,,boss,C端产品 AI产品,C端产品 AI产品,https://www.zhipin.com/job_detail/5ea7cd5679df9bba0nF-3dS0GVVS.html
AI产品经理,淘宝闪购,面议,上海,上海,本科,,,boss,校招,校招,https://www.zhipin.com/job_detail/0fdede64e02935fc0nJ52NW8GFVQ.html
AI产品经理,Inspire Group,30-50K·14薪,上海·长宁区·中山公园,上海,学历不限,5-10年,,boss,B端产品 智能医疗,B端产品 智能医疗,https://www.zhipin.com/job_detail/89aca718af7a68ea0nB42tS1EVNS.html
AI产品经理,杭州翼镜文化科技,16-30K,上海·普陀区·曹杨,上海,本科,1-3年,,boss,agent C端产品 ai产品 互联网产品 openclaw,agent C端产品 ai产品 互联网产品 openclaw,https://www.zhipin.com/job_detail/f2e25041520aa05f0nd-3dW5EFNV.html
AI 产品经理,蘑星科技,8-13K,上海·闵行区·老闵行,上海,本科,1-3年,,boss,B端产品 C端产品,B端产品 C端产品,https://www.zhipin.com/job_detail/b50433b9a11bd69b0nJ42di1F1dT.html
AI产品经理,声网,25-45K·13薪,上海·杨浦区·五角场,上海,本科,经验不限,,boss,语义类AI,语义类AI,https://www.zhipin.com/job_detail/ee6f09619bac04f403d40tq1FVtX.html
ai产品经理,华住酒店集团,30-60K,上海·嘉定区·江桥,上海,本科,3-5年,,boss,C端产品 酒店经验 收益管理 AI工程,C端产品 酒店经验 收益管理 AI工程,https://www.zhipin.com/job_detail/92c730976b2153190nFz2Nq9FVtS.html
ai产品经理,海能投顾,40-65K,上海·杨浦区·五角场,上海,本科,经验不限,,boss,机器学习类AI,机器学习类AI,https://www.zhipin.com/job_detail/29abf46c8c7e40c30nJ-29i-EFFS.html
ai产品经理,德勤,18-35K,上海,上海,本科,3-5年,,boss,B端产品 C端产品 Gen AI,B端产品 C端产品 Gen AI,https://www.zhipin.com/job_detail/c107653afba03c690nB83t66EFJS.html
AI产品经理(A107756),链接者集团,20-25K·13薪,上海,上海,本科,经验不限,,boss,B端产品,B端产品,https://www.zhipin.com/job_detail/7a76795baca42dcc0nF929i-GVtU.html
ai产品经理,千匠网络,12-18K,上海,上海,本科,3-5年,,boss,语义类AI,语义类AI,https://www.zhipin.com/job_detail/b8f40c054f8b10ab0nJ43NW6FVJR.html
AI产品经理,上海典论,20-30K·13薪,上海·浦东新区·陆家嘴,上海,本科,5-10年,,boss,机器学习类AI 语音类AI 语义类AI 智能医疗 B端产品,机器学习类AI 语音类AI 语义类AI 智能医疗 B端产品,https://www.zhipin.com/job_detail/9deab2f78d2510f403Z839q0E1NR.html
AI产品经理,某铁路公司,60-75K·15薪,上海,上海,本科,经验不限,,boss,平台架构,平台架构,https://www.zhipin.com/job_detail/cd2dbb41f3df3f870nBz2di4F1BV.html
AI产品经理,悦商科技,15-30K,上海,上海,本科,经验不限,,boss,策略产品经理 B端产品 智能对话 大模型评估 ERP产品/软件产品 SQL调用数据库 AI产品 API接口设计,策略产品经理 B端产品 智能对话 大模型评估 ERP产品/软件产品 SQL调用数据库 AI产品 API接口设计,https://www.zhipin.com/job_detail/2ef533f7179990630nZ_2dS6E1ZU.html
ai产品经理,谈烁,8-13K,上海·浦东新区·张江,上海,本科,1-3年,,boss,C端产品 AI机器人 语音类AI 语义类AI 视觉类AI,C端产品 AI机器人 语音类AI 语义类AI 视觉类AI,https://www.zhipin.com/job_detail/5205cea6d781518503N709q8E1JY.html
ai产品经理,万物智联,20-30K,上海·青浦区·赵巷,上海,本科,3-5年,,boss,B端产品 制造业 mes wms,B端产品 制造业 mes wms,https://www.zhipin.com/job_detail/9d00a5884e437bbc03173Ni6GVBS.html
ai产品经理,上海幻馨智能科技,12-20K·13薪,上海·宝山区·友谊路,上海,本科,3-5年,,boss,C端产品 B端产品 数据产品 中后台产品 策略产品,C端产品 B端产品 数据产品 中后台产品 策略产品,https://www.zhipin.com/job_detail/4c9c962c537832860nF50t-6EVFT.html
ai产品经理,沉浸机遇,200-250元/天,上海,上海,本科,,,boss,C端产品 机器学习类AI 视觉类AI ai沉浸体验娱乐 ai agent vibe coding 龙虾,C端产品 机器学习类AI 视觉类AI ai沉浸体验娱乐 ai agent vibe coding 龙虾,https://www.zhipin.com/job_detail/a58194d8d80fccca0nZ_2ty0GVFV.html
ai产品经理,风火轮萤图,12-18K·14薪,上海·嘉定区·南翔,上海,本科,,,boss,C端产品 ai教育,C端产品 ai教育,https://www.zhipin.com/job_detail/2672f80e8d01b0ff0nRz3dS1FlRZ.html
AI产品经理,上海路客洲域科技,15-28K,上海·青浦区·徐泾,上海,本科,1-3年,,boss,B端产品 C端产品 AI产品经理 AI agent AI工作流,B端产品 C端产品 AI产品经理 AI agent AI工作流,https://www.zhipin.com/job_detail/4c54b559014f41750nF62NS7GFZS.html
AI产品经理（对话AI Agent）,携程集团,30-60K·15薪,上海·长宁区·北新泾,上海,本科,3-5年,,boss,C端产品 语义类AI,C端产品 语义类AI,https://www.zhipin.com/job_detail/f10ab439a66083520nJ52N20FVRW.html
AI产品经理实习生 (欧美AI内容社区),小马星河,300-600元/天,上海·徐汇区·漕河泾,上海,本科,,,boss,C端产品,C端产品,https://www.zhipin.com/job_detail/e7b3590d3106adef03x43N69EFVT.html
AI产品经理,软通动力,20-28K,上海·宝山区·淞南,上海,本科,3-5年,,boss,B端产品 AI,B端产品 AI,https://www.zhipin.com/job_detail/402cbb8fb9b8b7020nJ539u6GVdX.html
AI产品经理,元境生生,25-50K·13薪,上海·徐汇区·徐汇滨江,上海,本科,3-5年,,boss,生成式AI工具 UE引擎及工具 Unity,生成式AI工具 UE引擎及工具 Unity,https://www.zhipin.com/job_detail/626d9e6b2960c05003B80924GFFR.html
座舱AI产品经理（语音方向 ）,某大型知名汽车研发上市公司,30-60K,上海,上海,本科,10年以上,,boss,语音类AI 智能汽车 语义类AI 车载语音 语音交互 大模型应用 语义理解 智能座舱,语音类AI 智能汽车 语义类AI 车载语音 语音交互 大模型应用 语义理解 智能座舱,https://www.zhipin.com/job_detail/592276851a20134b0nF50tm-E1BT.html
