job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据产品经理,湖南卡信,18-25K,北京·海淀区·上地,北京,本科,3-5年,,boss,数据分析 需求分析 产品设计 产品运营 大数据产品 市场调研 TO B SQLite,数据分析 需求分析 产品设计 产品运营 大数据产品 市场调研 TO B SQLite,https://www.zhipin.com/job_detail/beb75ecdef5268910nBy2tW8F1RQ.html
数据产品经理（远程居家办公）,某互联网公司,30-60K·13薪,北京,北京,本科,5-10年,,boss,SQL 内容产品 搜索产品 推荐产品 用户增长 数据分析,SQL 内容产品 搜索产品 推荐产品 用户增长 数据分析,https://www.zhipin.com/job_detail/1cb9335a39ea05d00nZ-09y5E1ZW.html
数据产品经理,vivo,25-50K,北京,北京,本科,3-5年,,boss,平台产品 市场调研 需求分析 数据分析,平台产品 市场调研 需求分析 数据分析,https://www.zhipin.com/job_detail/cd93ac734ff600db1Hx-2dq9FlNX.html
数据产品经理,开科唯识,16-20K,北京·西城区·官园,北京,本科,5-10年,,boss,普惠金融 墨刀 数字人民币 TO B 财富资管、基金、私募 财富 Axure 信托,普惠金融 墨刀 数字人民币 TO B 财富资管、基金、私募 财富 Axure 信托,https://www.zhipin.com/job_detail/460aefb722fbdb741X1y29i5FFdU.html
大数据高级产品经理,一和负一智能科技,30-50K·13薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,商业产品 大数据产品 B端产品 TO B,商业产品 大数据产品 B端产品 TO B,https://www.zhipin.com/job_detail/7bbc585acaf622f003B42NS_FldR.html
数据产品经理,两比特(北京)科...,150-200元/天,北京·朝阳区·望京,北京,本科,,,boss,内容产品 产品设计 大数据产品 需求分析 数据分析 TO B TO C,内容产品 产品设计 大数据产品 需求分析 数据分析 TO B TO C,https://www.zhipin.com/job_detail/68bbb0433b989fde0nZ_29-6GFJZ.html
销售经理（智慧园区/数据产品/政府）,灵犀科技,15-25K,北京·丰台区·六里桥,北京,本科,3-5年,,boss,制定销售策略和目标 客户关系维护 新客户开发,制定销售策略和目标 客户关系维护 新客户开发,https://www.zhipin.com/job_detail/94d2c2833cd528740nB639-8GFNZ.html
数据产品经理,百望股份,25-50K,北京,北京,本科,5-10年,,boss,用户研究 数据分析 TO B Visio 市场调研 产品设计 用户增长,用户研究 数据分析 TO B Visio 市场调研 产品设计 用户增长,https://www.zhipin.com/job_detail/09ee35297fbc38631XR_2ty4F1ZW.html
数据产品经理,山东浪潮数字服务,10-15K,北京·丰台区·花乡,北京,本科,3-5年,,boss,需求分析 数据产品,需求分析 数据产品,https://www.zhipin.com/job_detail/2213adf23c4baba30nJ52N20EFZS.html
数据产品经理,快手,250-300元/天,北京·海淀区·上地,北京,本科,,,boss,大数据产品,大数据产品,https://www.zhipin.com/job_detail/aaeb221c7c0fa8c70nd63Ni0EVRW.html
AI 数据产品经理,某大型计算机服务公司,35-55K·14薪,北京,北京,本科,5-10年,,boss,平台产品 TO B,平台产品 TO B,https://www.zhipin.com/job_detail/aeefd2ea6a655d270nF-3dW8FFBU.html
C端数据产品经理（异地社保）,武汉中科铭天,11-12K,北京·海淀区·上地,北京,本科,3-5年,,boss,数据分析 需求分析 TO C 用户增长,数据分析 需求分析 TO C 用户增长,https://www.zhipin.com/job_detail/1a2e547c570afd700nJ729i0GVZT.html
数据产品经理,北京增强汽车服务...,11-18K,北京·朝阳区·朝外,北京,本科,经验不限,,boss,内容产品 后台产品 搜索产品 B端产品,内容产品 后台产品 搜索产品 B端产品,https://www.zhipin.com/job_detail/e7601447e23928a11HN52d6_ElNV.html
数据产品经理,数洋智慧,15-28K·13薪,北京·海淀区·牡丹园,北京,本科,3-5年,,boss,需求分析 产品设计 墨刀 区块链产品 中台产品 大数据产品 TO G TO B,需求分析 产品设计 墨刀 区块链产品 中台产品 大数据产品 TO G TO B,https://www.zhipin.com/job_detail/43db8bdab81a65f11XR50tW5EFtR.html
数据产品经理,百度,15-17K,北京·海淀区·马连洼,北京,本科,1-3年,,boss,地图导航 大数据 数据分析 数据产品,地图导航 大数据 数据分析 数据产品,https://www.zhipin.com/job_detail/bbadecdb8dc0e52833B-39u-ElU~.html
数据产品经理,北京万联易达科技,25-50K·13薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,数据治理 物流 数据变现 商业化,数据治理 物流 数据变现 商业化,https://www.zhipin.com/job_detail/7c5d7ea246a865990nR_3di9EVpS.html
数据产品运营J12779)外包百度,博彦科技承德有限公司,8-9K,北京·海淀区·上地,北京,大专,经验不限,,boss,业务数据分析 业务模式/运营策略优化 数据分析/商业分析经验 SQL 统计/数学相关专业 计算机相关专业 医疗相关 数据,业务数据分析 业务模式/运营策略优化 数据分析/商业分析经验 SQL 统计/数学相关专业 计算机相关专业 医疗相关 数据,https://www.zhipin.com/job_detail/9edee1fb293179980nJ-2tu4FlZS.html
数据产品经理,理想汽车,20-40K,北京·顺义区·马坡,北京,本科,1-3年,,boss,财务产品 数据分析 TO B SQL,财务产品 数据分析 TO B SQL,https://www.zhipin.com/job_detail/046d6556bbe7b7c81HB509u_GFdX.html
数据产品经理,沃东天骏信息技术,150-200元/天,北京,北京,本科,,,boss,市场调研 大数据产品 商业产品 产品运营 大数据,市场调研 大数据产品 商业产品 产品运营 大数据,https://www.zhipin.com/job_detail/9b29d62c8848c7d41nZ40tS-EFJU.html
平台产品岗-数据产品经理,未蓝医宝,25-30K,北京·朝阳区·望京,北京,本科,5-10年,,boss,平台产品 市场调研 产品设计 用户研究 产品运营 产品/版本迭代 Axure,平台产品 市场调研 产品设计 用户研究 产品运营 产品/版本迭代 Axure,https://www.zhipin.com/job_detail/98cad615587317f30nd52t61ElFX.html
数据产品经理（3.9数据分析）,华能信息,20-40K,北京·朝阳区·太阳宫,北京,本科,10年以上,,boss,市场调研 产品设计 产品运营 数据分析,市场调研 产品设计 产品运营 数据分析,https://www.zhipin.com/job_detail/7543b4d87d5e12fe0nZ60tu7EFVU.html
数据产品经理,元保数科,20-35K·16薪,北京,北京,本科,1-3年,,boss,搜索产品 MySQL 需求分析 产品设计,搜索产品 MySQL 需求分析 产品设计,https://www.zhipin.com/job_detail/88d25c56042606ec0ndz0t-7F1BX.html
数据产品经理,青荣智数,12-16K,北京·丰台区·花乡,北京,大专,10年以上,,boss,SQL 需求分析 后台产品 产品设计 产品/版本迭代 Axure Xmind TO B,SQL 需求分析 后台产品 产品设计 产品/版本迭代 Axure Xmind TO B,https://www.zhipin.com/job_detail/37587f10eaa819f00nZy39y6ElZZ.html
产品经理（数据库运维方向）,中亦科技,30-60K,北京·丰台区·花乡,北京,本科,10年以上,,boss,数据库运维产品设计 数据库优化产品设计 数据库迁移优化设计 新创数据库,数据库运维产品设计 数据库优化产品设计 数据库迁移优化设计 新创数据库,https://www.zhipin.com/job_detail/4f33de3a17b5f0770nFy2t61EFBT.html
数据产品经理,某大型企业服务公司,25-50K·14薪,北京,北京,本科,5-10年,,boss,互联网/AI,互联网/AI,https://www.zhipin.com/job_detail/e02eba78ca68d31e0nV529-6EVJY.html
数据产品经理,字节跳动,35-65K,北京·海淀区·学院路,北京,本科,经验不限,,boss,数据分析 市场调研 产品设计,数据分析 市场调研 产品设计,https://www.zhipin.com/job_detail/0a4195681deb13f303R_3t69ElpW.html
大数据产品经理,一镜山水,18-30K,北京·大兴区·亦庄,北京,本科,3-5年,,boss,大数据产品 智慧城市产品,大数据产品 智慧城市产品,https://www.zhipin.com/job_detail/3733d6e53d8c1b2e1XF50tW-ElNQ.html
数据产品经理 - 财务数据治理 (MJ001550),领创集团,20-35K,北京·朝阳区·望京,北京,本科,3-5年,,boss,需求分析 产品设计,需求分析 产品设计,https://www.zhipin.com/job_detail/09b8eb6eab9ea88c0nF90ti6FFBV.html
数据产品经理 (MJ002672),百融云创,15-25K·15薪,北京·朝阳区·花家地,北京,本科,3-5年,,boss,数据产品 AI产品,数据产品 AI产品,https://www.zhipin.com/job_detail/84075f3509e1901b0nBy39y6EldU.html
数据产品经理,拓尔思,15-22K,北京·海淀区·西三旗,北京,本科,5-10年,,boss,B端产品 需求分析 产品设计 数据分析 TO B,B端产品 需求分析 产品设计 数据分析 TO B,https://www.zhipin.com/job_detail/3206d4e555e10cc60nJ-39S9F1FX.html
数据产品经理,澳文科技,11-15K,北京·丰台区·花乡,北京,大专,3-5年,,boss,C端产品 B端产品 数据产品 电商产品 乳制品,C端产品 B端产品 数据产品 电商产品 乳制品,https://www.zhipin.com/job_detail/a26e1557a3a9fb4b0nZ-09W4EVFU.html
数据产品经理,联想利泰,9-11K,北京·海淀区·苏州桥,北京,大专,经验不限,,boss,SQL 产品设计 产品运营 数据分析,SQL 产品设计 产品运营 数据分析,https://www.zhipin.com/job_detail/c02731dc2f23914e0nJ429y8FFFW.html
数据产品经理（BI可视化·驻场交付）,汇智信通,11-15K,北京·朝阳区·望京,北京,本科,10年以上,,boss,墨刀 大数据产品 需求分析 Visio 产品设计 Axure SQL,墨刀 大数据产品 需求分析 Visio 产品设计 Axure SQL,https://www.zhipin.com/job_detail/e0466d9c24c597ec0nBy39u4EVdU.html
数据产品经理,尽调云,12-18K,北京·房山区·良乡,北京,本科,3-5年,,boss,用户研究 Axure,用户研究 Axure,https://www.zhipin.com/job_detail/1b34fa9f7cbb378f0nBy2dm9FFFZ.html
【急招】HR数据产品方向数据岗/月薪12-16K,平安金服,12-16K·15薪,上海·浦东新区·唐镇,上海,本科,经验不限,,boss,产品运营 数据分析 产品/版本迭代 后台产品 HR数据指标体系搭建 人事业务,产品运营 数据分析 产品/版本迭代 后台产品 HR数据指标体系搭建 人事业务,https://www.zhipin.com/job_detail/b8bd5554e5229e190nJ72t29ElBT.html
数据产品经理实习生,米哈游,500-600元/天,上海·徐汇区·漕河泾,上海,本科,,,boss,用户研究 数据分析 需求分析 市场调研 产品设计,用户研究 数据分析 需求分析 市场调研 产品设计,https://www.zhipin.com/job_detail/a439d8752bcf88cb0nF92d69F1RS.html
数据产品经理-大数据-AI平台产品经理,某大型运营商/增值服务公司,30-50K,上海,上海,本科,3-5年,,boss,数据产品经理 大数据产品经理 大数据平台产品经理 AI平台产品经理 数据产品开发 AI平台产品设计 数据中台产品 数仓产品,数据产品经理 大数据产品经理 大数据平台产品经理 AI平台产品经理 数据产品开发 AI平台产品设计 数据中台产品 数仓产品,https://www.zhipin.com/job_detail/9a9edb31884c27000nBz2ty4GVVR.html
产品经理（数据产品方向）,上海从鲸信息技术,20-40K,上海·长宁区·中山公园,上海,本科,经验不限,,boss,B端产品 数据产品 中后台产品 用户/功能产品,B端产品 数据产品 中后台产品 用户/功能产品,https://www.zhipin.com/job_detail/9916f2eff1df99400nR60tu4GVNQ.html
数据产品经理(大数据平台设计及开发),长春某大型汽车研发/制造上市公司,35-65K,上海,上海,本科,3-5年,,boss,平台产品 市场调研 需求分析 产品运营 数据分析 汽车 数据产品规划设计 数据仓库研发,平台产品 市场调研 需求分析 产品运营 数据分析 汽车 数据产品规划设计 数据仓库研发,https://www.zhipin.com/job_detail/5b76e4fd7b9494890nF539S8EVFS.html
数据产品总监/经理（APP端）,上海能良,25-40K,上海·宝山区·顾村,上海,本科,经验不限,,boss,数据分析 平台产品 C端产品 产品设计 用户增长,数据分析 平台产品 C端产品 产品设计 用户增长,https://www.zhipin.com/job_detail/b62633d54b3473ae0nF909q6FFpY.html
数据产品经理 - 数据平台【北/上/杭】,字节跳动,20-40K,上海·杨浦区·五角场,上海,本科,,,boss,市场调研 产品设计 用户研究 数据分析 TO B,市场调研 产品设计 用户研究 数据分析 TO B,https://www.zhipin.com/job_detail/d66ea4226999329a0nJ52d-4FFBQ.html
大数据产品经理,安永,20-40K,上海·徐汇区·徐汇滨江,上海,本科,5-10年,,boss,大数据产品 中台产品 SQL TO B AI应用,大数据产品 中台产品 SQL TO B AI应用,https://www.zhipin.com/job_detail/8a2f441777a8b4b903Zz3tm7E1RS.html
数据产品经理,上海寻梦,20-40K·16薪,上海,上海,本科,3-5年,,boss,产品设计 数据分析 产品经理,产品设计 数据分析 产品经理,https://www.zhipin.com/job_detail/ea2823230a8488760nF-2ti0F1pZ.html
大数据产品经理,凭安信用,15-30K,上海·长宁区·北新泾,上海,本科,1-3年,,boss,中台产品 大数据产品 需求分析 产品设计 售前产品,中台产品 大数据产品 需求分析 产品设计 售前产品,https://www.zhipin.com/job_detail/ab7e6d4195711cf31n162NW0FlNY.html
数据产品总监,熙软科技,30-50K,上海·闵行区·虹桥,上海,本科,10年以上,,boss,市场调研 产品设计 产品运营 数据分析,市场调研 产品设计 产品运营 数据分析,https://www.zhipin.com/job_detail/404ff5e85d67cca80nFz3di7E1dS.html
大数据软件销售经理,上海钛祺信息技术...,15-30K,上海·嘉定区·安亭,上海,大专,1-3年,,boss,广告 面销/陌拜经验 公关/传媒 会展销售 网络营销经验 电话销售 面销/陌拜 软件/企业服务产品 企业服务 企业（To B） 网络销售 电话销售经验 互联网/科技 电子商务,广告 面销/陌拜经验 公关/传媒 会展销售 网络营销经验 电话销售 面销/陌拜 软件/企业服务产品 企业服务 企业（To B） 网络销售 电话销售经验 互联网/科技 电子商务,https://www.zhipin.com/job_detail/d4454a1f7d3db6580nV82N25EFFS.html
数据产品经理,高顿教育集团,15-30K·13薪,上海,上海,本科,3-5年,,boss,SQL 平台产品 大数据产品 产品设计 产品运营 数据分析 Axure Visio,SQL 平台产品 大数据产品 产品设计 产品运营 数据分析 Axure Visio,https://www.zhipin.com/job_detail/863912154baeb6f31nxy3dS8FFRY.html
华兴证券-零售事业部-数据产品岗,华兴证券,12-20K,上海·虹口区·江湾,上海,本科,3-5年,,boss,MySQL SQL 市场调研 数据分析,MySQL SQL 市场调研 数据分析,https://www.zhipin.com/job_detail/b32552547ad44b380nFz2Ni1EVJX.html
大数据方向-物联网产品经理,某融资租赁,20-35K·16薪,上海,上海,本科,10年以上,,boss,数据产品 物联网产品,数据产品 物联网产品,https://www.zhipin.com/job_detail/612eb6882b2a73310nd72tm4FFtW.html
数据产品经理（医药大数据）,中国医药工业信息中心,18-22K·13薪,上海·静安区·静安寺,上海,本科,5-10年,,boss,数据分析 市场调研 产品设计 AI,数据分析 市场调研 产品设计 AI,https://www.zhipin.com/job_detail/c8c25c75238078a51XF_2ti1E1tW.html
大数据产品经理,朴华瑞阳,20-25K,上海·徐汇区·漕河泾,上海,大专,3-5年,,boss,TO B 市场调研 产品运营 商业地产数据 零售行业数据 用户增长 数据分析 商业产品,TO B 市场调研 产品运营 商业地产数据 零售行业数据 用户增长 数据分析 商业产品,https://www.zhipin.com/job_detail/98cb4c55194efaad0nJ73N2_EFJZ.html
数据产品经理 - 财务数据治理 (MJ001550),领创集团,20-35K,上海·虹口区·江湾,上海,本科,3-5年,,boss,需求分析 产品设计,需求分析 产品设计,https://www.zhipin.com/job_detail/4f8298dce478ece00nF90tm9ElVZ.html
数据产品总监,合合信息,30-40K·13薪,上海·静安区·彭浦镇,上海,本科,5-10年,,boss,产品总监 企业数据 金融 SaaS B端产品 风控 大数据 信用风险管理,产品总监 企业数据 金融 SaaS B端产品 风控 大数据 信用风险管理,https://www.zhipin.com/job_detail/8fd51c80f19c12bf1nRy09u7FVNW.html
ai数据产品经理,某大型汽车研发/制造公司,40-65K·18薪,上海,上海,硕士,10年以上,,boss,数据 AI,数据 AI,https://www.zhipin.com/job_detail/183cd562433633bd0nB_3dW5EVRW.html
商业化数据产品经理,纳纳科技,20-35K·13薪,上海·杨浦区·五角场,上海,本科,3-5年,,boss,B端产品 数据产品,B端产品 数据产品,https://www.zhipin.com/job_detail/b9b719e62301cbe20nR72d61FlRR.html
大数据总监/经理,爱谱华顿,18-30K,上海·浦东新区·航头,上海,本科,5-10年,,boss,数据分析 TO B 平台产品 中台产品 客户端产品,数据分析 TO B 平台产品 中台产品 客户端产品,https://www.zhipin.com/job_detail/0630ecdbb5947d0c031729m9GFJZ.html
大数据商务经理,效科数字科技,18-35K,上海·浦东新区·张江,上海,大专,5-10年,,boss,面销/陌拜 互联网金融 对企业/机构（To B）销售经验 企业（To B） 面销/陌拜经验 金融产品 金融产品销售经验,面销/陌拜 互联网金融 对企业/机构（To B）销售经验 企业（To B） 面销/陌拜经验 金融产品 金融产品销售经验,https://www.zhipin.com/job_detail/5cb79dd6755ed3740nd629u8GVpQ.html
大数据项目经理,中电金信,15-20K,上海,上海,本科,5-10年,,boss,阿里云/华为云 数据开发能力 大数据及云平台 国网电力项目管理经验 国网电力业务经验 数据治理项目经验 AI 电力项目经验,阿里云/华为云 数据开发能力 大数据及云平台 国网电力项目管理经验 国网电力业务经验 数据治理项目经验 AI 电力项目经验,https://www.zhipin.com/job_detail/81d6cd3b3b04c6720nF92Nu5F1JW.html
数据产品经理（工具方向）,澳鹏科技,30-40K,上海,上海,本科,3-5年,,boss,产品/版本迭代 需求分析 TO C TO B 市场调研 标注工具 SQL 数据生产,产品/版本迭代 需求分析 TO C TO B 市场调研 标注工具 SQL 数据生产,https://www.zhipin.com/job_detail/87af17792be81d0f0nd-2Nq-FlZS.html
大数据平台产品经理（京沪）-AI,某大型运营商/增值服务公司,20-35K,上海,上海,本科,3-5年,,boss,中台产品 需求分析 产品设计 用户研究 TO B TO G 数据中台0-1落地,中台产品 需求分析 产品设计 用户研究 TO B TO G 数据中台0-1落地,https://www.zhipin.com/job_detail/79fe7886ca46cd3e0nB62tS-FVpU.html
数据产品经理,广发证券,13-25K,上海·浦东新区·陆家嘴,上海,硕士,经验不限,,boss,中后台产品 金融产品,中后台产品 金融产品,https://www.zhipin.com/job_detail/1a823d4944761aad0nF93926FFBR.html
数据产品,滴滴,35-45K·15薪,上海·静安区·汶水路,上海,学历不限,5-10年,,boss,数据产品,数据产品,https://www.zhipin.com/job_detail/86ff24b62c0fa1660nJ409u0FFRT.html
数据产品PM,雅通数据科技,13-25K,上海·徐汇区·漕河泾,上海,本科,3-5年,,boss,销售支持/交付管理 大数据项目管理经验 软件研发经验 中大型软件项目管理经验 计算机相关专业 实施交付经验 PMP SQL Excel 搜索预测 用户 BI工具,销售支持/交付管理 大数据项目管理经验 软件研发经验 中大型软件项目管理经验 计算机相关专业 实施交付经验 PMP SQL Excel 搜索预测 用户 BI工具,https://www.zhipin.com/job_detail/8af8d819ac608c850nJ629-7ElVV.html
AI产品经理（业务智能与数据产品方向）,贝泰妮集团,17-23K,上海·长宁区·北新泾,上海,本科,5-10年,,boss,数据产品 AI产品,数据产品 AI产品,https://www.zhipin.com/job_detail/cc3560c7a31343a10nJ53NW0FVZV.html
数据产品经理(业务型) - Data,今日头条,25-50K·15薪,上海·杨浦区·新江湾城,上海,本科,经验不限,,boss,数据产品,数据产品,https://www.zhipin.com/job_detail/b735bead3c59643e03Z_3tm-EVFT.html
高级数据产品经理（分析向）(A182990),沐瞳科技,30-50K·16薪,上海,上海,本科,5-10年,,boss,用户研究 数据分析 SQL,用户研究 数据分析 SQL,https://www.zhipin.com/job_detail/a16c131fe2ed151f0nJ63Nm9F1BT.html
产品交付高级经理-数据中心,上海某小型大数据公司,35-45K·14薪,上海,上海,大专,5-10年,,boss,机电 预制化 方舱 产品交付 数据中心,机电 预制化 方舱 产品交付 数据中心,https://www.zhipin.com/job_detail/f4eee359b41f59320nF92d67FlBQ.html
数据产品经理,吉祥航空,15-22K,上海·浦东新区·康桥,上海,本科,5-10年,,boss,数据产品,数据产品,https://www.zhipin.com/job_detail/63856ac9b35ae30d03x53dq-GFFQ.html
数据产品负责人,上海掌之淘信息技术,50-70K,上海·闵行区·虹桥,上海,本科,5-10年,,boss,商业产品 大数据产品 产品价格管理 用户研究 用户增长,商业产品 大数据产品 产品价格管理 用户研究 用户增长,https://www.zhipin.com/job_detail/f462dd78bbaabf2f0nF429W8FVdX.html
数据产品总监（医疗，医药项目背景）,某500强上市公司,90-100K,上海,上海,本科,10年以上,,boss,B端产品 医疗数据产品背景,B端产品 医疗数据产品背景,https://www.zhipin.com/job_detail/bf44dcb2ef8eb16e1X153tq9EFtZ.html
数据产品经理,旗天科技,20-30K,上海·静安区·西藏北路,上海,本科,5-10年,,boss,大数据产品 TO C TO B 使用场景分析 产品设计,大数据产品 TO C TO B 使用场景分析 产品设计,https://www.zhipin.com/job_detail/430a7343ec6b72280nVy3d29FlBV.html
大数据解决方案经理（医疗数据产品）,上海鉴智,15-25K,上海·徐汇区·徐汇滨江,上海,本科,5-10年,,boss,售前产品 市场调研,售前产品 市场调研,https://www.zhipin.com/job_detail/83994ea5cc05339003162di4EldZ.html
产品经理（数据中台）,食亨,25-40K,上海·虹口区·江湾,上海,本科,经验不限,,boss,B端产品 数据产品 中后台产品 数据产品经理 互联网 中台 其他行业,B端产品 数据产品 中后台产品 数据产品经理 互联网 中台 其他行业,https://www.zhipin.com/job_detail/c30197347d13cdca0nR50ty1GFZW.html
交付技术产品经理(laas或大数据)-外包火山,极豆车联网,15-20K,上海·杨浦区·五角场,上海,本科,3-5年,,boss,其他产品方向 云计算产品 laas AWS,其他产品方向 云计算产品 laas AWS,https://www.zhipin.com/job_detail/2091c8bdc6ca87ca0nF92dW0GFBS.html
大数据产品总监,亚朵集团,45-75K·15薪,上海·闵行区·虹桥,上海,本科,5-10年,,boss,产品设计 用户研究 产品运营 用户增长 数据分析,产品设计 用户研究 产品运营 用户增长 数据分析,https://www.zhipin.com/job_detail/a0c2152bd9b1bf320nF53d-_GFFQ.html
产品线经理,某人工智能公司,40-70K·14薪,上海,上海,本科,5-10年,,boss,C端产品 其他行业,C端产品 其他行业,https://www.zhipin.com/job_detail/1e4f0799e56428fb0nB-39W-FVtY.html
数据产品经理（数据应用方向）,上海摩贝,20-30K,上海·闵行区·虹桥,上海,本科,5-10年,,boss,用户研究 商业产品 数据分析 推荐产品,用户研究 商业产品 数据分析 推荐产品,https://www.zhipin.com/job_detail/69910643df544c661XR43d-_E1FW.html
大数据技术经理,南京希才科技有限公司,13-20K,上海·青浦区·赵巷,上海,本科,3-5年,,boss,大数据 政务,大数据 政务,https://www.zhipin.com/job_detail/64d7ee24b3aa7d7a0nFy2Nm5FVVU.html
大数据BI售前方案经理,启高科技,13-22K,上海·闵行区·虹桥,上海,本科,5-10年,,boss,接受出差,接受出差,https://www.zhipin.com/job_detail/ceca19a15cef526203R42t25E1RS.html
大数据产品经理,数据宝,15-20K,上海·徐汇区·漕河泾,上海,本科,3-5年,,boss,SQL 需求分析 大数据产品 产品设计 用户研究 使用场景分析 TO B 数据分析,SQL 需求分析 大数据产品 产品设计 用户研究 使用场景分析 TO B 数据分析,https://www.zhipin.com/job_detail/fa45878e052ecad90nJ42d29F1ZR.html
项目经理--AI大数据金融科技产品,估图数科,8-13K,上海·闵行区·梅陇,上海,本科,1-3年,,boss,咨询 产品管理 实施交付经验 PMP 中大型软件项目管理经验 企业内部技术项目管理 项目管理 计算机相关专业 售前支持经验,咨询 产品管理 实施交付经验 PMP 中大型软件项目管理经验 企业内部技术项目管理 项目管理 计算机相关专业 售前支持经验,https://www.zhipin.com/job_detail/72b63ca972aa9af803V90ti5FFpU.html
数据产品经理,艾瑞数智,9-12K·13薪,上海·徐汇区·漕河泾,上海,本科,经验不限,,boss,SQL 需求分析 数据分析 商业产品,SQL 需求分析 数据分析 商业产品,https://www.zhipin.com/job_detail/1a2d8b863d9169d30nF739q4EFRY.html
数据咨询经理,广州润通商务咨询,6-11K,广州·天河区·体育中心,广州,中专,经验不限,,boss,风险咨询 交付团队 公司内部 金融 数据分析能力,风险咨询 交付团队 公司内部 金融 数据分析能力,https://www.zhipin.com/job_detail/8773e4e112eb74ab0nJ42Ni1EVRZ.html
高级数据产品经理＋周末双休＋五险一金,洋淘海囤,18-30K,广州·天河区·石牌,广州,大专,3-5年,,boss,数据分析 大数据产品,数据分析 大数据产品,https://www.zhipin.com/job_detail/edbbb06c84cecb8a0nJ52N20EFZT.html
AI大数据产品-续约销售-周末双休,RCC瑞达恒,12-24K,广州·越秀区·北京路,广州,大专,1-3年,,boss,销售经验 软件/企业服务产品 企业服务 企业（To B） 客户签约,销售经验 软件/企业服务产品 企业服务 企业（To B） 客户签约,https://www.zhipin.com/job_detail/1a551da514ee82ea03J739y6EVNZ.html
数据产品经理（教育行业·数据应用方向）,君南,12-17K,广州,广州,学历不限,3-5年,,boss,产品设计 用户研究 产品运营 产品/版本迭代 TO B,产品设计 用户研究 产品运营 产品/版本迭代 TO B,https://www.zhipin.com/job_detail/772ef4f887d3aa140nBy3N-_FFdX.html
数据产品经理（工业大数据平台）,软通动力,9-11K,广州·海珠区·琶洲,广州,大专,3-5年,,boss,工业大数据 需求分析 产品设计,工业大数据 需求分析 产品设计,https://www.zhipin.com/job_detail/3247a933d9d3206e0nBy09q1GFBX.html
大数据产品经理（周末双休）,赢商网,15-20K,广州,广州,本科,3-5年,,boss,商业地图数据产品 B端产品 城市地图定制需求 墨刀 大数据产品 TO B 数据应用 商业产品,商业地图数据产品 B端产品 城市地图定制需求 墨刀 大数据产品 TO B 数据应用 商业产品,https://www.zhipin.com/job_detail/d1f0a484e0c5924503d42NW-FVpZ.html
大数据项目经理,闻道一朝,5-10K,广州·黄埔区·大沙,广州,本科,经验不限,,boss,有团队及项目管理经验,有团队及项目管理经验,https://www.zhipin.com/job_detail/22f783ab5e66bc9f0nJ53di_FldW.html
数据产品经理 驻迪拜,温超集团,20-24K·13薪,广州,广州,大专,1-3年,,boss,SQL 数据分析,SQL 数据分析,https://www.zhipin.com/job_detail/18fa084069a430f70nF809y4GFZX.html
大数据产品经理（深圳）,跨越速运,17-20K·14薪,广州·花都区·花山,广州,大专,5-10年,,boss,报表看板,报表看板,https://www.zhipin.com/job_detail/bc3ede53c9f9711a031_2d61F1RV.html
数据产品经理（佛山上班，周末双休）,软通动力,13-14K,广州·番禺区·大石,广州,大专,3-5年,,boss,大数据产品 数据分析 数据中台 BI系统,大数据产品 数据分析 数据中台 BI系统,https://www.zhipin.com/job_detail/6d8acb71462a07b10nJ50t65GVZY.html
