job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
python后端开发工程师,国网信息通信,15-20K,北京·昌平区·天通苑,北京,本科,1-3年,2026-08-12,boss,"位来小猎成立于2018年1月,2019年6月完成A轮融资;聚焦行业精华,利用后发优势,在1年以内成为行业黑马公司。核心团队成员均有十年以上的人力资源经验,具备丰富的人力资源专业知识和项目实践,服务众多500强企业和知名互联网公司。位来小猎掌握专业领域核心资源,团队迅速扩张,以北京为中心,在全国建立了10家分公司及办事处,业务覆盖全国。现有300+名员工,派遣、外包员工10000+名;服务客户包括国家体育总局,百度,网易,物美多点,美团,字节跳动,喜马拉雅,作业帮,得物,VIPKID,瓜子,京东,拼多多,喜茶,中国人保等。位来小猎以互联网为载体,依托于位来小猎平台、微信公众号、入职有赏微信小程序上活跃的海量求职者资源,核心业务包括人才外包、专业招聘、业务外包、转编服务和灵活用工等。服务行业涉及全国各领域,其中包括社交电商,旅游酒店,互联网(教育),新零售,金融和国家单位等。位来小猎以“把求职者的未来当做自己的未来”为核心价值,希望通过我们专业的服务和不懈的努力,帮助求职者找到更合适、更有发展前景的工作,破冰职场迷茫,为未来指引方向。一直以来,位来小猎秉承以专业诚信为核心,在专注人力资源服务的同时,为众多求职者解决就业问题,优质、用心的服务赢得了众多用户的好评与信赖。除此之外,公司还建立了完善的服务体系,为求职者在工作中遇到的所有问题和困难提供指导帮助。我们相信,通过我们的不断努力和追求,一定能够创造我们和求职者更好的未来!",PKI VIPKID,https://www.zhipin.com/job_detail/805a626e1ac454a00nJ60ty-EFdV.html
python实习生,东方耀阳,180-360元/天,北京·西城区·菜市口,北京,大专,,2026-08-12,boss,"岗位职责: 1、参与公司系统平台的开发与维护,协助完成基于Python的技术开发任务; 2、根据指导完成模块代码编写、接口联调及基础功能实现; 3、配合团队进行基础测试、问题排查和文档整理; 4、学习并应用主流开发框架和技术工具,提升开发效率。 任职要求: 1、对Python编程有基本了解,具备一定的代码实践能力; 2、熟悉常用数据结构与算法,能独立完成功能模块的编码; 3、具备良好的逻辑思维能力和问题分析能力; 4、具有较强的学习意愿和团队协作意识,能够适应技术成长要求。",Python Docker Nginx MySQL PostgreSQL Linux开发/部署经验,https://www.zhipin.com/job_detail/4499610674a34cbc0nJ50928GFVS.html
python开发工程师（兼职）,识律科技,5000-20000元/月,北京,北京,大专,经验不限,2026-08-12,boss,"工作周期:长期兼职每周工期:无要求工作时间:不限工作时段:工作日结算方式:月结招聘截止时间:2026-01-03【急招】Python 技术兼职|服务咨询公司稳定项目核心需求:处理多项目技术支持,需熟练使用 Python。适合人群:空窗期技术人才、想增加收入的在职者、base北京。我们优势:项目现金流稳定,不拖欠报酬;多种结薪方式(月结、项目结)老板 + HR 沟通无壁垒,效率高;有转正机会。具体可聊,看到就回~~岗位职责​​1、参与业务模块的 Python 开发工作,负责核心功能代码编写、调试与优化,保障模块功能稳定高效运行。​2、配合技术团队完成需求分析与技术方案设计,基于业务场景选择合适的技术方案,确保开发任务按时交付。​3、参与数据库设计与优化,熟练使用 SQL 语句进行数据查询、更新操作,解决日常开发中的数据处理问题。​4、协助进行代码审查,遵循团队编码规范,提升代码质量,减少潜在 bug,参与项目测试与问题修复工作。​5、跟踪 Python 领域常用技术动态,在团队内分享技术经验,协助沉淀基础开发文档与技术资产。​任职要求​1、本科及以上学历,计算机相关专业优先,3 年以上 Python 开发经验,有 Web 开发或数据处理相关项目经验者优先。​2、熟练掌握 Python 语言基础,熟悉 Django/Flask/FastAPI 中至少一种主流框架,了解 Celery、Redis 等工具的基本使用 / FastAPI 中至少一种主流框架,了解 Celery、Redis 等工具的基本使用​",Python SQL Django Flask FastAPI Redis 技术支持 需求分析 技术方案,https://www.zhipin.com/job_detail/35f0730e74b5971c03172Ny9EVJX.html
Python,营口关羽科技有限公司,26000-95000元/月,北京·丰台区·花乡,北京,本科,5-10年,2026-08-12,boss,"工作周期:长期兼职每周工期:无要求工作时间:不限工作时段:按单安排时间结算方式:完工结招聘截止时间:2027-08-02岗位职责: 1、参与公司核心系统的后端开发与维护,确保系统稳定高效运行; 2、负责基于Python语言的功能模块设计与编码实现,编写可维护、可扩展的代码; 3、与前端及数据库团队协作,完成接口开发与数据交互逻辑实现; 4、持续优化系统性能,提升服务响应速度与处理能力; 任职要求: 1、具备扎实的Python编程基础,熟悉常用数据结构与算法; 2、熟悉主流Web开发框架,能够独立完成模块开发任务; 3、了解数据库基本操作,能进行常规的数据读写与优化; 4、具备良好的逻辑思维能力和团队协作意识,责任心强;",Python Java C++ C PHP Django Scrapy Docker Nginx Redis Oracle MongoDB HBase,https://www.zhipin.com/job_detail/e0599efa739985a00nB839-1FlRZ.html
Python 线上面试  2-4月年终 双休六险一金,华为,18-35K·14薪,北京·海淀区·西北旺,北京,本科,经验不限,2026-08-12,boss,"华为技术有限公司成立于1987年,总部位于中国深圳,是一家全球领先的ICT(信息与通信技术)基础设施和智能终端提供商。华为的业务涵盖了多个领域,包括运营商网络、企业解决方案、消费者业务(如智能手机、个人电脑和平板电脑)、华为云、数字能源以及智能汽车解决方案等。华为拥有约20.7万名员工,业务遍及全球170多个国家和地区,服务着全球超过30亿的人口。公司始终坚持创新驱动发展战略,致力于将数字世界带入每个人、每个家庭、每个组织,构建万物互联的智能世界。华为的核心产品和服务包括:- **通信网络**:提供先进的无线和有线网络解决方案。- **IT**:为企业提供数据中心、存储、服务器等IT基础设施。- **智能终端**:生产销售智能手机、平板电脑、笔记本电脑等消费电子产品。- **华为云**:为企业和个人用户提供云计算服务。- **数字能源**:专注于清洁能源和能源管理解决方案。- **智能汽车解决方案**:开发智能网联汽车相关的技术和产品。华为的创始人兼首席执行官是任正非,现任董事长为梁华。公司自成立以来,不断突破技术瓶颈,在多个领域取得了显著成就。例如,1993年推出的C&C08数字程控交换机标志着华为技术积累的开端;2004年成立的海思半导体推出了多款芯片,支持了华为手机业务的发展;2019年发布的鸿蒙操作系统进一步推动了全场景智慧体验的发展。在5G领域,华为自2013年启动相关项目以来,与全球多家运营商合作,推动了5G商用化进程。截至2022年10月,全球已有230多家运营商推出了5G商用服务,部署了超过300万个5G站点,5G用户达到7亿。尽管面临外部挑战,华为依然凭借持续的研发投入和创新能力实现了业务增长。2024年前三季度,华为销售额达到5859亿元人民币,净利润为628.7亿元人民币,研发费用高达1274.12亿元人民币,占营收比例达到21.75%。这些成绩主要得益于消费者业务的复苏,以及智能汽车、华为云、数字能源等新业务的快速发展。未来,华为将继续加大研发投入,探索前沿技术,推动行业发展,为全球客户提供更优质的产品和服务。",Java C++ C 云计算经验 Linux开发/部署经验 Python,https://www.zhipin.com/job_detail/5b020000af11a67d03V72dm-E1ZX.html
python开发,华为,18-35K·14薪,北京·海淀区·上地,北京,本科,经验不限,2026-08-12,boss,"华为技术有限公司成立于1987年,总部位于中国深圳,是一家全球领先的ICT(信息与通信技术)基础设施和智能终端提供商。华为的业务涵盖了多个领域,包括运营商网络、企业解决方案、消费者业务(如智能手机、个人电脑和平板电脑)、华为云、数字能源以及智能汽车解决方案等。华为拥有约20.7万名员工,业务遍及全球170多个国家和地区,服务着全球超过30亿的人口。公司始终坚持创新驱动发展战略,致力于将数字世界带入每个人、每个家庭、每个组织,构建万物互联的智能世界。华为的核心产品和服务包括:- **通信网络**:提供先进的无线和有线网络解决方案。- **IT**:为企业提供数据中心、存储、服务器等IT基础设施。- **智能终端**:生产销售智能手机、平板电脑、笔记本电脑等消费电子产品。- **华为云**:为企业和个人用户提供云计算服务。- **数字能源**:专注于清洁能源和能源管理解决方案。- **智能汽车解决方案**:开发智能网联汽车相关的技术和产品。华为的创始人兼首席执行官是任正非,现任董事长为梁华。公司自成立以来,不断突破技术瓶颈,在多个领域取得了显著成就。例如,1993年推出的C&C08数字程控交换机标志着华为技术积累的开端;2004年成立的海思半导体推出了多款芯片,支持了华为手机业务的发展;2019年发布的鸿蒙操作系统进一步推动了全场景智慧体验的发展。在5G领域,华为自2013年启动相关项目以来,与全球多家运营商合作,推动了5G商用化进程。截至2022年10月,全球已有230多家运营商推出了5G商用服务,部署了超过300万个5G站点,5G用户达到7亿。尽管面临外部挑战,华为依然凭借持续的研发投入和创新能力实现了业务增长。2024年前三季度,华为销售额达到5859亿元人民币,净利润为628.7亿元人民币,研发费用高达1274.12亿元人民币,占营收比例达到21.75%。这些成绩主要得益于消费者业务的复苏,以及智能汽车、华为云、数字能源等新业务的快速发展。未来,华为将继续加大研发投入,探索前沿技术,推动行业发展,为全球客户提供更优质的产品和服务。",华为云 鸿蒙 5G IT,https://www.zhipin.com/job_detail/158653b26e01abf90nF839-9FlZX.html
python,深澜智远,200-400元/天,北京,北京,本科,,2026-08-12,boss,"岗位职责: 1. 参与软件系统的设计与开发,推动技术方案在实际业务场景中的落地; 2. 负责功能模块的编码实现,完成系统核心逻辑的构建与优化; 3. 参与系统的迭代维护,提升程序的稳定性、性能表现与可扩展性; 4. 根据项目需求进行技术调研,探索新技术在工程实践中的可行性; 任职要求: 1. 具备扎实的编程基础,熟练掌握Python等主流编程语言; 2. 熟悉常见数据结构与算法,具备良好的代码设计能力; 3. 具备一定的系统分析和问题解决能力,能独立完成开发任务; 4. 拥有良好的团队协作意识,能够高效配合团队推进项目进展; 5. 具备持续学习能力,愿意主动探索技术前沿并应用于实际工作。",Django MySQL Redis Python Flask,https://www.zhipin.com/job_detail/e97e065ecefa3da20nB42t-1FFpY.html
高级python工程师,Topline尚诚同力,500-700元/天,北京·朝阳区·太阳宫,北京,大专,3-5年,2026-08-12,boss,"尚诚同力(Topline)秉承以先进表达,为客户创造可持续的商业价值的使命,矢志成为营销创新引领者与商业文明推动者。Topline从2020年之后,逐渐发展出了基于“理解时代,读懂中国“为核心的专业体系,长期跟踪研究包括综合语境、社会阶层、社会周期、叙事形态、故事建构、流量趋势等专业领域,以及长期跟踪研究典型企业的品牌与业务动态,提供基于认知管理的全链路传播解决方案,帮助企业塑造中国市场的社会角色和社会关系,提高市场竞争力。 在战略层,提供围绕社会语境洞察与顶层传播设计的咨询服务,如企业社会认知诊断、企业社会形象塑造、企业故事与体系构建、企业叙事体系构建等; 在策略层,提供认知策略与内容系统的构建服务,如企业传播规划、企业家社会化形象管理、产品营销专项规划、技术品牌创建以及落地规划、舆情攻防体系设计等; 在执行层,提供从传播素材制作到传播话题落地的表达与沟通服务,从媒体投放到产品种草与技术开发的资源,以及AI等传播技术服务,提供从媒介资源管理、AI技术加持,项目管理,到舆情口碑工作的综合落地服务。Topline主要服务于3C、科技、互联网、新能源出行、快消领域的领袖型企业与快速成长型企业,是国内智能硬件、互联网市场较为头部的营销服务商之一。 在3C智能硬件领域:尚诚自2011年起便参与到华为终端的传播服务中,助力华为从千元机到高端旗舰产品的发展历程;以及原生鸿蒙操作系统问世之战,Pura品牌焕新升级之战;2020年8月开始全面支持OPPO的传播体系的构建以及传播战略的制定,推动OPPO在新市场环境中重建社会认知。 在互联网领域:尚诚为包括淘宝、天猫、饿了么、钉钉、蚂蚁在内的阿里系;抖音、巨量引擎在内的字节系;外卖、酒旅在内的美团系;以及小红书、百度、腾讯等企业,提供从策略规划到内容与资源落地的整合营销服务。 在快消领域:还为麦当劳、蒙牛、蕉内、汤臣倍健等一线品牌提供品牌的社会角色塑造,基于实效营销的小红书种草、新媒体投放、直播等服务。 在新能源出行领域:为小鹏、理想汽车、地平线等品牌提供基于时代语境的社会化传播;为雅迪等品牌提供从冠能旗舰产品,到品牌大事件的全案传播。公司总部位于北京,在上海、深圳、重庆、杭州都设立有分公司,并在班加罗尔设立有海外办公室。",MySQL Python Flask,https://www.zhipin.com/job_detail/dbb38e1e63b4b4280nB42ty6E1VV.html
运维-技术支持（Python）,外企德科数字,8-9K,北京·朝阳区·望京,北京,大专,1-3年,2026-08-12,boss,"早10晚7 双休岗位职责负责反爬日常风险看板、异常波动报警等异常数据风险运营负责反爬智能运营报出异常线索初筛,区分误报、黑灰产、爬虫线索负责反爬各项安全能力指标数据运营,例如都Log、都登录、区间化、Poiid加密等扫描不符合预期的接口确认及修正工作,跟进展负责各业务的反爬客诉处理负责反爬值班基础问题处理岗位基本需求1、专科及以上学历,2年以上工作经验;2、有一定安全技术背景,做过反爬、爬虫、移动安全、入侵检测、数据分析相关工作经验的优先;3、至少熟练使用一种开发语言:java,python等;4、熟练使用Sql4、具备良好的沟通能力和项目推进能力,能主动协调多部门成员,建设项目效果衡量指标,确保方案高效落地。",爬虫经验 MySQL Python,https://www.zhipin.com/job_detail/4a0fff0bcbb5efbc0nJ53964EltW.html
python量化研究员,瑞鑫天算,15-30K,北京·海淀区·车道沟,北京,本科,经验不限,2026-08-12,boss,"岗位职责:1、负责研究机器学习在策略开发上的应用2、利用统计模型、机器学习等方法对多因子进行研究开发以及线性/非线性整合;3、带领团队开发交易策略、进行组合优化研究与归因分析;4、基于另类数据源和海量数据挖掘模型开发新策略任职要求:1、教育背景: 本科数学、统计、物理、计算机理工科专业 最高学历本科及以上,硕士、博士优先2、熟悉统计建模、多元回归、时间序列分析等; 有机器学习特别是深度学习相关经验,熟悉支持向量机、Boosting、 随机森林等算法;掌握Tensorflow/Pytorch;3、能运用数学和统计技术处理复杂的海量数据集; 具备良好的编程技能(如c/c++),并具有使用一个或多个统计软件的经验(如r/matlab),了解一个或多个脚本语言(如python);4、 有股票、期货、外汇等金融投资经验者优先, 有Quant量化平台产品经验的优先,(有相关领域高水平论文发表,有相关领域工作和研究经历更佳)",机器学习 深度学习 TensorFlow PyTorch C++ MATLAB Python,https://www.zhipin.com/job_detail/c11981cf8c29d499031-39i9EFdS.html
python实习生,蔚时科技,240-350元/天,北京·石景山区·鲁谷,北京,本科,,,boss,Docker Django Pandas 机器学习经验 Redis 其他 Numpy Python Flask,Docker Django Pandas 机器学习经验 Redis 其他 Numpy Python Flask,https://www.zhipin.com/job_detail/4cecf3e5f25a69f703Zz09m-FFNS.html
Python（线上面试+14-16薪）,深圳某大型ICT基础设施与智能终端上市公司,15-30K·14薪,北京,北京,本科,经验不限,,boss,PyTorch Docker MySQL Kafka Python,PyTorch Docker MySQL Kafka Python,https://www.zhipin.com/job_detail/e808b9fe8ccc3c880nF72920GFJU.html
Python实习生,北京中胜国建有限公司,4-5K,北京·海淀区·四季青,北京,大专,1-3年,,boss,爬虫经验 MySQL 其他 HTML、CSS、ACCESS 有前端经验/技能 Python,爬虫经验 MySQL 其他 HTML、CSS、ACCESS 有前端经验/技能 Python,https://www.zhipin.com/job_detail/8211ffbe14fe025f0nZ_3tm1GVJR.html
python实习生,智惠启点,200-300元/天,北京·大兴区·亦庄,北京,本科,,,boss,Python Docker MySQL Linux开发/部署经验,Python Docker MySQL Linux开发/部署经验,https://www.zhipin.com/job_detail/2b0de5e1576a77940nFz3tq_E1JT.html
