job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AIGC产品体验官,北京云锦智汇,8-12K,北京·通州区·果园,北京,大专,经验不限,2026-08-07,boss,"岗位职责:深度体验:负责测试和体验最新的大模型产品(如ChatGPT、Kimi、文心一言等),记录使用感受。反馈优化:站在用户角度,提出产品交互和功能上的优化建议,帮助产品经理打磨更好的AI应用。内容产出:基于AI工具生成一些有趣的Prompt(提示词),并整理成案例库。学习成长:参与公司内部AI培训,快速了解AIGC行业动态,从玩家变成半个专家。任职要求(极低门槛版):大专及以上学历,专业不限(设计、传媒、语言类专业加分)。不需要会写代码,不需要AI相关经验。只要你对ChatGPT、AI绘画等新鲜事物有强烈的好奇心和探索欲。日常喜欢刷抖音、小红书,对互联网热点敏感。有耐心,愿意学习,相信AI能改变未来工作方式。福利待遇(吸引点):系统性接触AI,大佬手把手带教,接触行业第一手前沿AI工具;异地但有意向者可提供宿舍或住房补贴。零食饮料、弹性工作、氛围轻松。",大模型 GPT Prompt AIGC 培训 Kimi,https://www.zhipin.com/job_detail/ef04b4a4b1ecf7e30nJ429m8EFFQ.html
AIGC视频生成算法,某大型社交网络与媒体上市公司,20-40K·16薪,北京,北京,硕士,,2026-08-08,boss,"岗位职责1、负责AIGC视觉生成方向的算法探索和落地开发,包括但不限于视频生成、图像编辑、文生图等;2、参与基础模型的框架设计、预训练以及面向实际应用优化等,重点解决低成本、高品质生成、多样性以及可控编辑等关键问题;3、紧跟学术前沿,深入研究视觉生成模型设计和优化的创新方法,全面提升视觉生成模型的生成效果;4、发表高水平学术论文,提升团队在学术界、工业界的技术影响力。岗位要求1、硕士及以上学历,计算机、人工智能、数学等相关专业;2、熟悉AIGC视觉生成的算法原理,具备扎实数理基础,对VAE、扩散模型、ViT等相关技术有理解和经验。熟悉至少一种主流的图像生成框架或算法,如Stable Diffusion、DALL·E、DiT、ControlNet等;3、有技术追求,责任感强,具备较强的学习能力和动手能力,清晰的逻辑思维能力和出色的沟通能力,有强烈的好奇心。加分项:1、具有扎实的图像/视频生成算法基础,在AI领域顶会或期刊有论文发表经历优先;2、在ACM ICPC等竞赛中有获奖经历优先;3、参与知名图像/视频生成开源项目者优先。",AIGC 视频生成 文生图 VAE 图像生成 Stable Diffusion DiT ControlNet,https://www.zhipin.com/job_detail/92addfd9ffc982ed0nFz2dW1FlNX.html
AIGC应用产品专家,火星时代,15-22K,北京·石景山区·鲁谷,北京,本科,1-3年,2026-08-07,boss,"岗位描述:在短剧内容创制、国内&海外短剧发行运营业务中,推动AI/AIGC工具化应用与数据化决策,提升剧本创作、视频生产、后期制作、物料产出、运营营销等环节的生产效率与转化效果,为AI短剧制作团队搭建可持续的短剧AIGC应用能力底座。一、岗位职责1、Al/AIGC短剧业务场景探索协同部门负责人梳理短剧全业务流程,挖掘剧本、分镜、数字人、视频生成、宣发物料、素材管理等环节的AIGC落地机会。针对短剧业务特定环节开展AI工具调研、功能验证、POC试点实施,输出试点结论。2、AI工具试验与适配集成持续跟进全球前沿AI/AIGC工具、插件、开源模型,覆盖文本、图片、视频、音频、数字资产、数据分析类工具。完成工具上手实测、效果评估、成本测算,输出适配短剧生产业务的优化改进方案。参与内部短剧数字资产治理、Lib资产平台维护,优化资产调用、素材复用工作流。3、落地与内部培训支持将验证可行的AIGC工作流程沉淀为SOP、操作手册,赋能编剧、剪辑、后期、运营团队快速上手使用。组织内部小规模培训、实操分享,帮助业务团队在短剧生产日常工作中熟练应用AI工具。4、成果汇报与持续迭代输出AIGC应用研究报告、测试案例、落地效果数据,评估降本增效成果。定期复盘项目落地进度,根据短剧产出质量、业务反馈持续优化AIGC探索方向与工具选型。二、任职要求1、本科及以上学历,专业不限;计算机、数字媒体、影视、新媒体、数据分析等方向优先。2、对AI/AIGC充满热情,具备丰富的AI工具实操经验(如ChatGPT、Midjourney、Runway、StableDiffusion、NotionAl、Claude、Python自动化等)。3、具备快速学习、工具调研、场景分析能力,能独立完成从调研到落地的全过程。4、思维敏捷,善于探索新事物,乐于尝试和失败,在有限资源下找到解决方案。5、有创业公司经验或多任务切换经验者优先。",AIGC 视频生成 GPT Diffusion Python 数据分析 培训,https://www.zhipin.com/job_detail/9da1a5dfd645dfcc0nJ50t-7EFdU.html
AIGC生成师,航天飞控,8-9K,北京·海淀区·西北旺,北京,大专,1-3年,2026-08-09,boss,"【招聘岗位】AIGC生成师【工作地点】北京市海淀区【招聘对象】从事过相关专业经历人员(专科及以上,专业优秀者可放宽至大专学历),能读懂剧本、理解基础镜头语言和运动规律,有相关AIGC实践经历者优先。一、岗位职责- 读懂导演提供的剧本及分镜头脚本,精准把握镜头要求和内容调性。- 熟练运用国内主流视频类/图片类AI大模型(如happy house、即梦、可灵、Nano banana、GPT image2等),输出短剧所需视频片段素材及配套图片素材。- 优化AI提示词(Prompt),调试工具参数,确保素材符合分镜要求、画面连贯统一。- 配合团队完成素材筛选、归档,及时反馈素材制作中的问题并协助调整。二、专业需求(一)专业背景广播电视编导、数字媒体艺术、动画等相关专业,了解基础影视镜头语言和运动规律。(二)核心素养- 能快速读懂剧本和分镜脚本,准确理解导演创作意图,具备基础画面审美。- 对国内视频类AI大模型有学习意愿,了解至少1种主流视频类AI生成工具,愿意快速掌握使用技巧。- 认真负责,注重细节,能按时完成素材输出任务,配合团队高效协作。- 具备基本版权意识,确保生成素材合规,符合公司及平台要求。(三)加分项- 有视频类AI素材生成、短视频制作相关课程实践、毕业设计或实习经历者优先。- 熟练优化AI提示词,能精准把控素材风格与分镜匹配度者优先。三、我们的专属福利- 社会保险、带薪年假、节日福利、下午茶,提供试训转正机会,助力平稳过渡职场。- 扁平化管理,轻松创新氛围,支持个人专业能力提升,优秀者可以作为后备导演团队进行培养。薪酬与激励1. 月度底薪:5000~6000元;五险2. 项目提成:按每部剧核算,提成基数3000元/部起,多劳多得;3. 荣誉奖金:针对新入职员工及进步显著者,设置专项奖励,金额100~800元,按月评定发放。员工福利公司提供常态化团建活动、每日下午茶及免费休闲零食,营造轻松协作的团队氛围",AIGC 大模型 GPT Prompt 合规 Nano,https://www.zhipin.com/job_detail/5e99b2c5dd51dbaa0nF93921FFBQ.html
AIGC 短视频内容负责人,北京一览科技有限公司,20-40K,北京·朝阳区·善各庄,北京,本科,3-5年,2026-08-09,boss,"北京一览科技成立于 2017 年,总部位于北京,在武汉等地设有分公司。创始人罗江春拥有清华大学机械工程及企业管理双学士、美国莱斯大学计算机科学硕士学位,曾是风行在线创始人。作为国内领先的一站式视频解决方案提供商与最大视频内容服务商,公司专注为企业提供视频中台服务,深耕 AI 技术研发与实践,首创 VaaS(Video as a Service,视频即服务)引擎,可满足不同企业场景需求,目前已服务 2000 + 超大型企业,也是国内唯一一家持续多年服务华为、OPPO、vivo、小米四大手机厂商的视频服务商。2022 年 12 月,公司推出视频创作赋能及变现工具 “一览运营宝”,作为 VaaS 引擎产品矩阵的核心工具类软件,承担公司战略 “中间件” 角色;2023 年 3 月,又推出业界首个基于 GPT 大模型的 “文本 + 图片 + 虚拟人” 视频 AIGC 全域工作流,并搭载于 “一览运营宝”,专注服务影视及短视频行业人群,还被量子位智库评为 “中国 AIGC 领域最值得关注的 50 家公司”,作为垂直应用领域代表收录入中国 AIGC 产业全景报告。“一览运营宝” 是搭载 AIGC 的视频工具,由拥有丰富视频行业经验的一览科技研发,为影视娱乐、MCN 短视频、教育培训、广告传媒、电商、游戏等行业的视频团队,提供 AI 编剧、不限速存储下载、素材管理检索、视频协同审阅、视频资产商业化变现等服务。公司对视频未来有两大核心认知:一是内容传播正从图文向视频(尤其短视频)时代转型,二是 AI 技术已达临界点,机器理解视频内容成为可能。基于此,公司正构建庞大的视频语义网络,既助力精准推荐用户偏好内容,也能匹配用户关注的商业信息。发展前景上,公司获顶级 VC 投资,聚焦短视频风口与变现痛点;创始团队经验丰富,以 “靠谱团队做靠谱事” 为理念;且正处人工智能黄金创业期,垂直行业与 AI 的结合有望催生伟大企业。待遇与氛围方面,公司提供媲美 BAT 的薪水及丰厚创业公司股权,缴纳五险一金;工作氛围宽松,员工可接触前端技术、参与高职位同事决策讨论,拥有更多独立性、自主性,还能迎接激动人心的挑战,承担更有价值的责任,获得创造影响与被欣赏的机会。",GPT 大模型 AIGC 培训 AI VaaS Video OPPO,https://www.zhipin.com/job_detail/a391c308972d6b220nB42N67EFZV.html
aigc  公开课IP讲师 欢迎合作,成都燃点未来教育咨询,25-45K,北京·西城区·金融街,北京,本科,3-5年,2026-08-09,boss,"希望打造个人讲师IP,愿意长期参与教育项目共创。我们提供:教育项目资源支持!课程包装、招生运营、直播和短视频内容支持!线下课程、直播课程、公开课等多种合作场景!课酬结算、项目合作、长期共创等灵活合作方式!提供您个人讲师IP打造!【岗位职责】1.负责面aigc艺术教育课程授课2.配合完成正式课程、公开课、直播课等教学工作。3.参与课程体系打磨,包括课程大纲、课件内容、练习方式、教学流程等。4.配合项目进行短视频拍摄、直播公开课、课程宣传内容录制等工作。【任职要求】1.能够配合授课、课程录制或直播安排。2.音乐、播音主持、朗诵、表演、艺术教育等相关专业背景优先。有高校、艺术院校、培训机构、大学、社区教育等教学经验3.能接受镜头表达,愿意参与直播课、短视频拍摄、线上公开课者优先。有个人教学视频、课程案例、公开课经验者优先。更多课程研发中~~~欢迎各位有行业经验的老师交流沟通!!!",培训机构 aigc 有销售经验 线上教育 comfyui 职业与技能培训 美术 特长兴趣 IT培训 课程/课件研发能力 大型教育机构经验 人工智能 有教研经验 外训 ai短剧,https://www.zhipin.com/job_detail/e436a80c802051ff0nJ42tu7ElZY.html
AI 应用开发工程师(全栈)· AIGC 方向,湖北嘉瑞祥科技,15-25K,北京,北京,本科,3-5年,2026-08-08,boss,"【职位描述】1. 对接企业客户的AIGC应用落地场景(如文生图/图生图、文生视频、数字人、多模态内容生成、创意素材批量生产等),独立完成 AI 应用的全栈开发,包括前端交互、后端服务、提示词工程、AIGC 工作流编排(Agent / Workflow / ComfyUI 等)以及生成与推理链路的搭建与改造;2. 对接并集成各类 AI 能力接口(如文生图/文生视频大模型 API、多模态大模型、向量检索、语音合成/识别等),设计并实现高可用的生成推理调用链路,包含重试、超时、降级、限流、熔断等容错机制,保障线上服务稳定性;3. 客户现场独立对客与沟通,理解并拆解客户在内容生成场景下的业务需求,产出高质量的方案与交付材料,保证项目快速推进与客户满意度。【职位要求】1. 5年以上软件开发经验,具备完整的全栈开发能力,熟悉前后端主流技术栈(如 React/Vue + Node.js/TypeScript/Go/Java/Python 等),能独立完成从需求设计到上线的全流程;2. 精通AI应用开发,深入理解大模型应用架构,有对接各类AI接口的实战经验;3. 熟悉主流AIGC生成模型与工具链,如Seedance、Seedream、image2、Diffusion 模型等,熟练使用ComfyUI、Diffusers等生成框架者优先;4. 熟练掌握提示词工程(PE)核心技术,具备图像/视频生成场景下的提示词设计与调优能力,有短漫剧/电商短视频等相关行业经验者优先;5. 熟悉 AI 调用链路的容错与稳定性设计,对重试机制、超时控制、限流降级、熔断、幂等等工程化容错手段有实际落地经验;6. 具备扎实的算法基础与工程能力,熟悉CV/多模态/音视频等至少一个方向的主流模型与原理;理解模型微调(SFT/LoRA)、向量化与检索等关键环节者优先;有大规模多模态数据预处理及模型推理部署经验优先;7. 具备良好的文档撰写能力、逻辑思维能力、语言表达能力、执行力及结果交付能力,能够独立探索并协同解决问题;8. 能够接受长期出差、客户现场驻场。",AIGC 文生图 图生图 多模态 Agent 大模型 高可用 React Vue Node.js TypeScript Go Java Python Diffusion 视频生成 LoRA,https://www.zhipin.com/job_detail/4e24b09a98da94100nFz0tm1E1VX.html
AI/AIGC产品/算法实习生-ChatGPT/NLP方向,北京琥珀范数科技,200-400元/天,北京·朝阳区·西坝河,北京,硕士,,2026-07-10,boss,"职位描述:岗位职责:1. 基于ChatGPT等AI技术,负责B2B电商平台在系统产品、客服交互体验、营销增长等环节功能和应用产品的设计和开发;2. 了解用户需求和用户体验,规划、设计简单易用的产品或功能,包括产品需求分析、竞品分析、技术调研、产品或功能设计;3. 跟进产品上线后的用户反馈,及时调整产品和功能策略和方向,提高产品的用户满意度、用户留存率和销售增长团队业绩;4. 负责电商场景下的个性化大规模预训练语言模型(类ChatGPT)的研发,尝试不同网络结构的设计和优化,负责探索ChatGPT相关算法研究,并应用于实际的产品中;跟踪AI、AIGC、ChatGPT、大模型领域和预训练语言模型相关领域研究动态,具有快速复现及落地的能力;5. 制定公司AIGC相关工作的制作流程、工具使用规范、提高各个团队对AI的使用度和工作效率;6. 进一步面向公司各类业务和运营场景,沉淀共性能力,支撑智能化产品相关算法研发和迭代调优工作;职位要求:1. 对新兴技术和趋势有敏锐的洞察力,有一定的创新思维和商业意识,能够提供新颖的想法和解决方案,以帮助产品保持竞争力。计算机相关专业硕士及以上学历,3-5年相关工作经验,有相关方向论文者优先;2. 对用AI新技术(包含ChatGPT、DALLE、StableDiffusion大模型相关能力)赋能业务提升产品能力和销售业绩有浓厚兴趣,关注科技创新,与我们一起努力,让人们的工作和生活更美好;熟悉并了解AI和AIGC关工具和平台,包括但不限于:ChatGPT、Midioumey、 NovelAl、 Dall-E;3. 熟悉自然语言处理技术,熟悉 LSTM、CNN、RNN、Transformer等基本网络结构,熟悉自然语言处理基本任务,包括但不限于文本分类、机器翻译、摘要生成、问题回答、语言模型,对ChatGPT技术有深刻的理解和实践经验;有机器学习经验优先,具备良好的开发基本功;熟练使用Tensorflow、Pytorch,mindspore等深度学习框架;4. 具有GPT、Google T5、clueAl 等开源模型训练、优化与应用经验者或者对 chatGPT 有跟进和心得者优先;5. 有较好的英文科技文献阅读能力,具备优秀的用户需求分析能力,问题判断和决策能力,以及良好的沟通协调能力,数据分析能力等,有较强的自驱力;6、24届及以后毕业生",机器学习类AI B端产品 视觉类AI 语义类AI,https://www.zhipin.com/job_detail/a7a7dd3c984a9d9c1XN_3t28FVFU.html
AIGC算法,滴滴出行,35-50K·15薪,北京·朝阳区·望京,北京,硕士,1-3年,2026-08-08,boss,"岗位职责:1.负责图像生成相关技术研究,包括文生图基础模型研发,图像编辑技术,图像增强,及图文多模态生成等;2.跟进AIGC算法的最新进展,负责相关技术的研发与工程实现,加速前沿AIGC技术在直播,短视频,即时通信等业务场景的落地与优化;岗位要求:1.计算机视觉/模式识别/机器学习等相关专业硕士、博士;2.在计算机视觉、深度学习、机器学习、计算机图形学等领域有一定的工作经验,熟悉主流模型和算法,能够跟进和实现新的算法;3.较强的工程实现能力,熟练使用至少一种深度学习框架(如tensorflow,pytorch等);4.具有良好的学习能力,团队协作与沟通能力;5.有GAN相关图像生成与编辑、视频编辑、风格迁移、人像编辑等经验的优先;6.有Stable Difffusion,ControlNet,DreamBooth, Lora等经验者优先;7.发表过AI国际知名会议论文或ACM竞赛获奖者优先。",图像生成 文生图 GAN经验优先,https://www.zhipin.com/job_detail/0a8705edccd352e31XNy3d-9FlZW.html
AIGC视频创意制作,影映天下,15-20K,北京·朝阳区·百子湾,北京,本科,1-3年,2026-08-08,boss,"【AIGC 视频创作】精品创意 / 流程量产(二选一投递)我们是一支服务抖音生态的 AIGC 视频团队,同时承接两类活:一类是对外的 AI 宣传片 / TVC、AI 短剧等精品成片;一类是抖音 / 千川的信息流投流素材批量化产出。两类活对人的要求差别很大,所以这次开放两个方向。请对照下面两段,选你更胜任的一个直接投递,投递时在标题注明 A 或 B。方向 A|精品创意执行你负责把一条片子从概念做到能交付的高质量成片,对画面质感、镜头节奏、品牌调性负责。适合投 A,如果你:1.有扎实的分镜和镜头语言功底,能把一个创意拆成可执行的画面序列;2.习惯用结构化提示词控制画面(角色一致性、微表情、运镜、空间关系),而不是靠反复抽卡碰运气;3.熟练使用主流 AI 视频模型(即梦 / Seedance、可灵、Wan 等),能独立完成生成、调整、细节优化;4.后期过硬:PR / AE / 达芬奇 / 剪映,能自己把素材剪成成片,对成片质量负责。 我们看重的不是你会几个工具,而是你能不能稳定地出""看起来是专业团队做的""片子。方向 B|流程化批量产出你负责支撑千川 / 抖音信息流素材的规模化生产,把单条手工活变成可复用、能跑量的流程。适合投 B,如果你:1.有工程化 / 流程化思维,看到重复劳动会想着怎么把它自动化、批量化,而不是一条条手工硬怼;2.熟悉 ComfyUI 工作流搭建与批处理,能独立跑通并优化生产管线;3.懂或愿意深钻素材改写链路:换脸 / 换背景 / 换口播(VACE、SAM2、InfiniteTalk 类工具),理解产品像素锁定这类一致性问题;4.会写 Python,能把脚本和 AI 工作流串起来批量出片(这个方向 Python 接近必备,不是加分)。 我们看重的不是单条片子多惊艳,而是你能不能让""出 100 条""这件事变得稳、快、可控。两个方向都需要:1、持续跟进图像 / 视频生成的新模型新工具,保持技术敏感度,主动更新资源库;2、良好的时间管理和执行力,按期保质交付;责任心强,沟通顺畅,能团队协作;3、对接各部门 AI 需求,输出可行方案并落地。加分项:1、英文阅读能力良好(新模型文档、社区一手信息大多是英文);2、优秀的视觉审美感知;3、掌握深度学习框架者优先(B 方向尤其);4、有抖音 / 短剧 / 投流素材实际生产经验者优先。",AIGC,https://www.zhipin.com/job_detail/214b0dc59a7d09270nV-39i4E1VR.html
AIGC 内容编导,伊颜悦色,10000-30000元/月,北京·海淀区·西北旺,北京,大专,3-5年,2026-08-08,boss,"工作周期:3个月每周工期:无要求工作时间:不限工作时段:不限结算方式:月结招聘截止时间:2027-09-01AIGC 内容编导(项目制) 岗位职责 1. 负责AIGC 项目全链路内容策划、脚本创作、成片把控,拍摄剪辑,覆盖数字人短视频、AI剧情短剧、知识类 IP、招商类 IP内容的选题与内容打磨。​2. 熟练利用各类文生图、文生视频、数字人、智能剪辑工具,完成素材生成、画面调校、节奏优化、字幕配音全流程内容产出。​3. 基于数据反馈迭代内容模板、人设风格、镜头语言,建立标准化AIGC内容生产SOP,提升批量产出效率与内容质感。​4. 跟进行业AIGC新模型、新玩法,持续输出高质量、高原创度、高传播性的AI视觉内容与剧情内容。​5. 配合产品与技术团队,输出内容侧需求,协助训练内容风格、人设一致性、画面审美规范。 任职要求 1. 熟悉短视频、短剧内容逻辑,具备编导、文案、剪辑、视觉审美基础,有AIGC内容创作经验优先,大健康、文旅、本地生活领域有成功经验。​2. 熟练使用主流AI绘图、AI视频、数字人工具,能独立完成从选题、脚本、分镜、AI生图、生视频、精修成片全流程。​3. 网感强、审美在线,擅长镜头节奏、画面构图、情绪氛围营造,能稳定产出统一风格内容。​4. 执行力强,接受批量标准化内容生产,具备模板化、流程化思维。​5. 无需深厚编程基础,热爱AI内容行业,愿意长期深耕AIGC内容生态。6.根据项目所在地,能接受出差工作。 岗位优势: 项目新、赛道前沿,可积累AIGC标准化内容生产、数字人IP、AI短剧全套作品集,适合想深耕AI新媒体、内容工业化的从业者。",自有团队 网感好 有AIGC代表作 多年分镜经验 完整的执行能力 熟知多个视频平台推荐算法 短视频,https://www.zhipin.com/job_detail/2cb7e3e099ec27cf0nJ43t-1EVBT.html
AIGC产品销售经理,聚灵活,10-15K,北京·朝阳区·劲松,北京,大专,1-3年,2026-08-09,boss,"岗位职责:1、负责公司AIGC产品的企业级/c端客户开拓与销售,包括但不限于内容平台、媒体机构、广告公司、电商企业、影视平台、高校资源等;2、深入理解客户需求,结合产品能力提供定制化解决方案,推动客户签约与落地;3、维护客户关系,挖掘二次销售与增购机会,提升客户生命周期价值;4、与产品、技术团队紧密协作,反馈市场动态与客户声音,推动产品优化;6、完成个人销售目标,定期输出销售报告与客户分析。任职要求1、本科及以上学历,3年以上ToB软件/SaaS/AI相关产品销售经验;2、熟悉AIGC、大模型、内容生成等技术者优先;3、具备优秀的客户沟通、谈判与方案呈现能力;4、有媒体、广告、电商、教育等行业客户资源者优先;5、自驱力强,结果导向,能适应快节奏创业环境。",AIGC 大模型 客户沟通 SaaS,https://www.zhipin.com/job_detail/bd00eab8963d4e150ndz39W5GFZT.html
aigc漫剧宣发,北京橙次元动画科技,12-16K,北京·朝阳区·大望路,北京,本科,经验不限,2026-08-07,boss,"岗位职责: 1. 负责AIGC漫剧内容的宣传与推广,制定宣发策略 2. 协同团队完成内容传播效果的跟踪与优化 任职要求: 1. 善于沟通、按时完成上级交给的工作 2. 拥有良好的团队合作精神,能迅速融入团队 3. 具备良好的学习能力,能够不断改进工作方法",AIGC,https://www.zhipin.com/job_detail/05957e53b18297f50nZy3926GFBT.html
AI 应用开发工程师(全栈前后端)· AIGC 方向,北京某大型互联网公司,15-25K·14薪,北京,北京,本科,3-5年,2026-08-07,boss,"职位描boss述1. 对接企业客户的AIGC应用落地场景(如文生图/图生图、文生视频、数字人、多模态内容生成、创意素材批量生产等),独立完成 AI 应用的全栈开发,包括前端交互、后端服务、提示词工程、AIGC 工作流编排(Agent / Workflow / ComfyUI 等)以及生成与推理链路的搭建与改造;2. 对接并集成各类 AI 能力接口(如文生图/文生视频大模型 API、多模态大模型、向量检索、语音合成/识别等),设计并实现高可用的生成推理调用链路,包含重试、超时、降级、限流、熔断等容错机制,保障线上服务稳定性;3. 客户现场独立对客与沟通,理解并拆解客户在内容生成场景下的业务需求,产出高质量的方案与交付材料,保证项目快速推进与客户满意度。职位要求1. 5年以上软件开发经验,具备完整的全栈开发能力,熟悉前&后端主流技术栈(如 React/Vue + Node.js&TypeScript/Go/Java/Python 等),能独立完成从需求设计到上线的全流程,技术栈java& Node.js优先;2. 精通AI应用开发,深入理解大模型应用架构,有对接各类AI接口的实战经验;3. 熟悉主流AIGC生成模型与工具链,如Seedance、Seedream、image2、Diffusion 模型等,熟练使用ComfyUI、Diffusers等生成框架者优先;4. 熟练掌握提示词工程(PE)核心技术,具备图像/视频生成场景下的提示词设计与调优能力,有短漫剧/电商短视频等相关行业经验者优先;5. 熟悉 AI 调用链路的容错与稳定性设计,对重试机制、超时控制、限流降级、熔断、幂等等工程化容错手段有实际落地经验;6. 具备扎实的算法基础与工程能力,熟悉CV/多模态/音视频等至少一个方向的主流模型与原理;理解模型微调(SFT/LoRA)、向量化与检索等关键环节者优先;有大规模多模态数据预处理及模型推理部署经验优先;7. 具备良好的文档撰写能力、逻辑思维能力、语言表达能力、执行力及结果交付能力,能够独立探索并协同解决问题;8. 能够接受长期出差、客户现场驻场。9.学信网本科学历优先",AIGC 文生图 图生图 多模态 Agent 大模型 高可用 React Vue Node.js TypeScript Go Java Python Diffusion 视频生成 LoRA,https://www.zhipin.com/job_detail/117b60c16eb04e7b0nJ72tq7EltQ.html
AIGC制作人,繁花盛开,10-12K,北京·东城区·雍和宫,北京,大专,1-3年,2026-08-07,boss,"北京繁花盛开科技有限公司是一家拥有全流程编剧和制作团队的AI影视公司,是北京演出娱乐行业协会AI影像艺术专业委员会主任委员单位,凭借多年行业积淀,现已构建起""AI影视服务+AI广告+AI漫剧""的多元业务格局。北京繁花盛开科技有限公司引入 Crazy Maple Studio(枫叶互动)作为战略股东,为北京繁花提供强有力的头部平台资源与全球化渠道支撑。北京繁花与阅文集团等国内头部内容平台建立深度战略合作关系,拥有优质头部IP的优先合作与开发权限,具备稳定,可持续的头部IP与精品内容的供给能力,依托AIGC技术实现短剧,漫剧工业化生产,形成""头部 IP+AI制作+全球发行""全链条优势,助力数字文化内容高质量发展。",AIGC Crazy Maple Studio IP+,https://www.zhipin.com/job_detail/687e4e50508a6eb60nd52di_GFtU.html
AI视听内容创作师(AIGC),山东中协政慧信息咨询,10-15K,北京·朝阳区·大望路,北京,本科,经验不限,2026-08-08,boss,"公司boss简介:北京元发星辰科技有限公司 是火山引擎、阿里云、腾讯云、智普、Kimi、minimax、deepseek的核心经销、服务商。我们是一家以技术为驱动、以技术革命为使命的AI原生公司,我们坚持与卓越、优秀的人才一起创造未来。一、我们可以给你什么:1、成长空间:AI 赛道高速发展,个人能力 3 倍速成长、职业发展 10 倍速成长,可成长为 AI 解决方案专家。2.薪酬待遇:高底薪(对标大厂销售的基础薪资)+高奖金(鼓励卓越、上不封顶)。3.工作模式:弹性灵活的工作机制和时间安排,不签到、不打卡,完全OKR管理。4.简单高效的工作沟通方式:反对形式主义、反对八股文学、PPT文化。5.办公氛围:无层级概念,完全的OKR管理,自己对自己负责,鼓励并支持创意,反对职场剥削和官僚文化,最大限度的保护每个人的公平权利和民主权利,对于公司事物和项目决策采取民主制度。二、人员要求:1.学历:全日制本科以上。2、专业不限三、岗位职责1、产品商业化推广负责火山引擎剧创 Agent 市场推广,对接短剧制片团队、AIGC 创作者、短视频 MCN、影视工作室等客户,演示产品功能,挖掘客户需求,输出适配不同团队的 AI 短剧生产解决方案,推进产品试用、订阅签约转化。2、面向 AIGC 从业者工具培训授课独立开展线上 / 线下培训、沙龙分享、一对一带教;完整讲授剧创 Agent 全链路操作:剧本导入解析、角色 / 场景资产搭建、Agent 智能分镜、Seedance 视频生成、人设一致性管控、成片输出、团队权限管理;输出标准化教学流程,帮助客户独立完成 AI 短剧生产。3、AIGC 案例与培训素材孵化熟练使用剧创 Agent 独立完成短剧、短视频样片制作;持续产出教学案例、实操教程、提示词模板、工作流 SOP;整理常见踩坑解决方案,沉淀培训课件、演示样片、宣讲 PPT。4、用户运营与需求反馈跟进意向客户试用全过程,解答工具使用难题,收集创作者痛点、产品功能建议,定期整理反馈给产品侧;维护创作者社群,组织实操直播、训练营,提升客户活跃度与续费率。5、市场活动支持配合行业沙龙、创作者大会、招商宣讲等活动,承担现场产品演示、公开课分享、现场答疑,打造剧创 Agent 标杆客户案例。四、薪资待遇:1、薪资10000-13000元/月,入职前定岗定薪。2、五险一金。",阿里云 腾讯云 Agent AIGC 视频生成 市场推广 培训,https://www.zhipin.com/job_detail/4e84378e6d3c36d60nF83d27EVVW.html
AIGC素材生成师,大连佳呈安镜科技服务,15-20K,北京·朝阳区·亚运村,北京,大专,1年以内,2026-08-09,boss,"【岗位职责】‐ 完成AIGC文字、图片、音频各类内容创作产出,支撑公司各业务板块生产。‐ 做好内容品控,保障各项工作按期完成交付。【任职要求】‐ 独立完成AI漫剧的全流程制作,包括脚本分镜、画面生成、后期合成‐ 把控画面连贯性与叙事节奏,确保成片审美在线‐ 具备优秀的学习能力,热衷AIGC领域,可以快速掌握新工具,适配高速工作节奏。‐ 喜爱内容创作,对网文、短剧具备感知力,富有责任心与创新思维。‐ 了解豆包、即梦等AI工具,可运用AI工具完成绘图以及视频生成工作。",特效 灯光渲染 AE EDIUS 短视频 剪辑 达芬奇 C4D 短剧 Premiere 漫剧全流程制作 tiktok MG/3D动画 即梦 调色,https://www.zhipin.com/job_detail/1bc6592db4deb3500nJ50tq8GVpX.html
AIGC 图像Caption标注（可线上面试）,上海瑞应人才科技,10-15K,北京·海淀区·上地,北京,本科,1年以内,2026-08-08,boss,"美学或影视编导等相关专业背景优先,且具备AIGC生成或Caption相关经验者优先,接受了解AI知识,有半年以上相关工作经验者,欢迎投递~(一)岗位职责1. 图像Caption标注:针对各类视频内容精准描述其内容,如视频中的美学维度含镜头语言、光影效果、服化道风格等内容。生动且符合模型训练需求的自然语言描述。2. 标注标准落地与优化:能迅速理解执行标准,严格遵循标注规范执行任务,及时反馈标注过程中遇到的标准模糊、数据异常等问题,协助优化标注流程与评判准则。3.数据质量把控:对已完成的标注内容进行质检,确保标注结果的一致性、准确性,为大模型学习视频美学特征提供高质量数据支撑。(二)任职要求 基础要求1. 学历专业:本科及以上学历,编剧、影视制作、导演、摄影、美术设计、中文、汉语言文学等相关专业优先;非相关专业但具备深厚影视艺术积累者或爱好者可放宽。2. 行业认知:对国内外影视作品、影视剪辑手法有系统了解,能快速捕捉视频内容的风格调性与艺术特点。3. 能力素养:具备极强的细节观察力与文字表达能力,能将视觉元素转化为精准的文字描述;工作严谨细致,有良好的责任心与执行力。4. 工具使用:熟练操作电脑办公软件,具备基础数据处理能力。",图片标注 视频标注 AIGC,https://www.zhipin.com/job_detail/91932c61e0fdcddb0nFy09u1GVNZ.html
