job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
天线工程师,北京某小型卫星通信公司,25-35K,北京,北京,本科,5-10年,,boss,射频设计 卫星通信 卫星移动通信 天线设计,射频设计 卫星通信 卫星移动通信 天线设计,https://www.zhipin.com/job_detail/a878cb395d3bf5bd0nJ42tm6ElVY.html
天线系统工程师,蓝瑆科技,15-25K,北京·怀柔区·雁栖,北京,本科,5-10年,,boss,通信接口/总线 射频设计 微波射频 滤波器设计 卫星移动通信 卫星通信 雷达信号处理 天线设计,通信接口/总线 射频设计 微波射频 滤波器设计 卫星移动通信 卫星通信 雷达信号处理 天线设计,https://www.zhipin.com/job_detail/13253280775893cd1HF-29u8FFBY.html
毫米波相控阵天线工程师,某大型通信设备公司,25-50K·14薪,北京,北京,本科,经验不限,,boss,天线设计 卫星通信 相控阵 毫米波 高频 KA频段 KU频段 X频段,天线设计 卫星通信 相控阵 毫米波 高频 KA频段 KU频段 X频段,https://www.zhipin.com/job_detail/16991cb6cc1d9add031-0tS4FVZW.html
天线阵列赋型算法高级工程师,最终前沿深空科技,40-70K·13薪,北京,北京,硕士,1-3年,,boss,相控阵 天线 电磁场 微波,相控阵 天线 电磁场 微波,https://www.zhipin.com/job_detail/302f8a96b18afdeb1nx-0tS4EFBV.html
相控阵天线工程师,人瑞网络科技,45-70K·15薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,C语言 相控阵天线 卫星通信 卫星移动通信 无线通信 网络协议 天线设计,C语言 相控阵天线 卫星通信 卫星移动通信 无线通信 网络协议 天线设计,https://www.zhipin.com/job_detail/321fe9247b690f880nJ53t-6ElNV.html
相控阵天线工程师/专家（载荷）-北京,九一联合,30-60K·15薪,北京·朝阳区·望京,北京,硕士,5-10年,,boss,卫星通信 卫星移动通信 天线设计,卫星通信 卫星移动通信 天线设计,https://www.zhipin.com/job_detail/790b02f6efbfeda70nJ50tq6GFBS.html
无线/天线工程师,微度智感,200-300元/天,北京·海淀区·上地,北京,本科,,,boss,天线设计 雷达信号处理 C语言 射频设计,天线设计 雷达信号处理 C语言 射频设计,https://www.zhipin.com/job_detail/7b468156877802a203N82927EVJY.html
研究助理(无线通信决策大模型）,中科院自动化所,150-200元/天,北京·海淀区·知春路,北京,本科,,,boss,研究导向,研究导向,https://www.zhipin.com/job_detail/d6d0d0875caae21703B70ty0EVdV.html
天线专家,某大型通信网络设备公司,45-65K·24薪,北京,北京,本科,10年以上,,boss,天线设计,天线设计,https://www.zhipin.com/job_detail/3f2d1d29821d96c103V_0t25EFdS.html
天线工程师,荣耀终端,30-60K,北京·海淀区·西北旺,北京,本科,1年以内,,boss,天线设计,天线设计,https://www.zhipin.com/job_detail/c1f4b52612d6514f1n1_3Ny7GVFX.html
相控阵天线研发工程师（波束校准）,雪辰星航,10-15K,北京·石景山区·杨庄,北京,本科,1-3年,,boss,5G 雷达信号处理,5G 雷达信号处理,https://www.zhipin.com/job_detail/727e9fe7e1a913fb0nd53NS-EFBV.html
5G无线宽带销售经理,中科鸿远,15-20K,北京·通州区·九棵树,北京,大专,1-3年,,boss,面销/陌拜 企业服务 企业（To B） 面销/陌拜经验 快消品销售经验 电话销售经验 互联网/科技 网络营销经验,面销/陌拜 企业服务 企业（To B） 面销/陌拜经验 快消品销售经验 电话销售经验 互联网/科技 网络营销经验,https://www.zhipin.com/job_detail/286726802a7968460nFz3d-9GVJV.html
Cst仿真天线技术,恒瑞弘升有限公司,17000-22000元/月,北京·朝阳区·西坝河,北京,学历不限,经验不限,,boss,PADS/OrCAD/Allegro 高通/MKT平台射频开发经验 电子/电磁场/微波相关专业 手机射频系统开发经验 CST/HFSS/ADS,PADS/OrCAD/Allegro 高通/MKT平台射频开发经验 电子/电磁场/微波相关专业 手机射频系统开发经验 CST/HFSS/ADS,https://www.zhipin.com/job_detail/cb5927df880eb19203R-2t28GVpY.html
射频天线工程师,北京奥芯微科技,10-11K,北京·昌平区·回龙观,北京,本科,3-5年,,boss,天线设计 可以兼职,天线设计 可以兼职,https://www.zhipin.com/job_detail/8400203203ac94c403J63di4EVFS.html
天线开发,星云天洛,20-40K·15薪,北京·通州区·次渠,北京,硕士,10年以上,,boss,卫星通信 相控阵 阵列,卫星通信 相控阵 阵列,https://www.zhipin.com/job_detail/ba20d6cdab4d514d0nZ_3dm_FVRY.html
射频天线工程师/专家,某中型智能硬件快速成长公司,30-60K·15薪,北京,北京,本科,经验不限,,boss,天线设计 射频设计 AR/VR,天线设计 射频设计 AR/VR,https://www.zhipin.com/job_detail/17ca488f0c2cb2ff0nR929S9EFNV.html
