job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
校招- AI 网络通信研发工程师,北京曦望芯科智能科技有限公司,15-30k·15薪,南京-建邺区,南京,本科,应届,90天前更新,liepin,"一、岗位职责
参与 AI 集合通信库的设计、开发与性能优化（如AllReduce/AllGather/ Broadcast 等）
面向大规模GPU/加速卡集群，结合操作系统、网络协议与容器网络架构，定位并解决通信性能瓶颈，提升跨节点/跨卡通信性能与稳定性
配合训练/推理框架（如PyTorch/TensorFlow/自研框架），完成通信层的集成、调试与问题定位
参与集群通信异常（如死锁、超时、性能退化等）的分析、排查与修复
职位要求
二、任职要求
1 基础要求
计算机、软件工程、电子信息等相关专业，本科及以上学历
具备扎实的 C / C++ / Go 编程基础，良好的代码风格与工程意识
2 技术要求
1. 熟悉 AI 集合通信库原理
了解或使用过NCCL/MPI等通信库
理解 AllReduce、Ring、Tree、Hierarchical 等常见集合通信算法及其适用场景
2. 熟悉操作系统基础
理解 Linux 操作系统基本原理（进程、线程、内存管理、调度等）
熟悉常见性能分析与调试工具（如 perf、gdb、strace 等）
3. 熟悉网络与通信协议
掌握 TCP/IP 网络基础，理解 RDMA / RoCE / InfiniBand 等高速网络通信原理
对网络拥塞控制、延迟、带宽利用率等性能影响因素有基本认知
了解 容器网络（Container Networking） 的基本原理，包括：
o容器网络模型与基本通信机制
o常见容器网络方案的基本工作原理
o容器化环境对分布式通信性能的影响
三、加分项
参与过分布式训练、AI 集群或高性能计算（HPC）相关项目
了解 GPU 体系结构及 PCIe / NVLink / NUMA 等硬件拓扑
具备大规模集群或网络性能调优经验
阅读或修改过 NCCL / MPI / Linux 内核 / 驱动 等相关源码

截止日期：2027年02月09日
招聘人数：5人",PyTorch TensorFlow C++ Go Linux TCP/IP 容器化 分布式 PCIe,https://www.liepin.com/lptjob/80257517
通信研发工程师,象控科技(上海)有限公司,15-25k,上海-浦东新区,上海,本科,应届,90天前更新,liepin,"岗位|Position：研发工程师（2026届毕业生）
工作地点：上海
学历专业：2026届应届硕士或优秀本科毕业生，通信工程、电子工程、微电子、电磁微波、计算机等相关专业。
岗位职责：
1.根据行业应用，在导师的指导下参与项目实践，进行软件，算法开发； 
2.协助研发团队完成项目开发；
3.配合优化现有解决方案，完善相关文档；
4.探索微波天线、卫星通信方向等。
任职要求：
1.扎实的数字电路基础，深入理解通信原理、数字信号处理；
2.熟练掌握Verilog或VHDL语言，具备良好的代码风格和调试能力；
3.熟悉FPGA开发流程及工具（Vivado/Quartus/VHDL等）；
4.参与过学校或研究所的卫星、信号处理、信道仿真、微波天线、射频电路相关项目的优先；
5.动手能力较强，有实干精神，以结果为导向。
加分项（具备以下任一项，让你脱颖而出）：
1.有实际的FPGA项目经验（如学科竞赛、科研项目、个人作品）；
2.了解常用的接口协议如PCIe；
3.熟悉MATLAB/Simulink或C/C++用于算法建模和验证；
4.对无线通信物理层（L1）有深入理解者优先。
个人特质：
1.强大的逻辑思维能力和解决问题的热情；
2.具备出色的团队协作精神和沟通能力；
3.对技术有好奇心，具备快速学习和自我驱动的能力。
我们承诺给予你|What We Offer：
1.有竞争力的薪酬package：年薪、项目奖金、股权激励，我们绝不辜负你的才华；
2.定制化培养计划：一对一导师制，为你规划清晰的职业发展路径，从技术新人到领域专家；
3.前沿的技术战场：接触项目和技术栈，你的工作将直接应用于影响行业未来的产品中；
4.完善的福利保障：全额缴纳的五险一金、补充商业保险、带薪年假、年度体检、节日关怀、丰富的团队建设活动；
5.活力开放的文化：扁平化管理，技术氛围浓厚，鼓励创新与试错，你的每一个想法都值得被倾听。
三、 投递方式
1.	发送你的个人简历、成绩单及相关项目作品/简介
2.	主题请统一命名为：【2026校招】研发工程师-姓名-学校-学历；
招聘流程：
网上申请→综合面试→技术面试→获得offer。


截止日期：2026年12月31日
招聘人数：1人",Verilog VHDL FPGA UART PCIe MATLAB C++,https://www.liepin.com/lptjob/79722637
通信研发工程师,电子/半导体/集成电路融资未公开10000人以上,250-300元/天,上海-浦东新区,上海,本科,,90天前更新,liepin,"算法工程师&技术研究工程师&AI工程师&软件开发工程师
【岗位职责】
1、负责卫星通信、AI、智能化、节能等核心技术研究；
2、负责无线产品关键技术&算法创新、方案设计、需求及可行性分析，仿真&算法选型，以及性能验证，对算法性能端到端负责；
3、负责无线通信领域关键技术的创新和方案设计，并结合垂直行业的应用提出新思路和想法；
4、负责通信空口及网络架构新技术研究、算法研究、标准提案&专利撰写等相关工作，对关键核心技术进行前瞻技术储备;
5、负责将Al，deeplearning等人工智能新技术与无线通信算法融合，应用于如无线网络信道估计/重构、资源分配/调度、波束自适应、载波管理、业务预测等多个领域，全面提升网络性能推动无线通信的革新;
6、负责/参与解决无线网络世界性难题:
Massive MIMO在LoS 场景的SU多流传输、 SU/MU移动性能、精准AMC算法、互易性研究以及基于多次测量的信道重构问题、mmWave HBF(Hybrid Beamforming)算法设计、HBF 移动场景算法设计....
【岗位要求】
1、通信、信号处理、电子、AI、应用数学等相关专业&研究方向;
2、了解/掌握/深刻理解无线通信理论知识，对于无线信道、TDD/FDD/mmWave、Massive MIMO、BF/Precoding、OFDM、接收机、资源分配&调度、AI&机器学习、多载波、定位等关键通信领域知识有一定/深入认识;
3、熟练使用Matlab、C/C++、Python等编程语言，具备必备的代码仿真能力。

招聘人数：1人",机器学习 MATLAB C++ Python 方案设计 专利,https://www.liepin.com/lptjob/65975109
通信研发工程师（开发）,博识广联(天津)科技有限公司,10-15k,北京,北京,学历不限,应届,90天前更新,liepin,"工作内容
1、负责、参与公司通信、无线电产品和系统的研发
2、参与解决方案制定

岗位要求
1、深入掌握信号与系统、数字信号处理、通信原理等相关专业知识；
2、具备利用至少一种仿真软件（如gnuradio，Matlab等）进行信号处理的能力，如信号分析、调制、解调等；
3、对编程有兴趣，具备一定的C/C++/C#/python等语言的编写能力；
4、具备阅读通信相关开源代码的能力，具备SDR开发经验者优先。
5、英文CET4，具备较好的论文阅读能力（CET6优先）。
6、211、985、双一流高校/学科 通信、电子信息类专业本科毕业者优先。

招聘人数：3人",MATLAB C++ C# Python,https://www.liepin.com/lptjob/28112305
通信研发工程师（算法）,博识广联(天津)科技有限公司,10-20k,北京,北京,学历不限,应届,90天前更新,liepin,"工作内容
1、负责、参与公司通信、无线电产品和系统的研发
2、参与解决方案制定

岗位要求
1、深入掌握信号与系统、数字信号处理、通信原理等相关专业知识；
2、具备利用至少一种仿真软件（如gnuradio，Matlab等）进行信号处理的能力，如信号分析、调制、解调等；
3、对编程有兴趣，具备一定的C/C++/C#/python等语言的编写能力；
4、具备阅读通信相关开源代码的能力，具备SDR开发经验者优先。
5、英文CET6，具备较好的论文阅读能力。
6、211、985、双一流高校/学科 通信、电子信息类专业研究生毕业者优先。

招聘人数：3人",MATLAB C++ C# Python,https://www.liepin.com/lptjob/28112269
通信研发工程师,博识广联(天津)科技有限公司,7-16k,北京,北京,学历不限,应届,90天前更新,liepin,"职位描述：
1. 负责公司无线电软硬件产品的测试方案设计与验证。
2. 负责公司无线电软硬件产品的客户现场支持与服务，提高客户满意度。
3. 参与客户动态需求信息收集，问题整理、定位、分析、反馈及跟踪，并在现场实施解决方案。
4. 根据客户应用，提供测试方案建议；为用户提供技术培训，编写培训教材。
5. 研究跟踪行业先进的测试仪表、测试技术、测试方法。

岗位要求：
1. 本科及以上学历，通信、电磁场与微波技术、电子信息、电子工程、计算机等相关专业，熟悉移动通信系统。
2. 熟悉典型的射频微波类测试仪表：如信号源、频谱分析仪、网络分析仪、功率计、接收机等等。
3. 思维严谨，耐心、细致，具有良好的客户服务意识和分析解决问题的能力。
4. 具备优良的表达能力，积极主动，能够有力的推动项目反馈问题的解决。
5. 具有一定的英语阅读、听说读写能力，通过英语4级。
6. 熟悉一种或多种编程语言（C#、C/C++, Matlab等）者优先
7. 有相关测试经验或认证经历者优先

招聘人数：2人",C# C++ MATLAB 方案设计 培训 客户服务,https://www.liepin.com/lptjob/27189755
通信研发工程师,成都华为技术有限公司,12-28k,成都-郫都区,成都,学生可投,经验不限,90天前更新,liepin,"有目标，有动力，有冲劲~

【社会招聘】通信研发工程师

岗位类型：开发/测试

岗位职责：

1. 负责公司5G/5.5G/卫星通信等先进通信技术的研究和开发，参与产品设计和技术方案的制定；

2. 根据项目需求进行技术选型和方案评估，完成项目的开发和测试工作；

3. 对现有系统或者软件提出优化建议并实施改进措施；

4. 协助团队成员解决相关问题并提供专业的技术支持；

任职要求：

1. 本科及以上学历，专业不限；

2. 了解通信技术知识，有扎实的计算机理论&实践基础；

3. 熟练掌握C/C++/Java/Python等任意一门编程语言。

岗位亮点：

圣无线、主航道业务、薪酬丰厚、hc充足、offer流程快、部门氛围好、机会多上手快",5G C++ Java Python 产品设计 技术方案 技术支持,https://www.liepin.com/job/1968271353.shtml
智能汽车通信研发工程师-campus-2026,经纬恒润,12-20k·15薪,上海-徐汇区,上海,学生可投,经验不限,7月30日更新,liepin,"职责描述:
1.负责研究新型高速通信技术（Ethernet/V2X/OTA/网络安全等），满足智能网联汽车应用需求；
2.负责车载以太网通信系统开发，包括网络架构、系统方案、通信协议等；
3.负责车载以太网测试工作，包含搭建基于python的测试序列，执行测试并分析问题；
4.负责车载以太网自动化测试系统开发。

任职资格:
1.本科及以上学历，通信、自动化、电子信息、计算机、仪器、电气、机械、交通运输类等工科专业；
2.了解车载总线（CAN/LIN)、Ethernet、无线通信知识者优先；
3.具有电控系统软硬件开发经验、了解汽车者优先；
4.责任心、进取心强，善于沟通及团队协作，乐于接受挑战。",Python CAN 自动化测试 Ethernet V2X OTA LIN,https://www.liepin.com/job/1981465631.shtml
通信研发工程师,华诺星空技术股份有限公司,13-35k,长沙-岳麓区,长沙,学生可投,经验不限,7月31日更新,liepin,"雷达/通信/气象雷达/地质测绘/光纤传感信号处理工程师（工作地点：长沙、成都）

岗位职责：

1、负责通信信号调制、解调、分析、识别；

2、负责产品信号处理算法开发、优化与维护；

3、编制信号处理方案，撰写代码，信号处理日常代码管理、文档撰写工作；

4、负责雷达目标检测、测距、测速、测角、目标跟踪、目标识别等算法的设计、仿真、验证和迭代优化；

5、负责光传感信号处理方法原理研究，信号特征分析；

6、负责技术研究与工程化实现，输出总结报告。

任职要求：

1、信号分析、通信、信号处理、雷达、电子、气象、测绘、地质、光学工程、光纤通信类相关专业，硕士及以上学历；

2、有数字信号处理、雷达系统课程学习经历，有信号处理开发经验；

3、熟悉光电类信号处理流程，熟练掌握信号处理主流算法，有较强的编程能力，有光传感相关信号处理和图像处理算法的经验；

4、光学基本功扎实，掌握光纤传感理论和应用知识，熟练掌握点式及分布式光纤传感系统技术原理，熟悉IQ解调、相位解调；

5、掌握C/C++、python等编程语言，掌握仿真分析软件，能够独立完成算法仿真及工程实现。",分布式 C++ Python,https://www.liepin.com/job/1974176551.shtml
通信研发工程师,中国科学技术大学先进技术研究院,12-18k,合肥-高新区,合肥,学生可投,经验不限,6月5日更新,liepin,"岗位职责
1. 参与物联网硬件设备、嵌入式软件、传感系统的开发、调试、优化工作；
2. 根据研发需求完成模块开发、代码编写、功能测试，排查产品技术bug，保障产品稳定运行；
3. 配合研发团队完成产品迭代、技术升级，整理研发文档、测试报告；
4. 协助对接生产、销售环节，解决产品落地过程中的基础技术问题；
5. 跟进行业新技术，配合团队完成技术创新与产品优化。
任职要求
1. 本科及以上学历，物联网、电子信息、计算机、自动化等相关专业，博士、硕士研究生优先，动手能力强者优先，有完整的产品开发经历者优先；
2. 熟悉基本无线网络协议、嵌入式开发、电路调试，能独立完成基础模块研发工作；
3. 具备良好的代码规范、问题排查能力，严谨细致，有团队协作意识；
4. 了解物联网行业产品特性，有工业物联、智能终端研发经验者优先；
5. 愿意深耕物联网赛道，主动学习能力强。
",功能测试 产品迭代,https://www.liepin.com/job/1983207421.shtml
高性能通信研发工程师 (MJ000724),太初(杭州)集成电路有限公司,30-60k·15薪,北京-海淀区,北京,学生可投,经验不限,90天前更新,liepin,"工作职责：



1、与内部内核驱动团队紧密合作，基于RDMA构建高速的通信库；



2、与内部团队合作，优化IO通信系统，保证计算场景下数据读取效率；



3、优化MPI或其他相应通信库，加速训练场景下多机通信；



4、优化大规模AI加速卡互联下的通信性能并支撑应用整体性能



任职资格：



1、精通C/C++编程，熟悉Linux编程；



2、熟悉计算机体系架构，对高性能网络、分布式计算和异构计算有整体了解；



3、熟悉一到两种高性能通信库（MPI、NCCL、GLOO等），有相关源码开发经验者优先；



4、具备芯片互联和网络传输编程相关知识，例如RDMA、PCIE Peer2Peer和GPU Direct等，有相关软件开发经验者优先；



5、有较强分析问题和解决问题的能力；



6、具备较强的沟通能力，独立工作能力和团队驱动能力，能协调各相关团队推动方案完成。",C++ Linux 分布式 PCIe MPI NCCL PCIE,https://www.liepin.com/job/1979933141.shtml
高性能通信研发工程师 (MJ000724),太初(杭州)集成电路有限公司,30-60k·15薪,无锡-滨湖区,无锡,学生可投,经验不限,90天前更新,liepin,"工作职责：



1、与内部内核驱动团队紧密合作，基于RDMA构建高速的通信库；



2、与内部团队合作，优化IO通信系统，保证计算场景下数据读取效率；



3、优化MPI或其他相应通信库，加速训练场景下多机通信；



4、优化大规模AI加速卡互联下的通信性能并支撑应用整体性能



任职资格：



1、精通C/C++编程，熟悉Linux编程；



2、熟悉计算机体系架构，对高性能网络、分布式计算和异构计算有整体了解；



3、熟悉一到两种高性能通信库（MPI、NCCL、GLOO等），有相关源码开发经验者优先；



4、具备芯片互联和网络传输编程相关知识，例如RDMA、PCIE Peer2Peer和GPU Direct等，有相关软件开发经验者优先；



5、有较强分析问题和解决问题的能力；



6、具备较强的沟通能力，独立工作能力和团队驱动能力，能协调各相关团队推动方案完成。",C++ Linux 分布式 PCIe MPI NCCL PCIE,https://www.liepin.com/job/1979933179.shtml
GPU集合通信研发工程师/架构师,上海壁仞科技股份有限公司,30-60k·15薪,上海-闵行区,上海,学生可投,1年以上,90天前更新,liepin,"岗位职责：
1. 参与GPU集合通信库的算法设计，研发和指令层极限性能优化；
2. 攻克千卡GPU，万卡GPU及超节点集群互联技术难题；
3. 持续提升大规模AI训练场景下的通信效率与系统稳定性。

任职要求：
1. 计算机或信息类专业本科及以上学历，具备扎实的计算机专业基础；
2. 熟练掌握C/C++，常见的数据结构和算法；
3. 熟悉RDMA，拥塞控制，AI网络优化等技术；
4. 具备NCCL,NVSHMEM,DeepEP或UCX等GPU高性能通信框架开发经验之一。
",C++ NVSHMEM,https://www.liepin.com/job/1979494113.shtml
通信研发高级工程师,北京通广龙电子科技有限公司,20-40k·15薪,成都-青羊区,成都,学生可投,5年以上,90天前更新,liepin,"主要工作职责：
1、负责无线通信系统需求分析，无线分布式自组网、全/定向数据链等网络协议、接入协议的设计、仿真工作。
2、负责协议实现架构设计，网络验证方案设计，参与网络联试问题分析工作。
3、负责技术方案、设计方案等文档编写工作。
4、参与前沿技术研究、论证、仿真工作。

任职要求：
1、硕士、博士学历，通信、电子或相关专业。
2、熟悉AdHoc、Mesh等无线通信网络路由协议、MAC协议、及数据处理相关算法。
3、熟悉opnet、ns2、omnet、vrnet、matlab等网络仿真工具。
4、具备5年以上无线网络链路协议设计、仿真工作经验。
5、具备较强的协调沟通能力、自主钻研能力，及团队合作精神。",分布式 MATLAB 需求分析 方案设计 技术方案 文档编写,https://www.liepin.com/job/1975191911.shtml
通信研发工程师,阳光凯讯,15-30k,北京,北京,学生可投,经验不限,90天前更新,liepin,"岗位职责
1、主要负责5GC、4GLTE、卫星通信、窄带集群通信方面产品研发，完成核心网元设备的设计以及核心功能开发工作。 
2、 排查定位现有产品的相关问题，并提供技术支持 
3、持续优化产品，提高产品的性能和可靠性。

岗位要求
1、精通C/C++；
2、精通linux系统下的软件开发；
3、有网络编程经验，熟悉tcp/ip、udp、diameter、sip、rcs等协议中的一项或多项；
4、熟悉运营商IMS网络架构，熟练掌握其中各网元功能及对接协议有限； 
5、要求具有良好的团队合作互助精神和良好的编程习惯；
6、要求工作责任心强、积极主动，能够高质量地按期完成工作任务。",5G 4G LTE C++ Linux TCP/IP 技术支持,https://www.liepin.com/job/1948923307.shtml
