job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI算法工程师,达智汇科技服务（苏州）,1.8-2.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:34:30,job51,"岗位职责：
1.计算机科学、人工智能等相关领域的硕士、博士，或优秀本科生;
2.精通C/C++、Python;
3.熟悉深度学习框架，如PyTorch、Tensorflow等4.熟悉AI推理引擎框架，如TensorRT、TVM、NCNN
等:
5.熟悉cuBLAS、OpenBLAS等高性能计算库，擅长自定义算子。
6.有2年及以上模型在端侧AI芯片的部署经验，如地平线、华为、英伟达等平台，有LLama、ChatGLM等大模型部署经验的优先;
7.具有良好的团队合作能力和沟通能力;
8.加分项:熟悉llama.cpp、vLLM、deepspeed等大模型推理框架;
9.加分项:熟悉FlashAttention、XFormer、FasterTransformer等大模型推理加速方案，
任职要求：
1、硕士及以上学历，本科生优秀也可考虑，光学、计算机软件、物理、自动化、电子等相关专业。
2、熟悉计算机视觉、深度学习、图像视频处理相关的理论知识和实践技能。
3、精通主流编程语言Python或C/C++，对算法兴趣浓厚且具备一定经验、具备创造性思维、对研究工作充满热情，沟通能力强，具备良好的团队协作能力。
4、熟悉OpenCV等开源视觉算法库，熟悉底层代码实现。
5、对常用的机器学习/深度学习算法有深入理解，例如：LR、SVM、XGBOOST、ANN、RNN、CNN等，能够迅速复现前沿算法，积极地对算法进行迭代、优化、创新。
6、在实际项目中有成功落地AI算法的经验，能够理解业务需求并将技术解决方案转化为实际产品者优先，熟悉工业应用场景优先。",C++ Python 深度学习 PyTorch TensorFlow 大模型 LLM Transformer 计算机视觉 OpenCV 机器学习 XGBoost,https://jobs.51job.com/suzhou-gyyq/165296525.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
ai工程师,微康益生菌（苏州）,1.5-3万,苏州·吴江区,苏州,本科,5年及以上,2026-08-03 10:46:09,job51,"岗位职责 
1.智能体开发与建设落地：根据业务需要进行企业智能体（Agent）开发与建设，实现任务自动化与多模态交互。
2.大模型部署与训练调优：负责主流AI大语言模型如Qwen、Deepseek或其他垂直大模型的本地化部署、轻量级模型训练与微调
3.AI应用平台开发与优化：对AI应用平台进行前后端开发优化，持续提升平台能力
4.跨部门协作与数据安全：与业务部门深度对接需求沟通，挖掘AI技术赋能潜力，提高各业务部门工作效率并保障公司数据安全
任职要求
1.技术要求 
1）熟悉主流大模型技术及开源框架、大模型部署工具及容器化技术
2）精通Python，熟悉LangChain等主流AI框架，掌握RAG原理及向量数据库使用，具备提示词优化及大模型API调用经验。
3）具备智能体开发经验，熟悉Agent框架及RAG技术实现，具备扎实的算法基础，熟悉数据库及消息队列。
4）熟悉Git、Linux及容器化部署，理解HTTP协议与前后端联调流程，了解微服务基本概念。
5）熟悉数据安全技术（数据脱敏、访问控制、加密传输等）
2.专业及工作经验要求 
1）全日制本科及以上学历，人工智能、计算机科学、数学等相关专业本科及以上学历
2）具备智能体开发建设经验，主导过至少2个大模型本地化部署或垂直领域优化项目
3）5年工作经验以上，具备AI应用类产品（如AIGC工具）全栈开发经验者优先",Agent 多模态 大模型 容器化 Python LangChain RAG 向量数据库 Git Linux 微服务 加密 AIGC 跨部门协作,https://jobs.51job.com/suzhou-wjq/171021480.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师,思码睿猎人才咨询（上海）,2-2.2万·15薪,苏州,苏州,本科,3年及以上,2026-07-07 17:14:54,job51,"有可能要出差，但是比例不高，需要能接受可能性出差；
岗位职责：
1. AI场景方案落地：定制适配业务的AI解决方案，落地各类智能化赋能项目。
2. 全栈开发与部署：独立完成AI项目前后端开发、模型微调与系统集成，负责项目云端、本地化部署调试，保障系统稳定运行与迭代。
3. 需求迭代：跟进上线反馈，持续优化产品功能、修复线上问题。
4. 技术调研与沉淀：跟进前沿AI技术与框架，结合业务沉淀可复用技术方案、开发文档与通用工具，赋能团队项目落地。
5. 项目落地保障：全程跟进AI项目生命周期，负责系统运维监控、性能调优与故障排查，实现业务降本提效提质。
任职要求：
1.双一流本科以上学历，计算机科学与技术人工智能，软件工程，数据科学与大数据技术，自动化 / 控制工程等相关专业；
2.有3年及以上AI项目开发经验，具备编程、全栈开发、数据库、系统部署等能力。
3 AI专业基础：掌握各类主流AI技术原理，熟练运用提示词工程、RAG、模型微调等落地技术，可独立完成AI场景适配优化。
4 全栈开发能力：具备前后端全栈开发能力，精通Python，熟悉主流前后端框架与数据库，可独立搭建开发完整AI应用系统。
5. 项目部署与运维：熟悉Linux系统与容器化、云端部署技术，了解CI/CD自动化流程，具备项目部署、运维、故障排查与性能优化能力。
6 系统集成能力：熟练对接第三方接口，可完成AI能力与现有各类业务系统的深度集成，打通业务数据与功能壁垒。
7. 技术学习与应用：具备优秀的前沿AI技术学习能力，可快速掌握新技术并落地应用，适配多元业务智能化需求。",RAG Python Linux 容器化 CI/CD 技术方案 系统运维 故障排查,https://jobs.51job.com/suzhou/172828045.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师,苏州铠策微机械科技,1.5-2万,昆山,苏州,硕士,3年及以上,2026-08-01 17:07:01,job51,"岗位职责：
1. 核心算法开发与优化
1.1. 实现并优化计算机视觉算法，包含球体跟踪、球员标记与跟踪、攻守转换识别（基于行为模式与位置逻辑的实时判断）。
1.2. 设计动作识别模型，包含射门/传球等关键时序动作检测/分类、动作质量评估。
1.3. 实现事件驱动的视频剪辑，包含事件发生的时空定位、自动生成精彩片段（基于事件重要性评分）。
2. 群体行为分析
2.1. 构建攻守阵型识别模型，包含球员位置聚类与阵型模式提取、阵型动态变换检测。
2.2. 开发战术分析工具，包含热点图生成（基于球员移动密度）、战术路径可视化（如传球网络图）。
3. 工程化落地
3.1. 将算法部署至移动端/云端（TensorRT、ONNX优化），及提供安卓/后端开发人员调用接口。
3.2. 设计低延迟处理流水线。

任职要求：
1. 硕士以上学历，软件、计算机、模式识别、深度学习相关专业。
2. 必备基本技能：3年以上AI开发经验，主导过计算机视觉项目，精通Python/C++，熟悉PyTorch/TensorFlow框架；
3. 必备专业技能：掌握目标检测、复杂场景下的多目标跟踪、有时序动作识别经验、熟悉视频处理技术及性能优化。
4. 加分项：有体育视频AI分析经验。
5. 能快速将运动领域需求转化为技术方案，跨团队协作能力（与产品、标注团队配合）。",计算机视觉 ONNX 深度学习 Python C++ PyTorch TensorFlow 技术方案,https://jobs.51job.com/kunshan/173120067.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师（项目公司）,长三角先进材料研究院,1.8-3万,苏州·相城区,苏州,硕士,3年及以上,2026-06-24 17:22:51,job51,"岗位职责：
1.将人工智能算法引入工业CT重建流程，研究并实现AI与传统重建算法的深度融合；
2.探索基于深度学习的CT重建方法，用于提升在低剂量、少角度或高噪声条件下的重建质量与稳定性；
3.开发基于AI的三维体数据后处理算法，包括智能去噪、超分辨率重建、弱对比缺陷显著化和特征识别；
4.与软件工程和应用团队紧密协作，将AI重建技术转化为可交付、可维护的软件功能模块。
岗位要求：
1.硕士及以上学历，3年以上经验，计算机科学、人工智能、自动化、电子信息、应用数学、物理或相关专业；
2.熟练使用深度学习框架（如 PyTorch、TensorFlow），具备独立搭建和训练模型的能力；
3.具备将AI算法与传统算法融合的实际经验或能力；
4.具备二维/三维图像处理基础，熟悉常见滤波、去噪、增强和特征提取方法；
5.具备GPU并行计算经验，了解CUDA或相关加速技术者优先；
6.有医学影像、工业无损检测或计算成像经验者优先。
工作地点：苏州市相城区青龙港路286号",深度学习 PyTorch TensorFlow,https://jobs.51job.com/suzhou-xcq/169987579.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI工程师,江苏阿诗特能源科技,1.5-2.5万,苏州·相城区,苏州,本科,3年及以上,2026-06-25 15:54:54,job51,"工作职责:
1.了解新能源场站EMS软件背后的业务逻辑，处理历史运行数据，构建数据管道。
2.负责进行AI相关架构和技术路线选型，利用成熟的模型或算法，学习历史数据，提升设备监控性能。
3.将上述AI模块与公司现有的EMS进行集成和应用开发。
4.跟踪模型在现场的运行效果，不断进行迭代优化。
5.参与其他产品智能化的工作。
任职资格:
1.本科及以上学历，计算机科学、软件工程、自动化、电子信息等相关专业。
2.熟练掌握C/C++/Python/Java中的一种或多种编程语言。
3.有大语言模型调用与集成，以及实际落地的经验。
4.学习能力和团队协作能力强。
5.对新能源行业有强烈的兴趣。",C++ Python Java,https://jobs.51job.com/suzhou-xcq/172690452.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师-机器学习方向,达智汇科技服务（苏州）,1.6-2.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:34:24,job51,"岗位职责：
1.负责工业数据（时序、图像等）的建模与算法开发，包括特征工程、模型训练、调优与验证。
2.将算法封装并接入公司工业AI平台，配合完成模型部署、加速推理与边缘端适配。
3.深入客户现场，推动算法在故障预测、质量检测、工艺优化等场景的落地与持续迭代。
4.跟进前沿技术，探索少样本学习、时序大模型等在工业领域的应用。

任职要求：
1.硕士及以上学历（优秀本科亦可），2年以上机器学习经验。
2.扎实的Python编程能力，熟练使用PyTorch/TensorFlow、Scikit-learn等。
3.熟悉常用机器学习与深度学习模型（XGBoost、CNN、LSTM、Transformer等）。
4.有工业数据处理经验，了解噪声、不平衡、缺失值等问题。
5.熟悉Linux、Git、Docker，了解模型部署（ONNX/TensorRT等）或MLOps优先。
6.良好的沟通能力，能适应产线调研与快速迭代。

加分项：
1.有PHM、缺陷检测、工艺优化等工业AI项目落地经验。
2.熟悉时序数据库或工业协议（Modbus/OPC UA）。",大模型 机器学习 Python PyTorch TensorFlow Scikit-learn 深度学习 XGBoost Transformer Linux Git Docker ONNX Modbus,https://jobs.51job.com/suzhou-gyyq/171705956.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI大模型算法工程师,苏州中析生物信息,1.5-2.5万,苏州·吴中区,苏州,硕士,3年及以上,2026-07-02 15:37:23,job51,"应届生不适合谢谢~

[岗位职责]
1.大模型应用开发:负责基于GPT、Llama、Qwen等开源大语言模型的微调(SFT/LoRA)、部署及推理优化，
解决业务场景中的实际问题(如实验优化方案、文档分析、Agent等)。
3、参与推理增强与思维链建模:CoT、ToT、ReAct、树状推理、多阶段推理等技术，构建可解释的推理链路;
4、使用LangGraph/LangChain搭建多节点推理工作流、工具链调度、状态机设计;构建高可用、可监控的推理代
理系统，支持复杂任务编排。

[任职要求]
1. 硕士及以上学历，计算机科学、人工智能、软件工程等相关专业，具备扎实的数学功底，覆盖线性代数、概率统计、数值方法等核心领域。
2. 熟练掌握Python，具有扎实的编码能力，熟悉Linux环境开发，熟练使用PyTorch、TensorFlow或Kermpt Engineering或RAG(检索增强生成)开发经验。
3. 具备工程化理念，深刻理解 Hamess Engineering的核心思想，构建AI的生产级底座。
4. 熟悉大模型的部署工具(如vLLM、TGI、Ollama)，有模型压缩(量化、蒸馏)经验者优先。

[加分项]
1. 有生物信息学背景，或熟悉生命科学领域数据标准(如FASTQ,PDB，SMILES)者优先。
2. 有实际的生产环境Agent调试经验，了解如何处理模型幻觉与长尾错误。",大模型 GPT LoRA Agent React LangChain 高可用 Python Linux PyTorch TensorFlow Gin RAG LLM,https://jobs.51job.com/suzhou-wzq/172773060.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI检测算法工程师,固势（苏州）科技,2-3万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-23 16:09:27,job51,"岗位职责：
1、模型引入与适配
负责调研、选型并引入适合工业检测大模型，完成模型接入。针对具体缺陷检测、分类、定位等任务，对预训练模型进行微调、适配和数据增强，提升在工业场景中的泛化能力。
2、模型轻量与优化
主导模型压缩（剪枝、量化、蒸馏）与加速（算子融合、层合并、NAS搜索），确保模型满足产线对延迟（≤100ms）、吞吐量和内存占用的严苛要求。解决工业数据分布偏移、小样本缺陷下的模型鲁棒性问题，降低误检/漏检率。
3、系统工程与性能调优
搭建模型部署Pipeline，集成数据预处理、推理引擎、结果后处理与业务系统（如MES/SCADA）。
监控并优化推理性能（CPU/GPU/NPU利用率、内存泄漏、I/O瓶颈），实现7x24小时稳定运行。
4、技术前瞻与闭环建设
跟踪边缘AI、大模型轻量化、自监督学习等前沿技术，探索在质检场景中的可行性。
参与从数据标注、模型训练到边缘部署的MLOps闭环体系建设，推动模型迭代自动化。

【任职要求】
1.	计算机/电子信息/人工智能等相关专业本科及以上学历，3年以上AI模型部署经验。
2.	精通PyTorch/TensorFlow框架，具备扎实的模型训练、调试与调参能力。
3.	熟练掌握模型转换与部署工具链（ONNX、TensorRT、TFLite至少一种），有边缘设备（Jetson、ARM NPU、华为Atlas等）部署实战经验。
4.	掌握模型量化（INT8/FP16）、剪枝、知识蒸馏等轻量化方法，能独立解决精度损失与性能平衡问题。
5.	熟练使用C++/Python，具备嵌入式Linux环境下的开发、调试与性能剖析能力。
6.	有计算机视觉项目经验（缺陷检测、语义分割、目标检测、3D点云处理等）。

加分项
1.	有模型NAS、稀疏训练、动态推理、混合精度训练等高级优化经验。
2.	掌握工业级软件工程规范（单元测试、CI/CD、Docker容器化、日志监控）。
3.	边缘部署与引擎集成经验优先。
4.	熟悉工业质检场景，了解AOI设备、光学成像、3D视觉或多模态融合技术。",大模型 PyTorch TensorFlow ONNX ARM C++ Python 嵌入式Linux 计算机视觉 CI/CD Docker 容器化 多模态,https://jobs.51job.com/suzhou-gyyq/173021078.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师,苏州华誉智能科技,1-2万,苏州·相城区,苏州,本科,3年及以上,2026-07-02 16:12:03,job51,"岗位职责
●针对业务场景（如视觉检测、语义理解、多模态生成、智能推荐等）进行算法选型、模型设计与性能优化。
●负责大语言模型在业务场景中的落地应用，包括智能体开发、知识库构建、检索增强生成等技术方向
●使用 PyTorch / TensorFlow 等框架完成模型训练、调参、验证及迭代，解决过拟合、长尾分布等实际问题。
●将算法模型进行推理优化（量化、剪枝、蒸馏等），并部署到云端、边缘端或移动端设备。
●编写核心算法模块的工程技术文档，沉淀可复用的算法库与工具链。
●跟踪国际***会议/期刊（CVPR、ICCV、NeurIPS、ACL、KDD等）最新进展，将前沿成果转化为落地生产力。
●与产品、工程、数据团队协作，将算法能力集成到产品中，保证端到端效果与业务指标达成。
技术能力
●编程基础：&nbsp;精通 Python，有规范的项目结构与面向对象设计能力；熟悉 C++ 优先，能够进行推理代码优化。
●框架应用：&nbsp;熟练掌握 PyTorch 或 TensorFlow 之一，熟悉常用库如 NumPy、OpenCV、Transformers、DeepSpeed 等。
●数学与算法基础：&nbsp;扎实的线性代数、概率统计、最优化理论功底，能够理解论文中的公式推导并复现核心算法。
●模型能力：&nbsp;深刻理解 CNN/RNN/Transformer、GAN、扩散模型、自监督学习等架构；在至少一个细分方向（CV/NLP/Speech/推荐/强化学习）有深入实践。
●工程化能力：&nbsp;熟悉 Linux 开发环境、Docker、Git，了解模型部署框架（如 ONNX、TensorRT、OpenVINO、Triton Server）或端侧部署流程。
●数据能力：&nbsp;熟练使用 SQL、Pandas 等工具进行大规模数据处理，有 Spark/Ray 等分布式数据处理经验优先。
●文档与沟通：&nbsp;具备良好的技术文档撰写习惯，能够清晰展示算法方案与实验结果。",多模态 PyTorch TensorFlow IPS Python C++ OpenCV Transformer GAN Linux Docker Git ONNX SQL Spark 分布式 知识库 技术文档,https://jobs.51job.com/suzhou-xcq/172774102.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI应用开发工程师,昆山丘钛微电子科技,1.8-2.5万·13薪,昆山,苏州,本科,3年及以上,2026-07-06 16:41:46,job51,"【岗位职责】
1. AI应用研发与落地

与业务团队协作，挖掘、研讨AI可落地的场景（如智能问答、辅助决策、内容生成等）；

编制AI应用开发计划，独立或带领团队完成从原型设计到开发、测试、上线的全流程工作；

持续跟进前沿AI技术（如Agent、多模态、微调等），评估并引入适合业务需求的新能力。

【任职要求】
基本条件

计算机、人工智能、数学等相关专业本科及以上学历，3年以上开发经验，至少1年AI应用或知识工程相关经验；

熟练掌握Python，具备良好的工程化编码习惯（类型注解、单元测试、版本管理）。

知识图谱与RAG

熟悉知识图谱基本概念（实体、关系、属性、图数据库），有Neo4j、JanusGraph或图查询语言（Cypher、Gremlin）实际使用经验；

理解RAG原理，有LangChain、LlamaIndex或Dify等框架的应用经验；

了解向量数据库（如Milvus、Pinecone、Chroma）及其与知识图谱的协同使用。

大模型与算力

熟悉主流大模型（如GPT、Claude、Qwen、DeepSeek等）的API调用及本地部署（如vLLM、Ollama、FastChat）；

具备算力调度经验，能配置、维护本地GPU服务器或云算力（如AutoDL、阿里云、AWS）；

有Prompt Engineering、工作流编排（Dify、Coze、Flowise等）实际经验。

应用开发

熟悉Web后端框架（FastAPI、Django等），能够独立开发AI服务接口；

了解前端基础（Vue/React）或具备全栈能力者优先；

具备良好的业务理解力与沟通能力，能将模糊的业务需求拆解为可执行的技术方案。",Agent 多模态 Python RAG LangChain 向量数据库 大模型 GPT LLM 阿里云 AWS Prompt Gin FastAPI Django Vue React 原型设计 版本管理 技术方案,https://jobs.51job.com/kunshan/172810285.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师（图像方向）,达智汇科技服务（苏州）,1.8-2.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:34:19,job51,"岗位职责：
1.负责工业图像相关算法研发，包括缺陷检测、图像分类、目标检测、语义分割等。
2.基于深度学习方法进行模型设计、训练、调优与验证，满足工业场景高精度、高鲁棒性要求。
3.将算法封装为高性能推理模块，支持在工业AI平台上使用 C++ 或 Python 进行部署与集成。
4.配合平台团队完成模型压缩、加速（TensorRT/ONNX）、边缘端适配等工作。
5.深入客户产线，理解质检、定位等实际需求，推动算法落地与迭代。

任职要求：
1.硕士及以上学历（优秀本科生亦可），计算机、自动化、图像处理等相关专业，2年以上图像领域算法经验。
2.熟练掌握 Python 或 C++，至少熟悉一种深度学习框架（PyTorch/TensorFlow/PaddlePaddle）。
3.熟悉常见图像任务模型（ResNet、YOLO、UNet、Transformer等）及其训练技巧。
4.有工业图像处理经验（如缺陷检测、OCR、定位测量），了解光照、噪声、小样本等工业难点。
5.熟悉 Linux、Git、Docker，有模型部署经验（ONNX、TensorRT、OpenCV等）。
6.良好的沟通能力，能接受短期现场调研与技术支持。

加分项：
1.有工业视觉检测项目落地案例（如光伏、锂电池、3C、钢铁等行业）。
2.熟悉 C++ 高性能编程，有推理服务开发经验。",深度学习 C++ Python ONNX PyTorch TensorFlow PaddlePaddle Transformer Linux Git Docker OpenCV 技术支持,https://jobs.51job.com/suzhou-gyyq/171706364.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
算法工程师,苏州纬旭智能装备,1.5-2.5万,苏州·吴江区,苏州,本科,5年及以上,2026-08-07 17:25:46,job51,"【工作内容】
- 参与公司核心业务的算法设计与优化，提升产品性能与用户体验；
- 负责数据挖掘、机器学习模型的开发与部署，推动技术落地；
- 与产品、研发团队紧密协作，推动算法在实际场景中的应用；
【任职要求】
- 本科及以上学历，计算机、数学、统计学等相关专业优先；
- 熟悉Python或Java等编程语言，具备良好的代码编写能力；
- 了解机器学习、深度学习基础理论，有相关项目经验者优先；
- 具备良好的逻辑思维能力和沟通协调能力，能快速适应团队环境。",机器学习 Python Java 深度学习,https://jobs.51job.com/suzhou-wjq/169522461.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师（大模型方向）,达智汇科技服务（苏州）,2-3.5万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:32:08,job51,"岗位职责：
1.负责工业领域大模型（LLM、多模态、时序大模型等）的研发、微调与部署，面向设备运维、工艺问答、文档理解等场景。
2.基于开源大模型进行指令微调、RAG、Prompt工程，提升模型在工业任务中的准确性与可控性。
3.将大模型能力集成到工业AI平台，实现高效推理服务与业务对接。
4.探索模型压缩、量化、分布式推理等工程优化，满足工业场景的响应时延与资源约束。
5.跟踪大模型前沿技术（LoRA、Agent、MoE等），推动在工业领域的创新落地。

任职要求：
1.硕士及以上学历（优秀本科生亦可），计算机、AI、数学等相关专业，2年以上NLP/多模态/大模型相关经验。
2.熟练掌握 Python 或 C++，熟悉至少一种大模型微调框架（LLaMA-Factory、FastChat、vLLM等）。
3.熟悉Transformer架构、常见开源大模型（Qwen、ChatGLM、LLaMA等）及其微调方法。
4.了解RAG、向量数据库、LangChain等组件，有实际调优经验。
5.有模型部署经验（TensorRT-LLM、ONNX、FastAPI等），熟悉Linux、Docker、Git。
6.良好的逻辑与沟通能力，能理解工业场景需求并转化为模型方案。

加分项：
1.有工业知识库问答、设备维护助手、工业报告生成等项目落地经验。
2.熟悉C++高性能推理或分布式训练（DeepSpeed、Megatron）。
3.有大模型量化（GPTQ、AWQ）或边缘端部署经验。",大模型 LLM 多模态 RAG Prompt 分布式 LoRA Agent Python C++ Transformer 向量数据库 LangChain ONNX FastAPI Linux Docker Git GPT 知识库,https://jobs.51job.com/suzhou-gyyq/171706677.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法研究员,光子智构（苏州）科技,2.5-5万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-08-06 17:35:34,job51,"岗位职责：
1.	负责医学影像AI算法研发，包括但不限于图像增强、图像重建、图像降噪、图像分割、目标检测、病灶识别、智能诊断、多模态AI及医学大模型等相关算法开发与优化。
2.	负责AI算法方案设计、模型训练、算法优化、代码开发、调试、测试、部署及产品发布，持续提升模型精度、稳定性及运行效率。
3.	负责AI算法在医学影像设备及公司平台中的集成，与影像物理、系统、硬件及软件团队协同完成产品开发及性能优化。
4.	参与CT、CBCT、 DR等医学影像产品AI功能研发，持续优化成像质量及智能分析能力。
5.	负责医学影像数据处理、模型训练、性能评估及算法验证，建立完善的数据分析及评价体系。
6.	编写算法设计文档、医疗器械注册及认证相关技术文档，支持产品研发及注册工作。
7.	跟踪人工智能及医学影像领域前沿技术，推动算法创新、专利布局及论文发表。
8.	指导和支持团队成员解决算法研发过程中的关键技术问题，促进团队技术能力提升。

任职要求：
1.	硕士及以上学历，计算机科学、人工智能、计算机视觉、数学、模式识别、生物医学工程、医学影像等相关专业，具有5年以上AI算法研发经验。博士优先；
2.	熟悉机器学习、深度学习理论，掌握 CNN、ResNet、U-Net、YOLO、Transformer、SAM、多模态大模型、AI Agent 等主流算法，并具备模型训练、优化及工程落地能力。
3.	熟练使用 Python 和 C++ 进行算法开发，熟悉 PyTorch 或 TensorFlow 等深度学习框架，具备良好的工程编码能力。
4.	熟悉医学图像处理相关算法，包括图像增强、重建、降噪、分割、检测、分类等，具有医学影像AI研发经验者优先。
5.	熟悉 Linux 开发环境，了解 OpenCV、CUDA、ONNX、TensorRT 等工具，具备算法部署及性能优化经验者优先。
6.	有 CT、DR、CBCT、X射线医学影像 或医学影像探测器相关项目经验，熟悉 DICOM 标准者优先。
7.	具备良好的科研能力和技术创新能力，有医疗AI产品研发、论文、专利或科研项目经验者优先。
8.	工作积极主动，责任心强，具有良好的沟通协作能力和团队合作精神，能够独立分析和解决复杂技术问题。",多模态 大模型 计算机视觉 机器学习 深度学习 Transformer SAM AI Agent Python C++ PyTorch TensorFlow Linux OpenCV ONNX 方案设计 数据分析 技术文档 专利,https://jobs.51job.com/suzhou-gyyq/173181929.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
算法工程师（苏州）,苏州睿仟科技,2.5-3.5万,苏州·高新区,苏州,硕士,3年及以上,2026-07-17 15:44:09,job51,"一、岗位职责
1、算法开发，利用各种图形处理技术和数学方法，确保算法在不同平台上的功能实现并保证稳定性和可靠性；
2、算法优化与调试，针对已有图像处理进行算法优化和参数调整与测试，提高效率和准确性；
3、数据处理与分析：针对现有图像，进行预处理、体征提取和数据清洗等，进一步优化算法；
4、技术文档输出：撰写并更新研发过程中的各种文档；
5、领导安排的其它任务。
二、岗位要求：
1、本科及以上学历；
2、自动化、计算机、数学等专业、电子信息工程等专业；
3、有深度学习相关经验优先。",深度学习 技术文档,https://jobs.51job.com/suzhou-gxq/172952318.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
AI算法工程师（AI应用工程师）,思码睿猎人才咨询（上海）,1.3-2万,苏州,苏州,本科,3年及以上,2026-07-23 09:31:37,job51,"岗位职责：
1. AI场景方案落地：定制适配业务的AI解决方案，落地各类智能化赋能项目。
2. 全栈开发与部署：独立完成AI项目前后端开发、模型微调与系统集成，负责项目云端、本地化部署调试，保障系统稳定运行与迭代。
3. 需求迭代：跟进上线反馈，持续优化产品功能、修复线上问题。
4. 技术调研与沉淀：跟进前沿AI技术与框架，结合业务沉淀可复用技术方案、开发文档与通用工具，赋能团队项目落地。
5. 项目落地保障：全程跟进AI项目生命周期，负责系统运维监控、性能调优与故障排查，实现业务降本提效提质。
任职要求：
1.双一流本科以上学历，计算机科学与技术人工智能，软件工程，数据科学与大数据技术，自动化 / 控制工程等相关专业；
2.有3年及以上AI项目开发经验，具备编程、全栈开发、数据库、系统部署等能力。
3 AI专业基础：掌握各类主流AI技术原理，熟练运用提示词工程、RAG、模型微调等落地技术，可独立完成AI场景适配优化。
4 全栈开发能力：具备前后端全栈开发能力，精通Python，熟悉主流前后端框架与数据库，可独立搭建开发完整AI应用系统。
5. 项目部署与运维：熟悉Linux系统与容器化、云端部署技术，了解CI/CD自动化流程，具备项目部署、运维、故障排查与性能优化能力。
6 系统集成能力：熟练对接第三方接口，可完成AI能力与现有各类业务系统的深度集成，打通业务数据与功能壁垒。
7. 技术学习与应用：具备优秀的前沿AI技术学习能力，可快速掌握新技术并落地应用，适配多元业务智能化需求。",RAG Python Linux 容器化 CI/CD 技术方案 系统运维 故障排查,https://jobs.51job.com/suzhou/173011454.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
ai工程师,太仓黑龙智能工业科技,1.5-2.5万,太仓,苏州,本科,3-5年,2026-08-03 11:16:51,job51,"1. 基础门槛
本科及以上学历，计算机、信息技术、工业工程等相关专业
3-5年AI产品、数字化落地、业务流程优化经验
有制造业一线业务或项目经验者优先（如生产、质量、销售等岗位轮岗经历）
2. NocoBase数据平台能力
熟练搭建业务数据模型、设计表结构、配置数据权限与自动化工作流程
精通API对接，可实现用友、金蝶等系统数据互通
能制作可视化数据看板并持续迭代优化，保障业务系统落地可用
3. WorkBuddy AI落地能力
熟悉AI智能体Skill机制、多Agent协作逻辑
精通场景化Prompt定制与优化，拒绝模板化套用
可独立部署、调试各部门AI智能体，持续提升AI输出质量
4. 深度业务能力
可深入一线车间及办公场景（30%以上一线工作时间）
穿透表层需求，挖掘业务本质痛点
自主验证产品实用性，确保功能贴合实际业务、好用易用
5. 担当决策能力（核心硬性要求）
可独立对方案做出判断并给出明确依据，敢于对项目结果负责
工作计划量化可考核，遇事不推诿、不打太极
问题优先复盘整改，主动承担责任
6. 综合素质
有独立主见、结果导向、抗压性强、沟通高效
具备产品闭环思维与业务敏感度
擅长将线下SOP转化为数字化、智能化流程",Agent Prompt 流程优化 WorkBuddy,https://jobs.51job.com/taicang/173126567.html?s=sou_sou_soulb&t=0_0&req=c518bb9ab9fa25a96220143707b85d7d
