job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
生物信息分析工程师,苏州金唯智生物科技,1.3-2.3万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:29:05,job51,"岗位价值：
 作为研发实验室核心成员，您将参与高通量数据分析处理和科研项目交付，以高质量结果支持全球生命科学客户的创新研究。

主要职责：
1. 负责运用统计学方法、各类生物信息软件和现有流程，对高通量测序产生的数据进行分析。
2. 负责二代、三代高通量测序数据分析流程开发。
3. 负责其他项目相关生物信息数据的采集、整理、挖掘和利用。
4. 负责生物信息学分析流程的文档整理。

任职要求：
必备：
1. 具有生物信息学、分子生物学、计算机或数理学相关专业硕士及以上学历。2年以上相关工作经验。
2. 具有较好的编程能力，熟悉Perl/C++/MATLAB/R/Python中的一种或一种以上。
3. 熟悉Linux操作系统，具有高通量测序数据项目分析经验。
4. 能熟练阅读专业文献，自主查阅相关文献，具有较强的分析解决问题的能力。
5. 自我驱动型，沟通、学习能力强，有良好的团队合作精神。

优先：
1. 有三代Pacbio或ONT测序平台数据分析经验者优先。
2. 熟悉常用生物信息数据库，如UCSC、SwissProt、KEGG、NCBI、EBI，了解生物统计学相关知识者优先。

职业发展机会：
 我们提供技术专家和团队管理双通道职业发展路径。您可通过岗位培训、项目实践和跨团队协作，逐步成长为高级技术人员、实验室主管或专业技术专家。",Perl C++ MATLAB Python Linux 数据分析 团队管理 培训,https://jobs.51job.com/suzhou-gyyq/173194228.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
FDE工程师,苏州富纳智能科技,1-2万,苏州,苏州,本科,3年及以上,2026-08-07 13:23:41,job51,"岗位职责 深⼊客户⼀线，将模糊业务需求拆解为清晰的技术架构⽅
案与执⾏计划；
负责数据集成与系统对接；AI ⽅向负责⼤模型微调、RAG
系统构建、Agent ⼯作流搭建；
将⽅案⾼质量部署⾄客户私有云 / 本地基础设施，处理边
界案例与性能优化；
沉淀前线通⽤需求与产品缺陷，⾼保真反馈总部研发，推
动标准化产品迭代；
制作操作⼿册、开展客户培训，保障⽅案⻓期稳定运⾏。
⼯作内容 场景拆解 · 定制开发（RAG / Agent）· 现场部署（Docker
/ K8s / 私有云）· 客户培训 · 项⽬全周期交付与持续优化 ·
产品反馈闭环。
具体要求 本科及以上，计算机相关；扎实算法与代码功底，精通
Python / Java / Go ⾄少⼀种；
熟悉 LLM 原理，有 RAG、向量数据库、Agent 开发或⼤
数据组件（Spark / Flink）实战经验；
熟练 Docker / Kubernetes，熟悉主流公有云（阿⾥云
等）部署；
极强沟通⼒，兼具""⼯程脑""与""商业脑""，能快速理解制造
业业务逻辑；
抗压⾃驱，适应短期出差 / 驻场（富纳含常熟、苏州及合
作基地驻场）。",RAG Agent Docker K8s Python Java Go LLM 向量数据库 Spark Flink Kubernetes 产品迭代 培训,https://jobs.51job.com/suzhou/173189629.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
大数据工程师,苏州通富超威半导体,1-1.3万·13薪,苏州,苏州,本科,3年及以上,2026-06-25 09:42:39,job51,"1．	有计算机互联网工作经验，能独立开发并完成大数据平台和可视化网页，有MES/SAP等企业项目开发经验优先；
2．	擅长JAVA，Python， C++等常用编程语言，逻辑分析能力强，擅长编写开发小程序，辅助工程师进行BOM数据自动维护，Label比对等工程数据处理和分析工作；
3．	有AI项目开发经验，基于检测机器进行机器深度学习、测试，开发搭建智能视觉检测模型，提升生产效率。

以下情况优先
AI/大数据/智能制造背景经验
• 生产制造工厂从业经验
• 生产/质量等大数据分析和管理相关经验
• 有制程/工程改善和智能管理项目经验优先",Java Python C++ 深度学习 数据分析 AI,https://jobs.51job.com/suzhou/169152515.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
资深IE工程师,苏州卡门哈斯激光技术,1-2万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 10:39:29,job51,"一、岗位职责
1. 制造系统规划与产能战略
·负责新厂区/新产线的全流程规划（概念至落地），统筹水电气配给、物流通道及洁净度分区，满足激光光学高精度制造要求。
·建立并维护公司级产能模型，精准测算人力、设备及场地需求，为经营决策提供数据支撑。
2. 精益生产体系搭建
·从0到1搭建或优化现有精益生产管理体系（含组织架构、流程制度、考核激励）。
·搭建公司级提案改善平台，营造全员改善文化，定期组织精益主题会。
·主导价值流图分析，重点识别振镜组装与光学调试环节的浪费，制定并实施未来状态图。
3. NPI可制造性导入
·深度介入新产品开发，主导可制造性评审，从工艺、装配效率及成本角度输出优化建议。
·负责NPI阶段产线搭建、工时预置、SOP预审及试产闭环，缩短新品爬坡周期。
4. 运营效率与成本控制
·建立多维度效率监控体系，设定挑战性目标并推动达成。
·主导重大降本增效项目（如自动化ROI评估、线体合并、人机作业优化）。
·运用方法论解决复杂制程变异，提升产品一致性。
5. 标准化与数字化赋能
·建立和维护标准工时数据库，确保数据准确与时效。
·利用大数据进行瓶颈分析与预测性维护。
·编制IE技术培训教材，培养内部工业工程人才梯队。
二、任职要求
1. 学历与背景
·本科及以上学历，工业工程、机械制造、光学工程或相关专业。
·5年以上制造业IE经验，有激光、光通信、精密光学或半导体封装行业背景优先考虑。
2. 专业技能
·精通设施规划，有大型新厂规划或旧厂搬迁成功经验；熟练使用设计及仿真软件。
·精通VSM、SMED、Poka-Yoke、Pull System等工具；持有Lean Six Sigma黑带（BB）证书优先。
·精通MOD法及秒表测时，擅长复杂多人多机作业分析，具备深厚动作经济学理论基础。
·具备PMP或同等项目管理能力，能独立领导跨部门变革项目。
3. 行业认知
·深刻理解光学元器件及激光器件的生产工艺流程。
·熟悉高精度装配对环境（温湿度、洁净度、防微震）的严苛要求，并能融入产线设计。
·了解激光焊接/清洗系统的装配逻辑，能识别关键质控点与效率瓶颈。
4. 软性素质
·具备极强的跨部门沟通及高层汇报能力，能有效推动变革方案落地。
·擅长将IE改善转化为财务语言，理解其对利润的贡献。
·适应制造业快节奏与多变环境，能在压力下驱动项目达成。",成本控制 培训 项目管理 SMED Poka-Yoke Pull Six BB,https://jobs.51job.com/suzhou-gyyq/173186960.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
精益工程师,苏州杰锐思智能科技,1-1.5万,苏州·吴中区,苏州,本科,5年及以上,2026-08-07 09:23:58,job51,"岗位职责：
1、跟踪场地产能负荷、人力配置与加工需求的匹配度，建立产能预警机制，向总经理提出资源调配建议；
2、承接公司级运营改善课题，制定项目计划、里程碑与责任人，推动落地并验收成果；
3、运用精益工具（VSM、5S、TPM、标准化作业等）诊断运营流程痛点，输出改善方案；
4、组织运营周会/月度复盘会，督办改善事项闭环，建立改善案例库；
5、推动运营中心各职能部门流程标准化，减少跨部门协作摩擦；
6、协助搭建运营KPI监控体系（人效、OEE、库存周转率、一次合格率等），跟踪达成情况并预警异常；
7、编制运营周报/月报，输出经营成本与人效的基础分析，支撑管理层决策；
8、建立运营风险预警机制与应急预案，推动制度落地执行。
任职资格要求：
1、本科及以上，财务管理、统计学、工业工程、管理科学等相关专业；
2、拥有5年以上制造业精益改善/运营分析经验，非标制造业背景优先；
3、数据敏感度高，能将数据转化为业务管理；熟悉制造业成本核算逻辑；
4、能进行Excel高级应用（函数/透视表/图表）、Power BI等BI工具优先，
有制造业经营分析体系搭建经验。",跨部门协作 VSM TPM OEE Power,https://jobs.51job.com/suzhou-wzq/173184909.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
SQE工程师,苏州汉瑞森光电科技,1-1.5万,苏州,苏州,本科,3年及以上,2026-08-08 13:22:05,job51,"【工作内容】
1、负责电子/半导体供应链来料质量管控，主导供应商制程审核与现场异常处理；
2、执行 IQC 进料检验标准制定，针对批量不良发起 8D 报告并追踪整改闭环；
3、协同研发与采购部门，推动新供应商导入评估及现有供应商年度绩效改进；
4、监控产线物料质量数据，分析良率波动原因，输出专项改善方案并落地实施。

【任职要求】
1、本科及以上学历，电子工程、材料科学或相关专业，具备 3 年以上 SQE 经验；
2、精通 ISO9001/IATF16949 体系，熟练掌握 8D、SPC、MSA、FMEA 等质量工具；
3、熟悉半导体封装测试或电子元器件特性，能独立解读图纸与技术规格书；
4、具备优秀的跨部门沟通协调能力，抗压性强，适应快节奏项目交付环境。",供应链 采购 IQC SQE ISO9001 IATF16949 SPC MSA,https://jobs.51job.com/suzhou/173199215.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
功率器件可靠性工程师,上海微谱检测科技集团,6-9千·13薪,苏州·吴江区,苏州,大专,1年,2026-08-07 11:38:49,job51,"岗位职责：
1. 熟悉功率器件静态参数（B1506A机台），动态参数，热阻等特性参数测试并完成数据整理分析（T3ster），熟悉使用功率器件可靠性设备，例如功率循环试验机（杭可、Mentor机台），HTRB、HTGB、H3TRB等等设备。
2. 熟悉功率器件芯片（Si、IGBT、SiC MOSFET）测试方案（双脉冲，短路，浪涌等），具有丰富的功率器件测试及PCB设计和调试经验；
3. 熟练使用直流电源，示波器信号源、功率分析仪，电子负载电压及电流探头等功率测试仪器设备，进行功率器件电学特性测试（B1506A机台）；
4. 可根据客户提供的样品，利用相关测量仪器进行datasheet的测试和编制。
5. 熟悉Mosfet、IGBT、SiC、GaN等功率器件工作原理；
6. 熟悉车规芯片的AEC Q101和AQG324测试标准，且对可靠性部分测试和设备有丰富的经验。",GAN T3ster HTRB HTGB Si IGBT SiC MOSFET,https://jobs.51job.com/suzhou-wjq/173188565.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
QE工程师,苏州丹鹤自动化科技,6-8千,苏州·高新区,苏州,大专,3年及以上,2026-08-07 14:37:42,job51,"岗位职责
1、质量管理体系维护：负责 ISO9001/IATF16949 体系日常维护，完成内部审核、客户审核、第三方审核对接，跟进不符合项整改闭环，更新检验规范、控制计划等质量文件。
2、全流程质量管控：负责来料 IQC、制程 IPQC、成品 OQC 质量管控；监督首件、巡检、末件执行；处置来料、生产现场质量异常，做好不合格品隔离、评审、处置，避免批量质量事故。
3、质量问题改善：主导内部异常、客户投诉、客退问题处理；运用 8D、5Why、QC 七大手法做根因分析，制定纠正预防措施，跟进改善落地，完成问题闭环；输出 8D 改善报告给到客户。
4、质量数据分析：统计良率、不良率、报废、客诉等质量数据，编制质量周报 / 月报，识别质量风险，推动持续改善，降低不良与客诉率。
5、供应商质量协同：协助采购开展供应商质量评估、来料异常推动供应商整改，必要时参与供应商现场稽核。
6、新品质量跟进：参与新产品试产，识别质量风险，输出质量相关要求，跟踪试产问题整改，支撑产品顺利转量产。
7、质量培训宣导：对检验员、生产人员开展质量标准培训，提升全员质量意识，完成上级交办其他工作。

【任职要求】
1、大专及以上学历，机械、自动化、电子或计算机相关专业，具备扎实理论基础；
2、熟悉ISO9001体系及SPC、FMEA等质量管理工具，拥有3年以上相关岗位经验；
3、具备相关制造业（如3C消费电子、汽车电子、半导体、机械等）的质量管理或测试工作经验；
4、具备优秀的跨部门沟通协调能力，能够推动研发、生产、采购等部门协同解决复杂质量问题；
5、工作严谨细致，责任心强，具备敏锐的质量风险意识和抗压能力；
6、具备良好的文字表达能力，能独立撰写高质量的质量分析报告及体系文件。",数据分析 采购 培训 ISO9001 IATF16949 IQC IPQC OQC,https://jobs.51job.com/suzhou-gxq/173191381.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
项目工程师,苏州圣远成汽车附件,5-6千·13薪,苏州·吴江区,苏州,本科,1-3年,2026-08-08 13:21:35,job51,"岗位职责：
1、质量体系管理：负责配合公司质量体系审核、客户审核工作，统筹筹备各类审核所需文件资料，确保审核工作顺利推进；依托体系标准对公司现有项目文件进行梳理、整理、优化，完成文件规范化、标准化落地，完善内部项目文件库。
2、新项目流程搭建：主导新项目全流程系统化管控，从项目启动初期介入，规范新项目开发、运作流程，逐步搭建标准化、正规化的内部项目运作体系，持续优化项目管理流程，提升公司项目运营规范性与高效性。
3、客户对接与样件管理：负责日常客户微信群对接，及时响应客户需求，精准传达客户样件要求，统筹安排内部样件生产、校验及送样全流程工作，保障样件交付时效与质量，满足客户研发、送检需求。
4、材料数据系统填报：严格按照客户标准及行业规范，前期在经理指导下，后期独立完成CAMDS、IMDS系统数据的录入、核对、修改及提交工作。
5、订单与生产计划管理：定期查询客户订单系统，同步更新订单信息，在公司内部系统精准维护订单数据及发货计划；依据既定发货计划，统筹排布每日生产任务，合理调配生产资源，保障生产有序推进、按期交付。
6、采购进货规划：实时核对原材料库存数据，结合在手订单需求、生产排期计划，科学制定原材料进货计划。
7、客诉与现场问题处理：按需赴客户现场参与专项会议，主动对接、跟进客户反馈的各类质量问题，牵头排查问题根源，制定整改方案并跟踪落地，闭环解决现场质量异常，维护客户合作关系。
8、完成上级经理安排的其他项目相关工作。
三、任职要求
1、本科及以上学历，机械、汽车工程、质量管理等相关专业优先，1-3年制造业项目工程师或质量体系工程师相关工作经验，有汽车零部件行业从业经验者优先。
2、必备核心经验：熟悉ISO9001质量管理体系，具备IATF16949汽车行业质量体系实操经验者优先，熟练掌握体系文件搭建、审核筹备、流程优化相关工作。
3、具备良好的文件处理能力，擅长项目资料梳理、标准化编制与优化，熟悉企业内部项目流程搭建与落地管控。
5、具备基础的生产计划、订单管理、物料统筹能力，能够结合库存、订单合理排布生产及进货计划。
6、沟通协调能力良好，可高效对接客户，独立处理客户现场质量问题及各类对接事宜，抗压能力强，工作严谨细致、责任心强。
7、熟练使用Office办公软件，具备较强的文档编辑能力。",项目管理 采购 流程优化,https://jobs.51job.com/suzhou-wjq/173199212.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
产品数据工程师,苏州苏纳光电,1-1.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-15 09:16:45,job51,"工作职责:
产品料号与BOM管理：
 1、负责新产品开发阶段的料号申请、编码规则遵循与系统建立，确保物料信息***性与准确性。
 2、负责产品EBOM（设计BOM）转MBOM（制造BOM）的审核、发布与变更维护。
 3、主导工程变更（ECN/ECO）流程的数据端操作，跟踪变更闭环并监督各部门执行情况。
工艺流程与数据支持：
 1、配合工艺部门维护系统内的标准工艺流程路线，确保工艺数据与BOM结构的一致性。
 2、协助处理研发试产阶段的工艺文件关联与数据异常排查。
技术标准文件撰写与归档：
 1、负责编写、更新总体办的数据管理规范、料号命名规则、BOM结构搭建标准等SOP文件。
 2、负责研发技术文档的标准化审查、格式规范与受控发布。
任职资格:
一、基本要求：
 学历：本科及以上学历，机械、电子、工业工程、信息管理等相关专业优先
 经验：3年以上研发助理、BOM工程师、配置管理或标准化工作经验。
二、硬性技能：
 熟悉主流ERP系统（如SAP、Oracle、用友U9、金蝶云星空）的物料与BOM模块操作。
 精通Excel数据清洗与比对（必备能力，需熟练使用VLOOKUP/透视表）。
 了解PDM/PLM系统逻辑，有ECN变更流程实操经验。
三、核心软素质：
 逻辑严谨，极度细心：对数字、编码、版本号有天然的敏感性，绝不容忍混乱的数据。
 文笔规范：具备良好的技术文档编写能力，能用清晰的书面语言制定规则。
 沟通韧性：能够在研发工程师的“灵活性需求”与公司的“规范性要求”之间找到平衡点，推动流程落地。",Oracle 技术文档 ECN ECO,https://jobs.51job.com/suzhou-gyyq/172912902.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
资深产品数据工程师,苏州苏纳光电,1.5-2.5万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-14 08:35:26,job51,"工作职责:
产品料号与BOM管理：
 1、负责新产品开发阶段的料号申请、编码规则遵循与系统建立，确保物料信息***性与准确性。
 2、负责产品EBOM（设计BOM）转MBOM（制造BOM）的审核、发布与变更维护。
 3、主导工程变更（ECN/ECO）流程的数据端操作，跟踪变更闭环并监督各部门执行情况。
工艺流程与数据支持：
 1、配合工艺部门维护系统内的标准工艺流程路线，确保工艺数据与BOM结构的一致性。
 2、协助处理研发试产阶段的工艺文件关联与数据异常排查。
技术标准文件撰写与归档：
 1、负责编写、更新总体办的数据管理规范、料号命名规则、BOM结构搭建标准等SOP文件。
 2、负责研发技术文档的标准化审查、格式规范与受控发布。
能力建设:
 1、负责部门产品数据组的能力建设；
 2、负责产品数据管理相关系统的规划、评估及配合相关单位的导入。
任职资格:
一、基本要求：
 学历：本科及以上学历，机械、电子、工业工程、信息管理等相关专业优先
 经验：5年以上BOM工程师、配置管理或标准化工作经验。
二、硬性技能：
 熟悉主流ERP系统（如SAP、Oracle、用友U9、金蝶云星空）的物料与BOM模块操作。
 精通Excel数据清洗与比对（必备能力，需熟练使用VLOOKUP/透视表）。
 了解PDM/PLM系统逻辑，有ECN变更流程实操经验。
三、核心软素质：
 逻辑严谨，极度细心：对数字、编码、版本号有天然的敏感性，绝不容忍混乱的数据。
 文笔规范：具备良好的技术文档编写能力，能用清晰的书面语言制定规则。
 沟通韧性：能够在研发工程师的“灵活性需求”与公司的“规范性要求”之间找到平衡点，推动流程落地。",Oracle 技术文档 ECN ECO,https://jobs.51job.com/suzhou-gyyq/172895719.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
Software Engineer III数据工程师,昆山杜克大学,1.2-1.5万,苏州,苏州,本科,5年及以上,2026-07-14 09:59:23,job51,"Position Overview:
Duke Kunshan University is a world-class liberal arts university offering high-quality, interdisciplinary undergraduate and graduate programs. The IT Applications team within the Office of Information Technology works closely with customers and peer teams to deliver a wide range of applications and services.

This position is for a Data Engineer, a key technical role within the IT Applications team. You will be responsible for building and evolving the core data platform for Duke Kunshan University. Your work will be instrumental in enabling university-wide, data-driven decision-making by transforming our diverse data ecosystem into a scalable, reliable, and well-governed analytical foundation. We are looking for a technical expert who not only excels in engineering but also collaborating with business stakeholders to ensure our data assets deliver maximum impact.

Reports to:
Manager – IT Applications

Essential Duties:
1.	Collaborate with customers, business analysts and stakeholders to understand business needs and translate them into effective data architecture and pipeline solutions.
2.	Design, build, and manage robust, scalable data ingestion and integration pipelines to consolidate data from diverse source systems into a central data platform for data processing and automation.
3.	Design and implement scalable data models for the enterprise data platform to transform and structure raw data into reliable, well-documented datasets that serve for analytics and data products.
4.	Develop and maintain core components of the data platform including data service APIs, a unified data asset catalog, and standardized data layers to empower self-service analytics and data product consumption.
5.	Collaborate with business teams to define key metrics and success criteria for data products and take ownership of developing the corresponding dashboards and visualizations to translate data into actionable insights.
6.	Contribute to the data governance framework by collaborating with Data Owners to implement data quality standards, monitoring, and remediation, and to ensure data assets are properly classified, documented, and accessible.
7.	Ensure the operational excellence, stability, and performance of the data platform through proactive monitoring, troubleshooting complex issues, and systematic optimization of queries and pipelines.
8.	Create and maintain comprehensive technical documentation for data architectures, pipeline specifications, data dictionaries, and operational procedures.
9.	Stay current with emerging technologies and best practices in data engineering, cloud platforms, and big data ecosystems to drive continuous innovation.
10.	Work toward achieving assigned annual objectives and KPIs, demonstrating accountability for performance and results.
11.	Perform other duties as assigned.
12.	University employees' job responsibilities will continue to expand in scope and depth as the University grows in size and complexity in its programs.

Required Qualifications:
1.	Full-time bachelor’s degree or above in information technology, computer science, or a related field preferred.
2.	At least 5 years of professional experience in data engineering or a closely related field.
3.	Strong ability to collaborate effectively with stakeholders and communicate with both technical and non-technical audiences.
4.	Excellent oral, written, and interpersonal communication skills in both English and Chinese.
5.	Strong motivation and capacity to learn new concepts and apply emerging technologies to transform business and technical processes and drive continuous improvement.
6.	A strong interest in, coupled with a practical understanding of, the complete data product lifecycle—from data curation and development to enabling consumption and measuring business impact.
7.	A strong sense of ownership for the stability, performance, and data quality of the systems you build.
8.	Experience in building data ingestion pipelines, pulling data from diverse sources, and orchestrating the subsequent ETL/ELT processes to deliver clean, reliable data for downstream consumption.
9.	Practical experience with Python for data processing, automation, and scripting. Familiarity with Java or Scala is a plus.
10.	High proficiency in SQL and extensive hands-on experience with at least one major RDBMS (e.g., PostgreSQL, MySQL, SQL Server, Oracle).
11.	Practical, hands-on experience with modern cloud data platforms and services (e.g., Snowflake, Databricks). 
12.	Solid understanding and practical experience in data modeling for analytical systems (e.g., Star Schema, Snowflake Schema, Data Vault).
13.	Solid understanding of data governance principles and hands-on experience with supporting tools for metadata management, data lineage, or data quality.
14.	Partner with stakeholders to define data product and related metrics and develop the corresponding tracking dashboards (e.g., Tableau, Power BI).
Preferred Qualifications
1.	Hands-on experience in implementing a data platform end-to-end. Direct experience within a higher education setting is a strong plus.
2.	Hands-on experience with distributed data processing frameworks (e.g., Apache Spark) and streaming data technologies (e.g., Apache Kafka, Flink).
3.	Experience productizing administrative data and metrics via APIs (e.g., RESTful, GraphQL).
4.	Expertise in enterprise data warehouse design, including dimensional modeling, layered architecture, and metric system planning.
5.	Experience in designing and supporting data analysis solutions for AI/ML and LLM initiatives.
6.	Practical experience with enterprise systems (e.g., ERP like Oracle, SAP) in a complex organizational environment.
7.	Experience in building data solutions for core administrative domains (e.g., Finance, HR), with an understanding of the key data entities, lifecycle, and quality requirements specific to these functions.

How to Apply:
Please be advised the salary is commensurate with experience.
Please submit your formal application by searching the position on DKU recruitment portal.",Gin Scala Go Perl Python Java SQL PostgreSQL MySQL SQL Server Oracle Spark Kafka Flink LLM GAN,https://jobs.51job.com/suzhou/171627406.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
高级数据工程师,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,5年及以上,2026-06-12 19:05:40,job51,"岗位职责：
1. 负责设备日志、运行状态、报错码、传感器数据、测试结果、维修记录和业务系统数据的接入。
2. 设计设备、客户、项目、批次、时间、故障和维修记录等标准数据模型。
3. 建设批量和实时数据管道，处理数据库、文件、Kafka、MQTT、HTTP 和设备私有接口等数据来源。
4. 负责数据清洗、标准化、关联、去重、异常处理、历史补录和数据质量监控。
5. 与业务部门共同定义设备在线率、故障率、维修时长、诊断准确率、测试通过率等指标口径。
6. 将设备数据和指标封装为稳定的数据 API，供 Agent、Skill、产品页面和分析系统使用。
7. 开发设备状态查询、近期告警、历史故障、维修记录、测试结果和指标趋势等数据类 Skill。
8. 建设面向设备文档、故障案例、维修记录和测试资料的 RAG 知识库，负责文档解析、数据清洗、切分、索引、检索和效果优化。
9. 建设数据权限、敏感数据脱敏、客户隔离、数据血缘、数据版本和审计机制。
10. 支持客户现场、客户内网和离线环境的数据接入与部署。
11. 与 AI 架构工程师共同定义 Agent 数据调用规范，与全栈工程师协作完成数据在产品中的使用。

任职要求：
1. 计算机、数据工程、软件工程或相关专业本科及以上学历，5 年以上数据工程或数据平台经验。
2. 熟练掌握 Python、SQL，并具备稳定数据 API 的开发能力。
3. 熟悉 ETL、实时数据处理、任务调度、数据质量和数据建模。
4. 熟悉 PostgreSQL、时序数据库、分析数据库及 Redis 等数据组件。
5. 熟悉 Kafka、MQTT 或其他消息和设备数据接入方式。
6. 能够处理日志、指标、时序数据和复杂设备数据。
7. 具备指标体系建设经验，能够明确指标定义、计算公式、数据来源和更新机制。
8. 具备 RAG 知识库建设经验，熟悉文档解析、文本切分、Embedding、向量检索、混合检索、召回优化和效果评估。
9. 熟悉 Docker、Linux 和数据服务部署，能够定位数据链路和生产问题。
10. 具备数据安全、权限隔离、脱敏和客户数据保护意识。",Kafka MQTT Agent RAG Python SQL PostgreSQL Redis Embedding Docker Linux 知识库 审计,https://jobs.51job.com/suzhou-gxq/172539759.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
数据工程师(J10111),福立旺精密机电（中国）,8千-1.6万,昆山,苏州,大专,3年及以上,2026-06-15 19:11:47,job51,"工作职责:
1、统筹全检车间数据系统基础搭建与维护
2、建立数据稽核机制，规范统计方法，确保源头数据准确
3、报表整合与标准化
4、趋势分析、异常追踪改善、良效率关联分析
5、对接客户/品质/验证团队，按需输出专项分析报告
6、指标设定与监控预警，支持生产决策
任职资格:
1、熟练使用 Excel / 数据库工具，具备数据分析与可视化能力
2、有制造业/全检产线数据工作经验者优先
3、有主导过整线Layout规划、新工厂搬迁规划、或重大降本增效专项项目经验者优先考虑。",数据分析 Excel,https://jobs.51job.com/kunshan/172565040.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
临床数据工程师,敏捷医疗科技（苏州）,1-1.8万·14薪,苏州·吴中区,苏州,本科,5-10年,2026-07-07 15:03:09,job51,"岗位职责：
1、医学数据标准与治理：严格遵循DICOM/NIfTI等医学影像标准，负责多模态数据的清洗、脱敏与格式解析，确保数据底层的质量与合规性。
2、质控与管理：负责标注团队的技术培训与管理，执行多维质控（如Dice一致性检查），解决疑难样本的语义歧义。
3、工具迭代：协同算法团队开发基于SAM2的半自动标注工具，优化“预标注+人工修正”工作流，提升人效。
4、技能沉淀与SOP化：将复杂的临床标注经验抽象化，沉淀为可复用的标注技能库（Skill Sets）与标准化作业程序（SOP），赋能团队并降低边际成本。

任职要求：
1、专业背景：医学影像、生物医学工程等相关专业本科及以上，具备扎实的解剖学基础与DICOM协议理解。
 2、技术技能：精通3D Slicer或ITK-SNAP的高级功能；熟悉NIfTI格式及其头文件信息；了解基础编程（Python/Shell）者优先。
3、方法论沉淀：具备优秀的归纳总结能力，能够将非结构化的临床经验转化为结构化的数据标注技能文档，推动标注流程的标准化与智能化。",多模态 SAM Python Shell 合规 培训,https://jobs.51job.com/suzhou-wzq/172824092.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
DIP工程师,江苏凯能宏光电子,8千-1万,苏州·吴江区,苏州,大专,2年及以上,2026-08-07 09:42:39,job51,"【工作内容】
1、负责DIP自动化产线的设备调试、参数优化及日常运行维护，确保生产效率达标；
2、主导SMT与DIP制程的异常分析，快速定位并解决焊点质量、元件贴装等工艺问题；
3、协同研发与品质部门导入新产品，完成试产验证、BOM核对及作业指导书编制；
4、持续监控产线良率数据，实施防错机制，推动工艺流程改进以提升直通率；
5、管理备品备件库存，定期执行设备预防性保养计划，保障设备稼动率稳定。

【任职要求】
1、大专及以上学历，电子工程、自动化或机械相关专业，具备两年以上PCBA制造经验；
2、精通DIP波峰焊、选择性焊接工艺，熟悉SPI、AOI等检测设备原理及操作规范；
3、熟练掌握常用办公软件，能独立编写工艺文件，具备基础的数据分析与报告能力；
4、具备良好的现场问题解决能力，抗压性强，能适应倒班工作制及生产紧急需求；
5、持有IPC-A-610或相关电子组装认证者优先，具有团队协作精神及良好沟通素养。
6、精通三防和测试设备调试",SPI 数据分析 A-,https://jobs.51job.com/suzhou-wjq/173185386.html?s=sou_sou_soulb&t=0_0&req=5814a2f41db53eec38499088d225c08a
