job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据架构师,苏州人旺企业管理咨询,2-2.5万·14薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-23 10:23:46,job51,"工作内容：
数据架构规划与设计
•数据架构设计，规划并设计公司的统一数据平台/数据仓库（整体架构、数据模型和集成规范等），解决系统间的“数据孤岛”问题。
• 设计并构建面向业务主题的复杂数据分析模型与指标体系，支撑管理决策。
• 主导大数据量、复杂逻辑的数据迁移、清洗与整合项目的方案设计与验收。
• 对接外包开发供应商，将诉求转化清晰、可执行的技术开发需求。
• 审核外包公司的数据库设计与接口开发，确保其符合内部数据架构标准。

数据治理与标准制定
• 管理数据全流程，负责从现有系统（金蝶云、携客云、无纸化系统等）进行数据清洗、整合、迁移到新库的方案设计，并监督实施。
• 建立并推行企业级数据治理体系，包括数据标准、质量规则、血缘追踪与安全分级。
• 制定数据建模、开发、运维的全生命周期管理规范，并监督执行。
• 主导数据资产目录的构建与管理，提升数据可发现性与可用性。

经验要求：
1、本科及以上学历，计算机或信息技术等相关专业。
2、精通SQL，熟悉至少一种主流数据库（如MySQL, SQL Server, Oracle）。必须具备3年以上数据建模和设计经验。了解ETL（数据提取、转换、加载）流程和工具者更佳。
3、对制造业核心业务流程（供应链、生产、财务）有深刻理解，能快速理解业务数据背后的含义。
4、有主导过数据仓库、主数据管理或大型系统数据迁移项目的成功经验。有与外包团队协作的经验。",SQL MySQL SQL Server Oracle 数据分析 方案设计 数据治理 供应链,https://jobs.51job.com/suzhou-gyyq/173013005.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
数据架构师,苏州人旺企业管理咨询,2-2.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-22 17:23:52,job51,"1.数据架构规划与设计：
•数据架构设计，规划并设计公司的统一数据平台/数据仓库（整体架构、数据模型和集成规范等），解决系统间的“数据孤岛”问题。
• 设计并构建面向业务主题的复杂数据分析模型与指标体系，支撑管理决策。
• 主导大数据量、复杂逻辑的数据迁移、清洗与整合项目的方案设计与验收。
• 对接外包开发供应商，将诉求转化清晰、可执行的技术开发需求。
• 审核外包公司的数据库设计与接口开发，确保其符合内部数据架构标准。
2.数据治理与标准制定：
• 管理数据全流程，负责从现有系统（金蝶云、携客云、无纸化系统等）进行数据清洗、整合、迁移到新库的方案设计，并监督实施。
• 建立并推行企业级数据治理体系，包括数据标准、质量规则、血缘追踪与安全分级。
• 制定数据建模、开发、运维的全生命周期管理规范，并监督执行。
• 主导数据资产目录的构建与管理，提升数据可发现性与可用性。
3.技术领导与协作：
• 为DBA及开发团队提供数据架构、模型设计方面的技术指导与评审。
• 管理与协调外部数据技术供应商或外包团队，确保交付物符合架构标准。
4.协助完成部门内其他事务：
• 协助处理突发事件等有关手续
• 协助上司及部门长交待其它工作或临时***办事项
要求：
本科及以上学历，计算机或信息技术等相关专业。
对制造业核心业务流程（供应链、生产、财务）有深刻理解，能快速理解业务数据背后的含义。
精通SQL，熟悉至少一种主流数据库（如MySQL, SQL Server, Oracle）。必须具备3年以上数据建模和设计经验。了解ETL（数据提取、转换、加载）流程和工具者更佳。
了解数据仓库、数据治理（如DAMA）基本理论。
有主导过数据仓库、主数据管理或大型系统数据迁移项目的成功经验。有与外包团队协作的经验优先
 出色的跨部门沟通能力和项目管理能力，做事严谨，有极强的责任心和数据敏感度。
沟通协调能力：能与非技术背景的业务人员有效沟通，并将其需求转化为技术语言。",SQL MySQL SQL Server Oracle 数据分析 方案设计 数据治理 供应链 项目管理,https://jobs.51job.com/suzhou-gyyq/173008128.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
数据架构师,苏州人旺企业管理咨询,2-2.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-22 17:43:16,job51,"岗位职责：
负责规划与设计公司级数据架构，构建数据仓库与数据治理体系；
主导跨系统数据集成与数据模型设计；制定数据标准与质量管理规范，并为DBA提供技术指导与架构支持。
工作内容：
•数据架构设计，规划并设计公司的统一数据平台/数据仓库（整体架构、数据模型和集成规范等），解决系统间的“数据孤岛”问题。
• 设计并构建面向业务主题的复杂数据分析模型与指标体系，支撑管理决策。
• 主导大数据量、复杂逻辑的数据迁移、清洗与整合项目的方案设计与验收。
• 对接外包开发供应商，将诉求转化清晰、可执行的技术开发需求。
• 审核外包公司的数据库设计与接口开发，确保其符合内部数据架构标准。
• 管理数据全流程，负责从现有系统（金蝶云、携客云、无纸化系统等）进行数据清洗、整合、迁移到新库的方案设计，并监督实施。
• 建立并推行企业级数据治理体系，包括数据标准、质量规则、血缘追踪与安全分级。
• 制定数据建模、开发、运维的全生命周期管理规范，并监督执行。
• 主导数据资产目录的构建与管理，提升数据可发现性与可用性。
• 为DBA及开发团队提供数据架构、模型设计方面的技术指导与评审。
• 管理与协调外部数据技术供应商或外包团队，确保交付物符合架构标准。
岗位要求：
本科及以上学历，计算机或信息技术等相关专业。
对制造业核心业务流程（供应链、生产、财务）有深刻理解，能快速理解业务数据背后的含义。
精通SQL，熟悉至少一种主流数据库（如MySQL, SQL Server, Oracle）。必须具备3年以上数据建模和设计经验。了解ETL（数据提取、转换、加载）流程和工具者更佳。
了解数据仓库、数据治理（如DAMA）基本理论。",SQL MySQL SQL Server Oracle 数据治理 数据分析 方案设计 供应链,https://jobs.51job.com/suzhou-gyyq/173008524.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
资深DBA架构工程师（数据架构师）,新代科技（苏州）,1.5-2万·14薪,苏州,苏州,本科,6年及以上,2026-08-05 16:26:27,job51,"工作职责：
1.数据架构规划设计
1&gt;负责MES系统数据架构的整体规划与设计，构建涵盖主数据、业务数据、分析统计维度的全链路数据模型
2&gt;制定数据库设计规范、数据建模标准与开发规范，输出技术方案文档

2.数据库表结构设计与开发
1&gt;根据业务需求设计合理的数据库表结构、字段、索引、视图，完成逻辑模型与物理模型的设计落地
2&gt;编写高性能SQL、存储过程、函数，完成核心模块的数据层开发

3.性能优化与架构升级
1&gt;负责数据库性能监控、SQL调优、索引优化，解决高并发场景下的数据存取瓶颈
2&gt;持续优化数据存储架构，保障系统数据存取的高效性与稳定性

4.跨系统数据集成设计
1&gt;主导MES与ERP、WMS等上下游系统的数据交互方案设计，明确接口规范与数据流转规则
2&gt;指导或参与接口核心逻辑的开发实现

5.技术规范与质量管控
1&gt;制定并推行数据建模、开发、运维的全生命周期管理规范
2&gt;负责核心数据模型评审，把控数据质量与结构合理性


任职要求：
1、本科及以上学历，计算机相关专业；
2、6年以上数据库开发及数据库相关工作经验，其中至少2年业务域数据架构规划、数据模型设计落地实战经验；经验侧重业务数据库开发设计，非单纯数据库实例运维，有MES/ERP/WMS制造系统经验优先；
3、精通主流关系型数据库（SQL Server/Oracle/MySQL等），精通SQL优化、事务处理与性能调优；
4、熟练掌握数据建模方法，具备大型业务系统数据架构设计经验；
5、熟悉MES系统业务逻辑及制造业生产流程；
6、掌握至少一种开发语言（Java/C#/.NET等）及ORM框架；
7、了解数据治理、数据仓库基本理论；
8、业务洞察力：能快速理解生产业务场景，将业务需求转化为合理的数据模型；
9、架构思维：具备系统性、前瞻性的数据架构规划能力；
10、沟通协作力：能与业务部门及开发团队高效沟通，推动方案落地；
11、责任心与抗压力：工作严谨，能适配项目迭代节奏。",SQL 高并发 SQL Server Oracle MySQL Java C# 技术方案 方案设计 数据治理,https://jobs.51job.com/suzhou/173164303.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
FDE工程师,苏州富纳智能科技,1-2万,苏州,苏州,本科,3年及以上,2026-08-07 13:23:41,job51,"岗位职责 深⼊客户⼀线，将模糊业务需求拆解为清晰的技术架构⽅
案与执⾏计划；
负责数据集成与系统对接；AI ⽅向负责⼤模型微调、RAG
系统构建、Agent ⼯作流搭建；
将⽅案⾼质量部署⾄客户私有云 / 本地基础设施，处理边
界案例与性能优化；
沉淀前线通⽤需求与产品缺陷，⾼保真反馈总部研发，推
动标准化产品迭代；
制作操作⼿册、开展客户培训，保障⽅案⻓期稳定运⾏。
⼯作内容 场景拆解 · 定制开发（RAG / Agent）· 现场部署（Docker
/ K8s / 私有云）· 客户培训 · 项⽬全周期交付与持续优化 ·
产品反馈闭环。
具体要求 本科及以上，计算机相关；扎实算法与代码功底，精通
Python / Java / Go ⾄少⼀种；
熟悉 LLM 原理，有 RAG、向量数据库、Agent 开发或⼤
数据组件（Spark / Flink）实战经验；
熟练 Docker / Kubernetes，熟悉主流公有云（阿⾥云
等）部署；
极强沟通⼒，兼具""⼯程脑""与""商业脑""，能快速理解制造
业业务逻辑；
抗压⾃驱，适应短期出差 / 驻场（富纳含常熟、苏州及合
作基地驻场）。",RAG Agent Docker K8s Python Java Go LLM 向量数据库 Spark Flink Kubernetes 产品迭代 培训,https://jobs.51job.com/suzhou/173189629.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
12数据架构师（江苏金服）,苏州市相融人才发展集团,12-24万/年,苏州·相城区,苏州,硕士,5年及以上,2026-07-23 13:31:40,job51,"岗位职责：
1、负责数据高铁项目的整体数据架构设计与演进，包括数据标准体系建设、数据模型规划、核心数据资产设计、跨平台数据流通路径规划以及数据治理体系落地；
2、负责统筹数据采集、交换、处理、存储和服务的全链路架构，确保数据高铁平台具备高吞吐、高可靠、高安全的能力，同时满足多业务场景的实时访问、共享交换和精准服务需求；
3、负责牵头与多部门、多行业数据源进行对接，推动数据标准统一、接口规范落地，并在项目中承担技术方案把控与架构决策职责；
4、完成公司交办的其他工作。

任职要求：
1、硕士研究生及以上学历，计算机科学与技术、软件工程、数据科学、信息管理、电子信息工程、自动化、数学、统计等理工类相关专业；
2、具有五年及以上数据架构、数据平台或数据中台建设经验；
3、有大型政府项目、智慧城市、交通/政务数据共享平台、数据治理或数据交换平台经验者优先；
4、熟悉数据治理体系（如数据标准、数据质量、元数据管理、主数据管理等）；
5、精通数据架构体系设计，包括数据分层、数据建模（ODS/DWD/DWS/DIM/FDM）等方法论；
6、熟悉主流数据处理架构（批处理、流处理、湖仓一体、数据中台）并能做技术选型；
7、熟悉跨部门数据交换、共享、流通机制设计；
8、能规划高速、安全的数据交换链路，包括实时数据通道、标准接口、数据安全策略等；
9、有数据总线、数据交换平台、数据高速通道等建设经验者优先；
10、熟悉数据安全规范（分级分类、隐私保护、脱敏、访问控制）；
11、能在多主体协同场景下设计安全、合规的数据流通方案；
12、综合条件特别优秀的，可适当放宽上述要求。",数据治理 数据采集 技术方案 合规 ODS DWD DWS DIM,https://jobs.51job.com/suzhou-xcq/173016524.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
资深IE工程师,苏州卡门哈斯激光技术,1-2万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 10:39:29,job51,"一、岗位职责
1. 制造系统规划与产能战略
·负责新厂区/新产线的全流程规划（概念至落地），统筹水电气配给、物流通道及洁净度分区，满足激光光学高精度制造要求。
·建立并维护公司级产能模型，精准测算人力、设备及场地需求，为经营决策提供数据支撑。
2. 精益生产体系搭建
·从0到1搭建或优化现有精益生产管理体系（含组织架构、流程制度、考核激励）。
·搭建公司级提案改善平台，营造全员改善文化，定期组织精益主题会。
·主导价值流图分析，重点识别振镜组装与光学调试环节的浪费，制定并实施未来状态图。
3. NPI可制造性导入
·深度介入新产品开发，主导可制造性评审，从工艺、装配效率及成本角度输出优化建议。
·负责NPI阶段产线搭建、工时预置、SOP预审及试产闭环，缩短新品爬坡周期。
4. 运营效率与成本控制
·建立多维度效率监控体系，设定挑战性目标并推动达成。
·主导重大降本增效项目（如自动化ROI评估、线体合并、人机作业优化）。
·运用方法论解决复杂制程变异，提升产品一致性。
5. 标准化与数字化赋能
·建立和维护标准工时数据库，确保数据准确与时效。
·利用大数据进行瓶颈分析与预测性维护。
·编制IE技术培训教材，培养内部工业工程人才梯队。
二、任职要求
1. 学历与背景
·本科及以上学历，工业工程、机械制造、光学工程或相关专业。
·5年以上制造业IE经验，有激光、光通信、精密光学或半导体封装行业背景优先考虑。
2. 专业技能
·精通设施规划，有大型新厂规划或旧厂搬迁成功经验；熟练使用设计及仿真软件。
·精通VSM、SMED、Poka-Yoke、Pull System等工具；持有Lean Six Sigma黑带（BB）证书优先。
·精通MOD法及秒表测时，擅长复杂多人多机作业分析，具备深厚动作经济学理论基础。
·具备PMP或同等项目管理能力，能独立领导跨部门变革项目。
3. 行业认知
·深刻理解光学元器件及激光器件的生产工艺流程。
·熟悉高精度装配对环境（温湿度、洁净度、防微震）的严苛要求，并能融入产线设计。
·了解激光焊接/清洗系统的装配逻辑，能识别关键质控点与效率瓶颈。
4. 软性素质
·具备极强的跨部门沟通及高层汇报能力，能有效推动变革方案落地。
·擅长将IE改善转化为财务语言，理解其对利润的贡献。
·适应制造业快节奏与多变环境，能在压力下驱动项目达成。",成本控制 培训 项目管理 SMED Poka-Yoke Pull Six BB,https://jobs.51job.com/suzhou-gyyq/173186960.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
高级数据工程师,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,5年及以上,2026-06-12 19:05:40,job51,"岗位职责：
1. 负责设备日志、运行状态、报错码、传感器数据、测试结果、维修记录和业务系统数据的接入。
2. 设计设备、客户、项目、批次、时间、故障和维修记录等标准数据模型。
3. 建设批量和实时数据管道，处理数据库、文件、Kafka、MQTT、HTTP 和设备私有接口等数据来源。
4. 负责数据清洗、标准化、关联、去重、异常处理、历史补录和数据质量监控。
5. 与业务部门共同定义设备在线率、故障率、维修时长、诊断准确率、测试通过率等指标口径。
6. 将设备数据和指标封装为稳定的数据 API，供 Agent、Skill、产品页面和分析系统使用。
7. 开发设备状态查询、近期告警、历史故障、维修记录、测试结果和指标趋势等数据类 Skill。
8. 建设面向设备文档、故障案例、维修记录和测试资料的 RAG 知识库，负责文档解析、数据清洗、切分、索引、检索和效果优化。
9. 建设数据权限、敏感数据脱敏、客户隔离、数据血缘、数据版本和审计机制。
10. 支持客户现场、客户内网和离线环境的数据接入与部署。
11. 与 AI 架构工程师共同定义 Agent 数据调用规范，与全栈工程师协作完成数据在产品中的使用。

任职要求：
1. 计算机、数据工程、软件工程或相关专业本科及以上学历，5 年以上数据工程或数据平台经验。
2. 熟练掌握 Python、SQL，并具备稳定数据 API 的开发能力。
3. 熟悉 ETL、实时数据处理、任务调度、数据质量和数据建模。
4. 熟悉 PostgreSQL、时序数据库、分析数据库及 Redis 等数据组件。
5. 熟悉 Kafka、MQTT 或其他消息和设备数据接入方式。
6. 能够处理日志、指标、时序数据和复杂设备数据。
7. 具备指标体系建设经验，能够明确指标定义、计算公式、数据来源和更新机制。
8. 具备 RAG 知识库建设经验，熟悉文档解析、文本切分、Embedding、向量检索、混合检索、召回优化和效果评估。
9. 熟悉 Docker、Linux 和数据服务部署，能够定位数据链路和生产问题。
10. 具备数据安全、权限隔离、脱敏和客户数据保护意识。",Kafka MQTT Agent RAG Python SQL PostgreSQL Redis Embedding Docker Linux 知识库 审计,https://jobs.51job.com/suzhou-gxq/172539759.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
PC软件工程师,苏州欣华锐电子,8千-1万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 17:34:59,job51,"1.架构设计：负责 PC 端应用软件的整体架构设计，包括分层架构规划、模块划分、接口定义、数据流设计，搭建可扩展、可维护的软件架构。
2. 上位机通信开发：负责 PC 端与设备之间的通信协议设计与开发，精通网口（Ethernet/TCP/IP）、Type-C、USB 等主流通信接口的驱动开发与数据交互。
3. 设备控制软件：开发设备控制与数据采集上位机软件，实现设备状态监控、参数配置、数据上传下载、固件升级等功能。
4. 驱动开发：完成 USB 设备驱动、WinUSB/libusb 通用驱动封装、Type-C PD 协议交互、网口通信协议栈（Modbus TCP/UDP/自定义协议）的开发与调试。
5. 界面开发：负责 PC 端图形界面（GUI）设计与开发，提供直观、易用的设备控制与数据可视化界面。
6. 跨平台适配：完成软件在 Windows 与 Linux 双平台的编译与运行适配，维护跨平台构建脚本与 CI/CD 流程。
7. 调试与测试：使用主流开发工具进行代码调试、性能分析与单元测试，使用 Wireshark、USBlyzer 等协议分析工具进行通信报文抓包与问题定位。
8. 技术文档：编写软件架构设计文档、接口协议文档、调试手册及用户手册，其中含英文技术文档编写。
9. 跨团队协作：与嵌入式软件工程师、硬件工程师协作，对接设备固件协议、驱动接口与硬件寄存器映射，推动产品联调闭环。
10. 技术预研：跟踪 PC 端技术发展趋势，评估新技术方案（如微服务架构、跨平台框架、高性能通信等），完成技术调研与原型验证。",TCP/IP Modbus Linux CI/CD 微服务 数据采集 技术文档 技术方案,https://jobs.51job.com/suzhou-gyyq/173195865.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
应用开发架构师（制造业数字化方向）,昆山鑫泰利智能科技,2-2.5万,苏州,苏州,本科,5年及以上,2026-07-30 17:44:19,job51,"工作内容：
1、核心系统架构设计：主导 ERP / MES / PLM / WMS / SRM / QMS / CRM 等核心业务系统的应用架构设计，规划与推动各业务系统间数据打通与端到端流程贯通。
2、数据集成与贯通：负责 ESB / iPaaS / API 网关 / CDC / ETL 集成架构选型与落地，主导跨系统主数据、业务事件、接口治理及数据一致性方案设计。
3、业务中台与平台化：主导研发 / 生产 / 供应链 / 质量中台与统一门户、身份、流程、报表等公共平台建设，落地低代码、配置化等研发效能工具。
4、数据架构与治理：负责企业级数据建模（物料 BOM / 工艺路线 / MDM）、数据库与时序数据架构、数据仓库与实时计算、BI、数据治理体系建设。
5、团队与赋能：指导中高级工程师成长，组织架构培训与代码评审，跟踪工业互联网、数字孪生、工业 AI 前沿技术并赋能业务。

任职资格：
1. 学历与经验：本科及以上学历，计算机 / 软件工程 / 工业工程 / 自动化等相关专业；5 年以上企业级应用开发经验，2 年以上制造业核心系统架构设计经验。
2. 业务与架构能力：熟悉制造业核心业务（研发 / 工艺 / 生产 / 计划 / 物流 / 质量），理解 BOM / 工艺路线 / MRP / 产能 / 库存等核心概念；精通 Java / .Net/ Python/C# 等主流语言与 Spring Cloud / .Net 等框架；具备微服务、消息队列、缓存、分布式事务、Service Mesh 等实战经验。
3. 数据架构能力：精通关系型数据库（MySQL / Oracle / SQL Server）；熟悉时序数据库（InfluxDB / TDengine / IoTDB）与大数据生态（Spark / Flink / Kafka）；具备制造业数据建模（物料 BOM / 工艺路线 / MDM）与数据治理经验。
4. 跨系统数据打通与综合素质：具备 3 个以上制造业核心系统（ERP / MES / PLM / WMS / SRM / QMS / CRM）之间的集成架构设计与落地经验，能独立规划与推动跨系统数据贯通项目；扎实的计算机基础，良好的文档与跨部门沟通协作能力。",Java Python C# Spring Cloud 微服务 分布式 MySQL Oracle SQL Server Gin Spark Flink Kafka 方案设计 供应链 数据治理 培训,https://jobs.51job.com/suzhou/173103916.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
IT架构师,江苏长顺集团,1.2-2万,张家港,苏州,本科,5年及以上,2026-07-29 09:01:23,job51,"职位描述
岗位职责：
架构设计与规划：负责公司核心业务系统或特定项目的整体技术架构设计，确保架构的合理性、先进性、可扩展性、可维护性、安全性、高性能和稳定性。
技术选型与决策：根据业务需求和发展规划，进行关键技术组件、框架、中间件、数据库、云服务等的技术选型和评估，做出最优技术决策。
需求分析与方案落地：深入理解业务需求，识别业务流程断点与低效环节，将业务需求转化为技术解决方案，设计详细的技术实现路径和架构蓝图，推动优化方案在系统中落地，并通过数据反馈持续改进，确保技术切实赋能业务提效。
核心开发与指导：参与或主导核心模块的代码实现，解决开发过程中的重大技术难题；对开发团队进行技术指导、培训和代码审查(Code Review),推动技术规范的落地。
风险管控：识别、评估项目中的技术风险，并制定有效的缓解策略，提前规避或降低潜在风险的影响。
标准制定：制定并推行团队的技术管理规范、开发流程和实践，提升整体研发效率和质量。
新技术研究：跟踪前沿技术趋势，评估新技术的适用性，并推动适合的新技术在公司内部的应用和落地。
岗位要求：
教育背景: 计算机、软件工程、通信、电子信息等相关专业本科及以上学历。
工作经验: 至少5年以上软件开发或架构设计经验，具备大型分布式系统或复杂业务系统的设计和实施经验，具备运用AI工具进行软件开发的能力与经验。
技术能力:
精通至少一种主流编程语言（如 Java, Python, Go, C#, .NET Core 等）及其生态下的常用框架。
深刻理解微服务架构、分布式系统设计理念，熟悉相关的技术栈（如 Spring Cloud, Dubbo, K8s, Docker 等）。
熟悉主流数据库（关系型如 MySQL, Oracle, PostgreSQL；非关系型如 Redis, MongoDB, ES 等）的设计、优化和管理，具备DB工程师能力。
熟悉常见的消息队列（如 Kafka, RabbitMQ, RocketMQ）、缓存机制和搜索引擎技术。
了解 DevOps 理念和 CI/CD 流程，熟悉常用的开发运维工具。
（加分项）具备云计算平台（如 AWS, Azure, 阿里云, 腾讯云等）的实际应用和架构设计经验，熟悉 IaaS/PaaS/SaaS 服务。
（加分项）了解大数据处理（如 Hadoop, Spark, Flink）或人工智能（AI）领域的基础知识。
软技能:
具备出色的逻辑思维能力、分析问题和解决问题的能力。
具备优秀的沟通协调能力和团队合作精神，能够跨部门协作。
具备较强的学习能力和创新意识，能适应快速变化的技术环境。
英语读写能力良好，能熟练阅读英文技术文档。",分布式 Java Python Go C# 微服务 Spring Cloud K8s Docker MySQL Oracle PostgreSQL Redis MongoDB Kafka RabbitMQ RocketMQ DevOps CI/CD AWS Azure 阿里云 腾讯云 Hadoop Spark Flink 需求分析 培训 跨部门协作 技术文档,https://jobs.51job.com/zhangjiagang/173075143.html?s=sou_sou_soulb&t=0_0&req=f4a741b3f75ab7f8d4c2cb938232918c
