job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
网络安全工程师/Cyber Security Engineer,卫德亿检测技术（上海）有限公司苏州,1.2-2万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-08-06 10:19:01,job51,"职位描述：
1. 根据 EN303645、GSMA 和 NIST SP 出版物等行业安全标准进行网络安全测试
2. 负责产品安全测试研究和能力构建，如白盒安全测试、Fuzz测试等，提升实验室安全测试能力；
3. 跨多种平台和技术进行物联网渗透测试、风险评估和漏洞评估；
4. 独立完成信息安全合规评价，测试，审核工作，并编辑输出项目报告和证书；
5. 能够独立处理项目中客户的疑问，为客户提供法规合规培训咨询服务，确保客户熟悉法规和标准要求，输出必要的文档和流程，支持项目开展；
6. 拟定测试标准指导文件，并运用到日常检测、审核业务流程中。

岗位要求：
1. 网络安全、计算机科学、信息安全、或通讯相关领域毕业，本科及以上学历；
2. 掌握各种渗透测试工具并且对其原理有深入了解，可独立开展安全漏洞挖掘与测试；
3. 熟悉脚本语言 (Python、JavaScript、Shell等)。可以开发测试脚本；
4. 对用于支持和管理业务的各种信息技术领域(即网络、网络、数据库、云、电话、移动应用程序等)有广泛的了解，并在至少两个相关领域有深入的经验技术且能熟练使用 Unix/Linux、移动平台操作系统；
5. 熟悉Wi-Fi、蓝牙、Zigbee/Matter/Thread 等无线安全；
6. 英语CET-6级，能够看懂中英文版标准和客户文件，或以上者优先。",渗透测试 Python JavaScript Shell Unix Linux 安全合规 合规 培训,https://jobs.51job.com/suzhou-gyyq/158771012.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
网络安全管理岗-R6464G,华润江苏医药,8千-1.5万,苏州·吴中区,苏州,本科,3-5年,2026-07-30 14:23:17,job51,"工作职责：
1、负责制定区域本部整体网络技术架构规划、中长期发展战略及迭代方案，结合公司业务发展、数字化转型需求，统筹总部、各分子公司、分支机构及数据中心、云平台的网络整体架构设计。涵盖局域网、广域网、骨干网、园区网、数据中心网络、混合云网络、远程办公网络等全场景架构，搭建统一、标准化、集约化的集团网络技术体系，规避架构冗余、性能瓶颈及扩展性不足等问题。
2、负责企业办公网、园区网、机房网络日常运维、监控，保障全网稳定运行； 负责交换机、路由器、防火墙、AC/AP、VPN等设备配置、调试、变更及割接； 
3、快速处理网络卡顿、断网、环路、访问异常等各类故障，输出复盘优化； 
4、保障系统自身业务安全、运维安全、网络安全、数据安全、主机安全等； 
5、更新拓扑、IP台账、设备配置备份，配合等保、安全整改及项目落地；
6、负责安全告警监测、日志分析、异常终端溯源和应急处置，落实集团网络安全检查要求并推动问题整改；
7、负责区域及下属公司的网络规划、架构设计。
任职资格：
1、本科及以上学历，计算机、网络工程、通信工程、信息技术等相关专业，3年以上大型集团企业总部网络架构设计相关工作经验，35岁以下。
2、精通TCP/IP、路由交换原理，熟练掌握VLAN、OSPF、NAT、ACL、VPN等技术； 
3、精通主流厂商设备调试，具备独立排错、现场实施能力； 
4、 熟练运用各类网络安全设备（防火墙、IDS/IPS、WAF、堡垒机等）、渗透测试工具、漏洞扫描工具，具备丰富的实战经验，能快速定位并解决复杂网络安全疑难问题。 
5、熟悉攻防技术，能够处理突发性安全事件； 
6、工作认真负责，具有良好的沟通能力和文档撰写能力，能够适应较大的工作压力。",防火墙 TCP/IP IDS IPS 渗透测试 漏洞扫描 日志分析,https://jobs.51job.com/suzhou-wzq/173098743.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
网络安全标准解读（高级安规工程师）,固德威技术,1.5-2.5万·14薪,苏州,苏州,本科,3年及以上,2026-06-10 16:55:45,job51,"岗位职责:
岗位职责：
1. 公司网络安全的外部接口人和必要的流程归口人； 
2. 拉通各部门建立统一的网络安全规范，制定统一的网络安全开发流程； 
3. 监控和跟踪全球网络安全法规，并进行解读，提炼对公司体系和产品的安全需求，及时宣贯，使产品符合相关网络安全法规要求； 
4. 关注最新的安全资讯，包括漏洞、攻击事件、数据泄露、友商网络安全等相关信息，结合公司体系和产品进行分析，提供防范方案，保证公司产品网络安全合规； 
5. 负责公司内网络安全相关的安规认证工作，掌握认证进度，达成认证目标； 
6. 负责跨部门拉通、协调，对PCS、EMS、PCS等部门进行网络安全合规性宣贯； 
7. 参与网络安全相关的法律法规或项目/客户要求的答疑、交流，对网络安全的落地方案、测试、验证进行指导和评审；
岗位要求：
1. 大学本科及以上学历，计算机、网络工程、自动化、电子信息、通信等相关专业，3年以上网络安全相关工作经验； 
2. 熟悉网络安全认证流程；
3. 熟悉并理解IEC 62443-4-1/2标准、EN 303645、 CRA、GDPR 、NIS2等法规标准。
4. 掌握 TCP/IP 、HTTP/HTTPS、DNS 等网络协议，及 Windows/Linux 系统架构、权限管理，理解网络通信与系统运行机制；
5. 熟悉对称加密(AES、DES)、非对称加密(RSA、ECC )、哈希算法( SHA-256MD5 )等基础知识，理解密码学基础理论，了解安全策略制定、风险评估方法；
6. 具备CISSP、CISP、CEH等安全认证者优先；
7. 英语水平良好者优先；",TCP/IP Linux 加密 安全合规 EMS EN CRA GDPR,https://jobs.51job.com/suzhou/172502257.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
信息网络安全工程师（沪利微电）,沪士电子,1-1.5万·13薪,昆山,苏州,本科,2年及以上,2026-07-08 10:17:09,job51,"工作职责：
1.负责公司信息安全建设，包括网络安全、数据安全、办公安全、供应商安全等；
2. 协助进行安全事件的分析与处理，及时响应潜在威胁；
3.支持网络安全演练及合规性检查工作；
4.需要出差协助分公司工作
工作要求：
1.了解典型的安全防护系统，文件加解密、水印技术F、防病毒系统和运维堡垒机等
2.数据防泄漏产品架构及原理，能进行安全策略配置及异常分析
3.精通信息安全技术和相关产品知识；有较强的技术基础，具有分析网络、主机、数据库、应用系统的安全漏洞的能力；",合规,https://jobs.51job.com/kunshan/170755272.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
网络安全测试工程师,中国汽车工程研究院,7千-1.2万,苏州·虎丘区,苏州,本科,1-5年,2026-07-29 09:18:11,job51,"岗位职责:
1、依据 GB44495、GB44496、GB/T44464等国家强制性/推荐性标准，对车机及车载相关系统开展网络安全、数据安全摸底测试与合规验证工作，参与测试全流程，输出规范测试报告
2跟踪标准更新与行业合规要求，优化测试方法、用例库及测试流程，提出自动化测试需求以提高效率
 3、深入理解客户需求，为市场拓展团队提供技术支持和解决方案建议;参与客户交流会议，展示测试能力和技术水平，增强客户信任;跟踪行业动态，协助市场拓展团队了解竞争对手的技术动态和市场趋势。
岗位要求：
1.本科及以上学历，计算机、网络工程、信息安全、车辆工程、电子信息等相关专业。熟悉 GB 44495、GB 44496、GB/T 44464 等汽车网络安全、数据安全国家标准，有相关合规测试 / 摸底经验优先。
2. 了解车载系统架构、车机、车载网络、OTA、TSP / 车云通信基本原理。- 掌握基础网络安全测试方法：端口扫描、漏洞验证、抓包分析、权限测试、日志审计等。
3. 熟悉数据安全测试要点：数据加密、传输安全、存储安全、访问控制、隐私合规等。能独立编写测试方案、测试用例、测试报告，逻辑清晰，文档规范。具备良好的沟通协作、问题定位与推动闭环能力，责任心强，能承受项目节点节奏。",加密 合规 自动化测试 技术支持 审计 测试用例,https://jobs.51job.com/suzhou-hq/173075537.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
信息安全工程师(J10161),苏州纽威阀门,9千-1.6万·13薪,苏州·虎丘区,苏州,本科,3年及以上,2026-07-24 14:15:43,job51,"工作职责:
一、安全架构与防护：
1、参与设计和优化又死网络、系统及云环境的安全架构。
2、部署、配置和管理各类安全防护设备与工具（如防火墙、WAF、IDS/IPS、SIEM、端点防护等）
3、实施和维护身份认证与访问控制（IAM）策略
二、安全运维与监控：
1、负责安全系统的日常监控、巡检、策略调优与故障处理
2、分析安全日志和告警，调查潜在的安全事件或异常活动
3、建立并执行难定期的安全漏洞扫描、评估和渗透测试，并跟踪修复闭环。
三、安全响应与处置：
1、作为安全事件应急响应团队的关键成员，负责安全事件的检测、分析、遏制、根除和恢复。
2、撰写安全事件分析报告，并推动后续整改措施落实。
四、合规与风险管理：
1、协助进行安全风险评估，制定并落实风险处置计划。
2、支持满足等级保护、ISO27001、GDPR等相关法律法规及合规要求。
五、安全意识与培训：
1、参与制定和开展员工安全意识培训计划
2、编写和维护信息安全管理制度、流程和技术文档。
任职资格:
1、计算机科学、信息安全或相关专业本科及以上学历。
2、3年以上信息安全相关工作经验，具备扎实的网络安全、系统安全基础知识。
3、熟悉常见的网络协议、操作系统（Windows/Linux）和网络设备。
4、熟悉OWASP Top 10等常见Web安全漏洞原理及防护方法。
5、具备至少一种主流云服务平台（如AWS, Azure, 阿里云，腾讯云）的安全实践经验。
6、熟悉至少一种脚本语言（如Python, PowerShell, Bash），能用于自动化安全任务。
7、良好的逻辑思维能力、问题分析和解决能力，能承担压力。
8、出色的沟通能力和团队协作精神。",防火墙 IDS IPS 漏洞扫描 渗透测试 Linux AWS Azure 阿里云 腾讯云 Python Shell 应急响应 合规 风险管理 培训 技术文档,https://jobs.51job.com/suzhou-hq/169969611.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
信息安全工程师,昆山日月同芯半导体,7千-1万,昆山,苏州,本科,2年及以上,2026-07-28 14:03:59,job51,"【工作内容】
1、根据公司信息安全计划的安排，完成相关工作；
2、主导服务器、终端及数据库的安全加固，定期开展渗透测试与应急响应演练；
3、监控安全日志与异常流量，快速响应并处置各类网络安全事件，输出分析报告；
4、解决公司数据中心日常网络问题及电脑设备的安全防毒等相关工作；
5、制定并优化信息安全管理制度，组织全员安全意识培训与合规性自查。

【任职要求】
1、计算机、网络安全或相关专业本科及以上学历，持有CISSP/CISP等证书者优先；
2、精通TCP/IP协议，熟悉防火墙、WAF、IDS/IPS等主流安全设备配置与调优；
3、具备2年以上电子或互联网行业安全运维经验，熟悉Linux/Windows系统安全加固；
4、掌握常见Web漏洞原理及防御手段，具备独立编写安全脚本及自动化运维能力；
5、具备良好的逻辑分析能力与抗压素质，对新技术敏感，拥有强烈的责任心。",渗透测试 TCP/IP 防火墙 IDS IPS Linux 应急响应 培训 合规,https://jobs.51job.com/kunshan/173066642.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
网络信息安全工程师,亿恩科化工新材料（苏州）,1.2-1.8万,张家港,苏州,本科,5年及以上,2026-06-25 15:28:01,job51,"工作目标：
1、构建并持续优化以客户审核为核心的信息安全制度体系；
2、完善信息安全基础设施与技术管控，保障业务连续性与数据安全；
3、实现信息资产全生命周期管控与重点项目数据保密管理；
4、建立内审与整改闭环机制，提升全员信息安全意识，确保通过客户信息安全审核。

主要职责：
1、修订信息安全保护规定，完善奖惩、保密、数据外发、项目代号定义等制度，确保贴合客户需求及公司实际。
2、明确各岗位安全职责，推动制度受控管理、全员公布及执行检查，定期检查执行情况并整改偏差。
3、推进防火墙、VPN、堡垒机、日志审计平台等部署，协调设备采购、安装、调试，满足审核及防护需求。
4、建设专属存储、异地实时备份、关键系统冷备等机制，定期检查备份有效性，保障数据安全及业务连续性。
5、排查操作系统版本版权，推动正版软件系统采购及安装，强化全员版权意识。
6、落实密码复杂度要求，完善账号权限申请流程，配置数据读写增删改查权限，实行项目组内部加密域管控。
7、定期组织内审，跟踪整改落实情况，形成内审报告，督促各部门完成自审。
8、落实文控中心专职人员及专用房间，明确职责；制定年度信息安全培训计划，覆盖全员及重点项目专项培训，保存记录。
9、协助人事部门识别关键岗位，落实背景调查、保密及竞业限制协议签署；开展信息安全宣传教育，落实奖惩机制及领导连带责任。
10、协调各部门落实供应商信息安全管控要求，跟踪物流GPS等专项进度，建立应急响应机制，定期排查隐患并整改，完成管理层交办的其他任务

岗位要求：
1、本科及以上学历，信息安全、计算机、网络工程等相关专业；熟悉信息安全管理体系（如ISO27001），持有CISP、CISSP、CISA等相关信息安全认证者优先。
2、5年以上信息安全相关工作经验，具有制造业信息安全管理、客户信息安全审核对接经验者优先；
3、有信息安全体系搭建、制度完善、基础设施部署（防火墙、堡垒机、备份系统等）相关实操经验，能独立统筹整改项目落地；
4、具有涉密项目管理、信息资产分级分类、数据安全管控相关经验，熟悉保密协议、竞业限制相关管理要求；
5、具备极强的保密意识和责任心，以及跨部门沟通协调能力，能高效对接人事、IT、C项目组等各部门，推动信息安全工作协同落地
6、优待事项：韩语能通者（信息安全、计算机领域）",防火墙 加密 GPS 审计 采购 培训 应急响应 项目管理,https://jobs.51job.com/zhangjiagang/171114277.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
云安全工程师-[350037],安德烈斯蒂尔动力工具（青岛）,1.5-3万·14薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-27 10:14:25,job51,"Job Summary
Responsible for the architecture design, operations, and security governance of AWS and Volcano-based cloud platforms, ensuring high availability, performance, and compliance for enterprise and AI/ML workloads.
________________________________________
Key Responsibilities
1. Architecture Design（架构设计）
•	Design and optimize AWS cloud architecture (EC2, VPC, IAM, S3, EKS, etc.)
•	Design Kubernetes / Volcano platform for AI, batch, and HPC workloads
•	Define cloud and container platform standards aligned with AWS and CNCF best practices
•	Support cloud onboarding for enterprise applications and R&amp;D teams
________________________________________
2. Operations &amp; Support（运维管理）
•	Operate and support AWS and Kubernetes platforms (L2/L3 support)
•	Monitor system performance, availability, and capacity planning
•	Troubleshoot cloud, container, and scheduling issues (Pod, Job, Cluster)
•	Support AI/ML workloads (e.g., PyTorch, TensorFlow, Spark)
•	Automate operations using Infrastructure as Code (Terraform, CloudFormation)
________________________________________
3. Security &amp; Compliance（安全审计）
•	Implement and manage cloud security controls: 
o	IAM (least privilege) + SSO integration
o	Network security (VPC, Security Groups, NACLs)
o	Encryption (KMS, TLS)
•	Operate security services (CloudTrail, GuardDuty, Security Hub, WAF)
•	Enforce Kubernetes security policies (RBAC, network policies)
•	Support security audits and compliance (ISO 27001, SOC, internal standards)
•	Perform incident response, RCA, and risk assessment
•	Support vulnerability management and OSS compliance
(Experience with Black Duck is preferred)
________________________________________
Required Qualifications
Technical
•	Solid AWS experience (EC2, VPC, IAM, EKS)
•	Hands-on Kubernetes operations experience
•	Understanding of cloud and container security
Experience
•	3–8 years in Cloud / DevOps / SRE / Platform Engineering
•	Experience in enterprise or production environments
•	Experience in OSS compliance audit (Black-Duck Tools)
Soft Skills
•	Strong problem-solving skills
•	Ability to handle incidents under pressure
•	Good English communication skills",Go AWS CAN Kubernetes PyTorch TensorFlow Spark Terraform DiT DevOps Gin 审计,https://jobs.51job.com/suzhou-gyyq/173045852.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
信息安全主任工程师,绿能起源科技（江苏）,1.8-3.5万·14薪,苏州·吴江区,苏州,本科,6年及以上,2026-07-02 13:20:01,job51,"岗位职责
1. 网络安全架构：负责全球网络安全架构的设计、部署与运维，排查网络安全隐患，制定并落地全球网络安全基线标准。
2. 多云安全管控：主导AWS、阿里云等主流云平台的网络架构规划，落地混合云、多云安全方案，落实云权限、加密、监控等安全策略及风险整改。
3. 安全运营落地：运维防火墙、EDR、SIEM、DLP等各类安全设备，开展漏洞评估、渗透测试、安全事件处置，搭建各类安全运维及应急文档体系。
4. 合规与海外项目：主导海外安全项目落地，全权负责ISO27001、TISAX等安全认证及审计工作，对接外部审计机构，统筹合规整改。
5. 制度体系建设：起草、更新双语版全球信息安全政策、流程及规范，贴合NIST、TISAX等行业标准，输出可落地的安全管理制度。
6. 协同与项目管理：跨部门联动业务、研发、法务等团队，开展安全培训与风险评审；统筹外部供应商、审计机构合作，独立落地各类安全项目。
核心任职资格
1. 学历与经验：计算机、网络安全等相关专业本科及以上学历，6年以上网络+信息安全复合经验，含3年以上安全架构/运营实操经验。
2. 网络与安全能力：精通TCP/IP、路由交换等网络协议，熟练操作Palo Alto、Fortinet等主流安全设备，掌握各类安全系统部署运维。
3. 云安全能力：精通至少一种主流云平台（AWS/Azure/阿里云），具备VPC设计、IAM权限管控、云安全配置落地实操经验。
4. 项目与合规经验：有跨国企业海外安全项目主导经验，熟悉ISO27001、TISAX审计认证全流程，可独立对接外部审核工作。
5. 综合能力：具备双语文档撰写、跨部门沟通、供应商管理及独立项目交付能力，可精准转化技术需求适配业务场景。
6. 语言与其他：英语口语流利，可无障碍对接海外团队与外部机构；能接受全球项目出差，抗压能力及问题排查能力优秀。
优先条件：持有CISSP、CCNP、AWS安全专项、PMP等认证，懂安全自动化、OT/ICS工业安全、锂电制造行业经验者优先",AWS 阿里云 加密 防火墙 渗透测试 TCP/IP Azure 合规 审计 项目管理 培训,https://jobs.51job.com/suzhou-wjq/172769136.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
Regional OT Security Expert ID213673,马勒机电技术（苏州）,2-3万,常熟,苏州,本科,5年及以上,2026-07-27 15:15:19,job51,"Your Contribution
As a Regional OT Security Expert, you will be responsible for implementing of OT security standards, tools, and initiatives within the whole China region, and supporting India and East Asia regions, ensuring alignment with global governance and regulatory requirements. Lead or support new project development according customer’s application &amp;requirements
Compliance Verification
- Assess gaps against MAHLE Group OT-IT security policies and audit requirements (especially in TISAX 6.0 control requirements)
- Visit plants regularly to verify that OT security controls are genuinely implemented

Training and Capability Building
- Deliver OT security training to plant personnel on MAHLE Group tools, policies, and best practices
- Build awareness and competence at the operational level so plants can manage OT security independently
- Coach local teams on recognizing and responding to OT security risks (e.g., unauthorized USB devices, remote maintenance risks, unusual machine behavior)

Network Segmentation and Connectivity Support
- Collaborate with IT and plants to define and implement appropriate OT-IT network segmentation (zone-and-conduit model, DMZ, etc.)
- Provide technical support on OT connectivity issues related to machine integration, remote maintenance access, and industrial network architecture
- Review proposed changes to OT network topology and provide security guidance

Incident Awareness and Policy Application
- Help plants understand and apply released MAHLE OT security policies and procedures in real production scenarios
- Support plants in identifying practical, workable solutions when they face barriers to policy compliance
- Escalate systemic or critical issues to the regional OT security lead with structured reporting

Stakeholder Collaboration
- Act as the primary technical contact between China plants, local IT, and the Group OT security team
- Provide structured feedback from plant experience to help improve Group-level policies and solutions

Your Experience &amp; Qualifications
- Bachelor or Master, degree in computer science, electrical engineering, business informatics or a comparable degree
- 5-8 years’ work experience in related domain (ideally in automotive area)
- Extensive expertise in OT security standards, security frameworks
- Willing to travel

Closing date for applications is 31st Dec. 2026
Our Offering:
We will provide a collaborative environment working on exciting assignments, along with ongoing personal &amp; career development opportunities.
We encourage you to apply even if you don't meet every single requirement. You may just be the right candidate for this or other roles!
After receiving your online application, the interview process will typically be, a screening call followed by Personal Interview(s).
For more information about MAHLE and what a career with us looks like for you, click here. and to learn more about our foundation owned technology group click here.

#TeamMAHLE is diverse – and we see that as a great advantage! We welcome applications with diverse experiences, backgrounds, and identities.",Go DiT CAN Scala Gin RAG,https://mahle.51job.com/jobdetail.html?jobid=173053146
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
软件安全检查专员（昆山）,江苏网进科技,8千-1.2万,昆山,苏州,本科,1年及以上,2026-07-06 14:44:36,job51,"【岗位职责】
1、漏洞扫描与渗透测试:定期对Web应用、移动App、小程序、API接口及后端系统进行自动化漏洞扫描和人工渗透测试，识别SQL注入、XSS、越权访问等常见安全漏洞。
2 、代码审计:参与软件开发过程中的代码安全审查，检查源代码中的安全缺陷、逻辑漏洞，从源头降低安全风险。
3、配置核查:检查服务器、数据库、中间件及安全设备的配置是否符合安全基线要求，防止因配置不当导致的安全隐患。
4、实时追踪最新的软件漏洞，更新公司漏洞知识库和检查事项。
5、其他相关工作。

【任职要求】
1、计算机、网络工程或信息安全相关专业本科及以上学历，持有CISP、CISSP等证书者优先。
2、具备1年以上软件安全测试或渗透测试经验，熟悉主流安全工具（如Burp、AWVS）的使用。
3、工作严谨细致，对数据安全高度敏感，拥有良好的职业道德及团队协作精神。

本公司只认可学信网学历。",漏洞扫描 渗透测试 SQL 审计 知识库 XSS AWVS,https://jobs.51job.com/kunshan/172806886.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
Cyber Security Analyst,维益烘焙产品（天津）,2.5-2.6万,苏州·苏州工业园区,苏州,本科,5-10年,2026-07-06 17:22:59,job51,"Position Summary:
The Senior Cyber Security Analyst will play a critical role in advancing Rich’s cybersecurity posture, supporting Security Operations (SOC), incident response, and enterprise risk management. This role is responsible for threat detection, analysis, response, and continuous improvement of security controls aligned with ISO 27001, NIST CSF, and internal Cyber Security policies.


Key Responsibilities:
- Monitor, triage, and respond to security alerts from SOC, SIEM, and EDR platforms (e.g., CrowdStrike, GreyMatter).
- Conduct incident investigations, root cause analysis, containment, eradication, and recovery.
- Ensure adherence to SLA, case tracking, and documentation standards within ServiceNow.
- Perform threat hunting, vulnerability analysis, and proactive risk identification.
- Support governance, risk, and compliance (GRC) activities (risk assessments, audits, policy alignment).
- Collaborate with global teams (SOC, IT, Legal) for incident response and regulatory alignment.
- Support data protection initiatives including DLP, encryption, and classification controls.
- Participate in improvement of playbooks, detection rules, and automation.
- Contribute to APAC, especially China-specific cybersecurity and regulatory compliance (e.g., PIPL, data localization).


Required Qualifications:
- 5+ years in cybersecurity operations / incident response.
- Hands-on experience with SIEM, EDR, XDR, and threat intelligence tools.
- Strong knowledge of security frameworks (ISO 27001, NIST CSF).
- Experience in vulnerability management, IAM/PAM, and cloud security.
- Good understanding of network, endpoint, and cloud architectures.
- Strong analytical and problem-solving skills.


Preferred Qualifications:
- Certifications: CISSP or CISP is preferred.
- Experience in multinational/global environments.
- Familiarity with data privacy regulations (PIPL, GDPR, etc.).


Key Competencies:
- Fluent English Speaking/Writing
- Accountability and ownership
- Clear communication and stakeholder engagement
- Continuous improvement mindset
- Ability to work under pressure and manage incidents effectively



职位概述： 
高级网络安全分析师将在提升 Rich 的网络安全态势方面发挥关键作用，为安全运营中心 (SOC)、事件响应和企业风险管理提供支持。该职位负责威胁检测、分析、响应以及持续改进符合 ISO 27001、NIST CSF 和内部网络安全政策的安全控制措施。 

主要职责： 
- 监控、分类并响应来自 SOC、SIEM 和 EDR 平台（例如 CrowdStrike、GreyMatter）的安全警报。 
- 进行事件调查、根本原因分析、遏制、清除和恢复。 
- 确保遵守 ServiceNow 中的 SLA、案例跟踪和文档标准。 
- 执行威胁狩猎、漏洞分析和主动风险识别。 
- 支持治理、风险和合规 (GRC) 活动（风险评估、审计、政策协调）。 
- 与全球团队（SOC、IT、法务）协作，进行事件响应和合规性协调。 
- 支持数据保护计划，包括 DLP、加密和分类控制。 
- 参与改进剧本、检测规则和自动化流程。 
- 为亚太地区，特别是中国地区的网络安全和合规性工作（例如 PIPL、数据本地化）做出贡献。 


任职资格： 
- 5 年以上网络安全运营/事件响应经验。 
- 具备 SIEM、EDR、XDR 和威胁情报工具的实际操作经验。 
- 精通安全框架（ISO 27001、NIST CSF）。 
- 拥有漏洞管理、IAM/PAM 和云安全方面的经验。 
- 深入理解网络、终端和云架构。 
- 具备强大的分析和解决问题的能力。 

 
优先资质： 
- 认证：持有 CISSP 或 CISP 认证者优先。 
- 拥有跨国/全球环境工作经验。 
- 熟悉数据隐私法规（PIPL、GDPR 等）。 


关键能力： 
- 流利的英语口语和写作能力 
- 责任心强，勇于担当 
- 沟通能力强，善于与利益相关者互动 
- 持续改进的思维模式 
- 能够在压力下工作并有效管理事件",Go DiT 加密 风险管理 合规 审计,https://jobs.51job.com/suzhou-gyyq/172811554.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
信息安全与系统实施工程师,三浦工业（中国）,6-8千,苏州·苏州工业园区,苏州,大专,2年及以上,2026-07-09 13:43:24,job51,"岗位职责：
1. 负责公司信息安全体系建设及日常安全管理工作。
2. 负责服务器、终端、网络及云平台的安全配置和风险排查。
3. 负责EDR、防病毒、防火墙、VPN等安全系统的日常管理和监控。
4. 跟踪国内外网络安全法律法规及集团信息安全要求，协助推进合规工作。
5.参与系统迁移项目的信息安全评估、风险分析及安全方案制定。
6.参与全繁盛迁移、CRM导入、钉钉集成等信息化项目实施工作。
7.负责用户权限管理、数据安全管理及敏感信息保护工作。
8.开展信息安全培训，提高员工安全意识。
9.建立并完善安全事件响应机制，负责安全事件调查和整改跟踪。

任职要求：
1.大专及以上学历，计算机、信息安全、网络工程、软件工程等相关专业；
2.参与过ERP、CRM、OA等大型系统实施或迁移项目；
3.具有2年以上IT运维、信息安全或系统实施相关经验；
4.熟悉Windows、网络、安全产品及企业IT架构；
5.了解网络安全、数据安全及信息保护相关法规要求；
6.具备较强的分析能力、风险意识以及文档编写能力；
7.具备日语沟通能力；
8.工作积极主动，责任心强。",防火墙 合规 培训 文档编写 CRM,https://jobs.51job.com/suzhou-gyyq/172852923.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
网络运维工程师（沪利微电）,沪士电子,9千-1.3万,昆山,苏州,本科,3年及以上,2026-07-15 10:18:44,job51,"工作职责：
1.负责公司信息安全建设，包括网络安全、数据安全、办公安全、供应商安全等；
2. 协助进行安全事件的分析与处理，及时响应潜在威胁；
3.支持网络安全演练及合规性检查工作；
4.需要出差协助分公司工作
工作要求：
1.了解典型的安全防护系统，文件加解密、水印技术F、防病毒系统和运维堡垒机等
2.数据防泄漏产品架构及原理，能进行安全策略配置及异常分析
3.精通信息安全技术和相关产品知识；有较强的技术基础，具有分析网络、主机、数据库、应用系统的安全漏洞的能力；",合规,https://jobs.51job.com/kunshan/172914790.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
网络资讯工程师（沪利微电）,沪士电子,9千-1.3万,昆山,苏州,本科,3年及以上,2026-07-14 13:10:17,job51,"工作职责：
1.负责公司信息安全建设，包括网络安全、数据安全、办公安全、供应商安全等；
2. 协助进行安全事件的分析与处理，及时响应潜在威胁；
3.支持网络安全演练及合规性检查工作；
4.需要出差协助分公司工作
工作要求：
1.了解典型的安全防护系统，文件加解密、水印技术F、防病毒系统和运维堡垒机等
2.数据防泄漏产品架构及原理，能进行安全策略配置及异常分析
3.精通信息安全技术和相关产品知识；有较强的技术基础，具有分析网络、主机、数据库、应用系统的安全漏洞的能力；",合规,https://jobs.51job.com/kunshan/172902237.html?s=sou_sou_soulb&t=0_0&req=a52f48475c609dcad80730f1f760eb93
