job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
移动端开发工程师,江苏深巡科技,6千-1万·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-28 10:36:26,job51,"〖岗位职责〗
1.开发手机端应用程序，实现各项功能；
2.与后台开发人员协作，制定通讯接口和协议；
3.优化UI界面和交互设计，提升用户体验。

〖任职要求〗
1.本科及以上学历，计算机科学、软件工程等相关专业，1年以上APP开发经验；
2.精通安卓（Java或Kotlin）、IOS（Swift或Objective-C）、鸿蒙（ArkTS等）至少一种主流开发语言，熟练掌握对应平台开发框架与工具；
3.具备扎实的数据结构与算法基础，能运用其优化代码性能，解决复杂技术问题；
4.熟悉多平台APP性能优化技巧，有处理内存优化、卡顿优化、网络优化等实际项目经验；
5.了解APP开发流程中的安全问题，掌握常见安全防护措施，保障应用安全；
6.拥有良好的团队协作、沟通能力，对工作认真负责，积极参与项目讨论与技术分享；
7.对新技术充满热情，具备较强学习能力，能快速掌握并应用新的开发技术；
8.有跨平台开发经验（如Flutter等）者优先；有大型APP项目开发经验者优先；
9.优秀毕业生也可投(在校期间参与过相关的开发工作)。",Java Kotlin Swift 鸿蒙 ArkTS Flutter,https://jobs.51job.com/suzhou-gyyq/165973926.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
Android原生开发工程师,苏州世航智能科技,1.3-2.5万·13薪,昆山,苏州,本科,1-3年,2026-07-03 17:27:55,job51,"岗位职责
负责公司Android移动端产品的原生开发、迭代优化与功能落地，独立完成App模块的需求拆解、编码开发、联调测试及上线交付工作。
参与产品需求评审、技术方案讨论，结合业务场景输出合理的原生开发方案，保障产品功能的稳定性、兼容性和流畅性。
负责Android端性能优化，包括启动速度、页面渲染、内存泄漏、卡顿、耗电、网络请求等问题排查与修复，提升用户使用体验。
适配不同安卓机型、系统版本、屏幕尺寸，解决设备兼容问题，保障产品全机型稳定运行。
对接后端接口、第三方SDK（支付、推送、统计、权限、地图等），完成接口联调、功能集成与问题适配。
跟进Android***特性与行业动态，沉淀通用技术组件、工具类及开发规范，持续提升团队开发效率。
负责公司微信/支付宝小程序的开发、迭代、维护与优化工作，兼任小程序相关需求落地、功能开发、问题修复及版本上线。
配合测试、产品、设计团队完成问题修复、需求调整、版本迭代，保障版本按时高质量上线。
任职要求
本科及以上学历，计算机、软件工程等相关专业优先，1-3年Android原生开发经验，有完整App上线项目经验优先。
精通Android原生开发技术，熟练使用Java/Kotlin语言，熟悉Android Studio开发环境及常用开发工具。
熟练掌握Android四大组件、自定义View、动画机制、多线程、事件分发、数据存储、权限管理等核心基础知识。
熟悉网络请求框架、图片加载框架、事件总线等主流开源框架，了解框架底层原理，可独立进行封装和优化。
具备扎实的移动端性能优化能力，熟练排查内存泄漏、ANR、卡顿、崩溃等线上问题，有线上性能优化实战经验优先。
熟悉Android各版本系统特性及适配规则，具备多机型、多分辨率兼容适配经验。
熟练对接第三方SDK，具备支付、推送、埋点、权限适配、隐私合规适配经验者优先。
具备良好的代码规范和编程思维，逻辑清晰，责任心强，能够独立承担开发任务，具备良好的团队协作和沟通能力。
熟练掌握微信小程序、支付宝小程序原生开发，熟悉小程序语法、组件、API及适配规则，可独立完成小程序全流程开发与上线，有相关项目经验者优先。
有电商、社交、工具类、企业级App及小程序开发经验者优先。",Java Kotlin 技术方案 合规 ANR,https://jobs.51job.com/kunshan/172790451.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
Flutter移动端开发工程师,悉平方科技（苏州）,8千-1.2万,苏州·吴中区,苏州,本科,3年及以上,2026-08-05 08:51:22,job51,"一、岗位职责
1.负责公司移动端产品基于Flutter的全流程开发，覆盖iOS与Android双端，完成功能迭代、需求落地与版本交付；
2.参与产品需求评审、技术方案设计与架构选型，输出规范的技术文档，独立完成核心业务模块的编码、自测与联调；
3.针对iOS、Android不同系统版本、设备机型做兼容性适配，处理系统权限、页面渲染、交互逻辑等双端差异化问题，保障全机型体验一致；
4.负责APP性能优化，包括启动速度、页面流畅度、包体积、内存占用等专项调优，持续提升应用稳定性与用户体验；
5.配合产品、UI设计、后端、测试团队，协同完成功能联调、线上问题定位与bug修复，保障版本迭代效率；
6.跟进Flutter前沿技术与行业***实践，沉淀通用组件、开发规范与工具链，推动团队技术效率提升。
二、任职要求
硬性要求
1.本科及以上学历，计算机、软件工程等相关专业，3年及以上移动端开发经验，具备1.5年以上Flutter商业项目实战经验；
2.精通Dart编程语言，深入理解Flutter框架核心原理与渲染机制，熟练掌握GetX/Riverpod/Provider等至少一种主流状态管理方案，具备自定义组件、复杂交互动画的开发能力；
3.熟悉iOS与Android双端平台特性与开发规范，了解iOSUIKit、Android原生开发基础，具备双端打包签名、权限适配、应用商店上架的实操经验；
4.熟练使用Dio、本地存储、图片加载等常用开发组件，有Flutter与原生混合开发、自定义插件封装经验者优先；
5.具备良好的代码规范与工程化意识，熟练使用Git进行版本管理，有移动端性能优化、线上稳定性治理相关经验；
6.具备独立分析问题、解决问题的能力，能快速定位并修复线上故障，保障应用稳定运行。
三、软性要求
1.具备良好的沟通协作能力，能高效配合跨团队推进项目落地；
2.责任心强，对产品体验与代码质量有较高要求，注重开发细节与交付质量；
3.自主学习能力强，乐于跟进新技术，能快速适配业务需求变化。
四、加分项
1.有从0到1完整Flutter上线项目，可提供作品演示；
2.具备iOS/Android原生开发能力，熟悉Flutter与原生混合开发、MethodChannel通信机制；
3.有大型APP架构设计、崩溃率治理、包体积优化等专项经验；
4.了解HarmonyOS跨端适配、小程序开发相关技术；
5.有开源社区贡献、技术博客输出或个人技术作品。",Flutter Git HarmonyOS 技术方案 技术文档 版本管理,https://jobs.51job.com/suzhou-wzq/173153369.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
APP开发工程师,千屿科技（苏州）,1-1.5万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-22 19:01:35,job51,"岗位职责
•负责 Flutter 客户端的功能开发、迭代和日常维护。
•负责 Android、Windows 等平台的跨平台适配。
•根据产品需求完成页面、组件、交互和业务逻辑开发。
•负责设备管理、实时数据展示、数据上传、报告回放及后台管理等功能。
•完成客户端与服务端接口的对接、数据解析和业务状态联动。
•参与实时数据、图表、波形及历史数据可视化功能的开发和优化。
•处理页面布局、状态同步、弱网、超时、缓存及异常恢复等问题。
•根据测试反馈和缺陷记录完成问题定位、代码修复及回归验证。
•编写和维护单元测试、组件测试及核心业务逻辑测试。
•负责 Android APK、Windows 客户端的构建、打包和发布前验证。
•持续优化客户端的稳定性、性能、代码质量和用户体验。
•与产品、服务端、测试及其他研发人员协作，推动需求和问题闭环。
任职要求
•熟悉 Dart，具有良好的 Flutter 开发基础。
•具有 2 年以上 Flutter 项目开发经验，并参与过较完整的项目交付。
•熟悉 Flutter 常用组件、布局、路由、状态管理和页面生命周期。
•熟悉异步编程、Stream、数据模型及复杂业务状态管理。
•熟悉 REST API、JSON、文件上传下载等常见客户端开发场景。
•具备 Android 真机调试经验，能够使用 ADB、日志等工具排查问题。
•了解 Windows 桌面端开发，或具备 Flutter Windows 项目经验。
•具备较强的问题定位能力，能够根据日志、代码和问题现象分析原因。
•熟悉 Git，能够独立完成代码提交、分支管理及冲突处理。
•具备测试意识，能够为核心逻辑编写单元测试或组件测试。
•能够独立完成“需求理解—功能开发—测试验证—问题修复”的工作闭环。
•工作认真负责，具备良好的沟通和团队协作能力。
加分项
•有 Android、Windows 多平台项目开发经验。
•有图表、实时数据、波形或大数据量绘制经验。
•有医疗健康、物联网、工业软件或数据监测类项目经验。
•有复杂表单、后台管理、数据回放或文件管理功能开发经验。
•有客户端性能优化、弱网处理、异常恢复或稳定性治理经验。
•了解 Kotlin、Java、C++ 或 Flutter Plugin 开发。
•有应用打包、签名、发布和版本管理经验。
•熟悉 MQTT、WebSocket、WebRTC 等实时通信技术。
•有自动化测试、白盒测试或持续集成经验。
•熟悉禅道、Jira 等项目及缺陷管理工具。",Flutter Git Kotlin Java C++ Gin MQTT WebSocket 版本管理 自动化测试 缺陷管理,https://jobs.51job.com/suzhou-gyyq/173009259.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
中级APP开发工程师,苏州景前电子科技,8千-1.3万,苏州·苏州工业园区,苏州,本科,2-4年,2026-08-06 17:51:31,job51,"岗位职责：
1、独立模块开发：能够独立承接APP完整业务模块开发（用户体系、数据展示、设备联动、商城、社区、控制终端等核心模块），独立完成需求拆解、方案设计、代码开发、自测闭环。
2、接口与业务联调：独立对接后端、硬件设备协议，完成软硬件联动APP功能开发、数据通信、设备控制逻辑开发，解决联调过程中的常规数据、通信、适配问题。
3、版本迭代与质量管控：独立负责APP常规版本迭代、功能升级、性能优化、机型兼容适配，主动排查线上隐患，独立修复中高难度BUG，保障版本稳定上线。
4、技术方案落地：参与项目需求评审、技术方案讨论，根据业务需求输出合理的开发实现方案，沉淀通用组件、工具类，提升团队开发效率。
5、项目协同：主动对接产品、硬件、测试、运营团队，预判开发风险、同步开发进度，保障项目按期交付；协助指导初级工程师开展开发工作。
岗位要求：
1、学历经验：本科及以上学历，计算机相关专业，2-4年APP开发经验，具备完整APP模块独立开发、版本迭代上线经验。
2、技术能力：熟练掌握对应端全套开发技术栈，精通组件封装、状态管理、网络封装、缓存处理、异常捕获，熟悉APP性能优化、兼容适配方案。
3、业务能力：熟悉软硬件联动开发流程，了解设备通信协议、数据交互逻辑，能够独立完成前后端、软硬端联调，具备独立排查问题、解决问题的能力。
4、项目能力：能够精准拆解业务需求、评估开发工时、把控模块开发进度，具备完整的版本开发、测试、上线、维护闭环经验。
5、综合素质：责任心强、抗压能力强，沟通协调能力良好，具备标准化代码编写习惯和文档沉淀能力，具备团队协作与初级带教能力。",方案设计 技术方案,https://jobs.51job.com/suzhou-gyyq/172877509.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
android安卓开发工程师,苏州猎光者科技,1-1.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-28 16:24:06,job51,"【岗位职责】 
1. 负责公司 Android App 的功能开发、日常维护及问题修复；
2. 根据产品需求完成页面、业务功能及设备交互功能开发；
3. 与 iOS 开发工程师协作，保持 Android 与 iOS 端功能和体验一致；
4. 参与需求评审、技术方案讨论及开发任务拆解；
5. 配合测试完成问题定位、缺陷修复和版本发布；
6. 编写必要的技术文档，做好代码及版本管理；
7. 协助处理用户反馈和客户使用过程中遇到的 App 问题。

【任职要求】
1. 学信网本科及以上学历，计算机、软件工程等相关专业优先；
2. 具有 3 年以上 Android App 开发经验，有完整项目开发或上线经验；
3. 熟悉 Kotlin 或 Java，掌握 Android 常用组件及开发流程；
4. 熟悉网络请求、数据存储、多线程及常用第三方框架；
5. 能够根据产品原型和接口文档，独立完成常规功能开发；
6. 具备基本的问题分析、调试和缺陷定位能力；
7. 工作认真负责，具有良好的沟通能力和团队协作意识。
加分项
1. 有蓝牙、BLE、Wi-Fi配网或智能硬件 App 开发经验；
2. 有 Kotlin、Jetpack、组件化或跨端开发经验；
3. 有 App 上架、版本发布及不同 Android 机型适配经验；
4. 有智能家居或 IoT 产品相关经验。",Kotlin Java 技术方案 技术文档 版本管理 Android App BLE,https://jobs.51job.com/suzhou-gyyq/172854662.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
Android 开发工程师,普罗斯通信技术（苏州）,8千-1.5万,昆山,苏州,本科,5年及以上,2026-07-24 11:03:35,job51,"岗位职责：
1. Android原生开发经验，深入理解Android SDK及开发工具，对Android系统机制（如内存管理，事件分发，绘制流程）以及多线程任务处理等
2. 精通Android UI开发，性能调优与复杂交互实现、能独立完成应用开发与调试
3. 熟悉常用的设计模式与开发模式
4. 熟练的掌握HTML JavaScript CSS Vue 等
5. 熟悉智能设备常用的通信协议（如MQTT WIFI BLE蓝牙）
6. 完成设计开发文档和使用说明等文件编写。
7. 竞争产品功能及实现分析。
8. 负责上位机与下位机软件配合进行相关协议和接口的设计开发。
9. 代码托管git使用

任职资格：
1. 熟悉 Android 相关软件模块的维护与开发。
2. 能够完成软件开发相关文档编写，具备扎实的编码与调试能力。
3. 具备 Android 原生开发经验，深入理解 Android SDK、开发工具及系统机制（如内存管理、事件分发、绘制流程、多线程处理等）。
4. 精通 Android UI 开发，熟悉性能优化与复杂交互实现，能够独立完成应用的开发与调试。

工作地点: 昆山淀山湖镇，在上海、昆山、苏州有多条通勤班车路线
工作时间：09:00-17:30",JavaScript Vue MQTT WiFi Git 文档编写,https://jobs.51job.com/kunshan/173028901.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
Android开发工程师,苏州虹保世纪科技,1.5-3万·14薪,苏州·高新区,苏州,本科,2年及以上,2026-08-06 09:40:52,job51,"职位要求：
1、本科以上学历，2年以上的软件开发经验；
2、精通JAVA语言，对面向对象的开发有深刻认识，熟悉Android Studio集成
3、具备终端金融支付产品，POS、接触及非接触式IC卡、磁条读卡器等开发经验者优先.
4、熟悉网络通信技术和相关编程, 银行卡/IC卡/POS机开发的经历并熟悉整个流程者优先.
5、熟悉基础RS232、蓝牙、USB、TCP/IP、GPRS通讯优先 .

开发环境；
6、具有以下专来经验优先：
 a. Kotlin 应用软件开发经验优先；
 b. Selinux修改
 c. Binder開發
 d. JNI開發

岗位一：
工作职责：
1. Android App 开发
2. 对公司客户应用产品软件提供技术远程或实地技术支持.

岗位二:
1. Android SDK 开发
2. Android framework 修改",Java TCP/IP Kotlin Linux 技术支持 POS USB TCP,https://jobs.51job.com/suzhou-gxq/131466758.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
android开发工程师,同亨科技（苏州）,1.5-2.5万·13薪,苏州,苏州,本科,5年及以上,2026-07-13 09:37:44,job51,"工作内容：
根据产品和项目需求, 负责Payment solution application的设计和开发,实现银行卡消费,查询余额,燃气卡/公交卡充值等功能;
负责Android 系统层面application的设计与开发；
与跨区域团队紧密合作，参与客户端产品的技术实现讨论;
负责与Cloud server和 device SDK 端的集成和调试工作，确保应用质量；
负责欧美项目的研发和实施
职位要求： 
 1、本科以及硕士以上学历，计算机科学，电子工程，通信相关专业毕业; 
 2、熟练掌握Android的API，理解Android的体系结构，掌握Android UI设计、后台运行、数据存储等的原理，熟悉JSON, xml、https、TCP/IP协议,Webview ,SQlite;
 3、熟练掌握Java、C++、JavaScript程序设计语言,熟悉面向对象程序设计和设计模式;
 4、有解决问题、钻研新技术的兴趣和能力,善于交流和表达,有良好的团队合作精神;
 5、能独立完成android application的设计和开发;
 6、熟悉金融交易架构与原理，有支付、互联网金融行业经验优先;
7、了解cloud platform，有Google Cloud, AWS, Microsoft Azure使用经验的优先;",TCP/IP SQLite Java C++ JavaScript Go AWS ROS Azure,https://jobs.51job.com/suzhou/163112149.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
高级APP开发工程师（安卓IOS）,江苏诺尔曼生命科技,1.8-3万·14薪,苏州·苏州工业园区,苏州,本科,8年及以上,2026-06-10 19:21:26,job51,"【岗位职责】
1、负责移动端产品的开发、维护和部署，并保证可扩展和可维护性；
2、研究iOS或Android版本的机制和新特性，为产品做技术储备；
3、和团队伙伴一起研讨技术实现方案，进行应用及系统整合；
持续对产品开发流程进行改进与优化，通过技术提升内部效率，用户体验和可用性；

【任职要求】
 1、大学本科以上学历，计算机、电子或通信相关专业，8年以上移动端App实际开发经验丰富；
2、良好的英语水平，有扎实的计算机基础；
3、熟悉iOS或Android开发平台，熟练掌握系统开发框架以及常用的第三方框架；
4、熟悉设计模式，了解组件化、模块化、架构设计；
5、熟悉iOS或Android内存管理机制，能够独立分析解决问题；
6、有较好的学习能力和沟通能力，有创新能力和责任感，对移动端产品有浓厚的兴趣；
7、具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向；
8、有医疗器械行业经验，熟悉IEC62304医用软件设计开发流程优先

备注：负责公司CGM事业部的产品设计工作，工作地点苏州",产品设计,https://jobs.51job.com/suzhou-gyyq/172504780.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
Android Framework 系统应用软件工程师,孔像汽车科技（上海）,1.7-2万,苏州,苏州,本科,3-5年,2026-07-13 09:07:20,job51,"Android Framework 系统应用方向软件开发工程师
工作职责
1、负责智能座舱的应用软件研发工作，包括launcher、systemui、docker和车控等应用
2、充分理解需求并根据需求完成软件架构、模块设计和开发工作； 
3、按照项目计划，按时提交高质量的代码，完成开发任务； 
4、负责软件的性能和稳定性调优，提升用户使用体验； 
5、负责应用软件问题分析和bugfix
6、负责应用软件相关技术文档的编写，包括架构文档和设计文档等

职位要求
1、本科及以上学历，3年～5年工作经验，计算机或相关专业优先； 
2、精通 Android 应用或 Framework 开发，具备大中型软件架构的设计能力；
3、熟练掌握 MVC、MVP、MVVM 等设计模型，对常用的设计模式、数据结构和算法有深入了解，并能灵活应用；
4、深入理解面向对象编程思想，具有较强的设计能力；
5、有智能座舱软件开发经验者优先；
6、有音视频编解码、直播、点播软件开发经验者优先。",Docker 技术文档 Android Framework MVC MVP MVVM,https://jobs.51job.com/suzhou/167383052.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
QT开发工程师,苏州悦谱半导体,8千-1.2万·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-06-30 09:05:15,job51,"岗位职责：
1.设计和实现高质量的跨平台桌面应用；
2.与产品经理、设计师和其他开发人员紧密合作，了解项目需求并提供技术解决方案；
3.编写清晰、高效的C++代码，并利用QT框架进行用户界面开发；
4.对现有系统进行维护和优化，提升性能和稳定性；
5.解决开发过程中遇到的技术难题，并持续改进产品的用户体验。 

任职要求：
1.计算机科学或相关专业的本科及以上学历；
2.精通C++编程语言，具备扎实的数据结构和算法基础；
3.熟悉qt stylesheet，了解qt mvd框架，有c-qt项目架构开发经验；
4.有跨平台开发经验者优先考虑（Windows, macOS, Linux）；
5.具有Python开发、前端开发相关经验者优先；
6.有责任心和团队意识，有较强的沟通、学习和理解能力。

公司交通便利，办公环境优美。入职全额基数缴纳五险一金，7天带薪年假。",C++ Linux Python Windows,https://jobs.51job.com/suzhou-gyyq/164330594.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
软件工程师（C++）,苏州迪凯尔医疗科技,1.2-2.3万,苏州·苏州工业园区,苏州,本科,无需经验,2026-08-05 17:39:49,job51,"岗位职责: 
1. 参与软件系统的设计、开发和维护工作 
2. 根据项目需求编写高质量的C++代码 
3. 协助团队完成技术方案的制定与优化 

任职要求： 
本科含以上学历，985，211院校25/26届应届生亦考虑，计算机相关专业；
1. 熟悉C++语言及相关开发工具 ，在校有竞赛/项目/实习经历优先；
2. 具备良好的逻辑思维能力和问题解决能力 
3. 善于沟通，具备团队协作意识",C++ 技术方案,https://jobs.51job.com/suzhou-gyyq/173166197.html?s=sou_sou_soulb&t=0_0&req=3736f42bd96f89963e652c77bd27d64f
