job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
资深AI工业软件开发工程师（Agent方向）,江苏哈森智造科技,1.6-3.2万,昆山,苏州,本科,5年及以上,2026-06-24 19:59:09,job51,"岗位职责
负责基于AI技术构建智能设计与自动建模平台，实现产品设计、工艺匹配和生产数据的智能化应用。
主要工作包括：
• 基于大模型（LLM）开发工业AI应用与Agent系统 
• 开发AI自动建模、参数化建模及模型生成能力 
• 对接UG/NX、SolidWorks等CAD软件接口，实现模型自动创建与修改 
• 建设工艺、材料、模具、BOM等知识库体系 
• 对接ERP、MES、PLM等企业系统，实现数据联动 
• 参与工业设备、传感器及生产数据采集系统集成 
• 推动AI技术在研发设计、工艺规划及生产制造场景落地 
任职要求
• 本科及以上学历，计算机、软件工程、机械设计、自动化等相关专业 
• 5年以上软件开发经验，具备扎实的工程化能力 
• 熟练掌握Python或C++，具备良好的系统设计能力 
• 熟悉大模型应用开发（OpenAI、Claude、Gemini、DeepSeek等） 
• 熟悉Agent、RAG、知识库等AI技术方案 
• 具备CAD/CAE软件二次开发经验优先（UG/NX、SolidWorks、CATIA等） 
• 具备制造业信息化项目经验优先（ERP、MES、PLM等） 
• 具备工业设备、PLC、物联网、自动化相关经验优先 
加分项
• 参与过工业软件、CAD软件、数字孪生相关项目 
• 参与过AI Agent、工业知识图谱项目 
• 熟悉OpenCascade、Parasolid等几何建模技术 
• 有制造业数字化转型项目经验",大模型 LLM Agent Python C++ RAG AI Agent 产品设计 知识库 数据采集 技术方案,https://jobs.51job.com/kunshan/172678677.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
资深AI工业软件开发工程师（Agent方向）,江苏哈森工业智能装备,1.5-2.5万,昆山,苏州,本科,5年及以上,2026-06-24 19:12:50,job51,"岗位职责
负责基于AI技术构建智能设计与自动建模平台，实现产品设计、工艺匹配和生产数据的智能化应用。
主要工作包括：
• 基于大模型（LLM）开发工业AI应用与Agent系统 
• 开发AI自动建模、参数化建模及模型生成能力 
• 对接UG/NX、SolidWorks等CAD软件接口，实现模型自动创建与修改 
• 建设工艺、材料、模具、BOM等知识库体系 
• 对接ERP、MES、PLM等企业系统，实现数据联动 
• 参与工业设备、传感器及生产数据采集系统集成 
• 推动AI技术在研发设计、工艺规划及生产制造场景落地 
任职要求
• 本科及以上学历，计算机、软件工程、机械设计、自动化等相关专业 
• 5年以上软件开发经验，具备扎实的工程化能力 
• 熟练掌握Python或C++，具备良好的系统设计能力 
• 熟悉大模型应用开发（OpenAI、Claude、Gemini、DeepSeek等） 
• 熟悉Agent、RAG、知识库等AI技术方案 
• 具备CAD/CAE软件二次开发经验优先（UG/NX、SolidWorks、CATIA等） 
• 具备制造业信息化项目经验优先（ERP、MES、PLM等） 
• 具备工业设备、PLC、物联网、自动化相关经验优先 
加分项
• 参与过工业软件、CAD软件、数字孪生相关项目 
• 参与过AI Agent、工业知识图谱项目 
• 熟悉OpenCascade、Parasolid等几何建模技术 
• 有制造业数字化转型项目经验",大模型 LLM Agent Python C++ RAG AI Agent 产品设计 知识库 数据采集 技术方案,https://jobs.51job.com/kunshan/172678391.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
资深AI工业软件开发工程师（Agent方向）,江苏哈森工业智能装备,1.8-3.5万,太仓,苏州,本科,5年及以上,2026-06-25 11:25:11,job51,"岗位职责
负责基于AI技术构建智能设计与自动建模平台，实现产品设计、工艺匹配和生产数据的智能化应用。
主要工作包括：
• 基于大模型（LLM）开发工业AI应用与Agent系统 
• 开发AI自动建模、参数化建模及模型生成能力 
• 对接UG/NX、SolidWorks等CAD软件接口，实现模型自动创建与修改 
• 建设工艺、材料、模具、BOM等知识库体系 
• 对接ERP、MES、PLM等企业系统，实现数据联动 
• 参与工业设备、传感器及生产数据采集系统集成 
• 推动AI技术在研发设计、工艺规划及生产制造场景落地 
任职要求
• 本科及以上学历，计算机、软件工程、机械设计、自动化等相关专业 
• 5年以上软件开发经验，具备扎实的工程化能力 
• 熟练掌握Python或C++，具备良好的系统设计能力 
• 熟悉大模型应用开发（OpenAI、Claude、Gemini、DeepSeek等） 
• 熟悉Agent、RAG、知识库等AI技术方案 
• 具备CAD/CAE软件二次开发经验优先（UG/NX、SolidWorks、CATIA等） 
• 具备制造业信息化项目经验优先（ERP、MES、PLM等） 
• 具备工业设备、PLC、物联网、自动化相关经验优先 
加分项
• 参与过工业软件、CAD软件、数字孪生相关项目 
• 参与过AI Agent、工业知识图谱项目 
• 熟悉OpenCascade、Parasolid等几何建模技术 
• 有制造业数字化转型项目经验",大模型 LLM Agent Python C++ RAG AI Agent 产品设计 知识库 数据采集 技术方案,https://jobs.51job.com/taicang/172684813.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
高级销售经理（工业仿真软件方向）,苏州巽格科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-06-17 21:00:23,job51,"关于我们
苏州巽格科技有限公司是一家专注于工业仿真与数字孪生技术的国产工业软件企业。

公司自主研发的 SimuArena 工业仿真平台，对标国际主流工业仿真软件 Arena、Simio、FlexSim 等产品，致力于为制造业、物流、半导体、新能源、军工及科研院所提供工业系统建模、生产推演、数字孪生与 AI 优化解决方案。

随着国产工业软件替代趋势加速，公司现面向全国招聘高级销售经理，共同推动中国工业仿真软件的发展。

岗位名称
高级销售经理（工业仿真软件）

工作地点：
苏州 

年薪范围：
20万~60万+

高额提成 + 项目奖金 + 股权激励（优秀者）

岗位职责
1、市场开拓
负责 SimuArena 工业仿真软件市场推广与客户开发；
建立并维护制造业、半导体、新能源、物流及科研院所客户资源；
挖掘客户在产线规划、设备研发、物流优化、数字孪生等方面的需求。

2、解决方案销售
负责软件授权销售；
负责数字孪生项目销售；
负责仿真咨询项目销售；
负责AI优化及工业智能项目销售；
推动项目立项、商务谈判及签约。

3、客户关系管理
建立重点客户档案；
维护客户高层关系；
持续推动客户续费及二次采购。

4、行业生态建设
参与行业展会；
参与智能制造论坛；
参与高校及科研院所合作推广；
建立行业合作伙伴网络。

任职要求
必备条件
本科及以上学历；
5年以上工业软件销售经验；
具有以下领域经验优先：
MES
APS
PLM
SCADA
数字孪生
工业互联网
工业AI
工业仿真软件

具有独立开发客户能力；
能够完成从线索到签约全过程销售工作；
能够接受全国出差。
优先录用条件

具有以下厂商背景优先：
Arena
Simio
FlexSim
AnyLogic
Dassault
Siemens
PTC
Rockwell Automation
AVEVA
Honeywell
GE Digital
拥有制造业客户资源者优先；
拥有半导体行业资源者优先；
拥有政府项目资源者优先；
拥有科研院所资源者优先。
我们希望你具备
理解离散事件仿真思想；
理解数字孪生价值；
理解工业企业生产管理逻辑；
能够与总经理、厂长、生产总监、工艺工程师直接沟通；
具备咨询式销售能力。
薪酬结构
基础工资
销售提成
项目奖金
年终奖金
股权激励

综合收入：
优秀销售经理年收入可达20万~50万元以上。
你将销售什么
SimuArena工业仿真平台
生产线仿真解决方案
物流系统仿真解决方案
半导体工厂仿真解决方案
设备研发仿真解决方案
数字孪生平台
AI智能优化平台
工业咨询服务
加入我们

如果你相信：
“中国工业必须拥有自己的工业仿真软件。”
如果你希望参与国产工业软件的发展浪潮。
欢迎加入巽格仿真，与我们一起打造中国工业仿真新生态。",Git 市场推广 商务谈判 采购 SimuArena Arena Simio FlexSim,https://jobs.51job.com/suzhou-gyyq/172603183.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
品牌视觉 & 产品渲染设计师,北京帝森克罗德技术,8千-1.2万,昆山,苏州,本科,1-3年,2026-07-22 14:17:58,job51,"岗位职责
1、平面设计：报刊封面、节日 / 年会 / 春招 / 捷报海报、邀请函、展会物料制作等
2、短视频制作：每月产出 2 条企业宣传视频，独立剪辑包装，制作配套公众号封面。
3、产品三维视觉：充电桩、高低压柜、储能、灭火设备等产品建模、外观设计、灯光材质渲染出效果图；产品丝印、模块迭代后更新渲染图，搭建标准化产品素材库，对接结构同步需求
4、官网维护：负责集团中英文官网产品页、联系我们页面图文更新排版。
5、其他临时性辅助工作：配合各部门图片、视频修图，合同图片处理，统一归档所有设计素材。

任职要求
1、全日制本科及以上，视觉传达、数字媒体、工业设计等相关专业，有电气储能行业经验优先。
2、1-3 年平面设计、短视频剪辑、产品三维建模渲染实操经验。
3、熟练 PS、AI；会 PR / 剪映独立做短视频；精通 相关渲染软件，仅需做渲染不用设计产品外观。
4、会操作企业官网后台，能完成图文上传、页面更新；有良好文件归档习惯。
5、沟通顺畅，审美贴合工业 B 端品牌风格。",PS AI PR,https://jobs.51job.com/kunshan/173002786.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
软件开发工程师,昆山嘉华电子,1.2-1.5万,昆山,苏州,本科,5年及以上,2026-07-08 11:06:30,job51,"岗位职责:
1、负责MES等软件产品的设计、开发、测试与维护，参与产品需求分析与技术方案制定；
2、基于C# 及.NET 技术栈，开发高性能、高可靠性的工业智能制造软件、数据采集与监控系统；
3、完成MES系统与现有办公系统（OA/ERP 等）的接口开发与数据打通；
4、跟踪 AI 办公自动化技术趋势，引入适配新技术方案输出 AI 落地及数字化转型工作报告；
5、协助解决产品部署、现场调试中的技术问题，支持内外客户定制化开发需求，配合跨部门推进项目工作；
6、负责收集客户反馈，对软件产品做出持续性的优化改进；
7、能适应加班和出差。
任职资格:
1、本科及以上学历，计算机相关专业，5年以上经验；
2、至少3年以上 C#、VUE开发经验，熟练掌握Webapi,NET Core/.NET Framework,MVC,等技术，精通JQuery,,Bootstrap 等前端开发框架，精通 WPF/WinForm 等桌面开发框架，
熟悉并发与异步的多线程开发，有较强的编程功底和良好的编程规范；熟悉ERP开发更佳；
3、能使用和开发MySQL、SQL Server或DB2/Oracle等数据库视图、触发器、存储过程、函数等的编程；熟练使用至少1种配置管理工具、1种建模工具;
4、了解制造领域，有工业软件、SCADA 系统,MES,WMS系统开发经验；
5、善于学习，思路清晰，具备良好的沟通能力；对技术研究有热情；具备抗压能力;
有以下背景的候选人优先：
1、有智能制造、数字孪生相关项目经验；
2、有 AI 算法在工业场景的应用；
3、了解PLC 编程（如西门子、三菱）或现场总线技术；
4、二开过赛意MES。",C# Vue jQuery MySQL SQL Server Oracle 需求分析 技术方案 数据采集,https://jobs.51job.com/kunshan/172834991.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
AI辅助机械研发设计工程师,固耐重工（苏州）,1.5-2.5万,太仓,苏州,本科,3年及以上,2026-07-30 09:17:27,job51,"【岗位职责】
一、AI驱动的研发设计与建模：
1、智能方案生成：基于产品性能需求，运用大模型（GPT/Claude/通义千问等）快速生成往复式压缩机（曲轴、连杆、气缸、活塞、气阀等核心部件）和离心机（转鼓、螺旋推料器、主轴系统、差速系统等）的初步结构方案与三维构型。
 2、参数化建模与工程图输出：基于SolidWorks/Creo/UGNX进行参数化建模，将AI生成的模型转化为可制造的数字化资产；通过AI工具加速2D工程图、BOM表的半自动/自动生成，确保符合公司制图标准与API、ASME、ISO等行业规范。
3、仿真验证闭环：将AI生成的模型导入ANSYS/Abaqus/CFD等CAE工具，开展强度校核、临界转速分析、转子动力学分析、流体动力学与分离性能计算、振动与热管理分析；建立""AI设计→仿真验证→反馈优化""的自动迭代机制。
二、核心产品研发
1、往复式压缩机方向：参与整机设计与开发，完成热力性能计算（排气温度、压力比、容积效率、等熵效率等关键参数分析与优化），负责冷却系统设计、核心零部件结构设计与材料选型。
2、离心机方向：参与离心机机械结构、转子系统、驱动系统与控制系统设计；进行流体动力学和分离性能计算，确定转速、差转速、长径比、堰板高度等关键参数；针对高腐蚀、高振动等特殊工况进行适应性设计。
3、样机验证与技术迭代：制定设计验证计划，协调样机制作，主导性能测试（热力性能、耐久性、转速、分离效率、噪音、振动等），分析数据并提出改进方案。
三、AI研发体系建设
1、整理公司历史压缩机/离心机图纸、设计准则、工艺文件、行业标准（API、ASME、GB、ISO等），构建结构化知识库；基于RAG技术开发机械研发智能助手，支持设计合理性校验、相似结构推荐、规范自动查询。
2、与研发团队协同，将AI能力嵌入现有产品开发全流程；开发或配置AI辅助设计工具，提升团队整体出图与建模效率。
3、技术攻关与创新：跟踪AI+机械研发前沿技术（生成式设计、拓扑优化、智能控制等），推动产品迭代升级；撰写和申请技术专利。
四、跨部门协同：与生产部门协作推进设计方案的工艺转化与量产落地；与客户进行技术交流，提供定制化解决方案；定期组织内部培训，帮助团队成员掌握AI辅助设计工具。
【任职要求】
1、学历专业：本科及以上学历，机械工程、能源动力、流体机械、化工机械、过程装备与控制工程等相关专业。
2、行业经验：3年以上机械产品研发经验，具有以下任一经验者优先：往复式活塞压缩机整机开发经验，熟悉热力计算、冷却系统设计，离心机（卧螺沉降/碟式分离/工业离心）研发经验，熟悉转子动力学、流体力学其他高速旋转机械、容积式压缩机研发背景
3、软件技能：
精通SolidWorks/Creo/UGNX中至少一种，熟练使用AutoCAD
具备有限元分析（ANSYS/Abaqus）或CFD仿真经验
掌握材料力学、流体力学、转子动力学等理论基础
4、AI能力：熟悉主流大模型的使用与API调用，了解RAG、Agent开发框架（LangChain/LlamaIndex等），具备Python编程能力，能独立完成数据处理、模型调用、简单应用开发
5、标准规范：熟悉API、ASME、ISO等机械行业标准；了解GB、防爆、压力容器法规者优先。",大模型 GPT RAG Agent LangChain Python 性能测试 知识库 产品迭代 专利 培训,https://jobs.51job.com/taicang/173091855.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
AI高级工程师,苏州英华特涡旋技术,30-40万/年,常熟,苏州,本科,5年及以上,2026-08-05 13:53:26,job51,"1、制定公司AI应用中长期规划与技术路线图，完成主流大模型、开源框架及工具链的技术选型与持续迭代；
2、统筹AI项目管理，评估优先级与可行性，定期向管理层汇报进展与投入产出；
3、深入制造业务一线（研发、工艺、生产、质量、供应链等），识别AI赋能场景，设计端到端解决方案，主导AI应用MVP开发与迭代落地；
4、依托飞书生态及自研能力，完成AI应用与现有信息化系统的集成对接，确保数据流通与业务流程闭环；
5、沉淀实践与经验案例库，推动AI能力的模块化、标准化与可复用；
6、制定分层次AI培训计划，提升全公司AI认知与应用氛围；
7、上级交付的其他事项。

要求：
1、本科及以上学历，计算机科学与技术、软件工程、人工智能、数据科学、自动化等相关专业；
2、5年以上IT/AI领域工作经验，1年以上项目统筹管理经验，其中至少2年以上AI应用相关工作经验，有制造业AI应用落地经验者优先；
3、熟悉飞书生态开发（飞书开放平台API、多维表格、妙搭等），有飞书AI应用实际落地经验者优先；
4、有AI Agent开发经验者优先，熟悉主流Agent框架；
5、优秀的跨部门沟通与协作能力，能有效协调IT、业务部门、外部供应商等多方资源，推动项目落地；
6、具备出色的培训授课与表达能力，能用通俗语言向非技术背景的业务团队和管理层讲解AI技术与应用价值;
7、对AI前沿技术保持高度热情与好奇心，有持续学习的自驱力，关注行业趋势。
薪资可面议。",大模型 AI Agent Agent 项目管理 供应链 培训,https://jobs.51job.com/changshu/173160056.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
嵌入式固件工程师,苏州凯仕德科技,1.3-2.5万,苏州·吴中区,苏州,本科,2-5年,2026-07-09 21:41:42,job51,"急招—嵌入式固件工程师
•到岗时间：7天内
•工作地：苏州市吴中区京东太湖智能制造园
•学历：统招本科及以上
•年龄：38岁以内（如技术扎实，经验丰富可聊）
•岗位/人数：2人（1个主力岗，1个高级岗）
•必备技术：（需满足以下领域80％，这个要求是必须的必须的）
MCU 裸机开发，RTOS，多 MCU 通讯，数字信号处理，实时控制，故障诊断与容错，软件架构，生产固件，调试工具，软硬件联调。


MCU 裸机与 RTOS 开发：基于 ARM Cortex-M 系列（M0/M3/M4/M7）进行裸机及 RTOS（FreeRTOS/RT-Thread）环境下的固件开发，包括任务划分与优先级设计、信号量/消息队列/事件标志管理、死锁检测与优先级反转处理、DMA 配置及中断优先级规划。

有线通讯协议开发：实现 Modbus RTU 主站与从站协议栈（帧同步、CRC-16、功能码处理、多从站轮询调度）；完成 SPI/I2C/UART 多从机通讯设计。

无线通讯协议开发：完成 LoRa/LoRaWAN或 BLE服务/特征值设计；进行无线协议关键参数调优（速率/功耗/距离/连接参数）；实现星型/树型/点对点组网方案。

多 MCU 通讯架构：设计多 MCU 间的 SPI（主从/DMA）/I2C/UART/CAN 总线通讯协议，定义自定义帧格式（帧头/长度/校验/重传），实现双 MCU 心跳检测与故障切换机制。

测量与校准系统开发：实现从物理量到 ADC 采样、工程值换算、多点校准建模到最终输出的完整测量数据链；设计多点校准算法（线性插值/多项式拟合/分段校准）、零点自校与满量程校准策略；开发温漂建模与温度补偿算法；管理校准参数在非易失存储器中的安全存取与版本管理；设计在线校准协议及出厂/现场双模式校准体系。

数字信号处理：设计与实现 FIR/IIR 数字滤波器；应用滑动平均/中值/加权/限幅滤波算法；开发卡尔曼滤波（含扩展卡尔曼 EKF）；

实时控制算法：实现 PID 闭环控制（位置式/增量式/变参数/抗积分饱和）；配置 PWM 生成（死区/中心对齐/互补输出）；开发高压时序控制（软启动/关断序列/缓升缓降）；设计故障检测与快速保护中断。

低功耗设计：配置 MCU 低功耗模式（SLEEP/STOP/STANDBY），管理唤醒源（RTC/EXTI/UART），实施外设时钟门控，优化无线协议功耗至 uA 级，实现电池电量估算。

存储与数据管理：开发 MCU 内部 Flash/外部 EEPROM 模拟方案（磨损均衡），实现参数断电保存与校验（双备份+CRC），管理配置文件系统（LittleFS/SPIFFS）及配置数据版本。

故障诊断与容错设计：配置独立/窗口看门狗，设计故障状态机（检测→保护→记录→恢复），建立错误码体系与日志记录，完成 HardFault 调试与异常分析。

软件架构与代码复用：采用模块化/分层架构设计（HAL→Driver→Service→App），运用状态机（FSM/HSM）与事件驱动框架，推行配置表驱动开发，维护固件版本管理规范，确保代码可复用与可移植。

生产固件与量产支持：开发工厂测试模式（自检+校准+烧录序列号），编写量产烧录脚本与出厂参数配置工具，实现产线测试固件与正式固件切换。

软硬件联调：能读懂原理图，使用示波器/万用表/逻辑分析仪辅助定位硬件问题，与硬件工程师协同调试信号链路，独立排查硬件与固件的根因归属。
任职要求

本科及以上学历，电子工程、计算机科学、自动化等相关专业；

主力岗：2~4 年嵌入式 C 开发经验，独立完成至少 1 个产品固件全流程交付；

高级岗：5 年以上嵌入式开发经验，有传感器/仪器仪表/工业控制背景；

精通 C 语言，熟悉 ARM Cortex-M 系列 MCU 开发及 RTOS 实时操作系统；

能并行推进 2~3 个项目固件开发，具备良好的抗压与多任务协调能力；

具备外协对接能力，能撰写清晰的技术规格文档，执行代码审查与验收；

具备硬件理解力，能读懂原理图并使用仪器辅助调试；

具备良好的文档交付习惯，能输出架构设计文档、通讯协议文档及测试用例。


•主力岗要求：2~4 年嵌入式 C 开发，独立完成 ≥1 个产品固件全流程
•高级岗要求：5 年+，传感器/仪器仪表/工业控制背景。
•薪资：高级，18-25k。主力，10-15k。（如果你有能力，薪资可谈可谈）

☺请认真阅读以上信息，符合要求发我简历，再告诉我，你的求职意向是主力/高级岗？我会及时联系你！谢谢！",MCU RTOS ARM Modbus SPI I2C UART LoRA CAN 版本管理 测试用例,https://jobs.51job.com/suzhou-wzq/172860755.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
数字人表情算法工程师,腾飞科技,1.5-3万,昆山,苏州,本科,1年及以上,2026-06-13 11:17:09,job51,"1. 核心算法研发

◦ 负责人脸检测、跟踪、识别、结构化分析及表情识别等基础算法的研究与优化。
◦ 构建从文本/语音到面部表情的端到端生成模型，实现文本/语音驱动人脸表情生成。
◦ 深入研究语音中的节奏、语调、能量、停顿与情绪状态，并建模其对面部运动的影响。

2. 实时交互与系统落地

◦ 研发低延迟、流式（Streaming）推理方案，满足实时对话数字人/机器人的需求。
◦ 与 TTS、ASR、LLM、VLM 等模块紧密协同，构建完整的实时交互链路，输出可直接驱动数字人、人形仿生机器人或游戏角色的表情参数。
◦ 建立语音、文本、情绪标签与面部动作之间的跨模态对齐机制，持续优化驱动效果。

3. 引擎对接与资产建设

◦ 熟练使用 Blendshape 等虚拟引擎，辅助设计仿生头的表情与动作，并完成算法在引擎中的部署与适配。
◦ 负责建立、维护和迭代数字人表情与动作库，不断完善表情数据集。

4. 业务推动与协作

◦ 将算法成果快速落地到具体业务场景中，负责性能评估与持续优化。
◦ 与产品、硬件等多学科团队配合，完成人机交互相关产品的集成与交付。

任职要求：

1. 学历与经验

◦ 计算机、人工智能、电子信息等相关专业本科及以上学历。
◦ 1年及以上计算机视觉、表情驱动或数字人相关开发工作经验，具备完整项目经验者优先。

2. 技术栈

◦ 精通 Python，熟练使用 PyTorch 等主流深度学习框架，了解 TensorFlow、Keras、OpenCV 等工具。
◦ 精通人脸表征、表情识别与生成相关的算法和模型，对视频画面中的表情动态识别有实践经验者优先。
◦ 熟悉主流生成式模型，如 GAN、Diffusion、NeRF 等。
◦ 深入了解 Blendshape 等面部动画引擎，有实际使用和部署经验
。
3. 专业能力

◦ 具备从语音到面部运动建模的能力，理解 Lip Sync、TTS 与表情之间的协同优化。
◦ 有多模态（语音、图像、视频）联合学习经验者优先。
◦ 数学基础扎实，具备优秀的建模能力、逻辑思维和问题分析能力。

4. 软技能

◦ 出色的沟通与团队协作能力，能够与算法、工程、产品等多角色高效合作。
◦ 对数字人技术充满热情，具备较强的学习能力和执行力，擅长将前沿研究转化为实际应用",TTS ASR LLM 计算机视觉 Python PyTorch 深度学习 TensorFlow Keras OpenCV GAN Diffusion 多模态,https://jobs.51job.com/kunshan/172542650.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
AI售前顾问,达智汇科技服务（苏州）,1.5-2.8万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-22 16:31:48,job51,"岗位职责：
1. 深挖制造业客户痛点，结合伏羲工业AI平台输出匹配售前解决方案
2. 主导产品演示、技术宣讲、招投标全流程，推动项目签约落地
3. 协同技术、实施团队做好需求传递与交付衔接，沉淀行业方案模板
任职要求：
1. 2年+制造业/工业软件/AI产品售前经验，懂生产流程、MES/ERP系统优先
2. 能独立完成需求调研、方案撰写、讲标答疑，有工业AI项目签单案例加分
3. 理解无代码工业AI产品价值，擅长匹配客户场景，沟通演示能力强
4. 适应出差节奏，能扛项目攻关压力，学习应变能力突出

加分项
1. 熟悉生成式AI应用
2. 手握制造业客户资源
3. 具备英文沟通能力",招投标 MES,https://jobs.51job.com/suzhou-gyyq/170167506.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
IT系统工程师（ERP/MES/SRM/PLM）,图达通智能科技（苏州）,1.5-2.5万·13薪,苏州·相城区,苏州,本科,5年及以上,2026-07-22 14:40:50,job51,"岗位职责：
1、主导公司 ERP (INFOR LN) 系统全生命周期实施，包括需求调研、业务流程梳理、方案设计、系统配置、测试验证、上线切换及后续优化迭代，聚焦制造业核心业务场景（主数据、生产计划、供应链、财务、库存、车间管理等）。
2、深入理解公司生产制造、采购销售、仓储物流、财务核算等业务流程，结合 Infor LN 系统特性，设计贴合业务实际的系统实施方案，优化现有业务流程，提升数字化管理效率。
3、负责 Infor LN 系统核心模块（MPS/MRP、生产管理、库存管理、采购管理、销售管理、财务管理、BOM 管理等）的参数配置、权限分配、流程建模及二次开发需求梳理，对接外部开发团队落地实施。
4、制定数据迁移方案，主导历史数据清洗、转换、导入及验证工作，确保主数据、业务数据准确统一，保障系统上线数据衔接顺畅。
5、搭建系统测试环境，制定测试计划，组织功能测试、集成测试、用户验收测试（UAT），持续跟踪问题并闭环优化。
6、编制系统操作手册、培训课件等资料，组织各业务部门分层级培训，指导关键用户及终端用户熟练操作系统，保障业务正常运转。
7、负责系统上线后的日常运维、问题排查、故障处理、需求迭代优化，快速响应各部门系统问题，保障系统稳定运行。
8、协调内外部资源（业务部门、实施团队、Infor 原厂），推进项目进度、识别项目风险、把控交付质量，保障 ERP 项目顺利落地。
9、负责 Infor LN 与 OA、MES、WMS 等系统的接口需求梳理、集成方案设计与数据联调，实现各系统业务数据互通、流程闭环。
10、负责 PLM 产品生命周期管理系统的日常运维、数据维护、流程优化与版本管控，熟练处理 PLM 系统 BOM、图纸、工艺文档、物料版本变更管理，保障产品数据源头准确、规范。
11、梳理 PLM 与 ERP 的数据流转逻辑，负责 PLM-ERP 数据对接、物料 / BOM 同步、工艺数据同步等集成运维工作，解决跨系统数据不一致、同步异常等问题，保障产品研发到生产端数据贯通。

任职要求
1、本科及以上学历，计算机、信息管理、工业工程、财务管理等相关专业优先。
2、5 年以上 ERP、PLM 系统实施及运维经验，具备3 个以上制造业完整数字化项目实施经验。
3、精通 Infor LN 核心模块业务逻辑与参数配置，熟练掌握 MPS/MRP、生产管理、供应链、库存、BOM 体系，熟悉 PLM 系统产品数据管理、图纸版本、BOM 结构、工艺数据运维。
4、熟悉 SQL、Oracle 数据库，具备基础报表开发、数据排查、API 接口集成能力。
5、具备 PLM 与 ERP 跨系统集成、数据同步、主数据治理经验者优先。
6、有 SAP、Oracle、Infor 等大型企业数字化系统实施经验者优先。
7、具备完整项目管理能力，熟悉瀑布 / 敏捷项目管理方法，PMP 证书优先。",SQL Oracle 方案设计 供应链 采购 测试计划 功能测试 培训 流程优化 数据治理 项目管理,https://jobs.51job.com/suzhou-xcq/173003429.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
工业设计师（机器人外观方向）,恒工装备科技（苏州）,1.5-1.8万,苏州,苏州,本科,3-5年,2026-07-30 14:49:50,job51,"岗位职责
1.负责服务人形机器人、机器狗整机及附属件外观工业设计，包含造型方案创意、形态推敲、色彩、材质、表面工艺（CMF）整体设计；
2.参与产品前期需求调研、竞品分析、用户场景分析，输出设计策略、概念草图、设计推演方案；
3.使用 Rhino、Keyshot、PS、AI 等工具完成三维建模、效果图渲染、展板、设计汇报文件输出；
4.配合结构工程师开展外观与内部结构的协同设计，完成外观冻结，解决外观与装配、壳体开模冲突问题；
5.跟进手板制作、样机评审，参与手板打样、外观缺陷整改，持续优化造型、缝隙、分型线、拔模角度等工艺细节；
6.制定产品 CMF 规范，选定外壳材质、喷涂、阳极、纹理、印刷、双色注塑等工艺，对接供应商评估工艺可行性与成本；
7.输出完整设计资料：草图、3D 外观模型、渲染图、外观 BOM、工艺说明、设计变更文件；
8.跟踪模具阶段外观落地，协同供应链解决量产外观品质问题，保障设计方案高质量量产落地；
9.持续跟踪国内外机器人行业设计趋势、新材料新工艺，沉淀机器人外观设计规范与设计资产；
10.兼职部分产品经理职责，协助研发团队及生产团队产品落地。
任职要求
1.工业设计本科及以上学历，2 年及以上机器人 / 智能硬件 / 智能终端外观工业设计经验，有商用机器人、巡检机器人、配送机器人、人形机器人整机案例优先；
2.熟练掌握 Rhino 建模，Keyshot 渲染，精通 PS/AI 视觉表达；掌握 Grasshopper、Blender、SolidWorks 者加分；
3.熟悉塑胶壳体、钣金、铝合金外壳加工工艺，了解注塑、吸塑、冲压、阳极氧化、喷涂、纹理、镭雕等量产工艺；懂壳体拔模、分模、装配间隙基础结构常识；
4.具备完整从概念→手板→量产落地的整机外观项目经验，能够独立承担整机外观设计；
5.审美良好，具备系统造型能力，理性平衡美观、成本、工艺、人机交互、防护需求；
6.良好跨部门沟通能力，能和结构、电子、供应链高效协作；
投递简历必须附带作品集（机器人相关项目优先展示）。",竞品分析 供应链 CMF Rhino Keyshot PS AI BOM,https://jobs.51job.com/suzhou/173099530.html?s=sou_sou_soulb&t=0_0&req=e06ea67e2fd2dee8ef6358d8ee519a35
