job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI数据标注员（周末双休）,苏州博视精工智能装备科技,5-7千,昆山,苏州,大专,1年及以上,2026-07-29 09:43:51,job51,"一、岗位职责
1、负责数据准备与标注：
（1）收集和整理PCB图像数据，确保数据量足够且具有代表性。
（2）使用专业的标注工具对PCB图像进行精确标注，以准确标识出缺陷的位置和类型（如划伤、氧化、线路不良等）。
2、负责标注规则制定与优化：
（1）与算法工程师、产品经理沟通协作，理解模型训练需求，共同制定合理的标注规则。
（2）根据模型反馈不断调整和完善标注标准，确保标注数据能够满足AI模型训练的需求，并提高模型性能。
3、负责质量控制：
（1）对已完成的数据标注进行审核，保证标注的准确性和一致性。
（2）分析标注过程中出现的问题，提出改进建议，优化标注流程，提升整体工作效率。
4、负责沟通协调：
（1）与其他团队成员保持良好沟通，及时反馈工作中遇到的问题，寻求解决方案。
（2）协助解决跨部门间的协作问题，促进项目顺利推进。
5、负责文档记录：
（1）记录工作中的关键步骤、遇到的问题及解决办法，形成文档资料，为后续工作提供参考依据。
（2）总结标注过程中的经验教训，分享给团队其他成员，促进团队整体能力提升。
6、负责对客服同事进行数据类型培训。

二、任职资格
1、性别不限、20岁以上、大专及以上文化程度、计算机科学、电子工程、自动化等相关专业 。 
2、专业要求：
（1）熟悉PCB制造工艺流程及常见缺陷特征，能够准确识别并标注出各种类型的缺陷者优先；
（2）熟悉PS软件者优先；
（3）了解图像处理基本原理，熟悉至少一种编程语言（如Python），用于简单的数据分析和脚本编写者优先。
3、工作经验要求：
（1）有数据标注经验，尤其是AI训练数据标注经验者优先考虑。
（2）具有电子制造业或类似行业背景，特别是有过PCB生产经验优先考虑。
4、学习能力强，理解能力强，有责任心，细心，执行能力强，善于沟通。

三、我们的福利
1、五险一金，带薪年假；
2、各种工作补贴：交通补贴、通讯补贴、出差补贴等；
2、员工福利关怀：结婚及生育礼金、伤病慰问、生日礼物、协会及部门活动经费、节日礼品、法定节假日等；
3、人性化的考勤管理制度，提供行业极具竞争力的薪酬，根据公司运营情况并结合个人工作绩效发放丰厚的年终奖金；",Python 培训 数据分析,https://jobs.51job.com/kunshan/169369686.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
数据采集-线上面试,广州未来可期信息技术,5-7千,苏州·吴中区,苏州,大专,无需经验,2026-07-06 17:21:19,job51,"签订劳务合同，
工作内容:
1.佩戴动捕VR 设备，远程操控机器人/机械臂，按照场景操作要求，完成动作数据采集
2.辅助整理筛选原始数据，保障数据规范完整
3.辅助维护调试 VR/传感器设备，反馈故障并优化
岗位要求：
1.全日制专科及以上，计算机/AI电子信息等相关专业优先
2.肢体协调性好，能按指令复现动作，热爱本职工作，为人踏实守信
3.工作有责任心，能耐心接受操作培训，按照老师指导执行
4.有计算机调试、机器人/数据采集经验",数据采集 培训 VR,https://jobs.51job.com/suzhou-wzq/172811493.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
AI研发助理,苏州智熠达科技,4-6千,昆山,苏州,本科,无需经验,2026-07-16 15:38:54,job51,"岗位职责：
1.协助进行数据处理；
2.协助进行模型训练与结果评估；
3.其他项目辅助工作。

任职要求：
1. 本科应届生，计算机等相关专业（必须项）；
2. 校内有深度学习项目经验（必须项）；
3. 学习能力强，积极主动，善于沟通；
4. 有机器视觉、工业缺陷检测方向项目经验优先。",深度学习,https://jobs.51job.com/kunshan/172937517.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
数据分析专员,江苏益展研创智能科技,4.3-4.8千,苏州·姑苏区,苏州,大专,1年及以上,2026-07-27 17:26:02,job51,"岗位职责：
1.对交通场景动态数据进行监测并深度解析，生成实时监管指标及可视化报告；
2.为交通管理部门及企业提供风险行为预测、资源调度优化等多维度数据决策闭环服务；
3.基于智能化交通场景系统平台，对交通枢纽、城市干线等应用场景，提供“人-车-路-环境”协同的智慧交通监测服务方案；
4.完成部门主管交办的其它工作，积极主动地配合团队完成各项任务。
任职要求：
（一）基本要求
学历要求：大专及以上学历，行政管理、数据分析、文秘等相关专业优先。
工作经验：具有1年以上相关工作经验者优先，有数据分析或类似岗位工作经验者更佳。
（二）技能要求
系统操作能力：能够熟练操作相关系统平台，具备一定的计算机基础知识，能够快速学习和掌握新系统。
数据分析能力：具备较强的数据分析能力，能够运用数据分析工具（如Excel等）对监测数据进行整理和分析，形成清晰的数据分析报告。
办公软件应用：熟练使用办公软件（如Word、Excel、PPT等），能够高效完成文档编辑、数据处理和报告制作等工作。
音视频处理能力：熟悉音视频资料的调取、整理和保存方法，能够确保资料的完整性和可追溯性。
（三）工作态度
责任心：工作认真负责，具备高度的责任心，能够确保工作的准确性和及时性，因项目或工作的紧急性，能够接受灵活的加班安排。
细致认真：具备细致的工作态度，注重细节，能够发现并解决工作中出现的问题。
团队合作精神：具备良好的团队合作精神，能够与团队成员密切配合，共同完成工作任务。
抗压能力：能够适应快节奏的工作环境，具备一定的抗压能力，能够在规定时间内完成工作任务。
（四）其他要求
学习能力：具备较强的学习能力，能够快速适应新环境和新任务，不断提升自己的业务水平。
沟通能力：具备良好的沟通能力，能够与相关部门和人员进行有效沟通，确保工作的顺利进行
上五休二：8:30--17:30",数据分析 Excel,https://jobs.51job.com/suzhou-gsq/160649861.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
数据采集工程师,苏州博特勒机器人,5-8千,昆山,苏州,大专,无需经验,2026-08-04 15:27:57,job51,"岗位职责：
1、图像数据标注
2、外出采集客户实地现场数据
3、仿真流程可达性验证
4、YOLO模型训练
岗位要求：
1、大专及以上学历，必须是计算语言学专业。
2、编程基本功扎实；用过爬虫和chatgpt等数据处理工作的加分。 
3、对数据敏感，能踏实做好数据标注，收集，标注，清理工作； 
4、具有良好的团队沟通交流能力、文档撰写能力；",GPT,https://jobs.51job.com/kunshan/173147284.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
科技数据部数据分析师,中国平安财产保险股份有限公司苏州,14-20万/年,苏州,苏州,本科,1年及以上,2026-07-13 10:36:24,job51,"岗位职责：
1. 对接公司各中心真实业务需求，依托平安内部数据平台及AI工具，开展智能体开发、迭代与落地应用，赋能业务智能化升级。
2. 承接数据中心日常工作，协助开展部门日常管理、项目跟进及事务统筹。
3.负责日常数据安全管控、合规管理与风险自查，保障数据资产规范安全使用。
4.跟进部门考核指标，做好日常复盘优化，保障各项工作高效闭环落地。
任职要求
1.本科及以上学历，计算机、软件工程、自动化、通信、人工智能等相关专业。
2. 熟练掌握 Python开发，具备智能体开发经验，了解Codex、Claude Code 等coding工具优先。
3.具备良好的需求理解、沟通协调与问题解决能力。
4. 工作踏实负责，学习能力强，有较强责任心和执行力。",Python 合规 Claude Code,https://jobs.51job.com/suzhou/172882911.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
数据服务专员（数据收集）,上海寰通商务科技,5-7千·13薪,苏州·苏州工业园区,苏州,本科,1-3年,2026-06-17 09:52:06,job51,"工作职责
1、监控每天的数据到达情况；
2、对未到达数据的经销商进行电话催收并记录；
3、每天根据药厂规定时间发送当天的催收报告‘；
4、服从领导安排，协助完成项目相关工作；
任职要求
1、本科及以上学历；
2、数据相关工作经历1年以上优先考虑；
2、能熟练运用 excel,ppt, word,visio 等 office 软件；
3、良好的逻辑思维能力，沟通能力及学习能力，能够承受压力工作；",excel ppt word,https://jobs.51job.com/suzhou-gyyq/167956196.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
AI实习生（算法/数据分析/应用开发）,好孩子儿童用品,5-6千,昆山,苏州,本科,无需经验,2026-06-11 13:47:30,job51,"我们期待:
1.在读本科或研究生，人工智能/计算机科学/数据科学/机器学习及相关专业:
2.熟悉 Python，有大模型项目经验或 RAG 项目经验者优先;
3.英文读写流利，能阅读海外技术文献:
4.海内外知名高校(杜克大学等)优先考虑:
5.有采购、供应链或制造业 AI项目经验者加分
实习收获：
1.深入全球领先母婴企业真实业务，AI项目可演示原型从0到落地:
2.接触工厂运营、供应链、研发、实验室多维度数据，算法场景丰富
3.技术方案文档，留下可持续选代的成果:
4.与部门负责人直接协作，获得真实业务推荐信支持
实习期2个月左右，暑期即可开展实习",机器学习 Python 大模型 RAG 采购 供应链 技术方案,https://jobs.51job.com/kunshan/172514438.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
AI自研软件工程师,苏州工业园区瑞塑整合包装,1.3-1.5万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-08-05 17:25:38,job51,"1.&nbsp;结合公司制造业生产、仓储、品质、设备、办公管理真实场景，独立使用AI辅助自研开发公司专属内部软件/系统，不依赖外购成品系统。

2.&nbsp;负责需求梳理、系统架构设计、功能开发、测试上线与后期迭代，包含生产管理、工单、库存、报表、数据分析、流程审批等企业自研系统。

3.&nbsp;利用AI能力赋能软件开发，实现智能统计、自动报表、数据预警、流程提效、内容智能处理等智能化功能，提升工厂数字化效率。

4.&nbsp;负责系统日常运维、数据维护、BUG修复、版本更新，输出操作手册和技术文档，保障系统稳定运行。

5.&nbsp;结合生产业务痛点持续优化系统功能，推进公司内部数字化、智能化落地。
 
任职要求
 
1.&nbsp;熟悉全流程软件开发，能够独立完成企业软件自研开发，熟练运用AI工具/AI模型辅助编程与功能开发。

2.&nbsp;了解制造业工厂业务（生产、物料、品质、设备、办公流程），能落地贴合工厂实际使用的系统。

3.&nbsp;具备独立思考、需求拆解、问题排查能力，能自主推进项目落地。

4.&nbsp;有AI自研系统、企业管理系统、制造业数字化软件开发经验者优先。",数据分析 技术文档 nbsp,https://jobs.51job.com/suzhou-gyyq/173165889.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
人工智能岗,张家港众智纺织品,8.5千-1.2万,张家港,苏州,本科,1年及以上,2026-06-17 15:07:22,job51,"岗位职责：
1.负责AI大模型、智能体应用项目从立项到交付的全流程推进，制定实施计划、管控项目进度与风险，保障项目按质按期完成交付。
2、负责技术发展趋势洞察与预研，分析业务应用场景，搭建人工智能的平台化应用、搭建系统知识库。
3、智能体应用开发：负责智能问答（RAG）、智能问数、智能数据提取与校验、智能文档生成等场景的智能体开发与迭代，基于智能体平台快速搭建与落地。
4、场景落地：对接公司内部需求，梳理业务痛点并转化为技术方案，完成智能体产品部署（docker/k8s）、环境适配、数据迁移与用户培训，保障项目按时验收。
5、运维优化：监控智能体运行状态（响应速度、准确率、稳定性），快速排查并解决现场技术问题，结合反馈意见优化产品性能与交互体验。
6.主导项目交付后的运营机制搭建，制定运营SOP、服务标准与效果评估体系；基于业务数据与客户反馈，持续优化智能体应用场景与大模型落地效果，实现业务价值闭环。

任职要求：
核心硬性要求：
1、本科及以上学历，1年以上全栈研发经验，前后端能力突出（熟练Vue3，具备复杂交互界面开发经验），1年以上智能体（Agent）或RAG、问数、报告生成等相关项目开发与实施经验。
2.熟练Java或Python，掌握Redis/MongoDB/Elasticsearch等中间件，了解向量数据库（Milvus/Qdrant）。
3.熟练Vue3、Element Plus/Ant Design等组件库，熟悉Vite/Webpack打包优化，具备可视化图表（ECharts/DataV）、低代码平台开发经验者优先。
智能体技术：使用过Dify/Coze等低代码平台、熟悉 RAG 全流程、大模型 API、工具调用与流程编排，有MCP工具开发、Skill开发经验、OpenClaw开发经验者优先。
4.运维能力：能独立应对复杂环境（国产化服务器、内网部署），快速解决部署、运维中的突发问题。

软实力要求
1、强需求拆解与表达能力，能清晰对接内部团队，平衡业务需求与技术可行性。
2、适应项目制工作节奏，能承受多任务并行与实施压力。
3、关注AI前沿技术，能快速迭代技术栈适配智能体产品迭代需求。

加分项：
1、有智能问答、智能问数、数据提取校验、智能文档生成等场景落地经验。
2、具备纺织行业从业经验或项目实施经验。
3、协调内部算法、后端团队推进需求落地与技术攻关，输出部署手册、操作指南、故障排查手册等文档。
4、发展和掌握人工智能关键技术和应用，对相关人员和项目进行专业指导，提升整体专业水平和工作绩效。",大模型 RAG Docker K8s Vue Agent Java Python Redis MongoDB Elasticsearch 向量数据库 Vite Webpack 知识库 技术方案 培训 产品迭代 故障排查,https://jobs.51job.com/zhangjiagang/172596532.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
数据分析工程师,江苏西格数据科技,8千-1万,苏州·苏州工业园区,苏州,大专,2年及以上,2026-07-30 17:55:45,job51,"岗位职责：
1、边缘计算部产品功能迭代、新功能验证、历史功能优化；
2、协助处理现场问题；
3、支持POC的实施工作；
4、参与部门软件产品知识体系的构建；

任职资格：
1、计算机科学、软件工程、数控技术、统计分析、数据分析相关专业，2年及以上相关的工作经验，优秀应届毕业生也可以，要懂电气，或者统计分析、数学、算法相关背景的，然后做过软件行业相关工作的也行；
2、具备积极主动的沟通意识，较强的学习能力；",数据分析,https://jobs.51job.com/suzhou-gyyq/173104097.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
AI项目专员（AI应用）,苏州超集信息科技,1-2万,苏州·苏州工业园区,苏州,本科,1年,2026-07-27 15:44:15,job51,"岗位职责 
1. 负责公司AI产品（包括AI Gateway、Token Router、企业知识库、AI Agent等）的项目规划、实施、交付及全生命周期管理，确保项目按计划、高质量完成。 
2. 深入理解客户业务需求，结合大模型、AI Agent、RAG等AI技术，制定项目实施方案，推动AI产品在企业场景中的落地应用。 
3. 负责项目需求分析、方案设计、项目计划制定、进度控制、风险管理及验收交付，保障项目目标达成。 
4. 协调产品、研发、算法、测试、运维及客户等多方资源，推动跨部门协作，确保项目顺利实施。 
5. 与AI研发团队紧密合作，参与技术方案评审，能够理解AI系统架构、模型应用及接口集成，推动技术方案高效落地。 
6. 跟踪人工智能领域的新技术、新产品和行业发展趋势，结合客户需求不断优化项目实施方案和产品应用能力。 
7. 建立和完善AI项目实施流程、交付规范及***实践，持续提升项目交付质量和客户满意度。 
8. 支持售前方案交流、项目汇报及客户培训，协助推动AI项目持续拓展和价值提升。 

任职要求 
1. 本科及以上学历，计算机科学、软件工程、人工智能、信息管理等相关专业优先。 
2. 3年以上项目管理经验，具备企业级软件项目或数字化项目实施经验，有AI项目管理经验者优先。 
3. 熟悉大模型（LLM）、AI Agent、RAG（检索增强生成）、知识库等AI应用技术，具备完整AI项目实施经验者优先。 
4. 具备一定AI开发经验者优先，能够理解AI应用开发流程，熟悉Python开发、Prompt Engineering、大模型API调用、LangChain、LlamaIndex、FastAPI等相关技术框架。 
5. 熟悉AI产品架构及技术实现，能够与研发团队进行技术沟通，具备较强的问题分析和解决能力。 
6. 具有优秀的项目统筹能力，能够独立制定项目计划，协调客户、产品、研发及实施团队，推动项目按期交付。 
7. 具备良好的客户沟通能力、需求分析能力及文档编写能力，能够准确理解业务需求并输出解决方案。 
8. 具备较强的学习能力和创新意识，关注AI技术发展动态，能够快速适应新技术、新场景和新业务。 
9. 有企业AI平台、大模型平台、AI Gateway、Token Router、智能客服、企业知识库等相关项目经验者优先。 
10. 持有PMP、ACP、Scrum Master等项目管理认证者优先。",AI Agent 大模型 RAG LLM Python Prompt Gin LangChain FastAPI 知识库 需求分析 方案设计 风险管理 跨部门协作 技术方案 培训 项目管理 客户沟通 文档编写,https://jobs.51job.com/suzhou-gyyq/173053949.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
医学专员(J10551),景昱医疗科技（苏州）,6-9千·14薪,苏州·苏州工业园区,苏州,本科,无需经验,2026-07-15 17:38:21,job51,"岗位职责：
1.负责影像数据处理以及影像系统日常审核和运营；
2.独立识别解决影像系统运营中出现的问题，对于复杂的问题与研发部门沟通协助完成；
3.负责我司合作中心的影像采集和质量控制；
4.跨部门沟通，确保影像业务的正常运营；
5.协助部门的其他临床工作；
6.完成上级交办的其他工作。 
任职资格：
1.本科及以上学历，临床医学、生物医学工程、影像相关专业； 
2.熟练掌握Python、3D Slicer、MATLAB等工具使用； 
3.具备高度的责任心与主动性，工作严谨细致；
4.具备良好的跨部门沟通表达能力，主动跟进问题闭环，高效推进工作落地。",Python MATLAB Slicer,https://jobs.51job.com/suzhou-gyyq/172923910.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
AI自研软件工程师,苏州工业园区瑞塑整合包装,1.3-1.5万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-08-05 17:15:15,job51,"【工作内容】
1、负责印刷包装行业专用AI算法模型的自研开发，优化图像识别与缺陷检测精度；
2、主导软件架构设计与核心代码编写，确保系统在高速产线环境下的稳定运行；
3、对接生产现场需求，完成从数据清洗、模型训练到工程化部署的全流程交付；
4、协同硬件团队进行边缘计算设备适配，解决工业场景下的实时性与兼容性难题；
5、持续跟踪前沿技术，迭代现有算法方案以提升包装质检效率与良品率。

【任职要求】
1、计算机、人工智能或相关专业大专及以上学历，具备扎实的编程基础；
2、精通Python/C++，熟悉PyTorch/TensorFlow框架，有工业视觉项目落地经验；
3、深入理解深度学习原理，在目标检测、分割或异常检测领域有实际成果；
4、具备良好的逻辑思维能力与跨部门沟通协作能力，能适应工厂现场工作节奏；
5、对印刷包装工艺有一定了解者优先，具有强烈的责任心和解决复杂问题能力。",Python C++ PyTorch TensorFlow 深度学习,https://jobs.51job.com/suzhou-gyyq/173165635.html?s=sou_sou_soulb&t=0_0&req=f608822fae6cac2b242d7624f405c99d
