job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
流程与项目开发工程师,江苏帝航工业科技,8千-1.2万,常熟,苏州,本科,1-3年,2026-06-29 15:19:23,job51,"工作职责
1.	项目推动实施：制定合理的项目计划、协调各方资源，确保按时、按需、按质完成项目交付。
2.	低代码应用搭建：能根据业务部门要求，使用低代码平台（如蓝凌、钉钉），快速搭建满足需求的应用系统。
3.	业务流程优化：深入了解集团业务，对日常业务流程产生的数据进行统计分析，给出合理性建议，并积极推动业务流程的持续优化。
4.	平台运维管理：负责钉钉、蓝凌等低代码平台的日常运维工作，及时响应并解决平台使用过程中出现的各类问题。

任职资格
1.	学历专业：全日制本科及以上学历，计算机科学、信息管理等相关专业。
2.	综合能力
 o	性格偏外向，逻辑严谨清晰，有责任心及客户服务意识。
 o	较好的沟通表达能力和文档撰写能力，能够清晰、准确地传达信息，撰写高质量的项目文档。
3.	有独立或作为核心，推动项目从立项到验收的完整经验。
4.	三年以上软件开发、需求分析相关工作经验，独立完成过三个以上项目的业务需求调研与分析，有一定开发能力。
5.	加分技能与经验（具备以下条件者优先）
 o	有制造型企业采购、销售、生产、运营、合同、物流、外贸等业务领域的实施经验，能够快速理解业务需求并实现系统落地。
 o	有通过数据分析来对流程进行优化的经验。
 o	具有极强的探索欲和快速学习能力，有AI 相关项目实施经验。",流程优化 客户服务 需求分析 采购 数据分析,https://jobs.51job.com/changshu/172726261.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
上位机开发工程师,大金氟化工（中国）,15-20万/年,常熟,苏州,本科,8年及以上,2026-07-23 09:37:15,job51,"【工作内容】
1、负责上位机软件开发、维护、代码审查，开发 UI 界面、实时监控、报警、趋势图表；
2、实现上位机与 PLC / 仪表 / 扫码枪等设备通信联调，完成数据采集与指令下发；
3、对接 MES、WMS 系统，实现工单下发、数据上传、质量追溯、生产数据交互；
4、负责生产数据存储、查询、报表开发，熟练使用 SQL Server/MySQL；
5、现场调试、故障处理、性能优化，保障产线稳定运行；
6、编写软件设计、接口、操作等技术文档。

【任职要求】
1、计算机、自动化或相关专业本科及以上学历，具备8年以上上位机开发 / 维修经验，工控 / 非标自动化优先；
2、精通 Qt/C++ / LabVIEW / C# 至少一种，熟悉 WinForm/WPF/.NET；
3、精通 SQL，熟练使用 SQL Server/MySQL 增删改查、数据管理、报表；
4、熟练掌握多种工业现场通信协议，如RS-232/485、ModbusTCP/IP、MC协议等；
5、熟悉西门子 / 三菱 PLC 原理，具备设备联调经验，有 MES/WMS 系统集成经验优先；
6、具备良好的逻辑思维能力与抗压能力，能适应项目出差及定期现场调试，责任心强，沟通良好。",SQL Server MySQL C++ C# SQL Modbus TCP/IP 数据采集 技术文档,https://jobs.51job.com/changshu/172581472.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
LED设备技术员,苏州市悠越电子,5-8千,苏州·高新区,苏州,中技/中专,3年及以上,2026-08-07 17:07:28,job51,"LED 设备技术员（固晶焊线/封光编带，会其一即可）

1. 固晶焊线方向：精通 KS 焊线机，可独立开发设备程序，熟悉 LED 封装 DB、WB 不良改善对策；会后段编带/测试机调试优先。
2. 封光编带方向：中技/中专及以上，3年以上 LED 设备经验，熟悉分光机、编带机调试编程；会 DB/WB 设备运维优先。
3. 2年以上经验，身体健康，沟通协作良好，抗压能力强，可适应加班。

工作地点：南通",LED KS DB WB,https://jobs.51job.com/suzhou-gxq/173195224.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
PHM-PCS7软件工程师,上海正帆科技,1.4-2万,太仓,苏州,大专,3年及以上,2026-08-07 15:10:43,job51,"1、负责西门子PCS7系统全流程工作：硬件组态、编程、WinCC画面组态、系统网络配置、现场调试、故障排查与系统优化，保障自控系统稳定运行。
2、对接制药工艺(配液、纯化、CIP/SIP等)，根据仪表点位(温度、压力、流量、液位、在线分析类传感器)完成标签配置、联锁逻辑、报警管理、权限划分开发工作。
3、编写项目配套技术文件：FDS功能设计说明、SAT现场验收、IQ/OQ验证文件、操作手册、程序说明文档，满足制药行业GMP、GAMP5计算机化系统合规要求。
4、负责项目出厂调试、现场上电联调、问题整改、客户培训；对接客户，完成技术对接、问题沟通、资料对接工作。
5、负责已投产PCS7系统日常运维、程序升级、与计算机化系统周期性验证配合工作。",故障排查 合规 培训 CIP IQ,https://jobs.51job.com/taicang/173192213.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
软件开发工程师(J10657),元成科技（苏州）,8千-1.4万·13薪,苏州·苏州工业园区,苏州,本科,3-5年,2026-07-02 13:44:26,job51,"工作职责：
1.负责封装段自动化设备EAP 系统的需求分析、设计、开发与迭代优化。其设备工序包括研磨、贴片、打线、注塑、镭射等关键工序。
2.负责封装设备管理系统（AMS）的功能开发、日常维护及问题排查。
3.负责设备端相关特殊系统的功能开发、对接调试与运维支持。

任职资格：
一、专业技能
 1.熟练掌握至少一种后端开发语言（C#/VB/Python 优先），具备良好的编码与调试能力。
 2.熟悉常见数据库（SQL Server/Oracle 等），能独立进行 SQL 编写、优化与数据处理。
 3.了解工业自动化系统通信协议，如 SECS-GEM、TCP/IP、Socket 等，具备设备对接经验优先。
 4.具备EAP / 自动化集成系统开发或对接经验，理解半导体封装工艺流程优先。
 5.有设备管理系统、设备日志（Log）处理、数据采集与监控相关项目经验优先。
 6.熟悉系统维护、问题排查、版本发布与日常运维流程，能快速定位并解决线上问题。
二、能力素质
 1.具备良好的需求理解、方案设计与文档编写能力。
 2.责任心强，工作细致，能承受生产环境问题应急响应压力。
 3.具备良好的沟通协调能力与团队协作意识，能与设备厂商、生产部门高效对接。
 4.学习能力强，愿意持续跟进工业自动化、设备联网、智能制造相关技术与业务。
三、其他
 1.能适应生产系统必要的现场支持与应急处理。
 2.有制造业 MES/EAP/ 自动化相关项目经验者优先录用。",C# Python SQL Server Oracle SQL TCP/IP 需求分析 数据采集 方案设计 文档编写 应急响应,https://jobs.51job.com/suzhou-gyyq/170681135.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
软件工程师,欧陆分析技术服务（苏州）,1.1-1.4万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-06-25 08:59:09,job51,"岗位描述：
本岗位负责内部系统及业务报表的开发、维护与优化工作，要求熟练掌握 ANGULAR 与 .NET 技术栈，具备扎实的 SQL 及 SSRS 报表开发能力，理解前后端应用架构，能够与开发团队及业务用户紧密协作，为 集团下一代LIMS整合提供高质量技术支持。
主要职责：
1.负责 ANGULAR 前端组件与页面 的设计、开发与维护，支撑系统功能与界面交互。
2.参与基于 .NET 技术的内部系统功能开发、迭代与优化。
3.负责 SSRS 报表的设计、开发与维护，满足业务运营与管理报表需求。
4.开发、优化与维护 SQL 查询、视图、存储过程及数据逻辑。
5.编写与维护技术文档、报表规范及开发说明。
6.支持用户测试、需求验证及项目上线交付。
7.有Visual Basic相关开发经验。

任职条件：
1.计算机、软件工程或相关专业本科及以上学历。
2.具备 ANGULAR 或其他主流前端框架开发经验。
3.理解前后端应用程序架构与基本原理。
4.熟悉 .NET 开发（C#、.NET FRAMEWORK 或 .NET CORE）。
5.具备扎实的 SQL SERVER REPORTING SERVICES (SSRS) 开发经验。
6.具备存储过程、视图、函数开发及 SQL 调优经验。
7.具备业务需求分析能力，能将业务需求转化为合理技术方案。
8.具备良好的沟通表达与团队合作意识，工作认真负责。
9.具备良好的英语沟通能力（读写熟练，口语可基础交流）。
10.有实验室信息管理系统（LIMS） 相关项目经验者优先。",Angular SQL C# SQL Server 技术支持 技术文档 需求分析 技术方案,https://jobs.51job.com/suzhou-gxq/170902148.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
MES开发工程师(J10170),苏州纽威阀门,8千-1.6万·13薪,苏州·虎丘区,苏州,本科,2年及以上,2026-07-24 14:15:55,job51,"工作职责:
1. 需求分析与方案设计：
· 深入生产现场调研，梳理生产订单跟踪、物料管理、质量管控等业务需求;
 · 设计系统架构方案（前后端分离/微服务架构）、功能模块划分及数据库模型，
提供一线及二线技术支持;
 · 编写需求规格说明书、系统蓝图及接口规范文档负责MES系统的日常巡检、监控、备份与恢复，确保系统稳定运行;
2. 系统开发与功能实现：
 · 根据生产业务需求，在现有系统框架下进行基础配置、报表开发及界面微调;
 · 负责MES核心模块开发：生产调度、工单管理、工艺路线、质量检验（SPC/QMS）等;
 · 开发与ERP、PLM、WMS、AGV等周边系统的数据接口;
 · 基于OPC UA、Modbus、Profinet等工业协议完成设备数据采集与集成;
3. 系统部署与运维：
 · 负责系统测试、上线部署、用户培训及验收交付 ;
 · 日常运维监控、故障排查、性能调优及二次开发迭代 ;
 · 数据库性能优化、备份策略制定及数据安全管理;
任职资格:
1. 本科及以上学历，计算机相关专业；
2. 工作经验：
· 具备 2年以上 MES系统开发或实施经验;
· 有机械制造、汽车零部件、装备制造等行业背景者优先;
· 熟悉制造业核心业务流程，如生产工单管理、物料管理、质量管理、设备管理等;
3. 必备技能与知识：
· MES系统知识： 深入了解至少一种主流MES系统（如Siemens ,SAP ME， 或其它品牌）的架构、功能模块和开发技术;
· 数据库技术： 熟练掌握 SQL语言;能够进行复杂的查询、存储过程编写和性能优化;
· 熟悉 Oracle / SQL Server / MySQL 中至少一种数据库;
· 网络与系统基础： 了解计算机网络、Windows Server/Linux操作系统的基本原理和操作;
· 问题解决能力： 具备优秀的逻辑分析和独立解决问题的能力，能承担工作压力;
4. 优先考虑条件：
· 具备一定的编程能力，熟悉 C#、JAVA、VUE 等一种或多种开发语言者优先;
· 有MES系统与SAP ERP系统集成接口（如RFC、IDoc）运维经验者优先;
· 了解工业自动化设备通信协议,有IOT设备软硬件开发及运维经验优先;
5. 综合素质：
· 具备良好的沟通协调能力和团队合作精神，能够与生产、质量、物流等多个部门顺畅协作;
· 工作责任心强，做事严谨、细致，有强烈的服务意识;
· 具备良好的文档编写能力和学习能力。",微服务 Modbus SQL Oracle SQL Server MySQL Linux C# Java Vue 需求分析 方案设计 技术支持 数据采集 培训 故障排查 文档编写,https://jobs.51job.com/suzhou-hq/170744534.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
资深信息化软件开发工程师(J10229),苏州杰锐思智能科技,1.5-2.5万,苏州·吴中区,苏州,本科,5年及以上,2026-07-05 15:03:05,job51,"工作职责:
1、对接业务部门，梳理需求、优化流程，输出需求文档、技术方案及实施计划；
2、主导系统开发、迭代与定制化，规范代码与文档；负责测试、BUG修复、上线部署及用户培训运维；
3、统筹金蝶ERP与PDM/PLM深度集成，落地BOM对接、工程变更同步、图纸联动等关键功能；
4、开展ETL数据治理，搭建标准化数据体系；维护钉钉、纷享销客等第三方系统接口稳定运行；
5、负责帆软报表定制开发与优化，实现自动化生成与分发，为企业经营决策提供数据支撑；
6、负责团队任务分工、进度管控、技术指导与ai自动写代码给团队赋能。全程参与项目全流程管理，推动新技术落地与团队效能提升。
任职资格:
1、本科及以上，计算机相关专业；5年以上企业信息化开发经验，有团队管理或项目统筹经验者优先；
2、精通C#、ASP.NET及前端三剑客（HTML/CSS/JS），熟悉Python/PHP；具备独立系统架构设计与规范化文档输出能力；
3、精通SQL Server、Oracle调优与开发；熟悉非标行业ERP、PDM、SRM、CRM业务流程，具备二次/定制开发经验；
4、精通API/中间件集成（钉钉、EHR、纷享销客等）；熟练掌握ETL数据治理全流程，保障数据全链路可追溯；
5、具备出色的跨部门沟通、抗压与自学能力；能独立排障，同时具备团队任务分配与项目推进能力。",C# Python PHP SQL Server Oracle 技术方案 培训 数据治理 团队管理,https://jobs.51job.com/suzhou-wzq/172797207.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
全栈开发工程师（AI Agent ）,立讯电子科技（昆山）,1-1.8万,昆山,苏州,本科,3年及以上,2026-07-08 14:17:17,job51,"岗位职责
AI Agent 智能体开发：
负责AI Agent智能体产品的架构设计、核心功能开发与迭代优化
基于大语言模型（LLM）构建对话系统、RAG知识检索、工具调用链路等模块
设计Agent编排流程，实现多智能体协作、记忆管理与自主决策能力
进行Prompt Engineering与评测调优，提升智能体的准确性与稳定性

Web 前后端开发：
5. 负责Web产品前后端架构设计与核心功能开发，独立完成从接口到页面的全流程
6. 前端基于React/Vue构建高性能交互界面，后端基于Python/Go/Java提供稳定API服务
7. 开发RESTful API/GraphQL接口，实现前后端联调与第三方系统对接
数据库与服务器运维：
8. 负责数据库选型、表结构设计、性能调优与日常运维（MySQL/PostgreSQL/Redis等）
9. 负责服务器部署与管理，搭建CI/CD流水线，保障系统高可用与安全稳定运行
10. 构建监控告警体系，快速定位并处理线上问题
基本要求：
计算机相关专业本科及以上学历，3年以上开发经验
扎实的编程基础，精通Python，熟悉JavaScript/TypeScript
具备全栈开发能力，能独立完成前后端开发与部署上线",AI Agent LLM RAG Agent Prompt Gin React Vue Python Go Java MySQL PostgreSQL Redis CI/CD 高可用 JavaScript TypeScript 监控告警 部署上线,https://jobs.51job.com/kunshan/172838500.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
全栈开发工程师(J10023),苏州真懿医疗,1-2万·14薪,苏州,苏州,本科,3年及以上,2026-07-16 15:58:29,job51,"工作职责:
1、软件开发与功能实现
 对接业务及项目需求，独立完成系统功能、页面、报表开发，以及业务流程配置、插件定制等工作。主要负责MES、E-DHR、ERP对接模块、OA流程及各类配套工具的开发与迭代。按照业务规范完成字段定义、逻辑校验、权限配置、状态流转及数据展示等开发工作；排查修复系统问题，优化系统性能，持续提升系统稳定性与用户体验。
2、系统集成与接口开发
 负责各业务系统、自动化设备之间的接口开发、联调对接与异常排查，实现ERP、OA、MES、E-DHR的数据互通。打通工单、批次、报工、物料消耗、生产参数、质量记录、入库数据等核心业务链路。配合设备团队及第三方供应商完成设备联网、数据采集、接口适配与场景接入，监控核心数据交互过程，闭环各类问题，确保生产数据准确、及时、可追溯。
3、需求理解与技术转化
 参与需求评审、澄清及方案研讨，精准理解业务目标与应用场景。负责将业务需求转化为技术方案，拆解开发任务，制定字段、接口、测试及上线规范。识别开发过程中的技术风险、数据依赖及潜在问题并及时反馈。针对模糊、冲突的业务规则，输出结构化梳理建议，协助业务敲定方案，保障需求高效落地。
4、测试验证与上线运维
 负责开发功能的单元、联调及全场景测试，完成上线前验证。配合业务部门开展用户验收测试，及时整改各类问题，完成上线确认。遵守软件变更与合规管理要求，配合完成权限管控、审计追踪等验证及受控发布。上线后持续跟踪系统运行状态，快速处理功能缺陷、数据异常及用户问题，保障系统稳定运行。
5、文档编写与技术沉淀
 规范编写并维护开发、接口、部署、测试及版本变更等技术文档，确保资料完整可追溯。协助梳理系统使用说明及常见问题文档，提炼通用组件、复用逻辑及问题解决方案，沉淀团队标准化技术资产，提升整体开发效率。
任职资格:
1、本科及以上学历，3年以上工作经验。php的laravel开发框架+mysql开发的系统；用uniapp开发微信小程序和app。
2、熟悉 Web 应用开发、数据库设计、接口开发、数据处理等基本技术能力。能够独立完成需求转技术实现、开发、测试和上线支持。
3、能理解生产、质量、工艺、设备、仓储等基础业务场景，能够与业务部门进行有效沟通，但岗位重点仍以开发实现能力为主。
4、具备一定的问题分析与排查能力，能够定位系统缺陷、接口异常和数据问题，并推动闭环解决。
5、具备良好的文档编写习惯，能够输出开发说明、接口文档、测试记录和版本变更记录。
6、有软件验证、权限控制、日志追踪、电子记录、追溯系统相关经验者优先。
7、有医疗器械、精密制造、自动化设备联网或工厂数字化项目经验者优先。
8、责任心强，沟通顺畅，能够在多部门协同环境下持续跟进任务落地。",PHP MySQL UniApp 数据采集 技术方案 合规 审计 文档编写 技术文档,https://jobs.51job.com/suzhou/172938053.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
asp.net高级开发工程师（工正）,昆山西交创新中心管理,7千-1.2万,昆山,苏州,大专,3-5年,2026-07-22 14:37:47,job51,"一、岗位职责：
全栈开发工程师
1. 基于 UniApp 框架，负责跨平台（iOS/Android/小程序/H5）移动端及PC端应用的设计、开发与性能优化，确保多端一致性及流畅体验。
2. 参与业务需求分析，完成前端页面架构、组件封装及交互逻辑实现，与后端协同制定接口规范。
3. 负责 ASP/ASP.NET 服务端业务模块开发，包括但不限于权限管理、业务逻辑层、数据访问层及定时任务等。
4. 设计并维护 SQL Server 数据库结构，编写高性能 T-SQL 语句、存储过程、触发器及函数，进行查询优化和索引调优。
5. 开发并封装 RESTful API 及第三方接口对接，确保接口安全性、幂等性及高可用性。
6. 参与系统部署、线上问题排查与性能监控，持续改进代码质量和系统稳定性。
7. 负责已有系统（PC端及移动端）的日常运维支持、Bug修复、功能迭代及性能调优，保障线上服务连续性、数据一致性与安全性，能够快速响应并解决生产环境突发事件。
 8. 负责生产/业务数据看板（电看板）在手机端的数据可视化设计与开发，包括但不限于实时数据图表（柱状图、折线图、仪表盘、表格等）、预警提示、多维度筛选交互及数据自动刷新机制，确保大并发下数据展示的实时性、准确性与交互流畅度。同时承担数据展示类问题的技术支持与故障排查，快速定位并解决数据延迟、图表渲染异常等问题。

二、任职要求（必备）
1. 后端技术栈：3～5年 ASP（VBScript）或 ASP.NET（C#/VB.NET）开发经验，熟悉 IIS 部署及配置，能独立完成PC端及移动端Web项目。
2. 行业经验优先：具有 ERP / MES / WMS 等企业级管理系统的开发或实施经验，理解制造业/供应链业务流程；有生产电子看板、数据大屏或移动端BI展示项目经验者优先，熟悉看板数据源对接与展示逻辑。
3. 前端开发技能：
* 精通 HTML5 / CSS3，熟悉响应式布局、Flex/Grid布局及移动端适配方案（如 rem、vw/vh），具备跨端UI还原能力。
*熟练掌握 JavaScript（ES6+） 原生语法、DOM操作、事件机制及异步编程（Promise/async），熟悉 jQuery 等常用库。
*必须具备基于 Vue.js（2.x/3.x）的 UniApp 实际项目开发经验，熟悉UniApp生命周期、组件化开发、组件通信（props/emit/vuex/pinia）、条件编译及多端兼容处理（iOS/Android/小程序/H5）。
*熟练使用 HBuilderX 或 Vue CLI 进行项目构建、调试、多端打包发布，了解 nvue 与 vue 混合开发、原生插件集成及前端性能调优（首屏加载、分包、图片压缩等）。
 * 能熟练编写 VBScript 脚本（用于维护ASP老系统）。
*具备移动端数据可视化开发经验，熟悉 ECharts、Chart.js 或 UniApp 生态下的图表组件库，能够根据业务需求设计直观、高效的数据展示界面，并处理数据更新、动画过渡及触摸交互。
4. 数据库能力：精通 SQL Server（2012+），熟练编写复杂存储过程、视图、自定义函数，具备SQL性能分析及死锁处理能力，熟悉事务隔离级别及索引策略。
5. 接口开发：熟练掌握 Web API / WCF / WebService 开发，理解HTTP协议、JSON/XML数据格式，能实现接口鉴权（JWT/OAuth2.0）、日志记录及异常处理。
6. 工具与协作：熟练使用 Git/SVN 版本控制，熟悉 Postman/Swagger 接口调试，具备良好的文档编写和团队沟通能力。
7. 运维能力：具备生产环境问题排查与应急处理经验，熟悉 IIS 日志分析、Windows性能计数器、事件查看器等常用运维手段，能独立完成系统补丁更新、配置调整及数据备份恢复。【新增】 对数据展示类问题（如数据刷新失败、图表加载缓慢、渲染卡顿等）有快速定位和解决能力。

三、加分项：
· 有 UniApp 插件开发 或 原生SDK集成 经验。
· 熟悉 TypeScript、Vite 等现代前端工程化工具。
· 了解 .NET Core / .NET 5+ 跨平台开发。
· 熟悉消息队列（RabbitMQ）、缓存（Redis）等中间件应用，有数据实时推送（WebSocket）经验者优先。
· 具备基础运维自动化能力（批处理/PowerShell脚本）。
有工业制造领域电子看板、安灯系统或实时数据监控 项目实施经验，熟悉OPC、Modbus等工业数据采集协议者优先。
经验3-5年，薪资范围7K-12K",UniApp SQL Server SQL 高可用 C# HTML5 CSS3 JavaScript jQuery Vue Git SVN TypeScript Vite RabbitMQ Redis WebSocket Shell Modbus 需求分析 技术支持 故障排查 供应链 文档编写 日志分析 数据采集,https://jobs.51job.com/kunshan/173003337.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
系统开发工程师,苏州友汇五金工业,8千-1.2万,苏州,苏州,本科,1-5年,2026-06-15 10:20:29,job51,"【工作内容】
- 负责公司业务系统的开发、测试与维护，确保系统高效稳定运行；
- 使用Visual Studio 2017进行MVC架构开发，参与项目需求分析与技术方案设计；
- 基于SQL Server进行数据库设计与优化，支持SSRS报表开发与部署；
- 熟悉.NET语言开发Web系统，结合JQuery和CSS实现前端页面交互与美化；
- 与产品、测试及运维团队协作，持续优化系统功能与性能。
【任职要求】
- 计算机相关专业本科及以上学历，对软件开发有浓厚兴趣；
- 熟悉Visual Studio 2017环境下MVC开发，具备扎实的.NET开发经验；
- 熟悉SQL Server数据库，具备SSRS报表开发能力；
- 熟悉JQuery和CSS，能够独立完成前端页面开发与优化；
- 具备良好的逻辑思维能力和沟通协调能力，适应团队合作与快速学习。",SQL Server jQuery 需求分析 技术方案 Studio,https://jobs.51job.com/suzhou/166844483.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
MES系统开发工程师,昆山丘钛微电子科技,1.2-1.5万,昆山,苏州,本科,5-8年,2026-06-29 09:09:55,job51,"岗位职责：
1. 负责智能制造MES生产执行系统的核心研发、功能迭代、问题整改及日常运维工作，独立承接生产工单、物料管控、质量追溯、设备采集、车间看板等MES核心业务模块的开发落地。
2. 根据业务需求完成技术方案设计、代码开发、单元测试、前后端联调及版本发布，输出规范的技术文档、接口文档及开发手册，保障项目高质量交付。
3. 负责MES系统数据库设计、数据建模、SQL脚本编写，针对SQL Server/Oracle数据库进行查询优化、索引优化、数据冗余清理，保障系统数据稳定、高效、安全。
4. 参与MES系统整体架构迭代与优化，梳理系统技术痛点、性能瓶颈、架构短板，持续优化代码结构、业务逻辑与系统架构，提升系统并发能力、稳定性、可扩展性与可维护性。
5. 配合业务、实施团队进行需求调研、需求拆解、问题排查，对接ERP、WMS、PLC设备等上下游系统，完成接口开发与数据互通，实现工厂生产业务全流程闭环。
6. 运用AI Coding工具辅助日常开发，提升编码、调试、排错效率，沉淀标准化代码库与开发规范，助力团队研发效能提升。
任职要求：
1. 本科及以上学历，计算机、软件工程、自动化、智能制造等相关专业，3年及以上MES系统独立开发经验，熟悉制造业生产业务流程。
2. 精通C#/Java至少一种主流后端开发语言，熟练掌握Lambda表达式语法及实际业务场景运用，编码功底扎实。
3. 熟练掌握主流ORM框架（EF、MyBatis、Hibernate、Dapper等），熟悉框架底层原理与性能优化技巧，可高效完成数据层开发。
4. 熟悉前端开发技术，掌握HTML、CSS、JavaScript、Vue/React等常用前端技术，可独立完成简单页面开发、功能联调与交互优化。
5. 熟练使用SQL Server、Oracle任一主流关系型数据库，精通SQL查询编写、存储过程开发、数据库性能优化、数据事务处理。
6. 具备独立的需求拆解、方案设计、问题排查能力，熟悉前后端分离开发模式，了解智能制造、工厂数字化相关业务逻辑。
7. 工作严谨负责，具备良好的团队协作能力、沟通能力和抗压能力，可适配项目迭代节奏。",SQL SQL Server Oracle C# Java MyBatis Hibernate JavaScript Vue React 技术方案 技术文档 方案设计,https://jobs.51job.com/kunshan/172717226.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
软件开发工程师,苏州华旃航天电器,8千-1.5万,苏州·高新区,苏州,本科,3年及以上,2026-08-04 10:08:30,job51,"一、岗位职责
1、负责公司业务系统的前后端开发和维护工作；
2、参与系统的设计与架构的优化，提升系统的性能和稳定性；
3、能完成模块设计、开发、测试、上线、运维等工作；
4、与团队成员紧密合作，完成项目需求分析和技术实现；
5、完成领导交办的其他工作。
二、任职要求
1、精通Java开发，熟悉SpringBoot全家桶；
2、熟悉MySQL、Oracle、SqlServer、Hana等至少一种数据库，熟悉Redis，有数据库调优经验者优先；
3、熟悉前端开发，熟悉Vue；
4、熟悉SAP(或其他ERP系统）、MES等信息系统业务流程；
5、乐于探索前沿技术，对AI有应用经验者优先;
6、积极向上，团队意识强，具有制造业经验者优先。",Java Spring MySQL Oracle SQL Redis Vue 需求分析,https://jobs.51job.com/suzhou-gxq/172644705.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
软件开发工程师-生产自动化,元成科技（苏州）,8千-1.4万·13薪,苏州·苏州工业园区,苏州,本科,3-5年,2026-07-02 13:56:41,job51,"工作职责

1.负责封装段自动化设备EAP 系统的需求分析、设计、开发与迭代优化。其设备工序包括研磨、贴片、打线、注塑、镭射等关键工序。
2.负责封装设备管理系统（AMS）的功能开发、日常维护及问题排查。
3.负责设备端相关系统的功能开发、对接调试与运维支持。

任职资格

一、专业技能
 1.熟练掌握至少一种开发语言（C#/VB/Python 优先），具备良好的编码与调试能力。
 2.熟悉常见数据库（SQL Server/Oracle 等），能独立进行 SQL 编写、优化与数据处理。
 3.了解工业自动化系统通信协议，如 SECS-GEM、TCP/IP、Socket 等，具备设备对接经验优先。
 4.具备EAP / 自动化集成系统开发或对接经验，理解半导体封装工艺流程优先。
 5.有设备管理系统、设备日志（Log）处理、数据采集与监控相关项目经验优先。
 6.熟悉系统维护、问题排查、版本发布与日常运维流程，能快速定位并解决线上问题。
二、能力素质
 1.具备良好的需求理解、方案设计与文档编写能力。
 2.责任心强，工作细致，能承受生产环境问题应急响应压力。
 3.具备良好的沟通协调能力与团队协作意识，能与设备厂商、生产部门高效对接。
 4.学习能力强，愿意持续跟进工业自动化、设备联网、智能制造相关技术与业务。
三、其他
 1.能适应生产系统必要的现场支持与应急处理。
 2.有制造业 MES/EAP/ 自动化相关项目经验者优先录用",C# Python SQL Server Oracle SQL TCP/IP 需求分析 数据采集 方案设计 文档编写 应急响应,https://jobs.51job.com/suzhou-gyyq/172770042.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
MOM开发工程师（.NET）,宁波震裕科技,1.5-2万·13薪,苏州·虎丘区,苏州,本科,5年及以上,2026-07-13 11:29:21,job51,"工作职责:
1.负责公司MOM系统软件的日常维护包括改造及BUG修复;
2.根据需求以及开发计划完成软件开发详细设计,编码,单元测试等工作;提交高质量的代码;
3.完成工厂智能化设备如AVG、立库、码垛、机械手等和其他系统的集成开发;
4.与实施人员一同参与业务需求分析，输出智能工厂项目的技术可行性方案;
5.负责IOT物联网数字化平台系统和生产设备/边缘设备/能源设备等的数据对接采集和开发工作;
6.Ignition的系统部署运维、数据采集、处理和存储和数据分析，以及与公司内其他业务系统（MES、WMS等）的数据交互；
7.	其他领导交办的事项；

任职资格:
1.本科及以上学历，IT相关专业，具备3年以上制造业IT系统开发经验，汽车零部件制造业相关背景更佳；
2.了解中间表、Web Service、Web Api等接口技术的开发和应用；熟悉制造型企业常见业务系统（MES、WMS等），具备相关对接方案设计和落地经验；
3.精通SQL Server数据库，熟练掌握至少一种主流开发语言C#,Asp.Net MVC，NET CORE ，有SAP ABAP开发经验更佳；
4.熟悉工业协议、工控网络、工业软件、网络安全等技术领域，对工业领域常用的协议,如OPC UA，MQTT，Modbus，RS232/485, S7+，Socket，工业以太网等了解;
5.熟悉工业数据采集开发经验;熟悉工业软件环境，设备和控制层，如设备PLC(Siemens，Omron，三菱等);
6.具备良好代码规范，以及开发文档编写能力，有激情，对新技术新事物有自主学习的意愿，不断提高自我。",SQL Server C# MQTT Modbus 需求分析 数据采集 数据分析 方案设计 文档编写,https://jobs.51job.com/suzhou-hq/172884559.html?s=sou_sou_soulb&t=0_0&req=fb5db7eba23dc8de3f4499caa18016dd
