job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AIGC与工作流实习生｜ComfyUI/LoRA/Agent,黑龙江省东肆文化发展有限公司,80-150元/天,哈尔滨·道里·群力,哈尔滨,本科,经验不限,7月25日,zhilian_direct,岗位职责 1. 协助完成公司本地AI环境、模型及ComfyUI节点的安装、整理和维护； 2. 搭建和优化文生图、图生图、局部重绘、高清放大、批量生成等ComfyUI工作流； 3. 参与LoRA训练，包括素材筛选、图片整理、打标、训练、测试及版本优化； 4. 测试AI效果图转视频、镜头运动、画面一致性及视频生成工作流； 5. 参与公司AI Agent及自动化流程搭建，包括素材整理、任务分配、批量生成和结果归档； 6. 整理模型库、工作流库、提示词库及相关操作文档； 7. 根据实际设计和新媒体工作需要，对模型、参数及工作流程进行持续调试。 任职条件 1. 本科大三或大四在读，人工智能、软件工程、计算机科学与技术、数字媒体技术等相关专业优先；其他专业如有完整的ComfyUI部署、LoRA训练或Agent项目经验，也欢迎投递； 2. 独立部署或使用过ComfyUI，了解模型、节点、插件和基本工作流程； 3. 完整尝试过至少一次LoRA训练，了解素材准备、打标、训练和测试过程； 4. 具备基础的Python、命令行或GitHub项目使用能力； 5. 对AI图像、AI视频、本地模型及Agent工作流有持续兴趣； 6. 学习能力和执行力强，愿意主动测试、记录问题并解决问题； 7. 每周可到岗4个整日，或3个整日＋2个半日，可连续实习3个月以上。 加分项 1. 有ComfyUI工作流、LoRA训练样片、AI视频或相关作品； 2. 接触过Stable Diffusion、FLUX、ControlNet等模型或工具； 3. 使用过Dify、n8n或其他Agent、自动化工作流工具； 4. 有设计公司、建筑、室内设计、短视频或视觉内容相关AI项目经验； 5. 有本地模型部署、多显卡任务或Linux使用经验。 我们提供 1. 参与一家设计公司从0到1搭建AI工作系统的真实项目经验； 2. 接触ComfyUI、LoRA、AI视频、Agent和自动化工作流的完整实践过程； 3. 公司配有多台NVIDIA高显存GPU工作站，可用于模型部署、LoRA训练和工作流测试； 4. 提供大量真实婚礼堂、宴会厅及商业空间设计案例和原创素材； 5. 提供AI工具、模型、设计案例库及技术方向支持； 6. 实习结束后可正常开具实习证明； 7. 对项目有明确贡献者，可另外出具**《企业AI系统建设项目实践证明》或项目推荐信**，说明实际参与的ComfyUI、LoRA训练、Agent搭建及模型部署工作； 8. 表现优秀并有意长期发展者，毕业后可优先转为正式岗位； 9. 公司配有小型健身房，适合热爱健身和日常运动的同学。 投递备注 投递简历时，请尽量附上ComfyUI工作流、LoRA训练样片、AI图片、AI视频、技术笔记或其他相关案例，并注明每周可到岗时间。 工作地点 哈尔滨市-道里区-融江路与机场路交汇处B1栋底商S03-2 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器视觉,自然语言处理,生成式AI/AIGC,AI AGENT,COMFULUI部署,LORA训练与调试,大模型算法,深度学习,机器学习,Python,PyTorch,OpenCV,COMFULUI,Transformer,自编码机,扩散模型/DIT,多模态大模型,GPT",http://www.zhaopin.com/jobdetail/CC846951120J40865987607.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
人工智能ai训练师,宁夏梦花彦鸿传媒有限责任公司,200-400元/时,银川·贺兰县·习岗镇,银川,学历不限,经验不限,7月25日,zhilian_direct,职位描述 AIGC 人工智能 互联网电商 诚招热爱AI行业、对人工智能新鲜事物充满兴趣的小伙伴加入！无需全职坐班，时间自由灵活，居家即可办公。主打AI直播带货 AI短视频带货，轻松玩转当下热门AI电商赛道，一边学习前沿AI实用技术，一边赚取额外收入，适合喜欢探索AI工具、愿意接触新风口的朋友。 工作地点 银川市-贺兰县-虹桥北路21号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AIGC,http://www.zhaopin.com/jobdetail/CCL1525680850J40826274816.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AIGC生成师,四川彧希文化科技有限责任公司,6000-8000元,成都·锦江·三圣,成都,大专,经验不限,7月26日,zhilian_direct,职位描述 AIGC 广播/电视/影视 文化艺术/娱乐 工作职责 1. 基于脚本与分镜要求，使用Nano、Midjourney等AI工具批量生成人物镜头、场景画面及动作表情素材，通过反复“抽卡”筛选优质内容。 2. 对AI生成素材进行质量校验，精准识别并剔除五官畸形、透视错误、画面崩坏等问题素材，确保交付素材符合影视级标准。 3. 针对写实、短剧、国风等不同风格需求，撰写并持续优化Prompt关键词，实现人物颜值、服装、光影的风格统一。 4. 全程维护剧集角色的形象一致性，解决AI生成中人脸跑偏、变形等问题，保障同一角色的五官、脸型、风格稳定。 5. 对合格素材进行分类、命名与分层归档，输出规范素材包供剪辑、合成团队使用，支撑项目高效迭代。 6. 按照项目进度要求完成每日产能任务，批量产出空镜、人物特写、动作镜头等可用素材，保障项目交付节奏。 任职要求 1. 掌握Nano、Midjourney、即梦等主流AI绘图工具的操作逻辑，能独立完成素材生成。 2. 具备Prompt撰写与调优能力，可根据风格需求输出精准提示词，实现画面效果的稳定可控。 3. 拥有基础画面审美能力，能准确判断光影、构图、透视及人物比例的合理性。 4. 掌握视频超分、高清修复等基础后期技能，可对素材进行质量优化。 5. 具备快速识别画面问题的能力，能精准判断透视错误、色彩偏差、人物崩坏等问题，细致耐心，执行力强。 6. 能实现同角色画面的色调与风格统一，可根据剧情情绪匹配暖光、冷光、夜景等氛围。 7. 极度耐心细心，能接受批量重复性工作，具备量产型任务的执行能力。 8. 审美在线，喜欢追剧或研究影视画面者优先；可接受应届生，有AI绘图、短剧素材生产经验者优先。 工作地点 成都锦江区锦江文化创意产业中心-2期302 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AIGC,http://www.zhaopin.com/jobdetail/CCL1500042930J40877038810.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
NLP/CV/语音/深度学习/算法岗（接受应届+考研失败）,外企德科数字技术有限公司,1.8-3.5万·16薪,成都·郫都·合作街道,成都,本科,经验不限,7月26日,zhilian_direct,岗位职责描述: 1、根据业务场景，负责AIGC、多模态、预训练模型NLP、OCR、AIOPS等AI算法和模型研究和调优，支撑AI应用运行 2、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 3、按时保质完成上级安排工作 任职要求: 1、本科及以上学历，精通python等各种编程语言（语言不限制），具有python等各种编程语言使用经验，熟悉基本linux操作会使用常用的shell命令 2、熟悉机器学习常用算法，了解深度学习，有kaggle等比赛经验优先，具体NLP领域AI算法和模型调优经验。 3、善于总结工作过程中问题，具有强烈的责任心及团队协作能力，愿意挑战新的领域 加分项: 1、良好的英语读写能力，能读懂前沿论文。 2、根据业务场景，负责NLP、OCR、AIOPS等AI算法和模型研究和调优支撑AI应用运行 3、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 4、按时保质完成上级安排工作。 工作地点 郫都区华为成都研究所1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Java,Python,C++,C语言,主题模型,PyTorch",http://www.zhaopin.com/jobdetail/CCL1480117890J40832915605.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AIGC应用开发实习生,大宇宙信息创造(中国)有限公司,6000-8000元,深圳·南山·粤海,深圳,大专,经验不限,4月24日,zhilian_direct,岗位职责 1、协助团队开展AI 智能体、AIGC 业务应用场景预研、Demo 验证与快速落地，参与内部业务自动化、知识库问答、流程Agent等场景落地工作 2、基于Coze、Dify等低代码智能体平台，独立完成工作流编排、插件配置、多轮对话调试、智能体效果测试与优化迭代。。 3、参与 Prompt 工程优化、RAG 知识库构建、文档结构化处理、检索效果验证与问题复盘输出。 4、协助对接大模型接口，完成简单接口调试、数据整理、测试报告、使用文档沉淀等工作。 5、跟进 AIGC、AI Agent 新技术新工具动态，协助团队做技术调研、可行性验证与创新试点 任职要求 1、大专及以上学历，计算机、人工智能、大数据等相关专业。 2、对大模型、AI智能体开发有强烈兴趣，自身主动接触、使用过各类 AI 工具。 3、学习接受新事物速度快，逻辑清晰，动手能力强，具备主动学习和归纳总结的能力 4、了解基础 Python 或任意一门编程语言优先，并且基本掌握Cursor、Claude Code、Codex等各类国内外主流AI编程工具。 工作地点 深圳南山区海岸城(东座)海德三道海岸城大厦东座1002 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AIGC,http://www.zhaopin.com/jobdetail/CC000458560J40855491710.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AIGC制作师,石家庄千界文化传媒有限公司,3000-6000元,石家庄·裕华·太行,石家庄,学历不限,经验不限,7月25日,zhilian_direct,岗位职责 熟练使用各类 AIGC 绘图工具，根据文案、脚本、参考图精准出图、批量抽图，把控画面风格、构图、光影、画质，完成高清素材产出 对接需求方，理解创作方向，持续优化出图效率与画面效果，调整画面风格、比例、细节瑕疵。 整理分类 AIGC 素材库、模板、关键词词库，沉淀高效出图、剪辑工作流程。 二、任职要求 学历专业不限，有 AIGC 绘图、AI 生图、短视频剪辑实操经验，能独立完成抽图 + 剪辑全流程工作。 精通主流 AI 绘图工具（Stable Diffusion、Midjourney、即梦、可灵等），擅长关键词调试、模型选用、图生图、局部修图、批量出图。 熟练使用剪辑软件（剪映专业版、PR 等），掌握转场、调色、音效、字幕、节奏把控，能快速产出成片。 具备基础审美，懂构图、色彩、镜头语言，能准确还原指定风格（写实、国风、科幻、二次元、影视风等）。 工作细心有耐心，接受批量出图、改图需求，执行力强，能按时完成每日任务。 有短视频、自媒体、影视、广告、文创行业从业经验者优先。 三、加分项 会 AI 动图、数字人、AI 视频生成、画面渲染者优先。 擅长脚本理解、创意二次优化，能主动提出画面改进思路。 熟悉 8K / 高清画质输出、影视级光影与细节处理。 工作地点 石家庄裕华区创新大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,图像识别产品,http://www.zhaopin.com/jobdetail/CCL1522261420J40869462505.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AI应用开发工程师（应届校招）,玄尊(河北)医疗科技有限公司,5000-7000元,石家庄·裕华·长江,石家庄,本科,经验不限,7月23日,zhilian_direct,岗位职责： 1.参与 AIGC、大模型相关软件项目开发落地，负责功能编码、接口联调、自测与版本交付； 2.运用提示词工程、RAG 检索、智能代理等技术，搭建 AI 问答、内容生成、知识库类应用； 3.借助 AI 开发工具高效完成开发任务，沉淀通用组件与调用方案； 4.跟进前沿技术，完成技术 Demo 验证，配合团队优化项目流程； 任职要求： 1.2026 届本科及以上，计算机、软件工程、人工智能等相关专业，有图像、文本多模态生成项目开发经历，具备前后端全栈开发能力，参与过 AI 赛事、开源项目开发经验者优先； 2.熟练掌握 Python/Java 任一编程语言，吃透数据结构、网络、数据库等计算机基础； 3.了解大模型基础原理，熟悉 LangChain 等常用应用框架，具备 API 集成开发经验； 4.拥有完整 AI 生成类项目实战经验，可独立完成项目功能搭建； 5.掌握 Git、Linux 基础操作，具备规范编码与文档编写习惯； 6.学习能力强，具备良好逻辑思维与团队协作意识； 工作地点 石家庄裕华区启宏橡塑二层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java",http://www.zhaopin.com/jobdetail/CCL1482193950J40852290701.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
ai人工智能算法工程师（接受零基础）,赤峰凯御人力资源服务有限责任公司,1.2-2万,北京·朝阳,北京,大专,经验不限,6月29日,zhilian_direct,职位描述 机器学习 C++ Python 算法优化 数据建模 团队协作 岗位内容： 1. 设计和实现高效的算法，解决现有系统存在的问题。 2. 利用数学、统计学和机器学习等相关领域的知识，分析海量数据并进行建模。 3. 优化算法实现，并保证代码的可扩展性和可维护性。 4. 开发和维护算法服务，并与其他团队密切合作。 工作地点 北京朝阳区YAKINIKU LIKE!!(朝阳大悦城店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"机器学习,C++,Python,算法优化,数据建模,团队协作",http://www.zhaopin.com/jobdetail/CC820754900J40931776102.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AIGC抽卡师,杭州宥瑞网络科技有限公司,7000-12000元·13薪,杭州·拱墅·湖墅,杭州,大专,经验不限,7月25日,zhilian_direct,职位描述 AIGC 教育类抽卡内容设计 抽卡玩法策划 跨团队协作 工作职责： 1. 负责基于AIGC技术（如Stable Diffusion、Midjourney等）设计并生成教育类抽卡内容，包括角色形象、道具卡片等视觉元素。 2. 结合教育产品的学习目标，策划抽卡玩法与内容机制，增强用户的学习动力与互动体验。 3. 与产品、教研团队协作，将抽卡内容与课程知识点深度结合，确保内容的教育价值与趣味性统一。 4. 跟踪AIGC技术发展趋势，优化抽卡内容的生成效率与质量，持续提升用户体验。 任职要求： 1. 本科及以上学历，设计、数字媒体、计算机相关专业优先。 2. 熟练掌握至少1种主流AIGC生成工具（如Stable Diffusion、Midjourney、DALL·E等），具备独立产出高质量视觉内容的能力。 3. 对教育产品有一定理解，能将抽卡玩法与学习场景有效结合，具备用户思维。 4. 具备良好的审美能力与创意策划能力，能快速响应需求并输出符合要求的内容。 5. 有游戏或教育类产品内容设计经验者优先。 工作地点 杭州市-拱墅区-长乐路97号103 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AIGC,教育类抽卡内容设计,抽卡玩法策划,跨团队协作",http://www.zhaopin.com/jobdetail/CCL1526160400J40832710016.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AI技术实习生（Agent开发方向）,深圳市禹娲传媒科技有限公司,150-300元/天,深圳·南山·南头,深圳,本科,经验不限,7月8日,zhilian_direct,岗位职责 1. 参与公司内部AI Agent体系的搭建与迭代，负责核心功能开发、模块设计及技术方案落地，保障Agent系统的稳定性与高效性。 2. 承担Agent相关代码的编写、调试、版本管理及维护工作，遵循公司代码规范，提升代码质量与可复用性。 3. 深度协同漫剧内容部，挖掘业务场景需求，定制开发符合内容生产、运营等环节的各类专属Agent，优化漫剧创作全流程效率。 4. 参与Agent技术调研与创新实践，探索大模型与Agent结合在漫剧行业的应用场景，输出技术可行性方案。 5. 配合团队完成Agent系统的测试、问题排查及性能优化，持续提升产品体验。 任职要求 1. 计算机相关专业（计算机科学、软件工程、人工智能等）在校本科生或研究生，具备扎实的编程基础（Python/C++优先）。 2. 拥有AI Agent相关开发经验，熟悉Agent架构设计、工具调用、任务拆解等核心环节，能独立完成简单Agent的搭建与调试。 3. 掌握代码管理工具（Git等）的使用，了解常见的开发流程与版本控制规范，具备良好的代码编写习惯。 4. 了解大语言模型（LLM）相关知识，熟悉至少一种主流大模型API（如GPT、文心一言等）的调用与二次开发。 5. 具备较强的跨部门协作意识，能快速理解漫剧内容部业务需求，将其转化为技术实现方案。 6. 学习能力强，对AI技术充满热情，具备解决复杂问题的逻辑思维与抗压能力。 7. 加分项：对动漫二次元文化，和网文感兴趣，漫剧、文娱行业相关技术实践经验；熟悉LangChain、AutoGPT等Agent开发框架；具备一定的前端开发能力（Vue/React）。 我们提供 1. 深度参与AI Agent核心项目的机会，接触漫剧行业前沿技术应用场景，积累高价值项目经验。 3. 灵活的工作氛围，跨部门协作资源充足，鼓励技术创新与大胆尝试。 4. 有竞争力的实习薪资、表现优秀者可获得转正机会。 5. 定期行业技术分享会、行业前沿讲座，助力个人技术视野拓展。 工作地点 深圳南山区智恒产业园30栋301 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AIGC,NLP,推荐",http://www.zhaopin.com/jobdetail/CCL1444182690J40749360206.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
人工智能应用开发工程师（实习）,南京蔚蓝智能科技有限公司,150-250元/天,南京·浦口·顶山,南京,本科,经验不限,7月25日,zhilian_direct,职位描述 大模型 AIGC 智能机器人 人工智能应用开发工程师（实习）（产品创新团队） 这个实习岗位负责AI应用功能的原型开发与落地验证，是蔚蓝将前沿AI能力引入产品的关键执行环节。你将在真实的产品系统中工作，把AI工具与模型能力转化为实际可用的应用功能，加速团队的技术探索与迭代节奏。 【核心责任】 - 负责AI应用功能的原型开发，将外部模型与工具能力转化为可演示的产品特性 - 调用并集成主流AI模型与工具，构建从需求到功能闭环的完整应用链路 - 参与AI应用的测试与评估，收集数据并分析模型表现 - 负责开发调试工具与验证脚本，支撑AI能力的快速迭代 - 主动追踪前沿AI工具与框架，将新技术引入原型验证 - 输出技术验证文档与原型演示，推动开发结论在团队内沉淀 【必须具备】 - 对人工智能与机器人领域有深度兴趣 - 主动将AI工具融入日常开发，已有具体实践案例 - 对快速把想法做成能跑的东西有积极热情 【优先拥有】 - 有Python开发基础，能够独立调用API并跑通完整的应用原型 - 用过至少一个主流LLM API，理解prompt设计与模型输出控制的基本逻辑 - 熟悉RAG、Agent或Function Calling等LLM应用开发模式 - 有机器人相关项目经验，接触过ROS、移动平台或机械臂 - 能够独立阅读英文技术文档与论文 工作地点 浦口区南京江北新区研创园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型,AIGC,智能机器人",http://www.zhaopin.com/jobdetail/CCL1271172070J41008278304.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AI应用管培生,禧天龙科技发展有限公司,4000-6000元,杭州·萧山·盈丰,杭州,本科,经验不限,7月25日,zhilian_direct,职位描述 AIGC 智能客服 大模型 人工智能 任职要求： 学历与专业： 2027届海内外优秀本科或硕士应届毕业生，计算机、数据科学、统计学、商业分析或理工科复合背景优先。 复合型潜力： 对人工智能技术（如大语言模型、机器学习等）有浓厚兴趣与基础认知，同时具备敏锐的商业嗅觉和出色的逻辑分析能力。 学习与抗压能力： 具备极强的好奇心与快速学习能力，能够在复杂多变的环境中迅速掌握新知识；拥有强烈的自驱力和抗压能力，乐于接受挑战。 沟通与协作： 具备优秀的结构化表达能力与同理心，能够清晰地向非技术人员阐述观点；具备良好的团队协作精神与领导力潜质。 加分项： 有AI相关实习经历、参与过商业分析/咨询类项目、或在国家级/行业级AI与商业竞赛中获奖者优先。 管培生专属培养体系： 双导师制： 配备资深业务专家与技术大牛作为专属导师，提供一对一辅导与职业规划。 实战轮岗： 在AI产品、解决方案、项目管理、商业化等核心岗位进行深度轮岗，全方位构建能力模型。 快速晋升通道： 表现优异者将在1-2年内晋升为AI落地师/项目经理，独立负责核心业务线 工作地点 杭州萧山区博地中心B座2601 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AIGC,智能客服,大模型",http://www.zhaopin.com/jobdetail/CC692266620J40876116810.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
Python开发实习生,四川国路安数据技术有限公司,80-150元/天,成都·郫都·犀浦,成都,本科,经验不限,8月25日,zhilian_direct,职位描述 可转正 C++ 计算机应用 计算机图形学 要求： 1、本科及以上学历，计算机应用、计算机图形学、计算机图像处理或相关领域专业，仅限在校生； 2、计算机视觉、模式识别、自然语言处理相关专业研究方向优先； 3、要具有扎实的数学基础、熟练的计算机编程能力； 4、有图像生成或多模态方向论文发表优先； 5、熟悉diffusion model开源生态，理解原理和使用案例； 工作内容： 1、对前沿AIGC算法进行调研、分析与测试； 2、结合业务需求，参与技术规划制定，优化和改进算法； 3、协助教授团队进行算法工程化落地。 工作地点 成都郫都区郫都区天府创意产业园1幢1-8 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,C++,http://www.zhaopin.com/jobdetail/CCL1258199680J40787351507.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AI产品经理,西安辛瑞灵曜人工智能有限公司,150-200元/天,西安·雁塔·丈八沟,西安,本科,经验不限,7月25日,zhilian_direct,岗位职责： 1.负责AI+行业融合产品的战略规划与需求分析，包括业务流程，智能分析，功能设计等核心环节，以及用户画像与体验优化。 2.推动AI产品的数据解释，及可视化等功能落地。 3.与公司现有部门紧密协作，明确AI智能分析，数据处理等核心功能需求与产品逻辑。 4.对接行业客户，收集转化需求并协助项目解决方案落地。 5.负责产品方案，PPT等文档撰写优化，确保产品阐释逻辑清晰，专业。 任职要求： 1.本科及以上学历，产品、计算机、管理、市场等相关专业优先。 2.熟悉需求分析，业务流程梳理，产品功能设计，用户体验优化等业务环节。 3.了解常用AI工具，逻辑严谨，执行力强，能在团队协作中有效沟通与推进项目进度，注重细节。 4.时间充裕，可长期实习或全职入职者优先。 薪资福利： 1.提供一段有意义的AI+行业产品实习经历，可按需出具优秀实习证明。 2.深度参与公司前沿AI技术与行业应用的融合创新。 3.团队年轻，高效，氛围轻松，能近距离接触AI技术应用+行业数字化的完整链路。 4.积累AI项目的实际经验，为后续职业发展打下扎实基础。 工作地点 陕西省西安市雁塔区锦业路10号国瑞金融中心6302 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型,NLP,AIGC,智能机器人,智能教育,心理",http://www.zhaopin.com/jobdetail/CCL1526115670J40910881103.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AIGC运营,大连小蟹科技有限公司,5000-8000元,大连·中山·青泥洼桥,大连,本科,经验不限,7月25日,zhilian_direct,职位描述 AIGC 1. 负责AI产品的需求分析、规划与设计； 2. 与技术团队合作完成产品开发并上线； 3. 持续优化产品，提升用户体验； 4. 分析市场趋势，调整产品策略。 工作地点 大连中山区友好广场-停车场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AIGC,http://www.zhaopin.com/jobdetail/CCL1511386310J40826753010.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
AIGC培训师,火星人智能科技(昆明)有限责任公司,4000-8000元,昆明·呈贡·乌龙,昆明,大专,经验不限,7月23日,zhilian_direct,职位描述 自然语言处理 深度学习 Python Java PyTorch TensorFlow OpenCV 人工智能 # AIGC 培训师（在校大学生兼职） 我们是深耕智能体（Agent）领域的专业 AI 科技公司，专注大模型训练、智能体搭建优化、AIGC 全链路落地、人工智能数据迭代等核心业务。现面向昆明在校学生开放**AIGC 培训师兼职岗位**，零基础可入行，全程免费系统化岗前培训，无任何报名费、培训费、押金，一边深耕 AIGC 与智能体专业技能，一边赚取在岗补贴 + 高额课程提成，同步实现 AI 行业经验积累与兼职增收。 上岗前统一参与公司免费 AIGC 全流程系统培训，零收费、无套路、无隐性消费。AIGC 培训师是当下 AI 行业热门刚需岗位，也是零基础切入人工智能、智能体赛道的优质路径。培训包含全套实操教学、标准化授课流程、学员辅导方法、智能体实操案例教学，培训结束仅设置简易能力考核，考核通过即可直接上岗开展教学工作。兼职期间综合表现突出、授课能力优秀者，可直接转为全职 AIGC 培训讲师，享受正式员工完整薪资福利。 ## 工作内容 1. 面向零基础学员开展 AIGC 线下实操教学，授课内容涵盖提示词工程、文生图 / 文生视频工具使用、多智能体搭建、大模型基础训练、AI 数据标注规范等全套 AI 实训课程； 2. 课堂全程实操带教，一对一辅导学员操作各类主流 AIGC 工具、智能体交互调试，及时解决学员实操疑问，把控课堂学习进度； 3. 辅助技术团队完成 AIGC 实训课件迭代更新，整理授课案例、优化教学流程，更新智能体实操训练题库； 4. 课后跟进学员学习效果，组织实操复盘、随堂考核，收集学员学习反馈并汇总优化教学方案； 5. 配合完成学员试听接待、课程内容讲解，清晰介绍 AIGC、智能体全套实训课程体系，做好学员转化对接； 6. 参与内部讲师能力复盘、授课技巧培训、新 AI 工具实训分享，配合团队完成每期 AI 实训班落地运营； 7. 协助整理 AIGC 实训素材、学员作业归档、课堂数据记录等配套教学文职工作。 ## 岗位要求 1. 昆明在校大学生，专业不限，无 AI、无授课、无编程零基础均可参加岗前培训； 2. 表达流畅，善于沟通分享，有耐心、责任心强，面对零基础学员具备良好引导能力； 3. 学习接受能力强，愿意深耕 AIGC、大模型、智能体相关知识，能快速吃透实训课程内容并转化为通俗授课语言； 4. 做事细致严谨，遵守公司教学规范，可配合课程排班，按时到岗开展教学； 5. 出勤时间灵活，短期体验兼职、长期稳定授课均可，优先能长期稳定出勤授课的同学。 ## 加分项 1. 日常高频使用豆包、ChatGPT、Kimi、Midjourney 等 AIGC 工具，接触过智能体搭建、提示词优化； 2. 有家教、社团宣讲、课堂分享、助教、文案校对、活动宣讲等表达类相关经验； 3. 掌握基础 Python、简单模型调试、独立搭建过专属智能体、有 AI 项目实操经历； 4. 擅长总结梳理知识、逻辑清晰，具备良好团队协作与学员沟通能力。 ## 薪资待遇 1. 基础在岗补贴：100 元 / 天，公司免费提供工作餐，无日常额外开销； 2. 高额课程提成（上不封顶）：负责学员试听与课程讲解转化，3980 元实训课程单提成 400 元，29800 元高阶智能体系统课单提成 2000 元，多劳多得，无提成上限； 3. 清晰晋升通道：兼职讲师授课口碑、转化数据优异，可直接转正全职 AIGC 培训讲师，享受固定月薪、月度绩效、节日福利、完整员工保障； 4. 免费技能赋能：系统学习 AIGC 授课逻辑、大模型实操、智能体搭建、数据训练全套行业刚需技能，积累稀缺 AI 讲师实战履历，丰富个人简历。 ## 其他说明 1. 工作地点：呈贡区龙韵时代 B 座甲级写字楼，办公教学环境整洁舒适，年轻化 AI 团队，工作氛围轻松； 2. 招募名额：本期限招 30 人，先到先得，招满即刻截止； 3. 岗位核心优势：零基础入门 AIGC 热门赛道，一边赚取兼职收入，一边掌握可长期发展的讲师专业技能，沉淀 AI 教学实战经验，打造差异化求职竞争力。 工作地点 云南省昆明市呈贡区乌龙街道彩云南路B栋2003 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"自然语言处理,深度学习,Python,Java,PyTorch,TensorFlow,OpenCV",http://www.zhaopin.com/jobdetail/CCL1525532820J40919536112.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
ComfyUI AIGC工作流研发实习生（精简招聘版）,辽宁北斗云数字科技有限公司,2000-3000元,沈阳·和平·马路湾,沈阳,本科,经验不限,7月8日,zhilian_direct,岗位职责：拆解ComfyUI底层节点与推理逻辑，针对公司业务重构、优化工作流，解决推理卡顿、崩图、显存异常等问题；适配调试各类插件，辅助模型微调迭代，沉淀标准化工作流与技术文档。 任职要求：熟悉ComfyUI及SD/FLUX生成原理，懂节点底层逻辑；具备基础Python读码、排错能力；有工作流优化、自定义节点开发经验者优先。拒绝只会拖拽出图的美工型求职者。 工作地点 沈阳和平区辽宁广播电视台(光荣街) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MySQL,PostgreSQL,LORA/IP-ADAPTER,PYTHONE",http://www.zhaopin.com/jobdetail/CCL1315196900J40919219112.htm?refcode=4019&srccode=401901&preactionid=5c7af12e-f223-408e-981a-c09188194183
