job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
iOS 开发工程师,重庆翎昀智建筑工程有限公司,1.2-1.4万·13薪,重庆·渝中·解放碑,重庆,本科,3-5年,7月26日,zhilian_direct,职位描述 应用开发 性能调优 多线程 UIKit Foundation Objective-C Swift IOS客户端核心模块开发 跨团队协作 技术方案设计 云计算 工作职责 1. 负责iOS客户端的核心功能模块开发、优化与维护，保障应用的稳定性与流畅性。 2. 参与需求分析与技术方案设计，解决复杂业务场景下的技术难点。 3. 持续优化应用性能，包括启动速度、内存占用及电池续航等关键指标。 4. 与产品、设计团队紧密协作，确保功能实现与用户体验的一致性。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上iOS开发经验。 2. 精通Objective-C/Swift编程语言，深入理解iOS SDK及UIKit、Foundation等核心框架。 3. 具备多线程、网络编程、数据存储等底层技术的实践经验。 4. 熟悉iOS应用性能优化、内存泄漏检测及调试工具的使用。 5. 具备良好的代码规范与团队协作能力，能独立完成模块开发与技术文档编写。 工作地点 渝中区重庆环球金融中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,性能调优,多线程,UIKit,Foundation,Objective-C,Swift,IOS客户端核心模块开发,跨团队协作,技术方案设计",http://www.zhaopin.com/jobdetail/CCL1515542730J40791349706.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
广州ios开发（线上面试加班少）,深圳市法本信息技术股份有限公司,1.2-1.5万,广州·天河·天河南,广州,大专,5-10年,7月26日,zhilian_direct,职位描述 性能调优 应用开发 MVVM MVC SwiftUI Swift Objective-C 银行 金融科技/数字金融 同步招Java（微服务、性能调优）、安卓（Kotlin）、前端（熟悉react、angular）及测试（Java编辑测试脚本） 广州西安皆有岗位 英语没有要求 1、根据业务需求，进行iOS应用程序的设计、开发和维护； 2、参与产品需求评审和技术方案讨论设计； 3、编写高质量、可维护的代码，确保应用性能和用户体验； 4、对现有代码进行优化和重构，提高代码质量和开发效率； 5、及时解决项目中遇到的问题，确保项目按时交付； 6、编写相关技术文档，参与代码评审和团队技术交流。 岗位要求： 1、大专及以上学历，计算机相关专业优先； 2、至少三年iOS开发经验，有银行项目优先，熟悉Swift 4、具备良好的代码习惯，熟悉常用设计模式和架构； 5、良好的团队合作、沟通能力和适应能力。 西安同步有此岗位，两边任选 工作地点 广州天河区丰兴广场写字楼-A幢1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"性能调优,应用开发,MVVM,MVC,SwiftUI,Swift,Objective-C",http://www.zhaopin.com/jobdetail/CC385622410J40791323506.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师,博彦科技承德有限公司,1.2-1.3万,西安·雁塔·漳浒寨,西安,大专,1-3年,7月23日,zhilian_direct,职位描述 多线程 简历关键词：IOS 加分项： 1、熟练掌握 OpenCV 图像处理技术，具备图像预处理、图像识别、画面渲染、图像特效处理等相关项目实战经验。 2、具备良好的技术沉淀习惯，拥有开源项目贡献、个人技术博客、项目复盘总结等相关经历。 3、掌握 C++ 基础知识，熟悉C++代码编写、逻辑调用及跨语言适配开发。 4、了解 Android、鸿蒙平台开发逻辑，具备多端协同开发、跨端业务适配经验者优先。 5、了解移动端模型部署与适配，能够独立完成端侧模型集成、调试与优化工作者优先。 工作内容： 1、负责公司iOS客户端产品的需求开发、功能迭代与版本维护，独立完成各业务模块从技术方案设计、编码开发、调试测试到上线落地、后续维护的全流程工作。 2、参与客户端整体架构优化、老旧代码重构与技术体系沉淀，梳理标准化开发规范，持续提升项目可维护性、扩展性，提升团队迭代开发效率。 3、负责iOS App性能优化与稳定性治理，针对性解决应用启动耗时过长、页面滑动卡顿、内存泄漏、异常闪退、机型系统兼容适配等线上问题，保障产品稳定、流畅的运行效果。 4、主动对接后端开发、产品、UI设计及测试团队，精准拆解并落地各项业务需求，严格还原交互设计细节，持续优化产品交互逻辑与整体用户体验。 岗位要求： 1、计算机、软件工程、电子信息等相关专业，2年以上iOS原生开发工作经验，具备完整的项目从开发到上线的实战经验。 2、熟练掌握 Swift、Objective-C 双语言开发，精通 UIKit、SwiftUI、AutoLayout 等核心开发技术，深入理解iOS系统运行机制、内存管理、消息传递机制等底层原理。 3、具备扎实的SDK开发经验，熟练掌握iOS端静态库、动态库的创建、编译、封装与集成流程，熟悉库文件适配、版本兼容、依赖冲突解决等核心技术，能够独立完成通用业务SDK、工具类SDK的开发与迭代优化。 4、熟练使用 Xcode、Instruments 等主流开发与性能调试工具，擅长性能调优、异常日志分析、线上问题排查，可独立解决各类App线上稳定性、性能类问题。 5、熟悉移动端网络开发，精通 HTTP/HTTPS 协议、长连接通信、多场景数据同步、网络异常重试、弱网/断网适配等核心网络逻辑。 6、熟悉各类主流iOS开源组件，具备组件化、模块化开发思维，有实际项目重构、业务解耦、架构升级经验。 7、代码风格规范、逻辑清晰，具备良好的技术复盘、问题迭代优化能力，沟通协作顺畅，能高效推进业务落地。 ----------------------------------------------------------------------------------------- PS：编码010 【 TPG-应用模型平台部-010(J12438) 】 编码011【TPG-应用模型平台部-011(J12439)】 外派互联网大厂，时间10-7双休，薪资上限12300，学信网可查专科学历，2年以上工作经验，互联网大厂经验优先。 工作地点 雁塔区西安环普国际科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,多线程,http://www.zhaopin.com/jobdetail/CC637366030J40791305906.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师(广州汇丰-年度奖金-足额社保),软通动力信息技术(集团)股份有限公司,1.8-2万·13薪,广州·天河·林和,广州,本科,5-10年,7月25日,zhilian_direct,职位描述 应用开发 性能调优 Objective-C Swift UIKit Core Data 金融APP开发 数据安全 跨团队协作 工作职责 1. 负责汇丰银行iOS端应用的需求分析、功能开发与性能优化，保障金融场景下的用户体验与数据安全。 2. 参与移动端技术方案设计，解决复杂业务逻辑中的技术难点，如支付流程、数据加密等核心模块开发。 3. 与产品、测试团队协作，推动需求落地与问题修复，确保项目按时高质量交付。 4. 关注iOS技术生态演进，引入前沿技术提升应用稳定性与开发效率。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上iOS原生开发经验。 2. 精通Objective-C/Swift语言，熟悉iOS SDK、UIKit、Core Data等核心框架，掌握内存管理与性能优化技巧。 3. 具备金融类App开发经验者优先，了解数据加密、安全认证等金融场景技术规范。 4. 熟悉Git版本控制，具备良好的代码规范与团队协作能力，能独立完成模块开发与调试。 补充说明 1. 薪酬福利：年度奖金、足额社保 2. 工作地点：广州（服务汇丰银行项目） 工作地点 广州天河区保利中汇广场-A座写字楼保利汇丰大厦A座23层【FIN-Bank】 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,性能调优,Objective-C,Swift,UIKit,Core Data,金融APP开发,数据安全,跨团队协作",http://www.zhaopin.com/jobdetail/CC000544460J40831575316.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
中级ios开发工程师,熠星辰新能源科技(杭州)有限公司,1-1.3万,深圳·南山·南头,深圳,大专,1-3年,7月26日,zhilian_direct,岗位职责：1.独立负责iOS APP业务模块开发、迭代与日常维护； 2.独立解决APP闪退、卡顿、机型适配、系统版本兼容问题； 3.独立完成第三方SDK集成、接口联调、功能开发； 4.优化APP运行性能、UI渲染、启动速度； 5.规范代码，沉淀通用控件与工具类。 任职要求：1.1-2年iOS原生开发经验，熟练Swift/OC开发； 2.熟练页面布局、控件封装、SDK集成、线上问题排查； 3.可独立承接模块开发与版本迭代； 4.具备良好的移动端开发与优化思维。 薪资福利：1、综合薪资10000-13000元 2、薪资结构为无责底薪+绩效+技术补贴+项目奖+年终分红；全员入职五险一金、享受带薪年假+法定节假日正常休假、节日福利、年度体检、月度团建； 3、支持专业学习报销、技能考证补贴，公司提供带薪岗前培训、资深工程师一对一带教； 4、团队扁平化管理、朝九晚六周末双休、极少加班，办公及研发设备配置齐全。 展开该职位详情,"SDK开发,Hybrid开发,Swift,人工智能",http://www.zhaopin.com/jobdetail/CCL1498746810J40874837310.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
iOS开发工程师,深圳市魔意科技有限公司,1.6-2万,深圳·宝安·新安,深圳,本科,1-3年,7月24日,zhilian_direct,岗位职责： 1、负责 iOS软件和组件的开发工作； 2、解决项目中遇到的技术问题和线上问题； 3、作为团队的副手，参与技术方案调研、引进、培训，推进技术交流和新技术应用，积极主动参与各个开发环节； 职位要求： 1、两年以上的 iOS开发经验； 2、具有较强的自我驱动力和良好的沟通协调能力，能够独立完成任务和处理问题，做事要主动； 3、计算机相关专业本科及以上学历，有其他技能的，或做过物联网、蓝牙、wift、智能家居等项目的可以放宽此要求； 4、熟练掌握Swift、OC； 工作地点 深圳宝安区稻兴环球科创中心B座1607 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"物联网,产业互联网平台",http://www.zhaopin.com/jobdetail/CC488822030J40597637706.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师,软通动力信息技术(集团)股份有限公司,1.6-1.8万,南京·建邺·沙洲,南京,大专,5-10年,7月23日,zhilian_direct,职位描述 应用开发 性能调优 多线程 UIKit Core animation Flutter React Native Objective-C Swift IOS客户端架构设计 企业级应用开发 工作职责 1. 负责iOS客户端的架构设计与核心模块开发，保障应用的稳定性、流畅性与安全性。 2. 深入理解业务需求，独立完成复杂功能的技术方案设计与代码实现。 3. 持续优化应用性能（如启动速度、内存占用），解决线上崩溃、卡顿等问题。 4. 与产品、UI/UX及后端团队紧密协作，推动项目高效交付。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上iOS开发经验。 2. 精通Objective-C/Swift编程语言，深入理解iOS SDK及UIKit、Core Animation等核心框架。 3. 熟悉iOS应用性能优化、内存管理及多线程编程，具备解决复杂技术问题的能力。 4. 有良好的代码规范与版本控制习惯，能独立完成单元测试与集成测试。 5. 具备跨平台开发经验（如Flutter、React Native）或企业级应用开发经验者优先。 工作地点 南京建邺区永初路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,性能调优,多线程,UIKit,Core animation,Flutter,React Native,Objective-C,Swift,IOS客户端架构设计,企业级应用开发",http://www.zhaopin.com/jobdetail/CC000544460J40823415616.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师,西安笃定信息技术有限公司,1-1.6万,西安·雁塔·丈八沟,西安,大专,3-5年,7月23日,zhilian_direct,"职位描述 Objective-C Swift MVP 1、3年以上iOS开发经验，具备电商领域相关经验。 2、掌握Objective-C和Swift语言。 3、熟练掌握iOS界面开发、网络、多线程、组件化等客户端开发技术,掌握MVP，MVVM架构。 4、熟悉主流开发框架和架构模式，熟悉主流第三方库且能够独立开发基础组件或业务模块。 5、具备独立分析和解决问题的能力，可以迅速抓住关键问题，并提出有效解决方案。 6、自我驱动力强，可以快速学习新的技术和业务。 工作地点 西安雁塔区SOHO·A座2412室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Objective-C,Swift,MVP",http://www.zhaopin.com/jobdetail/CC631548230J40916463012.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
西安ios开发工程师（线上面试五险一金）,深圳市法本信息技术股份有限公司,1.2-1.5万,西安·雁塔·漳浒寨,西安,本科,5-10年,7月23日,zhilian_direct,职位描述 MVC MVVM SwiftUI Swift Objective-C 银行 同步招Java（微服务、性能调优）、安卓（Kotlin）、前端（熟悉react、angular）及测试（Java编辑测试脚本） 广州西安皆有岗位 英语没有要求 1、根据业务需求，进行iOS应用程序的设计、开发和维护； 2、参与产品需求评审和技术方案讨论设计； 3、编写高质量、可维护的代码，确保应用性能和用户体验； 4、对现有代码进行优化和重构，提高代码质量和开发效率； 5、及时解决项目中遇到的问题，确保项目按时交付； 6、编写相关技术文档，参与代码评审和团队技术交流。 岗位要求： 1、大专及以上学历，计算机相关专业优先； 2、至少三年iOS开发经验，有银行项目优先，熟悉Swift 4、具备良好的代码习惯，熟悉常用设计模式和架构； 5、良好的团队合作、沟通能力和适应能力。 西安同步有此岗位，两边任选 工作地点 西安雁塔区新加坡腾飞科汇城1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MVC,MVVM,SwiftUI,Swift,Objective-C",http://www.zhaopin.com/jobdetail/CC385622410J40790834306.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师（西安汇丰-年度奖金-可居家两天）,软通动力信息技术(集团)股份有限公司,1.6-1.8万·13薪,西安·雁塔·漳浒寨,西安,本科,5-10年,7月23日,zhilian_direct,职位描述 应用开发 性能调优 Objective-C Swift 金融类应用开发 安全合规开发 跨团队协作 工作职责 1. 负责iOS客户端的需求分析、架构设计与核心模块开发，保障金融类应用的高性能与稳定性。 2. 参与汇丰项目的技术方案评审，优化现有代码结构，提升应用的可维护性与安全性。 3. 与产品、测试及后端团队协作，高效推进功能迭代与问题修复，确保项目交付质量。 4. 跟踪iOS技术前沿，引入合适的技术框架与工具，持续提升开发效率与用户体验。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上iOS原生开发经验。 2. 精通Objective-C/Swift语言，深入理解iOS SDK底层原理，熟悉内存管理与性能优化。 3. 具备金融类或大型企业级应用开发经验者优先，有安全合规开发意识。 4. 熟悉Git版本控制，具备良好的代码规范与文档编写习惯。 5. 具备较强的问题分析能力与跨团队沟通协作能力，能独立解决复杂技术问题。 补充说明 1. 薪酬福利：享有年度奖金 2. 排班信息：可居家办公两天 3. 项目背景：服务于西安汇丰项目 工作地点 雁塔区西安环普国际科技园-G2座汇丰银行 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,性能调优,Objective-C,Swift,金融类应用开发,安全合规开发,跨团队协作",http://www.zhaopin.com/jobdetail/CC000544460J40831576116.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
Java/后端开发工程师 或 Android/iOS开发工程师 或 Java+Vue,扬州艾唯科技信息有限公司,1-2万·13薪,扬州·广陵区·湾头镇,扬州,本科,3-5年,7月25日,zhilian_direct,职位描述 MySQL JavaScript Java PHP GoLang 后端开发 前端开发 架构开发 产业互联网平台 负责公司社交/直播类APP的服务端架构设计、核心功能开发与维护。 实现用户系统、IM即时通讯（私聊）、直播间连麦互动、礼物打赏、充值支付、会员体系等核心模块。 与产品、运营配合，完成红娘直播间的麦位管理、礼物特效推送、实时数据统计等功能开发。 优化系统性能，解决高并发场景下的消息推送、礼物风暴等稳定性问题。 负责接口安全设计，防止恶意行为、恶意攻击、数据爬取等安全风险。 配合运维完成服务部署、监控告警、故障排查 奖金绩效 核心员工，税前分红 工作地点 扬州市-广陵区-湾头镇信息大道1号西北方向110米812室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MySQL,JavaScript,Java,PHP,GoLang,后端开发,前端开发,架构开发",http://www.zhaopin.com/jobdetail/CCL1526038230J40786582906.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
中级iOS开发工程师,美泽众成(成都)科技有限公司,1-1.3万,深圳·南山·粤海,深圳,大专,1-3年,7月24日,zhilian_direct,岗位职责： 独立负责 iOS 端 APP 业务模块开发、版本迭代与线上日常维护工作； 自主排查解决闪退、卡顿、机型适配、系统版本兼容等各类线上问题； 完成第三方 SDK 集成、前后端接口联调以及各类业务功能开发； 持续优化 APP 启动速度、UI 渲染效率，全方位提升应用运行性能； 统一团队代码规范，沉淀可复用通用 UI 控件与工具类库。 任职要求： 拥有 1-2 年 iOS 原生开发实战经验，熟练使用 Swift、OC 语言开发； 精通页面布局、自定义控件封装、第三方 SDK 集成、线上故障排查； 能够独立承接完整业务模块开发与全版本迭代工作； 具备成熟的移动端性能调优、架构优化思维。 福利待遇： 薪资区间：10000-13000 元； 薪资结构：无责底薪 + 绩效工资 + 技术补贴 + 项目奖金 + 年终分红；全员缴纳五险一金； 基础福利：享有带薪年假、法定节假日正常休假、节日福利、年度体检、月度团建； 成长保障：专业学习费用报销、技能考证补贴，带薪岗前培训，资深工程师一对一导师带教； 团队与作息：扁平化团队管理，朝九晚六、周末双休，极少加班，办公及研发配套设备齐全。 工作地点 深圳南山区科兴科学园c栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,其他,http://www.zhaopin.com/jobdetail/CCL1475111340J40866414907.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师,软通动力信息技术(集团)股份有限公司,1-2万,北京·通州·台湖,北京,大专,5-10年,7月23日,zhilian_direct,职位描述 Objective-C 1、大学专科及以上学历，计算机相关专业，3-5年iOS开发工作经验，有跨端研发经验优先； 2、精通 OC/Swift 编程语言，熟悉开发框架和常用第三方库； 3、熟悉常用的数据结构和算法、熟悉网络通信机制及常用数据传输协议； 4、熟悉iOS性能优化和内存优化技术，有较强的问题定位和解决能力； 5、有1个或多个完整iOS项目经验，并至少在一个完整的商业级项目当中承担核心设计与开发工作； 6、富有激情，抗压能力强，具有强烈的责任心与团队合作精神，良好的沟通能力；对新技术有浓厚兴趣，具备自主学习和快速学习能力，能够不断提升自己的技术水平。 工作地点 京东总部4号楼北京通州区京东总部4号楼北京京东总部4号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Objective-C,http://www.zhaopin.com/jobdetail/CC000544460J40779928016.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
iOS开发工程师,长沙市宸佐科技有限责任公司,8000-12000元,长沙·岳麓·麓谷,长沙,大专,1-3年,7月22日,zhilian_direct,"岗位职责】 1、负责公司IOS端APP产品的设计、开发和维护等； 2、负责公司IOS端APP的需求分析、架构设计、模块开发与测试验证等； 【岗位要求】 1、精通Objective-C编程语言； 2、具备独立开发原生应用的能力。 【岗位信息】 1、上班时间：9:00-12:00,13:30-18:30,周末双休； 2、上班地点：梅溪悦章写字楼2栋1706-1707室（宸佐科技） 工作地点 长沙岳麓区梅溪悦章2栋1707 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","应用开发,Objective-C",http://www.zhaopin.com/jobdetail/CCL1517623730J40823849007.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师（base地点成都/深圳！薪资可谈！）,钦原科技有限公司,1.1-2.2万,成都·双流·华阳,成都,本科,3-5年,7月22日,zhilian_direct,岗位职责： 1、负责相机架构设计、需求开发、体验优化 2、负责相册架构设计、需求开发、体验优化 3、负责图片、视频剪辑的架构设计、需求开发、体验优化 任职要求： 1、本科及以上学历，精通Swift或者Objective-C 2、3年以上iOS应用开发经验，熟悉系统控件、动画、多线程、网络协议、数据库、Metal、Core Image Kernerl等iOS技术 3、具备一定的自我驱动能力，责任心强，沟通能力强 4、具备良好的技术视野，追求卓越，对问题刨根问底，能追根溯源 5、具备音视频框架、音视频编解码、相机、相册、图片和视频剪辑相关工作经验者优先 工作地点 成都双流区时尚大厦A1号楼9楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Objective-C,Swift,视频直播,摄像头,物联网",http://www.zhaopin.com/jobdetail/CCL1304333660J40884452213.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师,软通动力信息技术(集团)股份有限公司,1.6-1.8万,北京·大兴,北京,大专,5-10年,7月25日,zhilian_direct,职位描述 应用开发 性能调优 多线程 UIKit Core animation Flutter React Native Objective-C Swift IOS客户端架构设计 企业级应用开发 工作职责 1. 负责iOS客户端的架构设计与核心模块开发，保障应用的稳定性、流畅性与安全性。 2. 深入理解业务需求，独立完成复杂功能的技术方案设计与代码实现。 3. 持续优化应用性能（如启动速度、内存占用），解决线上崩溃、卡顿等问题。 4. 与产品、UI/UX及后端团队紧密协作，推动项目高效交付。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上iOS开发经验。 2. 精通Objective-C/Swift编程语言，深入理解iOS SDK及UIKit、Core Animation等核心框架。 3. 熟悉iOS应用性能优化、内存管理及多线程编程，具备解决复杂技术问题的能力。 4. 有良好的代码规范与版本控制习惯，能独立完成单元测试与集成测试。 5. 具备跨平台开发经验（如Flutter、React Native）或企业级应用开发经验者优先。 工作地点 北京大兴区融兴街 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,性能调优,多线程,UIKit,Core animation,Flutter,React Native,Objective-C,Swift,IOS客户端架构设计,企业级应用开发",http://www.zhaopin.com/jobdetail/CC000544460J40823415716.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
iOS 开发工程师,郑州讯客建筑有限公司,1.2-1.4万·13薪,郑州·中原·汝河路,郑州,本科,3-5年,7月26日,zhilian_direct,职位描述 应用开发 性能调优 Objective-C Swift UIKit Core animation Flutter React Native 建筑类应用开发 建筑项目管理场景支撑 BIM/CAD工具了解 工作职责 1. 负责iOS端建筑类应用的需求分析、架构设计与核心功能开发，保障应用的稳定性与流畅性。 2. 参与跨平台技术方案选型，推动移动端与后端系统的数据交互与业务协同，支撑建筑项目管理场景。 3. 持续优化应用性能，解决内存泄漏、卡顿等问题，提升用户操作体验。 4. 参与技术文档编写与代码评审，推动团队开发规范落地。 任职要求 1. 本科及以上学历，计算机相关专业，3年以上iOS原生开发经验。 2. 精通Objective-C/Swift语言，熟悉UIKit、Core Animation等框架，掌握iOS内存管理机制。 3. 具备网络编程经验，熟悉HTTP/HTTPS协议及RESTful API交互，能独立完成数据请求与解析。 4. 了解建筑行业数字化工具（如BIM、CAD类应用）优先，有跨平台开发（Flutter/React Native）经验者加分。 5. 具备良好的问题分析能力与团队协作精神，能快速定位并解决技术难题。 工作地点 郑州中原区中企国弘商业 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,性能调优,Objective-C,Swift,UIKit,Core animation,Flutter,React Native,建筑类应用开发,建筑项目管理场景支撑,BIM/CAD工具了解",http://www.zhaopin.com/jobdetail/CCL1511978880J40876011410.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
高级ios开发工程师（可居家办公）,深圳市法本信息技术股份有限公司,1-1.7万,西安·雁塔·漳浒寨,西安,大专,5-10年,7月24日,zhilian_direct,职位描述 Swift Objective-C SwiftUI 1.5年以上IOS 开发经验 2.熟悉Swift 、swift ui 3.英语读写OK 口语可自我介绍简单沟通 外企办公环境，，每周可申请2-3天居家办公 工作地点 西安雁塔区新加坡腾飞科汇城-东楼14楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Swift,Objective-C,SwiftUI",http://www.zhaopin.com/jobdetail/CC385622410J40783022906.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
ios开发工程师（base地点成都/深圳！薪资可谈！）,钦原科技有限公司,1.1-2.2万,重庆·沙坪坝·香炉山,重庆,本科,3-5年,7月22日,zhilian_direct,岗位职责： 1、负责相机架构设计、需求开发、体验优化 2、负责相册架构设计、需求开发、体验优化 3、负责图片、视频剪辑的架构设计、需求开发、体验优化 任职要求： 1、本科及以上学历，精通Swift或者Objective-C 2、3年以上iOS应用开发经验，熟悉系统控件、动画、多线程、网络协议、数据库、Metal、Core Image Kernerl等iOS技术 3、具备一定的自我驱动能力，责任心强，沟通能力强 4、具备良好的技术视野，追求卓越，对问题刨根问底，能追根溯源 5、具备音视频框架、音视频编解码、相机、相册、图片和视频剪辑相关工作经验者优先 工作地点 沙坪坝区重庆科学城科技产业园·研发创新基地12-1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Objective-C,Swift,视频直播,摄像头,物联网",http://www.zhaopin.com/jobdetail/CCL1304333660J40884452113.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
iOS 开发工程师,西安鼎锐建筑工程有限公司,1.4-1.6万·13薪,西安·雁塔·杜城,西安,本科,3-5年,7月25日,zhilian_direct,职位描述 应用开发 数据结构 UIKit SwiftUI Objective-C Swift 建筑项目管理APP开发 性能优化与稳定性保障 跨团队协作 工程施工 云计算 工作职责： 1. 负责公司建筑项目管理类iOS应用的全生命周期开发，包括需求分析、架构设计、编码实现及上线维护。 2. 优化应用性能与用户体验，解决复杂场景下的兼容性、稳定性问题，保障项目现场数据采集与同步的流畅性。 3. 与产品、设计及建筑业务团队协作，将工程管理需求转化为可落地的技术方案，推动数字化工具在项目中的应用。 任职要求： 1. 本科及以上学历，计算机相关专业，具备扎实的编程基础与数据结构知识。 2. 3年以上iOS开发经验，精通Swift/Objective-C语言，熟悉UIKit、SwiftUI等主流框架及iOS系统底层原理。 3. 具备良好的跨平台协作能力，能与Android、后端团队高效对接，保障多端数据交互的一致性。 4. 有建筑/工程类App开发经验或对行业数字化转型有深入理解者优先。 工作地点 西安雁塔区南飞鸿·乐荟中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"应用开发,数据结构,UIKit,SwiftUI,Objective-C,Swift,建筑项目管理APP开发,性能优化与稳定性保障,跨团队协作",http://www.zhaopin.com/jobdetail/CCL1509798740J40790490506.htm?refcode=4019&srccode=401903&preactionid=16995e89-d9e5-49b2-9a20-1b4962c72984
