job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大数据工程师,重庆康洲大数据(集团)有限公司,9000-18000元,重庆·长生桥,重庆,大专,经验不限,7月26日,zhilian_direct,岗位职责： 1、参与大数据平台的规划和建设； 2、协助数据产品人员制定数据存储、处理规范； 3、负责平台相关数据处理逻辑的设计与实现 任职要求： 1、具备较丰富的spark（Structured Streaming）相关开发经验； 2、具备较丰富的Kafka、HDFS、Hbase、Hive、Elasticsearch及MySQL相关使用和开发经验； 3、能熟练使用Linux操作系统； 职位福利：周末双休、带薪年假、绩效奖金、交通补助、五险一金、餐补 工作地点 重庆市南岸区茶园新区玉马路8号科创园2F（药智网） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Spark,Kafka,Hive,Elasticsearch",http://www.zhaopin.com/jobdetail/CC373881913J00464192208.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
大数据工程师,山东麦港数据系统有限公司,8000-12000元,济南·历下·舜华路,济南,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1．负责公司大数据平台的架构设计与技术选型，参与数据库、计算引擎、存储方案等技术决策； 2．参与数据治理体系建设，推动元数据管理、数据质量管理、数据资产管理等能力的产品化落地； 3．负责数据治理相关技术方案的设计、实施与落地，优化数据标准，提升数据质量与可用性； 4．参与数据中台建设，负责数据采集、清洗、存储、计算、服务等全链路开发与优化； 5．负责数据仓库模型设计、ETL开发、数据指标体系构建，支撑业务分析与决策； 6．持续关注大数据领域前沿技术（如云原生、湖仓一体、AI+数据治理等），结合业务场景进行技术评估与创新应用； 7．主导或参与数据类产品的规划、方案设计与版本迭代落地，推动产品能力持续优化； 8．参与面向业务场景的数据模型、数据挖掘和处理算法的设计与开发。 任职要求： 1．统招本科及以上学历，大数据、计算机相关专业，3年以上大数据工作经验； 2．熟练掌握至少一门编程语言（Java/Python等），熟悉SQL，能独立完成数据处理、算法实现或脚本开发； 3．熟悉大数据技术体系，掌握Hadoop、Spark、Flink、Kafka等主流大数据组件的原理、适用场景及优缺点，能熟练进行部署、配置与优化； 4．熟悉数据湖/湖仓一体架构，熟练掌握Hive、Spark SQL等查询引擎； 5．熟悉MySQL、ClickHouse、Doris等数据库/数据仓库，了解其适用场景及优化方案； 6．熟悉数据治理理论框架（如DAMA-DMBOK），具备数据标准管理、元数据管理、数据质量管理、主数据管理等经验，有实际数据治理项目经验； 7．熟悉数据全生命周期流程，能规范推进各环节的落地与优化，了解数据安全与合规要求； 8．熟悉主流开源项目、云厂商大数据产品，具备云原生大数据架构设计与迁移经验； 9．了解BI分析工具（DataEase、FineBI等）及数据可视化技术，有数据服务API开发经验者优先； 10．具备跨部门沟通协调能力，能够有效组织并推进数据相关产品的落地； 11．持有大数据相关职业资格证书（如CDA、CDGA）者优先。 工作地点 山东省济南市历下区舜华路街道铭盛大厦10楼1001 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据仓库,大数据开发",http://www.zhaopin.com/jobdetail/CC672839220J40836274607.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据工程师（数据研究部）,北京大数据先进技术研究院,1.6-1.8万,北京·海淀,北京,硕士,1-3年,5月7日,zhilian_direct,岗位职责： 1.负责项目相关数据的多源智能采集与预处理； 2.负责数据整编、数据库设计与管理； 3.负责基于传统机器学习和基于深度学习实现数据分析算法，配合项目需求，设计开发自动化数据分析与可视化软件。 任职要求： 1.专业知识：计算机、数据分析相关专业硕士及以上学历，211/985/双一流优先。 2.工作经验：1年以上 3.工作技能： （1）熟悉Linux系统，熟练掌握Python语言，具有pandas，numpy等数据分析工具使用经验； （2）具备基于传统机器学习进行数据分析的能力； （3）熟悉Pytorch、Paddle等深度神经网络开发； （4）熟悉数据爬取技术； （5）具备前端或后端开发经验者优先。 4.身体健康，善于沟通，团队意识和责任感强。 工作地点 北京海淀区玉泉慧谷科技园6号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,数据采集,数据整编",http://www.zhaopin.com/jobdetail/CCL1295287630J40796152507.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
项目交付部，中级数据工程师,成都迪孚数据处理有限责任公司,6000-8000元,成都·金牛,成都,大专,3-5年,7月26日,zhilian_direct,岗位职责 1．负责公司数据治理项目交付工作，数据实施过程中数据需求分析、数据清洗、数据加工等工作。 3．负责数据治理过程中，数据主题目录编制、数据标准编制、数据处理流程设计等工作。 4．负责数据治理过程中，结构化数据采集、数据服务等数据处理过程的实施。 5．负责数据治理过程中，非结构化数据处理、提取等数据处理过程的实施； 6．领导交办的其他工作。 任职条件 1.具有 信息安全工程师 、 数据库系统工程师 、信息系统项目管理师 三项证书之一 1．专科及以上学历，计算机、软件工程等相关专业优先； 2．掌握数据库基础知识，熟练掌握DM、Mysql、Doris等常见数据库SQL开发与调优。 3、熟悉正则表达式、AI大模型提示词等相关技术，了解AI大模型相关技术； 4、熟悉Linux操作系统，熟悉常用命令； 5．具有1年以上大数据领域项目一线交付实施经验。 6、具有Java软件开发经验者优先。 对工作态度主动积极、认真负责、且具有一定的抗压能力，能接收外派和出差职位福利：五险一金 工作地点 成都金牛区西大国际 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据库开发",http://www.zhaopin.com/jobdetail/CC570713120J40785469209.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
消防工程师（数据中心运维方向）,安徽瑞合大数据科技有限公司,8000-12000元,合肥·巢湖·卧牛山,合肥,大专,3-5年,7月26日,zhilian_direct,职位描述 消防维修保养 消防设施操作员证书 1. 每年初制定机房本专业设备基础设施年度保养计划； 2. 实时更新数据中心基础设施配置表如设备履历表等； 3. 按照计划表时间提前 1 周通知本专业设备厂家进行设备保养； 4. 跟进本专业设备保养内容和效果，1 周内如实进行记录； 5. 按计划提前 1 周编写消防联动测试方案； 6. 按需编写并执行消防设备维护、维修、保养变更方案； 7. 受理故障报修工单并现场故障维修必要时联系厂家维修； 8. 机房基础设施的日常巡查包括：消防钢瓶、消防控制箱、极早期报警系统、消防中控室等； 9. 机房范围内的施工管理如配合办理动火证等； 10. 消防系统事件的新建、记录、跟踪； 11. 演练、带载测试、配电改造、重大变更等现场保障； 12. 参加团队例会、技术交流培训、技能考核； 13. 对运维工作提出建议和意见 14.编写SOP、MOP、EOP、SCP文件 招聘要求： 1.电气、暖通专业大专或以上学历。 2.3年以上数据中心基础设施运维管理经验、消防设施操作员证资质证书优先。 4.有KA客户运维经验者优先。 5.熟练使用CAD、天正、office等专业办公软件。 工作地点 巢湖市万达广场(合肥巢湖店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"消防维修保养,消防设施操作员证书",http://www.zhaopin.com/jobdetail/CCL1473975250J40866627907.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据中心弱电工程师,中金数据集团有限公司,1-1.5万,廊坊·广阳区·北旺镇,廊坊,大专,1-3年,7月26日,zhilian_direct,岗位职责: 负责门禁、视频、消防、BA系统、安保系统、考勤系统、消费系统、停车管理系统等弱电相关技术支持工作。 负责按要求完成弱电系统设备的巡检、记录、操作、维护保养，系统测试等日常工作。 负责弱电系统设备的故障处置工作，配合设备服务供应商进行维修保养，设备更换等服务。 参与专业相关供应商考察，配合开展工程材料、设备的招标工作。 负责突发事件的处置工作，迅速、合理、有效的处理事件，避免故障扩大化。 负责完成弱电系统的数据采集，运行分析、优化升级及管理工作。 负责建立相关弱电系统运行档案和备品备件档案，设备履历表更新等工作。 负责依照需求完成弱电系统改造方案以及各类优化建议，并负责实施。 组织并参与相关专业领域内有一定深度的专业巡检、保养维护检修、健康检查等技术工作。 负责园区防汛应急水泵，应急物资管理及楼栋抢险应急物资，安全器具管理。 负责对运维班组员工弱电系统的培训、考核等工作。 任职要求: 任职条件 计算机、无线通讯、自动化等相关专业大专及以上学历。 2年以上本专业工作经验，具有良好的弱电专业知识与管理体系基础知识。 掌握火灾自动报警、消防控制、智能化建筑系统、门禁一卡通系统、综合布线系统搭建及管理，掌握自动化控制等相关技能。 具有大型弱电系统的设计、施工、调试、维护相关经验，有项目管理经验优先。 熟悉主流弱电系统组成、设备运行维护特点等。 能够独立完成部门内部相关的体系文件编制、项目管理实施等工作，能够指导、培训他人工作。 能够适应现场工作的环境。 有金融、电信、数据中心行业工作经验者优先。 具有良好的协调、沟通、理解能力和团队协作精神。 熟练掌握office、AUTO CAD等办公软件。 专业知识扎实，责任心强，能适应临时性任务，能承受较大工作压力。 工作地点 廊坊广阳区广阳经济开发区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"弱电运维,BA系统,数据中心经验",http://www.zhaopin.com/jobdetail/CC132945230J40866346501.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据中心暖通工程师,北京中科合盈数据科技有限公司,1.2-1.7万·14薪,张家口·怀来县·东花园镇,张家口,大专,5-10年,7月26日,zhilian_direct,岗位职责 1、负责数据中心暖通相关系统运维管理； 2、负责暖通专业系统设备日常巡检、维护保养、故障处理等管理及技术支持； 3、作为专业主管，主导负责范围内运维工作开展及故障抢修工作； 4、落实值班、巡检、维护、维修、应急等相关工作，重大故障分析判断及跟进处理； 5、配合机房工程施工、改造、优化等工作； 6、数据中心隐患风险评估、方案制定及主导解决； 7、负责暖通（含BA）系统的优化和改进，确保系统安全、稳定、节能运行； 8、协助运维经理完善基础设施运维管理体系，制定运维工作计划； 9、负责数据中心暖通系统的能效优化工作，实现数据中心的PUE/WUE持续优化； 10、组织人员培训，并对培训结果进行考核，确保满足要求。 任职资格 1、专科及以上学历，空调相关专业，5年以上工作经验，2年以上运维暖通总工或数据中心运维暖通主管工程师经验 2、熟悉数据中心的暖通设备（制冷站、水系统、风系统等）和制冷系统的原理、故障处理等均有深刻理解，有空调作业操作证； 3、精通暖通专业的理论及设施运维管理相关知识，具备多年系统实施、运行、变更经验 4、熟悉专业系统设备原理及常见故障处理，有风险评估和故障处理的丰富经验； 5、熟练使用officeoffice办公软件，熟练使用CAD等画图工具。 工作地点 张家口怀来县合盈数据(怀来)科技产业园(建设中) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"高级暖通工程师职称,IDC,数据中心运维,数据中心暖通",http://www.zhaopin.com/jobdetail/CCL1285223320J40620634007.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据中心基础设施运维工程师（弱电、电气、暖通、消防）,安徽瑞合大数据科技有限公司,1-1.8万,合肥·巢湖·卧牛山,合肥,本科,3-5年,7月26日,zhilian_direct,职位描述 IDC/机房运维 1. 每年初制定机房本专业设备基础设施年度保养计划； 2. 实时更新数据中心基础设施配置表如设备履历表等； 3. 按照计划表时间提前1周通知本专业设备厂家进行设备保养； 4. 跟进本专业设备保养内容和效果，1周内如实进行记录； 5. 按计划提前1周编写对应专业联动测试方案； 6. 编写SOP、MOP、EOP、SCP文件； 7. 按需编写对应专业设备维护、维修、保养变更方案； 8 按维护计划执行各设备维护、保养、巡检等工作； 9. 受理故障报修工单并现场故障维修必要时联系厂家维修； 10. 定期组织团队成员进行技术培训和知识交流。 11 对运维工作提出建议和意见。 12. 指导基础设施对应专业运维工程师进行设备维护、检修和演练工作等。 13. 对对应专业运维团队工作质量负责、对机房对应专业基础设施所有事件负责、对对应专业团队成员积极性负责、对对应专业团队提交的各类文档负责。 任职要求 1.对应专业本科及以上学历，优秀可放宽至大专。 2.3年以上数据中心基础设施运维管理经验、数据中心运维管理工程师、对应专业相关资质证书。 3.有KA客户运维经验者优先。 4.熟练使用CAD、天正、office等专业办公软件。 工作地点 巢湖市万达广场(合肥巢湖店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,IDC/机房运维,http://www.zhaopin.com/jobdetail/CCL1473975250J40866629807.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
暖通工程师（数据中心）,中联云港数据科技股份有限公司,1.4-1.8万,大同·阳高县·大白登镇,大同,大专,5-10年,7月26日,zhilian_direct,岗位职责： 负责暖通设备异常、故障等问题分析，确认问题发生原因，避免产生重复故障； 负责暖通风险排查，输出风险处理方案，风险整改及闭环； 负责暖通变更方案技术编制，分析变更方案风险以及制定风险应对措施； 负责暖通专项课题推进及落实，更新并执行各类技术标准； 负责值班团队、工程师团队技术能力评估，并对值班团队、工程师团队人员能力进行考评； 负责暖通BA系统的优化和改进，负责暖通相关数据分析、故障预测以及事件分析； 有效支持区域内跨专业项目的落实，并与各专业、各部门保持良好沟通与协调； 负责暖通专业系统及设备厂验、接维、运维标准的制定与实施； 负责对已投产暖通系统及产品的自维及产品替代化研究，突破相关技术壁垒； 负责暖通专业故障的应急指挥、资源协调和技术支援； 负责数据中心较大及以上变更、改造等方案的指导与评审，并对技术合理性结果负责； 推动暖通专业运营工作的标准化、自动化，为智能化、少人化运维负责； 制定并推动数据中心节能降耗策略，落实公司碳中和目标； 任职要求： 大专及以上暖通相关专业，具有3年以上数据中心暖通运维工作经验； 具有较强的责任心与抗压能力，优秀的自学习能力和刨根问底的精神； 工作踏实、严谨，能深入一线，结果导向，良好的团队协作意识； 极强的风险意识和规则理念，熟练掌握TIA-942、GB/T 50174-2017等数据中心相关标准； 对间接蒸发冷却、磁悬浮、相变冷却技术、氟泵制冷、浸没、背板等技术有深入的理解； 具备良好写作能力，能根据公司管理要求、数据中心运维需求、客户需求，编制和制定各类暖通技术管理标准、执行标准、总结报告等材料; 具备良好沟通能力，能与公司内部/供应商/服务商/客户等相关方进行良好的协调和沟通; 优秀的闭环意识与执行力，能坚定推进并落实公司内技术标准更新，确保各数据中心暖通管理执行； 工作地点 大同阳高县中联绿色大数据产业基地 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据中心,暖通设计,暖通施工,浸没,相变冷却技术",http://www.zhaopin.com/jobdetail/CC208499030J40877418703.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
消防工程师（数据中心）（乌兰察布）,博大数据服务(深圳)有限公司,1-1.5万,乌兰察布·察哈尔右翼前旗·巴音塔拉镇,乌兰察布,大专,3-5年,7月26日,zhilian_direct,"岗位职责: 1、负责新建数据中心项目，消防系统施工管理、系统图纸审核、技术方案对接、施工进度、施工质量管理、验收测试工作； 2、具有大型数据中心或园区型数据中心消防系统管理经验和能力，包括数据中心内负责数据中心内喷淋系统系统、消火栓系统、气灭系统、火灾自动报警系统等设备和系统运行及风险识别、优化等日常工作； 3、管理数据中心内消防系统（精通消防专业的系统架构、设备参数、运行参数、控制逻辑、运行模式与操作）； 4、负责数据中心消防系统专业技术方案及流程进行审核、优化、落地等工作； 5、负责针对数据中心消防系统优化、改造施工等工作总体方案的审核、优化、监管等工作； 6、负责数据中心消防、建设工作技术文件。执行消防系统设备、设施的正常/紧急操作、维护保养和事故处理工作； 7、负责消防设备设施的正确使用的指导和培训； 8、负责消防系统相关文档的管理（SOP、MOP、EOP文档）及运维设备的管理和检验； 9、负责跟进数据中心应急操作工作落地，包括紧急故障响应、EOP执行、后续复盘等工作； 10、了解其他专业的基本原理、系统架构； 任职资格： 1. 教育程度：专科及以上学历； 2. 工作经验：同行业或相关行业工作经验-3年以上，基础设施技术经验-5年，重大事件处理经验-加分项 3. 专业知识：机电一体化、电气自动化等相关专业； 4. 技能要求：熟悉基础设施设备运行架构逻辑，掌握供配电/制冷等设备维修维护专业知识，对公司发展和流程改进能提供技术支持； 5. 基本素质要求：学习能力、亲和力、执行力强、忠诚度高、有团队精神，熟练使用办公软件、CAD制图软件； 6. 语言能力：逻辑清晰，可进行有效汇报，熟练掌握沟通技巧 7. 持证要求：消防从业上岗证书(中级),具备 工作地点 察哈尔右翼前旗博大数据乌兰察布智算基地 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","消防维修保养,消防安全,注册消防工程师资格证书,控制系统,监控系统,消防喷洒系统",http://www.zhaopin.com/jobdetail/CCL1491926000J40785404706.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据中心暖通设计工程师（Base芜湖）,安徽瑞合大数据科技有限公司,1.3-2.5万,芜湖·鸠江区·二坝镇,芜湖,本科,3-5年,7月26日,zhilian_direct,职位描述 暖通设计 数据中心 1. 针对项目性质和需求，充分理解、整合项目需求，制定设计方案； 2. 配合可研性报告、能评报告等专业报告的获取，提供技术支持。参与评审专家答疑、答辩等相关工作； 3. 负责收集设计需求资料，编写设计任务书，与设计单位进行交底； 4. 负责项目的设计管理(包括对设计院的评估;审核初设、施工图阶段图纸；设计方案汇报等工作)。进行项目设计复盘，后评估等工作； 5. 负责数据中心材料选型，输出材料技术规格书，参与材料技术评标工作等。 6. 工程实施阶段相关专业技术支持(施工图纸交底、答疑、设计变更； 7. 负责新系统、新材料、新解决方案的研究、汇报、落地、复盘等研发相关工作； 8. 维护和完善设计标准及图集、技术规格书等，定期开展专业知识培训； 9. 项目目标责任制：按时按质按量完成所负责的工作任务； 10. 编写SOP、MOP、EOP、SCP文件； 11. 为其它部门提供技术支持、上级交办的其它工作。 任职要求 1.注册、中级工程师优先； 2.暖通工程相关专业本科或以上学历； 3.3年以上暖通设计工作经验； 4.3年以上IDC项目设计经验者，有IDC行业发明专利及著作经验优先。 工作地点：芜湖鸠江区芜湖智算经济产业园2号楼6F（美的电器这栋） 工作地点 鸠江区芜湖智算经济产业园2号楼6F（美的电器这栋） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,暖通设计,http://www.zhaopin.com/jobdetail/CCL1473975250J40862021707.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
消防工程师（数据中心）,中联云港数据科技股份有限公司,1.4-1.8万,芜湖·鸠江区·二坝镇,芜湖,大专,5-10年,7月26日,zhilian_direct,岗位职责： 负责已建和在建数据中心消防设备及系统的建设、测试与维保并负责运营体系建设； 负责消防风险排查，制定数据中心输出风险处理方案，风险整改及闭环； 负责消防设备的告警整治，确保消防系统的告警准确； 负责组织数据中心消防设备的维修、检查、检测与保养； 负责值班团队、中控值机、工程师团队消防能力培训、消防演练与技能评估； 负责对已投产消防系统及产品缺陷的整改； 负责数据中心较大及以上变更、改造等方案的指导与评审，并对技术合理性结果负责； 任职要求： 大专及以上学历，具有一级注册消防工程证书及中级以上中控室值机证； 5年及以上消防主机厂家或消防工程师工作经验。 精通消防控制系统的开发和调试。 精通消防规范并对电气专业有较为深入的了解; 工作热情，责任心强，富于创新，工作踏实，吃苦耐劳，动手能力强。 具备现场较强独立判断及故障处理能力; 具有良好的团队协作精神; 工作主动，能够承受一定的工作压力 工作地点 鸠江区中国电信芜湖集群大数据中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"消防维修保养,注册消防工程师资格证书,灭火系统,排烟系统,消防喷洒系统,数据中心,IDC",http://www.zhaopin.com/jobdetail/CC208499030J40908140203.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据中心电气工程师,北京中科合盈数据科技有限公司,1-1.8万·14薪,张家口·怀来县·东花园镇,张家口,大专,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责数据中心电气相关系统运维管理； 2、负责电气专业系统设备日常巡检、理及技术支持； 3、作为专业主管，主导负责范围内运维工作开展及故障抢修工作； 4、落实值班、巡检、维护、维修、应急等相关工作，重大故障分析判断及跟进处理； 5、配合机房工程施工、改造、优化等工作； 6、数据中心隐患风险评估、方案制定及主导解决； 7、负责电气系统的优化和改进，确保系统安全、稳定、节能运行； 8、协助运维经理完善基础设施运维管理体系，制定运维工作计划； 9、组织人员培训，并对培训结果进行考核 ，确保满足要求。 任职要求： 1、专科及以上学历，至少3年以上工作经验； 2、熟悉数据中心供配电系统、UPS系统、柴油发电机系统等，有高低压电工操作证； 3、精通电气专业的理论及设施运维管理相关知识，具备多年系统实施 、运行、变更经验； 4、熟悉专业系统设备原理及常见故障处理，有风险评估和故障处理的丰富经验； 5、熟练使用officeoffice办公软件，熟练使用CAD等画图工具。 职位福利：五险一金、绩效奖金、加班补助、交通补助、餐补、通讯补助、带薪年假 工作地点 张家口怀来县合盈数据(怀来)科技产业园(建设中) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据中心,3P文档,高低压",http://www.zhaopin.com/jobdetail/CCL1285223320J40602284907.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据中心基础设施运维工程师（弱电、电气、暖通、消防）,安徽瑞合大数据科技有限公司,1-1.8万,芜湖·鸠江区·二坝镇,芜湖,本科,3-5年,7月26日,zhilian_direct,职位描述 IDC/机房运维 1. 每年初制定机房本专业设备基础设施年度保养计划； 2. 实时更新数据中心基础设施配置表如设备履历表等； 3. 按照计划表时间提前1周通知本专业设备厂家进行设备保养； 4. 跟进本专业设备保养内容和效果，1周内如实进行记录； 5. 按计划提前1周编写对应专业联动测试方案； 6. 编写SOP、MOP、EOP、SCP文件； 7. 按需编写对应专业设备维护、维修、保养变更方案； 8 按维护计划执行各设备维护、保养、巡检等工作； 9. 受理故障报修工单并现场故障维修必要时联系厂家维修； 10. 定期组织团队成员进行技术培训和知识交流。 11 对运维工作提出建议和意见。 12. 指导基础设施对应专业运维工程师进行设备维护、检修和演练工作等。 13. 对对应专业运维团队工作质量负责、对机房对应专业基础设施所有事件负责、对对应专业团队成员积极性负责、对对应专业团队提交的各类文档负责。 任职要求 1.对应专业本科及以上学历，优秀可放宽至大专。 2.3年以上数据中心基础设施运维管理经验、数据中心运维管理工程师、对应专业相关资质证书。 3.有KA客户运维经验者优先。 4.熟练使用CAD、天正、office等专业办公软件。 工作地点 鸠江区芜湖智算经济产业园2号楼6F（美的电器这栋） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,IDC/机房运维,http://www.zhaopin.com/jobdetail/CCL1473975250J40866624407.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
消防工程师（数据中心）,中联云港数据科技股份有限公司,1.4-1.8万,张家口·蔚县·宋家庄镇,张家口,大专,5-10年,7月26日,zhilian_direct,岗位职责： 负责已建和在建数据中心消防设备及系统的建设、测试与维保并负责运营体系建设； 负责消防风险排查，制定数据中心输出风险处理方案，风险整改及闭环； 负责消防设备的告警整治，确保消防系统的告警准确； 负责组织数据中心消防设备的维修、检查、检测与保养； 负责值班团队、中控值机、工程师团队消防能力培训、消防演练与技能评估； 负责对已投产消防系统及产品缺陷的整改； 负责数据中心较大及以上变更、改造等方案的指导与评审，并对技术合理性结果负责； 任职要求： 大专及以上学历，具有一级注册消防工程证书及中级以上中控室值机证； 5年及以上消防主机厂家或消防工程师工作经验。 精通消防控制系统的开发和调试。 精通消防规范并对电气专业有较为深入的了解; 工作热情，责任心强，富于创新，工作踏实，吃苦耐劳，动手能力强。 具备现场较强独立判断及故障处理能力; 具有良好的团队协作精神; 工作主动，能够承受一定的工作压力 工作地点 张家口蔚县明蔚京西云计算数据中心中电二公司项目部 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"消防维修保养,注册消防工程师资格证书,灭火系统,排烟系统,消防喷洒系统,数据中心,IDC",http://www.zhaopin.com/jobdetail/CC208499030J40906597503.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据开发工程师,山东舜德数据管理软件工程有限公司,8000-14000元,济南·历下·智远,济南,本科,5-10年,7月26日,zhilian_direct,职位描述 数据治理 ETL 数据建模 专业知识及技能要求： 1.精通数据建模与指标设计，具备扎实的SQL功底，熟练掌握复杂查询编写、SQL优化技巧 2.具备统计分析报表、自动化报告开发经验，熟悉报表工具（或自定义报表开发逻辑者优先。 3.熟悉ETL工具及数据仓库设计规范，了解数据分层架构。 4.具备大数据处理基础，了解批量数据处理、实时数据校验逻辑，能适配信创大数据集群服务。 5.了解银行金融数据特性，熟悉风控相关业务指标者优先。 6.具备较强的数据和业务结合能力。对金融业务和金融数据有一定的理解和认识，比如了解常见的金融产品、交易流程等。 7.具备较强的责任心与细节把控能力，能精准识别数据异常，高效推进问题解决，保障报表数据的可靠性 工作地点 济南市-历下区-新泺大街1166号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,ETL,数据建模",http://www.zhaopin.com/jobdetail/CC160803710J40868661903.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
消防工程师（数据中心运维方向）,安徽瑞合大数据科技有限公司,8000-12000元,芜湖·鸠江区·二坝镇,芜湖,大专,3-5年,7月26日,zhilian_direct,职位描述 消防维修保养 消防设施操作员证书 1. 每年初制定机房本专业设备基础设施年度保养计划； 2. 实时更新数据中心基础设施配置表如设备履历表等； 3. 按照计划表时间提前 1 周通知本专业设备厂家进行设备保养； 4. 跟进本专业设备保养内容和效果，1 周内如实进行记录； 5. 按计划提前 1 周编写消防联动测试方案； 6. 按需编写并执行消防设备维护、维修、保养变更方案； 7. 受理故障报修工单并现场故障维修必要时联系厂家维修； 8. 机房基础设施的日常巡查包括：消防钢瓶、消防控制箱、极早期报警系统、消防中控室等； 9. 机房范围内的施工管理如配合办理动火证等； 10. 消防系统事件的新建、记录、跟踪； 11. 演练、带载测试、配电改造、重大变更等现场保障； 12. 参加团队例会、技术交流培训、技能考核； 13. 对运维工作提出建议和意见 14.编写SOP、MOP、EOP、SCP文件 招聘要求： 1.电气、暖通专业大专或以上学历。 2.3年以上数据中心基础设施运维管理经验、消防设施操作员证资质证书优先。 4.有KA客户运维经验者优先。 5.熟练使用CAD、天正、office等专业办公软件。 工作地点 鸠江区芜湖智算经济产业园2号楼6F（美的电器这栋） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"消防维修保养,消防设施操作员证书",http://www.zhaopin.com/jobdetail/CCL1473975250J40864930807.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
数据治理工程师（汽车时序数据&供应链数据方向）,上海市新能源汽车公共数据采集与监测研究中心,1-1.5万,上海·嘉定·安亭,上海,本科,1-3年,7月26日,zhilian_direct,职位描述 数据治理 数据库开发 数据仓库 工作内容： 1、协助部门主管开展数据治理相关工作，从数据质量、资产和标准等领域提升公司数据治理能力。 2、重点负责数据质量工作，从制度、流程、技术等方面，联合大数据技术部门和数据接入部门，持续管控和提升汽车时序数据（GB/T 32960）和供应链数据等平台的数据质量。 3、开展数据分析，优化数据质量监测、预警和归因算法等质量模块，提升质量管理系统智能化水平。 任职要求： 1、本科及以上学历，2年以上工作经验或优秀应届生； 2、有丰富的数据分析经验，熟悉掌握SQL、Python； 3、热爱数据治理工作、工作严谨细致、良好的团队合作能力； 4、以下为加分项：有体系化数据管理经验、有汽车和供应链领域相关工作经验、有开源项目经验、有AI数据管理类项目实施经验。 工作地点 嘉定区上海国际汽车城大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据库开发,数据仓库",http://www.zhaopin.com/jobdetail/CC581406530J40875189814.htm?refcode=4019&srccode=401903&preactionid=2f94863f-caf3-43f0-9d8b-1587527a00d8
