job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
大数据开发/数据采集/数据挖掘工程师,福建合诚信息科技有限公司,1.3-1.8万,上海·浦东·金桥,上海,本科,3-5年,7月26日,zhilian_direct,职位描述 Java Python Scala Hive Spark Impala Shell SQL 证券 职位描述： 1、负责数据仓库系统的日常研发工作； 2、负责数据交换平台、数据调度平台日常研发工作； 3、定期梳理系统问题并整理优化需求，完成迭代和优化； 4、负责大数据平台日常开发相关工作。 技能要求： 1、统招本科（含）以上学历，计算机软件或相关专业优先，能力特别突出者学历适当放宽； 2、拥有证券行业数据仓库建设经验，熟悉数据模型设计，有2年及以上相关项目开发经验； 3、具备证券行业业务知识，熟悉证券交易柜台系统数据（顶点交易柜台优先） 4、熟练掌握sql语言，熟悉Greenplum、TDH等平台下的存储过程开发，熟悉sql调优等； 5、熟悉python、Java、Scala等至少一种开发语言； 6、熟悉linux环境和命令，熟悉shell开发等； 7、熟练掌握Hive、spark、impala等大数据组件的使用 8、具备较强的学习和总结能力，高度的责任感，工作严谨负责，认真细致，善于沟通，能够承 受较大压力。 工作地点 上海浦东新区光大证券(5G未来中心店) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,Python,Scala,Hive,Spark,Impala,Shell,SQL,证券",http://www.zhaopin.com/jobdetail/CC476920320J40936938808.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
高级 AI 工程师（效能工具 / 智能应用 / 数据挖掘方向）,广州海润信息技术有限公司,2-3.5万,广州·南沙·横沥,广州,本科,3-5年,7月26日,zhilian_direct,职位描述 Java 产业互联网平台 互联网电商 物联网 1、研发效能与 AI 工程化：设计并维护内部开发者工具链（自动化脚本、CI/CD 插件等），利用 AI Agent、代码补全和自动审查等手段提升研发效率；搭建模型训练/推理的效率工具（实验管理、超参调优、模型监控），推动 MLOps 落地。 2、智能客服与 NLP 系统：负责智能客服核心模块（FAQ、意图识别、多轮对话管理），结合大语言模型进行 Prompt 工程、RAG 及知识库构建，优化对话策略和关键指标。 3、业务数据挖掘与应用：对业务数据进行清洗、特征工程，构建数据宽表；开发用户分层、流失预警等预测与归因模型，建设数据管道与自动化报表，并基于 MySQL 和 ClickHouse 完成数据提取与处理。 4、技术沉淀与协作：编写技术文档，组织内部分享，与产品、运营、客服等团队紧密合作，将业务需求转化为可落地的技术方案。 任职要求 1、计算机、人工智能、数据科学、统计学等相关专业，本科及以上学历，3 年以上 AI / 数据相关工作经验。 2、编程功底扎实：精通 Python，熟悉至少一种其他后端语言（Go/Java/C++），熟练使用 Git、Linux 开发环境和 Docker。 3、深入理解 NLP 及大模型技术：掌握 Transformer、BERT、GPT 等预训练模型的原理，有实际微调、Prompt 设计及 RAG 项目经验，熟练使用 LangChain、LlamaIndex、向量数据库等生态工具。 4、扎实的机器学习与数据挖掘基础：熟悉常用分类、回归、聚类算法及其适用场景，能熟练使用 SQL 进行多表复杂查询，精通 Pandas、NumPy 等数据分析库。 5、具备工程效能意识：理解 CI/CD 流程，有自动化脚本、内部工具或开源项目的开发经历，能熟练调用 ChatGPT、Claude 等 AI 服务辅助开发。 6、良好的数据敏感度和逻辑分析能力，善于从数据中发现问题并驱动优化，能够独立将开放的业务问题量化并执行。 7、出色的沟通与文档能力，具备团队协作精神和跨团队推动能力。 加分项 1、有从 0 到 1 构建智能客服、对话机器人或大规模 FAQ 系统的经历，熟悉语音交互或多模态交互。 2、具备电商、金融、SaaS 等领域的大规模用户行为数据挖掘经验，熟悉因果推断、推荐系统、时间序列分析或图神经网络。 3、了解模型部署工具（如 FastAPI、Triton、ONNX）及服务监控，有 MLOps 全流程搭建经验。 4、能使用 Tableau / PowerBI 等工具搭建业务数据看板，有良好的产品思维，善于用数据讲故事。 5、有小型技术团队管理或项目主导经验。 工作地点 广州南沙区越秀国际金融中心A塔 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Java,http://www.zhaopin.com/jobdetail/CCL1395464980J40949725608.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘工程师（诊断部）,唐智科技湖南发展有限公司,8000-15000元·15薪,长沙·雨花·同升,长沙,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、从事机械设备故障数据分析及数据挖掘，按要求及时汇报诊断分析进展、输出诊断分析报告； 2、负责对诊断分析的结果进行跟踪，及时反馈跟踪结果； 3、协助进行诊断方法论、算法的验证工作。 任职要求： 1、本科及以上学历，机械工程、机械电子、自动化、通信工程、应用数学、信号与信息处理、计算机科学与技术、交通信息工程等相关专业； 2、具备信号分析和处理相关背景知识； 3、具有较强的沟通能力、抗压能力和执行力，工作认真细致、责任心强，具有良好的学习能力，具有良好的文档编写能力； 4、有机械设备故障数据分析经验者优先。 薪酬福利： 1、五天8小时工作制（双休），依法享有带薪假（法定节假日、年休假、婚假、产假等）。 2、有工作经验者薪酬面议，所有员工每年具有一次调薪的机会。 3、社会保险：试用期购买五险一金（养老、医疗、失业、工伤、生育保险及住房公积金）+商业意外险。 4、培训学习：完善的培训体系（入职培训、岗位培训、专项培训等）、师徒结对及高校深造机会（博士及工程硕士培养）。 5、晋升通道：完善的晋升机制，技术、管理双向晋升通道，每年为员工提供晋升机会。 6、其他福利：提供免费宿舍及餐补、交通补贴、高温防寒补贴；传统节假日发放礼金；定期组织员工体检及员工活动。 工作地点 雨花区长沙市雨花经开区仙岭南路32号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"关联分析,分类算法,多元统计分析,信度分析,运营数据分析,风控数据分析,行业分析",http://www.zhaopin.com/jobdetail/CC408980130J40457629104.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘工程师,海南桦创咨询有限公司,6000-12000元,琼海·中原镇,琼海,本科,1-3年,7月26日,zhilian_direct,职位描述 Java 数据挖掘工程师 处理非结构化数据 •优化数据架构，提升 •挖掘用户行为模 •协助产品、运营、市数据处理的效率和稳式、推荐系统、风 场等部门进行数据驱 定性 险控制等场景应用 动的决策支持 • 与数据分析师、科学 • 将模型部署到生产 • 监控关键业务指标 家协作，提供高质量环境，实现业务落 （KPI），发现异常 的数据支持 地 并分析原因 • 确保数据安全和合规 • 跟踪模型效果，持 • 参与A/B测试设计与 性 续迭代优化 工作地点 琼海市产业招商中心琼海市会展产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Java,http://www.zhaopin.com/jobdetail/CCL1524570280J40866885310.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
云数据挖掘工程师,七腾机器人有限公司,1.2-2万,重庆·渝北,重庆,硕士,3-5年,7月26日,zhilian_direct,"岗位职责： ""1.负责防爆 L4 巡检车和机器人云端数据的采集对接（如激光雷达、相机、IMU 传感器数据，设备状态数据，粉尘 / 电磁等防爆环境数据），使用 SQL、Python（Pandas/Numpy）完成数据清洗 —— 处理噪声、缺失值、异常值（如过滤极端环境下的无效传感器数据），确保数据准确性与可用性；​ 2.负责业务导向的数据分析与建模​，针对巡检车和机器人核心业务场景开展专项分析​，运用数据分析方法输出结论，为产品和研发团队提供数据支撑；​ 3.分析报告输出与业务支撑​，定期输出数据分析报告，清晰呈现数据结论，并提出可落地的优化建议 4.响应研发、产品，运维团队的临时数据需求，快速输出分析结果并协助推动分析成果落地​ 5.熟练使用云端数据分析工具（如 Spark SQL、阿里云 MaxCmpute、Tableau/Pwer BI 可视化工具），完成数据查询、计算与可视化呈现；​"" 岗位要求： ""1.硕士及以上学历，数据科学、统计学、计算机科学与技术等相关专业2年以上工作经验；​ 2.有工业无人设备（巡检车 / 机器人）、车载数据或防爆场景数据分析经验者优先。​ 3.熟练使用 SQL（Hive/Spark SQL）进行复杂数据查询，精通 Python 数据处理库（Pandas/Numpy），能独立完成百万级数据的清洗与预处理；​ 4.了解主流云平台（阿里云 / 华为云）的数据产品（如时序数据库、数据查询工具），熟悉数据湖 / 数据仓库基本概念，能按规范操作云端数据；​ 5.有责任心与攻坚意识及产品思考，能主动思考产品业务及排查关键问题原因，确保输出有效结果，愿意了解行业前沿技术及优秀的团队协作能力"" 工作地点 重庆渝北区七腾机器人有限公司22楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","SQL,Python,MySQL,Spark",http://www.zhaopin.com/jobdetail/CC387441310J40820143801.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘算法工程师（诊断部）,唐智科技湖南发展有限公司,9000-16000元·15薪,长沙·雨花·同升,长沙,本科,经验不限,7月26日,zhilian_direct,岗位职责 1、负责数据挖掘、寿命预测、维护决策等故障预测与健康管理（PHM）技术算法研究与开发工作； 2、负责轨道交通、风电等行业的机械设备故障预测与健康管理（PHM）系统研究与开发工作； 3、负责智慧运维、智能风电等项目的设计开发工作； 4、负责机车、风电等各状态监测系统（含：走行部、车门、空调、制动、牵引等）多元数据融合技术研究与开发工作。 职位要求： 1、本科及以上学历，计算机、软件工程、通信工程、自动化、数学、统计等理工类专业； 2、至少掌握一种编程语言，具备良好的编程基础； 3、熟悉常用的数据挖掘算法，有大数据挖掘相关经验者优先； 4、优秀的分析解决问题的能力，具有较强的学习能力、沟通能力以及文档编写能力，具备良好的保密意识； 5、具有数据采集、状态监测或故障诊断等相关工作（项目）经验者优先。 薪酬福利： 1、五天8小时工作制（双休），依法享有带薪假（法定节假日、年休假、婚假、产假等）。 2、有工作经验者薪酬面议，所有员工每年具有一次调薪的机会。 3、社会保险：试用期购买五险一金（养老、医疗、失业、工伤、生育保险及住房公积金）+商业意外险。 4、培训学习：完善的培训体系（入职培训、岗位培训、专项培训等）、师徒结对及高校深造机会（博士及工程硕士培养）。 5、晋升通道：完善的晋升机制，技术、管理双向晋升通道，每年为员工提供晋升机会。 6、其他福利：提供免费宿舍及餐补、交通补贴、高温防寒补贴；传统节假日发放礼金；定期组织员工体检及员工活动。 工作地点 雨花区长沙市雨花经开区仙岭南路32号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"MySQL,MongoDB,Hadoop,预测分析,深度学习,回归算法,聚类算法,Python,SQL",http://www.zhaopin.com/jobdetail/CC408980130J40457622004.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘专家（博士）,思特奇,4-6万,北京·海淀,北京,博士,经验不限,7月26日,zhilian_direct,岗位职责： （一）核心方向：数据挖掘与分析 1.主导公司运营数据的挖掘与分析，结合公司战略转型需求（适配 AI 时代新质生产力与生产关系），识别经营数据、运营数据、生产数据中的价值挖掘空间，制定科学合理的数据分析方案与实施路线图，明确分析目标、阶段任务与交付成果，确保分析成果落地见效。 2.负责数据挖掘体系搭建与优化，包括数据采集与治理、数据建模与分析、数据可视化与报告，建立健全运营数据监测指标体系，定期输出数据分析报告并提出优化建议，推动数据驱动决策能力持续提升。 3.建立完善的数据分析沟通机制与反馈渠道，统筹数据挖掘过程中的资源调配、风险管控，监督分析成果落地效果，及时调整优化分析策略，确保数据挖掘与公司经营目标、业务发展深度适配。 4.结合行业趋势与通信领域特点，开展数据挖掘、机器学习、人工智能相关课题研究，将前沿理论与公司实际运营结合，形成可落地的研究成果，为公司战略决策提供专业支撑。 （二）经营管理板块 1.参与公司经营目标的制定、分解与下发，结合行业数据与公司实际，运用专业分析方法，为目标设定提供科学依据，推动各部门、各业务线达成经营目标。 2.协助推进经营目标达成运营工作，对接财务、审计部门，配合完成财务核算、审计相关工作，跟进业务签约、项目验收、收入确认、回款等全流程，保障公司经营指标稳步达成。 3.主导经营数据分析与复盘，运用数据挖掘技术挖掘经营过程中的问题与改进空间，提出针对性优化建议，助力提升公司经营效益与抗风险能力。 （三）运营管理板块 1.协助统筹产品线、分支机构的经营达成工作，参与项目生产运营管理，包括项目策划审核、资源调度优化、生产违规管控，确保项目高效推进、合规运营。 2.参与公司级运营策略的制定、传递与落地执行，推动策略与各业务环节深度融合，协调跨部门协同，解决运营过程中的重大复杂问题。 3.参与组织发展相关工作，包括人才梯队建设、组织氛围营造、管理模式优化，助力提升组织凝聚力与执行力，适配公司转型发展需求。 （四）过程改进板块 1.参与公司制度与规程的梳理、优化与落地监督，推动制度体系规范化、精细化，适配数据驱动与业务发展需求。 2.参与公司自研 ADevOps 生产系统的持续迭代运营，结合数据挖掘理念，提出系统优化建议，推动生产流程数据化、智能化，提升生产效能。 3.协助推进公司资质、软著等知识产权的申报、维护与管理工作，完善知识产权管理体系，为公司核心竞争力提供保障。 任职要求： 1、全**博士，统计学/计算机科学/数据科学/数学等 2、有数据挖掘、机器学习研究背景或企业数据分析项目经验 3、统计学、计算机科学、数据科学、数学、管理学、经济学等相关专业 工作地点 万科翠湖国际北京市海淀区忍冬路5号万科翠湖国际6号楼思特奇 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器学习,深度学习,数据挖掘",http://www.zhaopin.com/jobdetail/CC120747250J40863842011.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘岗,中国平安财产保险股份有限公司宁夏分公司,5000-6000元,银川·金凤区·上海西路街道,银川,本科,经验不限,7月26日,zhilian_direct,岗位职责】 1.负责自动化报表的搭建与维护，对重点客户进行筛选与清单提取 2.线上产品运营及工作落实 3.负责B端商户管理、相关活动的参与报名等 【任职要求】 1.本科及以上学历 2.计算机科学、数学、统计学等相关专业优先 3.具备较强的报表搭建及数据分析能力 工作地点 银川金凤区英力特大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Python,http://www.zhaopin.com/jobdetail/CC447226720J40823347910.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘工程师,海颐软件,8000-16000元,烟台·芝罘·世回尧,烟台,本科,经验不限,7月26日,zhilian_direct,"岗位职责： 1.利用数据挖掘、机器学习相关理论和算法，进行光伏风电发电预测、负荷预则、源网荷储协同调度、电力设备故障诊断和预测型维护; 2.根据业务场景，完成数据清洗、特征提取、数据建模(如时间序列预测)和算法调优; 3.研究机器学习算法在不同场景下的应用，承担公司部分业务算法开发; 4.负责大数据平台和外部数据的整合分析，根据场景设计算法建模文档，分析用户标签进行画像; 5.能够精准快速理解产品和项目技术方案，进行任务细分、工作量和时间预估，负责数据挖掘算法开发和实现验证; 6.从海量数据中提取关键信息，挖掘有效特征，应用数据挖掘，机器学习，自然语言处理等技术，针对海量信息建模，挖掘数据价值; 7.撰写设计开发文档，提供相关技术支持。 任职资格： 1.具备敏锐的数据嗅觉和建模分析能力，并持绩学习保持技术前瞻性; 2.具有统计建模能力、掌握照类、分类、回归等机器学习算法，理解常见的核心算法，有实际建模经验; 3.具备优秀的编程能力，熟恶Matlab语言和linux系统，精通C++，python，R，scala，java等编程语言的一种或多种; 4.能基于深度学习算法对工业设备建立健康模型，预测设备故障，基于聚类算法发掘故障原因; 5.有能力阅读最新学术论文，并能实现相关算法,较强的学习能力和创新思维，对算法开发有强烈兴趣; 6.具有较强的逻辑思维能力、沟通能力、抗压能力和执行力，具有良好的团队合作精神。 职位福利：五险一金、包吃、住房补贴、定期体检、节日福利 工作地点 烟台芝罘区东方电子集团有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Java,MATLAB,回归算法,分类算法,数据建模,聚类算法,Python,机器学习,深度学习",http://www.zhaopin.com/jobdetail/CC176732310J40409952712.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘师【江苏道泰信息技术有限公司】,苏州市姑苏区、苏州国家历史文化名城保护区人力资源和社会保障局,2-2.6万,苏州·姑苏·白洋湾,苏州,本科,经验不限,7月19日,zhilian_direct,岗位职责： 1. 负责推荐算法、点击率预估模型的开发、训练和维护，实现产品和用户的精准匹配 2. 基于海量用户基础数据和行为数据，建立、评估、维护各类标签体系和用户特征 3. 从业务中抽象问题，负责对数据的分析和解读以及定性定量分析，能够站在数据分析及业务运营角度，引导并帮助拆解并定位问题，明确需求，通过对数据分析需求的准确理解及把握，为业务提供数据决策和策略支持 任职要求： 1. 统招本硕院校及以上，统计学，计算机科学，数据科学等相关专业 2. 熟悉Python、Scala等一门以上编程语言和Hadoop、Hive、Spark等大数据相关技术 3. 坚实的数据挖掘和机器学习理论基础、掌握分类、聚类、回归等常规机器学习算法 4. 有DeepFM等CTR或CVR模型的开发和建模经验，熟练应用Tensorflow、Pytorch、Spark MLlib者优先 5. 善于沟通，工作细心，执行能力强，抗压能力强具有团队协作意识 工作地点 苏州姑苏区姑苏云谷3-1202 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"预测分析,分类算法,集成算法,关联分析",http://www.zhaopin.com/jobdetail/CCL1318355140J40801983303.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘分析师,中恒国际租赁有限公司,1.1-1.5万·13薪,北京·大兴·荣华街道,北京,本科,1-3年,7月26日,zhilian_direct,岗位职责： 负责客户、资产、行业等数据挖掘，搭建风控与资产模型，输出风险洞察； 监测核心风控与资产质量指标，建立数据预警与异常复盘机制； 独立撰写高质量专项分析报告，为经营决策与风险管控提供数据支撑； 沉淀数据分析方法论，探索AI智能体（Agent）在现有平台上的开发与应用。 任职要求 本科及以上，经济/金融/数学/计算机相关专业，2年以上数据挖掘/风控经验（金融背景优先）； 建模能力： 统计分析功底扎实，熟练使用Python/SAS等工具； 报告能力： 逻辑思维强，文字表达优秀，能独立输出高质量分析报告； AI能力： 具备AI应用意识及现有平台开发能力，有Agent智能体开发经验者优先。 奖金绩效 年度奖金、交通补贴、伙食补贴、节日津贴、生日慰问 工作地点 大兴区北京亦庄经济开发区景园北街2号 BDA国际企业大道53栋（地铁亦庄线荣昌东街向南） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"回归算法,预测分析,多元统计分析,决策树,SAS,Python",http://www.zhaopin.com/jobdetail/CC363050110J40866022610.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
python开发&数据挖掘,南京大秋信息科技有限公司,1.4-2.4万,南京·江宁·东山,南京,本科,3-5年,7月26日,zhilian_direct,职位描述 Python Django MySQL PostgreSQL 岗位要求： 1、熟练掌握python基础语法，能够使用pandas、numpy等解决各类数据处理需求； 2、具有较强的业务认知及数据敏感度，具备深层次数据挖掘的能力，能够编写逻辑清晰的数据分析报告； 3、有一定机器学习/人工智能算法基础，能够根据业务场景重构算法细节和论文算法复现； 4、熟练掌握SQL Server/Mysql/Oracle等主流数据库，熟悉SQL编写和优化，精通掌握gbase者优先。 其它要求： 1、有电网项目数据分析处理经验、电网数据中台应用开发经验优先； 2、思路清晰、责任心强、工作积极性高，有较强的问题处理能力及良好的沟通能力，能够独立完成项目； 3、具有良好的编程思想，能根据用户需求提出合理的解决方案； 4、具有较强的学习能力和技术钻研能力、有自我驱动意识，能够主动学习业务相关知识； 5、具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力。 6、具备光明大模型对接和使用经验的技术人员优先 工作地点 南京江宁区国网江苏省电力公司电力科学研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Django,MySQL,PostgreSQL",http://www.zhaopin.com/jobdetail/CCL1509846210J40774332206.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘工程师,药石科技,1-2万,南京·浦口·盘城,南京,本科,经验不限,7月26日,zhilian_direct,岗位职责 1. 算法驱动，对数据进行挖掘，赋能业务场景，如智能营销，智能调价、备库等场景； 2. 结合大模型、向量检索等技术，开展样本挖掘、特征与模型/策略训练，完成业务数据需求； 3. 参与数据治理工作，建设数据平台。 岗位要求 1. 本科及以上，统计学 / 数据科学 / 数学 / 计算机 / 人工智能等相关专业； 2. 熟练 Python、SQL；了解 Spark / Hive 等大数据开发与取数； 3. 熟悉常见机器学习方法；具备问题拆解与跨团队协作能力； 4. 有特征提取、模型训练或策略落地经验；了解向量检索 / 向量数据库者优先； 5. 有医药或制造业数据分析 / 算法经验者优先。 工作地点 浦口区南京药石科技股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器学习,深度学习,Python",http://www.zhaopin.com/jobdetail/CC218331910J40862795911.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
云数据挖掘工程师,七腾机器人有限公司,1.5-2.5万,重庆·渝北,重庆,硕士,1-3年,7月26日,zhilian_direct,岗位职责： 1.负责防爆 L4 巡检车和机器人云端数据的采集对接（如激光雷达、相机、IMU 传感器数据，设备状态数据，粉尘 / 电磁等防爆环境数据），使用 SQL、Pythn（Pandas/Numpy）完成数据清洗 —— 处理噪声、缺失值、异常值（如过滤极端环境下的无效传感器数据），确保数据准确性与可用性； 2.负责业务导向的数据分析与建模，针对巡检车和机器人核心业务场景开展专项分析，运用数据分析方法输出结论，为产品和研发团队提供数据支撑； 3.分析报告输出与业务支撑，定期输出数据分析报告，清晰呈现数据结论，并提出可落地的优化建议 4.响应研发、产品，运维团队的临时数据需求，快速输出分析结果并协助推动分析成果落地 5.熟练使用云端数据分析工具（如 Spark SQL、阿里云 MaxCmpute、Tableau/Pwer BI 可视化工具），完成数据查询、计算与可视化呈现； 任职要求： 1.硕士及以上学历，数据科学、统计学、计算机科学与技术等相关专业2年以上工作经验； 2.有工业无人设备（巡检车 / 机器人）、车载数据或防爆场景数据分析经验者优先。 3.熟练使用 SQL（Hive/Spark SQL）进行复杂数据查询，精通 Pythn 数据处理库（Pandas/Numpy），能独立完成百万级数据的清洗与预处理； 4.了解主流云平台（阿里云 / 华为云）的数据产品（如时序数据库、数据查询工具），熟悉数据湖 / 数据仓库基本概念，能按规范操作云端数据； 5.有责任心与攻坚意识及产品思考，能主动思考产品业务及排查关键问题原因，确保输出有效结果，愿意了解行业前沿技术及优秀的团队协作能力 工作地点 七腾机器人有限公司重庆市渝北区箭竹路互联网产业园二期7号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"分类算法,深度学习,Java,MySQL,SQL Server,Spark,云端数据采集,PYTHN,数据分析与建模,Oracle Hyperion,Python",http://www.zhaopin.com/jobdetail/CC387441310J40833549801.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘研发工程师(J13444),国轩高科股份有限公司,1.5-2.2万·13薪,合肥·包河·淝河,合肥,硕士,3-5年,7月26日,zhilian_direct,岗位职责: 1、负责对接业务条线（主要有设备，工艺，质量等）的数据挖掘及分析需求，协助完成模型的开发、部署、测试、监控及应用管理： 2、负责推进与子公司业务方联合分析建模工作，为业务方提供模型应用支持： 3、负责模型特征库和指标体系建设，协助完成模型数据需求整合，包括业务含义和业务口径梳理，推进数据需求的开发、测试并完成指标的验证： 4、负责利用机器学习技术开发和落地不同业务场景的模型，包括但不限于特征工程、机器学习、知识图谱、神经网络等建模方法与无监督学习、半监督学习、有监督学习目标交叉融合的模型。 任职要求: 1.硕士及以上学历，统计学、应用数学、信息与计算科学、运筹学、计算机科学等数学与计算机相关专业，掌握扎实的统计学，数据挖掘，机器学习理论基础； 2.具有数据挖掘等方面的项目经验； 3.能熟练运用Python\Java等数据挖掘工具和技能（至少精通一种）； 4.有志于制造业业务数据分析，具有自我驱动能力，对新技术有强烈求知欲和学习能力； 5.善于从商业角度解读数据，能推动数据分析结果落地和应用创新； 6.良好的团队沟通合作能力。 工作地点 合肥包河区国轩高科工程研究总院566号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,Python",http://www.zhaopin.com/jobdetail/CC344684980J40766182712.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘算法工程师（AI）,日善电脑配件(嘉善)有限公司,2-3万·13薪,盐城·亭湖区·南洋镇,盐城,硕士,经验不限,7月26日,zhilian_direct,岗位职责： 1.负责AI模型的设计、训练与优化，确保性能达成项目KPI；根据业务需求构建分类、回归、聚类等模型，解决实际问题；执行模型调参、交叉验证、性能评估，持续提升预测准确性；追踪与应用最新AI算法 2.负责数据清洗、整理与转换，确保数据质量；设计与实现特征工程流程，挖掘有效特征以提升模型性能；与工厂/现场人员沟通数据定义与采集逻辑，推动数据落地；建立数据预处理与分析脚本，提升开发效率与可复用性； 3.将模型封装为API或服务，协助开发团队完成部署；熟悉Docker、RESTful API、ONNX等部署工具或格式；与前后端、MES/ERP/PLC等系统进行接口对接与数据交换；负责模型上线后的性能监控与版本迭代 4.参与项目需求评审，理解业务流程并提出AI解决方案；与工程、品保、设备、IT等多部门协作推动项目落地；撰写技术文档、培训手册，协助推广AI模型的使用；分析模型应用效果，配合现场人员优化工艺或流程； 5.遵守公司作息制度，按时上下班，配合项目排程弹性出勤；配合公司或专案需求，参与定期会议与跨部门沟通活动；遇有紧急Bug或现场支持需求，能及时响应与处理；具备良好职业道德与团队协作意识，维护部门专业形象；保守公司机密数据与AI模型核心技术，不擅自外传；需要配合三个月以内的集团其他各厂区的项目支持。 工作地点 亭湖区立铠精密科技(盐城)有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器学习,深度学习,Python,R语言",http://www.zhaopin.com/jobdetail/CC397387630J40859230611.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
数据挖掘与算法开发工师,富联裕展科技(深圳)有限公司,1.4-2.4万·13薪,深圳·龙华·福城,深圳,硕士,1-3年,7月26日,zhilian_direct,"职位描述 机器学习 主成份分析 图像算法 因子分析 多元统计分析 Python 关联分析 1.工业大数据挖掘与机理分析： -从海量生产数据中挖掘关键因子（KPIs），运用精益生产逻辑论证数据与瓶颈（Bottleneck）的关联。 -针对OEE（全局设备效率）、产量损耗进行深挖，找出影响生产稳定性的潜在逻辑。 2.AI驱动的决策策略与工艺优化： -利用数据分析及AI关联算法，导出预测性维护、虚拟量测、异常侦测、参数推荐等。 -撰写针对生产排程、库存周转或能源消耗的优化决策报告。 3.实时数字孪生与Agent： -将精益生产中的loss系统数字化，确保异常数据能实时触发决策链，实现级别的实时监控。 -将精益生产loss指标，结和LLM与工作流技术，制造Agent提供策略与执行优化方向。 4.智能诊断与视觉检测模型： -建立深度学习模型实现自动化缺陷检测（AVI/AOI）或讯号异常诊断。 -LLM与机器学习技术整合，实现根因分析（Root Cause Analysis），自动定位影响制程的关键节点。 奖金绩效 补助津贴,月度奖金 工作地点 深圳龙华区富士康科技集团观澜科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","机器学习,主成份分析,图像算法,因子分析,多元统计分析,Python,关联分析",http://www.zhaopin.com/jobdetail/CCL1393497680J40871264709.htm?refcode=4019&srccode=401903&preactionid=23413d1c-ab1c-4649-a040-788b1930a6fb
