job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI智能眼镜硬件产品经理/硬件产品负责人（已D轮）,深度制耀(北京)科技股份有限公司,2-3.5万,北京·朝阳,北京,本科,5-10年,7月26日,zhilian_direct,"岗位职责】： 1.将医疗场景需求转化为可开发、可测试和可量产的硬件产品规格； 2.定义产品形态、目标用户、佩戴方式和核心使用流程； 3.制定重量、尺寸、续航、温升、摄像头、音频、显示和通信指标； 4.根据临床环境定义清洁消毒、交叉使用、防护和配件要求； 5.设计拍摄指示灯、物理静音、隐私开关和数据清除等安全功能； 6.评估无显示音频眼镜、单目显示眼镜和双目AR眼镜的适用性； 7.负责竞品分析、用户调研、PRD、产品规格书和验收标准； 8.协调医学、AI、硬件、结构、软件、质量、供应链和ODM团队； 9.管理原型机、工程机和量产版本的产品需求； 10.组织医生、护士、研究人员及医疗工程人员开展佩戴测试； 11.建立舒适性、可用性、任务效率和环境适应性评价方法； 12.负责产品路线图、成本目标和版本取舍。 【任职要求】： 1.本科及以上学历，电子、工业设计、计算机或相关专业优先； 2.5年以上智能硬件产品经验； 3.独立负责过至少1款智能硬件从需求定义到量产上市； 4.熟悉硬件产品开发、ODM合作和供应链导入流程； 5.能够编写完整的MRD、PRD、产品规格和验收标准； 6.理解芯片、摄像头、音频、显示、电池、结构和通信的基本原理； 7.对重量、佩戴、续航、发热和成本之间的冲突有工程判断； 8.具备较强的跨团队项目推动和需求管理能力； 9.愿意深入医院现场观察真实使用流程； 10.能够区分演示性功能与高频刚需。 【优先条件】： •有智能眼镜、AR/VR或可穿戴设备产品经验； •有医疗器械、工业终端或企业级硬件经验； •有处方镜、眼镜门店或眼镜品牌合作经验； •熟悉隐私设计、设备管理和企业级安全要求； •有硬件商业化、成本管理和售后体系经验。 ________________________________________ 【关于深度智耀 DIP】： 深度智耀成立于 2017 年，由跨国药企 AI 科学家创立，是以 AI 多智能体技术赋能生命科学与物质科学研发的全球领先平台型企业，总部设于中国北京，已实现商业化持续盈利，并获得境内外多家顶级机构投资者长期支持，目前估值已达数十亿美元，是中国估值最高的 AI 独角兽之一。 在医药临床研发领域，DIP 是全球 LLM + 多智能体医药临床 CRO 市场领导者，全球市场份额超 16%，已服务逾 1,500 家客户，覆盖全球 Top 20 药企中的大多数，自主研发的 AI 多智能体平台拥有逾 10,000 个专业智能体，覆盖临床方案至注册申报全链路，累计交付逾 40,000 个项目。在物质科学领域，DIP 将同一平台 AI4S 能力延伸至农药化工、新能源材料、半导体等物质科学研发，与多家行业龙头深度合作。公司在中、日、美、新加坡设有多个总部及全球 10 余个区域中心。 工作地点 北京朝阳区金泰国际大厦-A座7层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","智能硬件,硬件产品开发",http://www.zhaopin.com/jobdetail/CC697082780J40876820210.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
嵌入式智能硬件产品经理,青岛飞奕科技有限公司,1.5-2.5万·14薪,青岛·崂山·沙子口,青岛,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责产品设计和产品定义相关工作。 2、负责对接，梳理客户需求，可以提炼客户痛点。 3、负责输出需求文档、产品立项书和产品设计文档。 4、负责市场调研，竞品分析和产品线规划。 5、负责产品的全生命周期管理。 任职要求： 1、最少3年以上产品经理工作经验，熟悉产品的全生命周期管理流程 2、有嵌入式产品设计经验，做过硬件电子产品，了解产品立项流程。 3、能独立完成产品需求文档编写及整理。 4、对产品开发（研发）内容比较熟悉，跟研发端强对接，有硬件研发经验最好 5、具备良好的思维逻辑，善于学习、沟通协调能力强 工作地点 青岛飞奕科技有限公司青岛市崂山区游云路3号东华软件产业园博研楼8/9F 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"单片机,ARM处理器,PCB,B端产品,项目管理",http://www.zhaopin.com/jobdetail/CCL1228820330J40900784604.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,深圳市朗恒照明技术股份有限公司,1.5-3万,深圳·宝安·西乡,深圳,本科,1-3年,7月26日,zhilian_direct,"职位描述 C端产品 使用场景分析 需求分析 项目管理 产品/版本迭代 职责描述： 1、市场调研：根据公司战略规划、产品定位以及目标人群寻找产品线索，通过调研了解用户需求、竞争对手情况以及市场和行业变化，并撰写市场调研报告 2、产品规划与定义：根据市场调研情况发现创新或改进产品的潜在机会，结合市场需求，主导并独立完成单个产品或产品线的规划和详细定义，完成产品立项及相关工作； 3、产品实现：跟进产品开发进度和项目实施情况，监控开发质量并及时协调相关问题，直至产品完成量产上市； 4、产品上市：配合市场部完成新产品上市推广准备及宣介工作，提炼新产品开发概念和产品卖点； 5、产品体验：深入产品体验，组织用户体验活动，搜集或整理体验报告和用户反馈； 6、生命周期管理：对产品生命周期全流程管理，并根据不同产品特点及用户需求，提出不同的产品竞争策略，通过分析已上市产品的销售数据、用户评价、行业变化等，梳理产品线整体的升级或优化方案，并跟踪落地。 任职要求： 1、机械电子、产品设计或市场营销专业； 2、本科及以上学历，3年以上产品策划、市场研究相关工作经验； 3、熟悉产品开发相关流程，擅长产品定义及产品规划；有电子产品尤其是三防产品行业经验优先； 4、对新潮产品及技术有一定认识，熟悉CMF相关工艺； 5、对产品创新及用户需求敏感度高，对用户体验有较高的追求； 6、具备优秀的用户需求分析及产品卖点提炼能力，良好的沟通协调能力； 7、热爱户外运动或英文优秀者优先录用。 相关信息： 1.上班时间：8:30-12:00,13:30-18:00，周末双休； 2.入职即买五险一金； 3.试用期六个月。 相关福利： 1.员工食堂3元/餐； 2.相应节假日礼品、季度团建经费、下午茶、生日会礼物等； 3.员工图书角，上千本图书随时借阅，包含全类型图书，设置季度图书增补预算，可申请购买想看的书籍； 4.每年1月份年度调薪年度晋升，完善的调薪制度和晋升通道，管理、专业双通道为你开放； 5.公司主打运动文化，有跑步、越野、羽毛球队、篮球队、乒乓球、骑行等运动团队，每年经费定期组织活动； 6.享受年度免费健康体检、带薪年假等； 7.享受忠诚奉献奖、产品创新奖、产品贡献奖、年底奖金等。 职位福利：五险一金、周末双休、节日福利、绩效奖金、公司食堂、全勤奖、年终奖、带薪年假 工作地点 深圳宝安区水库路111号A栋西侧2层、3层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C端产品,使用场景分析,需求分析,项目管理,产品/版本迭代",http://www.zhaopin.com/jobdetail/CC225675710J40483892511.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,中软国际,面议,西安·雁塔·杜城,西安,本科,3-5年,7月26日,zhilian_direct,岗位职责: 1. 负责硬件产品的全生命周期管理，从需求分析、市场调研到产品定义与规划； 2. 输出产品需求文档及相关资料，协同研发、设计、供应链等团队推进产品落地； 3. 持续跟踪市场动态与竞争格局，结合用户反馈优化产品功能与体验； 4. 协调内外部资源，保障项目按计划高质量交付，并支持上市推广与销售； 5. 组织产品培训与内部研讨，推动产品创新与迭代，提升产品竞争力。 任职要求： 1. 具备良好的逻辑思维能力和项目推动力，能高效沟通并协调多方协作； 2. 对硬件产品有热情，关注技术发展与用户体验，具备敏锐的市场洞察力； 3. 具备较强的学习能力，能快速理解新技术、新领域并应用于产品实践中； 4. 工作认真负责，有较强的抗压能力与团队合作精神； 5. 能适应硬件产品开发节奏，对产品质量和细节有较高追求。 工作地点 西安雁塔区陕西航空电气有限责任公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"智能硬件产品,需求分析,项目管理",http://www.zhaopin.com/jobdetail/CC508620120J40922356412.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,福州世强电子有限公司,1-1.5万,福州·仓山·金山,福州,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1. 根据功率器件类产品线特点，配合自身产品线的销售推广； 2.产品线市场调研，制定销售可行性报告分析； 2.同步原厂产品规格、价格定位，维护好原厂关系； 3.协助总经理对于销售策略制定及销量任务分配； 4.协助公司业务部门与客户进行产品对接，给予客户端项目中产品选型的技术支持，包括公司产品型号推荐、咨询解答、现场技术指导、故障分析和排除等； 5.协调跟进订单，确保稳定货源，订单交付； 6.业务人员产品销售培训； 任职资格： 1．本科以上学历，电子相关专业或具备相关技术背景； 2．熟悉电子原理图，具有模拟电路、数字电路分析能力； 3．有电源IC/功率器件产品技术支持经验优先； 4．主动、乐意协作，有服务意识。 5、能够适应全国性出差的工作需求（基本上周一或周二外出，周四周五回，周末休息）； 职位福利：五险一金、带薪年假、年底双薪、全勤奖、周末双休、定期团建、绩效奖金、团队气氛活泼 公司福利待遇： 1、上班时间：8:30-17:30，周末双休\法定节假日； 2、社会保障：六险一金； 工作地点 福州仓山区仓山万达广场SOHO区-C4号楼24层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,对电子元器件了解,http://www.zhaopin.com/jobdetail/CC194314010J40771547710.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理实习生,北京怀芯声学技术有限公司,150-200元/天,深圳·南山·西丽,深圳,本科,经验不限,7月26日,zhilian_direct,"岗位职责 1. 竞品分析与市场调研 协助收集和整理市场上同类3C数码产品（耳机、充电宝、音箱等）的信息，包括功能、价格、销量、用户评价； 参与用户评价分析，提炼用户痛点和需求，输出简单的竞品分析报告； 定期更新竞品数据库，维护产品信息台账。 2. 产品文档管理 协助撰写和整理产品需求文档（PRD）、产品规格书、功能清单； 维护BOM成本表、物料清单、供应商信息等产品数据； 产品开发过程中的会议纪要、测试报告、问题跟踪表。 3. 研发与量产跟进 协助跟进OEM/ODM工厂的试产和量产进度，整理试产报告； 参与物料跟进、样品测试、问题记录和追踪； 协助整理质量检验标准文档（来料检、制程检、出货检）。 4. 专利与合规协助 协助进行专利检索和初步的查新工作（使用国家知识产权局、Google Patents等工具）； 整理产品认证资料（CE、FCC、RoHS等）； 协助完成专利申报的基础文件整理。 任职要求： 本科在读，大三或研一/研二优先； 电子工程、机械设计、自动化、通信工程、工业工程等相关专业； 熟练使用Excel、PPT、Word；会使用XMind、Visio等工具者优先； 细心、有耐心，能处理大量文档和数据；学习能力强，愿意从基础做起； 对3C数码产品（耳机、充电宝、智能穿戴等）有浓厚兴趣； 加分项 有硬件产品相关的课程项目或实验室经历； 自己动手拆过电子产品、玩过开发板； 了解3C数码产品的技术趋势（蓝牙方案、快充协议等）； 语读写能力良好（能阅读英文技术文档）。 汇报对象： 硬件产品经理 / 产品与供应链经理 工作地点： 深圳市南山区创智云城 实习时长： 3-6个月（每周至少4天） 薪资范围： 150-200元/天（或3,000-4,000元/月） 转正机会： 优秀者可转正为助理硬件产品经理 工作地点 深圳南山区创智云城 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","人工智能产品,智能硬件产品,C端产品,需求分析,使用场景分析,产品/版本迭代",http://www.zhaopin.com/jobdetail/CCL1491683400J40897043503.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,四川智想北斗科技有限公司,1-1.8万,成都·成华·万年场,成都,本科,3-5年,7月26日,zhilian_direct,岗位职责】 1、产品规划与管理：负责产品线（自研及外采）规划、定义与生命周期管理，制定产品路线图。 2、自研产品全流程负责：主导自研产品的需求分析、方案设计、并全程跟进开发、测试与验收，协调内外资源确保产品按时高质量交付。 3、外采产品与供应商协调：负责外采产品的选型及导入，作为技术对接的窗口，高效协调处理产品相关问题及质量改进。 4、产品落地与支持：组织产品上市、培训与资料输出，为销售及技术团队提供产品支持，并持续收集市场反馈驱动产品优化。 5、部门与协作：负责产品部的日常管理，建立并优化产品流程体系，高效协同研发、采购、销售、技术支持等相关部门。 【任职要求】 1、学历与经验 · 统招本科及以上学历，计算机、通信、电子、测绘、岩土工程等相关专业优先。 · 3年以上产品经理工作经验，具备物联网、智能硬件或监测类软硬件结合产品的完整落地经验。 · 有自然灾害、水利水电、交通边坡等安全监测领域相关行业经验者优先。 2. 知识与技能 · 硬性技能：精通产品设计工具，能独立输出高质量的产品需求文档（PRD）和原型。 · 核心能力：具备优秀的跨团队协同和项目管理能力，能有效推动软件研发和硬件供应商并行工作。 · 行业理解：对传感器、数据采集、物联网平台等技术有基本了解，能和技术及供应商进行高效沟通。 3. 个人特质 · 具备极强的责任心、逻辑思维和问题解决能力，能承受一定的工作压力。 · 出色的沟通表达能力和团队协作精神，有产品团队管理经验或潜力者优先。 · 对技术和行业有强烈的好奇心和学习能力，能快速理解并深入复杂的业务场景。 【薪资待遇】： 1、10-18k，入职五险一金，生日及节假日福利、司龄工资、年假、年终奖； 2、工作时间：9:00-18:00（午休1.5小时），大小休、法定节假日正常休； 3、公司人性化管理，氛围好，团队成员好相处，接纳不同性格和特点的同事，欢迎加入我们的大家庭。 工作地点 成都成华区奥园国际中心1018 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,物联网,半导体/芯片",http://www.zhaopin.com/jobdetail/CCL1343500220J40864552612.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理（徐州）,徐州立羽高科技有限责任公司,8000-13000元·13薪,徐州·铜山区·新区街道,徐州,本科,3-5年,7月26日,zhilian_direct,职位描述 B端硬件产品 工作职责： 1、根据公司水净化产品策略，结合客户需求分析、市场与行业洞察、竞品调研等进行硬件产品的设计； 2、负责输出工作相关的MRD，PRD等，对产品功能、规格、体验等负责； 2、负责同内外部团队沟通协作，进行产品的研发项目管理及推动产品研发的落地上市，对产品全生命周期负责； 4、监控产品上市后的数据表现与客户反馈，对现有产品进行持续的优化迭代，保持产品的市场竞争力。 5、梳理行业通用需求与行业政策相关，沉淀各细分行业解决方案体系、标准化产品方案库、项目案例库。 职位要求： 1、统招本科及以上学历，具有工业设计、电子、机械、计算机、生物医学工程等相关背景； 2、具备3年以上B端硬件产品经理工作经验，具有硬件产品研发方法论与行业方案搭建能力，有过成功量产交付经验； 3、较强的分析能力，沟通能力和高度责任心，有市场敏感度，有客户同理心、理解技术、熟悉产品制造、供应销售环节； 4、具有水处理、环保、农业设备、医疗设备等同类产品经验者优先； 工作地点 江苏省徐州市铜山区电子信息产业园1号厂房南1层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,B端硬件产品,http://www.zhaopin.com/jobdetail/CCL1339027250J40904366103.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
智能硬件产品经理,华镁钛科技,1.2-2.2万,北京·海淀·上地,北京,大专,3-5年,7月26日,zhilian_direct,"岗位职责： 1、负责卫星应用相关终端产品的全生命周期管理，包括需求分析、客户交流、竞品分析、产品规划、产品定义、系统设计、交互设计、外部资源协调、供应商筛选，以及跟进生成、测试和优化工作，从演示、测试到最后产品定型，完成产品的批量交付； 2、挖掘客户需求，参与产品技术支持工作，完成系统解决方案； 3、负责产品研发和交付。编制产品总体设计方案，制定详细的产品开发项目计划，跟踪项目进度，确保项目按时保质量交付； 4、负责客户沟通与反馈，协调跨部门团队的工作，解决项目中的问题和挑战； 5、负责产品开发过程标准化工作，推进产品研发过程规范化，确保研发质量和进度； 任职要求: 1、本科及以上学历，电子、通信、计算机等相关专业；三年以上硬件产品、通信导航、遥感信息行业工作经验； 2、丰富的硬件产品开发及项目管理经验，有产品从立项到最终销售的全流程产品经理经验。有PMP项目管理资格认证证书优先； 3、具有优秀的沟通能力及领导力，统筹全局，具备行业技术发展洞察能力； 4、工作作风务实踏实，有进取精神与学习能力，抗压能力强； 5、愿意到创业公司为自己的未来拼搏，愿意为中国卫星通信行业做贡献,也为自己谋求行业地位 加分项： 有软硬一体化产品经验加分 有消费级电子产品行业经验加分 有智能穿戴类产品经验加分 有行业级定制化产品或系统集成经验加分 工作地点 北京海淀区中关村软件园孵化加速器-23号楼202 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",智能硬件产品,http://www.zhaopin.com/jobdetail/CC443508030J40986031504.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
物流仓储硬件产品经理/总监,京东集团,2.5-3.5万·19薪,上海·嘉定·菊园新区,上海,本科,5-10年,7月26日,zhilian_direct,"职位描述 智能硬件产品 物联网产品 需求分析 产品商业化落地 工业自动化/机器人 货运物流 电气机械/电力设备 【岗位内容】 1.负责业务场景调研分析，关注行业动向、竞品动态，输出相应的调研分析和竞品分析等文档； 2.挖掘用户需求和痛点，输出产品相关需求文档，包括BRD、MRD、PRD等，提出产品改进方案及新创意，输出方案文档、业务流程、原型设计等； 3.负责仓储自动化产品定义和设计、研发落地协调、产品材料设计、持续优化升级迭代的完整生命周期管理、产品线的Roadmap规划； 4.根据客户业务特点，进行物流方案及流程设计，对客户的运营数据进行分析，提炼业务特征，进行针对性的改进和优化； 5.负责跟进项目的技术交流及跟踪，完成方案文件，与客户讲解交流； 6.为项目提供投标技术支持，负责和参与投标的工作，并配合完成相关技术部分的澄清。 【任职要求】 1.本科及以上学历，计算机、电子、自动化、物流等相关专业； 2.具有产品开发及产品管理经验，做过物流自动化产品优先； 3.具备智能硬件、机器人等产品设计能力； 4.良好的客户需求分析、挖掘能力，丰富的行业经验； 5.良好的沟通协调能力,有较强的工作主动性,有创新意识和团队合作精神，能够承受压力并达成目标； 6.善于提出问题及解决方案，具有强力执行力和落地能力。 工作地点 上海嘉定区京东物流大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","智能硬件产品,物联网产品,需求分析,产品商业化落地",http://www.zhaopin.com/jobdetail/CC192921310J40824016209.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
PM硬件产品经理(J10108),研华(中国)公司,1-2万·15薪,苏州·昆山·玉山,苏州,本科,3-5年,7月26日,zhilian_direct,"职位描述 智能硬件产品 物联网产品 B端产品 项目管理 产品/版本迭代 计算机硬件 通用设备制造 通信/网络设备 工业自动化/机器人 物联网 工作概要Job Purpose： 智能硬件的新产品研发，KA客户专案管理，负责追踪、协调、解决专案实施过程中出现的问题，确保项目和产品按质按量按时交付。 工作任务Task： （1）协助业务人员, 产品业务经理做市场调研，分析市场需求； （2）依据市场需求定义产品规格，针对新产品进行可行性分析、成本分析； （3）制定新产品的开发计划，并带领团队完成NPI 开发计划； （4）负责追踪、协调、解决项目实施过程中出现的问题，对产品设计品质、成本、时程、风险进行管理和控制；协调研发、生产、客户之间的资源和问题处理； （5）撰写新产品的型录、Sales kit, user manual等。 专业知识与技能Professional Knowledge and skill： （1）具有电子研发或制造相关行业背景，熟悉PC、Server等基于X86或中国芯架构知识者优先 （2）具备NPI全流程经验 (3)具备专业、系统的项目管理知识和技能 （4）良好的PPT汇报技巧及沟通能力 工作地点 苏州昆山市研华科技协同创新研发中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","智能硬件产品,物联网产品,B端产品,项目管理,产品/版本迭代",http://www.zhaopin.com/jobdetail/CC000424900J40939833008.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
高级硬件产品经理,移为通信,2-4万,深圳·南山·西丽,深圳,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、市场洞察：密切关注行业发展动态，针对产品线业务进行持续的市场洞察与调研分析，为产品线业务布局和持续改进提供建设性策略和意见。 2、产品规划和经营：负责产品路标策略、产品规划和P&L经营工作，带领团队制定有竞争力可交付的产品路标，与团队合作完成客户需求管理、产品规划和功能定义等，牵引团队高效地开展产品设计开发与交付工作，并对产品的P&L经营结果负责。 3、产品生命周期管理：牵头产品从概念到市场成功的全生命周期管理，监督预算、资源、方案、成本、业务可行性等结果和风险。推动过程遵循业务战略和质量标准，并对产品功能、性能和客户体验持续改进，组织验收，确保产品包和项目的进度、质量、成本和客户体验等符合预期目标。 4、市场拓展和产品推广：组织产品的培训，牵引市场制定产品推广策略，支撑销售完成客户拓展与产品导入，并持续搜集市场、客户对现有产品和新产品新技术的客户体验反馈、需求变化、竞争动态等信息，为产品优化迭代和新业务机会挖掘提供参考。 5、流程优化与知识库建设：善于总结反思，支撑组织完成产品线相关流程优化、产品经营得失的复盘总结和知识库建设，与团队合作推动团队成长和高质量输出。 任职要求： 1、统招本科及以上学历，8年以上车载、监控，或手机、智能硬件等相关行业工作经历，5年以上产品岗经验，成功规划管理过较复杂的整机终端产品和解决方案。 2、掌握车载、监控和移动通信知识，了解相关的技术发展和应用趋势，以及行业主流软硬件平台，熟悉项目管理知识和软硬件研发流程，了解产品营销知识和常用营销工具，能独立完成市场调研、竞品分析和产品规划工作，熟悉IPD流程体系的优先。 3、熟悉常用的市场需求分析模型，积极主动，头脑灵活，能高效地和客户沟通需求，根据客户不同需求提供适合的解决方案。 4、正直，有战略和经营思维，以及出色的沟通能力、负责心和执行力，能高效地组织协调资源推进问题解决直到闭环。 5、英语4级或以上，听说读写流利，能与国外同事和客户无障碍开会和沟通。 工作地点 深圳南山区南山智谷产业园-F座10楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"摄像头,监控,记录仪,英语",http://www.zhaopin.com/jobdetail/CC202357320J40841554105.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,泛华测控,1-1.8万,北京·海淀·西三旗,北京,本科,1-3年,7月26日,zhilian_direct,职位描述 仪器仪表 半导体/芯片 专用设备制造 通用设备制造 1. 核心日常运营（占比60%）：负责全系列PXI/PXIe模块化硬件产品的全生命周期日常管理，对接生产部跟进生产需求、交付进度与出货质量闭环，直接对接终端客户解决全流程事务性问题。 2. 新产品上市推进（占比20%）：完成新产品上市前的全流程准备工作，输出产品资料、培训材料，协同销售与技术团队完成新产品的市场导入与问题闭环。 3. 市场与需求管理（占比15%）：开展行业竞品对标分析，收集整理销售、市场及客户的需求输入，形成结构化需求文档，为产品迭代与规划提供数据支撑。 4. 优化与协同工作（占比5%）：收集产品成本数据，识别潜在降本优化点并提出改进建议；对接研发部跟进产品迭代、bug修复与兼容性问题处理，协调跨部门资源推动问题解决。 任职要求： 1. 本科及以上学历，测控技术与仪器、自动化、计算机、通信工程、电子信息等相关专业。 2. 具备自动化测试/仿真系统项目经验或PXI类产品技术支持、研发相关经验。 3. 具备硬件技术基础：能快速理解公司测控类产品的技术原理、参数特性与应用场景，具备基础的技术问题排查与分析能力。 4. 优秀的跨部门协同与沟通能力：能高效对接研发、生产、销售、技术支持及终端客户。 工作地点 海淀区北京中科泛华测控技术有限公司北京运营中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"仪器仪表,半导体/芯片,专用设备制造,通用设备制造",http://www.zhaopin.com/jobdetail/CC120559190J40936203015.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
智能硬件产品经理(J22598),正大集团,2-3.5万,北京·朝阳·建外,北京,本科,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责智能机器相关项目（包括机器人设计、自动化智能设备应用等）的技术引进、对外合作或者自主研发; 2、负责产品项目可行性调研，主导方案系统设计，智能化自主研发设备的方案设计修改，完成非标自动化设备机械结构、设计、材料选用以及测试、部署落地； 3、拟制结构设计方案和项目计划，研究新技术，开发新结构，提升产品性能和质量； 4、承担产品整体系统设计，搭建公司智能设备通用平台，提升开发速率，与其他部门配合完成非标自动化设备的设计，并指导调试； 5、主导样机的设计、调试及相关技术； 6、解决产品开发中的问题，并进行问题追踪，解决方案落实； 7、整理编写图纸、操作说明书等技术文档。 任职要求: 1、学历：本科及以上学历、机械、电气工程机械设计及其自动化等相关专业； 2、熟悉电气原理、结构设计、加工工艺，精通机械、电气、气动、液压传动原理等； 3、熟练使用绘图软件和建模软件，能进行仿真、有限元分析及动力学分析； 4、具有较强的动手能力，熟悉常用标准件的选型，常用机械设备的加工特性以及常用结构配件的成本构成和计算方法。具有机器人大赛、机械创新设计大赛等参赛经历优先考虑； 5、有良好的人际交往沟通能力，勤奋刻苦，良好的抗压能力及较强的团队协作精神，有强烈的责任心； 6、有畜牧行业背景优先考虑。 工作地点 北京朝阳区正大中心-南塔 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能产品,物联网产品,需求分析,项目管理,使用场景分析,Axure,墨刀,Xmind,具身智能,智能机器人,AI机器人",http://www.zhaopin.com/jobdetail/CC000325800J40847579205.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,全讯汇聚网络科技(北京)有限公司,1.5-2.5万,成都·武侯·桂溪,成都,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、 主导路由硬件产品全生命周期管理。 2、 调研趋势与痛点，提炼创新硬件方案。 3、 负责BOM成本、供应链管理与供应商评估。 4、 协调ODM/OEM资源，主导设计、测试与量产交付。 5、 进行竞品分析预研，输出差异化解决方案。 6、 协同软件团队，支持市场GTM与用户教育。 任职要求： 1、 本科及以上学历，2年以上网络通信硬件产品经验。 2、 对主流网关/防火墙设备有较深理解，熟悉研发生产流程。 3、 熟练使用Figma/Xmind等工具，具备优秀的文档撰写、总结抽象与卖点提炼能力。 4、 了解主流硬件方案，责任心、沟通与项目管理能力强。 加分项： 1、 重度技术爱好者：活跃于极客社区，有自建方案。 2、 拥有智能家居中控或NAS深度使用经验。 3、 发布过网络设备评测教程或开源项目。 4、 有供应链管理、产品培训或深度竞品分析经验。 5、 能运用AI工具进行行业分析或竞品研究。 我们提供： 1、与顶尖企业客户和极客用户直接对话的机会，参与定义下一代智能网络设备 2、开放的技术氛围，支持创新项目孵化（如边缘计算、存储、物联网） 3、弹性工作制+技术装备补贴+极客活动专项经费 工作地点 成都武侯区花样年·福年广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"智能硬件产品,物联网产品,需求分析,项目管理,HCNP,产品/版本迭代,Xmind,FIGMA",http://www.zhaopin.com/jobdetail/CC656102420J40673038006.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
硬件产品经理,东华软件股份公司,7000-14000元,泰安·泰山区·泰前街道,泰安,本科,5-10年,7月26日,zhilian_direct,职位描述 硬件产品 计算机硬件 1.本科及以上学历，计算机、通信工程、电子通讯、自动化等理工科专业背景。 2.5年以上军品行业产品研制工作经验，具备较强的组织、协调能力，良好的学习能力，有责任心，能承受一定的压力。 3.工作严谨、责任心强，良好的沟通能力、团队合作和敬业精神。 4.具备良好的文档编写能力和习惯，能够编写规范的设计、调试、用户文档。 5.熟悉军工行业军品研制、列装管理流程，熟悉GJB9001B-2009等军工领域GJB系列标准，具备军工或军品行业的军品研发及质量管理工作经验者优先考虑。 职位福利：五险一金、带薪年假、周末双休、免费班车、通讯补助、绩效奖金、专业培训、年轻化团队 工作地点 泰安泰山区望岳东路3 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,硬件产品,http://www.zhaopin.com/jobdetail/CC193399810J40194411507.htm?refcode=4019&srccode=401903&preactionid=59fd5c60-5f58-49d8-868a-319f64ac8f74
