job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
语音算法专家,南京迈特望科技股份有限公司,2.5-5万,上海·浦东·张江,上海,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1 设计端侧语音感知与前级信号处理系统的整体技术架构，包括语音识别(ASR)、语音增强（3A、SS、BF、NR）、语音唤醒（KWS）、声纹识别（VPR）及音频分类（AED）等核心模块。 2 攻克端侧语音算法在极低功耗、高实时性、复杂噪声（如解决降噪不平顺、高残留底噪等）以及多模态声学特征融合方面的核心技术难题。 3 与产品团队及系统硬件团队紧密协作，推动算法方案在安卓端侧的高效落地与性能调优，将先进的语音能力转化为可感知的用户功能。 4 追踪学术界与工业界前沿进展（如端侧轻量化模型、Speech LLM等），主导技术创新与专利布局，赋能团队技术视野。 任职要求： 1、硕士及以上学历，计算机科学、人工智能、电子信息等相关专业，3 年AI相关工作经验（优秀者可放宽）。 2、熟悉 Python/C++/Java之一或多项；具备 Linux和Android 开发与调试能力。 3、在以下至少一个方向有深入实践： 3.1 端侧模型训练与推理（模型轻量化、量化、剪枝等）； 3.2 持续学习/终身学习、记忆增强网络、神经网络压缩； 3.3 移动端高性能计算框架开发； 4、具备较强的系统思维，能独立完成技术方案设计、攻坚与闭环落地。 5、优秀的沟通协作能力和团队意识，能适应快速迭代的技术业务环境。 工作地点 浦东新区中兴通讯上海研发中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音增强,ASR,C++,Python,Java",http://www.zhaopin.com/jobdetail/CC142971790J40863304611.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师,重庆捷旭科技有限公司,1.5-2.1万,重庆·渝北,重庆,本科,1-3年,7月26日,zhilian_direct,岗位职责 1. 负责语音转写（ASR）模型的全流程优化工作，包括模型量化、剪枝、蒸馏、算子融合等轻量化改造，大幅提升模型推理速度、降低资源消耗。 2. 针对x86架构CPU、主流GPU平台，完成语音转写模型的推理引擎优化、显存/内存优化、并行推理优化，解决推理延迟、吞吐率等核心性能瓶颈。 3. 负责语音转写模型在华为昇腾NPU、MindSpore框架等华为全生态下的迁移、适配、编译优化与推理加速，深挖昇腾硬件算力潜力，实现模型极致性能调优。 4. 搭建模型性能评测体系，定位模型推理瓶颈，制定针对性优化方案，完成优化后模型的效果验证与工程落地，保障转写准确率与性能同步达标。 5. 调研行业前沿语音模型优化技术、推理加速方案，结合业务场景落地创新优化策略，持续迭代语音转写系统的性能与体验。 6. 配合研发团队完成语音转写模型的工程化部署，对接后端服务，优化模型推理链路，保障大规模并发场景下系统的稳定性与高效性。 三、任职要求 （一）基础要求 1. 本科及以上学历，计算机、人工智能、软件工程、电子信息、信号处理等相关专业，3年及以上语音算法、模型优化、AI推理相关工作经验。 2. 精通语音转写（ASR）核心原理，熟悉Conformer、Transformer、RNN-T、CTC等主流语音模型架构，具备扎实的语音信号处理理论基础。 （二）核心技能 1. 精通至少一种深度学习框架（PyTorch/TensorFlow/MindSpore），熟练掌握模型导出、转换、部署全流程，熟悉ONNX、TensorRT、CNTK等推理优化工具。 2. 具备扎实的CPU/GPU模型优化实战经验，熟练掌握模型量化（INT8/FP16）、剪枝、知识蒸馏、算子优化等技术，能独立完成模型推理加速落地。 3. 熟悉x86 CPU架构特性，掌握CPU端模型向量优化、多线程并行、缓存优化等调优手段，有x86平台AI模型性能优化实战经验者优先。 4. 熟悉华为昇腾生态，掌握Ascend NPU开发、MindSpore模型迁移、AIE算子优化、CANN工具链使用，有昇腾平台语音模型优化、部署经验者优先。 5. 精通C/C++、Python编程语言，熟悉Linux开发环境，具备高性能推理引擎开发、性能瓶颈定位、代码优化能力。 （三）加分项 1. 有端侧+服务端语音转写模型联合优化经验； 2. 参与过大规模语音转写系统研发、落地与性能迭代； 3. 熟悉Whisper、Paraformer、Kaldi、ESPnet等主流语音工具链与开源模型； 4. 具备AI编译器、图优化、算子开发相关经验； 5. 拥有多核CPU并行计算、GPU CUDA编程优化实战经验。 （四）素养要求 1. 具备极强的问题分析与解决能力，能快速定位模型性能、精度问题并给出解决方案； 2. 热爱技术钻研，关注AI与语音领域前沿动态，具备良好的学习能力与创新思维； 3. 工作严谨负责，具备优秀的团队协作、沟通表达与项目推进能力。 四、我们提供 1. 极具竞争力的薪酬福利、绩效奖金、项目奖金、年度调薪机制； 2. 完善的技术成长体系，接触前沿语音技术与国产算力生态，参与核心技术攻关项目； 3. 人性化工作环境、带薪年假、节日福利、定期团建、员工培训等全方位保障； 4. 清晰的职业发展通道，技术专家、管理岗双向发展路径，助力个人能力与职业价值同步提升。 工作地点 重庆渝北区精信中心-A塔楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音处理,声纹识别,ASR,语音增强,PyTorch,TensorFlow,CNN,RNN,Python",http://www.zhaopin.com/jobdetail/CC457860710J41022618904.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师 (MJ000107),厦门睿云联创新科技股份有限公司,2-3万·13薪,厦门·思明·莲前,厦门,硕士,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责语音识别算法的研究和语音识别引擎的开发，包括声学模型、语言模型的训练及解码器的开发； 2、负责语音识别模型的压缩和离线解码器的开发和优化； 3、负责小语种小样本数据情况下的语音识别算法性能优化； 4、针对公司硬件产品的声学特性，优化语音识别性能； 5、负责国内外语音识别/机器翻译相关领域的前沿技术研究。 二、任职要求: 1、硕士及以上学历，计算机、模式识别、自动化相关专业； 2、有语音识别算法和系统研发项目经验，有大模型项目经验优先； 3、深入了解语音信号处理，熟悉与语音识别相关的前端信号处理性能评价方法，能与前端联合调优； 4、熟悉常用的深度学习框架和语音识别框架，如Kaldi、PyTorch、TensorFlow等。 工作地点 厦门思明区睿云联网络通讯技术有限公司10楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"声学建模,语音处理,语音信号处理,语音增强,语音降噪,声纹识别,语音评测,声源定位,PyTorch,Theano,TensorFlow",http://www.zhaopin.com/jobdetail/CC530673120J40859499201.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法专家,南京迈特望科技股份有限公司,2-3万,上海·浦东·张江,上海,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1 设计端侧语音感知与前级信号处理系统的整体技术架构，包括语音识别(ASR)、语音增强（3A、SS、BF、NR）、语音唤醒（KWS）、声纹识别（VPR）及音频分类（AED）等核心模块。 2 攻克端侧语音算法在极低功耗、高实时性、复杂噪声（如解决降噪不平顺、高残留底噪等）以及多模态声学特征融合方面的核心技术难题。 3 与产品团队及系统硬件团队紧密协作，推动算法方案在安卓端侧的高效落地与性能调优，将先进的语音能力转化为可感知的用户功能。 4 追踪学术界与工业界前沿进展（如端侧轻量化模型、Speech LLM等），主导技术创新与专利布局，赋能团队技术视野。 任职要求： 1、硕士及以上学历，计算机科学、人工智能、电子信息等相关专业，3 年AI相关工作经验（优秀者可放宽）。 2、熟悉 Python/C++/Java之一或多项；具备 Linux和Android 开发与调试能力。 3、在以下至少一个方向有深入实践： 3.1 端侧模型训练与推理（模型轻量化、量化、剪枝等）； 3.2 持续学习/终身学习、记忆增强网络、神经网络压缩； 3.3 移动端高性能计算框架开发； 4、具备较强的系统思维，能独立完成技术方案设计、攻坚与闭环落地。 5、优秀的沟通协作能力和团队意识，能适应快速迭代的技术业务环境。 加分项：在顶级会议或期刊发表过相关论文，或有高水平开源项目贡献。 有大型终端AI产品（如语音助手、端侧推荐、主动服务等）核心模块的落地经验 薪资面议 工作地点 上海浦东新区碧波路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音处理,语音信号处理,声学建模",http://www.zhaopin.com/jobdetail/CC142971790J40863819911.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师（弱语音 / 个性化识别方向）,北京华电瑞通电力工程技术有限公司,3-5万·13薪,北京·海淀·西三旗,北京,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1. 病理 / 弱语音场景 ASR 效果迭代优化 2. 单用户个性化语音模型训练、自适应调优 3. 搭建数据清洗、标注、训练集全流程闭环 4. 设计对照实验、基线方案、评测体系驱动算法收敛 5. 联动部署、固件、测试完成算法从离线到产品落地 6. 优化识别准确率、鲁棒性、端到端使用体验 7. 协同 VAD、音频前处理、推理效率联合调优 8. 输出实验、模型版本、效果分析报告，支撑端侧迁移 任职资格： 硕士；3 年 + 语音算法 / 深度学习；精通 ASR 完整链路、主流框架；Python+PyTorch；掌握音频特征处理；独立设计实验定位算法问题；具备产品落地协作意识。 加分项： 病理 / 弱语音医疗语音；小样本 / 说话人自适应；ASR+TTS 联合优化；端侧模型压缩；完整数据评测闭环；线上推理服务迭代经验。 工作地点 北京海淀区金隅智荟中心(中关村西三旗金隅科技园) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音增强,ASR,优秀者薪资可聊",http://www.zhaopin.com/jobdetail/CC120991290J40953849215.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师,中国兵器装备集团自动化研究所有限公司,1.3-2.6万·15薪,成都·锦江·柳江,成都,本科,1-3年,7月26日,zhilian_direct,岗位职责】 1. 算法研发与优化：负责机器人语音交互算法的开发与优化，包括但不限于语音识别（ASR）、语音分离、语音增强、音色合成（TTS）、关键词唤醒（KWS）等核心算法的研究与实现。对现有语音算法进行持续优化，提升其在真实场景下的性能、鲁棒性与运行效率。跟踪学术界与工业界在语音技术领域的最新进展，探索前沿算法并推动其在实际项目中的落地应用。 2. 工程落地与部署：将算法模型工程化，实现从算法研究到实际产品的落地。负责算法在不同硬件平台（如CPU、GPU、移动端等）上的部署和优化，确保算法的高效运行。配合产品开发团队，完成算法的端到端实现，包括数据采集、清洗、模型训练、测试及优化。 3. 数据处理与管理：优化数据管线，包括数据采集、标注、清洗、管理、分析和标注，确保数据的质量和可用性。基于数据驱动的方法，提升算法的性能和泛化能力。 4. 技术文档与专利 编写高质量的算法设计文档、技术报告及用户手册。挖掘和规划核心技术，撰写专利，推动技术创新。 【任职要求】 1.本科及以上学历，2年以上经验，专业方向为计算机，电子信息，自动化，软件工程，人工智能 2.精通Python编程语言，熟悉C++、Java等至少一种其他编程语言，熟练掌握TensorFlow、PyTorch等主流深度学习框架。 3.熟悉视觉识别、语音识别、多模态交互等算法的开发和优化。 4.能够参与人机交互系统的设计，包括交互逻辑、策略制定等。 5.具备大规模数据处理能力，熟悉数据挖掘、清洗和增强。 6.掌握模型微调（Fine-tuning）、量化、剪枝等优化方法。 7.具备良好的沟通能力和团队合作精神。 8.有较强的分析问题和解决问题的能力。 9.熟悉多模态大模型技术或有相关项目经验者优先。 工作地点 四川省成都市锦江区永安路666号艺尚锦江文创中心13层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音增强,语音识别,语音分离,音色合成,关键词唤醒,PyTorch,TensorFlow,Java,C++",http://www.zhaopin.com/jobdetail/CCL1306551560J40824515707.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师,南京迈特望科技股份有限公司,1000元以下,上海·浦东·上钢新村,上海,硕士,3-5年,7月26日,zhilian_direct,职位描述 语音处理 语音增强 语音降噪 C++ Python Java linux ANDROID 开发 AI 人工智能 岗位要求： 1、硕士及以上学历，计算机科学、人工智能、电子信息等相关专业，3 年 AI 相关工作经验（优秀者可放宽）。 2、熟悉 Python/C++/Java 之一或多项；具备 Linux 和 Android 开发与调试能力。 3、在以下至少一个方向有深入实践： 3.1 端侧模型训练与推理（模型轻量化、量化、剪枝等）； 3.2 持续学习 / 终身学习、记忆增强网络、神经网络压缩； 3.3 移动端高性能计算框架开发； 4、具备较强的系统思维，能独立完成技术方案设计、攻坚与闭环落地。 5、优秀的沟通协作能力和团队意识，能适应快速迭代的技术业务环境。 工作内容： 1 设计端侧语音感知与前级信号处理系统的整体技术架构，包括语音识别 (ASR)、语音增强（3A、SS、BF、NR）、语音唤醒（KWS）、声纹识别（VPR）及音频分类（AED）等核心模块。 2 攻克端侧语音算法在极低功耗、高实时性、复杂噪声（如解决降噪不平顺、高残留底噪等）以及多模态声学特征融合方面的核心技术难题。 3 与产品团队及系统硬件团队紧密协作，推动算法方案在安卓端侧的高效落地与性能调优，将先进的语音能力转化为可感知的用户功能。 4 追踪学术界与工业界前沿进展（如端侧轻量化模型、Speech LLM 等），主导技术创新与专利布局，赋能团队技术视野。 薪资待遇：面议 工作地点 上海浦东新区上南路/浦东南路(路口) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音处理,语音增强,语音降噪,C++,Python,Java,linux,ANDROID 开发",http://www.zhaopin.com/jobdetail/CC142971790J40862968611.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师,厦门睿云联创新科技股份有限公司,1.5-2.5万·13薪,厦门·思明·莲前,厦门,本科,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责语音识别算法的研究和语音识别引擎的开发，包括声学模型、语言模型的训练及解码器的开发； 2、负责语音识别模型的压缩和离线解码器的开发和优化； 3、负责小语种小样本数据情况下的语音识别算法性能优化； 4、针对公司硬件产品的声学特性，优化语音识别性能； 5、负责国内外语音识别/机器翻译相关领域的前沿技术研究。 任职要求: 1、本科及以上学历，计算机、模式识别、自动化相关专业； 2、有语音识别算法和系统研发经验，有部署过大型语音识别系统者优先； 3、深入了解语音信号处理，熟悉与语音识别相关的前端信号处理性能评价方法，能与前端联合调优； 4、熟悉常用的深度学习框架和语音识别框架，如Kaldi、PyTorch、TensorFlow等。 工作地点 厦门思明区睿云联网络通讯技术有限公司软件园二期观日路56号10楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"声纹识别,语音降噪,语音增强,声学建模,语音信号处理,语音处理,波束形成,PyTorch,TensorFlow",http://www.zhaopin.com/jobdetail/CC530673120J40721283701.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法架构师,北京华电瑞通电力工程技术有限公司,4-5万·13薪,北京·海淀·西三旗,北京,硕士,5-10年,7月26日,zhilian_direct,岗位职责： 1. 弱音 ASR 整体技术路线：个体化适配、跨用户 / 文本泛化 2. ASR 训练、微调、迭代、效果指标优化 3. 弱音、低信噪比、病理语音失败样本归因分析 4. 定义语料采集标准、划分训练 / 验证 / 测试集 5. 搭建完整评估体系：WER/CER、短句识别率、延迟、体验指标 6. 联动固件 / 服务端 / 产品完成算法产品闭环 7. 跟进语音增强、小样本、病理语音前沿技术 任职资格： 1.硕士及以上，语音信号处理 / AI 相关； 2.5 年 + ASR / 语音增强算法； 3.精通完整 ASR 链路；熟练 FunASR/WeNet/Whisper 等框架；Python+PyTorch；4.能独立设计对照实验；兼顾模型指标与真实产品体验。 加分项： 病理 / 弱语音、小样本个性化建模；降噪 VAD；语音产品量产落地；医疗康复硬件；端侧模型量化压缩；TTS 联合优化。 工作地点 北京海淀区金隅智荟中心(中关村西三旗金隅科技园) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ASR,优秀者薪资可聊",http://www.zhaopin.com/jobdetail/CC120991290J40953846515.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法工程师,盯盯拍(深圳)技术股份有限公司,1.5-2.5万,深圳·南山·西丽,深圳,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责语音方向深度学习模型（语音识别 ASR、语音唤醒 KWS、语音降噪等）的训练、调优与性能评估，持续优化模型精度与推理速度。 2、将训练好的模型移植到嵌入式 NPU 平台（海思、瑞芯微等），完成模型转换、量化、部署及性能调优。 3、分析模型在 NPU 上的推理瓶颈，优化算子支持、内存布局和数据流，确保端侧推理满足实时性要求。 4、编写模型部署相关的技术文档，支持项目联调与问题排查。 任职要求： 1、计算机科学、电子工程、自动化或相关专业本科及以上学历。 2、2 年以上深度学习模型训练与部署经验，有语音或视觉方向端侧部署经验者优先。 3、熟练使用 PyTorch 或 TensorFlow 等主流深度学习框架，具备独立完成模型训练和调优的能力。 4、熟悉语音识别/唤醒/降噪相关算法，有语音模型训练与调优的实战经验。 5、具备模型压缩与优化经验，了解量化（INT8/FP16）、剪枝、知识蒸馏等常用技术。 6、具有嵌入式 NPU 部署经验，熟悉海思（SVP）或瑞芯微（RKNN）等平台的模型转换与推理流程。 7、理解 NPU 算子支持限制，能够分析并处理模型转换中的算子不兼容问题。 加分项 1、有视觉目标检测模型训练与部署经验（YOLO 系列、SSD、Faster R-CNN 等）。 2、熟悉 ONNX 模型格式及模型转换工具链（如 ONNX Runtime、RKNN-Toolkit、RuyiStudio 等）。 3、有模型推理引擎优化经验（如 TensorRT、NCNN、MNN 等推理框架）。 工作地点 南山区盯盯拍(深圳)技术股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音处理,语音信号处理,TTS,ASR,TensorFlow,PyTorch",http://www.zhaopin.com/jobdetail/CC611941820J40880657005.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音算法专家 (MJ010345),中兴通讯,面议,上海·浦东·张江,上海,本科,5-10年,7月26日,zhilian_direct,职位描述 语音处理 语音降噪 ASR PyTorch 职位职责： 1 设计端侧语音感知与前级信号处理系统的整体技术架构，包括语音识别(ASR)、语音增强（3A、SS、BF、NR）、语音唤醒（KWS）、声纹识别（VPR）及音频分类（AED）等核心模块。 2 攻克端侧语音算法在极低功耗、高实时性、复杂噪声（如解决降噪不平顺、高残留底噪等）以及多模态声学特征融合方面的核心技术难题。 3 与产品团队及系统硬件团队紧密协作，推动算法方案在安卓端侧的高效落地与性能调优，将先进的语音能力转化为可感知的用户功能。 4 追踪学术界与工业界前沿进展（如端侧轻量化模型、Speech LLM等），主导技术创新与专利布局，赋能团队技术视野。 职位要求： 1、硕士及以上学历，计算机科学、人工智能、电子信息等相关专业，3 年AI相关工作经验（优秀者可放宽）。 2、熟悉 Python/C++/Java之一或多项；具备 Linux和Android 开发与调试能力。 3、在以下至少一个方向有深入实践： 3.1 端侧模型训练与推理（模型轻量化、量化、剪枝等）； 3.2 持续学习/终身学习、记忆增强网络、神经网络压缩； 3.3 移动端高性能计算框架开发； 4、具备较强的系统思维，能独立完成技术方案设计、攻坚与闭环落地。 5、优秀的沟通协作能力和团队意识，能适应快速迭代的技术业务环境。 特殊加分项： 1、在顶级会议或期刊发表过相关论文，或有高水平开源项目贡献。 有大型终端AI产品（如语音助手、端侧推荐、主动服务等）核心模块的落地经验 工作地点 上海浦东新区中兴通讯大厦(晨晖路) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音处理,语音降噪,ASR,PyTorch",http://www.zhaopin.com/jobdetail/CC120146700J40997744002.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
智能语音算法工程师,合肥合翼航空有限公司,1.5-2.5万,广州·黄埔·夏港,广州,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1、舱内智能语音交互系统开发 负责游艇座舱语音唤醒、降噪、远场拾音、指令识别全链路方案设计与落地，优化复杂舱内环境下的语音交互准确率与响应速度； 接入大语言模型，实现自然语言指令理解与游艇设备控制联动，覆盖灯光、空调、导航、娱乐系统等设备的语音操控，打造流畅的舱内智能交互体验。 2、海事甚高频（VHF）智能通信系统研发 开发符合航海通信规范的 VHF 自动应答系统，实现海事语音的自动接听、语音转文字、语义理解及语音合成应答全流程功能； 基于大模型优化海事场景下的语音识别与应答逻辑，确保通信内容准确、合规，适配海上复杂电磁与噪声环境。 3、算法优化与嵌入式部署 针对语音前端处理、ASR、TTS 及大模型推理进行算法优化，降低算力消耗与延迟，适配游艇端嵌入式平台； 负责模型压缩、量化、裁剪等轻量化工作，完成算法在瑞芯微、Jetson 等平台的端侧部署与验证。 任职要求 1、学历背景：计算机、机器人、模式识别等相关专业硕士及以上学历； 2、熟悉主流 ASR/TTS/LLM 应用，具备嵌入式端部署经验（如瑞芯微、Jetson 平台）； 3、熟悉语音降噪、回声消除、麦克风阵列等前端处理技术； 4、加分项：了解车载语音、海事通信协议（SMCP）、无线电者优先；具备模型压缩、裁剪、量化部署经验者优先。 工作地点 穗港码头广东省广州市黄埔区穗港澳出入境大楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,语音算法,http://www.zhaopin.com/jobdetail/CCL1481221350J40874700605.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
NLP/CV/语音/深度学习/算法岗,外企德科数字技术有限公司,1.8-3.5万·16薪,成都·郫都·合作街道,成都,本科,经验不限,7月26日,zhilian_direct,岗位职责描述: 1、根据业务场景，负责AIGC、多模态、预训练模型NLP、OCR、AIOPS等AI算法和模型研究和调优，支撑AI应用运行 2、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 3、按时保质完成上级安排工作 任职要求: 1、本科及以上学历，精通python等各种编程语言（语言不限制），具有python等各种编程语言使用经验，熟悉基本linux操作会使用常用的shell命令 2、熟悉机器学习常用算法，了解深度学习，有kaggle等比赛经验优先，具体NLP领域AI算法和模型调优经验。 3、善于总结工作过程中问题，具有强烈的责任心及团队协作能力，愿意挑战新的领域 加分项: 1、良好的英语读写能力，能读懂前沿论文 2、根据业务场景，负责NLP、OCR、AIOPS等AI算法和模型研究和调优支撑AI应用运行 3、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 4、按时保质完成上级安排工作。 工作地点 郫都区华为成都研究所1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"PyTorch,TensorFlow,Python,C++,C#,OpenCV,自然语言处理,机器视觉,知识图谱,深度学习,机器学习,图像算法,Transformer,DNN,LSTM,K-means算法,随机森林,SVM,ViT,CLIP,VGGNet",http://www.zhaopin.com/jobdetail/CCL1480117890J40833282105.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
语音识别算法工程师,小葱(江苏)信息科技股份有限公司,1-1.4万,杭州·余杭·五常,杭州,本科,1-3年,7月26日,zhilian_direct,职位描述 语音处理 声学建模 语音信号处理 Python 人工智能 职位描述 1.负责语音数据的清洗、质量检查及训练/测试数据集构建。 2.负责 ASR 语音识别效果评估，包括 WER/CER 指标统计、错误样本分析、问题归因及优化建议输出。 3.协助完成 ASR 服务部署、接口联调、API 调用测试及上线支持工作。 4.配合项目团队完成语音识别相关文档、测试报告和交付材料整理。 职位要求 1.能够独立完成音频数据处理、批量转写、结果解析、评测统计等工作。 2.熟悉常见的开源ASR模型或工具，例如 Whisper、Paraformer、FunASR、WeNet、Kaldi、ESPnet、Qwen-Audio/Qwen-ASR 等。 3.能够使用 CER/WER 等指标评估识别效果，并能对错识、漏识、插入、断句、标点、热词识别等问题进行分析。 4.有智能设备、车载语音、智能客服、会议转写、语音质检、电话录音识别、呼叫中心等业务场景经验者优先。 5.有 ASR 模型训练、微调、推理优化、模型部署经验者优先。 工作地点 杭州余杭区阿里巴巴西溪园区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"语音处理,声学建模,语音信号处理,Python",http://www.zhaopin.com/jobdetail/CCL1216963320J40902244003.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
图像算法训练师-语音大模型数据运营专家(ASR方向),传神语联,2-3万,成都·青羊,成都,本科,3-5年,7月26日,zhilian_direct,"职位描述 人工智能 所在城市:北京 职位描述: 1、搭建具有通用性和可拓展性的语音标注框架,与专家团队对齐标准、撰写相关培训方案,根据模型迭代方向提供高质量数据; 2、负责大语言模型训练过程中各阶段数据生产,对自动化链路搭建、数据质量评估及外部资源管理负责,确保大语言模型训练数据有效; 3、能按照训练需求进行数据标注、分析和验证调优,提升模型效果; 4、与产品算法团队协同,积极探索自动化数据生产、数据合成等方法,提高数据标注效率,持续跟踪大模型技术进展,持续探索智能高效的数据生产模式。 职位要求: 1、本科及以上学历,研究生优先,3年以上互联网产品或运营营经验,语言学、计算语言学相关专业优先;英文能力良好者(专八/雅思7.5分以上)优先; 2、具备出色的PE能力,能够独立设计Prompt策略形成工作流,提高数据生产的质量和效率; 3、有访谈经验或聊天软件重度使用经验优先;对AI对话大模型有深度体验，具备高情商、拟人化、COT数据生产经验者优先; 4、对大模型、数据领域有深刻的理解和认知,具备大模型应用落地目关工作经验,有Agent搭建经验优先。 5、具备良好的沟通能力和抗压能力,能高效协调跨部门资源,面对突发问题能快速响应并提出有效解决方案 工作地点 青羊区成都领地中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",人工智能,http://www.zhaopin.com/jobdetail/CC517032020J40944021508.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
NLP/CV/语音/深度学习/算法岗（接受应届+考研失败）,外企德科数字技术有限公司,1.8-3.5万·16薪,深圳·龙岗·坂田,深圳,本科,经验不限,7月26日,zhilian_direct,岗位职责描述: 1、根据业务场景，负责AIGC、多模态、预训练模型NLP、OCR、AIOPS等AI算法和模型研究和调优，支撑AI应用运行 2、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 3、按时保质完成上级安排工作 任职要求: 1、本科及以上学历，精通python等各种编程语言（语言不限制），具有python等各种编程语言使用经验，熟悉基本linux操作会使用常用的shell命令 2、熟悉机器学习常用算法，了解深度学习，有kaggle等比赛经验优先，具体NLP领域AI算法和模型调优经验。 3、善于总结工作过程中问题，具有强烈的责任心及团队协作能力，愿意挑战新的领域 加分项: 1、良好的英语读写能力，能读懂前沿论文 2、根据业务场景，负责NLP、OCR、AIOPS等AI算法和模型研究和调优支撑AI应用运行 3、协助及独立完成机器学习/深度学习算法编码，完成数据清洗，特征提取工作。包括对文本分类及目标检测、图像识别进行采集、整理、清洗、标注及审核。 4、按时保质完成上级安排工作。 工作地点 深圳龙岗区华为坂田基地1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"C语言,C++,Python,Java,C#",http://www.zhaopin.com/jobdetail/CCL1480117890J40835300205.htm?refcode=4019&srccode=401903&preactionid=ba5fc2c5-f2a6-46fe-bd1d-bdd2c4b9f9a7
