job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
电源研发工程师（应届毕业生）,深圳达德航空科技有限公司,7000-14000元,北京·丰台·玉泉营,北京,本科,经验不限,7月24日,zhilian_direct,岗位职责： 1、参与电源产品研发工作，包括电源方案设计、电路设计、样机调试、性能测试及产品优化； 2、协助完成电源产品硬件设计、器件选型、参数验证及可靠性测试； 3、参与数字控制、电源软件及嵌入式控制相关开发工作； 4、配合完成产品研发过程中的技术文档、测试报告及设计资料整理。 任职要求： 1、本科及以上学历，电力电子、电气、自动化、电子信息等相关专业； 2、具备电路分析、电力电子技术、自动控制等专业基础知识； 3、了解开关电源基本原理，熟悉Buck、Boost、LLC、PFC、DAB等电源拓扑者优先； 4、了解DSP、MCU数字控制、嵌入式软件开发者优先； 5、具备良好的学习能力、沟通能力和团队协作能力。 培养方向： 根据专业背景及个人能力，培养方向包括： 电源硬件研发工程师 电源控制软件工程师 嵌入式软件工程师 电源测试与可靠性工程师 系统方案工程师 工作地点 丰台区深圳达德航空科技有限公司北京分公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,DSP,http://www.zhaopin.com/jobdetail/CCL1215459600J40911470703.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
嵌入式系统工程师-实习,南通昇目微电子科技有限公司,3000-5000元·13薪,南通·崇川·新开,南通,本科,经验不限,7月20日,zhilian_direct,岗位职责： 1. 负责基于自研RISC-V多核处理器的嵌入式系统底层开发，包括Bootloader、Linux内核及设备驱动移植； 2. 实现并优化多种低功耗模式（深休眠、浅休眠）的电源管理逻辑，配合硬件完成功耗调优； 3. 开发JTAG、I2C、UART、SPI、QSPI、PWM、GPIO、GMAC、SDIO、USB、LVDS、Hyperbus等外设驱动及接口协议栈； 4. 负责Linux操作系统、RTOS（如FreeRTOS）以及裸机程序开发； 5. 配合芯片协处理器完成算法的底层驱动与数据通路优化； 6. 参与SoC芯片bring-up、硬件调试及性能验证。 任职要求： · 计算机、电子、通信或相关专业本科及以上学历，有嵌入式系统开发经验； · 熟悉RISC-V或ARM架构，有SoC的底层驱动开发及操作系统移植经验； · 精通C/C++，熟悉汇编语言，具备良好的硬件调试能力（JTAG、逻辑分析仪、示波器等）； · 熟悉Linux内核模块开发、设备树、U-Boot及常用外设驱动框架（SPI/I2C/USB等）； · 有低功耗系统设计或电源管理（PMIC驱动、休眠唤醒）实际项目经验； · 有RTOS（FreeRTOS/Zephyr）或裸机多核任务调度经验者优先； · 有DSP、AI协处理器驱动开发经验者优先； · 具备团队协作精神，能适应创业公司快节奏开发环境。 工作地点 南通市崇川区紫琅科技城1号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,FreeRTOS,驱动开发,Linux",http://www.zhaopin.com/jobdetail/CCL1515634900J40982131602.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
电气自动化工程师,北京富邦智达自动化科技有限公司,7000-14000元,乌海·海勃湾区·千里山镇,乌海,大专,经验不限,7月25日,zhilian_direct,职位描述 PLC程序设计 控制柜设计 DSP开发 变频器调试 现场调试 安装调试 自控系统 电气设计 工业自动化/机器人 仪器仪表 化工 职位描述： 1、负责PLC DCS SIS等自动控制系统技术方案确认、系统配置及厂家的选择； 2、负责自动控制系统图纸审核、和系统编程调试； 3、负责自控系统施工中出现的仪表、电控和自控方面的问题解决 4、负责项目运行后的技术支持、维护及系统管理； 任职资格: 1、大专及以上学历，自动化、电气、电子工程、机电一体化等相关专业； 2、二年以上的工业自控的工作背景，熟悉自控系统软、硬件，熟悉自控系统的控制方式、项目实施经验等优先考虑； 3、能熟练使用 AUTOCAD 绘图软件和OFFICE办公软件； 职位福利：包住、通讯补助、带薪年假、员工旅游、每年多次调薪、绩效奖金 工作地点 海勃湾区乌海世杰环保设备-北门对面内蒙古富邦蒙仪科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"PLC程序设计,控制柜设计,DSP开发,变频器调试,现场调试,安装调试,自控系统,电气设计",http://www.zhaopin.com/jobdetail/CC344725510J40451715205.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
雷达软件开发实习生(C++/Qt),南京起拓科技有限公司,150-200元/天,南京·浦口·顶山,南京,本科,经验不限,5月20日,zhilian_direct,职位描述 可转正 实习证明 C++ Qt QT开发 Linux开发 英文水平优秀 NET 通信/网络设备 欢迎加入南京起拓科技有限公司！我们是一家充满激情与创新精神的科技企业，采用开放、高效的西式管理模式。如果你不甘平凡、热爱挑战、渴望快速成长，这里有一群志同道合的伙伴与你一起探索技术、共创未来！ 本次招聘主要面向可线下面试及到岗的实习生，工作地点为南京。 招聘对象为具备C++/Qt 应用层软件 的开发经验，技术方向为PC客户端/Windows桌面应用开发，非单片机、嵌入式或硬件驱动开发方向。 【工作职责】 负责雷达产品Windows客户端显示控制软件的开发、测试及配套技术文档编写； 参与核心数据处理模块的设计、实现与优化，完成相应模块文档； 协助信号处理算法的工程化实现与调试，完成算法测试及总结报告； 参与项目联调与软硬件测试环境搭建，分析和解决开发过程中的技术问题； 编写和完善开发文档、用户手册等技术支持材料； 协助完成产品售后支持与维护工作； 完成团队交办的其他开发相关任务。 【任职要求】 本科及以上学历，计算机、电子、通信、自动化、数学等相关专业，应届毕业生优先； 熟练掌握C/C++语言，具备良好的编程习惯，有课程设计、项目开发或实习经验者佳； 有QT或其它GUI框架（如MFC/.NET）的实际项目或实际经验； 具备扎实的计算机基础，熟悉数据结构、操作系统、编译原理等核心课程； 具备较强的学习能力与问题解决能力，认真细致，积极主动，具有良好的团队协作意识； 能接受外场测试及调试工作。 【加分项】 了解雷达基本原理或信号处理流程； 有FPGA/DSP开发或算法实现经验； 掌握Android界面开发或跨平台开发能力； 熟悉目标跟踪、分类等算法优先。 【实习与转正】 实习期要求5-6个月以上，表现优异者可转正。 【我们提供】 有竞争力的绩效奖金 & 转正机会 弹性工作制，扁平化管理 创业团队氛围，技术成长迅速 轻松活泼、开放协作的企业文化 欢迎敢于创新、热爱技术的你投递简历，和我们一起打造卓越的产品！ 工作地点 南京浦口区景枫乐创中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Qt,QT开发,Linux开发,英文水平优秀,NET",http://www.zhaopin.com/jobdetail/CCL1284315760J40783444311.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
初级软件开发工程师,深圳市智茂实业有限公司,5000-6000元,深圳·福田·沙头,深圳,大专,经验不限,7月8日,zhilian_direct,职位描述 32位单片机 DSP C语言 C++ 半导体/芯片 通信/网络设备 物联网 1. 熟练掌握C/C++编程语言。 2. 熟悉嵌入式平台（如ARM、DSP、STM32）及外设接口（UART/SPI/I2C/USB等等）。 3. 英语四级以上，能阅读技术文档。 4. 学习能力强，有电子产品竞赛或实习项目经验者优先；了解RTOS（如FreeRTOS）或Linux平台者优先。 5. 此职位招聘：电子、通讯、计算机、数学、物理专业的应届毕业生。 附：我司现有产品说明：数码相机类、BLDC电机类等等产品。 工作地点 深圳福田区泰然四路天安数码城 天安数码时代大厦 A座 2116室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"32位单片机,DSP,C语言,C++",http://www.zhaopin.com/jobdetail/CCL1429477180J40879408205.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
fpga工程师/讲师，硬件设计工程师/讲师，嵌入式硬件设计工程师/讲师,中科华积电(郑州)科技有限公司,200-250元/天,郑州·中原·石佛,郑州,本科,经验不限,7月24日,zhilian_direct,岗位职责】 1. 负责FPGA系统的开发工作 2. 能够根据课程大纲进行备课、讲课 【岗位要求】 1. 电子、通信、计算机等相关专业； 2. 有过FPGA项目经验； 3. 熟练掌握Verilog/VHDL等硬件描述语言； 4. 熟悉Xilinx/Altera等主流FPGA芯片及其开发工具； 5. 具备较好的语言表达和沟通能力 6. 对教育培训和授课感兴趣，愿意和学生沟通交流 7. 有责任心，有耐心，能接受出差 二、硬件设计工程师/嵌入式硬件工程师/讲师： 【岗位职责】 1. 负责硬件原理图设计，电路分析仿真，PCB layout 指导，焊接指导； 2. 能够根据课程大纲进行备课、授课 【岗位要求】 1. 电子、集成电路、计算机、通信或自动化相关专业； 2. 有过硬件项目经验； 3. 熟悉模拟电路设计，包括开关电源、LDO、运算放大器等； 4. 熟悉MCU/FPGA/SOC/DSP等小系统 5. 熟练使用常见测试设备，包括示波器、频谱分析仪、网络分析仪等； 6. 具备较好的语言表达和沟通能力 7. 对教育培训和授课感兴趣，愿意和学生沟通交流 8. 有责任心，有耐心，能接受出差 9.会有免费培训】 【您能获得】 1. 每天不低于200元的课时费 2. 提供研究院项目学习资料 3. 提供研究院实习证明 4. 表现优秀有转正机会 【公司实力】 郑州中科集成电路与系统应用研究院由郑州市人民政府批准成立，是由郑州高新技术产业开发区管理委员会举办的事业法人单位。研究院坚持以“企业为主体，市场为导向、自主技术为核心、促进产业化为主线”，构建“政、产、学、研、用、金”六位一体的开放创新平台，建立政府支持、产学研结合、市场化运作的新型研发机构，在前瞻性技术研究、科技成果转化、重大项目攻关、科技人才培养等方面展开紧密合作，努力构建郑州市高端芯片创新研发和产业化集群高地，推动中原城市群集成电路及相关信息产业发展。 中科华积电科技有限公司是中科集成电路与系统应用研究院旗下集成电路人才培养公共服务平台运营单位，是一家集半导体产品开发、集成电路设计外包、行业投资等为一体的新型产教融合型科技企业。依托研究院核心研发团队，自主开发了一套集成电路产教融合体系，形成了集科技研发、实习实训、人才培养、创新创业为一体的综合集成电路平台。 工作地点 中原区河南省郑州市高新区长椿路6号西美大厦A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"FPGA,PCB,嵌入式",http://www.zhaopin.com/jobdetail/CCL1463720460J40951994208.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
嵌入式开发工程师,迪佳特能源科技(杭州)有限公司,6000-12000元,保定·涿州·刁窝,保定,本科,经验不限,7月21日,zhilian_direct,岗位职责 1. 负责公司核心产品（地震勘探节点仪器及相关硬件设备）的嵌入式固件全流程开发，涵盖底层驱动开发、地震信号采集、数据预处理、通信协议栈搭建与优化等核心工作。 2. 针对地震勘探场景的特殊性，优化微弱地震信号采集算法、噪声抑制方案、滤波及相位补偿技术，保障信号采集的高精度、低失真。 3. 负责固件的低功耗设计与电源管理优化，提升产品在高温、低温、高湿度等极端环境下的运行稳定性和可靠性，以及续航能力。 4. 协同硬件研发团队完成产品调试工作，精准定位软硬件协同过程中的问题，高效完成适配调试，支持SPI/I2C/UART/CAN等通信接口、GPS/北斗定位模块、无线传输模块。 5. 负责专用数据通信协议的设计与实现，完成产品自校准、自检、断点续传等功能开发，确保产品兼容行业相关标准。 6. 编写固件开发文档、测试文档、用户手册等相关资料，负责固件版本管理、迭代优化，及时解决产品量产阶段及现场应用中的固件相关问题。 四、任职要求 1. 学历与专业：本科及以上学历，电子信息工程、自动化、计算机科学与技术、应用地球物理等相关专业。 2. 专业技能：精通C语言编程，熟练掌握中断管理、内存管理、指针操作等核心知识点；熟悉ARM/STM32/DSP等主流芯片架构，熟练使用Keil/IAR/GCC等开发工具，具备独立完成固件开发的能力。 3. 硬件与算法：能够独立开发ADC、SPI、I2C等常用外设驱动；掌握高精度信号采集、滤波、放大等相关算法。 4. 调试能力：具备硬件读图能力，能够熟练使用示波器、逻辑分析仪等测试设备，独立完成固件调试、故障定位与排查工作。 5. 开发经验：熟悉RTOS或裸机开发流程，有工业设备、野外环境设备固件开发经验者优先。 6. 加分项： l 有地震勘探仪器、MEMS传感器相关固件开发经验； l 熟悉GPS/北斗定位模块、LoRa/4G等无线传输技术的固件开发； l 了解SEG-Y和SEG-D地震数据格式标准； l 了解信号抗干扰设计相关技术； l 具备FPGA开发、高速数据传输相关经验。 7. 软素质：工作严谨负责，具备较强的抗压能力；善于团队协作，具备良好的沟通协调能力；热爱技术钻研，有强烈的学习意愿和创新意识。 五、福利待遇 1. 薪酬激励：提供行业内有竞争力的薪资待遇，包括基本工资+绩效工资+项目奖金+年终奖金，核心技术人才可享受股权激励，实现个人与公司共同成长。 2. 基础保障：缴纳五险一金，提供带薪年假，法定节假日正常休假。 3. 福利保障：节日福利（春节、中秋等）。 4. 职业发展：提供完善的技术培训、学术交流机会，助力员工提升专业技能；搭建技术、管理双通道晋升体系。 六、其他 邮件主题格式：嵌入式开发工程师 - 姓名 工作地点 保定涿州市涿州中关村和谷创新产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,32位单片机,汇编语言,应用地球物理专业背景",http://www.zhaopin.com/jobdetail/CCL1526221450J40894296013.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
单片机软件工程师,昆山歆轩电子有限公司,8000-12000元,苏州·昆山·花桥,苏州,大专,经验不限,3月14日,zhilian_direct,职位描述 电子 芯片 单片机 电子设备制造 电子技术或计算机相同科系大专以上学历﹔ 2﹑熟悉C、C++和汇编语言，有基本的软﹑硬件知识﹔ 3﹑了解单片机和PC机，了解面向对象编程技术，熟悉PPP﹑TCP/IP网络协议或DSP编程﹔ 4﹑从事单芯片消费性产品开发，有独立完成过课题或项目之经验者为佳﹔ 5﹑良好的英语阅读能力，基本英语会话能力﹔ 6﹑具有合作精神和创新精神。 工作地点 江苏省苏州市昆山市花安路169号中寰广场办公楼935室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电子,芯片,单片机",http://www.zhaopin.com/jobdetail/CC512107030J40541957811.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
嵌入式助理工程师,成都大奇鹰科技有限公司,5000-6000元·13薪,成都·温江·天府,成都,本科,经验不限,7月6日,zhilian_direct,职位描述 32位单片机 C语言 1、基本要求 电子科学与技术、电子信息、自动化、测控等相关专业本科以上学历； 工作经验：熟悉开发流程； 良好的电子电路分析能力； 熟练掌握原理图与PCB设计工具；良好的沟通和团队协作能力。 2、工作内容要求 协助编写嵌入式系统硬件总体方案和详细方案，进行硬件选型（单片机、DSP或者其他处理器）及系统分析； 协助负责硬件详细设计及实现，包含原理设计、PCB layout、硬件调试； 参与系统移植以及驱动的开发调试； 编写产品技术说明书； 负责对客户的技术支持。 工作地点 温江区成都大奇鹰科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"32位单片机,C语言",http://www.zhaopin.com/jobdetail/CC677282020J40994076502.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
储能DSP固件工程师(RD50),浙江宇视科技有限公司,1.2-1.7万,杭州·滨江·西兴,杭州,本科,经验不限,6月2日,zhilian_direct,岗位职责: 1、负责储能逆变器软件设计、开发、维护及系统调试； 2、负责储能逆变器软件系统设计和相关文档编写； 3、理解并实现业务功能需求，开展集成测试，协助系统测试； 任职资格: 1、1-2年以上DSP系统的实际项目开发经验，有储能、逆变器、UPS开发经验优先；实习生需电力电子相关专业，可实习6个月以上； 2、熟练应用TI C2000系列芯片，熟练应用各种外设（SCI，SPI，IIC，CAN等），熟练掌握电力电子相关电路拓扑（H6桥，三电平T型，BuckBoost，LLC等）原理及其控制算法； 3、熟练应用MATLAB/PSIM等仿真软件做环路设计及系统仿真、熟练掌握Bode图及环路设计； 4、熟练掌握SOGI、MPPT、GFCI、多机并联等算法； 5、具备良好的团队意识，善于团队协作，善于沟通，积极主动； 工作地点 杭州滨江区宇视科技(总部) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C语言,电路拓扑,SPI,SCI,DSP,储能,逆变器,UPS,C++",http://www.zhaopin.com/jobdetail/CC451534410J40866790614.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
FPGA/DSP工程师,北方车辆仪表,8000-16000元,新乡·洪门镇,新乡,本科,经验不限,7月26日,zhilian_direct,"职位描述 嵌入式 Linux 嵌入式操作系统 系统集成 仪器仪表 电子设备制造 新能源/燃油车零部件 任职要求： 1、本科及以上学历，计算机、软件工程等相关专业； 2、英语四级以上； 3、具有创新意识和钻研精神，较强的分析判断能力； 4、掌握C/C++yuyan ,具备一定的编程能力； 5、掌握FPGA/DSP嵌入式软件开发流程； 6、熟悉linux操作系统下软件开发流程。 职位福利：绩效奖金、餐补、房补、免费班车、员工旅游、节日福利、六险一金 工作地点 新乡市红旗区科隆大道1069号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","嵌入式,Linux,嵌入式操作系统,系统集成",http://www.zhaopin.com/jobdetail/CC229639125J90250116000.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
嵌入式软件开发工程师【26应届生】,辰创科技,6000-12000元,成都·金牛·金泉,成都,本科,经验不限,7月8日,zhilian_direct,岗位职责】 1.负责相控阵雷达嵌入式底层 / 驱动 / 业务软件开发，含主控、信号处理、数据处理、显控、任务调度等模块。 2.基于RTOS/Linux完成雷达控制：波束调度、T/R 组件控制、通道校正、时序同步、状态监控、故障诊断。 3.实现雷达数据交互：与 FPGA、DSP、上位机、终端通信（串口、CAN、以太网、PCIe、SRIO、UDP/TCP）。 4.负责需求分析、架构设计、编码实现、单元测试、集成测试、外场联调、问题定位与闭环。 5.编写软件文档：概要 / 详细设计、测试报告、定型文档、版本管理与配置管理。 6.配合系统、射频、FPGA、结构完成整机联试、环境试验与可靠性验证。 【任职要求】 1.学历专业：电子信息、通信、自动化、计算机、软件工程等相关专业，本科及以上。 3.专业技能： 1)熟练使用 C/C++ 进行嵌入式开发，熟悉多任务、中断、定时器、内存管理。 2)熟悉 RTOS（FreeRTOS/RT-Thread/VxWorks） 或 嵌入式 Linux 驱动与应用开发。 3)熟悉常见接口：UART、CAN、Ethernet、PCIe、I2C/SPI、GPIO。 4.了解相控阵雷达基本原理：波束控制、同步、校正、雷达工作流程优先。 5.工具能力：熟练使用 Keil、IAR、GCC、Makefile、Git、VSCode、调试器 / 示波器等。 6.综合素质：能承担外场试验与出差，严谨细致，沟通协作强，问题解决能力突出。 工作地点 领先时代成都市金牛区兴科中路3号5栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Python,http://www.zhaopin.com/jobdetail/CC478103130J40863134707.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
嵌入式软件工程师（水声）,浙江宏盛海洋科技有限公司,8000-13000元,杭州·余杭·五常,杭州,本科,经验不限,7月13日,zhilian_direct,岗位职责 1. 负责基于单片机、DSP、ARM、STM32、国产MCU（GD32等）等主流平台的嵌入式软件架构设计、代码开发、单元测试与全流程调试，覆盖产品从需求调研、方案设计到量产交付、运维迭代的全生命周期研发工作。 2. 深度参与产品需求分析、技术可行性论证与方案评审，独立完成DSP/MCU软件模块、Qt上位机模块的详细设计方案、开发文档与测试用例编写，保障研发流程规范化、可追溯性。 3. 攻坚嵌入式程序在实时响应、长期运行稳定性、低功耗控制、运算效率等维度的核心技术瓶颈，负责FFT、数字滤波、谱分析等数字信号处理算法的TI DSP平台移植、代码优化、性能调优与工程落地，基于MATLAB完成算法仿真、建模验证与业务数据处理，通过多种优化方式持续提升软件性能。 4. 负责基于Qt、Visual Studio的上位机软件开发、功能迭代与调试，完成设备数据交互、界面开发、数据可视化与指令控制功能，保障上下位机通信稳定可靠。 5. 协同硬件工程师、算法工程师完成产品软硬件联调、集成测试与问题定位，高效解决DSP/MCU/上位机协同过程中的各类技术难点，保障产品研发进度与交付质量。 6. 负责已量产产品嵌入式软件、上位机软件的迭代升级与缺陷修复，快速响应并闭环解决客户反馈的技术问题，提供全流程专业技术支持。 二、硬性任职要求 - 本科及以上学历，电子工程、自动化、计算机科学与技术、通信工程、水声工程、信号与信息处理等相关专业，学历信息学信网可查。 - 熟练掌握C/C++编程语言，具备扎实的嵌入式编程功底，精通数据结构、常用算法与软件工程规范，具备良好的代码编写习惯与文档输出能力。 - 具备独立的嵌入式软件全流程开发能力，能独立完成需求拆解、方案设计、编码调试与问题闭环；精通数字信号处理基础理论，熟练掌握常用信号处理算法的工程落地方法，熟悉DSP平台（含TI系列C2000/C5000/C6000等）开发。 - 精通STM32系列MCU开发，熟悉GD32等国产MCU平台开发与国产化适配，具备独立的MCU软件开发、驱动调试与软硬件联调能力。 - 熟练使用Qt进行上位机软件开发，具备Visual Studio开发经验，能够独立完成上下位机通信、界面开发、数据处理等功能的设计与实现；熟练使用MATLAB完成算法仿真、建模验证与数据处理工作，具备算法从仿真到嵌入式平台落地的全流程能力。 - 具备良好的逻辑思维、问题分析与故障排查能力，优秀的跨部门沟通协作能力、强烈的责任心与项目闭环意识，能适配项目节奏承受合理的工作压力。 - 具备良好的英语听说读写能力，英语必须过四级，能够熟练阅读英文芯片手册、技术文档与算法文献，独立完成开发、调试与技术预研工作。 三、优先加分项 1. 有水声/声呐信号处理相关专业背景或商用项目经验，精通水声信号处理算法、FFT、数字滤波等常用信号处理算法与工程落地者优先。 2. 有工业控制、信号处理、高端装备等领域国产化嵌入式产品全流程开发、调试与量产交付经验者优先。 3. 有FreeRTOS、RT-Thread等嵌入式实时操作系统的开发、移植、裁剪与优化经验者优先。 4. 有ARM Cortex-M/R/A系列平台开发、底层驱动调试、多处理器协同开发经验者优先。 工作地点 余杭区杭州未来研创园鸿雁园3号楼310 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"STM32,ARM,DSP,C语言,嵌入式/单片机开发经验,英语CET-4及以上,适应海上环境及出差",http://www.zhaopin.com/jobdetail/CCL1512972180J40920299912.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
FPGA软件工程师,麦格米特,1.5-3万,长沙·长沙·榔梨,长沙,硕士,经验不限,7月24日,zhilian_direct,岗位职责: 1、电源相关FPGA程序编写、模块设计与调试； 2、配合其他软件工程师和硬件工程师进行系统联调，解决调试过程中的问题； 3、负责编写开发过程中各种技术文档； 4、完成上级交办的其他任务。 任职资格: 1、硕士及以上学历或者985/211院校本科，电力电子、电气自动化等相关专业； 2、能熟练使用Verilog编写并调试复杂FPGA程序；同时熟悉DSP或其他MCU者优先； 3、工作责任感强，具备较好的钻研精神，团队合作性强，有良好的沟通表达和解决问题的能力； 4、熟悉开关电源相关拓扑、调制及控制方式；具备电源行业相关岗位经验者优先。 工作地点 湖南省长沙市长沙县19梨街道红树坡路76号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,半导体/芯片,http://www.zhaopin.com/jobdetail/CC154405010J40858759205.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
FPGA开发工程师,广东国天时空科技有限公司,8000-15000元·13薪,佛山·南海·桂城,佛山,本科,经验不限,7月21日,zhilian_direct,岗位职责： 1.负责FPGA需求分析、方案设计、代码编写、算法移植、功能仿真验证、维护等工作； 2.分析并解决开发过程中的问题，优化FPGA资源及时序，提高系统性能； 3.参与FPGA与DSP/ARM及硬件外设的联合调试； 4.协助制定测试计划，配合完成最终测试； 5.负责技术文档编写。 任职要求： 1.本科及以上学历；电子、通信、自动化、计算机等相关专业，经验不限； 2.熟悉Verilog/VHDL语言，掌握一种以上的开发环境的使用；熟练使用Matlab者优先； 3.熟练掌握数字电路原理，有高速信号处理、通信协议栈或信号处理项目经历者优先； 4.具有国产FPGA芯⽚开发/调试相关经验者优先； 5.具备良好的逻辑思维与问题解决能力，工作严谨负责，能适应项目节点压力。 工作地点 佛山市-南海区-深海路17号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Verilog HDL,VHDL",http://www.zhaopin.com/jobdetail/CC883642570J40876316310.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
FPGA开发工程师（双休）,软通动力信息技术(集团)股份有限公司,1-1.5万,东莞·大朗镇,东莞,本科,1-3年,7月10日,zhilian_direct,职位描述 C++ C语言 面试需要手写代码 主要从事数据中心能源、通信能源、服务器电源、充电电源等电源产品及解决方案的FPGA逻辑架构设计、特性设计、代码实现到维护等开发各个环节业务交付；负责FPGA相关问题的定位和解决；负责FPGA模块性能优化和竞争力提升。 加分项：通信接口的驱动开发、数据处理（滤波）做过电源项目，语言要求会：Verilog 岗位要求 1、计算机、电力电子、通信、自动化等相关专业，有良好的英文读写能力； 2、熟悉数字电路、数字信号处理基础知识； 3、熟悉FPGA逻辑开发流程，具备一个及以上大型实际FPGA项目经验，独立承担过关键子模块的开发工作； 4、熟练掌握Verilog编程语言，熟悉FPGA逻辑开发工具的使用，熟练常见IP核的使用，了解FPGA芯片器件特性； 5、熟悉DSP、stm32、ARM等嵌入式处理器，熟悉SPI、CAN、UART、IIC、Modbus、TCP/IP等通信协议； 6、有电源相关产品开发调测和开发经验者优先。 工作地点 东莞松山湖天安云谷 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C语言",http://www.zhaopin.com/jobdetail/CC000544460J40829830016.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
嵌入式软件研发工程师,山东国信电力科技有限公司,1-2万,济南·市中·十六里河,济南,本科,经验不限,6月4日,zhilian_direct,职位描述 嵌入式 C++ ARM 单片机 芯片 1.精通C/C++编程语言，熟悉常用算法和数据结构； 2、了解ARM、DSP等芯片架构，熟悉ARM、DSP等应用开发环境 3、熟悉嵌入式软件的开发流程，具有软件可靠性设计、可移植性设计相关知识 4、具有电力产品算法、规约、人机交互等软件模块开发经验者优先 5、大学本科及以上学历电子、电气、计算机、自动化及相关专业 福利待遇： 1.弹性工作制、优于国家法定节假日等； 2.五险一金，交通补助、通讯补助、出差补助 3.节日福利（中秋节、春节等）、带薪年假、集体旅游、定期年度体检 职位福利：五险一金、交通补助、公司食堂、通讯补助、带薪年假、节日福利、加班补助、弹性工作 工作地点 济南市中区万寿路139号山东国信电力科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"嵌入式,C++,ARM,单片机,芯片",http://www.zhaopin.com/jobdetail/CC120782630J40857772814.htm?refcode=4019&srccode=401901&preactionid=5e40c8cc-5091-4443-8be9-b8a80d63391e
