job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI全栈工程师,交铁安全应急工程技术中心(成都)有限公司,1.4-1.8万,成都·金牛·天回镇,成都,本科,3-5年,7月26日,zhilian_direct,岗位职责】 1. 使用Cursor / GitHub Copilot等AI工具完成全栈功能开发，包括前端页面、后端接口、数据库设计 2. 全程通过自然语言描述需求驱动AI生成代码，不手动编写代码 3. 将需求拆解为AI可执行的子任务，编写清晰的提示词，逐步驱动AI完成开发 4. 审查AI生成的代码，发现并纠正逻辑错误和安全风险 5. 与产品、设计协作，将业务需求转化为技术方案并交付 6. 持续关注AI编程工具更新，尝试新工具和新方法 【任职要求】 必须条件： 1. 日常开发中AI工具使用率90%以上，熟练使用Cursor和GitHub Copilot 2. 前端：React或Vue（掌握一种即可），HTML/CSS/JS基础扎实 3. 后端：Node.js或Python（掌握一种即可），了解RESTful API 4. 数据库：MySQL或PostgreSQL基本操作 5. 能看懂AI生成的代码，能判断对错、发现明显错误 6. 熟悉Git基本操作（clone/commit/push/merge） 7. 1年以上开发经验（正式工作年限），6个月以上AI辅助开发经验 8. 大专及以上学历，计算机相关专业（非科班有作品者同样欢迎） 加分项： - 了解Claude Code / Windsurf / v0 等新型AI工具 - 有用AI工具独立完成的全栈项目作品 - 了解TypeScript / Next.js / Tailwind CSS - 了解Docker / Vercel / GitHub Actions - GitHub有活跃记录，或在掘金/B站分享过AI编程实践 - 应届生或转行开发者，只要AI编程能力强，年限不是问题 工作地点 金牛区交铁安全应急工程技术中心(成都)有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,技术服务,http://www.zhaopin.com/jobdetail/CC880679620J40866749407.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
java全栈工程师,深圳市科南数字信息技术有限公司,1.3-1.6万,深圳·龙岗·平湖,深圳,大专,5-10年,7月26日,zhilian_direct,职位描述 Java Vue 任职要求 5年以上 Java 全栈开发经验； 后端能力： 精通 Java 语言，深入理解 JVM、多线程、集合等核心机制； 熟练掌握 Spring Boot、Spring Cloud、MyBatis/Hibernate 等主流框架； 熟悉分布式系统设计，了解消息队列（Kafka/RabbitMQ）、缓存（Redis）、配置中心等中间件； 前端能力： 熟练掌握 HTML5、CSS3、JavaScript（ES6+）； 至少精通 Vue 或 React 之一，具备组件化开发和状态管理经验； 有 Three.js、WebGL 或 3D 可视化项目经验者优先； 数据库与运维： 熟悉 MySQL、PostgreSQL 等关系型数据库，能编写高效 SQL 及存储过程； 了解 Linux 环境、Docker 容器化及 CI/CD 流程； 具备良好的系统架构思维、API 设计能力及代码规范意识，有大型全栈项目落地经验； 工作地点 深圳龙岗区创投大厦1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,Vue",http://www.zhaopin.com/jobdetail/CCL1463222990J40780731106.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
java全栈工程师,内蒙古正源实业集团有限公司,8000-13000元,鄂尔多斯·伊金霍洛旗·阿勒腾席热镇,鄂尔多斯,本科,3-5年,7月26日,zhilian_direct,职位描述 货运物流 一、岗位基本信息 1.岗位名称：java全栈开发工程师 2.汇报对象：技术中心总监 3.下属部门：开发部 4.岗位级别：普通员工 5.工作地点：鄂尔多斯-伊金霍洛旗 6.核心使命：从数据库设计、后端API开发，到前端页面交互实现，能独立完成一个完整功能模块的开发与自测。确保前后端数据流转顺畅、安全，并针对全链路（从浏览器请求到数据库响应）进行性能分析与瓶颈优化。 二、核心工作职责（四大板块） （一） 后端开发核心职责（Java生态主导） 1. 业务逻辑实现：基于Spring Boot/Spring Cloud框架，编写高内聚、低耦合的服务端代码，实现业务需求。 2. API设计与集成：设计RESTful API，定义清晰的请求/响应契约；集成第三方服务（如支付、短信、OAuth认证）。 3. 数据层处理：设计MySQL/PostgreSQL表结构及索引；编写复杂SQL及优化；使用MyBatis-Plus或JPA进行数据持久化；利用Redis进行缓存、分布式锁或会话管理。 4.中间件应用：使用RabbitMQ/Kafka处理异步任务（如日志、通知）；使用Elasticsearch处理搜索业务。 5. 安全与权限：实现Spring Security或Shiro进行认证授权；防范SQL注入、XSS、CSRF等常见攻击。 （二）前端开发核心职责（常见技术栈：Vue/uniapp/微信小程序） 1. 界面与交互：基于Vue3 + Element Plus/Ant Design等组件库开发响应式页面；实现路由、状态管理（Pinia/Redux）、表单校验、数据可视化（ECharts）。2. 前后端协作：封装Axios/Fetch请求拦截器；处理异步数据流、错误码统一提示；管理前端环境变量（开发/测试/生产）。3. 构建与规范：配置Webpack/Vite；编写可复用的通用组件；遵循ESLint + Prettier代码规范。 三、任职要求 （一）硬性条件 1.学历：985/211本科学历级以上 2.经验：3到5年java全栈开发经验 3.行业认知：熟悉煤炭贸易、新能源重卡、车货匹配业务、项目制运输服务 （二）核心能力 1.语言基础：扎实的Java基础（集合、多线程、IO、异常处理、泛型、反射）;精通 HTML5/CSS3/JavaScript (ES6+)，理解浏览器渲染原理、事件循环、闭包、原型链。 2.主流框架：精通 Spring Boot（自动配置、Starter、Actuator）、Spring MVC、MyBatis-Plus，有 Spring Cloud 微服务经验（如Nacos、Gateway、OpenFeign）者优先;熟练掌握 Vue2/Vue3（Router、Pinia/Vuex、Composition API） 3.数据库：熟练使用 MySQL/PostgreSQL，掌握索引优化、SQL执行计划分析、事务隔离级别及锁机制。具备数据库设计能力（范式、分表分库设计原则）。 4.版本控制：熟练使用 Git（分支策略、冲突解决、rebase），熟悉Git Flow或Trunk Based开发流程。 5.服务器与代理：熟悉 Linux 常用命令（文件、进程、网络），能配置 Nginx（反向代理、负载均衡、静态资源部署）。了解 SSL证书 配置及HTTPS原理。6.AI辅助开发：有AI辅助开发经验，熟悉AI开发中各种问的解决办法 （三）加分优先项 1.移动端开发：Uni-app / Flutter / 微信小程序开发经验。 2.有云原生经验：使用过阿里云/腾讯云/AWS（ECS、RDS、OSS、SLB）。 四、薪酬福利 1.月薪：10k - 20k（基薪 + 绩效 + 年终奖） 2.长期激励：开发目标绑定 工作地点 伊金霍洛旗鄂尔多斯国泰商务广场-T4 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,货运物流,http://www.zhaopin.com/jobdetail/CCL1488678740J40770688506.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
数字员工全栈工程师（AI Agent方向）,米阳科技集团股份有限公司,2.5-5万,杭州·拱墅·上塘,杭州,本科,5-10年,7月26日,zhilian_direct,职位描述 AI研发工程师 汇报对象：董事长 工作地点：远程 / 混合办公（需定期参加协同会议） 上班时间：9:00-18:00 周末双休 法定节假日正常 我们正在做 用AI Agent重新定义企业运作——创造能独立承担角色、协作进化的数字员工，让人类与他们高效共事。这是一场组织变革，你是核心构建者。 你的职责 - 设计并实现数字员工（采购、调度、财务等角色），赋予长期记忆、工具调用、规划与协作能力 - 重塑业务流程，打造人机协同模式（委托→自主执行→关键节点请示/异常升级） - 全栈工程落地：Agent中台（注册/记忆/调度/可观测）+ 工作台（监控与干预）+ 遗留系统集成 - 建立KPI体系，持续优化Agent，推动组织试点与推广 任职要求 - 5年以上全栈经验，2年以上AI Agent项目经验；React/Vue+TS & Python/Go；熟悉向量库、MQ、Docker/K8s - 深刻理解自主Agent架构（规划-执行-反思、长期记忆、MCP工具调用），有实际角色型Agent落地（如Smolagents/PydanticAI/Letta/OpenClaw） - 能快速吃透供应链/车队/财务等某一领域业务，将隐性知识转为Agent逻辑；独立完成Agent全生命周期（分析→设计→实现→交付） - 工程效率极高：借助Cursor+Claude等AI工具，数小时内产出可演示的原型 - 懂人机协同协议、多Agent协作及可观测性实践 加分项 - 从0到1落地数字员工案例 - 参与OpenClaw / ClawHub生态或贡献过Skills - 编写过面向非技术人员的Agent行为规范 - 有管理咨询或流程再造经验 我们提供 - 高层战略支持 + 高价值真实场景（供应链/车队等，ROI可量化） - 技术自由度高，结果导向文化（原型按小时验证，迭代按天推进） - 远程/混合办公，不内卷 - 成长路径：工程师 → 数字员工产品经理 / 组织智能化架构师 工作地点 杭州拱墅区米阳科技集团378号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,AI研发工程师,http://www.zhaopin.com/jobdetail/CCL1222765780J40887118213.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
嵌入式全栈工程师（立臻科技）,诚迈科技股份有限公司,1.5-3万,苏州·昆山·玉山,苏州,本科,5-10年,7月26日,zhilian_direct,"岗位职责： 2.1 BSP/系统 ● ESP-IDF环境搭建与配置 ● FreeRTOS任务调度与内存管理 ● 分区表设计（固件、OTA、用户数据分区） ● 启动时间优化：目标<5秒 ● Secure Boot V2安全启动配置 2.2 驱动开发 ● 麦克风I2S驱动：双通道音频采集 ● Codec驱动：ES8388或同级音频编解码 ● 功放驱动：Class-D功放调试 ● OLED显示驱动：SPI接口，128x128分辨率 ● 4路舵机LEDC驱动：独立PWM控制 ● WiFi/BLE驱动：Station模式+BLE配网 ● 触摸+IMU传感器驱动 2.3 音频处理 ● AEC回声消除：目标增益≥20dB ● 降噪NS：定点化适配ESP32 ● AGC自动增益控制：定点化实现 2.4 语音唤醒 ● TFLite Micro框架集成 ● 唤醒词模型：""你好小立""定制训练 ● INT8量化：模型压缩与优化 ● 唤醒率>90%，误唤醒<2次/24h 2.5 HTTP客户端 ● HTTP/HTTPS请求实现 ● JSON解析与封装 ● TLS/SSL安全通信 ● 与云端B的RESTful API对接 2.6 表情引擎 ● 8个基础表情帧动画 ● CPU渲染：目标≥15fps ● 简易口型同步：根据音频能量驱动 2.7 动作引擎 ● 10个预设动作（点头、摇头、转身等） ● 关键帧插值算法 ● 语音-表情-动作三者同步 2.8 应用层 ● 语音交互Pipeline：唤醒→ASR→LLM→TTS→播放 ● 网络降级策略：预录音频回复 ● 日程/待办/Memo本地版 2.9 OTA升级 ● ESP-IDF OTA机制集成 ● 固件签名验证 ● A/B分区升级机制 2.10 功耗管理 ● 四级功耗状态机 ● Deep-sleep深度睡眠模式 ● 多唤醒源配置（语音、触摸、定时器） ● 目标待机功耗<0.3W 2.11 配合测试 ● 单元测试用例编写与执行 ● 配合甲方测试团队进行Bug修复 职位要求： 3.1 基本条件 ● 学历：本科及以上学历，计算机/电子/通信相关专业 ● 经验：5-8年嵌入式开发经验，至少3年ESP32系列，有1个以上量产项目 3.2 技术能力 ● 核心平台：精通ESP32-S3 + ESP-IDF v5.0 + FreeRTOS，有量产项目经验 ● 全栈能力：能独立完成从BSP到应用层的全部开发，不依赖其他人 ● 音频开发：有ESP32音频（I2S采集+播放+AEC）实际项目经验 ● 端侧AI：有TFLite Micro唤醒模型部署经验，了解模型训练到部署全流程 ● 网络编程：精通ESP32 HTTP客户端开发，JSON解析，RESTful API调用 ● 显示/动作：有OLED驱动+简单动画+舵机控制经验 ● 低功耗：有ESP32 Deep-sleep低功耗设计量产经验 3.3 软技能 ● 加班接受度：能接受短期886高强度工作，有冲刺项目经验 ● 协作能力：能与云端工程师有效沟通，快速定义和迭代接口协议 ● 抗压能力：能在时间紧、任务重的情况下保持高质量产出 工作地点 苏州昆山市立臻科技(昆山)有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C,C++",http://www.zhaopin.com/jobdetail/CC144543200J40957562715.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
java全栈工程师,国子软件,7000-11000元,济南·历城·孙村,济南,本科,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责后端服务系统分析和设计工作，承担核心代码编写； 2、负责系统性能与逻辑的优化、系统功能的改造和升级； 3、对技术难点进行攻关，具备一定的学习研究能力； 4、积极主动与相关方进行高效沟通与合作，善于思考，能够承担压力，保证开发工作目标的达成。 任职要求： 1、本科及以上学历，计算机相关专业，能编写高质量简洁清晰的代码； 2、JAVA基础扎实，深度理解IO、集合等基础框架，熟练掌握各类常用数据结构和相关算法； 3、熟悉主流的开源应用框架，如：spring cloud、SpringBoot、MyBatis等； 4、熟悉消息队列(kafka或者Rocketmq)、缓存(例如redis)及nginx的配置和使用； 5、熟悉Oracle、MySQL等数据库，熟悉数据库优化，SQL调优技术； 6、熟悉常用的项目构建工具及版本管理工具，如Maven、git、SVN等； 7、良好的代码阅读能力及编程习惯； 8、善于思考，主动积极，沟通能力强，有良好的团队精神，能够承担压力。 福利待遇： 1.住房补贴、工龄补贴、年终奖、交通补助、通话补助。 2.入职当月缴纳六险一金。 3.每年四次晋升。 工作地点 济南历城区智造谷产业园1号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,MySQL,Oracle,全栈开发",http://www.zhaopin.com/jobdetail/CC120777260J40829373009.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
AI全栈工程师,北京华夏自强科技有限公司,1.5-1.7万,北京·丰台·丰台街道,北京,本科,5-10年,7月26日,zhilian_direct,岗位职责 1、参与核心业务系统产品从0到1的设计、开发与持续迭代 2、负责需求对接，产品设计，前后端协同开发，推动需求快速落地 3、深度使用AI提升需求分析、设计与研发效率，包括文档编制与代码生成、重构、调试、测试等 4、参与建设 AI 驱动的研发流程与工程规范，探索更高效的协作方式 5、在小团队环境下承担更完整的链路责任，从问题定义到方案落地对结果负责 岗位要求 1、扎实的软件工程基础，具备较强的编码能力与系统设计能力 2、熟悉前后端至少一端，并愿意向全栈方向扩展 3、对 AI Coding、Agent、自动化工作流等方向有兴趣，愿意主动尝试新工具、新方法 4、能够站在用户视角设计并提出产品需求，借助AI工具迅速完成产品功能定义 工作地点 北京丰台区游泳场北路9号院中润佳商务大厦506室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"GoLang,AGENT",http://www.zhaopin.com/jobdetail/CCL1227284420J41001255004.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
全栈工程师,南京泰晟科技实业有限公司,1.5-2万,南京·雨花台·铁心桥,南京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 硬件部份 1、熟悉STM32外围电路 2、熟悉AD画图软件 3、熟悉模电和数电基础知识 4、熟悉打件制板全流程经验 5、会使用电烙铁和示波器等常见工具 软件侧技能 任职要求： 1.熟悉C语言(必须) 2.熟悉STM32、GD系列的芯片，了解启动过程，做过工程或者相关的毕业设计(必须) 3.熟悉的基本的通讯接口机及其协议 IIC UART SPI CAN，做过类似的接口的调试工作，会写简单的demo做硬件排障工作(必须) 4.熟悉freertos/ucos/rt-thread操作系统，会其一即可(可选) 5.使用过lwip，对网络编程有一定了解(可选) 6.独立完成过嵌入式软件开发项目（可选） 工作地点 南京市-雨花台区-安德门大街55号南京软件谷洁源金融城A座11-12层A座11楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,C,http://www.zhaopin.com/jobdetail/CC144243300J40910615103.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
全栈工程师,智联招聘,2-3万·14薪,北京·朝阳·望京,北京,本科,3-5年,7月26日,zhilian_direct,职位描述 产业互联网平台 1. **重度 AI 玩家：** 你的日常开发严重依赖 Claude Code、Codex 等。你理解并且善于使用 AI，使用 AI 大幅度提升自己的技术能力边界和开发效率。 2. 扎实的技术能力：能够在脱离 AI 的情况下，根据实际情况独立设计产品技术方案 3. 全栈交付能力：熟悉 TypeScript / Python，能在 AI 工具的辅助下，完成 **Next.js+ FastAPI** 这一套现代极速技术栈。 4. 主动性和学习能力：你对新鲜事物有强烈的渴望，可以快速去学习和实践未知的技术和领域。 5. **扎实的数理/逻辑背景：** 计算机、数学、物理、统计等相关专业背景优先，具备优秀的结构化思维能力。 6. 产品感和解决问题能力：能够在问题定义不清晰、没有完整 PRD 时推进工作。敢于大胆提出假设，设计产品实验并且自己验证结果。 工作地点 北京朝阳区首开广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,产业互联网平台,http://www.zhaopin.com/jobdetail/CCL1501502560J40877339114.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
资深全栈工程师（AI 原生 B2B 平台 / 工程 Owner）,浙江长安仁恒科技股份有限公司上海分公司,2-4万,杭州·余杭·五常,杭州,本科,3-5年,7月26日,zhilian_direct,岗位职责 ### 1. 承接平台架构，建设可持续演进的产品骨架 - 将平台分层设计落地为边界清晰的工程模块与服务契约，包括场景入口、工单服务、业务服务、核心领域、数据与知识、统一网关等。 - 细化、实现和维护领域模型与核心契约，保障版本兼容性和可演进性。 - 确保业务模块通过核心领域层获取完成数据装配和授权的数据，防止客户项目各自形成技术孤岛。 - 在既定架构内完成工程取舍，并基于事实、测试或原型指出设计断层和替代方案。 ### 2. 负责微信小程序与企业微信核心入口 - 使用微信小程序承载业务办理、工单、订单、审批、进度查询等核心场景。 - 使用企业微信承载客户联系、服务群、成员身份、消息与私域协同。 - 负责登录授权、账号绑定、小程序与企微身份映射、客户及客户群关系映射、OAuth、JS-SDK、回调事件和消息链路。 - 处理模板或订阅通知、敏感信息授权、回调幂等、异常兜底、性能优化、版本发布与审核。 - 打通小程序、企业微信、管理工作台、API/BFF、领域对象、权限体系与审计链路。 ### 3. 实现复杂权限与安全边界 - 将业务授权关系转化为可维护的 RBAC、ABAC、ReBAC 或 OpenFGA 等权限模型。 - 支持客户负责人、订单参与人、组织上下级、临时委托、外部联系人等复杂关系授权。 - 落实服务、对象、记录、字段和动作级权限控制。 - 建设权限有效期、撤权、审计和自动化测试机制。 - 贯彻最小权限原则，保障敏感数据、密钥、生产日志和客户数据安全。 ### 4. 建设 Workflow as a Service - 使原子服务、流程服务和 Agent 自主编排共用统一的注册、授权与版本机制。 - 支持人工审批、AI 建议、策略路由、状态持久化、超时处理、流程恢复、灰度、历史回放和版本回退。 - 重点解决业务工单状态与工作流状态的一致性问题。 - 处理状态机、长事务、幂等、重试、Outbox 和可审计写入等工程问题。 ### 5. 构建安全、可控的 AI Agent 能力 - 实现模型调用、工具调用、结构化输出、上下文管理、知识检索和 RAG 等能力。 - 建设 Agent 评估集、质量指标、成本监控、延迟监控和版本管理。 - 对低置信度结果引入人工确认，对模型或工具失败提供降级、回退和完整审计。 - 区分确定性规则和 LLM 语义判断，避免将关键权限、金额和发布决策交给不可控生成。 ### 6. 主持日常研发与工程管理 - 将业务需求拆解为具备 DoR、DoD、唯一 Owner、验收条件和依赖关系的工作项。 - 将目标拆分为 1—3 天可完成、可审查、可验证的工程增量。 - 管理迭代节奏和在制品数量，组织 PR Review，及时处理和升级阻塞。 - 维护从 Issue、PR、测试、部署到验收的可追溯证据链。 - 对日常迭代计划、代码质量、技术完整性和版本真实性承担主要责任。 ### 7. 建设质量体系并守住发布门禁 - 建设分支保护、自动化测试、安全扫描、CI/CD 和多环境发布流程。 - 管理 Preview、Dev、UAT、Production 等环境的晋级标准。 - 制定发布检查单、变更说明、监控方案和回滚预案。 - 保证权限、数据边界和生产风险在发布前被系统化发现。 - 为 UAT 到生产发布准备技术材料、风险判断与实施建议。 ### 8. 带领两名 AI 开发实习生 - 根据能力拆分和分配任务，提供充分上下文、实现边界和验收标准。 - 进行代码、测试和设计 Review，帮助实习生从使用 AI 生成代码进阶到可解释、可测试、可维护的工程交付。 - 不代替实习生完成所有编码，但对最终合并结果负责。 - 推动实习生的 PR 质量、交付稳定性和独立性持续提升。 ### 9. 参与客户现场与产品验证 - 必要时参与 ToB 客户访谈、业务流程梳理、同日 Demo 和 UAT。 - 将口语化需求转换为业务对象、状态、规则、权限和异常场景。 - 区分客户专属参数与平台通用能力，从项目交付中沉淀可复用产品能力。 ## 四、任职要求 ### 1. 全栈交付能力（硬性要求） - 具备完整产品或复杂业务系统的独立交付经验，而非只负责单一页面或单一接口。 - 熟练掌握 TypeScript/JavaScript，能使用 React、Next.js 或同等级前端框架进行前端开发。 - 能使用 Node.js 构建可靠的后端服务，理解 API 设计、错误处理、事务与生产运行要求。 - 熟悉 SQL、关系型数据库建模、索引、迁移、缓存和异步任务。 - 能处理身份认证、授权、审计、文件、消息、第三方接口和生产数据问题。 ### 2. 微信小程序与企业微信经验（重点筛选项） - 具备真实的微信小程序项目开发和上线经验。 - ,全栈工程师,http://www.zhaopin.com/jobdetail/CC875499040J40863823111.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
全栈工程师,南京雨正企业管理咨询有限公司,1.2-2万,南京·浦口·泰山,南京,大专,3-5年,7月26日,zhilian_direct,岗位职责： 1、独立负责公司项目前后端全流程开发，参与产品需求分析、方案设计、功能开发、接口联调及线上问题修复； 2、后端使用 Golang、Python、PHP 进行业务接口开发、逻辑重构、功能迭代，保障服务稳定、高效、可扩展； 3、负责数据库设计与优化，熟练使用 MySQL、PostgreSQL 进行数据存储、索引优化、SQL调优，使用 Redis 实现缓存、热点数据处理，提升系统响应速度； 4、负责服务器环境搭建、项目部署与维护，熟练操作 Linux 服务器、Shell 脚本运维，使用 Docker 完成项目容器化打包、部署、迭代； 5、熟练使用 Git 进行团队代码版本管理、分支管理、代码合并与迭代发布； 6、前端负责页面开发与交互实现，熟练使用 HTML、CSS、ES6+ 语法，通过 axios 完成前后端接口请求、数据对接、页面渲染与功能交互； 7、遵循 RESTful 接口规范，统一前后端接口风格，配合团队完成项目联调、Bug 修复、版本更新与线上运维； 8、持续优化项目架构、代码质量、系统性能，排查线上并发、卡顿、报错、缓存异常等各类问题。 任职要求： 1、大专及以上学历，3年全栈开发经验，能够独立完成前后端开发+服务部署整套工作； 2、熟练掌握 Golang/Python/PHP 至少一门后端语言，有实际项目开发落地经验； 3、熟练掌握 MySQL、PostgreSQL、Redis，懂数据库设计、SQL优化、缓存使用场景； 4、熟练 Linux 基础命令、Shell 简单运维、Docker 容器部署、Git 代码管理； 5、熟练前端基础技术栈：HTML/CSS/ES6+、axios，能独立开发前端页面、对接后端接口； 6、熟悉 RESTful 接口设计规范，懂前后端联调、跨域处理、接口异常处理； 7、具备良好的代码规范、逻辑思维能力，能独排查问题、自主推进项目。 公司业务需求：住江北新区求职者优先考虑，谢谢！ 工作地点 江苏省南京市浦口区泰山街道柳洲社区大桥北路69号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,PHP,Shell,前端开发,后端开发,架构开发,MySQL,Redis,GIT,HTML,CSS",http://www.zhaopin.com/jobdetail/CC360696520J40952620808.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
java全栈工程师,合肥凯捷技术有限公司,2-3万,深圳·龙华·观澜,深圳,本科,3-5年,7月26日,zhilian_direct,职位描述 前端开发 后端开发 架构开发 JavaScript Vue react MySQL Oracle SQL Server 软件/IT服务 互联网医疗 前端要求： 1.具备 Vue 前端项目开发经验。 2.熟悉 JavaScript / HTML / CSS。 3.熟悉组件化开发思想，能够独立拆分页面、抽取子组件。 4.理解高内聚、低耦合的设计原则，并能落地到实际代码结构。 5.有较强的代码规范意识，能按统一风格提交代码。 6.能独立定位并修复常见前端报错、告警、样式问题和交互问题。 7.具备 ECharts 等可视化图表开发经验，熟悉常见图表配置、数据适配及交互联动。 后端要求： 1.熟练在.Net Core平台上使用C#编程语言，掌握Visual Studio和Visual Studio Code工具使用 2.熟练使用Linux操作系统 3.熟悉ASP.NET框架，熟练使用C#编写ASP.NET应用 4.掌握.Net应用性能以及大并发请求调优能力 5.熟悉gPRC架构以及系统集成 6.熟练使用PostgreSQL数据库以及使用EF数据库组件 工作地点 龙华区深圳市天禽医疗科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"前端开发,后端开发,架构开发,JavaScript,Vue,react,MySQL,Oracle,SQL Server",http://www.zhaopin.com/jobdetail/CC143962430J40876809210.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
全栈工程师,软通动力信息技术(集团)股份有限公司,1-1.2万,西安·雁塔·漳浒寨,西安,大专,3-5年,7月26日,zhilian_direct,岗位职责： 负责公司核心业务系统的设计、开发与持续迭代，独立完成前后端功能模块的全链路实现； 基于 Vue.js 框架构建高性能、高可用的前端应用，注重交互体验与代码可维护性，推动前端工程化与性能优化； 使用 Java（Spring Boot/Spring Cloud 等主流框架）开发稳定、可扩展的后端服务，设计并实现高并发、高可用的微服务架构； 参与需求分析、技术方案评审、代码审查与系统调优，保障系统质量和交付效率； 主导或参与项目管理，协调开发、测试、产品等多角色资源，推动项目按时高质量落地； 结合AI技术探索创新场景，参与智能功能的设计与落地，如AI辅助编码、智能问答、内容生成、智能推荐等应用； 注重系统整体美学与工程品位，从架构设计到界面呈现，追求简洁、优雅、可持续演进的系统表达。 任职要求： 计算机相关专业本科及以上学历，3-5年开发经验； 精通 Vue.js 框架（Vue 2/3），熟悉组件化开发、状态管理（Vuex/Pinia）、路由、构建工具（Vite/Webpack），具备良好的前端工程实践能力； 熟练掌握 Java 语言，熟悉 Spring Boot、MyBatis、Redis、RabbitMQ 等主流技术栈，具备扎实的后端开发功底； 具备微服务架构设计与实施经验，熟悉服务注册与发现、配置中心、熔断限流等核心机制； 熟悉 MySQL 等关系型数据库，具备良好的 SQL 编写与性能优化能力； 有实际项目管理或团队协作经验，具备较强的沟通协调能力、抗压能力与责任感； 熟悉 Git 等版本控制工具，了解 CI/CD 流程，具备良好的代码规范和文档撰写习惯； 有大型企业级系统开发经验者优先。 工作地点 雁塔区西安环普产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,Vue,微服务架构",http://www.zhaopin.com/jobdetail/CC000544460J40814722116.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
JAVA全栈工程师（临时）,深圳市中钞科信金融科技有限公司,8000-12000元,成都·双流·怡心,成都,本科,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责公司核心业务系统的前后端开发、优化与维护 2、参与系统重要模块的设计和技术方案编写，研究并应用新技术解决实际问题 3、按照项目计划，完成模块设计、编码实现及技术文档编写，保障项目交付落地 4、对接第三方服务接口，完成系统间的数据交互与集成 岗位要求： 1、计算机相关专业，本科及以上学历，经验不限 2、熟练掌握Java编程语言，熟悉vue.js，掌握核心技术 3、熟悉主流开发框架如SpringBoot、MyBatis 4、熟悉MySQL、Oracle，具备良好的数据库设计、SQL编写与调优能力 5、熟悉Redis、nginx等中间件其中几项，熟练git版本控制 6、具备良好的沟通能力和团队协作精神，能够独立解决问题 7、对交互、体验有一定经验和心得，具备一定的架构理解、设计能力 加分项： 1、有数据可视化开发经验者优先、 2、有工业数据采集、ETL、数据处理等经验者优先 3、有AI编程项目，从需求了解、页面原型、页面编码、到程序落地者优先 4、了解Docker容器化技术，有本地开发或部署经验者优先。 注：本岗位预计用工时期为10-12个月，形式为临时劳务。 工作地点 四川省成都市双流区怡心街道物联东街深圳市中钞科信金融科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"SpringBoot,SQL,GIT",http://www.zhaopin.com/jobdetail/CC228823710J40861085907.htm?refcode=4019&srccode=401903&preactionid=8d017bf4-998d-46bb-b148-00f9046524ca
