job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
售后技术支持工程师,创智恒业(北京)技术开发有限公司,5000-6000元,北京·海淀·上地,北京,大专,1-3年,7月23日,zhilian_direct,岗位职责： 1、帮客户解决使用中遇到的技术难题，确保设备或系统正常运行； 2、有需要时要到客户现场安装调试设备，确保设备的正常运行； 3、‌客户遇到问题时，通过电话指导或现场服务对设备故障进行排查维修并输出测试报告； 4、‌指导客户正确使用设备、日常维护和简单故障处理； ‌5、把客户遇到的常见问题整理汇总，反馈给研发部门推动产品优化； ‌6、按计划定期巡检客户设备，提交巡检报告，保证设备持续稳定运行。‌‌‌ 任职要求： 1、对计算机、通信、网络等相关专业优先； 2、大专及以上学历； 3、具有极强的学习能力和团队协作能力； 4、能快速胜任新的工作，设法解决工作中所遇到的问题； 5、具有一定的技术方案撰写能力； 6、具有较强的语言沟通和表达能力； 7、能接受出差。 工作地点 北京市-海淀区-信息路1号B305 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,售后工程师,http://www.zhaopin.com/jobdetail/CC515380720J41024158104.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持经理/主管,纳谱分析技术(苏州)有限公司,1.5-2万·13薪,苏州·虎丘,苏州,本科,3-5年,7月23日,zhilian_direct,职位描述 仪器仪表 生物/制药 化工 工作内容： 1、售后技术支持 a) 为客户提供液相色谱柱相关的技术支持与问题解决方案； b) 分析客户在使用过程中遇到的各类问题并提出优化建议； c) 处理客户投诉与异常案例，推动问题闭环。 2、客户沟通与关系维护 a) 与客户保持高效沟通，提升客户满意度与信任度； b) 对重点客户进行技术回访与支持； c) 协助销售团队提升客户粘性。 3、技术培训与支持体系建设 a) 为客户及内部销售人员提供液相色谱相关培训； b) 编写技术文档（如FAQ等）； c) 建立和优化售后技术支持流程。 4、参与团队管理 a) 参与技术支持团队的日常管理与能力提升； b) 指导团队成员解决复杂技术问题。 5、跨部门协作 a) 与研发、市场及销售团队协作，反馈客户需求与产品改进建议； b) 参与新产品应用测试与推广支持。 岗位要求： 1、本科及以上学历，化学、分析化学、药学等专业，3-5年液相色谱相关工作经验（应用、技术支持等）； 2、具备扎实的液相色谱理论基础，熟悉生物大分子和小分子的液相色谱分析技术； 3、有液相色谱柱和相关耗材技术支持或客户服务经验者优先； 4、逻辑清晰，具有较强的问题分析能力，能独立分析和解决复杂的色谱问题； 5、优秀的客户沟通与问题处理能力； 6、责任心强，具备良好的服务意识； 7、能适应一定程度的出差。 工作地点 虎丘区苏州纳米城东北区B1区NE37栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"仪器仪表,生物/制药,化工",http://www.zhaopin.com/jobdetail/CC703126880J40791405706.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持（安全，线上面试）,阅动(广东)信息技术有限公司,8000-9000元,北京·东城·和平里,北京,本科,1-3年,7月24日,zhilian_direct,"岗位职责： 1.负责态势感知项目厂站侧链路设备运维，包含vpdn、交换机、防火墙、加密机、网闸、采集器等； 2.负责态势感知厂站侧软件运维，包含操作系统、数据库、应用软件等； 3.负责设备返修发起与上架调试，协调产品维修团队、商务团队处理返修事宜； 4.负责用户故障问题处理、相关技术咨询的解答及培训工作； 岗位要求： 大学本科及以上学历，计算机软件、电子信息、计算机网络等; 1.掌握TCP/IP网络相关理论知识;熟悉等级保护条例、国家网络安全法等相关法规条例及处理能力; 2.熟练掌握 linux系统和基本操作，熟悉至少一种系统RedHat/麒麟/debian，具有Linux系统维护、系统故障定位 3.熟悉TCP/P协议,熟悉抓包工具(wireshark、tcpdump等),备基本的网络常识及问题排查能力; 4.熟悉网络设备，如:交换机、加密机、网闸、防火墙等，具备设备调试能力; 5.具备较强沟通能力，以及很强的工作责任心与职业素养，以公司总体大局观为重， 6.具备HCIA\P\E、CCIE、Linux认证证书者优先。 工作地点 北京东城区中关村雍和航星科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","电气设备,电网,电力,态势感知,网闸",http://www.zhaopin.com/jobdetail/CCL1219453930J40897695613.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持,中微导航技术(西安)有限公司,4000-8000元,西安·未央·三桥,西安,大专,经验不限,7月23日,zhilian_direct,岗位职责 设备测试、数据整理等基础工作； 参与设备现场安装调试，学习产品（农机导航）操作流程； 为客户提供设备技术支持，确保服务质量； 参与技术问题的诊断与解决，提升客户满意度； 任职要求 学历专业：大专或本科在读，电子信息工程、通信工程、测绘工程、地理信息、计算机、自动化等相关专业优先； 技能基础：了解基本的电子电路知识，对硬件设备有兴趣； 熟练使用Office办公软件； 能接受出差； 综合素质： 学习能力强，愿意从基础工作做起； 工作细心，有责任心； 具备良好的技术基础和学习能力； 具备独立解决问题能力； 能够有效沟通，解决技术问题； 积极配合团队工作，具备较强的问题解决能力； 薪资待遇 双休，法定节假日正常休息，五险一金 工作地点 未央区西安沣东自贸产业园二期一号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,机械设备,http://www.zhaopin.com/jobdetail/CCL1336781180J40897636813.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持,沈阳隆基智能技术研究有限公司,4000-5000元,沈阳·浑南·白塔,沈阳,大专,3-5年,7月23日,zhilian_direct,岗位职责： 1、负责公司仪表调试； 2、负责自动化调试； 3、沟通明确客户诉求，调动公司资源，解决售后问题； 4、根据现场使用情况，对设备提出改进意见和需求，供研发部门完善设备。 任职资格： 1、专科及其以上学历，机械、自动化、测控、电气自动化、仪表、选矿等理工类专业；（有多年工作经验对于学历及经验可放宽松） 2、具有3-5年工作经验， 3、吃苦耐劳，有一定的抗压能力； 4、善于沟通，有一定的组织能力； 5、售后以出差工作为主，不会长期驻场 本岗位出差，以及需要偶尔在总部厂区（沈抚厂区工作，可当天往返，公司派车） 五险一金入职缴纳，双休，各类补贴 工作地点 浑南区沈阳国际软件园F8B10 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机械设备,机电设备,自动化设备",http://www.zhaopin.com/jobdetail/CCL1318125500J40870860713.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售前售后技术支持,介可视(北京)机电技术有限公司,5000-10000元,北京·通州·九棵树,北京,大专,1-3年,7月24日,zhilian_direct,职位描述 机电专业优先 技能要求： 售后服务 1.负责售前的技术咨询及现场技术交流； 2.协助销售部门为用户提供合理解决方案并整理汇总； 3.协助用户进行安装调试工作，撰写应用案例等技术性文章； 4.处理客户仪表在使用过程中的问题； 5.为客户或者代理商销售提供产品知识及相关培训； 任职要求： 熟悉成套仪器仪表产品、自动化控制产品并具有相关领域2年以上工作经验，机械或者电子专业，会电脑CAD等软件制图，PLC软件经验，有强烈的责任心和职业道德，自我管理和工作计划性强，能够适应短期出差。 工作地点—北京通州九棵树附近 职位福利：五险一金、餐补、全勤奖、补充医疗保险 工作地点 北京市通州区梨园镇龙湖蔚澜香醍115号楼5单元101室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,机电专业优先,http://www.zhaopin.com/jobdetail/CC487606320J40061613306.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持工程师-新能源汽车,外企德科数字技术有限公司,9000-17000元,合肥·肥西,合肥,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、在服务经理指导下响应和处理量产后的客户质量问题，在指导下采集日志、分析日志、定界问题，组织风险产品进行挑选隔离、退换件等活动。跟踪问题闭环 2、与车企基层客户（如制造基地班组长、客户驻厂技师、QA、SQE等）做好沟通，介绍客户质量问题处理进展。支持售后服务客户满意度持续提升。 3. 参与执行向车企售后技术支持团队的产品基础知识培训，协助车企向4S店售后服务人员导入产品故障诊断知识。 3、使用VHR等云平台例行监控告警并对告警做分析，将疑似故障及时上升给服务经理和研发维护团队处理。 4. 参与和支持客户交样、获取客户样件验收单，对问题样件做替换货处理、对样件近端升级软件、测试参数配置等。 5、主导客户造车支持：造车现场跟线支持，造车和调测问题记录、提单、反馈、初步分析和定界定位，客户侧问题验证和关闭等； 6. 其他技术支持：作为华为在客户端的技术支持，完成客户技术问题的跟踪闭环，并具备简单的技术问题答复能力。 岗位要求 1、学历和专业：统招学历学信网可查，项目管理、汽车等相关专业优先 2、工作经验：2年以上工作经验，含1年以上车企零部件开发、质量、售后服务类工作经验，有汽车、科技行业工作经验优先 3、能力要求：熟悉零部件交付开发，售后服务相关经验、熟悉车企问题处理流程，汽车行业及产品知识并灵活运用；沟通谈判能力等 4、热爱汽车行业，强自驱力，愿意主动学习和适应变化，渴望挑战 ps：面试前需提供学历信息和缴税信息核验，不接受勿扰。 工作地点 合肥肥西县鸿蒙智行尊界体验中心·超级智慧工厂引望 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"售后技术支持,汽车设备,RE,质量工程师",http://www.zhaopin.com/jobdetail/CCL1480117890J40878639405.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后安装/售后技术支持,洛阳泰斯特探伤技术有限公司,5000-7000元,洛阳·涧西·瀛洲,洛阳,大专,3-5年,7月22日,zhilian_direct,岗位职责：负责公司产品的现场安装、调试、培训、考察、现场检测服务等； 招聘要求： 1、学历大专以上、机械、电气自动化、计算机网络等相关专业 2、有驾照及手动档车驾驶经验 3、具有不低于3年工业类产品售后安装经验 4、有团队合作意识，能吃苦耐劳，谈吐清晰，具有良好的沟通交流能力 5、可适应出差的工作性质 6、有实验室或者相关检测经验工作经历可适当放宽条件 薪酬福利待遇：固定底薪+月度安装奖励+年度安装奖励+出差补助等，综合薪资5000至7000元起，能者多得，上不封顶 职位福利：周末双休、交通补助、餐补、带薪年假、员工旅游、社保五险、体检福利 更多产品相关详细信息，可登录公司网站主页：http://www.tst-ly.com/ 工作地点 涧西区洛阳留学人员创业园3号楼5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电气机械/电力设备,仪器仪表,工业自动化/机器人",http://www.zhaopin.com/jobdetail/CC436668010J40518705112.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持工程师,北京朗阁信息技术有限公司,6000-8000元·13薪,北京·海淀·清河,北京,本科,经验不限,7月22日,zhilian_direct,岗位职责： 1. 负责公司产品的售后技术支持工作，及时响应对接客户问题咨询解答； 2. 能够独立完成现场技术支持工作，排除产品的软、硬件故障。包括远程（电话/邮件）支持、现场支持及故障排除等； 3. 提供内部技术支持、培训，及客户培训工作； 4. 定期对产品进行巡检，与客户建立良好关系； 5. 分析和解决售后问题，提供根本解决方案。 岗位要求 ： 1. 本科学历，计算机或相关专业应届毕业生亦可； 2. 熟练使用Linux操作系统，熟悉网络基本原理，有一定的故障排查和处理能力； 3. 具有IT基础架构知识（网络技术基础，防火墙，虚拟化，服务器，存储等）； 4. 良好的沟通协调能力。 工作地点 北京海淀区学清路9号汇智大厦B座910-916 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件产品,服务器",http://www.zhaopin.com/jobdetail/CC343985330J40866084601.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持,维谛技术服务(深圳)有限公司,5000-7000元·13薪,厦门·集美·杏林,厦门,大专,经验不限,7月24日,zhilian_direct,岗位职责： 1、熟练掌握各渠道平台的基本操作，能准确高效的解答用户疑问； 2、清晰的登记、提交跟进工单，并按照要求跟踪闭环，做好全程服务； 3、400及在线客服的接听及服务； 4、与部门人员及厂商人员有效的沟通； 5、完成领导交办的其他工作。 任职要求： 1、大专以上学历，呼叫中心、IT运维相关工作从业经验； 2、半年以上客户服务经验，包括售前、售中及售后； 3、可接受轮班制； 4、普通话标准，语气具有亲和力，有较好的沟通能力和责任心； 5、性格随和，与部门同事相处融洽，有较强的团队意识； 6、学习意识强，可挑战高难度学习； 7、7*24，三班制。 工作地点 厦门市-集美区-诚毅大街373号6楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件产品,建筑设备,硬件产品",http://www.zhaopin.com/jobdetail/CC622907580J40863605011.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持,北京智和信通技术有限公司,1.1-1.6万,北京·朝阳·大屯,北京,本科,3-5年,7月21日,zhilian_direct,职位描述 软件产品 软件/IT服务 信息安全 1、完成IT运维软件技术讲解、需求交流以及实施等工作，售后技术支持，能在Linux（或国产系统）上安装软件，用软件对接、调测IT 设备； 2、独立负责项目的计划、启动，沟通协调各方工作； 3、维护日常的客户关系，及时处理客户问题和消息； 4、及时整理和编写项目文档，处理和反馈客户意见和建议。 工作地点 北京朝阳区中关村科技服务大厦B座308 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,软件产品,http://www.zhaopin.com/jobdetail/CC362902220J40790784406.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
惠普打印机售后技术支持客服（做六休一）,赛科斯信息技术(上海)有限公司,4000-7000元,苏州·常熟·东南,苏州,中专/中技,经验不限,7月21日,zhilian_direct,岗位职责： -接听用户来电，为最终客户提供专业全面的技术支持与客户服务 -通过电话和网络解决客户软件/硬件的技术问题及售前售后咨询服务，并做好详细记录 任职要求： -大专及以上学历，中专学历需有2年以上工作经验，专业不限； -有一定的计算机基础； -同步录入打字速度40字/分钟以上； -普通话标准，无明显口音，口齿清晰； -有一定的沟通表达能力； 岗位福利： [试用期内薪金（税前）]：2个月（含培训期），基本工资2660 +单休加班费1000左右+全勤200 +绩效200，综合4000+ ，日均20个算达标 [试用期后薪金（税前）]：基本工资2660+单休加班费1000左右+全勤200+ 绩效达标奖600+绩效提成0-500+，综合税前薪资4400-5000+， 绩效说明：日均25个及以上，绩效200元， 日均30个及以上，绩效400元， 日均35个及以上 ，绩效600元， 超过35 个，5块钱一个奖励（目前员工38-40个+） 福利政策： [带薪技术培训]：入职后享受2周专业的带薪培训 [其他福利]：节日福利、各种员工活动 职业发展方向： 技术类：技术支持——技术精英/质检/数据分析——培训师——主管——经理——总监 管理类：技术支持——督导——组长——主管——经理——总监 工作时间： 长白班，周休1天，9点-18点，午休1小时，大促会有12点-21点的晚班 工作地点：常熟市东南经济开发区黄浦江路199号紫晶城Ⅴ4栋 工作地点 苏州常熟市紫晶创意广场紫晶城V4栋4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电话客服,全白班",http://www.zhaopin.com/jobdetail/CC000537800J40855237209.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
医疗设备售后技术支持工程师(J11174),深圳市达科为生物技术股份有限公司,6000-8000元·13薪,武汉·武昌,武汉,大专,1-3年,7月21日,zhilian_direct,岗位职责: 1、能够严格按3Q文件对医疗设备进行产品安装、客户培训和设备验收工作，确保设备在客户端使用良好； 2、诊断并修复客户产品、设备故障，处理突发事件，并提交维修反馈报告； 3、确保客户设备运转正常，在第一时间解决客户设备运行中的问题； 4、进行返司设备的维修调试，不良分析、维修报价等，并能与客户良好沟通； 5、具备业务推广意识，能够完成一定维保服务的推广； 6、善于处理客户关系、维护与客户的合作关系，提升客户满意度； 任职要求: 1、大专以上学历，电子工程或电气技术类专业、机械或生物医学工程专业毕业，有两年以上工作经验； 2、熟练使用常用的电子仪器设备；如：万用表、电烙铁等 3、认真负责、吃苦耐劳，能适应加班和高频出差； 4、学习能力强，勤奋努力；具有良好的服务意识，团队合作精神及沟通能力； 5、较强的独立分析问题和解决问题能力，工作有激情，具备较强的学习能力； 6、有相关设备的售后服务工作经验者优先； 7、负责湖南、湖北、河南区域，驻点武汉。 工作地点 武汉武昌区珞珈山大厦-写字楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"医疗设备,病理科,检验科器械,维修,安装,客户培训",http://www.zhaopin.com/jobdetail/CC544534220J40774608806.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持工程师,深圳市大族光子激光技术有限公司,7000-9000元,深圳·宝安·福海,深圳,大专,1-3年,7月20日,zhilian_direct,岗位职责： 1、根据市场报修数据，处理分类确认故障类型分析原因，并组织相关人员召开重点故障问题防控会议，并跟进相应的处理结果； 2、返厂机器（器件）跟进处理:针对故障问题对返厂整机器件进行故障原因分析并确认相应防控措施； 3、厂内返修技术支持：整机异常技术支持，厂内返修技术文档输出，厂内返修流程措施优化； 4、对接售后工程师，提供技术支持售后市场疑难问题解决； 5、内部新产品售后技术培训、每季度对售后人员进行培训市场； 6、返回核心部件等问题解决推进及防控措施监督，做闭环管理 ，降低市场故障率； 7、新产品市场验证阶段返回整机跟踪及防控措施； 8、市场维修备料审核 市场维修流程及工艺监督； 9、各维修点布局规划支持及优化。 任职要求： 1、本科及以上学历，光纤通信、激光物理、光学或光电子专业，二年以上从事光纤激光器相关的工作经验； 2、英语四级，用英语熟练听说写； 3、熟悉光纤激光器的结构和工作原理，熟悉解光纤激光器的各器件的工作原理；熟练操作光纤熔接，切割仪器和测试等仪器设备； 4、责任心强，做事效率高，工作认真仔细； 5、动手能力强，善于分析问题原因，总结结果，乐于团队合作； 6、做事严谨而有条理、认真负责、为人诚实可靠、能够吃苦耐劳； 7、具有较强的团队配合意识，具有较强的执行力。 职位福利：周末双休、五险一金、绩效奖金、节日福利、免费班车、定期体检 工作地点 深圳宝安区重庆路128号大族激光1栋1层1栋3楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"售后技术支持工程师,技术支持,激光器",http://www.zhaopin.com/jobdetail/CCL1347284070J40281596904.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
海康威视售后技术支持（双休/包住）,赛科斯信息技术(上海)有限公司,4000-5000元,苏州·常熟·东南,苏州,大专,经验不限,7月20日,zhilian_direct,职位描述 计算机软件 计算机硬件 信息安全 不含销售性质，做五休二 月休八天 法定节假日休息！ 入职购买五险一金、包住（四人间 上床下桌） 职位描述： -接听用户来电，为最终客户提供专业全面的技术支持与客户服务 -通过电话和网络解决客户软件/硬件的技术问题及售前售后咨询服务，并做好详细记录 任职要求： -大专及以上学历，有客服经验优先考虑，专业不限； -有一定的计算机基础； -同步录入打字速度40字/分钟以上； -普通话标准，无明显口音，口齿清晰； -有一定的沟通表达能力； 公司福利： 1、固定底薪+月度奖金； 2 、舒适的工作环境+每周组织员工活动+不定期举办各种活动，工作也可以多姿多彩！ 3、入职即购买五险一金，享有各种带薪假期：带薪年假，病假，婚假，陪产假等~ 4、全面化、体系化的培训，如：入职培训、在职培训、晋升培训，为员工提供通畅的晋升通道，就等你来！ 薪资待遇： 试用期2个月：基本工资3000+150补贴=3150元 转正后：基本工资3000+生活补贴500+爱岗敬业200=3700 +加班费+绩效奖金0-900+，综合税前薪资3700-5500。 工作时间：白班9：00-18：00；10：30-20：00；晚班13：00-22：00（晚班补贴20元/次）排班轮休，做五休二 工作地点：常熟市紫晶创意广场紫晶城V4栋4楼； 工作地点 苏州常熟市紫晶创意广场紫晶城V4栋4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,信息安全,http://www.zhaopin.com/jobdetail/CC000537800J40638607409.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持,浙江杜亚智能技术有限公司,7000-10000元,深圳·龙华·民治,深圳,大专,经验不限,7月16日,zhilian_direct,职位描述 技术 1.熟悉并了解公司所有产品，了解电机/产品的功能及工作原理； 2.快速准确定位产品问题、提供合理的解决方案； 3.与客户进行有效沟通，保证安装及维修的方案能获得客户的认可和满意； 4.对无法在预期内完成的维修任务，及时与内部沟通，尽快提供综合解决方案； 5.对遇到的问题进行总结汇总，反馈给相关部门，推进流程和技术的改善。 任职要求： 1.大专及以上学历，机电、电子电工类等相关专业，看的懂CAD； 2.有较强的销售意识和销售服务意识，以服务销售促进销售增长为目的； 3.有较好的沟通能力，能够有效与客户/公司内部进行沟通； 4.有非常强的动手能力，能快速有效地解决现场各类问题； 5.能吃苦耐劳、踏实肯干，并且能适应出差、加班。 工作地点 深圳市-龙华区-民治街道北站社区致远中路28号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,技术,http://www.zhaopin.com/jobdetail/CCL1509259700J40856021311.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持工程师,西安英柯迈信息技术有限公司,5000-8000元,西安·雁塔·丈八沟,西安,大专,1-3年,7月16日,zhilian_direct,职位描述 自动化设备 仪器仪表运维 DCS系统应用 设备故障排查 工作职责 1. 负责仪器仪表的现场安装、调试与验收交付，确保设备按技术规范稳定运行。 2. 快速响应客户故障报修，通过系统性排查定位问题并执行精准维修，降低设备停机时间。 3. 制定并落地预防性维护计划，结合设备运行数据优化维护策略，延长仪器使用寿命。 4. 参与系统升级与技术改造项目，输出专业技术方案并配合实施落地。 5. 编写设备操作手册、维修记录等技术文件，主导内部团队的技术培训与知识传递。 任职要求 1. 大专及以上学历，仪器仪表、自动化或相关专业背景优先。 2. 精通仪器安装调试流程，熟悉分布式控制系统（DCS）的应用逻辑与过程控制方案设计。 3. 具备系统性故障分析能力，能独立解决复杂设备运行问题。 4. 拥有良好的团队协作意识与沟通表达能力，可高效对接客户与内部技术团队。 5. 工作严谨细致，具备高度的责任心与职业素养，严格遵守行业规范与安全准则。 工作地点 西安雁塔区蓝溪国际大厦6层611号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"自动化设备,仪器仪表运维,DCS系统应用,设备故障排查",http://www.zhaopin.com/jobdetail/CC558557880J40896070913.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
光伏售后技术支持,合肥烈阳光伏技术有限公司,6000-7000元,合肥·蜀山·锦绣社区,合肥,大专,经验不限,7月16日,zhilian_direct,职位描述 电气设备 机电设备 机械设备 电气机械/电力设备 光伏 岗位内容： 1、对接全国区域客户，从事光伏组件、逆变器和储能售前售后服务工作。 2、日常为业务同事提供技术支持，与客户保持良好的沟通，客情维护。 3、根据客户需要随时保持联系和服务，并做好收集、登记、反馈工作，为客户提供良好的技术服务，提升客户满意度 4、收集产品的质量反馈信息和来自市场(渠道、用户)的需求信息，定期向公司相关部门反馈。 5、负责组件、逆变器和储能的调试、设备维修、应用培训等服务工作。 6、上级领导安排的其它工作。 任职资格 1、机电、机械、电子相关专业，统招专科学历。 2、2年以上售后相关工作经验，光伏、储能售后经验为佳。 3、吃苦耐劳、能接受出差工作并适应经常性出差，有团队意识，服从管理和领导安排。 4、有驾照且会开车，有电工证优先。 5、语言表达流畅、思路清晰，具有良好的客户沟通能力同时热爱技术服务工作。 工作地点 合肥蜀山区紫云广场-A座18楼烈阳光伏 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"电气设备,机电设备,机械设备",http://www.zhaopin.com/jobdetail/CC220879780J40955950915.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持工程师,保定市天河电子技术有限公司,面议,保定·竞秀·保定高新区,保定,本科,经验不限,7月26日,zhilian_direct,岗位职责：负责公司产品的交付、客户培训，远程维护、技术支持。 任职要求： 1、电子、通信、计算机等相关专业本科及以上学历； 2、有相关工程设计、安装、调试工作经验者优先； 3、能适应出差。 职位福利：周末双休、年底双薪、绩效奖金、餐补、节日福利、员工旅游、加班补助 奖金绩效 绩效奖金、项目奖金、年终奖 工作地点 竞秀区保定市高新技术开发区恒滨路99号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,电子产品,http://www.zhaopin.com/jobdetail/CC136389510J40526551705.htm?refcode=4019&srccode=401903&preactionid=2f06250a-cf63-4ff7-a95e-ef2920996ec7
售后技术支持,陕西智艾控科技有限公司,6000-9000元,西安·新城·西一路,Guangzhou,大专,经验不限,4月8日,zhilian,职位描述 电子产品 岗位内容： 1. 为客户提供专业的售后技术支持服务，包括故障排查、处理和解决方案提供。 2. 维护售后服务流程，确保按照标准流程进行，并持续优化服务品质。 3. 收集客户需求和反馈问题，积极沟通，及时解决并反馈。 任职要求： 1. 具备良好的服务意识和专业技能，技术基础扎实。 2. 具备较强的沟通协调能力和团队合作精神。 3. 积极主动、责任心强，具有较好的问题解决能力。 工作地点 西安新城区名流天地大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,电子产品,http://www.zhaopin.com/jobdetail/CCL1493853540J40842046113.htm?refcode=4019&srccode=401901&preactionid=6b4dbf4b-2d3f-48e6-a06a-bc83e87964ab
售后技术支持工程师,青岛员智教育科技有限公司,1.1-1.2万,青岛·市南·香港中路,Guangzhou,大专,1-3年,7月25日,zhilian,职位描述 软件运维 桌面运维 网络运维 软件/IT服务 工作职责 1. 负责公司软件产品的售后技术支持，包括客户咨询响应、故障排查与问题解决。 2. 远程或现场协助客户完成产品安装、配置与使用指导，确保系统稳定运行。 3. 记录并跟踪客户问题处理进度，定期复盘常见问题并输出优化建议。 4. 配合研发团队反馈客户需求与产品缺陷，推动产品迭代升级。 任职要求 1. 大专及以上学历，计算机、软件工程等相关专业优先。 2. 具备1年以上软件售后技术支持经验，熟悉常见操作系统、数据库及网络基础知识。 3. 拥有较强的逻辑思维与问题分析能力，能独立定位并解决技术故障。 4. 具备良好的沟通表达能力与服务意识，能耐心解答客户疑问。 工作地点 青岛市南区新贵都 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件运维,桌面运维,网络运维",http://www.zhaopin.com/jobdetail/CC618223080J40957820715.htm?refcode=4019&srccode=401901&preactionid=6b4dbf4b-2d3f-48e6-a06a-bc83e87964ab
硬件售后技术支持,微配(广州)汽配科技有限公司,9000-11000元,广州·白云·景泰,Guangzhou,大专,1-3年,7月25日,zhilian,职位描述 桌面运维 Linux Unix 工作职责 1. 负责公司硬件产品（如汽车配件检测设备、智能终端等）的售后技术支持，包括故障诊断、远程指导与现场维修。 2. 快速响应客户报修需求，通过电话、在线工具或上门服务解决硬件故障，确保问题闭环。 3. 记录并整理售后问题案例，形成知识库，为产品迭代与客户培训提供数据支持。 4. 协助客户完成硬件设备的安装调试与操作培训，提升客户使用体验。 任职要求 1. 大专及以上学历，电子工程、计算机硬件或相关专业优先。 2. 具备1年以上硬件售后技术支持经验，熟悉电子电路原理及常用检测工具的使用。 3. 拥有良好的沟通能力与服务意识，能耐心解答客户疑问，高效处理突发问题。 4. 能适应偶尔的出差需求，具备独立解决复杂硬件故障的能力。 工作地点 广州白云区景泰商务大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"桌面运维,Linux,Unix",http://www.zhaopin.com/jobdetail/CCL1305383870J40867001307.htm?refcode=4019&srccode=401901&preactionid=6b4dbf4b-2d3f-48e6-a06a-bc83e87964ab
