job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
软件项目经理,河北网星软件有限公司,1-1.5万,石家庄·桥西·振头,石家庄,本科,3-5年,7月26日,zhilian_direct,岗位职责】 1、负责项目需求调研工作，分析收集需求，完成用户需求说明书；能独立或配合销售完成现场演示、解决方案、方案ppt的制作和讲解等工作； 2、对项目全程管理，把控项目成本、周期、质量、维护客户关系； 3、能协调项目组成员之间的合作，领导项目团队准时、优质地完成全部工作； 4、监督项目进展各阶段的文档，保证文档的完整和规范； 5、向上级汇报项目的进展情况，需求变更、项目进度等所有项目信息； 6、项目结束时完成项目总结，输出项目总结文档。 【岗位要求】 1、计算机信息类相关专业本科及以上学历，具备PMP或高级项目管理证书； 2、具备至少2年软件实施工作经验，2年以上项目管理的相关经验，有Java开发经验者优先考虑； 3、有较强的沟通和协调能力和团队合作精神，良好的计划性和责任心； 4、熟练掌握软件工程的基本原理，能够规范地撰写软件分析和设计方案； 5、熟悉至少一种主流数据库；熟悉至少一种web服务器，如Tomcat、weblogic等； 6、熟练使用项目管理类的相关工具，制作工作计划及汇报等文档。 7、可接受长期驻场 【福利待遇】 1、薪资构成为：基本工资+薪资+项目奖金 等 综合收入10K-20K 2、工作时间：8小时工作制+双休 3、法定福利：五险 等 4、公司福利：餐补+电脑补贴+节日礼品+年度体检+团建活动等。 【工作地址】 石家庄市- 桥西区 - 金石工业园创新大厦1楼 只要你水平够高，能力够强，薪资可再商洽，我们欢迎你的加入。 优秀的团队，广阔的发展平台，融洽的工作氛围都在等着你！ 工作地点 石家庄桥西区新石北路368号加速器三层网星软件 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件项目,PMP",http://www.zhaopin.com/jobdetail/CC187551310J40707904315.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,安徽金禾软件股份有限公司,8000-16000元·13薪,马鞍山·花山区·霍里街道,马鞍山,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、 与客户沟通，了解项目的整体需求。并与客户保持一定的联系，即时反馈阶段性的成果，和即时更改客户提出的合理需求。 2、 制定项目开发计划文档，量化任务，并合理分配给相应的人员。 3、 跟踪项目的进度，协调项目组成员之间的合作。 4、 监督生产项目进展各阶段的文档，保证文档的完整和规范。 5、 向上级汇报项目的进展情况，需求变更等所有项目信息。 6、 项目完成进行项目总结，产生项目总结文档。 7、领导交办其他事项。 二、岗位要求： 1、 能接受出差（非外派），能承担项目经理岗位职责； 2、 出色的文档编辑能力，强于沟通，情商较高，有较强的抗压能力，善于时间管理； 3、 熟悉软件项目开发流程，了解软件技术；有同岗位工作经验优先。 福利补贴：五险一金、节日福利、带薪年假、弹性工作、周末双休、全勤奖、绩效奖金、年终奖、职称奖励、陪护假、生育补贴、团建活动、旅游及入职体检等。 工作地点 马鞍山花山区安徽金禾软件股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"项目总结,文档编辑,客户沟通,政企软件项目,智慧水利项目,智慧城市项目,智慧工地项目",http://www.zhaopin.com/jobdetail/CC477883110J40474499611.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
银川软件项目经理,国泰新点软件股份有限公司,1-1.5万,银川·兴庆区·解放西街街道,银川,本科,1-3年,7月26日,zhilian_direct,职位描述 软件项目 信息化项目 软件/IT服务 一、对项目生产周期包含立项、计划、需求、设计、开发、测试、交付、试运行、验收、维护等阶段，负组织、协调、管理职责。 二、全面负责整个项目的进度、质量、成本，对整个项目的顺利完成担负管理责任。 1.项目经理负责根据招投标文件、内部项目立项会议、外部项目立项会议梳 理确认项目建设范围，在项目交付过程落实和控制项目建设范围。 2.项目经理负责梳理并落实项目交付计划方案，包含沟通计划、评审计划、 需求获取计划、测试计划、交付计划、试运行计划等一系列子计划。 3.项目立项时，项目经理需根据项目的规模、业务类型、建设内容、交付周 期、项目资源、核定项目生产预算的成本，生产预算包含人工预算及差旅预 算两部分。在项目交付过程中项目经理应当将项目建设的成本控制在预算范围内。 4.严格执行公司对项目管理的规范，在项目预算范围内优质的完成项目，达到客户预期目标，使客户满意。 三、项目的风险控制 1.项目经理应具备项目风险识别意识，识别到项目中的存在新风险时，应当立即在项目管理系统中进行登记或汇报上级领导。 2.项目经应对识别记录的风险及时进行组织评估，并做出应对方案。 3.项目经理应当对识别出的风险的处理情况进行跟踪。 四、项目需求调研 项目经理应充分调研客户需求，协调相关人员完成项目需求规格说明书，必要的时候完成项目需求原型设计，交开发负责人。 五、保持与客户的紧密沟通，即时向客户反馈项目阶段性成果并取得客户反馈意 见。定期向公司上一级领导汇报项目情况，与项目组成员高效地开展相关沟 通工作 六、撰写和管理项目相关文档 1.在项目交付过程中组织撰写管理类、需求类、技术类、记录类等文档。 2.项目产出的文档应当按规范及时归档。 七、项目交付过程中负责项目回款工作。 任职资格 1.所需学历要求：本科及以上学历 2.所需工作经验： （1）具备本行业项目管理 2 年及以上工作经验者优先； （2）熟悉项目管理体系，熟悉交付流程，并拥有 1 个以上大型项。 3.必备知识与技能： （1）精通所承担项目涉及的业务知识规范； （2）精读项目交付指南，清楚项目各阶段的主要工作、主要产出物 （3）清楚项目所属标准产品和公司框架的功能、配置项、熟练演示、讲解各功能模块 （4）熟练掌握 Axure 原型软件，能按要求编写需求原型设计； （5）优秀的文档编写能力、沟通能力、组织协调能力、PPT 编写和汇报能力、风险应对能力、项目总结能力，良好的计划和成本控制意识 （6）通过 PMP、计算机技术与软件专业技术资格（水平）考试（项目管理类）中级考核等优先。 4.管理经验要求： 软件项目管理经验 上班地点 工作地点 银川兴庆区宁夏回族自治区政务服务中心项目现场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件项目,信息化项目",http://www.zhaopin.com/jobdetail/CC206957410J40894487413.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,东华软件股份公司,面议,珠海·香洲区·凤山街道,珠海,本科,经验不限,7月26日,zhilian_direct,"岗位职责： ""1、参与标书和合同评审； 2、制定项目管理制度、项目计划； 3、审核各分包商WBS、项目计划的合理性，跟客户确立项目进度基线； 4、组织需求调研，需求规格说明书、深化设计、概要设计、详细设计、测试计划、测试报告、上线试运行报告、用户手册等材料的编写和审核，并推动客户侧确认； 5、及时监控项目执行过程中的各项风险，做好风险的预防和应对； 6、对于执行过程中的范围、进度、成本等偏差进行偏差分析并及时纠偏，确保项目目标的达成； 7、做好分包商的协调和管控，并对分包商在项目中的表现进行记录和考核； 8、与项目重要相关方保持密切沟通，确保项目总体目标的达成和相关方满意度； 9、及时跟进项目各项工作进度和TOP问题，做好内部协调和客户面的沟通汇报； 10、组织好项目的验收工作，并在项目收尾阶段组织好项目工作总结； 11、维持良好的客户关系，确保客户满意度； 任职要求： 1、5年以上工作经验，3年以上项目管理经验，2年以上信息化行业J2EE软件开发实施项目管理经验； 2、具备IT技术解决方案的架构规划、需求调研与分析、选型与论证、设计与开发、实施与交付验收、运维与监控、运营支持的综合能力。 3、具有良好的沟通能力、表达能力和书写能力，团队意识强，具有很好的团队管理和资源协调能力，有较强的抗压能力； 4、项目专业能力突出，能在项目范围、时间、成本及质量方面进行良好的计划和控制，能对项目过程中的问题与风险有效识别并解决； 5、熟知质量管理体系，具备多供应商情况下的质量管理及项目落地管理； 6、良好的任务跟踪记录能力，及时响应客户按时按量的提供高质量的服务； 7、有强烈的时间观念和责任感，并有能力同时处理多个项目工作； 8、熟悉政府电子政务系统项目管理和采购过程者优先； 9、有大型复杂项目（单个项目金额大于1000万人民币，或项目内容有涉及IT规划、IT咨询、数据中心建设或迁移、业务连续性、系统集成、系统迁移等）实际管理经验者优先； 10、具备PMP、信息系统项目管理师、系统集成项目管理工程师等证书优先。 职位福利：周末双休、带薪年假、五险一金、补充医疗保险、项目奖金、公司重点项目、定期体检、出差补贴 工作地点 珠海香洲区梅溪商业广场停车场2栋5层511室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",软件项目,http://www.zhaopin.com/jobdetail/CC193399810J40389486507.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,中电金信软件有限公司,1.5-2万,上海·黄浦·打浦桥,上海,本科,5-10年,7月26日,zhilian_direct,职位描述 AI项目 电力项目 PMP 系统集成项目管理工程师 国家电网 阿里云数据中台 华为云 软件/IT服务 电力/水利/热力/燃气 人工智能 【工作内容】 1.独立负责应用系统日常实施、业务运营工作及团队相关事宜安排； 2.负责项目需求对接，方案编制，实施推进等常态工作： 3.参与项目建设相关技术文档编写及汇报工作。 【技能要求】 1.具备优秀的文档编制能力及工作规划能力，能够独立完成项目进度及亮点工作的汇报工作； 2.熟悉大数据及云平台等主流技术框架及组件，具备一定的知识储备； 3.具有良好的沟通交流能力及自主学习能力，逻辑思维优秀，擅长捕捉用户需求痛点，能够独立完成项目进度及亮点工作的汇报工作，能够快速适应新的工作反向； 4.具备良好团队精神，有较强的处理问题能力，能高效消化各项任务，具备较强的抗压与学习能力，品行端正； 5.具备数据开发能力，掌握Oracle/PostgreSQL/Hive等主流数据库，掌握Hive-SQL开发及存储过程、存储函数编写； 6.具备较好的耐心，对客户具备较好的包容度（重点重点）； 7.具备国网相关业务方向项目经验者优先（重点）； 8.具备数据治理项目经验者优先（重点）。 工作地点 上海黄浦区汇泰大楼430 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AI项目,电力项目,PMP,系统集成项目管理工程师,国家电网,阿里云数据中台,华为云",http://www.zhaopin.com/jobdetail/CC443657520J40875936309.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理（对日）,凌志软件,1.5-1.9万·13薪,无锡·新吴·新安,无锡,大专,经验不限,7月26日,zhilian_direct,"岗位职责: 1、指定提案：参与分析客户案件资料，调研相关技术，评估项目风险；调研公司资源状况，编写提案书并提交客户，提高项目提案成功率。 2、明确开发需求与目标：分析客户提供的需求文档，与客户检讨和确认需求（含变更需求）与式样，制定需求分析文档，明确开发需求与目标。 3、制定开发计划：根据开发需求和目标，编写开发计划（含项目预算，人员需求，开发标准，里程碑，质量，需求变更等），与客户充分沟通开发计划并达成共识，满足客户需求。 4、管控成本：定期收集并分析项目投入数据，监控并规范开发流程，控制项目成本在计划范围内；管控需求变更，控制变更成本；合理利用自动化工具等提升项目生产性。 5、管控项目质量与进度：明确项目质量基准，收集和分析质量数据，制定改善计划并跟踪实施；定期召开进度会议，及时掌握项目进度和课题，并对延迟和问题点分析对策，监控项目按计划实施。 6、管理项目团队：分析项目整体目标，制定团队目标和规则并维护实施；实施绩效评估与反馈，组织人员培训和团建活动，营造积极向上的团队合作氛围。 7、沟通及汇报项目状况（对内/外）：与项目团队、客户持续沟通项目状况，定期向公司和部门汇报项目情况（风险，课题，客户反馈，支援等），促进项目顺利推进和交付。 8、维护客户关系：建立并拓展客户沟通渠道（如互访），增强客户的信任度和粘性；积极响应客户投诉，并提出相应的改善举措，提高客户满意度；挖掘新业务合作机会，拓展业务合作广度和深度。 任职要求: 1、计算机及相关专业优先、大专及以上学历 2、日语N1等级证书或相当水平，口语及书面无障碍沟通。 3、.熟悉软件开发流程与各阶段产物及相应品质要求。 4、熟悉项目管理知识、熟悉绩效管理知识。 5、具备良好的沟通协调能力，抗压能力具备成就客户、持续创新、诚实守信、勇担责任、协作共赢的良好素质"" 7、从事软件行业7年以上，有5年的开发经验及3年的团队管理经验 工作地点 新吴区无锡凌志软件股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","软件项目,Java项目",http://www.zhaopin.com/jobdetail/CC120210700J40475156302.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,青岛历和软件有限公司,1.5-2万,青岛·城阳·上马,青岛,大专,10年以上,7月26日,zhilian_direct,岗位职责 1.负责软件项目开发的质量、进度、成本、交付、验收及顾客满意度； 2.对项目的全过程管理负责，组织客户需求对接，组织关键评审，制定项目计划并跟踪项目进度按照计划进行，主动发现项目风险、问题，监控计划执行，确保研发目标按计划完成； 3.项目前期配合销售和开发人员进行客户交流和招投标工作，项目后期负责项目的最终验收、配合销售回款； 4.负责组建并管理软件团队，组织制定软件开发计划，负责各里程碑活动的开展及输出，确保全过程软件流程符合性； 5.负责制定项目章程、项目工作计划、项目执行计划、人员配置计划、工作分解结构、沟通计划、量化任务、制定开发计划、资源沟通协调、跟踪、监督项目的进度，确保项目目标的实现。负责监督产生、编写项目各阶段的文档，提交里程碑阶段文档，保证文档的完整与规范。负责项目过程中的需求变更、进度变更等相关事宜。 6.负责软件预算管理，工作在预算范围内按时优质完成； 7.负责项目结束时组织进行结项总结工作； 任职要求： 1.学历、专业：大专及以上学历；计算机科学与技术、软件、电子信息技术等专业； 2.工作经验：掌握软件开发的过程，完整参与过1个项目； 3.个人能力：具备优良的组织协调能力、有良好的文字组织能力、持续学习能力、良好的沟通技巧、分析判断能力和风险评估能力。具有较强的责任感、有较好的逻辑思维能力； 职位福利：五险一金、弹性工作、创业公司 职位亮点：软项目管理\需求分析\项目计划\软件实施 工作地点 城阳区科创慧谷青岛产业园-D2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"需求分析,实施项目,软件项目",http://www.zhaopin.com/jobdetail/CCL1246407600J40192257907.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,联投项目管理(集团)有限公司,8000-12000元,成都·武侯·桂溪,成都,本科,3-5年,7月26日,zhilian_direct,"职位描述 软件项目 医院/诊所服务 教育科技/教育软件 工作职责 1.负责面向医院/高校/国有企业的软件产品(资产管理/招标采购领域)全流程项目实施交付，制定实施计划，主导软件部署、调试、数据迁移、用户培训及上线验收，把控项目进度、质量与合规性，解决实施过程中的各类问题等; 2.负责整理项目开工资料准备，项目的数据初始化等工作，协调推进项目实施，解决项目落地过程中的各种问题，撰写验收资料并组织项目培训和验收，负责项目验收后的售后工作等; 4.负责项目的需求分析及整理工作，能够在项目落地过程中，有效与客户交流并准确理解客户的需求，转化为研发部门可以明确的功能优化需求文档并完成功能优化升级的验收、操作手册的编写、新增功能的培训等工作; 5.负责项目的培训工作，与客户有效沟通后并制定有效的培训计划，撰写培训手册及培训PPT，到现场完成项目的培训工作； 6.负责项目的售后工作，项目验收后，组建项目售后交流群，并支持项目在实际使用过程中遇到的问题进行解决； 7.负责项目的验收及回款，推动客户完成内部验收流程，配合商务按合同节点回款，并挖掘增购机会。 8..负麦项目的跨部门协作沟通工作，包括产品设计、研发、销售方案等，推动项目级问题的闭环解决。 任职资格 1.统招专科及以上学历，计算机、信息化相关专业优先; 2.3~8年B端软件项目实施经验，有面向医院/高校/国有企业的软件产品(资产管理/招标采购领域)全流程项目实施项目经验、了解信创环境，熟悉合规要求者优先。 3.掌握Linux操作系统并能在该系统上熟练部署软件，掌握脚本语言shell或python，并.熟练使用宝塔、ningx、docker等多种部署工具的使用； 4.有较强的方案能力，能够完成根据客户提出的要求准确转换成可行性解决方案，并非一味的修改产品； 5.熟悉掌握SQl语句,mysql， oracle中至少熟悉一项, 6..有项目管理经验或具备项目管理能力; 7.从事过招标行业行业优先; 10.具有良好的沟通能力及资源协调能力; 11.具有优秀的团队合作意识，思维严谨，责任心强，抗压能力强，客户服务意识好。 工作地点 成都武侯区环球中心-N520楼2015号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",软件项目,http://www.zhaopin.com/jobdetail/CC402113180J40864549001.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,西安长天长软件股份有限公司,1-1.5万,西安·雁塔·丈八沟,西安,本科,1-3年,7月26日,zhilian_direct,职位描述 政企软件项目 计算机软件 基本要求： 1、本科及以上学历，计算机、软件工程、项目管理等相关专业优先； 2、有较强的抗压能力、沟通协调能力、问题解决能力和团队管理能力； 3、具有2~3年以上大型项目管理经验，至少主导过1-2个完整的软件开发项目（涵盖需求调研、设计、开发、测试、部署、交付全流程），熟悉烟气CEMS、水质在线监测等系统开发者优先； 4、具备软件开发项目全流程管理经验，能够合理规划项目进度、控制项目成本、把控项目质量，有跨部门、跨团队协作项目管理经验者优先。 技术能力要求： 1、具备一定的技术功底，了解Java、Python、C#等至少一种主流开发语言，熟悉数据库（postgreSql、达梦等）、前端框架（Vue、React等）、系统架构(微服务、分布式)及服务器部署相关知识，能与开发团队高效沟通技术需求，准确把控技术实现方向； 2、掌握项目管理工具（如Project、Jira、Trello等）、原型工具(Axure、Figma等)及版本控制工具(git、SVN等)的使用，能独立编写项目计划、进度汇报等各类文档，具备良好的文字功底。 管理沟通能力要求： 1、具备优秀的团队管理能力，能带领软件开发团队（5人及以上）高效开展工作，明确团队分工，协调解决团队工作中的技术与协作问题，提升团队执行力； 2、具备较强的沟通协调能力，能高效对接客户、设计、开发、测试、运维等，精准传递需求、反馈问题，推动各方协同推进项目，保障项目顺利落地； 3、具备项目风险管控能力，能提前识别项目开发、实施过程中的技术风险、进度风险、成本风险及合规风险，制定有效的风险应对预案，及时处理项目突发问题，确保项目按时、按质、按量完成； 4、具备良好的汇报能力，能定期向公司内部、客户汇报项目进度、方案等情况，清晰呈现项目进展，主动争取各方支持。 工作地点 西安雁塔区汇鑫中心B座16楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,政企软件项目,http://www.zhaopin.com/jobdetail/CC120635600J40862758611.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,郑州乐驰软件科技有限公司,1.2-1.8万,上海·闵行·虹桥,上海,本科,5-10年,7月26日,zhilian_direct,职位描述 软件项目 系统集成项目 物联网项目 PMP IPMP 电力/水利/热力/燃气 电气机械/电力设备 工业自动化/机器人 工作职责： (1)支持项目前期售前工作、并协助售前完成项目成本评估和工作范围等; (2)负责软件项目的整体规划、组织、实施和监控，确保项目按计划、高质量完成。 (3)制定项目计划，明确项目目标、范围、进度、成本、质量、风险等，并跟踪项目执行情况。 (4)负责和客户沟通项目中的软件产品的需求，与项目组人员配合形成需求文档。 (5)深入了解客户需求，与客户保持良好沟通，维护客户关系。 (6)组织项目评审、验收，确保项目成果符合客户需求。 (7)组织负责项目复盘以及工作成果总结。 (8)会有出差。 任职要求： (1)本科及以上学历，电气、机械、计算机相关专业，5年以上软件项目管理工作经验 (2)有良好的学习和研究能力，有能源电力行业或智能制造行业相关的项目经验优先。 (3)具备良好的沟通、协调、组织能力，能应对复杂的项目环境 (4)具备项目管理经验。熟悉项目管理流程，项目管理工具，独立承担过中型及以上的项目管理工作。 (5)能根据工作情况要求，适应出差。 (6)持有PMP、信息系统项目管理师等项目管理相关证书者优先。 工作地点 上海闵行区合川路田林路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件项目,系统集成项目,物联网项目,PMP,IPMP",http://www.zhaopin.com/jobdetail/CC445384710J40945654408.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,山东新思软件有限公司,1-1.5万,济南·历下·舜华路,济南,大专,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责制定项目计划、详细开发计划、实施计划并跟踪管理，保证项目合理推进; 2、负责项目过程中相关方案资料的编写（如解决方案、蓝图设计方案等），以及项目过程资料的归档； 3、负责项目团队日常工作管理，包括工作安排、沟通、问题跟踪解决、监督等； 4、有效掌控项目过程各个阶段，及时发现并处理项目中存在的问题； 5、定期组织项目例会，跟踪项目进度，控制项目成本； 6、负责与客户沟通，建立良好的客户关系，项目里程碑和项目成果及时向客户汇报及展示； 7、负责项目的回款工作，按回款阶段提前向客户发起回款申请，并跟踪回款到位； 8、协助销售完成售前项目的技术支持，以及投标方案的编写。 任职要求： 1、专科（统招）以上学历，计算机、软件工程、信息管理等相关专业；能适应出差；（大部分项目在省内，少部分在省外，接受不了出差请勿投递） 2、具备准确评估项目的成本核算能力； 3、熟悉离散制造业有关业务知识及流程； 4、熟练使用Project、Visio、Axure、PPT等工具； 5、了解软件基本的实现原理； 6、掌握MYSQL、SQLSERVER、ORACLE至少一种数据库技术，能够编写统计查询类SQL语句； 7、三年以上工作经验，两年以上独立软件项目管理经验，熟悉软件项目实施方法论； 8、有制造业管理软件实施经验者优先（参加过SRM/MES/WMS/QMS/ERP相关项目管理工作）； 9、具备与客户和项目成员良好的沟通与协调能力，具有良好的团队合作精神和服务意识； 10、具备需求理解及分析能力，能够引导用户需求，分析识别深层次需求，且具备能够控制需求的能力。 工作地点 济南历下区山东新思软件有限公司舜华路街道新泺大街1299号鑫盛大厦2号楼1404 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ERP项目,软件项目,MES项目,信息系统项目,Java项目,SRM项目,MOM项目,WMS项目",http://www.zhaopin.com/jobdetail/CC567594930J40357961410.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,国泰新点软件股份有限公司,1-1.5万,乌鲁木齐·天山区·青年路街道,乌鲁木齐,本科,1-3年,7月26日,zhilian_direct,职位描述 软件项目 软件/IT服务 工作职责: 一、对项目生产周期包含立项、计划、需求、设计、开发、测试、交付、试运行、验收、维护等阶段，负组织、协调、管理职责。 二、全面负责整个项目的进度、质量、成本，对整个项目的顺利完成担负管理责任。 1.项目经理负责根据招投标文件、内部项目立项会议、外部项目立项会议梳 理确认项目建设范围，在项目交付过程落实和控制项目建设范围。 2.项目经理负责梳理并落实项目交付计划方案，包含沟通计划、评审计划、 需求获取计划、测试计划、交付计划、试运行计划等一系列子计划。 3.项目立项时，项目经理需根据项目的规模、业务类型、建设内容、交付周 期、项目资源、核定项目生产预算的成本，生产预算包含人工预算及差旅预 算两部分。在项目交付过程中项目经理应当将项目建设的成本控制在预算范围内。 4.严格执行公司对项目管理的规范，在项目预算范围内优质的完成项目，达到客户预期目标，使客户满意。 三、项目的风险控制 1.项目经理应具备项目风险识别意识，识别到项目中的存在新风险时，应当立即在项目管理系统中进行登记或汇报上级领导。 2.项目经应对识别记录的风险及时进行组织评估，并做出应对方案。 3.项目经理应当对识别出的风险的处理情况进行跟踪。 四、项目需求调研 项目经理应充分调研客户需求，协调相关人员完成项目需求规格说明书，必要的时候完成项目需求原型设计，交开发负责人。 五、保持与客户的紧密沟通，即时向客户反馈项目阶段性成果并取得客户反馈意 见。定期向公司上一级领导汇报项目情况，与项目组成员高效地开展相关沟 通工作 六、撰写和管理项目相关文档 1.在项目交付过程中组织撰写管理类、需求类、技术类、记录类等文档。 2.项目产出的文档应当按规范及时归档。 七、项目交付过程中负责项目回款工作。 任职资格: 1.所需学历要求：本科及以上学历 2.所需工作经验： （1）具备本行业项目管理 2 年及以上工作经验者优先； （2）熟悉项目管理体系，熟悉交付流程，并拥有 1 个以上大型项。 3.必备知识与技能： （1）精通所承担项目涉及的业务知识规范； （2）精读项目交付指南，清楚项目各阶段的主要工作、主要产出物 （3）清楚项目所属标准产品和公司框架的功能、配置项、熟练演示、讲解各功能模块 （4）熟练掌握 Axure 原型软件，能按要求编写需求原型设计； （5）优秀的文档编写能力、沟通能力、组织协调能力、PPT 编写和汇报能力、风险应对能力、项目总结能力，良好的计划和成本控制意识 （6）通过 PMP、计算机技术与软件专业技术资格（水平）考试（项目管理类）中级考核等优先。 4.管理经验要求： 软件项目管理经验 工作地点 乌鲁木齐天山区新疆生产建设兵团政务服务中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,软件项目,http://www.zhaopin.com/jobdetail/CC206957410J40894052513.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,烟台海维软件科技有限公司,7000-11000元·13薪,烟台·莱山·初家,烟台,本科,3-5年,7月26日,zhilian_direct,"岗位职责： 1.具备开发能力，java基础扎实，熟悉Spring，SpringMVC，Mybatis，springboot，springcloud等开源框架和其理念；； 2.负责项目需求调研工作，分析收集需求，完成用户需求说明书。能独立或配合营销完成现场演示、方案制作和讲解等工作； 3.对项目全程管理，把控项目成本、周期、质量，维护客户关系； 4.带领团队保质保量完成项目交付工作； 5.监督产生项目进展各阶段的文档，保证文档的完整和规范； 6.向上级汇报项目的进展情况，需求变更，可能风险等项目信息； 7.制定并推广项目管理流程规范,确保项目有序推进； 8.及时发现并跟踪解决项目问题,有效管理项目风险； 9.完成项目验收，协助营销经理完成回款，完成项目总结复盘。 任职资格： 1.计算机信息及管理类相关专业本科及以上学历； 2.具备项目管理的一般理论和知识，有至少三年项目管理的相关经验； 3.有较强的沟通和协调能力和团队合作精神，良好的计划性和责任心； 4.熟练掌握软件工程的基本原理，能够规范地撰写软件分析和设计方案； 5.熟练使用项目管理类的相关工具，制作工作计划及汇报等文档； 6.扎实的专业技术知识和动手能力，学习能力强，责任心强； 7.具有PMP、工信部项目管理师资质或其它相关资质证书者优先； 8.能够适应出差。 工作地点 莱山区海普智联科技(烟台)有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",Java,http://www.zhaopin.com/jobdetail/CC431162480J40620030010.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
医疗软件项目经理,哈尔滨坐标软件开发有限公司,6000-8000元,哈尔滨·南岗·芦家,哈尔滨,大专,5-10年,7月26日,zhilian_direct,岗位职责： 1. 负责大型医院或医共体项目的整体规划、进度与成本管控，组织业务调研与解决方案制定，确保按期按质交付。 2. 主导上线切换、数据迁移等关键节点决策，协调技术团队解决SQL性能、数据库高可用等重大技术问题。 3. 维护医院高层及信息科等关键客户关系，管理需求变更与风险，推动项目验收与回款。 4. 监控项目健康度与里程碑，组织项目复盘，提炼标准化文档（切换预案、培训方案等）。 5. 参与售前技术方案评审，协助售后处理重大故障，完成领导交办的其他工作。 任职要求： 1. 5年以上医疗软件实施经验，主导过2个以上三级医院或医共体完整项目。 2. 精通SQL优化与执行计划分析，熟悉SQL Server复制、Always On等高可用方案。 3. 熟悉HIS、EMR等核心系统，具备项目管理经验，能协调多方资源。 4. 能适应高频短期出差，具备现场沟通与冲突解决能力。 工作地点 哈尔滨南岗区坐标软件湘江路80号2楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"SQL SEVER,医共体项目经验,ALWAYS ON",http://www.zhaopin.com/jobdetail/CC347570330J40963141102.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
软件项目经理,亿维融智软件科技(北京)有限公司,1.6-2万,北京·海淀·北下关,北京,本科,5-10年,7月26日,zhilian_direct,职位描述 软件项目 PMP 计算机软件 1. 本科及以上学历，计算机、软件工程、项目管理等相关专业优先。 2. 具备 6年及以上 信息化软件项目管理经验，有独立带领项目团队经验，有财务系统相关经验更佳。 3. 思维敏捷，逻辑清晰，具备较强的问题分析与解决能力，能够快速应对项目中的突发状况。 4. 具备客户沟通能力，善于协调多方利益，推动需求达成共识。 5. 熟悉项目管理方法论（如敏捷、瀑布），持有PMP、软考项目管理师等证书者优先。 工作地点 北京海淀区大钟寺怡和-8号院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件项目,PMP",http://www.zhaopin.com/jobdetail/CC207057310J40829759701.htm?refcode=4019&srccode=401903&preactionid=91845647-c7a3-4070-b85a-4bd8af5fe4a8
