job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
FPGA测试实习生（上海)——提供转正机会,北京市科学技术研究院,200-250元/天,上海·闵行·马桥,上海,本科,经验不限,7月21日,zhilian_direct,岗位职责 1、全流程验证参与： 协助团队完成FPGA测试验证全流程工作，包括但不限于编写测试计划（Test Plan）、构建测试用例（Test Case），确保FPGA设计的功能正确性与可靠性 2、自动化脚本开发（Python/Tcl）： 协助参与开发基于 Python 或 Tcl 的自动化测试脚本，搭建高效的回归测试环境； 3、仿真与调试： 掌握并使用主流的仿真工具（如 ModelSim / VCS / Verdi / Questasim），进行门级仿真和时序仿真 ； 配合设计工程师进行 RTL代码调试，运用Verdi等工具快速定位逻辑bug ； 4、文档规范与标准化： 协助参与FPGA测试文档的整理与编写， 整理并编写规范的测试文档，包括测试计划、测试报告等； 二、任职要求 1、基本要求 教育背景：本科及以上学历在读（可长期实习者优先，最少6个月），电子信息、计算机、通信工程、应用数学等具备扎实数理基础的专业 。 理论基础：熟悉数字电路基础，理解FPGA内部结构（如LUT、FF、BRAM等），对Verilog或VHDL语言有一定了解 。 逻辑思维：具备较强的问题分析和定位能力，耐心且细心，能够接受“死磕”bug带来的成就感。 2、加分（具备其一即可脱颖而出）： 熟悉 Python/Perl/Tcl/Bash 中的至少一种脚本语言，有编写自动化脚本的经验 。 在学校实验室或比赛中接触过 ModelSim/Vivado/Quartus 等EDA工具 。 对 UART/SPI/I2C/AXI/Ethernet 等常见接口协议有基本认知 。 了解UVM验证方法学或System Verilog 。中共党员优先。 通过英语6级（CET-6）者优先； 三、我们提供 1、技能培训： 入职即享“老带新”导师制，带你系统学习FPGA测试方法论、UVM验证平台搭建、覆盖率驱动验证等核心技术 。 不定期内部技术分享，涵盖PCIe、DDR等高速接口测试、时序收敛等进阶话题。 2、参与项目： 深入项目一线，参与芯片测试，积累业内极具含金量的实战履历； 3、实习保障： 具有竞争力的实习补贴 + 舒适办公环境。 表现优异者可获得转正直通卡，提前锁定校招Offer，毕业即就业。 （转正后缴纳北京社保） 如果你对FPGA测试充满热情，渴望在该领域有所作为，欢迎加入我们！ 工作地点 上海闵行区中青路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Verilog HDL,VHDL,System Verilog,FPGA测试",http://www.zhaopin.com/jobdetail/CC137220240J40991843404.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
fpga实习,南通昇目微电子科技有限公司,3000-6000元,南通·崇川·新开,南通,本科,经验不限,7月23日,zhilian_direct,岗位职责】 移植、适配及相关设计文档的编写; 1.负责根据ASIC原型验证需求，完成FPGA端RTL代码 2.负责ASIC原型验证相关测试用例的编写，执行FPGA原型功能验证与调试工作，记录并反馈验证问题; 3.参与ASIC原型验证前端流程工作，包括逻辑综合、时序分析、形式验证等，保障FPGA原型与ASIC设计的一致性; 试阶段的技术问题，提供相应技术支持; 4.协助解决ASIC原型在系统集成、板级测试及应用调 5.参与ASIC原型验证相关技术评审会议，整理验证报 告与问题清单。 [职位要求] 1.微电子、通信工程、电子信息工程等相关专业本科及以上学历在读，具备ASIC原型验证相关项目经验者优 先; 2.具备扎实的数字集成电路设计理论基础，精通数字前端设计流程，能够支撑ASIC原型验证工作开展; 3.精通Verilog/SystemVerilog硬件描述语言，熟练掌握Xilinx/AlteraFPGA全流程开发方法，能独立完成逻辑综合、时序约束、板级调试等核心工作; 4.熟悉硬件原理图设计规范，具备独立读懂硬件原理图的能力，可配合完成FPGA板卡的硬件调试与问题定 5.熟悉Linux操作系统环境，了解C/C++编程语言及gcc编译流程，能辅助编写验证脚本或调试工具; 6.优先条件:熟悉MCU常用外设(UART/SPI/IIC/USB/CAN)或RISC-V子系统架构(core、int、bus.cache等)者优先; 7.具备良好的英语读写能力 工作地点 南通市崇川区崇州大道紫琅公园西北侧约170米 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Verilog,Linux,FPGA",http://www.zhaopin.com/jobdetail/CCL1515634900J40997774902.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA研发工程师,北京质胜康华科技有限公司,8000-12000元,北京,北京,本科,经验不限,7月24日,zhilian_direct,岗位职责 1. 根据研发任务需求，负责使用SoC进行程序开发（包括ARM和FPGA），与功能单元开展系统集成和性能调优等工作。 2. 参与项目需求分析，完成方案设计和技术评估，提供可行的解决方案。 3. 根据仪器各功能单元的电气接口和指标需求，进行相关硬件方案的论证。 4. 编写测试文档，进行功能仿真和时序分析，确保产品正确实现。 5. 跟踪行业技术发展，持续学习新技术，提升团队技术储备。 任职要求 1. 本科及以上学历，电子信息、电子科学与技术、电气工程、通信工程等相关专业毕业。 2. 掌握 Verilog/SystemVerilog 语言，具有 FPGA 或 ASIC 开发经验。 3. 熟悉 FPGA 设计开发和调试流程，熟练使用 Xilinx 或 Altera 的 FPGA 开发工具链； 4. 熟练使用ModelSim等仿真工具，了解时序仿真和验证方法。 5. 熟练掌握IIC、SPI、RS232/485、以太网、AXI等接口协议； 6. 熟练使用各类调试工具、示波器、逻辑分析仪等测试仪器。 工作地点 北京市海淀区东升(地区)镇建材城中路海开园2期2号院5号楼一层质胜康华 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Verilog HDL,System Verilog,FPGA",http://www.zhaopin.com/jobdetail/CCL1504822840J40775901406.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA工程师实习生（有转正名额！）,成都星象科技有限公司,100-200元/天,成都·武侯·肖家河,成都,本科,经验不限,7月23日,zhilian_direct,岗位职责： 1. 主要负责FPGA开发，包括代码编写、仿真、时序约束、时序分析、调试和测试工作； 2. 编写相关的设计文档； 3. 熟练运用Verilog HDL语言，具有良好的编码风格，会使用仿真工具对逻辑代码进行仿真； 4. 熟悉VIVADO、ModelSim等逻辑开发工具，熟悉Xilinx的ZYNQ或7系列FPGA架构和开发流程； 任职要求： 1.优秀的沟通能力、理解能力； 2.思维活跃，工作态度积极，积极地学习并掌握新技术； 3.有良好的沟通和学习能力、较强的团队协作能力以及快速解决问题的能力； 4.可以承受工作压力，有良好乐观的心态； 5.具有责任意识、敬业诚信、对工作认真负责。 工作地点 武侯区四川省成都市高新区高朋大道科园三路4号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,可转正,http://www.zhaopin.com/jobdetail/CC466984510J40905998908.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
fpga工程师/讲师，硬件设计工程师/讲师，嵌入式硬件设计工程师/讲师,中科华积电(郑州)科技有限公司,200-250元/天,郑州·中原·石佛,郑州,本科,经验不限,7月24日,zhilian_direct,岗位职责】 1. 负责FPGA系统的开发工作 2. 能够根据课程大纲进行备课、讲课 【岗位要求】 1. 电子、通信、计算机等相关专业； 2. 有过FPGA项目经验； 3. 熟练掌握Verilog/VHDL等硬件描述语言； 4. 熟悉Xilinx/Altera等主流FPGA芯片及其开发工具； 5. 具备较好的语言表达和沟通能力 6. 对教育培训和授课感兴趣，愿意和学生沟通交流 7. 有责任心，有耐心，能接受出差 二、硬件设计工程师/嵌入式硬件工程师/讲师： 【岗位职责】 1. 负责硬件原理图设计，电路分析仿真，PCB layout 指导，焊接指导； 2. 能够根据课程大纲进行备课、授课 【岗位要求】 1. 电子、集成电路、计算机、通信或自动化相关专业； 2. 有过硬件项目经验； 3. 熟悉模拟电路设计，包括开关电源、LDO、运算放大器等； 4. 熟悉MCU/FPGA/SOC/DSP等小系统 5. 熟练使用常见测试设备，包括示波器、频谱分析仪、网络分析仪等； 6. 具备较好的语言表达和沟通能力 7. 对教育培训和授课感兴趣，愿意和学生沟通交流 8. 有责任心，有耐心，能接受出差 9.会有免费培训】 【您能获得】 1. 每天不低于200元的课时费 2. 提供研究院项目学习资料 3. 提供研究院实习证明 4. 表现优秀有转正机会 【公司实力】 郑州中科集成电路与系统应用研究院由郑州市人民政府批准成立，是由郑州高新技术产业开发区管理委员会举办的事业法人单位。研究院坚持以“企业为主体，市场为导向、自主技术为核心、促进产业化为主线”，构建“政、产、学、研、用、金”六位一体的开放创新平台，建立政府支持、产学研结合、市场化运作的新型研发机构，在前瞻性技术研究、科技成果转化、重大项目攻关、科技人才培养等方面展开紧密合作，努力构建郑州市高端芯片创新研发和产业化集群高地，推动中原城市群集成电路及相关信息产业发展。 中科华积电科技有限公司是中科集成电路与系统应用研究院旗下集成电路人才培养公共服务平台运营单位，是一家集半导体产品开发、集成电路设计外包、行业投资等为一体的新型产教融合型科技企业。依托研究院核心研发团队，自主开发了一套集成电路产教融合体系，形成了集科技研发、实习实训、人才培养、创新创业为一体的综合集成电路平台。 工作地点 中原区河南省郑州市高新区长椿路6号西美大厦A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"FPGA,PCB,嵌入式",http://www.zhaopin.com/jobdetail/CCL1463720460J40951994208.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
fpga助理工程师,广东奥普特科技股份有限公司,6000-10000元·13薪,东莞·长安镇,东莞,本科,经验不限,7月23日,zhilian_direct,职位描述 FPGA 计算机软件 计算机硬件 工业自动化/机器人 任职要求： 1.本科及以上学历，电子，计算机或自动化相关专业，英语六级优先。 2.数电、模电基础知识扎实，有FPGA设计经验。 3.良好的沟通能力，态度端正，有责任心，能承受一定工作压力。 4.有意往FPGA方向发展，从事机器视觉相关行业。 工作内容： 1.协助新产品的设计方案规划，并执行。 2.负责样机试产阶段的工作，如样机物料采购，实验测试，样机评审等。 3.负责小批量试产前的技术资料准备工作，包括产品电路原理图、BOM、PCB板图等。 工作地点 东莞广东奥普特科技股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,FPGA,http://www.zhaopin.com/jobdetail/CC278982910J40263736306.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
硬件工程师,金华飞光科技有限公司,4000-8000元,金华·婺城区·秋滨街道,金华,本科,经验不限,7月25日,zhilian_direct,岗位职责： 1、 有较强的电路分析和设计能力，有较强的调试和问题解决能力； 2、编写项目文档、研发质量记录、设计说明等相关技术文档； 任职要求： 1、本科及以上学历，计算机类相关专业； 2、运用设计工具（AD、Cadence或Mentor）设计原理图及PCB； 3、具备利用示波器、逻辑分析仪测试硬件的能力； 4、掌握常用的标准电路的设计能力； 5、有良好的沟通协调能力，良好的团队精神。； 6、具备一定的文档撰写能力和英文文档读写能力； 7、有高速电路或FPGA电路设计经验的优先。 职位福利：绩效奖金、年终分红 工作地点 金华婺城区那云·海棠小微创业园12幢4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"FPGA开发,电路设计,嵌入式硬件开发",http://www.zhaopin.com/jobdetail/CC417678439J90250002000.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
fpga工程师,国科电雷(北京)电子装备技术有限公司,6000-8000元,合肥·蜀山·莲花社区,合肥,本科,经验不限,7月23日,zhilian_direct,岗位职责 1. 参与FPGA相关项目的开发工作，协助完成FPGA逻辑设计、代码编写、仿真验证及板级调试等基础工作。 2. 熟练使用VIVADO开发工具，完成工程搭建、综合、实现、时序分析、比特流生成等全流程开发操作。 3. 配合团队完成硬件电路与FPGA接口联调，协助解决项目开发过程中的技术问题。 4. 参与项目文档编写，包括设计方案、调试记录、测试报告等技术文档的整理与归档。 5. 学习并掌握公司相关技术规范、开发流程，快速融入团队完成分配的开发任务。 6. 协助完成FPGA模块的功能测试、性能优化，保障项目开发进度与质量。 三、任职要求 1. 学历专业：本科及以上学历，电子信息工程、通信工程、自动化、电子科学与技术等相关电子类专业应届生。 2. 专业技能：- 掌握数字电路、FPGA开发基础理论知识，熟悉Verilog/VHDL硬件描述语言。 - 在校期间有独立或参与FPGA项目开发经验，熟悉FPGA开发全流程。 - 熟练使用Xilinx VIVADO开发工具，能够独立完成工程开发、仿真调试、时序约束等操作。 - 了解基本的通信协议、接口原理（如UART、SPI、I2C、DDR等）者优先。 3. 能力素质：- 具备扎实的专业理论基础，学习能力强，对FPGA开发有浓厚兴趣。 - 具备良好的逻辑思维能力、问题分析与解决能力，做事严谨细心。 - 拥有良好的团队协作意识、沟通表达能力，能积极配合团队完成项目工作。 - 具备较强的责任心，能主动跟进工作任务，服从团队工作安排。 4. 其他：无工作经验要求，欢迎优秀应届生投递，可接受无全职工作经验。 四、福利待遇 1. 完善的应届生培养体系，一对一导师带教，助力快速掌握岗位技能、适应职场。 2. 具有竞争力的薪资待遇、五险一金、带薪年假、节日福利、定期团建。 3. 舒适的办公环境、免费下午茶、餐补/交通补等各项补贴。 4. 清晰的职业发展通道，丰富的技术培训与晋升机会，支持个人能力长期提升。 5. 弹性工作时间、人性化管理模式，平衡工作与生活。 工作地点 合肥市-蜀山区-香馨科创中心7楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Verilog,VHDL,仿真调试,Vivado",http://www.zhaopin.com/jobdetail/CC828175270J40934072515.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA开发工程师,深圳市华汉伟业科技有限公司,2-3.5万,深圳·南山·西丽,深圳,本科,经验不限,7月26日,zhilian_direct,职位描述 FPGA 以太网 Verilog Linux 嵌入式硬件开发 驱动开发 嵌入式技术 BSP开发 计算机硬件 计算机软件 人工智能 1、与算法工程师对接，完成算法功能的FPGA功能转换 2、负责FPGA系统的开发和调试 3、利用FPGA实现图像的采集、传输及处理加速 4、实现控制器与相机之间的通信（以太网） 5、FPGA与ARM之间的交互等 6、实现深度学习边缘端部和优化 工作地点 南山区深圳国际创新谷6栋A座17楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"FPGA,以太网,Verilog,Linux,嵌入式硬件开发,驱动开发,嵌入式技术,BSP开发",http://www.zhaopin.com/jobdetail/CC280373830J40265951105.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA助理工程师,福州高新区才拓科技有限公司,7000-10000元,贵阳·白云,贵阳,大专,经验不限,7月24日,zhilian_direct,岗位职责 协助高级工程师开展基于 Xilinx、Altera 等主流 FPGA 器件及开发环境的项目开发工作，包括但不限于搭建 FPGA 开发环境与仿真平台，并完成 FPGA 逻辑代码的仿真任务。​ 参与 FPGA 功能模块的逻辑设计，依据产品或项目的详细设计需求，进行符合功能与性能要求的 FPGA 设计、开发以及验证工作。​ 协同软硬件工程师完成芯片选型以及接口设计相关工作，为项目的整体推进提供支持。​ 负责编写产品开发、生产相关的技术文档，为生产环节提供必要的技术支撑。​ 参与项目需求沟通会议，根据需求文档进行可行性分析，并在必要时能够适应出差工作，与客户交流产品信息。​ 福利待遇​ 薪资构成：具备竞争力的基本工资 + 丰厚的项目奖励 + 高额年终奖金，充分肯定您的工作价值与贡献。​ 补贴福利：入职即可申请 500 - 800 元的住宿补贴，同时享有餐费补贴，为您的日常生活减轻负担。​ 保险保障：完善的五险一金，让您无后顾之忧。此外，额外提供商业险，进一步增强保障力度。​ 员工关怀：定期举办文体活动（如篮球、羽毛球、足球等）、月度生日会，节日发放丰厚福利，定期安排全面的年度体检。​ 晋升发展：公司拥有完善的内部晋升制度，从助理工程师开始，为您提供广阔的晋升空间，助力您的职业发展一路畅通。​ 工作氛围：优越舒适的办公环境，轻松快乐的工作氛围，以及一群可爱友好且优秀的工作伙伴，让您每天都能愉快工作。 工作地点 贵阳白云区七冶压力容器制造有限责任公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C语言,Python",http://www.zhaopin.com/jobdetail/CCL1491047900J40791620807.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA工程师,天津勤恩通信技术有限公司,1-1.6万,天津·东丽·华明,天津,本科,经验不限,7月23日,zhilian_direct,"职位描述 Verilog HDL VHDL 电子设备制造 专用设备制造 职位描述 岗位内容： 1. 设计数字信号处理电路和FPGA原型。 2.负责项目中数字信号处理相关算法的FPGA设计开发。 3. 编写Verilog HDL，VHDL代码，进行模拟仿真、综合和布局布线。 4. 完成FPGA验证测试，并发现并解决设计问题。 5. 实现FPGA设计规格书，包括架构、设计、实现和验证。 任职要求： 1. 精通数字电路设计和FPGA设计流程。 2. 具有丰富的HDL编程经验，熟练使用Verilog HDL,VHDL语言。 3. 对数字信号处理和FPGA设计算法有深入了解。 4. 熟悉EDA工具链，如Vivado、Modelsim等。 5. 有良好的沟通、团队协作能力和问题解决技巧。 6. 本科及以上学历，专业是电子、通信、计算机或相关领域。 工作地点 天津东丽区天保智谷汇盈产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Verilog HDL,VHDL",http://www.zhaopin.com/jobdetail/CCL1327630160J40862076214.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA开发工程师**,南京华昇智航科技有限公司,1.5-3万,南京·建邺·江心洲,南京,本科,经验不限,7月24日,zhilian_direct,岗位职责 1.负责雷达、电子对抗、通信系统相关的FPGA逻辑设计与开发，包括需求拆解、模块设计、代码编写、功能仿真、时序分析与优化。 2.负责数字信号处理算法的FPGA硬件化落地，包括脉冲压缩、数字上下变频、滤波、FFT、调制解调、干扰算法等模块的开发与验证。 3.负责FPGA板级调试、系统联调与问题定位，配合硬件团队完成原理图评审、硬件调试与测试，配合算法团队完成算法优化与落地适配。 4.负责高速接口（SRIO、PCIE、Aurora、JESD204B等）、基带处理、数据交互等相关模块的开发与调试。 5.负责项目相关设计文档、仿真报告、调试记录、测试报告等技术资料的编制、归档与更新。 （二）任职要求 1.基本要求 （1）学历：本科及以上学历，应届毕业生与社会人才均可报名。 （2）专业：电子工程、通信工程、微电子学与固体电子学、数字信号处理、集成电路设计等相关专业。 （3）其他：遵纪守法，品行端正，无不良从业记录，具备良好的职业素养、保密意识与团队协作精神。 2.专业能力要求 （1）熟练掌握Verilog/VHDL硬件描述语言，精通FPGA开发全流程，能独立完成模块级与系统级的逻辑设计、仿真验证与板级调试。 （2）熟悉Xilinx/Intel主流FPGA器件的架构、资源与开发工具链（Vivado/Quartus等），熟练使用Modelsim/VCS等仿真工具。 （3）掌握数字信号处理基础理论，熟悉常用数字信号处理算法的原理与FPGA实现方法，具备时序收敛、资源优化的相关能力。 （4）具备良好的问题排查能力、逻辑思维与文档撰写能力，能适应项目研发节奏与外场调试出差任务。 3.优先录用条件 （1）具有2年及以上雷达、电子对抗或通信系统FPGA程序开发相关项目经验者优先。 （2）有雷达信号处理、电子对抗干扰算法硬件化落地、高速数字接口开发调试经验者优先。 （3）具备型号项目研发、外场试验联调相关工作经验者优先。 工作地点 南京建邺区江岛智立方 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"ＦＰＧＡ,船舶/航空/航天/军工",http://www.zhaopin.com/jobdetail/CCL1503970380J40945222202.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA验证,中软国际,面议,杭州·余杭·仓前,杭州,本科,经验不限,5月14日,zhilian_direct,职位描述 Verilog HDL FPGA开发 公办统招本科及以上，熟练掌握systemverilog、Verilog或VHDL等硬件描述语言，有大规模FPGA项目开发经验者优先; 熟练FPGA设计和验证流程，掌握各种4、FPGA工具，如ISE，Questa等: 熟练掌握FPGA的实现技能，熟悉FPG5、A系统仿真、综合和板级调试方法; 熟悉软件工程化、可靠性设计、安全6、性设计等相关知识者优先; 7、熟悉ADC、DAC、串口、SS1、1553B总线、CAN总线等优先: 具有较强的责任心及团队合作精神8、较强的沟通能力、学习能力等。 工作地点 杭州余杭区中软国际科技有限公司1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Verilog HDL,http://www.zhaopin.com/jobdetail/CC508620120J40753274312.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA工程师助理,长沙知电信息技术有限公司,100-150元/天,长沙·开福·伍家岭,长沙,本科,经验不限,7月23日,zhilian_direct,岗位职责】 1、实现 FPGA 外围接口和总线调试处理； 2、基于 FPGA 实现信号处理功能； 3、配合硬件工程师进行器件选型，方案设计； 4、配合算法工程师完成算法验证与集成。 【任职要求】 1、本科或以上学历； 2、电子信息、通信工程、计算机、自动化等相关专业； 3、熟练掌握 verilog 进行 RTL 设计，有相关设计经验者优先； 4、熟练使用 vivado、modelsim、matlab 等开发仿真工具，有相关设计经验者优先； 职位福利：五险一金、绩效奖金、员工旅游、项目奖金、带薪年假、周末双休、年终奖、餐补房补交补 工作地点 开福区长沙知电信息技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,通信工程,http://www.zhaopin.com/jobdetail/CC842854340J40785722206.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
嵌入式开发工程师,西安迅华信息科技有限公司,7000-10000元·13薪,西安·雁塔·丈八沟,西安,本科,经验不限,6月25日,zhilian_direct,职位描述 C语言 计算机软件 计算机硬件 通信/网络设备 岗位内容： 1. 设计、开发和维护嵌入式硬件系统，包括电路板设计、原型制作和测量测试。 2. 根据项目需求编写嵌入式软件程序，并对其进行调试和优化。 3. 配合团队完成产品的开发计划和技术难题的解决。 任职要求： 1. 大专本科及以上学历，电子工程、计算机科学等相关专业背景。 2. 熟悉嵌入式系统设计流程，具备电路设计、FPGA开发经验。 3. 熟练掌握C/C++等嵌入式编程语言，能够进行底层驱动开发和移植。 4. 具备较强的沟通协作能力和团队合作精神，有扎实的解决问题能力和自主学习意识。 工作地点 西安雁塔区科技二路72号零壹广场B座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,C语言,http://www.zhaopin.com/jobdetail/CC523599630J40651865315.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
fpga/数字芯片设计/验证（25届也可）,信必优(深圳)信息技术有限公司,1.9-3.5万,西安·未央·三桥,西安,本科,经验不限,7月25日,zhilian_direct,岗位职责】： 1、编写芯片概要设计文档； 2、参与芯片安全性、可靠性、测试性分析； 3、完成需求→概要设计→RTL代码的双向追踪； 4、执行代码规则检查及分析。 【任职要求】： 1、统招本科及以上学历，电子/微电子/通信/计算机等相关专业； 2、1年以上数字IC或FPGA设计经验；25年微电子等相关专业985/211本、硕，0.5年及以上工作经验也可以。 3、参与过已流片项目，担任设计工程师； 4、熟练使用Office/WPS、EDA工具； 5、掌握Verilog/VHDL/SystemVerilog； 6、掌握状态机提取与代码转换。 加分项： 1、有脚本能力（Python/Perl/Tcl）； 2、有低功耗、车规、安全芯片经验。 工作地点 未央区西安环普创新城A1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Verilog HDL,VHDL,System Verilog,Verilog",http://www.zhaopin.com/jobdetail/CC641354530J40851709010.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
硬件实习生,哈尔滨明斯特科技有限公司,150-200元/天,哈尔滨·南岗·燎原,哈尔滨,本科,经验不限,6月30日,zhilian_direct,职位描述 可转正 实习证明 半导体/芯片 仪器仪表 电子设备制造 岗位要求： 电子类相关专业，本科及以上学历； 有扎实的数字电路、模拟电路基础优先； 熟悉单片机、DSP、FPGA开发流程优先； 熟悉AltiumDesigner PCB设计工具，具有电路板设计经验优先; 参加过电子实验室、有电子设计类大赛经历优先； 具备基本文档编辑能力； 要求在校大学生，暑假期间可以来单位实习的； 实习试用期为一周，试用期内薪资为70/天，如签订三方，薪资为4000/月 工作地点 哈尔滨南岗区上和置地广场407室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"可转正,实习证明,半导体/芯片,仪器仪表,电子设备制造",http://www.zhaopin.com/jobdetail/CCL1250520480J40948060708.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
初级硬件开发岗（FPGA方向）,南通嘉骏信息科技有限公司,6000-10000元,南通·崇川·新开,南通,本科,经验不限,7月24日,zhilian_direct,职位描述 Verilog HDL 半导体/芯片 招聘2026届统招本科、硕士优秀毕业生； 培养方向： FPGA开发（FPGA器件选型、框架设计、逻辑设计、仿真） 招聘要求： 1、专业要求：电子信息工程、微电子，自动化、通信工程等相关专业； 2、具备Verilog 硬件描述语言能力，有 FPGA 相关项目实操经验优先； 3、要求学习能力强、行动力强、有责任心、思路清晰； 4、毕业后长期在南通发展，有定居意向； 5、英文沟通良好(读、写、说)优先考虑 。 工作地点 南通崇川区紫琅科技城1号楼7层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Verilog HDL,http://www.zhaopin.com/jobdetail/CC598696320J40950143208.htm?refcode=4019&srccode=401901&preactionid=3c617fe9-48b2-4384-84a4-a4910debb296
FPGA开发工程师(RD06),浙江宇视科技有限公司,1-1.5万,济南·历城·港沟,济南,本科,1年以下,7月24日,zhilian_direct,岗位职责: 1、参与公司FPGA有关的产品的方案设计，器件选型等工作； 2、参与公司FPGA有关产品的开发、仿真、调试和维护工作。 任职资格: 1、熟练使用Verilog编程语言； 2、熟悉FPGA芯片架构，时序约束等基础概念； 3、了解FPGA开发流程，能够使用ISE、VIVADO或者Quartus等软件； 4、英语读写能力良好（CET-4以上），熟练阅读专业相关的技术资料； 5、性格稳重，善于沟通合作，能承受一定的工作压力。 工作地点 济南历城区侨梦苑2号楼13层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Verilog HDL,http://www.zhaopin.com/jobdetail/CC451534410J40851411014.htm?refcode=4019&srccode=401901&preactionid=ea425973-e16f-4213-a56b-01a35bfda944
FPGA助理工程师,江苏屹信航天科技股份有限公司,6000-10000元,南京·玄武·孝陵卫,南京,本科,经验不限,9月17日,zhilian_direct,职位描述 Verilog VHDL FPGA开发 通信/网络设备 半导体/芯片 船舶/航空/航天/军工 一、任职资格： 1. 通信电子类相关专业本科及以上学历； 2. 具备扎实的通信专业基础知识，有一定的数字电路调试能力； 3. 了解FPGA相关开发软件，对Verilog HDL或VHDL语言有一定了解； 4. 具有一定的抗压能力，及较强的学习能力； 5. 无FPGA 相关经验但有意愿往 FPGA 方向学习和发展亦可考虑。 工作职责： 1. 根据公司安排，按时完成项目节点； 2. 编写HDL程序，完成单元电路模块调试测试和子系统集成； 3. 配合软硬件人员完成相关调试任务，完成相关文档编写。 职位福利：带薪年假、节日福利、定期体检、六险一金、职称证书补贴、定期培训、出差补贴 工作地点 南京玄武区光华路桃园路A幢 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Verilog,VHDL,FPGA开发",http://www.zhaopin.com/jobdetail/CC628083930J40349197203.htm?refcode=4019&srccode=401901&preactionid=ea425973-e16f-4213-a56b-01a35bfda944
