job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数字化管理师,深圳市凯瑞佳易科技有限公司,9000-14000元·14薪,深圳·福田·华强北,深圳,本科,3-5年,7月26日,zhilian_direct,职位描述 本科 工作职责 负责公司数字化管理体系的搭建与落地，推动跨区域分公司的业务流程线上化、标准化。 主导数字化工具（如ERP、CRM等）的选型、实施与优化，解决业务场景中的数据流转痛点。 分析各分公司运营数据，输出数据洞察报告，支撑管理层决策，提升整体运营效率。 协调跨部门资源，推动数字化项目落地，确保项目按时交付并达成预期效果。 任职要求 本科及以上学历，计算机、信息管理、企业管理等相关专业优先 了解流程优化或企业信息化项目经验，熟悉通信/网络设备行业业务优先。 掌握至少一种主流数字化工具的操作与应用。 具备较强的数据分析能力与跨部门沟通协调能力，能独立推动项目落地。 公司福利： 提供食宿，带薪年假，假节日福利，五险一金，餐补房补交通补贴，年底绩效奖金，项目奖金 奖金绩效 年度绩效奖金，带薪年假 工作地点 深圳福田区南光大厦12楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,本科,http://www.zhaopin.com/jobdetail/CCL1461615970J40933154015.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
财务数字化管理师,建龙集团,1.5-2.5万,北京·丰台·看丹,北京,硕士,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责数字化规划与设计，制定集团财务数字化战略及实施路线图，设计责财务系统的架构、流程优化和方案； 2、负责项目实施与交付，主导或核心参与集团及子公司财务、成本系统的新建、升级与推广实施项目，包括需求分析、方案设计、系统配置、测试、上线及运维支持的全流程管理； 3、负责业财融合与流程优化，设计和优化业财一体化流程，确保业务数据到财务数据的自动、准确流转； 4、负责财务相关系统的应用运维，解决系统运行中的关键问题；持续监控系统应用效果，收集用户反馈，推动系统的持续优化与迭代； 5、具有较强的语言和文字表达能力、逻辑思维能力、组织协调能力和应变能力，较强的团队合作精神。 任职基本条件： 1、财经、计算机、信息化相关专业，硕士及以上学历， 2、具有中级以上会计、计算类技术职称； 3、从事大型制造业企业信息系统建设，熟悉生产、能源、销售、资材、物流等核心业务系统，并理解其与财务系统的集成逻辑，5年以上工作经验，具备扎实的财务、会计、信息化相关知识，熟悉钢铁企业业务流程者优先； 4、具备良好的数据分析和处理能力，熟悉SQL或相关BI工具； 5、具有较强的语言和文字表达能力、逻辑思维能力、组织协调能力和应变能力，较强的团队合作精神； 6、能适应经常出差者。 工作地点 北京丰台区总部基地12区49号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,财务数字化,http://www.zhaopin.com/jobdetail/CC233277110J40833283613.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
运营数字化（信息化）管理师,机械工业第九设计研究院股份有限公司,7000-12000元,长春·绿园·西新,长春,本科,3-5年,7月26日,zhilian_direct,"岗位职责: （一）信息化体系规划与制度建设 1. 制定公司信息化建设中长期目标、实施计划及阶段性任务，推动信息化战略落地； 2. 建立并完善业务管理系统运行规范、信息系统管理制度、系统维护标准等体系文件，实现信息化管理规范化、制度化； 3. 对接各业务部门，收集、评估、审核信息化需求，结合业务逻辑提出合理的解决方案，确保信息化建设贴合业务发展需求。 （二）新系统项目调研、实施与推广 1. 负责新业务管理系统调研、方案与选型评估，撰写调研报告及实施规划； 2. 制定新系统项目实施计划，统筹推进系统测试、安装、调试、数据迁移及验收工作，协调解决实施过程中的各类问题； 3. 配合领导及各业务部门推进新系统落地应用，负责系统部分功能二次开发的需求对接与落地跟进； 4. 编制信息化培训课件，组织开展新系统使用培训（含新员工专项指导），普及系统操作规范，提升全员数字化工具使用效率。 （三）系统日常运维与安全保障 1. 负责业务管理系统的日常维护与技术支持，快速响应并解决系统故障、操作疑问等问题； 2. 管理系统用户权限，及时完成人员新增、部门调整、权限变更等信息更新维护工作，保障权限分配合规； 3. 落实系统安全防护措施，开展病毒防范、漏洞修复、数据备份等工作，设置并维护涉密信息保密策略，防范信息安全风险； 4. 开展信息化平台使用情况督察，定期排查系统运行隐患，优化系统性能与流程，确保系统稳定高效运行。 （四）其他工作 1. 跟踪信息化行业动态与技术趋势，深入研究数字化管理方法，为公司信息化建设提供优化建议； 2. 完成上级领导交办的其他信息化相关工作任务。 任职资格: （一）学历与专业 1.本科及以上学历，计算机科学、软件工程、信息管理与信息系统、数据科学等相关专业。 （二）必备知识与经验 1. 开发经验：具备至少2-3年及以上的系统开发或核心功能模块开发经验。熟悉一种或多种主流开发语言（如.NET,Java, Python, C#等），了解前后端交互原理和数据库设计。 2. 项目管理经验：具备独立负责或作为核心成员完整参与至少2个信息化项目全生命周期（立项、规划、执行、验收、运维）的经验。精通项目计划、范围、风险与干系人管理。 3. 数据治理/整合经验：拥有实际的数据治理项目经验，熟悉数据标准制定、元数据管理、数据质量管控、主数据管理或数据整合/数据中台等相关领域的工作流程与方法。 （三）关键能力要求 1. 技术整合能力：能够将开发技术、数据能力与业务需求进行有效整合，设计可行的技术解决方案。 2. 系统性思维与问题解决：具备优秀的逻辑分析和复杂问题分解能力，能系统性思考技术、业务与管理之间的关联与影响。 3. 卓越的沟通与协调能力：能够清晰、准确地在业务部门、技术团队与管理层之间进行沟通协调，推动跨部门协作。 （四）优先条件 1. 人工智能应用经验：有将机器学习、自然语言处理（NLP）、知识图谱等AI技术应用于实际业务场景（如智能客服、流程自动化、预测分析等）的经验，并取得可验证的成果。 2. 技术广度：了解云计算（如Azure, AWS, 阿里云）、容器化（如Docker, Kubernetes）或微服务架构等相关技术。 3. 行业认证：持有PMP（项目管理专业人士认证）、CDMP（数据管理专业人士认证）或信息系统相关的高级认证。 工作地点 长春绿园区富奥大路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 公司信息 机械工业第九设计研究院股份有限公司 未融资 · 1000-9999人 · 建筑/土木/市政设计、新能源/燃油整车研发制造 已审核 10 个在招职位 公司介绍 公司创建于1958年，是我国专业从事汽车工厂规划、设计和建设的甲级设计研究院，是国家高新技术企业和国家级工业设计中心、国家企业技术中心，连续多年被评为全国勘察设计综合实力百强和工程总承包及项目管理百强单位。 工商信息 企业名称 机械工业第九设计研究院股份有限公司 企业类型 其他股份有限公司（非上市） 法人代表 史复 经营状态 存续 成立时间 1987-11-26 注册资本 1.41亿元 查看全部信息 认证资质 营业执照信息",.NET,http://www.zhaopin.com/jobdetail/CC437961320J40841333309.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
风险管理师（内审方向）,福建海峡企业管理服务有限公司,1-2万,南平·延平区·水东街道,南平,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责上市公司内部审计全流程管理，包括审计计划制定、审计项目实施、审计底稿编制、审计报告出具及整改跟踪； 2、组织开展审计工作（如财务审计、合规审计、经营审计等），识别业务风险点并提出改进建议； 3、对接外部监管机构的问询与检查，提供所需审计资料并配合完成核查工作； 4、建立健全内审管理制度与流程，优化审计方法，提升内审工作效率与质量； 5、跟踪审计发现问题的整改落实情况，定期汇报内审工作进展与成果。 任职要求： 1、本科及以上学历，审计学、会计学、财务管理等相关专业； 2、5年以上工作经验，其中拥有3 年以上上市公司或中大型制造业企业内部审计工作经验，熟悉内审全流程操作； 3、精通《企业内部控制基本规范》《上市公司治理准则》等相关法规政策； 4、具备独立组织开展审计项目的能力，能够熟练编制审计底稿和审计报告。 工作地点 延平区福建南平南孚电池有限公司(工业路) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,财务/审计/税务,http://www.zhaopin.com/jobdetail/CC227099230J40864579911.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师底薪4000管饭,山东橘洲企业管理咨询有限公司,6000-9000元,青岛·市北·浮山新区,青岛,学历不限,经验不限,7月26日,zhilian_direct,职位描述 体检中心 面销/陌拜 任职要求：积极热情，善于沟通 主要工作内容： 现场服务顾客，产品讲解销售，维护客情（让顾客免费体验理疗产品，客户长期使用后，感觉效果好的话，可以沟通产品） 工作地点 青岛市北区浮山后四小区东区-4号楼1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"体检中心,面销/陌拜",http://www.zhaopin.com/jobdetail/CCL1455404700J40903343412.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
企业管理咨询师,烟台镡卓锋企业管理咨询有限公司,2.5-5万,银川·兴庆区·文化街街道,银川,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1.为客户提出极具实效性的咨询方案，满足客户需求，并协助客户实施方案； 2.负责企业管理咨询项目的流程辅导（包括：企业战略、经营、薪酬、人员架构等），解决管理痛点和难点； 3.持续跟进项目复盘，承担数据的收集、调研、分析等相应工作，帮助提升企业管理绩效； 4.写咨询报告、实施必要培训，并能够有效结合相关政策、管理创新模式融入运用到企业管理规划中； 5.方案落地辅导，赋能企业提升完善运营治理逻辑； 6.负责项目执行团队的工作安排及管理考核等。 岗位要求： 1.本科及以上学历，管理学类相关专业； 2.三年以上企业高管/人力资源管理任职经验，或在某一经营管理方向有专长经验（比如财务、团队管理等）； 3.具备清晰的逻辑思维与学习能力，善于分析及解决问题，文案编写能力强，擅长PPT制作与企业路演； 4.热爱管理咨询工作，注重团队协作，能够带教同事，认同公司企业文化和管理理念。 注意：需要到山东烟台进行全职办公。 镡卓锋工作保障： 【靠谱工作：五险一金、丰厚年终奖、按时发薪、不陪领导吃饭喝酒等】 【快乐生活：员工旅游、家属旅游、节日礼包、每日茶歇水果等】 【关注健康：入职体检、年度体检、营养午餐、拓展活动等】 【学习成长：提供培训机会（内部培训、分享学习），让员工有更好的发展】 【发展机遇：提供人生自我价值实现平台：公司鼓励能者上，管理干部均通过内部产生】 工作地点 银川兴庆区宝丰银座中心1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"企业战略咨询,运营管理咨询,企业文化咨询,薪酬绩效,门店咨询",http://www.zhaopin.com/jobdetail/CCL1222000370J40776067316.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
营养健康管理师,四川祥芸一生健康管理有限公司绵阳分公司,8000-10000元·13薪,兰州·城关区·雁北街道,兰州,大专,1-3年,7月26日,zhilian_direct,职位描述 儿童营养 健身营养 病患营养 营养师 健康管理师 医院 体检中心 养生馆 我们正在招聘一位专业健康顾问，为客户提供全方位的健康咨询和指导。 工作内容： 1.评估客户的健康状况和需求； 2.为客户提供个性化的健康方案； 3.定期跟进和调整健康方案； 4.组织健康讲座和活动，普及健康知识。 岗位要求： 1.医学、营养学或相关专业背景； 2.良好的沟通能力和亲和力； 3.有责任心和职业道德； 4.持续学习，更新健康知识。 工作地点 兰州市-城关区-天水北路68号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"儿童营养,健身营养,病患营养,营养师,健康管理师,医院,体检中心,养生馆",http://www.zhaopin.com/jobdetail/CCL1491479120J40836556807.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师（服装城 五险 高薪）,太原市和你同行健康咨询管理有限公司,4000-8000元,太原·迎泽·郝庄,太原,大专,经验不限,7月26日,zhilian_direct,岗位职责 1.负责高端顾客的日常营养膳食规划和指导 2.负责高端顾客的健康数据的汇总、监管 3.负责高端顾客的健康规划、指导 4.负责店面日常的客情维护、客户开发工作。 四、晋升空间： 1.晋升级别：店长、高级店长、经理、高级经理、分公司总经理、市级公司总经理、省级公司总经理 2.晋升路径：业绩达标、带薪培训、考核通关、任命入职 五、公司成立13年、58家门店，实力雄厚，就近分配 六、工作时间：8：00-11:45 14:00-18:30法定节假日休 岗位福利优厚，多劳多得，欢迎优秀的你加入优秀的我们，一起奋斗成长、实现财富自由！ 工作地点 太原迎泽区正大美家窗帘·床品专业商场(御都新天地店)6楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"体检中心,康复中心,药店,门店销售,面销/陌拜,会议销售",http://www.zhaopin.com/jobdetail/CCL1339040870J40830503216.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
企业管理咨询师,烟台镡卓锋企业管理咨询有限公司,2.5-5万,惠州·惠城区·江北街道,惠州,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1.为客户提出极具实效性的咨询方案，满足客户需求，并协助客户实施方案； 2.负责企业管理咨询项目的流程辅导（包括：企业战略、经营、薪酬、人员架构等），解决管理痛点和难点； 3.持续跟进项目复盘，承担数据的收集、调研、分析等相应工作，帮助提升企业管理绩效； 4.写咨询报告、实施必要培训，并能够有效结合相关政策、管理创新模式融入运用到企业管理规划中； 5.方案落地辅导，赋能企业提升完善运营治理逻辑； 6.负责项目执行团队的工作安排及管理考核等。 岗位要求： 1.本科及以上学历，管理学类相关专业； 2.三年以上企业高管/人力资源管理任职经验，或在某一经营管理方向有专长经验（比如财务、团队管理等）； 3.具备清晰的逻辑思维与学习能力，善于分析及解决问题，文案编写能力强，擅长PPT制作与企业路演； 4.热爱管理咨询工作，注重团队协作，能够带教同事，认同公司企业文化和管理理念。 注意：需要到山东烟台进行全职办公。 镡卓锋工作保障： 【靠谱工作：五险一金、丰厚年终奖、按时发薪、不陪领导吃饭喝酒等】 【快乐生活：员工旅游、家属旅游、节日礼包、每日茶歇水果等】 【关注健康：入职体检、年度体检、营养午餐、拓展活动等】 【学习成长：提供培训机会（内部培训、分享学习），让员工有更好的发展】 【发展机遇：提供人生自我价值实现平台：公司鼓励能者上，管理干部均通过内部产生】 工作地点 惠城区惠州市中心1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"咨询师,企业战略咨询,运营管理咨询,企业文化咨询,薪酬绩效咨询",http://www.zhaopin.com/jobdetail/CCL1222000370J40776116516.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师,四川祥芸一生健康管理有限公司绵阳分公司,6000-8000元,沈阳·浑南·五三,沈阳,大专,1-3年,7月26日,zhilian_direct,职位描述 健康管理师 体检中心 减肥中心 药店 健康管理师二级 营养师证 健康管理师三级 卫生服务 医院/诊所服务 我们正在招聘一位专业健康顾问，为客户提供全方位的健康咨询和指导。 工作内容： 1.评估客户的健康状况和需求； 2.为客户提供个性化的健康方案； 3.定期跟进和调整健康方案； 4.组织健康讲座和活动，普及健康知识。 岗位要求： 1.医学、营养学或相关专业背景； 2.良好的沟通能力和亲和力； 3.有责任心和职业道德； 4.持续学习，更新健康知识。 工作地点 沈阳市-浑南区-营盘西街17-2号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"健康管理师,体检中心,减肥中心,药店,健康管理师二级,营养师证,健康管理师三级",http://www.zhaopin.com/jobdetail/CCL1491479120J40822212507.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师健康管理教练营养师,陕西祥芸一生健康管理有限公司,7000-14000元,宝鸡·渭滨区·桥南街道,宝鸡,大专,3-5年,7月26日,zhilian_direct,职位描述 健康管理师 营养师 1、根据体检报告给出健康咨询服务，解答客户关于体检项目、流程及适应症的疑问，完成体检报告解读； 2、基于客户体检数据及健康档案，制定个性化健康管理方案（涵盖营养、运动、慢病干预等模块），跟踪执行效果并动态调整； 3、建立客户健康档案数据库，运用Excel进行健康趋势分析，定期输出群体健康风险报告； 4、维护重点客户健康管理全周期服务，设计满意度调研机制，确保客户服务评价达90%以上； 7、其他相关工作。 任职要求： 1、临床医学、预防医学、营养学、护理学相关专业专科及以上学历，持有健康管理师/营养师资格证书； 2、1年以上健康管理经验，熟悉体检指标解读及慢病干预路径； 3、沟通表达能力突出，能针对不同客户群体进行健康指导； 4、熟练掌握EXCEL、PowerPoint、Words等软件使用； 5、细心耐心、有责任心，抗压能力强。 工作地点 宝鸡渭滨区陕西祥芸一生健康管理有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,健康管理师  营养师,http://www.zhaopin.com/jobdetail/CCL1347112030J40802118808.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
企业管理咨询师,烟台镡卓锋企业管理咨询有限公司,2.5-5万,吉林市·船营区·越北镇,吉林市,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1.为客户提出极具实效性的咨询方案，满足客户需求，并协助客户实施方案； 2.负责企业管理咨询项目的流程辅导（包括：企业战略、经营、薪酬、人员架构等），解决管理痛点和难点； 3.持续跟进项目复盘，承担数据的收集、调研、分析等相应工作，帮助提升企业管理绩效； 4.写咨询报告、实施必要培训，并能够有效结合相关政策、管理创新模式融入运用到企业管理规划中； 5.方案落地辅导，赋能企业提升完善运营治理逻辑； 6.负责项目执行团队的工作安排及管理考核等。 岗位要求： 1.本科及以上学历，管理学类相关专业； 2.三年以上企业高管/人力资源管理任职经验，或在某一经营管理方向有专长经验（比如财务、团队管理等）； 3.具备清晰的逻辑思维与学习能力，善于分析及解决问题，文案编写能力强，擅长PPT制作与企业路演； 4.热爱管理咨询工作，注重团队协作，能够带教同事，认同公司企业文化和管理理念。 注意：需要到山东烟台进行全职办公。 镡卓锋工作保障： 【靠谱工作：五险一金、丰厚年终奖、按时发薪、不陪领导吃饭喝酒等】 【快乐生活：员工旅游、家属旅游、节日礼包、每日茶歇水果等】 【关注健康：入职体检、年度体检、营养午餐、拓展活动等】 【学习成长：提供培训机会（内部培训、分享学习），让员工有更好的发展】 【发展机遇：提供人生自我价值实现平台：公司鼓励能者上，管理干部均通过内部产生】 工作地点 吉林市船营区廉政教育中心1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"咨询师,企业战略咨询,运营管理咨询,企业文化咨询,薪酬绩效咨询",http://www.zhaopin.com/jobdetail/CCL1222000370J40776117616.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师,四川祥芸一生健康管理有限公司绵阳分公司,9000-10000元,海口·秀英·海秀,海口,大专,1-3年,7月26日,zhilian_direct,职位描述 健康管理师 体检中心 美容店 减肥中心 面销/陌拜 渠道销售 网络销售 KA大客户 企业客户 个人客户 营养师证 医院/诊所服务 医药批发/零售 医美/健康服务 我们正在招聘一位专业健康顾问，为客户提供全方位的健康咨询和指导。 工作内容： 1.评估客户的健康状况和需求； 2.为客户提供个性化的健康方案； 3.定期跟进和调整健康方案； 4.组织健康讲座和活动，普及健康知识。 岗位要求： 1.医学、营养学或相关专业背景； 2.良好的沟通能力和亲和力； 3.有责任心和职业道德； 4.持续学习，更新健康知识。 工作地点 海口市-秀英区-海榆中线29号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"健康管理师,体检中心,美容店,减肥中心,面销/陌拜,渠道销售,网络销售,KA大客户,企业客户,个人客户,营养师证",http://www.zhaopin.com/jobdetail/CCL1491479120J40836560607.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师可管吃住,山东橘洲企业管理咨询有限公司,6000-10000元,青岛·市北·阜新路,青岛,学历不限,经验不限,7月26日,zhilian_direct,职位描述 康复中心 疗养院 体检中心 医院/诊所服务 公司有18年的专业糖尿病服务经验，还有大健康健康行业的经营经验，有自己的旅游公司，还有自己的中医院。一家专业管理中心，四家其他方面运营门店 上班时间 上午7:30-11:30，下午13:30-17:30 。试用期一个月，转正交纳五险，薪资4000＋提成，周休法休，带薪培训学习 主要工作内容： 通过公司小程序不断学习糖尿病方面的专业知识，为客户提供专业健康管理指导、日常糖尿病方面咨询解答、给客户定制的管理方案及时跟进；参与门店日常销售与客户维护，把专业转化为价值；负责外出义诊、社区地推、健康科普宣传等拓客工作；配合团队完成日常运营及客户服务工作。 工作地点 市北区青岛唐安糖尿病健康管理中心1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"康复中心,疗养院,体检中心",http://www.zhaopin.com/jobdetail/CCL1455404700J40900623512.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
企业管理咨询师,烟台镡卓锋企业管理咨询有限公司,2.5-5万,福州·台江·洋中,福州,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1.为客户提出极具实效性的咨询方案，满足客户需求，并协助客户实施方案； 2.负责企业管理咨询项目的流程辅导（包括：企业战略、经营、薪酬、人员架构等），解决管理痛点和难点； 3.持续跟进项目复盘，承担数据的收集、调研、分析等相应工作，帮助提升企业管理绩效； 4.写咨询报告、实施必要培训，并能够有效结合相关政策、管理创新模式融入运用到企业管理规划中； 5.方案落地辅导，赋能企业提升完善运营治理逻辑； 6.负责项目执行团队的工作安排及管理考核等。 岗位要求： 1.本科及以上学历，管理学类相关专业； 2.三年以上企业高管/人力资源管理任职经验，或在某一经营管理方向有专长经验（比如财务、团队管理等）； 3.具备清晰的逻辑思维与学习能力，善于分析及解决问题，文案编写能力强，擅长PPT制作与企业路演； 4.热爱管理咨询工作，注重团队协作，能够带教同事，认同公司企业文化和管理理念。 注意：需要到山东烟台进行全职办公。 镡卓锋工作保障： 【靠谱工作：五险一金、丰厚年终奖、按时发薪、不陪领导吃饭喝酒等】 【快乐生活：员工旅游、家属旅游、节日礼包、每日茶歇水果等】 【关注健康：入职体检、年度体检、营养午餐、拓展活动等】 【学习成长：提供培训机会（内部培训、分享学习），让员工有更好的发展】 【发展机遇：提供人生自我价值实现平台：公司鼓励能者上，管理干部均通过内部产生】 工作地点 福州台江区大悦中心1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"企业战略咨询,运营管理咨询,企业文化咨询,薪酬绩效,门店咨询",http://www.zhaopin.com/jobdetail/CCL1222000370J40776067616.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
营养师健康管理师,四川祥芸一生健康管理有限公司绵阳分公司,8000-10000元,太原·杏花岭·巨轮,太原,大专,1-3年,7月26日,zhilian_direct,职位描述 儿童营养 健身营养 病患营养 营养师 健康管理师 我们正在招聘一位专业健康顾问，为客户提供全方位的健康咨询和指导。 工作内容： 1.评估客户的健康状况和需求； 2.为客户提供个性化的健康方案； 3.定期跟进和调整健康方案； 4.组织健康讲座和活动，普及健康知识。 岗位要求： 1.医学、营养学或相关专业背景； 2.良好的沟通能力和亲和力； 3.有责任心和职业道德； 4.持续学习，更新健康知识。 工作地点 太原市-杏花岭区-解放路175号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"儿童营养,健身营养,病患营养,营养师,健康管理师",http://www.zhaopin.com/jobdetail/CCL1491479120J40833991307.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
中医健康管理师,湖南泓叁企业管理有限公司,4000-5000元,长沙·芙蓉·湘湖,长沙,大专,经验不限,7月26日,zhilian_direct,岗位职责 1.面向客户开展中医辨证及调理服务，执行标准化服务闭环流程； 2.搭建客户专属健康档案，做周期随访、居家养护指导，维护VIP客户黏性； 3.协助整理临床调理数据，落实门店服务SOP，协助打磨单店运营模型； 4.负责中医养生文化的健康宣教，向顾客普及中医养生的基础知识、日常养生原则与方法。 5.能够不断学习和更新自己的知识和技术，关注行业的发展和新的研究成果，提高自身的专业水平和能力。 二、任职要求 1.中医、针灸推拿、传统康复（康复治疗）等相关专业毕业，或者具备相关的职业培训证书； 2.有1年及以上中医养生相关工作经验；（本岗位接受优秀应届毕业生） 3.形象气质佳，具备中医调理师职业形象； 4.善于沟通，能够与顾客建立良好的关系，解答顾客的疑问和顾虑； 5.热爱中医事业，具备良好的职业道德和责任心。 三、福利待遇 入职五险一金，节假日福利 优秀求职者薪资面议 工作地点 长沙芙蓉区长盛上东区27楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"康复中心,养生中心,个人客户",http://www.zhaopin.com/jobdetail/CCL1484048220J40829501916.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
企业管理咨询师,烟台镡卓锋企业管理咨询有限公司,2.5-5万,咸阳·秦都区·人民路街道,咸阳,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1.为客户提出极具实效性的咨询方案，满足客户需求，并协助客户实施方案； 2.负责企业管理咨询项目的流程辅导（包括：企业战略、经营、薪酬、人员架构等），解决管理痛点和难点； 3.持续跟进项目复盘，承担数据的收集、调研、分析等相应工作，帮助提升企业管理绩效； 4.写咨询报告、实施必要培训，并能够有效结合相关政策、管理创新模式融入运用到企业管理规划中； 5.方案落地辅导，赋能企业提升完善运营治理逻辑； 6.负责项目执行团队的工作安排及管理考核等。 岗位要求： 1.本科及以上学历，管理学类相关专业； 2.三年以上企业高管/人力资源管理任职经验，或在某一经营管理方向有专长经验（比如财务、团队管理等）； 3.具备清晰的逻辑思维与学习能力，善于分析及解决问题，文案编写能力强，擅长PPT制作与企业路演； 4.热爱管理咨询工作，注重团队协作，能够带教同事，认同公司企业文化和管理理念。 注意：需要到山东烟台进行全职办公。 镡卓锋工作保障： 【靠谱工作：五险一金、丰厚年终奖、按时发薪、不陪领导吃饭喝酒等】 【快乐生活：员工旅游、家属旅游、节日礼包、每日茶歇水果等】 【关注健康：入职体检、年度体检、营养午餐、拓展活动等】 【学习成长：提供培训机会（内部培训、分享学习），让员工有更好的发展】 【发展机遇：提供人生自我价值实现平台：公司鼓励能者上，管理干部均通过内部产生】 工作地点 咸阳秦都区中心广场1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"咨询师,企业战略咨询,运营管理咨询,企业文化咨询,薪酬绩效咨询",http://www.zhaopin.com/jobdetail/CCL1222000370J40776116816.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
健康管理师 管吃管住,山东橘洲企业管理咨询有限公司,6000-10000元,青岛·市北·阜新路,青岛,学历不限,经验不限,7月26日,zhilian_direct,职位描述 康复中心 疗养院 体检中心 医院/诊所服务 公司有18年的专业糖尿病服务经验，还有大健康健康行业的经营经验，有自己的旅游公司，还有自己的中医院。一家专业管理中心，四家其他方面运营门店 上班时间 上午7:30-11:30，下午13:30-17:30 。试用期一个月 薪资4000＋提成，周休法休，带薪培训学习 主要工作内容： 通过公司小程序不断学习糖尿病方面的专业知识，为客户提供专业健康管理指导、日常糖尿病方面咨询解答、给客户定制的管理方案及时跟进；参与门店日常销售与客户维护，把专业转化为价值；负责外出义诊、社区地推、健康科普宣传等拓客工作；配合团队完成日常运营及客户服务工作。 工作地点 市北区青岛唐安糖尿病健康管理中心1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"康复中心,疗养院,体检中心",http://www.zhaopin.com/jobdetail/CCL1455404700J40900707612.htm?refcode=4019&srccode=401903&preactionid=3c2b7ff2-c468-40ea-8974-7036b6a25410
