job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据分析师,深圳日彤大数据有限公司,5000-10000元,三亚·吉阳区,三亚,本科,1-3年,7月26日,zhilian_direct,职位描述 数据挖掘 数据建模 财务/审计/税务 软件/IT服务 人工智能 1、负责使用公司自主产品的软件做数据分析工作。要求：熟练使用公司软件，能配合市场人员完成软件功能演示、讲解、培训等工作； 2、负责面向客户的技术交流，完成售前阶段的客户需求分析、引导客户需求； 3、负责用户项目的对接和用户关系维护；配合用户进行数据分析工作。 岗位要求： 1、大专及以上学历，财会金融、统计、计算机、软件工程等相关专业。 2、要求熟练使用Excel。 3、主要工作对象为公安局和其他政府职能部门，有政府项目经验者优先 4、良好的沟通能力和语言表达能力，团队意识强，责任心强，工作态度严谨细致 企业介绍 深圳日彤大数据有限公司成立于2015年，注册资金1369万，位于深圳市前海深港合作区，是一家为公安、纪检、审计等行业提供大数据研判分析软件的研发企业。公司自2016年开始推出大数据研判分析软件--“数据魔方”，系一款灵活、精准、高效、自助、实用的多维数据快速分析应用软件，目前该软件--数据魔方(及其衍生产品)已经在多个公安、税务、审计部门使用，在经侦、刑侦、禁毒、反诈、食药环、合成作战、税务、审计等多个警种（部门）取得了大量的战果。 数据魔方在资金流向追踪、帐号穿透分析、话单一键分析、多维度可视化展示、易操作等方面具有突出优势，在全国多起部、省、市级专案中起到关键作用，并取得丰硕战果。用户可通过数据智能导入清洗功能、资金穿透追踪功能、可视化分析功能、各种技战法模型、零代码可视化自主建模功能以及一键智能生成分析报告功能等，对各类资金、通联、轨迹等数据进行汇聚、整理、加工后实现资金、账户、话单、轨迹等信息的多维分析、综合研判，从案件自动串并中发现关联路径，交易规模、流向、性质、主体、团伙等深层次的情报信息，达到对犯罪行为的证伪、溯源、复原之目的。可以让熟悉公安业务但无计算机编程基础的一线民警轻松完成大数据分析。 工作地点 吉阳区三亚市公安局 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,数据建模",http://www.zhaopin.com/jobdetail/CCL1225736220J40950285308.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
初级数据分析师,美林数据技术股份有限公司,8000-12000元,石家庄·裕华·太行,石家庄,本科,1-3年,7月26日,zhilian_direct,职位描述 数据治理 数据挖掘 数据建模 Python Sql 电力/水利/热力/燃气 人工智能 1.工作经验:本科及以上学历，2年及以上数据分析、数据处理相关从业经历，参与过2-3个完整的数据分析相关项目，熟悉项目基础推进流程。 2.专业基础:具备扎实的数学、统计学、大数据基础知识，了解常用数据分析算法与模型;具备专业的数据处理与统计分析能力，能够高效完成数据质量审核、校验及汇总统计工作，对数据敏感，具备高度的责任心，确保数据输出准确无误;具备优秀的公文写作与材料编写能力，能够独立完成分析报告、工作动态等各类公文材料的撰写，确保内容专业、结构严谨、表述精准。3.工具技能:熟练运用Excel高级公式及数据处理工具，掌握Python、SQL等数据分析工具，能够独立完成基础统计分析与数据处理工作;熟练使用常见AI工具辅助开展数据分析、公文撰写、数据可视化等工作，提升工作效率与成果质量;了解标准化数据挖掘基础流程，可按照标准流程开展基础项目实施工作。 4.实操能力:具备独立业务拆解、场景分析能力，可自主完成数据清洗、统计计算、多维分析等基础工作，能够按业务场景输 出分析结果与辅助报告;具备优秀的统筹协调与条理化管理能力，逻辑清晰，能够同时并行处理多项任务，合理分配时间与精 力，确保各事项独立推进、互不遗漏;能够输出逻辑严谨、结论落地、符合要求的专业数据分析报告与公文材料。 5.行业知识:熟悉电力电网行业基础知识及生产运行基础业务场景，能够快速理解业务需求与数据含义;了解行业基础业务规 范与数据标准，能够快速适配行业相关数据分析要求。 6.综合素养:工作严谨细致、责任心强，具备优秀的动手实操能力与问题排查能力;逻辑思维清晰、沟通表达顺畅，可高效对 接业务及技术相关方，妥善处理多方需求;具备优秀的心理韧性与抗压能力，能够从容应对不同客户方沟通风格，在高压、高 强度的工作节奏下保持稳定输出;学习适配能力强，能够快速跟进行业新规、新技术及业务迭代要求，团队配合意识强。 7.优先条件:熟悉国网体系内材料撰写规范、数据标准与业务流程者优先;熟悉供电所运营管理相关业务流程，或具备高标准农 田建设、乡村振兴等领域业务知识者优先;具有面向多客户、多接口人的协同经验，多地市、多方向项目对接跟进经验者优先; 持有PMP、系统集成项目管理工程师等相关证书者优先。 工作地点 石家庄裕华区国网河北省电力有限公司电力科学研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据挖掘,数据建模,Python,Sql",http://www.zhaopin.com/jobdetail/CC200911980J40956040615.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师实习生,江西省天网大数据有限公司,2000-3000元,宜春·袁州区·官园街道,宜春,本科,1-3年,7月26日,zhilian_direct,岗位职责 1. 参与公司业务系统的功能开发与模块迭代，协助完成后端接口及前端页面的开发工作； 2. 参与公司大数据平台技术支持工作，完成日常数据查询、统计分析等工作； 3. 编写相关技术文档，协助完成系统测试与问题排查； 4. 配合团队完成各类项目需求，积极融入开发团队工作节奏； 5. 完成上级领导安排的其他工作任务。 任职要求 一、基本条件 • 计算机科学、软件工程、信息技术或相关专业，应届或毕业2年以内； • 具备良好的编程基础，有完整的项目开发经历者优先。 二、技术能力 • 了解 Spring Boot 框架，能够独立完成基础的 RESTful 接口开发； • 了解 Vue.js 框架，具备一定的前端页面开发与调试能力； • 了解 Python 基本语法及常用标准库，能编写简单的脚本或数据处理程序； • 有过完整项目实战经验（校内项目、实训项目、竞赛项目等均可），能描述自己在项目中承担的工作； • 熟悉 MySQL 数据库，掌握数据表的增删改查，熟练使用分组（GROUP BY）、条件过滤（WHERE / HAVING）、多表关联查询等常用操作。 三、综合素质 • 学习能力强：对技术保持好奇心，善于自主钻研、查阅文档资料，遇到问题能主动寻找解决方案； • 责任心强：对待工作认真负责，能按时高质量完成任务，不推诿、不敷衍； • 服从管理：尊重团队规范，能够听从领导安排，配合团队整体工作部署； • 具备良好的沟通协作能力，能融入团队氛围。 工作地点 袁州区江西省天网大数据有限公司宜春大数据产业园景烁楼5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"报表开发,Python",http://www.zhaopin.com/jobdetail/CCL1322412370J40910315012.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师,深圳日彤大数据有限公司,5000-10000元,海口·秀英·长流,海口,大专,1-3年,7月26日,zhilian_direct,职位描述 数据挖掘 数据建模 计算机软件 云计算 职位描述 1、负责使用公司自主产品的软件做数据分析工作。要求：熟练使用公司软件，能配合市场人员完成软件功能演示、讲解、培训等工作； 2、负责面向客户的技术交流，完成售前阶段的客户需求分析、引导客户需求； 3、负责用户项目的对接和用户关系维护；配合用户进行数据分析工作。 岗位要求： 1、大专及以上学历，财会金融、统计、计算机、软件工程等相关专业。 2、要求熟练使用Excel。 3、主要工作对象为公安局和其他政府职能部门，有政府项目经验者优先 4、良好的沟通能力和语言表达能力，团队意识强，责任心强，工作态度严谨细致 企业介绍 深圳日彤大数据有限公司成立于2015年，注册资金1369万，位于深圳市前海深港合作区，是一家为公安、纪检、审计等行业提供大数据研判分析软件的研发企业。公司自2016年开始推出大数据研判分析软件--“数据魔方”，系一款灵活、精准、高效、自助、实用的多维数据快速分析应用软件，目前该软件--数据魔方(及其衍生产品)已经在多个公安、税务、审计部门使用，在经侦、刑侦、禁毒、反诈、食药环、合成作战、税务、审计等多个警种（部门）取得了大量的战果。 数据魔方在资金流向追踪、帐号穿透分析、话单一键分析、多维度可视化展示、易操作等方面具有突出优势，在全国多起部、省、市级专案中起到关键作用，并取得丰硕战果。用户可通过数据智能导入清洗功能、资金穿透追踪功能、可视化分析功能、各种技战法模型、零代码可视化自主建模功能以及一键智能生成分析报告功能等，对各类资金、通联、轨迹等数据进行汇聚、整理、加工后实现资金、账户、话单、轨迹等信息的多维分析、综合研判，从案件自动串并中发现关联路径，交易规模、流向、性质、主体、团伙等深层次的情报信息，达到对犯罪行为的证伪、溯源、复原之目的。可以让熟悉公安业务但无计算机编程基础的一线民警轻松完成大数据分析。 工作地点 秀英区海口市公安局 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,数据建模",http://www.zhaopin.com/jobdetail/CCL1225736220J40930000508.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
中级数据分析师,美林数据技术股份有限公司,1-2万,石家庄·裕华·槐底,石家庄,本科,3-5年,7月26日,zhilian_direct,职位描述 Python R语言 Sql 数据治理 数据建模 数据挖掘 电力/水利/热力/燃气 1.工作经验：具备2-4年数据分析相关从业经历，拥有至少2个完整落地的数据挖掘项目实操经验，熟悉项目全流程推进及管控逻辑； 2.专业基础：具备扎实的统计学、数理分析理论功底，精通常用数据分析算法，熟练掌握大数据采集、清洗、处理、分析核心方法；熟练运用数据挖掘方法论，独立完成业务场景拆解分析并输出高质量分析成果及报告； 3.工具技能：熟练运用Python、R、SQL等数据分析及编程工具；精通CRISP-DM、SEMMA等标准化数据挖掘流程，可严格按照标准流程开展项目实施工作；熟练使用常见AI工具辅助开展数据分析工作，提升工作效率与成果质量； 4.实操能力：具备独立业务拆解、场景分析能力，可自主完成数据清洗、建模挖掘、多维分析等工作，能够输出逻辑严谨、结论落地、符合客户要求的专业数据分析报告； 5.行业知识：熟悉电力电网行业基础知识及生产运行核心业务场景，可精准挖掘客户业务需求，独立完成需求梳理、实施方案编制及专业解决方案撰写； 6.综合素养：工作严谨细致、责任心强，具备优秀的动手实操能力与问题排查能力；逻辑思维清晰、沟通表达顺畅，可高效对接业务及技术相关方；学习适配能力强，能够快速跟进行业新规、新技术及业务迭代要求； 7.优先条件：熟悉电力能源行业整体业务体系，了解源-网-荷-储协同调控、新能源并网、电力调度等典型业务场景者优先考虑。 工作地点 石家庄裕华区国网河北省电力有限公司经济技术研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,R语言,Sql,数据治理,数据建模,数据挖掘",http://www.zhaopin.com/jobdetail/CC200911980J40939957115.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师（五险一金）,江西省天网大数据有限公司,5000-9000元,宜春·袁州区·官园街道,宜春,本科,3-5年,7月26日,zhilian_direct,"职位描述 Sql Python 数据治理 数据建模 云计算 信息安全 软件/IT服务 岗位内容 1、负责软件系统的设计和开发，确保代码高效、可扩展和易维护； 2、负责大数据平台的数据清洗、数据分析以及数据接口相关工作； 3、负责大数据平台的服务器运维、网络安全防范、国产化改造升级等工作； 4、学习大数据相关技术，提升团队的技术水平，推动新技术的应用； 5、服从领导安排，协助公司内部的其它工作； 工作要求 1、本科以上学历，计算机相关专业，3年以上开发经验； 2、精通Java语言，熟练掌握至少一种Java Web开发框架； 3、熟悉微服务架构理念与技术，熟悉常见设计模式，熟练掌握 Spring Cloud，SpringBoot，MyBatis 等框架； 4、精通数据库设计和性能优化，熟悉主流RDBMS和NoSQL数据库（如MySQL, Oracle, Redis, MongoDB等）； 5、熟练掌握HTML5、CSS3、JS（ES6+），精通Vue/React等主流框架。 6、熟悉桌面运维技术，对网络安全、等级保护、商密评测有一定的了解 Java、Vue、数据库、数据分析、信创 工作地点 宜春袁州区光启楼7楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Sql,Python,数据治理,数据建模",http://www.zhaopin.com/jobdetail/CCL1322412370J40914901012.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师,深圳日彤大数据有限公司,5000-10000元,湛江·赤坎区·南桥街道,湛江,大专,1-3年,7月26日,zhilian_direct,职位描述 数据挖掘 数据建模 职位描述 1、负责使用公司自主产品的软件做数据分析工作。要求：熟练使用公司软件，能配合市场人员完成软件功能演示、讲解、培训等工作； 2、负责面向客户的技术交流，完成售前阶段的客户需求分析、引导客户需求； 3、负责用户项目的对接和用户关系维护；配合用户进行数据分析工作。 岗位要求： 1、大专及以上学历，财会金融、统计、计算机、软件工程等相关专业。 2、要求熟练使用Excel。 3、主要工作对象为公安局和其他政府职能部门，有政府项目经验者优先 4、良好的沟通能力和语言表达能力，团队意识强，责任心强，工作态度严谨细致 企业介绍 深圳日彤大数据有限公司成立于2015年，注册资金1369万，位于深圳市前海深港合作区，是一家为公安、纪检、审计等行业提供大数据研判分析软件的研发企业。公司自2016年开始推出大数据研判分析软件--“数据魔方”，系一款灵活、精准、高效、自助、实用的多维数据快速分析应用软件，目前该软件--数据魔方(及其衍生产品)已经在多个公安、税务、审计部门使用，在经侦、刑侦、禁毒、反诈、食药环、合成作战、税务、审计等多个警种（部门）取得了大量的战果。 数据魔方在资金流向追踪、帐号穿透分析、话单一键分析、多维度可视化展示、易操作等方面具有突出优势，在全国多起部、省、市级专案中起到关键作用，并取得丰硕战果。用户可通过数据智能导入清洗功能、资金穿透追踪功能、可视化分析功能、各种技战法模型、零代码可视化自主建模功能以及一键智能生成分析报告功能等，对各类资金、通联、轨迹等数据进行汇聚、整理、加工后实现资金、账户、话单、轨迹等信息的多维分析、综合研判，从案件自动串并中发现关联路径，交易规模、流向、性质、主体、团伙等深层次的情报信息，达到对犯罪行为的证伪、溯源、复原之目的。可以让熟悉公安业务但无计算机编程基础的一线民警轻松完成大数据分析。 工作地点 赤坎区湛江市公安局 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,数据建模",http://www.zhaopin.com/jobdetail/CCL1225736220J40939102908.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师,北京盘拓数据科技有限公司,5000-7000元,青岛·城阳·棘洪滩,青岛,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、深入理解业务，与产品研发配合，进行数据治理，高效为业务提供数据支持； 2、通过数据分析，驱动产品及运营优化； 3、能主动发现和识别业务问题，结合业务目标构建分析模型，为产品数据化运营提供解决方案。 任职要求: 1、统计学、数学、计算机等理工科专业； 2、熟练使用Python、SQL、Shell、Excel等数据处理分析工具； 3、熟悉 Python 科学计算类工具库，NumPy、Pandas； 3、对数据敏感，逻辑思维缜密，总结及表达能力好； 4、学习能力好，抗压能力强，能快速学习接受新事物。 职位福利：五险一金、周末双休、大牛带队、定期体检、节日福利 工作地点 青岛城阳区中欧科创园1号楼A区604 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"舆情分析,Python,英语,团队协作能力,数据分析,数据库",http://www.zhaopin.com/jobdetail/CCL1369677690J40223335013.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
互联网/科技方向数据分析师,数据加(长春)科技有限公司,1-2万,长春·宽城·奋进,长春,本科,3-5年,7月26日,zhilian_direct,职位描述 产业互联网平台 工作年限：2.5–4 年（核心区间），允许 2 年但需有突出项目经历； 学历：本科及以上，统计学/数学/计算机/经济学/金融学/会计学等相关专业优先； 核心能力：数据清洗、探索性分析(EDA)、指标体系搭建、可视化呈现、结论提炼与汇报； 工具栈：熟悉 ERP 数据导出（SAP/Oracle/用友/金蝶）、会用 VBA 或 Python 做批量对账； 人员背景：在互联网公司（字节、腾讯、美团、快手、B站等）从事过内容、广告、增长等业务方向的数据分析、策略运营等工作； 人员要求：习惯处理千万~亿级行为日志，熟悉至少一种数据分析语言：SQL/Python/R/Hive/Spark SQL/ClickHouse； 能力要求：有埋点设计经验、懂归因模型、接触过因果推断方法； 思维特征：强假设驱动，善于从指标异动中定位根因； 要求人员熟悉大模型，AI训练，rubrics的撰写 工作地点 长春宽城区北湖未来科学城长新创谷-6号楼(人工智能产业基地)13B层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,产业互联网平台,http://www.zhaopin.com/jobdetail/CC560737730J40857053101.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师,深圳日彤大数据有限公司,5000-10000元,成都·青羊·草市街,成都,本科,1-3年,7月26日,zhilian_direct,职位描述 数据挖掘 数据建模 财务/审计/税务 软件/IT服务 人工智能 1、负责使用公司自主产品的软件做数据分析工作。要求：熟练使用公司软件，能配合市场人员完成软件功能演示、讲解、培训等工作； 2、负责面向客户的技术交流，完成售前阶段的客户需求分析、引导客户需求； 3、负责用户项目的对接和用户关系维护；配合用户进行数据分析工作。 岗位要求： 1、大专及以上学历，财会金融、统计、计算机、软件工程等相关专业。 2、要求熟练使用Excel。 3、主要工作对象为公安局和其他政府职能部门，有政府项目经验者优先 4、良好的沟通能力和语言表达能力，团队意识强，责任心强，工作态度严谨细致 企业介绍 深圳日彤大数据有限公司成立于2015年，注册资金1369万，位于深圳市前海深港合作区，是一家为公安、纪检、审计等行业提供大数据研判分析软件的研发企业。公司自2016年开始推出大数据研判分析软件--“数据魔方”，系一款灵活、精准、高效、自助、实用的多维数据快速分析应用软件，目前该软件--数据魔方(及其衍生产品)已经在多个公安、税务、审计部门使用，在经侦、刑侦、禁毒、反诈、食药环、合成作战、税务、审计等多个警种（部门）取得了大量的战果。 数据魔方在资金流向追踪、帐号穿透分析、话单一键分析、多维度可视化展示、易操作等方面具有突出优势，在全国多起部、省、市级专案中起到关键作用，并取得丰硕战果。用户可通过数据智能导入清洗功能、资金穿透追踪功能、可视化分析功能、各种技战法模型、零代码可视化自主建模功能以及一键智能生成分析报告功能等，对各类资金、通联、轨迹等数据进行汇聚、整理、加工后实现资金、账户、话单、轨迹等信息的多维分析、综合研判，从案件自动串并中发现关联路径，交易规模、流向、性质、主体、团伙等深层次的情报信息，达到对犯罪行为的证伪、溯源、复原之目的。可以让熟悉公安业务但无计算机编程基础的一线民警轻松完成大数据分析。 工作地点 青羊区成都市公安局 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,数据建模",http://www.zhaopin.com/jobdetail/CCL1225736220J40950285408.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师,北京盘拓数据科技有限公司,1-2万,北京·海淀·北下关,北京,硕士,经验不限,7月26日,zhilian_direct,岗位职责： 根据客户业务，进行需求搜集、调研，提供需求总结、调研报告，持续迭代； 定期进行专题分析、综合分析，撰写研究报告。 2、岗位要求： 国际关系相关专业优先； 硕士及以上学历； 热爱JS行业，BD背景优先； 优秀的数据收集分析和需求分析能力，长期关注热点新闻等； 较好的英文阅读能力和报告撰写能力； 较强的行业洞察能力和分析能力，具有较强的责任意识； 较强的沟通和协作能力，较强的表达和理解能力；； 欢迎优秀应届毕业生！ 工作地点 北京海淀区中国农业科学院中关村(院区)信息楼406 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,数据挖掘,http://www.zhaopin.com/jobdetail/CCL1369677690J40828677713.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
财务数据分析师,数据加(长春)科技有限公司,1-2万,长春·宽城·奋进,长春,本科,3-5年,7月26日,zhilian_direct,"职位描述 会计师事务所 工作年限：2.5–4 年（核心区间），允许 2 年但需有突出项目经历； 学历：本科及以上，经济学/金融学/会计学等相关专业优先； 核心能力：数据清洗、探索性分析(EDA)、指标体系搭建、可视化呈现、结论提炼与汇报； 工具栈：熟悉 ERP 数据导出（SAP/Oracle/用友/金蝶）、会用 VBA 或 Python 做批量对账； 人员背景：在会计师事务所（四大/内资所）、企业财务部、或财税 SaaS 公司担任数据分析/财务分析/审计数据分析岗位； 熟悉场景：财务报表分析、成本归集与分摊、税务合规校验、审计抽样与异常检测、预算 vs 实际偏差分析； 专业知识要求：理解会计准则(CAS/IFRS)基本框架、科目勾稽关系、财务比率含义； 思维特征：严谨、注重数据可追溯性，对""数对不上""有职业洁癖； 要求人员熟悉大模型，AI训练，rubrics的撰写 工作地点 长春宽城区北湖未来科学城长新创谷-6号楼(人工智能产业基地)13B层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",会计师事务所,http://www.zhaopin.com/jobdetail/CC560737730J40857050701.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
银行开发工程师 / 数据分析师（金融方向）,上海澳联数据服务有限公司,1-1.5万,上海·浦东·陆家嘴,上海,本科,经验不限,7月26日,zhilian_direct,岗位职责 1. 负责银行内部业务报表的需求沟通、设计、开发与测试工作。 2. 使用SQL语言进行复杂数据查询、提取、清洗和加工，满足各类数据分析与报表需求。 3. 运用Java或Python等编程语言，开发和维护自动化报表生成工具与数据流程。 4. 与业务部门（如风控、财务、营销等）紧密合作，将业务需求转化为技术解决方案。 5. 确保报表数据的准确性、及时性和安全性，遵守银行数据治理规范。 6. 优化现有的报表系统和数据查询效率，提升数据处理性能。 任职要求 · 必备条件： · 本科及以上学历，计算机科学、信息技术、统计学、金融工程或相关专业。 · 熟练掌握SQL语言，具备优秀的数据库查询、优化能力，有使用Oracle、DB2、MySQL等一种或多种数据库的经验。 · 至少掌握Java或Python其中一门编程语言，并有实际项目开发经验。 · 具备良好的逻辑思维能力、数据分析能力和问题解决能力。 · 工作细致认真，有强烈的责任心和良好的团队协作精神。 · 优先考虑： · 有银行、保险、证券等金融机构相关工作经验者优先。 · 有报表开发、商业智能（BI）项目经验者优先（熟悉FineReport、Tableau、Power BI等报表工具者更佳）。 · 熟悉Linux操作系统常用命令，了解Shell脚本者优先。 · 了解数据仓库（如Hadoop、Hive）相关技术者优先。 我们期待您的加入！ 工作地点 上海市浦东新区陆家嘴东路161号21 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"基金数据分析,SQL,C++,MySQL",http://www.zhaopin.com/jobdetail/CCL1385110740J40709400706.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据建模分析师,上海数治数据科技有限公司,1.2-1.7万,上海·浦东·张江,上海,硕士,经验不限,7月26日,zhilian_direct,职位描述 数据建模 数据分析 机器学习 文本挖掘 R语言 Python 招聘岗位： 1、负责经济和社会统计调查数据建模，如产业园区经济指标预测、海洋经济判断建模、文化产业规模推算等； 2、负责经济和社会研究课题数据建模，如人口大数据建模、手机信令大数据建模、地理信息大数据建模等； 3、其他统计数据建模工作。 岗位要求： 1、普通高等院校硕士研究生学历并获得相应学位，统计学、经济学、社会学和数学专业优先； 2、掌握统计数据建模方法，熟练应用Ｒ、python等统计建模分析软件者优先； 3、具有良好的职业道德，诚实守信、踏实稳重、工作细心、责任心强，有团队协作精神。 职位福利：五险一金、绩效奖金、带薪年假、弹性工作、补充医疗保险、定期体检、员工旅游、高温补贴 工作地点 上海浦东新区张江M TOWN-1号楼203-204室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据建模,数据分析,机器学习,文本挖掘,R语言,Python",http://www.zhaopin.com/jobdetail/CC841423530J40195828415.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师（双休 五险一金）,北京清博智能科技有限公司,5000-8000元,武汉·江汉·唐家墩街,武汉,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、负责互联网公开数据、社交媒体数据及行业数据的采集、整理与分析，输出舆情分析、品牌营销效果、消费者洞察等类型的研究报告。 2、围绕热点事件、品牌传播及行业趋势，开展数据挖掘与舆论研判，提炼有价值的分析结论与策略建议。 3、对微博、抖音、小红书、微信公众号、论坛、新闻媒体等多平台内容进行数据监测与效果拆解。 4、配合项目团队完成日报、周报、专项分析报告及深度研究报告等交付任务。 5、结合客户业务需求，从数据中提炼核心发现，形成可视化呈现及可落地的洞察观点。 6、关注舆情动态与行业传播趋势，对潜在风险与传播机会进行及时分析预警。 任职要求： 1、本科及以上学历，新闻传播、统计学、社会学、市场营销、经济学、数据分析等相关专业优先。 2、有数据分析报告、品牌营销分析报告、行业研究报告、舆情分析报告经验者优先；有汽车、科技、消费品等行业相关分析经验者加分。 3、具备较强的数据敏感度、逻辑分析能力与信息整合能力。能独立完成信息搜集、数据整理、观点提炼及报告撰写。 4、熟练使用 Excel、PPT 等办公工具；掌握基础可视化或批量数据处理能力者优先。 5、具备扎实的文字表达能力、良好的抗压能力与团队协作意识。 工作地点 武汉江汉区中心书城·5.5数字文创港1705-1708 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据治理,数据挖掘,报表开发",http://www.zhaopin.com/jobdetail/CC284761780J40862109609.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
数据分析师,跨越速运,1-2万,深圳·宝安·航城,深圳,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、销售行为监督、分析团队内部数据及指导，辅助管理者进行团队管理工作。 2、销售各类数据收集分析整理，定时输出报告。 3、相关市场讯息的挖掘与整理收集。 4、分析团队问题、客户问题输出问题及解决方案报告。 5、协助领导设置销售目标、销售模式、销售策略和奖励机制。 6、完成上级安排的其他事务。 岗位要求： 1、本科学历，985/211学历优先。 2、性格外向，跨部门协作能力强。 3、有系统分析的经验、数据分析能力。 4、掌握常用系统模块，对于报表、分析类模块使用熟练，能综合性串联、运用系统各模块，对公司系统模块及规则有独立的思考能力，并能给出较优质的意见建议能独立统筹区域各项重点事项(如优才、技能提升等专项) 薪资待遇： 1、公司总部上班，办公环境好，配备健身房，小卖部，员工食堂。 2、配备全部办公所需，手机卡、平板电脑、笔记本电脑，外出公司配车 3、轻松愉快的工作氛围，管理层年轻化，月度、季度均有团建 4、薪资区间1-2W，优秀可面谈 工作地点 深圳宝安区跨越速运总部 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"金融分析,行业研究员,财务BP",http://www.zhaopin.com/jobdetail/CC574811320J40856114411.htm?refcode=4019&srccode=401903&preactionid=7e8e22d3-1d93-4dee-bc96-4408bdca2c3a
