job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
图像算法工程师,中国大恒(集团)有限公司北京图像视觉技术分公司,1.6-2万,北京·海淀·海淀街道,北京,硕士,1-3年,6月25日,zhilian_direct,岗位职责： 1、 负责图像处理算法的设计、实现与优化，基于opencv或halcon完成算法的快速实现。 2、 使用c++开发高性能图像处理程序，并配合MFC/Qt开发简易交互界面。 3、 分析算法问题，快速定位并提出解决方案。 4、 撰写技术文档，与项目组人员协作推动项目落地。 工作地点 北京海淀区大恒科技大厦北座15层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"OpenCV,HALCON,TensorFlow,C++,图像处理",http://www.zhaopin.com/jobdetail/CC120188730J40757012712.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师,西安空天机电智能制造有限公司,1-1.8万,西安·长安·韦曲,西安,硕士,1-3年,7月25日,zhilian_direct,岗位职责： 1、负责视觉系统软件全流程规划、方案设计、开发落地与代码实现； 2、负责图像识别、目标检测、分类分割等视觉算法的选型、设计、研发与调试； 3、负责公司产品现有算法的优化和改进； 4、完成上级领导交派的其他任务。 任职资格： 1、硕士及以上学历，计算机、自动化、图像处理等相关专业； 2、具备扎实的图像处理、机器学习、计算机视觉理论基础； 3、熟练掌握OpenCV等图像处理库、熟悉深度学习算法； 4、具备自主学习能力、能快速掌握视觉与 AI 领域前沿知识，具备较强的问题解决能力； 5、具备较强的英文文献阅读与理解能力，可快速研读、翻译英文前沿技术文献； 6、具备全周期规划及方案架构设计能力，拥有多个工业商用视觉项目完整落地经验者优先。 工作地点 长安区西安空天机电智能制造有限公司4号厂房东二楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"OpenCV,TensorFlow,pytorch,视觉图像算法,图像处理",http://www.zhaopin.com/jobdetail/CCL1255467470J40381169711.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
高级超声图像算法工程师,深圳心寰科技有限公司,3-5万·13薪,深圳·宝安·西乡,深圳,硕士,5-10年,7月23日,zhilian_direct,岗位职责： 1、负责超声产品B、C、4D模式图像参数优化、系统算法方案设计、代码实现、集成优化、性能提升； 2、负责超声产品临床反馈问题的分析、解决以及推动临床验证算法设计最终效果。 任职要求： 1、研究生及以上学历，生物医学、计算机、信号处理、影像工程及相关专业； 2、具有5年以上超声算法开发工作经验，良好的英文阅读能力； 3、熟练使用Matlab、C++等编程工具；熟悉常见的信号处理、图像处理、声场研究、信号滤波、图像增强优化、波束成形等算法开发工作的优先； 4、工作积极性强，有良好的学习能力、分析问题和总结问题的能力。 工作地点 深圳宝安区心寰科技 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,医疗器械",http://www.zhaopin.com/jobdetail/CCL1375325540J40897707313.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师(J10240),中国大恒(集团)有限公司北京图像视觉技术分公司,1.5-2.1万·14薪,北京·海淀·海淀街道,北京,硕士,经验不限,6月9日,zhilian_direct,岗位职责: 1、根据公司产品和业务需求，进行相关图像算法的研发，包括： ◆相机内部图像预处理算法的研发，如：坏点校正，白平衡，颜色校正等; ◆成像质量评价算法的研发，如：清晰度，信噪比，坏点，感光曲线等; ◆图像处理算法的研发，如：定位测量，三维重建及测量、身份识别等; 2、图像算法优化、模块化，以及FPGA辅助移植辅助与测试。 3、配合系统工程师完成图像算法相关的需求调研、需求分析，及方案设计。 4、相关算法文档的编写。 任职要求: 1、硕士及以上学历，模式识别、图像处理、应用数学等相关专业优先； 2、具备图像处理及机器视觉的基础理论和算法知识，熟练运用C、C++、MATLAB等编程语言，对数据结构有一定的研究基础； 3、英语4级以上，能够熟练阅读和理解英文资料； 4、良好的团队精神和沟通能力，很强的逻辑思维能力和学习能力。 5、对工作认真负责，肯吃苦，顾全大局。 6、具备以下能力项者优先：熟悉OpenCV、Halcon等图像处理库、熟悉图像ISP处理流程、 熟悉成像质量评价算法。 职位福利：绩效奖金、带薪年假、弹性工作、补充医疗保险、定期体检、高温补贴、节日福利、八险一金 工作地点 北京市海淀区苏州街3号大恒科技大厦北座12层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像处理,C++,Halcon,OpenCV,图形识别",http://www.zhaopin.com/jobdetail/CC120188730J40321448212.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
显微镜图像算法工程师,河南麦飞仪器设备销售有限公司,1.1-2万,北京·海淀,北京,硕士,1-3年,7月24日,zhilian_direct,岗位职责 1. 负责显微成像链路图像算法研发：荧光明场图像预处理、图像降噪、不均一光照校正、色彩校正、阴影矫正、拼接融合（全景玻片扫描Tile拼接）。 2. 开发图像配准算法：多通道荧光图像通道对齐、Z-stack层间配准、时序显微图像配准。 3. 三维显微图像处理：Z轴图像去卷积、3D重构、3D类器官/球状体分割、景深扩展（EDF）。 4. 生物目标检测与分割：细胞、细胞核、菌落、类器官、病理组织区域语义分割、实例分割、计数。 5. 图像质量评估：自动对焦评价函数、信噪比、锐度算法，辅助硬件自动对焦系统优化。 6. 算法工程落地：将算法部署至GPU/嵌入式平台（工控机），与运动平台（音圈电机、Zaber位移台）、显微镜控制软件联调。 7. 算法文档撰写、实验验证，配合光学、机械、软件团队完成整机系统联调。 任职要求 硬性基础要求 1. 硕士及以上，计算机视觉、图像处理、光学工程、生物医学工程、自动化相关专业。 2. 扎实数字图像处理基础：滤波、直方图变换、形态学、图像金字塔、特征匹配。 3. 熟练 Python + OpenCV、NumPy；掌握深度学习框架 PyTorch/TensorFlow。 4. 具备C++开发能力优先，熟悉OpenCV、Eigen，能够实现算法工程化。 核心业务能力： 1. 有显微图像项目经验优先：荧光显微镜、病理切片扫描仪、光片显微镜、共聚焦、高内涵筛选成像系统。 2. 熟悉全景图像拼接：解决tile明暗差、边缘接缝、位移误差、色差问题； 3. 掌握荧光图像特有算法：光谱串色校正、背景扣除、荧光强度定量计算； 4. 熟悉景深扩展EDF、维纳去卷积、Richardson-Lucy去卷积（显微复原算法）加分； 5. 细胞/生物图像分割经验：U-Net、Mask R-CNN、SAM大模型在显微图像的微调； 6. 了解显微镜光学基础：NA、分辨率、景深、点扩散函数PSF者大幅优先。 加分项 ✅ 了解显微成像硬件工作流：相机（sCMOS/CMOS）、光源、位移平台、自动对焦逻辑 ✅ 接触过玻片扫描仪、高内涵设备、3D类器官成像系统 ✅ 算法实时性优化，GPU加速（CUDA） ✅ 熟悉图像定量分析：细胞荧光强度统计、面积、形态学参数计算 ✅ 了解生物基础知识：细胞、组织切片、类器官、微生物成像场景 ✅ 熟悉Qt、图像处理软件二次开发（ImageJ/Fiji插件开发） 工作地点 北京海淀区中关村东升科技园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像识别产品,PyTorch,TensorFlow,OpenCV",http://www.zhaopin.com/jobdetail/CC587809620J40866380901.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
高级图像算法工程师,北京中企人力资源咨询有限公司,2-3.5万,北京·大兴·荣华街道,北京,硕士,5-10年,7月23日,zhilian_direct,岗位职责: 1、负责视觉系统图像处理、视频分析和视频算法研发; 2、参与医疗产品的设计和开发工作，协助产品团队进行产品设计和完善; 3、与开发团队紧密合作完成模型的部署和应用等。 任职资格: 1、图像处理、人脸识别领域相关专业，如:电子、计算机、自动化等本科及以上学历; 2、熟练掌握C/C++、python等脚本语言，有丰富的计算机视觉、模式识别、视频图像处理等算法开发经验; 3、具有良好的沟通能力、快速学习能力和团队合作精神。 工作地点 北京大兴区亦庄1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,C++,图像算法,摄像头,人脸识别",http://www.zhaopin.com/jobdetail/CC409008110J40826430816.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师(J10061),中国大恒(集团)有限公司北京图像视觉技术分公司,1.5-3万·14薪,北京·海淀·海淀街道,北京,硕士,1-3年,5月26日,zhilian_direct,岗位职责: 1、根据公司产品和业务需求，进行相关图像算法的研发，包括：  相机内部图像预处理算法的研发，如：坏点校正，白平衡，颜色校正等  成像质量评价算法的研发，如：清晰度，信噪比，坏点，感光曲线等  图像处理算法的研发，如：定位测量，三维重建及测量、身份识别等 2、图像算法优化、模块化，以及FPGA辅助移植辅助与测试; 3、配合系统工程师完成图像算法相关的需求调研、需求分析，及方案设计 4、相关算法文档的编写； 任职要求: 1、硕士及以上学历，模式识别、图像处理、应用数学等相关专业优先。 2、具备图像处理及机器视觉的基础理论和算法知识，熟练运用C、C++、MATLAB等编程语言，对数据结构有一定的研究基础； 3、英语6级以上，能够熟练阅读和理解英文资料。 4、良好的团队精神和沟通能力，很强的逻辑思维能力和学习能力。 5、对工作认真负责，肯吃苦，顾全大局。 6、具备以下能力项者优先：熟悉OpenCV、Halcon等图像处理库、熟悉图像ISP处理流程、熟悉成像质量评价算法。 职位福利：八险一金、年度体检、过节费过节礼包、高温补贴、生日福利、工会文体活动、员工宿舍/租房补贴等 工作地点 北京市海淀区苏州街3号大恒科技大厦北座12层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,图像处理,C++,HALCON,OpenCV",http://www.zhaopin.com/jobdetail/CC120188730J40250775612.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
显微镜图像算法工程师,河南麦飞仪器设备销售有限公司,1.1-2万,郑州·中原·石佛,郑州,硕士,1-3年,7月25日,zhilian_direct,岗位职责 1. 负责显微成像链路图像算法研发：荧光明场图像预处理、图像降噪、不均一光照校正、色彩校正、阴影矫正、拼接融合（全景玻片扫描Tile拼接）。 2. 开发图像配准算法：多通道荧光图像通道对齐、Z-stack层间配准、时序显微图像配准。 3. 三维显微图像处理：Z轴图像去卷积、3D重构、3D类器官/球状体分割、景深扩展（EDF）。 4. 生物目标检测与分割：细胞、细胞核、菌落、类器官、病理组织区域语义分割、实例分割、计数。 5. 图像质量评估：自动对焦评价函数、信噪比、锐度算法，辅助硬件自动对焦系统优化。 6. 算法工程落地：将算法部署至GPU/嵌入式平台（工控机），与运动平台（音圈电机、Zaber位移台）、显微镜控制软件联调。 7. 算法文档撰写、实验验证，配合光学、机械、软件团队完成整机系统联调。 任职要求 硬性基础要求 1. 硕士及以上，计算机视觉、图像处理、光学工程、生物医学工程、自动化相关专业。 2. 扎实数字图像处理基础：滤波、直方图变换、形态学、图像金字塔、特征匹配。 3. 熟练 Python + OpenCV、NumPy；掌握深度学习框架 PyTorch/TensorFlow。 4. 具备C++开发能力优先，熟悉OpenCV、Eigen，能够实现算法工程化。 核心业务能力： 1. 有显微图像项目经验优先：荧光显微镜、病理切片扫描仪、光片显微镜、共聚焦、高内涵筛选成像系统。 2. 熟悉全景图像拼接：解决tile明暗差、边缘接缝、位移误差、色差问题； 3. 掌握荧光图像特有算法：光谱串色校正、背景扣除、荧光强度定量计算； 4. 熟悉景深扩展EDF、维纳去卷积、Richardson-Lucy去卷积（显微复原算法）加分； 5. 细胞/生物图像分割经验：U-Net、Mask R-CNN、SAM大模型在显微图像的微调； 6. 了解显微镜光学基础：NA、分辨率、景深、点扩散函数PSF者大幅优先。 加分项 ✅ 了解显微成像硬件工作流：相机（sCMOS/CMOS）、光源、位移平台、自动对焦逻辑 ✅ 接触过玻片扫描仪、高内涵设备、3D类器官成像系统 ✅ 算法实时性优化，GPU加速（CUDA） ✅ 熟悉图像定量分析：细胞荧光强度统计、面积、形态学参数计算 ✅ 了解生物基础知识：细胞、组织切片、类器官、微生物成像场景 ✅ 熟悉Qt、图像处理软件二次开发（ImageJ/Fiji插件开发） 工作地点 郑州中原区河南省国家大学科技园西区-5E栋大学科技园西区5号厂房D座4楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像识别产品,PyTorch,TensorFlow,OpenCV",http://www.zhaopin.com/jobdetail/CC587809620J40866380701.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师（三维重建）,拓界(西安)光电科技有限公司,1.7-3万,西安·未央·汉城,西安,硕士,3-5年,7月25日,zhilian_direct,岗位职责： 负责三维成像算法的研发与优化，重点参与基于点云或体素数据的三维重建、配准及模型构建； 负责图像预处理算法的开发与优化，包括但不限于去噪、增强、伪影校正及超分辨率重建； 基于C++在Windows平台开发高效、稳定的底层图像处理及三维计算核心模块； 熟练运用QT框架进行算法验证工具或应用软件的界面开发及交互逻辑实现； 负责大规模数据（如多层扫描数据）的多线程并行计算与内存管理优化，提升算法运算效率； 编写算法设计文档、技术验证报告及相关专利材料，支持算法的落地与应用。 任职要求： 学历要求： 计算机科学、数学、物理、光电信息、生物医学工程、自动化等相关专业； 硕士及以上学历（博士优先）； 经验要求： 2年以上图像算法、计算机视觉或计算成像相关研发经验； 有光学显微成像、三维视觉、激光扫描设备或点云数据处理项目经验者优先； 专业技能： 精通C++编程，具备扎实的数据结构与算法基础，熟练掌握多线程编程及性能优化； 精通QT框架，能够独立设计并开发包含复杂交互逻辑的桌面应用程序； 深入理解数字图像处理原理，熟练掌握OpenCV、PCL（点云库）、Eigen等常用库； 熟悉三维重建相关算法（如结构光、立体匹配、SfM、SLAM或多视角融合）者优先； 具备良好的数学功底，尤其是线性代数、数值分析及最优化理论； 综合素质： 逻辑思维严密，具备较强的独立科研能力与问题解决能力； 良好的沟通表达能力及团队协作精神，能承受一定的工作压力。 待遇区间：17-30K，双休，入职交五险一金、项目奖金 紧急程度：特别紧急，需要随时到岗 工作地点 西安市-未央区-汉城街道陕西西安出口加工区5号楼3层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,三维图像,http://www.zhaopin.com/jobdetail/CCL1413043230J40911266103.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
显微镜图像算法工程师,河南麦飞仪器设备销售有限公司,1.1-2万,广州·黄埔·联和,广州,硕士,1-3年,7月24日,zhilian_direct,岗位职责 1. 负责显微成像链路图像算法研发：荧光明场图像预处理、图像降噪、不均一光照校正、色彩校正、阴影矫正、拼接融合（全景玻片扫描Tile拼接）。 2. 开发图像配准算法：多通道荧光图像通道对齐、Z-stack层间配准、时序显微图像配准。 3. 三维显微图像处理：Z轴图像去卷积、3D重构、3D类器官/球状体分割、景深扩展（EDF）。 4. 生物目标检测与分割：细胞、细胞核、菌落、类器官、病理组织区域语义分割、实例分割、计数。 5. 图像质量评估：自动对焦评价函数、信噪比、锐度算法，辅助硬件自动对焦系统优化。 6. 算法工程落地：将算法部署至GPU/嵌入式平台（工控机），与运动平台（音圈电机、Zaber位移台）、显微镜控制软件联调。 7. 算法文档撰写、实验验证，配合光学、机械、软件团队完成整机系统联调。 任职要求 硬性基础要求 1. 硕士及以上，计算机视觉、图像处理、光学工程、生物医学工程、自动化相关专业。 2. 扎实数字图像处理基础：滤波、直方图变换、形态学、图像金字塔、特征匹配。 3. 熟练 Python + OpenCV、NumPy；掌握深度学习框架 PyTorch/TensorFlow。 4. 具备C++开发能力优先，熟悉OpenCV、Eigen，能够实现算法工程化。 核心业务能力： 1. 有显微图像项目经验优先：荧光显微镜、病理切片扫描仪、光片显微镜、共聚焦、高内涵筛选成像系统。 2. 熟悉全景图像拼接：解决tile明暗差、边缘接缝、位移误差、色差问题； 3. 掌握荧光图像特有算法：光谱串色校正、背景扣除、荧光强度定量计算； 4. 熟悉景深扩展EDF、维纳去卷积、Richardson-Lucy去卷积（显微复原算法）加分； 5. 细胞/生物图像分割经验：U-Net、Mask R-CNN、SAM大模型在显微图像的微调； 6. 了解显微镜光学基础：NA、分辨率、景深、点扩散函数PSF者大幅优先。 加分项 ✅ 了解显微成像硬件工作流：相机（sCMOS/CMOS）、光源、位移平台、自动对焦逻辑 ✅ 接触过玻片扫描仪、高内涵设备、3D类器官成像系统 ✅ 算法实时性优化，GPU加速（CUDA） ✅ 熟悉图像定量分析：细胞荧光强度统计、面积、形态学参数计算 ✅ 了解生物基础知识：细胞、组织切片、类器官、微生物成像场景 ✅ 熟悉Qt、图像处理软件二次开发（ImageJ/Fiji插件开发） 工作地点 广州黄埔区TCL文化产业园创意中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像识别产品,PyTorch,TensorFlow,OpenCV",http://www.zhaopin.com/jobdetail/CC587809620J40866380501.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师,北京江云智能科技有限公司湖南分公司,1-1.6万,长沙·岳麓·麓谷,长沙,本科,5-10年,7月24日,zhilian_direct,岗位职责 1、独立承接完整视觉需求，从方案设计、数据集搭建到模型迭代落地全流程负责； 2、熟练图像识别算法设计，独立解决光照、遮挡、畸变等复杂场景难点； 3、模型轻量化、端侧推理优化，独立输出 SDK 并对接开发团队； 4、搭建训练评测工具，沉淀内部算法组件，指导嵌入式工程师移植； 5、技术文档、专利交底书编写，跟踪前沿技术，协助产品规划。 任职资格 1、本科及以上学历，计算机 / 电子信息相关专业，5 年及以上图像算法开发经验； 2、熟悉yolo算法，能独立搭建环境、训练模型、部署算法。能基于yolo算法框架对参数进行优化，包括但不限于提高推理速度、精度； 3、熟悉opencv图像常用传统算法，包括但不限于高斯GMM、三帧差分、轮廓提取、分割、滤波、开闭运算等。 4、熟悉常用轨迹跟踪算法包括但不限于欧式距离、曼哈顿距离、马氏距离； 5、能对快速移动的物体进行识别并跟踪轨迹，能精准识别水中的杂物等复杂应用场景； 6、能独立对不同的应用场景提出可行性且能落地视觉的方案； 7、有过嵌入式部署优化经验尤佳； 8、责任心强，抗压能力强，良好的对外沟通与团队协作能力。 工作地点 银河科技园长沙市岳麓区麓天路15号银河科技园一楼109A 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"人工智能,半导体/芯片",http://www.zhaopin.com/jobdetail/CCL1367295500J40954554415.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师,中国大恒(集团)有限公司北京图像视觉技术分公司,1-2万,北京·海淀·海淀街道,北京,硕士,经验不限,2月28日,zhilian_direct,岗位职责： 1、根据公司产品和业务需求，进行相关图像算法的研发，包括： Ø 相机内部图像预处理算法的研发，如：坏点校正，白平衡，颜色校正等 Ø 成像质量评价算法的研发，如：清晰度，信噪比，坏点，感光曲线等 Ø 图像处理算法的研发，如：定位测量，三维重建、身份识别等 2、图像算法优化、模块化，以及FPGA辅助移植辅助与测试; 3、配合系统工程师完成图像算法相关的需求调研、需求分析，及方案设计 4、相关算法文档的编写。 职位福利：五险一金、带薪年假、弹性工作、补充医疗保险、定期体检、员工旅游、高温补贴、节日福利 工作地点 北京市海淀区苏州街3号大恒科技大厦北座12层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,图像处理,机器视觉",http://www.zhaopin.com/jobdetail/CC120188730J40108388212.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师,飓蜂科技(苏州)有限公司,2-3万,苏州·虎丘·狮山,苏州,本科,1-3年,7月23日,zhilian_direct,职位描述 OpenCV 视觉图像算法 C++ 3C产品缺陷检测 深度学习 半导体/芯片 专用设备制造 工业自动化/机器人 职责描述： 1、负责计算机视觉相关算法的研究与开发； 2、解决图像分类、目标检测、目标跟踪/图像分割等实际问题； 3、使用深度学习C++框架进行模型开发训练，并完成模型的部署与优化； 4、优化算法性能以适应实际应用场景的需求，包括边缘终端设备或云端部署； 5、设计和实现图像处理相关的预处理、增强及后处理算法； 6、撰写技术文档，与团队成员分享技术经验与成果； 任职要求： 1. 本科及以上学历，计算机科学、电子工程、图像处理等相关专业 2. 具有较强的编程能力，熟练使用C/C++，熟悉OpenCV等常用算法库 3. 掌握常用图像处理算法，有图像分割、特征提取、物体检测、图像识别等相关研究和项目经验 4. 有较强的文献阅读和算法实现能力； 职位福利：五险一金、全勤奖、带薪年假、节日福利、项目奖金、通讯补助、定期体检 工作地点 苏州虎丘区狮山资产经营公司工业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"OpenCV,视觉图像算法,C++,3C产品缺陷检测,深度学习",http://www.zhaopin.com/jobdetail/CC490987880J40377273511.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师,南京派光智慧感知信息技术有限公司,3-5万,南京·浦口·江浦,南京,硕士,3-5年,7月23日,zhilian_direct,岗位职责∶ 1.负责计算机视觉领域算法研究与落地工作，内容涉及识别、分类、检测、异常检测、多模态模型研发等 2.密切关注跟踪深度学习和模式识别领域的最新进展，推动计算机视觉等算法在实际应用领域的性能优化和落地 3.负责项目技术难点攻关 任职要求∶ 1.硕士及以上学历，计算机、图像处理、模式识别、自动化等相关专业，计算机视觉、模式识别，机器学习相关方向研究背景 2.较好的数学功底与算法理论基础，熟练掌握机器学习，熟悉深度学习和计算机视觉的基本方法 3.熟悉流行算法的网络框架，熟练掌握网络的训练和优化，熟练使用Pytorch等深度学习框架；熟悉C/C++、Python。 4. 针对目标检测、图像分割、目标跟踪、三维重建、异常检测、大模型等方向中的至少一个有深入了解； 5. 能够熟练阅读英文文献并复现相关算法，有实战经验者优先考虑 6. 对零/少样本，异常检测、对比学习、视觉语言模型、多模态大模型有经验者优先考虑。 工作地点 南京浦口区新城总部大厦-A座22层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,图像算法,http://www.zhaopin.com/jobdetail/CC565042520J40218670602.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
ai图像高级算法工程师,中国大恒(集团)有限公司北京图像视觉技术分公司,2.5-4万,北京·海淀·海淀街道,北京,硕士,3-5年,3月28日,zhilian_direct,岗位职责： 1、负责设计、开发和优化适用于工业产品质量检测的AI算法，包括但不限于目标检测、语义分割、OCR等。 2、负责算法性能评估工作，评估模型在不同数据集和场景下的准确性、鲁棒性和实时性。 3、跟踪前沿的AI技术发展趋势，参与相关领域的研究和探索，持续优化公司产品的技术竞争力。 4、与团队成员紧密合作，共同解决技术难题，推动团队的技术成长和项目进展。 5、主动学习，不断提升自身的技术能力和专业水平，保持对新技术的敏感性和热情，不断优化公司的技术和解决方案。 职位福利：全额缴纳五险一金、绩效奖金、带薪年假、弹性工作、补充医疗保险、意外险、重疾险、年度体检、高温补贴、节日福利、生日福利、公租房、员工宿舍、工作居住证、博士后工作站 工作地点 北京市-海淀区-苏州街3号大恒科技大厦北座15层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"CV,OCR,语义分割,Python",http://www.zhaopin.com/jobdetail/CC120188730J40569580112.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
图像算法工程师（halcon）,深圳市日联科技有限公司,1.5-2.5万·13薪,深圳·光明·凤凰,深圳,本科,3-5年,7月25日,zhilian_direct,岗位职责： 1. 负责图像定位、分割、识别算法研究与实现，设计先进的算法 2. 图像预处理（包括边缘定位、图像分割、图像增强等） 3. 与团队合作，提高图像应用系统的可用性、效率、可扩展性； 4. 收集研究行业内新的技术、算法，不断提高图像识别效率与准确率。 5. 现有算法代码的优化和完善； 岗位要求： 1、 具有图像处理基础知识 2.、具有halcon图像处理项目经验。 3、有3年以上图像算法相关经验。 4、对公司的相关资料、知识产权等进行保密； 5、良好的沟通表达能力和学习能力，有理想和热情，紧跟行业技术发展趋势。 公司简介： 深圳市日联科技有限公司限公司成立于2002年，是国内微聚焦X射线研发、生产、销售与服务于一体的高端检测装备国家级高新技术企业。公司于2023年3月在科创板成功上市（股票代码：688531）。 公司总部在无锡，下设深圳日联、重庆日联两家全资子公司，研发生产的X射线检测设备应用于锂电新能源、电子制造（EMS）、集成电路、半导体、太阳能光伏、汽车零部件、航天等高端行业。已发展成为国内X射线检测技术行业装备种类最齐全的头部企业。 公司将为各位有志之士提供理想的发展平台及良好的薪酬待遇！日联科技期待您的加入！ 一、发展路线： 1、 管理类：文员--助理--专员--主管--副经理--经理--高级经理--副总/总监 2、 技术类：初级技术员--技术员--高级技术员--助理工程师--工程师--高级工程师--技术主管--副经理--经理--高级经理--副总/技术总监 3、根据员工的个人能力和自身特长，也可采取员工价值取向多元化的发展路线。 二、薪酬福利： 1、绩效奖、项目奖、创新奖、年终奖等 2、公司实行大小休工作制(大休五天工作制，小休六天工作制）。上班时间：上午8：30-12：00，下午13：30-17：30；轮换到小休工作制，星期六工作时间：上午8：30-12：00，下午13：30-15：30； 3、带薪年假、婚假、产假、哺乳假、病假等一系列假期； 4、K歌大赛、摄影大赛、各类协会活动（如乒乓球、羽毛球、篮球、爬山协会等）、员工旅游； 5、五险一金、员工结婚、生子贺金、节日礼金、生日庆典等； 6、内/外部培训、技术/论坛/行业研讨会交流、国内/国外参展、公司内部图书馆等广阔的发展空间及培训机会； 7、为符合政策员工办理人才租房； 8、每年一次免费健康体检； 公司地址：深圳市光明区凤凰街道高新科技产业园区邦凯路9号邦凯科技工业园A栋厂房一层（靠近地铁站） 工作地点 深圳光明区日联科技 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像识别产品,图像算法",http://www.zhaopin.com/jobdetail/CC319205410J40880286805.htm?refcode=4019&srccode=401903&preactionid=dfd7aa1c-ff01-484a-9de3-3ac5c3aa5a2e
