job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
c++高级Slam算法工程师,兰剑智能,1.5-2.5万,济南·历城·港沟,济南,本科,3-5年,7月23日,zhilian_direct,"岗位职责: 岗位职责： 负责AMR激光SLAM & 定位产品研发工作，包括相应功能的需求对接、功能设计、开发、验证； 任职要求: 1.3+年机器人方向工作检验，1年以上激光SLAM（定位）研发经验； 2. 掌握激光SLAM &定位相关基础理论和算法，掌握激光SLAM算法框架cartographer原理、且有相关研发经验。有解决激光定位中高动态场景问题相关经验、建图效率及质量优化相关经验优先； 3. 了解激光雷达、里程计、imu等相关传感器数据以及使用方法，掌握多传感器融合，与scan match、ICP等点云匹配相关算法理论与实现，掌握激光SLAM中闭环检测理论方法及相关优化经验； 4. 有扎实的数学基础（矩阵理论、概率论、最优化等），熟悉EKF、粒子滤波、G2O、BA等方法； 5. 精通C++等编程开发，熟悉ceres、PCL、eigen等相关库的使用，熟悉git，具备良好的代码编程、调试和维护能力，熟悉Linux和ROS优先； 6. 具有较强的技术文档整理、分析、撰写能力； 7. 可承受压力，有责任感，较强的沟通协调能力，具有团队合作精神并敢于承担责任，独立或合作解决技术难题。"" 工作地点 济南历城区海信·龙奥九号1号楼17层-21层（人力资源部） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,机器人开发,激光雷达,AMR/AGV",http://www.zhaopin.com/jobdetail/CC120752170J40790297916.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
激光slam算法工程师,河北跃进信息技术有限公司,3000-6000元,石家庄·鹿泉·鹿泉经开区,石家庄,本科,经验不限,7月23日,zhilian_direct,职位描述 机器视觉 导航算法 多传感器融合算法开发 工程机械智能施工 工作职责 1. 负责三维激光雷达、视觉与高精度定位系统的融合算法设计与软硬件开发，支撑工程机械智能施工场景的定位导航需求。 2. 针对施工环境的复杂工况，优化SLAM算法的鲁棒性与实时性，解决动态障碍物、恶劣天气等场景下的定位精度问题。 3. 独立完成算法的原型验证、性能测试与工程化部署，输出可落地的技术方案与代码交付物。 任职要求 1. 本科及以上学历，计算机、自动化、机器人等相关专业，具备扎实的数学基础（线性代数、概率论）。 2. 精通激光SLAM核心算法（如LOAM、Cartographer），熟悉三维点云处理、ICP配准、特征提取等技术。 3. 掌握至少一种主流传感器融合框架（如ROS），有激光+视觉/IMU多传感器融合项目经验优先。 4. 具备独立解决复杂工程问题的能力，能自主完成算法从原型到产品化的全流程开发。 工作地点 石家庄市-鹿泉区-上庄大街西山庭院西北侧约130米A座17层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器视觉,导航算法,多传感器融合算法开发,工程机械智能施工",http://www.zhaopin.com/jobdetail/CC629070830J40877410614.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
SLAM算法工程师,天津市圣威科技发展有限公司,1.2-1.8万,天津·西青·中北,天津,本科,3-5年,7月23日,zhilian_direct,"职位描述 C++ ROS2 LINUX/QNX Python linux 深度学习算法 机器学习算法 车联网 智能网联 人工智能 新能源汽车 - 负责ROS2机器人相关核心模块的设计、开发、调试与优化，主导或参与完整机器人项目从需求分析到落地交付的全流程。 - 基于C++/Python语言，在Linux/QNX开发环境下进行机器人控制系统、通信模块的编码实现，确保代码的可读性、可靠性和可维护性。 - 负责CAN FD/Ethernet（TCP/IP, UDP）通信协议的开发与调试，熟练运用SOME/IP、DDS、MQTT等协议栈，保障机器人各模块间的高效数据交互。 - 参与Autoware/Apollo、AUTOSAR Adaptive相关技术的集成与优化，推动车载SOA架构在机器人系统中的落地应用。 - 遵循ISO 26262功能安全流程、SOTIF（ISO 21448）及信息安全（TARA分析）要求，融入研发全流程，保障产品的功能安全与信息安全。 - 负责高精地图引擎（如HD Live Map）或高精度定位技术（RTK/LiDAR-SLAM）的集成、调试与优化，提升机器人定位与导航精度。 - 结合AI模型进行机器人功能开发，参与AI模型的选型、使用与训练优化，提升机器人智能化水平。 - 编写规范的概要设计文档、详细设计文档及测试文档，配合测试团队完成模块测试、系统集成测试，解决研发过程中的技术难题。 - 关注机器人领域前沿技术（ROS2生态、车载智能化、AI应用等），主动学习并应用到实际研发工作中，持续提升产品竞争力。 任职资格 1. 计算机科学、软件工程、电子工程、通信工程、自动化、车辆工程等相关专业，本科及以上学历。 2. 具有3年以上ROS2机器人相关研发经验，有完整项目落地经验，熟悉ROS2核心机制与生态。 3. 精通C++/Python编程语言，具备扎实的编程基础，熟悉Linux/QNX开发环境及常用开发工具。 4. 深入理解CAN FD/Ethernet（TCP/IP, UDP）通信原理，熟练掌握SOME/IP、DDS、MQTT协议栈的开发与调试方法。 5. 具有Autoware/Apollo、AUTOSAR Adaptive相关开发经验，熟悉车载SOA架构设计与实现优先。 6. 熟悉ISO 26262功能安全流程、SOTIF（ISO 21448）及信息安全（TARA分析）相关要求，能将其融入研发流程。 7. 熟悉高精地图引擎（如HD Live Map）或高精度定位技术（RTK/LiDAR-SLAM），有相关集成或开发经验优先。 8. 具备AI模型使用和训练经验，能将AI技术应用于机器人功能开发者优先。 9. 具有强烈的责任心、自驱力和学习能力，能够承担研发压力，注重细节，追求设计质量和产品可靠性。 10. 具备良好的文档编写能力和习惯，能够独立编写规范的概要设计文档、详细设计文档及相关技术文档。 工作地点 天津西青区中北工业园金霞路18号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,ROS2,LINUX/QNX,Python,linux,深度学习算法,机器学习算法",http://www.zhaopin.com/jobdetail/CC138947180J40901862703.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
c++高级Slam算法工程师+上市企业,兰剑智能,1.5-2.5万·13薪,济南·历城·港沟,济南,本科,3-5年,7月25日,zhilian_direct,"岗位职责: 岗位职责： 负责AMR激光SLAM & 定位产品研发工作，包括相应功能的需求对接、功能设计、开发、验证； 任职要求: 1.3+年机器人方向工作检验，1年以上激光SLAM（定位）研发经验； 2. 掌握激光SLAM &定位相关基础理论和算法，掌握激光SLAM算法框架cartographer原理、且有相关研发经验。有解决激光定位中高动态场景问题相关经验、建图效率及质量优化相关经验优先； 3. 了解激光雷达、里程计、imu等相关传感器数据以及使用方法，掌握多传感器融合，与scan match、ICP等点云匹配相关算法理论与实现，掌握激光SLAM中闭环检测理论方法及相关优化经验； 4. 有扎实的数学基础（矩阵理论、概率论、最优化等），熟悉EKF、粒子滤波、G2O、BA等方法； 5. 精通C++等编程开发，熟悉ceres、PCL、eigen等相关库的使用，熟悉git，具备良好的代码编程、调试和维护能力，熟悉Linux和ROS优先； 6. 具有较强的技术文档整理、分析、撰写能力； 7. 可承受压力，有责任感，较强的沟通协调能力，具有团队合作精神并敢于承担责任，独立或合作解决技术难题。"" 工作地点 济南历城区海信·龙奥九号1号楼17层-21层（人力资源部） 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,激光SLAM,AMR/AGV",http://www.zhaopin.com/jobdetail/CC120752170J40790296816.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
slam算法工程师,柳州市卓德机械科技股份有限公司,2-4万,柳州·鱼峰区·雒容镇,柳州,硕士,3-5年,7月23日,zhilian_direct,"岗位职责： 1 负责移动工作平台的定位与建图功能的实现。包括：扫描匹配，闭环检测，回环优化，地图优化，坐标提取等算法。 2 负责激光雷达，IMU，里程计，iTOF,线激光的数据融合算法的实现； 3负责移动工作平台系统在真实路测环境中的稳定、可靠性、SLAM算法在实际环境中性能优化和落地方案； 4 负责对不同的障碍物进行轮廓划分及坐标提取，精准获得障碍物的深度图像。 任职要求：（以下有一种或者多种以上的技能） 1 3年以上相关经验；硕士及以上学历（注：有能力经验可不限学历），计算机、电子信息、软件或自动化控制等相关专业； 2有较强的编程和算法实现能力，算法基础扎实，掌握常见的设计模式，具有良好的代码风格和质量意识，能独立完成算法模块设计、开发和测试。 3 熟悉ROS编程，具备良好的Linux C++编程能力或Python等； 4 熟悉SLAM等相关理论及技术，数学视觉、激光雷达、IMU、GPS等一种或多种传感器融合定位及建图算法； 5 熟悉运动规划的基础处理方法，有机器人，AGV或无人机等设备运动轨迹规划经验者； 6 有机器学习，统计学，概化理论，传动和现代控制理论等方向的相关基础； 7 熟悉深度学习，强化学习相关算法，例如：RNN、DeepQ-Learning等，有无人驾驶、机器人行为决策及路径规划经验。 待遇：面议，15~50k。 工作地点 鱼峰区柳州市卓德机械科技股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","机器人算法,运动控制算法",http://www.zhaopin.com/jobdetail/CCL1337212530J40572500212.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
slam算法工程师,江苏智库智能科技有限公司,2-3.5万·14薪,苏州·张家港·塘桥,苏州,硕士,3-5年,7月23日,zhilian_direct,岗位职责： 1.基于3D或者2D激光雷达开发适用于室内场景下的建图与定位算法; 2.基于深度相机实现空间障碍避障以及固定特征物识别定位。 3.基于复杂环境的多传感融合定位开发。 任职要求： 1.计算机、通信、自动化控制、电子信息等相关专业，硕士及以上，五年以上工作经验; 2.熟悉 C/C++编程和常用数据结构算法，有良好的编程风格和编程习惯; 3.熟悉激光SLAM基本原理，精通卡尔曼滤波相关算法，熟悉多传感器融合定位导航算法; 4.熟悉常用SLAM前后端方法与工具; 5.熟悉ROS系统，可熟练使用仿真软件者优先; 6.有实际 SLAM算法开发与调试经验并具备较强的工程和代码能力 7.有无人车、机器人等相关领域的研发经验者优先 工作地点 苏州张家港市江苏智库智能科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"机器人算法,卡尔曼滤波,C/C++",http://www.zhaopin.com/jobdetail/CC620290680J40790944302.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
视觉slam算法工程师,山东国兴智能科技股份有限公司,1-2万·13薪,烟台·福山·古现,烟台,本科,3-5年,7月26日,zhilian_direct,岗位职责： 基于RGB相机、深度相机、IMU等传感器，进行视觉SLAM算法研发工作，实现室外内3D场景构建、视觉导航及视觉识别。 职位要求： 1、良好的数学基础，掌握相机标定算法、熟悉视觉特征提取和匹配方法； 2、具备良好的编码能力、熟练掌握C/C++、python编程语言，掌握Linux和ROS平台开发方法； 3、熟悉VINS、RGBD-SLAM、ORB-SLAM等框架； 4、掌握SLAM基础理论和算法，掌握后端图优化、卡尔曼滤波算法原理； 5、具有实际SLAM项目经验或在计算机视觉领域发表论文者优先； 6、 熟悉OpenCV/VisionPro/Halcon等视觉软件中的一种，能快速将算法模块集成至C/C++/C#等应用程序中，具有实际项目开发经验优先。 本科学历起步 工作地点 烟台福山区山东国兴智能科技股份有限公司长江路125号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Python,机器人",http://www.zhaopin.com/jobdetail/CC314152780J40632567008.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
SLAM算法工程师,北控城市环境服务集团有限公司,2.5-4.5万,深圳·坪山·龙田,深圳,本科,1-3年,7月26日,zhilian_direct,"岗位职责： 研发和优化多传感器融合的SLAM系统（激光雷达/视觉/IMU/轮速计等），实现高精度、高鲁棒性的定位与建图。 研究并解决实际场景中的SLAM问题，如回环检测、重定位、动态环境干扰、大规模地图管理等。 负责SLAM前端特征提取、匹配（视觉特征点、线面特征，激光点云配准如ICP、NDT）与后端非线性优化（g2o, Ceres, GTSAM）。 完成多传感器（相机、LiDAR、IMU）的标定与时空同步。 将SLAM算法在嵌入式平台（如ARM、DSP、GPU、NPU）上进行移植、加速和工程部署。 跟进前沿算法（如NeRF-SLAM、语义SLAM、基于学习的特征/闭环），并推动其在产品中的应用。 任职要求： 学历专业： 本科及以上学历，计算机、自动化、机器人、测绘、数学等相关专业。博士优先。 基础理论： 扎实的数学基础（线性代数、概率论、李群李代数、数值优化、多视图几何、卡尔曼滤波/粒子滤波）。 实践经验： 1年以上实际SLAM项目开发经验，熟悉至少一种主流SLAM框架（ORB-SLAM系列、VINS、LOAM/LIO-SAM、Cartographer、MSCKF等）。 编程能力： 精通C++，Python熟练；具备良好的代码规范与工程能力（CMake、Git、GTest）。 工具链： 熟练使用OpenCV、Eigen、Ceres/g2o/GTSAM、PCL、ROS/ROS2。 加分项： 有自动驾驶、机器人竞赛、AR/VR、AGV/AMR项目落地经验。 熟悉CUDA/OpenCL/NEON多线程/并行加速。 发表过IROS/ICRA/ICCV/CVPR等高水平论文。 熟悉深度学习在特征提取、闭环检测或位姿回归中的应用。 工作地点 坪山区坪山城投智园A栋深圳坪山城投智园A栋12楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",算法工程师,http://www.zhaopin.com/jobdetail/CC302209580J40862422401.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
SLAM算法工程师,唐山市青年民营企业家协会,1.5-3万,宁波·鄞州·瞻岐,宁波,本科,经验不限,7月23日,zhilian_direct,职位描述 C/C++ 仓储 CARTOGRAPHER FAST-LIO 系列 Python ROS/ROS2 工作职责 算法研发与优化：负责智能仓储AGV的2D/3D激光SLAM算法的设计、开发、优化与迭代，实现高精度地图构建与实时定位。 多传感器融合：研发并实现基于激光雷达、IMU、相机、轮速计等多传感器融合的定位与导航算法，提升系统在复杂仓储环境下的鲁棒性与精度。 工程化落地：基于 ROS/ROS2 框架完成 SLAM 算法的工程化实现、模块化封装与性能调优，并负责在嵌入式平台上的移植与部署。 系统集成与测试：与导航规划、运动控制、调度系统团队协作，完成 SLAM 系统与 AGV 整机的集成、联调与测试，并搭建仿真环境进行算法验证。 现场支持与问题解决：参与仓储现场的部署与调试，解决实际应用中遇到的定位漂移、地图匹配、动态干扰等技术问题。 技术创新与文档：跟踪 SLAM 领域前沿技术，推动算法创新；撰写算法设计文档、技术报告与专利交底书。 工作地点 宁波鄞州区鄞州滨海投资创业中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C/C++,仓储,CARTOGRAPHER,FAST-LIO 系列,Python,ROS/ROS2",http://www.zhaopin.com/jobdetail/CCL1311155990J40889089003.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
SLAM算法工程师,徐州威卡电子控制技术有限公司,1.5-2.5万,徐州·鼓楼区·东环街道,徐州,本科,1-3年,7月26日,zhilian_direct,"岗位职责： 1、负责基于激光雷达SLAM算法的研发； 2、负责基于激光雷达、IMU、里程计、视觉里程计融合定位算法研发； 3、负责基于SLAM、里程计的导航算法的研发； 4、负责机器人自主导航中的避障算法的研发 5、负责机器人定位与导航精度的优化。 任职要求： 1、本科以上学历，两年以上工作经验 2、掌握SLAM基础理论及算法，以SLAM算法为专业研究方向者优先，有成熟SLAM产品者优先； 3、熟悉ROS，熟悉机器人导航及传感器标定，姿态估计； 4、掌握基础算法知识，如EKF、UKF、PF等； 5、熟悉PID控制算法、最小二乘算法、马尔科夫定位算法、蒙特卡洛算法； 6、具有多传感器融合的理论和实践经验； 7、 熟悉常用开源激光SLAM项目如：Cartographer、HectorSLAM、Gmapping、KartoSLAM、CoreSLAM、LagoSLAM等； 8、具有较强的编程能力，熟悉C/C++,python； 9、扎实的数学功底，能够推导传感器中常用的数据转换，滤波公式；有能力阅读最新学术论文，具备创新精神。 工作地点 鼓楼区徐州威卡电子控制技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","导航算法,机器人算法,运动控制算法",http://www.zhaopin.com/jobdetail/CC519885020J40438025113.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
机器人SLAM算法工程师,沈阳新松机器人自动化股份有限公司,1.5-2.5万·13薪,沈阳·浑南·桃仙,沈阳,硕士,5-10年,7月23日,zhilian_direct,岗位职责: 1、负责人形机器人SLAM算法的研发与优化，包括定位、建图、路径规划等核心功能; 2、设计并实现多传感器融合的SLAM系统，提升机器人在复杂环境中的感知能力; 3、参与机器人导航系统的开发，确保机器人在动态环境中的稳定运行; 4、针对实际应用场景进行算法调优，提高系统的实时性和鲁棒性; 5、与硬件团队协作，完成SLAM算法的嵌入式部署和性能优化; 6、跟踪SLAM领域的前沿技术，持续改进现有算法体系。 岗位要求: 1、本科及以上学历，计算机、自动化、机器人等相关专业; 2、3-5年SLAM算法开发经验，熟悉激光/视觉/VIO等SLAM技术; 3、精通C++/Python编程，熟悉ROS/ROS2机器人操作系统; 4、熟悉常用SLAM框架(如ORB-SLAM、VINS、LOAM等)并有实际项目经验; 5、具备多传感器融合开发经验，熟悉IMU、激光雷达、相机等传感器特性; 6、良好的数学基础，熟悉三维几何、概率论、优化算法等相关知识; 7、有机器人导航或人形机器人开发经验者优先。 工作地点 浑南区沈阳新松机器人自动化股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,工业自动化/机器人,http://www.zhaopin.com/jobdetail/CC121051590J40860898111.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
高级SLAM算法工程师（三维激光雷达SLAM方向）,湖南鲲鹏智汇科技有限公司,1.2-2.4万,长沙·岳麓·麓谷,长沙,硕士,3-5年,7月23日,zhilian_direct,岗位职责： 1. 核心算法研发：负责基于三维激光雷达（LiDAR）的SLAM建图与定位算法设计、开发及优化，重点解决地下空间、山区峡谷、矿山等无GPS/弱GPS环境下的精准定位与建图问题。 2. 多传感器融合：负责激光雷达、IMU、GNSS、视觉等多传感器融合定位系统的架构设计与开发，提升系统在复杂环境下的鲁棒性和可靠性。 3. 工程化落地：负责SLAM算法在无人机机载边缘计算平台（如Nvidia Jetson Orin等）上的工程化部署、性能调优与实时性优化。 4. 传感器标定：负责激光雷达、IMU、相机等多传感器的联合标定方案设计与实施。 5. 前沿技术跟踪：跟踪SLAM领域前沿技术（如语义SLAM、深度学习融合SLAM等），推动关键技术在公司应急救援、地下搜救等业务场景中的转化落地。 6. 技术文档与协作：编写技术文档，参与项目技术评审，与感知、导航、飞控等多团队协同，推动产品化落地。 工作地点 长沙市-岳麓区-岳麓西大道588号芯城科技园1栋1501号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"定位算法,导航算法,三维定位,路径规划",http://www.zhaopin.com/jobdetail/CCL1410531030J40910795003.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
视觉或激光SLAM算法工程师,上海奥铁通讯技术有限公司,2-4万,上海·闵行·吴泾,上海,硕士,3-5年,7月23日,zhilian_direct,岗位职责： 1. 负责视觉SLAM、激光SLAM算法的开发、优化与部署。 2. 参与多传感器融合算法的研发，优化里程计、激光里程计与IMU的融合。 3. 开发高精地图构建算法，完成矢量地图到高精拓扑地图的转换。 4. 标定IMU、相机等传感器，搭建并优化SLAM硬件平台。 5. 采集与处理SLAM数据集，编写测试脚本，确保算法性能与稳定性。 6. 解决无人车与远程主机的数据通信问题，确保实时状态监控。 任职要求： 1、硕士及以上学历，控制科学与工程、自动化、计算机科学、电子信息等相关专业； 2、熟练掌握C/C++编程，具备扎实的算法与数据结构基础。 3、熟悉视觉SLAM（如ORB-SLAM）、激光SLAM（如LOAM）及多传感器融合技术。 4、具备高精地图构建与优化经验，了解矢量地图与拓扑地图的转换方法。 5、能够独立完成传感器标定、硬件集成与算法部署。 6、具备数据分析与测试能力，能够通过数据优化算法性能。 7、有相关学术论文、专利或开源项目贡献者优先。 8、有宇树机器狗开发经验的优先。 工作地点 闵行区上海奥铁通讯技术有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"运动控制算法,导航算法,路径规划,机器避障,SLAM",http://www.zhaopin.com/jobdetail/CC268211230J40838613203.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
SLAM算法工程师（长沙）,徐州威卡电子控制技术有限公司,1.5-2.5万,长沙·岳麓·天顶,长沙,本科,1-3年,7月26日,zhilian_direct,"岗位职责： 1、负责基于激光雷达SLAM算法的研发； 2、负责基于激光雷达、IMU、里程计、视觉里程计融合定位算法研发； 3、负责基于SLAM、里程计的导航算法的研发； 4、负责机器人自主导航中的避障算法的研发 5、负责机器人定位与导航精度的优化。 任职要求： 1、本科以上学历，两年以上工作经验 2、掌握SLAM基础理论及算法，以SLAM算法为专业研究方向者优先，有成熟SLAM产品者优先； 3、熟悉ROS，熟悉机器人导航及传感器标定，姿态估计； 4、掌握基础算法知识，如EKF、UKF、PF等； 5、熟悉PID控制算法、最小二乘算法、马尔科夫定位算法、蒙特卡洛算法； 6、具有多传感器融合的理论和实践经验； 7、 熟悉常用开源激光SLAM项目如：Cartographer、HectorSLAM、Gmapping、KartoSLAM、CoreSLAM、LagoSLAM等； 8、具有较强的编程能力，熟悉C/C++,python； 9、扎实的数学功底，能够推导传感器中常用的数据转换，滤波公式；有能力阅读最新学术论文，具备创新精神。 工作地点 长沙岳麓区梅溪湖创新中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","导航算法,机器人算法,运动控制算法",http://www.zhaopin.com/jobdetail/CC519885020J40896944713.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
slam算法工程师,徐工集团,2-4万·14薪,徐州·鼓楼区·东环街道,徐州,本科,5-10年,7月25日,zhilian_direct,"职位描述 导航算法 机器人算法 运动控制算法 导航定位 三维定位 路径规划 机器避障 环境建模 人工智能 工业自动化/机器人 电气机械/电力设备 1、负责工程机械领域深度学习、强化学习等相关算法研究等工作； 2、负责行/泊车场景BEV+Transformer感知模型算法设计和开发工作,包括矿区/高速/城区等场景中的动态障碍物、车道线Mapping、通用障碍物Occ/fFS、室内外场景中车位检测等感知模型开发、部署和调优; 3、负责多车型平台的主线感知算法的持续迭代,联合数据生产和数据挖掘,构建高效的数据闭环系统,实现正向的算法设计实现和逆向的问题快速修复解决的闭环链路; 4、负责自动驾驶领域大模型等前沿技术研发工作,包括一段式端到端以及下一代采用VLM/VLA架构的自动驾驶方案的预研开发工作; 工作地点 徐州鼓楼区徐工集团工程机械股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","导航算法,机器人算法,运动控制算法,导航定位,三维定位,路径规划,机器避障,环境建模",http://www.zhaopin.com/jobdetail/CC120076170J40922419012.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
SLAM算法工程师,大连坤达自动化有限公司,1.5-2万·13薪,大连·旅顺口·龙王塘,大连,硕士,3-5年,7月23日,zhilian_direct,"岗位职责： 1）负责工业 AMR/AGV 的激光雷达与视觉 SLAM 算法研发与工程化落地。 2）解决工业现场大尺度、动态环境下的地图构建、定位漂移与重定位问题。 3）优化 SLAM 系统性能（CPU/GPU 占用、内存消耗），确保在嵌入式设备上的实时性。 4）编写技术文档，指导初级工程师进行代码维护与迭代。 任职要求： 学历：硕士及以上学历，计算机、自动化、机器人等相关专业。 经验：3年以上 SLAM 开发经验，必须有至少1款移动机器人在工业现场的成功落地案例（加分项：处理过长廊、高动态环境）。 技能：​ 精通 C++，python,ROS/ROS2。 深入理解主流激光 SLAM（Cartographer, LOAM, LeGO LOAM）与视觉 SLAM（ORB SLAM, VINS Fusion）。 熟悉多传感器融合（IMU、里程计、GPS）。 特质： 具备极强的工程问题解决能力，能接受短期出差进行现场调试。 工作地点 旅顺口区大连坤达自动化有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,Python,ROS/ROS2",http://www.zhaopin.com/jobdetail/CC520519680J40865256707.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
slam算法工程师,青岛新时代物业服务有限公司,1.5-3万,青岛·黄岛·长江路,青岛,硕士,经验不限,7月23日,zhilian_direct,岗位职责： 1.负责SLAM系统的研发和部署落地，构建面向复杂场景的高精度实时定位与建图解决方案，持续优化算法效率和鲁棒性。 2.负责激光雷达、视觉（单目/双目/RGB-D）、IMU等多源异构传感器的标定、时序同步与数据融合处理。 3.设计并实现机器人运动控制算法，包括但不限于路径规划、轨迹跟踪、运动学解算及防碰撞策略。 4.开发自适应控制算法，确保机器人在复杂环境和负载变化下的运动稳定性。 5.参与搭建运动控制仿真平台，构建算法快速迭代与场景验证工具链。 任职资格： 1.计算机、自动化、电子工程、机械工程等相关专业硕士及以上学历。 2.熟悉SLAM常见算法，熟悉fast-lio系列、ORB-SLAM系列、VINS等系统，对基于Kalman/ESKF/MSCKF等滤波框架的多传感器融合有实际开发经验。 3.熟练掌握Python或C++语言开发，有良好的编程习惯和代码管理能力，具备Linux环境下ROS/ROS2开发能力。 4.有扎实的机器人学基础，熟悉刚体运动学、状态估计、优化理论的候选人优先。 5.有结合深度学习技术与传统SLAM框架经验者优先。 工作地点 黄岛区青岛文达通科技股份有限公司708 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"导航算法,机器人算法,运动控制算法,定位算法,导航定位,路径规划,机器避障",http://www.zhaopin.com/jobdetail/CC159807410J40956827815.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
激光SLAM算法工程师,纽科伦(新乡)起重机有限公司,1.5-2.5万,新乡·长垣市·南蒲街道,新乡,本科,1-3年,7月23日,zhilian_direct,岗位职责: 1.负责工业场景（仓储物流、无人叉车、智能起重机）移动机器人激光SLAM定位与建图算法的研发、优化及迭代。 2.参与激光与视觉传感器融合方案设计，协助解决复杂环境下的定位失效问题。 3.负责点云预处理、特征提取等核心模块开发调试，提升建图精度与系统稳定性。 4.结合多源信息，参与多传感器融合定位系统的设计与落地。 5.配合现场算法调试，协助解决定位漂移、丢定位等实际问题。 6.配合团队完成算法集成与联调，推动算法落地应用。 任职要求： 1.本科及以上学历，相关专业，1-3年SLAM算法相关经验。 2. 熟练掌握jC++编程，有良好代码习惯，熟悉Linux环境，会用Shell/Python辅助开发测试。 3.理解SLAM核心理论，熟悉一种主流激光SLAM框架，了解其核心逻辑。 4.熟悉激光与视觉融合技术、图像合并处理算法，掌握OpenCV/PCL库，有相关开发调试经验者优先。 5.熟悉ROS/ROS2系统，掌握相关数学基础，能辅助解决定位相关问题。 6.具备工程落地意识和团队协作能力，愿意现场调试，能配合解决算法Bug。 工作地点 长垣市纽科伦(新乡)起重机有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"导航算法,定位算法",http://www.zhaopin.com/jobdetail/CC269298210J40941383402.htm?refcode=4019&srccode=401903&preactionid=4a9f5aad-f983-4b6b-a497-474acae58b96
