job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
（030）类脑智能算法研究员,中国科学院微电子研究所,2.5-3.5万,北京·朝阳·亚运村,北京,博士,经验不限,7月26日,zhilian_direct,岗位职责： 1、研究类脑智能算法及软硬协同优化； 2、发表高水平研究成果； 3、争取国家重大研究课题。 岗位要求： 1、人工智能或类脑智能研究经验； 2、发表过高水平论文。 工作地点 北京朝阳区中国科学院微电子研究所 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"计算机,通信,电子",http://www.zhaopin.com/jobdetail/CC000551140J40857650107.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
AI软件算法研究员26SAI27,中国信息通信研究院,1.4-1.6万,北京·海淀·花园路,北京,硕士,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责国内外人工智能领域算法、框架、平台、软件相关的技术与产业、标准规范等方面研究； 2、撰写人工智能相关研究报告； 3、申请并执行各层次研究课题和技术文档撰写； 4、开展相关软硬件的基准设计和实验验证工作； 5、完成领导交办的其他工作。 任职资格: 综合能力： 1、工作认真负责，严谨细致，踏实勤奋； 2、具有较强的学习能力与抗压能力，优秀的协调和沟通能力； 3、具有高效率的落地执行能力，思维逻辑清晰，全局意识强； 4、服务意识与计划执行能力佳，团队意识与责任意识强； 5、具有良好的公文写作能力。 专业能力： 1、工作或就学期间有人工智能领域系统化学习经验； 2、熟悉 PyTorch 框架和大模型相关模型架构，对算法技术发展有深刻理解见解，具有模型研发、微调、推理部署等经验者优先； 工作地点 北京海淀区首享科技大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CC251266610J40952976402.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
AI视觉算法研究员（3D视觉方向）,深圳清华大学研究院,3-6万·15薪,上海·徐汇·虹梅路,上海,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1.深入研究并创新性地将强化学习及其他AI优化算法应用于高速路径规划问题，并对复杂的物理约束进行建模，显著提升生产效率。 2.负责规划算法的核心模块的训练优化，以及C++ 部署集成，确保算法在实时系统中的高性能和稳定性。 3.负责创新研发成果的专利申请和论文投稿，跟踪国内外学术界和产业界的前沿研究成果。 岗位要求： 1.研究生及以上学历或国内外重点大学本科学历，计算机、自动化、机器人、物理、数学、运筹学等相关专业毕业，具有良好的数学和计算机基础； 具有优秀的学习能力、分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情； 2.在深度强化学习、进化算法、MCTS、图神经网络、贝叶斯优化等AI算法等某个或多个方向有出色的理解和研发经验，可以独立完成算法的研究、优化、创新和实现； 3.精通PyTorch/TensorFlow等深度学习框架，熟练掌握C++/Python，熟悉TensorRT/ONNX等推理部署框架 加分项： 1.在国际顶级会议或期刊（NeurIPS/ICLR/ICML/AAAI/CVPR/ICCV/ECCV/TPAMI/IJCAI/Siggraph/IROS/ICRA）发表相关论文者优先； 2.AI开源项目的核心贡献者优先； 3.编程/物理/数学大赛奖牌获得者或者有hackathon/AI会议比赛经验者优先； 4.在传统路径规划/组合优化领域的算法方向，如遗传算法、模拟退火、蚁群算法、A*等，有项目经验者优先。 工作地点 上海徐汇区华鑫慧享城B区-7栋9层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"路径规划,规划算法,强化学习",http://www.zhaopin.com/jobdetail/CC201174620J40730850306.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
电磁算法研究员,重庆数字赛道研究院,1.5-2.1万,重庆·江北·五里店,重庆,硕士,经验不限,10月11日,zhilian_direct,岗位职责： 1. 负责电磁场算法的底层架构和核心算法设计； 2. 负责电磁软件产品电磁辐射、散射等模型建立、算法开发； 3.负责电磁算法模块化开发，集成形成智能软件设计平台； 4.负责前瞻性技术跟踪与研究、产品改进升级、技术文档撰写、专利申请等， 并参与相关项目技术可行性分析及项目开发等。 任职要求： 1.计算电磁学、物理学等相关专业硕士及以上学历； 2.物理基础扎实，具有较好的推导能力和分析物理机制能力； 3.擅长 C++，MATLAB 编程能力；4.具有 CAE/EDA 软件开发经验者优先； 5.具有团队协作、独立工作能力。具有良好的人际沟通能力，工作积极主动， 责任心强，能承受一定的工作压力。 工作地点 江北区重庆数字赛道研究院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,C++,CAE,EDA",http://www.zhaopin.com/jobdetail/CCL1376365390J40831237513.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
储能算法及实验室研究员,清华四川能源互联网研究院,1.6-2.5万,成都·双流·正兴,成都,硕士,经验不限,7月26日,zhilian_direct,岗位职责： 深度参与***/企业合作重大科研项目，主要职责包括： 1. 前沿课题研究与算法研发 ①参与储能电站“安全预警、故障预警、智能运维”等领域的核心算法研究与实现； ②承担电池仿真建模与分析工作（熟悉COMSOL、ANSYS等工具）。 2. 项目全周期管理 ① 负责科研项目全流程管控：撰写高质量技术方案、阶段性研究报告； ②完成专利申请、软件著作权登记及高水平论文发表等技术指标； ③组织并完成项目节点检查、中期考核及最终结题验收。 3. 储能实验室管理 ①管理储能电池实验室的日常运行、设备维护与安全管理； ②指导学生开展电池实验，协助团队开展实验设计与数据分析。 二、任职要求： 1.学历：硕士及以上（电气工程、储能科学与工程、材料/化工等相关专业）。 2.经验与技能： ① 具有COMSOL、ANSYS等电池仿真软件使用经验； ②熟悉储能系统或电池建模、故障诊断领域，有算法开发基础（Python/Matlab等优先）； ③应届毕业生或有工作经验者均可申请； ④有科研项目申请/执行/结题经验者优先； ⑤以***作者发表过高水平论文或拥有专利/软著者优先； ⑥做电池状态监测 并且有实验经验的优先； ⑦COMSOL/Matlab/Simulink建模仿真经验的硕士或博士，做过磷酸铁锂、超级电容、液流电池的优先 。 3.其他能力： ①良好的中英文科技写作能力； ②具备团队合作精神、责任心强，能够指导学生进行实验操作。 工作地点 成都双流区天府菁蓉中心-B区1-4号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,大模型算法",http://www.zhaopin.com/jobdetail/CC336758630J40779609906.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
AI视觉算法研究员（3D视觉方向）,深圳清华大学研究院,3-6万·15薪,深圳·宝安·沙井,深圳,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1.深入研究并创新性地将强化学习及其他AI优化算法应用于高速路径规划问题，并对复杂的物理约束进行建模，显著提升生产效率。 2.负责规划算法的核心模块的训练优化，以及C++ 部署集成，确保算法在实时系统中的高性能和稳定性。 3.负责创新研发成果的专利申请和论文投稿，跟踪国内外学术界和产业界的前沿研究成果。 岗位要求： 1.研究生及以上学历或国内外重点大学本科学历，计算机、自动化、机器人、物理、数学、运筹学等相关专业毕业，具有良好的数学和计算机基础； 具有优秀的学习能力、分析问题和解决问题的能力，具有良好的沟通能力和团队合作能力，在工作中敢于突破与创新，对解决具有挑战性的问题充满激情； 2.在深度强化学习、进化算法、MCTS、图神经网络、贝叶斯优化等AI算法等某个或多个方向有出色的理解和研发经验，可以独立完成算法的研究、优化、创新和实现； 3.精通PyTorch/TensorFlow等深度学习框架，熟练掌握C++/Python，熟悉TensorRT/ONNX等推理部署框架 加分项： 1.在国际顶级会议或期刊（NeurIPS/ICLR/ICML/AAAI/CVPR/ICCV/ECCV/TPAMI/IJCAI/Siggraph/IROS/ICRA）发表相关论文者优先； 2.AI开源项目的核心贡献者优先； 3.编程/物理/数学大赛奖牌获得者或者有hackathon/AI会议比赛经验者优先； 4.在传统路径规划/组合优化领域的算法方向，如遗传算法、模拟退火、蚁群算法、A*等，有项目经验者优先。 工作地点 深圳宝安区全至科技创新园科创大厦13g识渊科技 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"路径规划,规划算法,强化学习",http://www.zhaopin.com/jobdetail/CC201174620J40730850406.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
面向算力网络的分布式大模型算法原理研究员(实习生）(J10238),中国移动研究院,130-150元/天,北京·西城·广安门内,北京,硕士,经验不限,7月26日,zhilian_direct,岗位职责: 1、负责大规模分布式AI算法研究，包括大模型分布式框架、分布式并行优化等； 2、负责面向算力网络的AI架构演进与关键技术研究，包括网络与AI融合架构、协议流程、系统接口等的研究和设计； 3、负责面向算力网络的AI新技术研究，推动新技术与网络的加速融合与落地，包括数字孪生、知识图谱、隐私计算等； 4、负责跟进业界AI前沿进展，深入研究探索； 5、跟进国内外标准化会议，负责相关课题标准研究和推动。 工作地点 北京西城区中国移动创新大楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,深度学习,http://www.zhaopin.com/jobdetail/CC143191460J40719716607.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
AI算法研究员,信华信(大连)软件服务股份有限公司,1.8-3.5万,大连·甘井子·凌水,大连,硕士,经验不限,7月26日,zhilian_direct,岗位职责： 1. 跟踪和研究前沿算法技术（大语言模型、强化学习、多模态对齐、迁移学习等），探索前沿算法的理解与应用，提升团队整体的技术创新能力和研究水平，并推动前沿算法在项目中的落地应用。 2. 针对垂直业务场景，根据业务需求对所需的 AI 算法方案进行设计，与团队合作完成开发、评估与交付，针对项目中出现的问题，设计算法改进或优化方案进行验证与迭代，达成既定的业务需求和指标。 3. 承担 AI 算法的研发任务，包括但不限于算法的创新、改进与优化，确保算法在性能、效率和业务场景适应性上的优良表现。 任职要求： 1. 计算机、人工智能等相关专业硕士及以上学历，有相关领域高水平论文发表者优先。 2. 有扎实的编程基础，熟练掌握 Python，掌握至少一个主流深度学习框架（如 PyTorch、TensorFlow）。 3. 有良好的数学基础和逻辑思维，有对于学术前沿持续跟踪的习惯，掌握深度学习的基础知识和经典算法，掌握当前前沿算法技术，精通至少一个算法领域（如 CV、RL 等）的主流算法和前沿算法。 4. 有较强的英文文献阅读能力和表达能力，能快速理解并复现最新论文方法，能设计评价基准对于领域内的模型与方法进行评估和对比。 5. 有较强的算法优化能力，能够科学分析实验结果，设计改进和优化建议，持续进行算法模型的能力改善。 6. 具备良好的问题解决能力和创新思维，拥有良好的团队协作能力，能够独立完成或指导他人完成对于算法问题的优化，确保项目目标的达成。 7. 拥有日语阅读能力和会话能力者优先。 工作地点 大连甘井子区信华信技术股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"多模态算法,大模型算法,算法,算法研究员,AI算法",http://www.zhaopin.com/jobdetail/CCL1454327120J40866720607.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
人工智能算法研究员（智能制造）,高景太阳能股份有限公司,3-5万·13薪,宜宾·叙州区·柏溪街道,宜宾,博士,经验不限,7月26日,zhilian_direct,岗位职责 1. 前瞻性算法研究及技术攻关 主导优化单晶生长过程中的核心物理模型与工艺过程的数学建模研究，构建高精度、可解释的工艺仿真模型；开展面向复杂工业场景的原创算法研究，包括但不限于：多模态融合感知、小样本/弱监督学习、因果推断、时序预测、强化学习控制、不确定性建模等；攻克单晶生产中的“卡脖子”算法难题，如超长时序列的异常早期预警、微观缺陷的生成机理与抑制模型、多目标耦合的工艺全局优化等；跟踪全球顶级学术会议及顶级期刊的研究动态，评估前沿技术在工业场景的应用潜力与落地路径。 2. AI技术与工业数据应用 开展光伏单晶硅场景下的机器学习/深度学习算法研究，覆盖工艺参数优化、异常检测、质量预测、视觉检测等方向；建立覆盖设备信号、工艺参数、质量检测的多源数据采集与治理体系，参与构建工业数据中台；开发数据驱动的智能分析工具，支持可视化分析、根因诊断与决策辅助；与工艺专家、设备工程师深度合作，将领域知识融入算法模型，提升算法的可解释性与物理一致性。 3. 智能控制系统设计与开发 参与单晶炉及配套产线控制系统的架构设计，确保算法模块与控制系统高效集成；将AI模型封装为可部署、可调度、可监控的工业级服务；推动AI能力与MES、SCADA等系统深度融合；与自动化、软件架构团队协作，共同设计算法友好的新一代控制架构与数据管道。 4. 算法平台与工具链构建 牵头设计并搭建面向工业研发的算法研究平台，集成数据管理、模型训练、超参数优化、仿真验证和性能评估模块；开发适用于工业数据的特征工程工具与领域自适应框架，解决实际生产数据中的噪声、不平衡、概念漂移等问题；建立算法效果验证体系，搭建标准化验证流程，定义贴合业务场景的综合评估标准与A/B测试机制；推动研究成果向标准化算法组件/服务的转化，形成可被工程团队高效调用的核心资产。 5. 业务系统与数字化平台开发 参与统一数字工厂平台的算法模块开发，支持工艺仿真、远程运维、数字孪生等高级应用；与软件工程团队协作，完成算法模型的API化、容器化、微服务化改造。 6. 技术标准化与体系构建 制定算法开发规范、数据治理标准、模型部署流程；建立从概念验证到规模推广的完整项目管理体系。 7. 智能收益评估与战略推进 设计智能化水平评价指标，分析算法应用带来的效率提升与成本降低；基于对技术趋势与业务需求的深刻理解，参与制定部门及公司的中长期智能化技术发展规划；参与产学研合作项目及国家级课题申请，将工业实践转化为知识产权与学术成果。 三、任职要求 1. 学历专业 已获得或即将获得计算机科学、人工智能、软件工程、电子信息等相关领域的博士学位。本科阶段须为计算机或软件工程相关专业。 2. 科研/工程能力 在机器学习、深度学习、计算机视觉、时序数据分析等方向有扎实积累；以第一作者在AI领域顶级会议/期刊（如CVPR、NeurIPS、TPAMI等）发表过论文，或有知名企业AI Lab工业级AI系统落地经验。 3. 技术实现能力 精通Python及PyTorch或TensorFlow之一；熟悉分布式训练（DeepSpeed、Megatron）及模型部署（ONNX、TensorRT、Triton）；熟悉大规模数据处理（Spark、Flink、Kafka）；熟悉容器化技术（Docker、Kubernetes）及微服务架构。 4. 系统思维 能够从软件架构、网络通信、硬件资源、实时性、可靠性等维度评估技术方案；具备从算法到工程的全链路意识，追求系统稳定可用。 5. 优先考虑 有光伏、半导体等工业制造场景AI落地经验；有边缘计算、端侧推理经验；有数字孪生、工业仿真、时序预测项目经验；主持或参与过国家级科研项目；有高价值发明专利。 工作地点 宜宾叙州区四川高景太阳能科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,图像算法",http://www.zhaopin.com/jobdetail/CCL1314170410J40849753010.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
AI Scientist 算法研究员,艾斐智药(北京)科技有限公司,6-9万·15薪,北京·海淀,北京,硕士,1-3年,7月26日,zhilian_direct,职位描述 人工智能 核心职责 面向真实科学研究任务，研究和研发 AI Scientist 系统，理解科学问题、研究假设与验证路径，提升人工智能在复杂科研任务中的自主分析、推理和执行能力。 围绕 AI Scientist 领域，在大语言模型、智能体、推理、强化学习、测试时推理、多智能体协作等方向开展前沿研究。 独立定义具有科学意义和技术价值的研究问题，设计 benchmark、评测体系及验证方案，完成算法研发、系统实现与实验验证。 与计算及实验团队合作，推动 AI Scientist 在真实科研任务中的应用验证，并产出高水平研究成果。 任职要求 硕士及以上学历，计算机、人工智能、自动化、数学或相关专业，具有扎实的人工智能研究基础，具有2年以上相关研发经验。 在 NeurIPS、ICLR、ICML 等重要会议或期刊发表过 Agent、大语言模型、推理、强化学习或 AI for Science 相关研究成果，并作为核心作者作出实质性贡献。 具有复杂 Agent 系统研发经验，熟悉智能体规划、工具调用、上下文与记忆管理、工作流或多智能体协作等相关技术，熟练使用 Vibe Coding 工具。 理解科学研究的基本方法，具备提出科学问题、形成研究假设、设计验证方案、分析实验或计算结果并形成科学结论的能力。曾参与生命科学、药物化学、医学等研究项目者优先； 能够独立定义研究问题、设计评测和实验方案，并将研究方法实现为可运行、可验证的系统；精通 Python，熟悉 PyTorch 及主流大语言模型和智能体研发框架。 入职缴纳五险一金，更有免费工作餐等福利！ 等你加入~ 工作地点 北京海淀区双清大厦-2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1526279400J40865751607.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
算法研究员,上海泓迅科技有限公司,2-3万,上海·浦东·张江,上海,本科,经验不限,7月26日,zhilian_direct,职位描述 深度学习 人工智能 工作职责 前沿追踪与复现： 研读并复现 LLM/扩散模型（dLLM）相关的最新论文与开源项目，提取核心逻辑并验证在商业场景下的落地可行性。 算法验证与训练： 在小规模数据上快速构建算法原型，设计严谨的对比实验，负责模型调参、指标监控及训练配置文件的编写。 链路闭环： 参与从万亿级数据清洗、模型预训练到微调（SFT/RLHF）的完整链路，解决模型训练中的收敛与性能优化问题。 任职要求： 硬核数理基础： 数学、统计、物理或计算机相关专业（C9/海外Top 100优先）。具备扎实的公式推演能力，能深度理解梯度下降、概率分布及线性代数底层原理。 代码实现能力： 熟练掌握 Python 及 PyTorch/TensorFlow 等框架，具备优秀的编程习惯，能将复杂的论文逻辑快速转化为高质量、可复现的代码。 科研素养： 具备独立调研能力，英语水平足以无障碍阅读前沿文献。对 AI 领域有极强的自驱动力，能适应极速迭代的技术周期。 工程与协作： 诚实可靠，对数据敏感，能够准确记录实验偏差并与团队紧密配合完成大规模 GPU 集群下的联合调试。 工作地点 上海浦东新区模力社区-1号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,深度学习,http://www.zhaopin.com/jobdetail/CCL1455244310J40922891512.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
算法研究员（多模态理解）,北京智享众合科技有限公司,7-8万,合肥·蜀山·南岗,合肥,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1. 参与计算机视觉或多模态领域的研究，独立完成代码实现和实验分析； 2. 与团队成员密切合作，共同完成多模态大模型的训练优化； 任职要求 1. 具备硕士以上学位，毕业2年以上，专业方向在计算机科学、信息技术、电子工程或相关领域； 2. 对前沿算法有深刻的认识和理解，有CV方向算法研究经历； 3. 精通至少一种编程语言，如Python、C++等； 4. 能够独立思考和解决问题，具备较强的分析能力和创新能力； 5. 具备良好的沟通能力和团队协作精神； 工作地点 合肥蜀山区望江西路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"多模态算法,大模型算法",http://www.zhaopin.com/jobdetail/CCL1506278920J40790979806.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
部组件-研究岗-环境感知与导航算法研究员(J10568),启元实验室,4-5万,北京·海淀,北京,博士,经验不限,7月26日,zhilian_direct,岗位职责: 1.设计多模态环境感知与自主导航系统，支持高原越野等动态环境下的实时避障与路径规划； 2.研发多传感器融合（激光/视觉/IMU等）定位与建图算法，解决野外弱GPS场景下的状态估计问题； 3.设计三维地形分析与通行度评估算法，解决复杂地形下的落足点感知与实时运动规划问题； 4.主导真实越野场景的算法部署与实车调试，优化边缘设备上的系统实时性与鲁棒性； 5.编制相关技术文档； 6.完成主管领导交办的其他工作。 任职要求: 1.国内外知名院校博士毕业，计算机或自动化等相关专业； 2.精通多传感器融合定位建图及主流SLAM框架（如LIO-SAM、VINS等），具备野外无特征场景实际调优经验； 3.熟悉自主导航与路径规划，精通三维地形高程图（Elevation Map）构建与通行度分析； 4.熟练掌握C++/Python及ROS/ROS2框架，熟悉边缘计算设备（如Jetson系列）的算法移植与加速部署； 5.有足式机器人实物联调、特种机器人或野外无人车导航开发经验者优先。 工作地点 北京海淀区启元实验室(东区) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"导航算法,导航定位,C/C++,Python",http://www.zhaopin.com/jobdetail/CCL1311152580J40831088516.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
多模态生成算法研究员,悠派才选(上海)人力资源有限公司,7-8.5万,合肥·蜀山·高新区,合肥,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1、负责多模态视觉内容生成算法（GAN、diffusion）研发，包括算法开发、技术优化等； 2、持续跟进业界视觉技术最新进展，加速新技术的引入、适配和优化； 任职要求： 1、硕士及以上学历，计算机科学、机器学习、人工智能、应用数学等相关专业优先； 2、从事过多模态人像生成优先，包含不限于文本、语音驱动人像生成； 3、具备扎实的计算机视觉、机器学习、深度学习基础，掌握领域内的最新技术进展，例如Diffusion Models、GAN、Autoregressive Models，能够跟进、实现、改进算法； 4、较强的算法实现能力，熟悉掌握 Python 语言，熟练使用PyTorch等主流深度学习框架； 5、优秀的英文文献阅读能力，ACM竞赛获奖者、有高质量论文发表优先（例如CVPR、NIPS、ICCV、ECCV、AAAI、TIP等）； 6、对于前沿技术有浓厚兴趣、自驱力强，有良好的团队合作和沟通能力。 工作地点 合肥蜀山区科大讯飞股份有限公司1层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"大模型算法,多模态算法,机器视觉,AIGC",http://www.zhaopin.com/jobdetail/CCL1264621710J40896319913.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
算法研究员（多模态生成）,北京智享众合科技有限公司,7-8万,合肥·蜀山·南岗,合肥,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1、负责多模态视觉内容生成算法（GAN、diffusion）研发，包括算法开发、技术优化等； 2、持续跟进业界视觉技术最新进展，加速新技术的引入、适配和优化； 任职要求 1、硕士及以上学历，毕业2年以上优先，计算机科学、机器学习、人工智能、应用数学等相关专业优先； 2、从事过多模态人像生成优先，包含不限于文本、语音驱动人像生成； 3、具备扎实的计算机视觉、机器学习、深度学习基础，掌握领域内的最新技术进展，例如Diffusion Models、GAN、Autoregressive Models，能够跟进、实现、改进算法； 4、较强的算法实现能力，熟悉掌握 Python 语言，熟练使用PyTorch等主流深度学习框架； 5、优秀的英文文献阅读能力，ACM竞赛获奖者、有高质量论文发表优先（例如CVPR、NIPS、ICCV、ECCV、AAAI、TIP等）； 6、对于前沿技术有浓厚兴趣、自驱力强，有良好的团队合作和沟通能力。 工作地点 合肥蜀山区望江西路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"多模态算法,大模型算法,AIGC",http://www.zhaopin.com/jobdetail/CCL1506278920J40790981906.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
算法研究员-多模态理解-科大讯飞正编,武汉佰思特信息科技有限公司,3-5万,合肥·蜀山·高新区,合肥,硕士,经验不限,7月26日,zhilian_direct,职位描述 AI 人工智能 1. 参与计算机视觉(CV)和自然语言处理(NLP)的跨领域研究，独立完成代码实现和实验分析； 2. 与团队成员密切合作，共同完成多模态大模型的训练优化； 任职资格 1. 具备硕士以上学位，专业方向在计算机科学、信息技术、电子工程或相关领域； 2. 对前沿算法有深刻的认识和理解，有CV方向算法研究经历； 3. 精通至少一种编程语言； 4. 能够独立思考和解决问题，具备较强的分析能力和创新能力； 5. 具备良好的沟通能力和团队协作精神； 工作地点 合肥蜀山区科大讯飞 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AI,人工智能",http://www.zhaopin.com/jobdetail/CCL1393248930J40825268016.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
多模态理解算法研究员,悠派才选(上海)人力资源有限公司,7-8.5万,无锡·新吴·新安,无锡,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1. 参与计算机视觉或多模态领域的研究，独立完成代码实现和实验分析； 2. 与团队成员密切合作，共同完成多模态大模型的训练优化； 任职要求： 1. 具备硕士以上学位，专业方向在计算机科学、信息技术、电子工程或相关领域； 2. 对前沿算法有深刻的认识和理解，有CV方向算法研究经历； 3. 精通至少一种编程语言，如Python、C++等； 4. 能够独立思考和解决问题，具备较强的分析能力和创新能力； 5. 具备良好的沟通能力和团队协作精神； 工作地点 新吴区无锡国家软件园-6期B座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"大模型算法,多模态算法,机器视觉",http://www.zhaopin.com/jobdetail/CCL1264621710J40896318813.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
算法研究员,北京智享众合科技有限公司,7-8万,无锡·新吴·鸿山,无锡,硕士,1-3年,7月26日,zhilian_direct,岗位职责 1. 参与计算机视觉或多模态领域的研究，独立完成代码实现和实验分析； 2. 与团队成员密切合作，共同完成多模态大模型的训练优化； 任职要求 1. 具备硕士以上学位，专业方向在计算机科学、信息技术、电子工程或相关领域； 2. 对前沿算法有深刻的认识和理解，有CV方向算法研究经历； 3. 精通至少一种编程语言，如Python、C++等； 4. 能够独立思考和解决问题，具备较强的分析能力和创新能力； 5. 具备良好的沟通能力和团队协作精神； 工作地点 新吴区无锡智能制造产业园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"多模态算法,大模型算法,计算机视觉",http://www.zhaopin.com/jobdetail/CCL1506278920J40790932406.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
感知算法研究员,四川长虹电子控股集团有限公司,面议,成都·武侯·桂溪,成都,硕士,3-5年,7月26日,zhilian_direct,岗位职责: 岗位职责 1. 独立负责感知算法模型的选型、训练优化与工程部署，熟练应用检测、分割等主流方法及传统机器学习方法； 2. 独立完成传统图像算法开发，落地深度估计、摄像头标定等核心算法任务； 3. 跟踪主流技术动态，参与现有技术方案的优化迭代与效果提升； 4. 参与制定模块级模型方案、数据采集方案，完成方案验证与落地。 任职要求: 任职条件 1. 硕士及以上学历，熟练掌握 CNN、VIT 等常见模型结构的设计逻辑，能根据业务场景选择适配模型并进行轻量化或优化；​ 2. 熟练掌握深度学习理论知识，能灵活运用理论解决模型训练中的过拟合、梯度消失等常见问题；​ 3. 熟练掌握主流检测算法的训练、调优与工程化使用，能独立完成检测任务的模型选型、训练部署全流程；​ 4. 掌握多视图几何核心技能（如相机标定、立体匹配等），能独立应用于实际业务场景；​ 5. 深入了解各类检测、分割模型的优缺点，能根据需求选择合适模型并完成二次开发与效果优化。 工作地点 成都武侯区长虹科技大厦-A座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,图像算法",http://www.zhaopin.com/jobdetail/CC285896080J40942770908.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
多模态理解算法研究员,悠派才选(上海)人力资源有限公司,7-8.5万,合肥·蜀山·高新区,合肥,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1. 参与计算机视觉或多模态领域的研究，独立完成代码实现和实验分析； 2. 与团队成员密切合作，共同完成多模态大模型的训练优化； 任职要求： 1. 具备硕士以上学位，专业方向在计算机科学、信息技术、电子工程或相关领域； 2. 对前沿算法有深刻的认识和理解，有CV方向算法研究经历； 3. 精通至少一种编程语言，如Python、C++等； 4. 能够独立思考和解决问题，具备较强的分析能力和创新能力； 5. 具备良好的沟通能力和团队协作精神； 工作地点 合肥蜀山区科大讯飞股份有限公司1层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"大模型算法,多模态算法,机器视觉",http://www.zhaopin.com/jobdetail/CCL1264621710J40896318913.htm?refcode=4019&srccode=401903&preactionid=fb9adb98-68fc-496a-a820-8129f3b1ff11
