job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI搜索算法工程师,杭州奈睿信息技术有限公司,5-10万·16薪,北京·海淀·中关村,北京,硕士,1-3年,7月26日,zhilian_direct,职位描述 搜索算法 【工作职责】 1.负责 DeepSeek 搜索引擎的核心算法优化，包括 query 理解、召回、排序、索引筛选、质量评估等方向，让搜索结果更准确、权威、实时，更适合 LLM 理解与使用。 2.建设多语言、多场景、多模态的搜索能力，解决不同语言与地区、不同内容生态、不同用户需求下的搜索问题。 3.构建搜索质量评估体系，包括自动化评估、badcase 分析等，让算法迭代有清晰、可解释的判断依据。 4.与架构、数据、产品、posttrain等团队紧密协作，从真实用户需求出发，完成问题发现、方案设计、实验验证与线上落地。 5.持续跟进搜索、RAG、LLM、多模态等方向的技术进展，针对 DeepSeek 搜索业务场景设计简洁&高效的算法。 【岗位要求】 1.至少熟悉机器学习、深度学习、信息检索中的一个方向。 2.对搜索和大模型结合感兴趣，既愿意持续学习新技术，也愿意深入真实业务问题，从 badcase 与 用户反馈中定位系统短板。 3.具备良好的工程落地能力与意识，不做过度设计，能够在成本与延时约束下完成算法落地。 4.沟通直接、协作意识强，具备优秀的跨团队协作能力。 5.有搜索、推荐、广告、RAG、chatbot 等大规模在线系统经验者优先。 工作地点 北京海淀区融科资讯中心C座-北楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,搜索算法,http://www.zhaopin.com/jobdetail/CC408095430J40957462215.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
智能推荐搜索算法专家,咪咕文化科技有限公司,3-5万,上海·浦东·金桥,上海,硕士,3-5年,7月22日,zhilian_direct,岗位职责： 1. 负责咪咕视频推荐与搜索算法优化：深入研究与改进咪咕视频的推荐和搜索算法，运用机器学习、深度学习等技术，提升算法准确性和效率，实现个性化内容精准推荐，增强用户搜索体验与内容发现能力，提高用户活跃度和留存率。 2. 业务与用户行为数据深度洞察：全面深入理解业务数据和用户行为数据，通过数据分析挖掘用户兴趣、偏好与行为模式，为算法优化和产品决策提供数据支持，与数据团队合作完善数据收集、存储和处理流程，确保数据质量和可用性。 3. 社区化内容与作者成长生态建设：设计并实施支持社区化内容的推荐策略，促进用户生成内容（UGC）传播与互动，助力优质内容创作者成长，通过算法优化提升创作者曝光度和影响力，打造活跃健康的社区生态，增加用户粘性和平台吸引力。 任职要求： 1. 计算机科学、数学、人工智能、统计学或相关领域的硕士以上学位，熟悉机器学习，深度学习，自然语言处理等领域的专业知识，具有5年以上工作经验； 2. 在推荐系统、搜索算法、数据挖掘等领域有具备3年以上经验，熟悉常用算法和模型，如协同过滤、矩阵分解、深度学习（如 CNN、RNN、Transformer 等），并有大规模数据处理和算法优化经验。 3. 熟练掌握 Python、Java、C++等至少一门编程语言，熟悉 Spark、Hadoop、Flink 等大数据处理框架，熟练使用 TensorFlow、PyTorch 等深度学习框架进行模型开发和训练，具备优秀的算法设计、编码实现和调试能力，能够独立完成复杂算法模块的开发和优化工作。 4. 具备敏锐的数据洞察力和数据分析能力，能够熟练运用 SQL、Python 数据分析库（如 Pandas、Numpy、Matplotlib 等）进行数据探索、分析和可视化，通过数据驱动算法改进和业务决策，善于从数据中发现问题并提出有效解决方案。 5. 对视频、社交、内容平台等业务有深入理解，能够将算法技术与业务需求紧密结合，提出创新性的解决方案和产品优化建议，具备良好的产品思维和用户体验意识，关注行业动态和技术发展趋势，不断探索新算法、新技术在业务中的应用，推动业务创新和增长。 工作地点 上海浦东新区咪咕视讯科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,推荐算法,http://www.zhaopin.com/jobdetail/CCL1318355140J40764393303.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
多模态搜索算法工程师,广东三维家信息科技有限公司,1.8-2.4万,广州·天河·新塘,广州,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责室内设计家具素材搜索系统的算法设计与落地，包括文本搜索、以图搜图、多模态检索、相似素材召回、属性过滤和重排序； 2、构建 Query Understanding 模块，支持中文自然语言查询的意图识别、属性抽取、query rewrite、query expansion、pseudo-description 生成等能力； 3、设计并优化混合检索架构，包括 BM25、中文文本向量、多模态图文向量、结构化 metadata filter、召回融合和 rerank； 4、负责家具素材的 embedding 方案选型和评估，包括 CLIP、OpenCLIP、SigLIP、CN-CLIP、BGE 等模型的测试、部署和调优； 5、建立搜索效果评估体系，包括 query 测试集、人工标注规范、Top-K 可用率、MRR、NDCG、过滤准确率、响应时延等指标； 6、参与素材数据治理，包括品类、风格、材质、颜色、空间、尺寸等属性的自动抽取、标准化、补全和质量评估； 7、与后端工程师协作，将算法能力接入向量数据库、搜索引擎和业务系统，支持线上检索链路的稳定运行； 8、跟踪多模态检索、商品搜索、RAG、LLM query understanding 等方向的前沿论文和开源方案，并推动可落地的 PoC。 任职要求： 1、计算机、人工智能、机器学习、信息检索、数据科学等相关专业本科及以上学历； 2、熟悉搜索或推荐系统中的至少一类技术：召回、排序、重排、语义检索、向量检索、学习排序、用户行为建模； 3、熟悉 NLP 或多模态模型，有 CLIP、OpenCLIP、SigLIP、BGE、Sentence-BERT、reranker、cross-encoder 等模型使用经验； 4、熟悉 Python 和 PyTorch，能够独立完成模型推理、特征抽取、离线评测和实验分析； 5、熟悉至少一种搜索或向量检索组件，如 Elasticsearch、Qdrant、Milvus、Faiss、Weaviate 等； 6、理解 BM25、dense retrieval、hybrid search、RRF、rerank、embedding 相似度检索等基本原理； 7、具备较好的实验设计能力，能构建 query 集、标注集和指标体系，基于数据判断算法效果； 8、有工程落地意识，能关注模型效果、响应时延、资源消耗、可维护性和线上稳定性。 【加分项】 1、有电商搜索、商品搜索、素材库搜索、图片搜索、以图搜图、内容推荐等项目经验； 2、有家具、室内设计、家居电商、3D 素材、AIGC 素材库相关经验； 3、熟悉 LLM 在 query rewrite、属性抽取、RAG、标签补全、意图识别中的应用； 4、有多模态数据处理经验，包括图片 embedding、图文匹配、图像相似度、视觉属性识别； 5、有 3D 模型素材处理经验，例如 OBJ/FBX/GLB 缩略图生成、多视角渲染、多视角检索； 6、阅读过或实践过 HyDE、Query2doc、CLIP、SigLIP、OpenCLIP、BGE、混合检索、RAG 检索增强等相关论文或项目； 7、有搜索 A/B 测试、点击日志分析、用户行为反馈建模经验。 工作地点 广州天河区国家软件产业基地C栋5楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"推荐算法,多模态搜索",http://www.zhaopin.com/jobdetail/CC564580720J41023352904.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
搜索排序算法,去哪儿网（Qunar.com）,5-5.5万,北京·海淀·海淀街道,北京,硕士,3-5年,7月26日,zhilian_direct,职位描述 Java Python SQL 深度学习算法 机器学习算法 TensorFlow Spark 分布式搜索 旅游服务 职位描述 1、 本科及以上学历，3年以上推荐/搜索/广告任一领域的研发经验； 2、 参与业务分析、特征构建、模型建立、算法实现等过程，实现算法效果逐步迭代并跟进业务效果； 3、 负责机器学习、深度学习等前沿问题的探索和研究，分析和解构实际应用场景，提供全面的技术解决方案； 4、 负责旅游业务场景搜索/推荐排序端到端迭代优化，优化用户搜推体验，提升点击率、转化率等核心指标； 5、 具备独立负责项目的能力，能够主导制定某个业务场景的技术方案并有效落地； 6、 对业务和技术变化有深入洞察，持续关注包括大模型在内的技术前沿进展和落地应用； 7、 具备跨团队沟通协作能力，与其他团队密切合作，为用户提供卓越的旅行产品。 任职资格 1、3年以上相关工作经验；计算机、统计学、数学、信息技术等相关专业；研究生及以上学历优先； 2、具备优秀的编码能力，扎实的数据结构和算法功底；有良好的数据敏感度，能从海量数据提炼核心结果；有丰富的数据分析、数据挖掘、效果评估的经验和能力； 3、熟悉掌握机器学习和深度学习算法，对推荐系统、搜索排序、计算广告相关领域有经验者优先；熟悉常用的算法模型，并在多目标优化、序列建模、多场景建模、生成式推荐等一个或多个方向有深入研究；精于逻辑推理、统计分析理论； 4、熟悉一种或多种编程语言Python/Java等；熟悉一种或多种主流的分布式深度学习计算框架Tensorflow/PyTorch等；熟悉Hadoop、Spark等分布式并行处理技术，熟练掌握Hive SQL语言，具备良好的代码开发能力； 5、具备一定的业务敏感度，创新精神和理论与实践相结合的能力，具有主动思考和学习的动力，乐于与业务共同成长； 6、具备出色的问题分析和解决能力，具有团队合作意识，对具有挑战性的问题充满激情； 7、积极拥抱大模型等创新技术。 工作地点 北京海淀区维亚大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Java,Python,SQL,深度学习算法,机器学习算法,TensorFlow,Spark,分布式搜索",http://www.zhaopin.com/jobdetail/CC143301290J40881097205.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
高级搜索/推荐算法工程师,上海统才企业管理咨询服务有限公司,3-6万,上海·徐汇·虹梅路,上海,学历不限,经验不限,7月26日,zhilian_direct,岗位职责 1、负责高手脉商城商品搜索排序算法，覆盖高手脉商城主站首页搜索。 负责电商平台搜索、推荐、广告等核心业务的CTR/CVR/创意优化/商业化模型算法研发与优化，持续优化用户体验与业务效率； 2、优化从召回、粗排、精排到混排的全链路排序模型体系，驱动GMV和商业化增长； 3、负责主搜供给机制算法，设计流量机制策路，建立商家、平台和消费者三赢的商业体系。包括： （1）新品冷启：从满足消费者新品需求视角，通过设计潜力预估模型、GNN、多模态理解、流量池机制等方式理解新商品，对亿级新品进行冷启与打爆。 （2）品规挖掘：从满足消费者购买需求视角，通过用户动线理解、供需差挖掘、价量建模等方式，精准定义高手脉商城缺什么的品规，设计后续对应的招商及流量机制。 （3）助推打爆：通过PID、域迁移等方式，增强少行力用戸与商品的匹配能力，没汁召回、粗排、精排、重排的全链路匹配技术。 （4） 供给价值：从平台视角综合考虑供给打爆收益与孵化损失，达成商家、平台和消费者三赢的健康商业体系。 职位要求 1.具备扎实的数据结构，算法和编码能力，精通至少一种编程语言，如C++、JAVA. Python'f; 2.机器学习基础扎实熟悉，持续跟进学术界及业界召回，排序，NLP等领域的算法模型； 3.具备优秀的学习能力和团队合作精神，有个性化推荐/广告/信息检索/自然语言处理/大规模机器学习相关领域工作经验； 4.有强烈的技术热情，有皮实乐观、不畏挫折的心态；具备优秀的分析和解决问题的能力； 加入“高手脉”的八大理由: 1、更多奖金，更好的工资福利，绩效奖金上不封顶。 2、优秀的员工有机会获得股权激励。 3、帮助低息银行贷款。 4、领导好、大牛带队，高手脉的国际知名度很高。 5、多次晋升机会，更好职业发展。 6、节日福利、五险一金、带薪年假。 7、员工旅游、团建活动。 8、邀请我们的优秀员工免费参加我们的“高手脉万家讲坛”，共享行业龙头企业的高管、大咖和名校名师。提供各行各业所需要的众多领域的专家和咨询顾问团队支持。 公司简介 上海“高手脉”是全球领先的高科技互联网平台公司，在全球高达十亿级的关注。打开高手脉，瓜分百亿。“高手脉”互联网平台的英文名“Ace Unified”，英文简称“AU”。高手脉AU秉承“统一天下高手人脉，让高手指点迷津，让天下人没有解决不了的问题”的使命，惠及全民。在世界各地，我们与各行各业的杰出人士、各领域的职业高手、技术专家和管理专家、最前沿的伟大技术（如AI人工智能等高科技）、领先企业共同合作，为客户、用户和员工创造价值。超级品牌“高手脉AU”，相继被国内外大佬和企业家评为有望成为第三生态。风口在高手脉。 上“高手脉”，轻轻松松买更好更便宜好物，上海购物商城数一数二，全球品质生活的一站式整体解决方案的领导地位与生活方式平台。 海量品牌与商家已合作，覆盖全部品类， 不仅有其他电商平台有的，而且有海量的其他电商平台没有的好物。 正品行货保证，权威国家队专业质检机构查验。 商家可以通过高手脉商家APP上架商品。 高手脉购物商城的商品比“京东淘宝”的性价比和商品标准高很多，好 省 物超所值。 上“高手脉”，培训学习领先品牌，生活社区领先品牌，购物高手选购心动好物的品质生活指南。 “高手脉”通过文章、培训课视频、各类音频、视频等分享的知识比其他知识学习平台更好更专业水平更高。 用户可以通过关注专家、大咖等，享有免费文章和培训课、参与各类活动、增加人脉等好处。 高手脉创作者可以通过高手脉APP“+”上传并卖自己定价的培训课等视频、音频和文章（也可转载）；也可像其他内容平台商品橱窗一样销售书籍、商品等好物，视频带货，图文带货，直播带货；也可以在学习橱窗销售其他高手用户的视频、音频和文章。 上万能的高手脉，解决问题先进品牌，拓展人脉先进品牌，拓展人脉网络的职场内容社区与黄埔军校，找老乡 找同事 找同学 找同行，找朋友 谈生意 找老板， 好 快 多 省。 高手脉APP和微信小程序（电商平台）可以免费注册使用。 一个人如果在生活上、网购优惠好物、职业培训与知识学习、职场上升职加薪等、生意上与做企业、教育与学习（包括各类学生）、买房和租房、健康、金融上等重要方面遇到问题或困难，使用高手脉，各行各业的高手英雄好汉都可以帮助指点迷津、解决问题、实现梦想。 工作地点 上海徐汇区光启园 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,互联网电商,http://www.zhaopin.com/jobdetail/CCL1354744850J40933893208.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
AI搜索架构师,杭州奈睿信息技术有限公司,5-10万·16薪,北京·海淀·中关村,北京,硕士,1-3年,7月26日,zhilian_direct,职位描述 搜索算法 【工作职责】 1.负责 DeepSeek 搜索引擎的开发和维护工作。充分利用底层计算、存储、通信基础设施，构建支持千亿级数据、千万日活用户的大规模信息检索系统。 2.开发并优化在线召回、排序、策略模块，以及离线索引构建管线，在性能、成本与效果之间做系统性权衡。 3.与算法、数据团队紧密协作，支持新模型、新算法快速落地，支持内部研究与评估需求。 4.探索搜索新架构、新范式，为 Agent 提供更强大的信息检索工具。 【岗位要求】 1.熟练掌握 C++ 或 Rust，熟悉 Python、SQL 等常用语言。工程能力强。 2.熟悉数据密集型系统开发和性能优化。有良好的系统设计品味。 【加分项】 1.熟悉大规模分布式向量检索技术（稠密/稀疏/多向量），熟悉 RDMA 高性能通信技术。 2.熟悉 Pytorch、CUDA 等模型推理技术，了解 KVCache 存储系统，有模型部署和推理加速经验。 3.有大规模搜索/推荐/广告/多模态检索系统研发经验。有大规模数据处理经验。 4.有个人开源项目作品，深度参与过大型开源软件研发，发表过高水平学术论文。 工作地点 北京海淀区融科资讯中心C座-北楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,搜索算法,http://www.zhaopin.com/jobdetail/CC408095430J40957463215.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
搜推算法工程师,京东集团,2-4万·19薪,北京·通州·台湖,北京,硕士,经验不限,7月26日,zhilian_direct,职位描述 推荐算法 搜索算法 工作内容 负责境外业务的搜索推荐核心算法的研发工作，致力于提升用户体验和流量转化效率，支撑海外业务快速发展。 建设多语种、跨语种检索引擎赋能海外业务。并基于Multilingual LLM技术，优化搜索NLP模型，包括分词、NER、类目预测、相关性匹配模型、KNN检索、suggest等，提升搜索体验满意度。 对搜索、推荐场景，进行全链路(召回、排序、策略)的模型优化，提升场景效率指标。 岗位要求 计算机/数学相关专业，NLP/机器学习方向硕士及以上学历。 具有搜推广系统经验，包括国际化业务多语言NLP、搜索、推荐相关工作经验者优先。 熟悉常用机器学习/自然语言处理/深度学习算法，以及tensorflow，pytorch等深度学习框架；熟悉Linux下的C/C++/Python开发，对数据结构有深刻理解。 对工作有激情，出色的执行力，强烈的责任感，以及优秀的学习能力。 工作地点 通州区京东集团全球总部北京1号园区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"推荐算法,搜索算法",http://www.zhaopin.com/jobdetail/CC192921310J40748585309.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
自动驾驶规划算法工程师,江苏零浩网络科技有限公司,2-3万,南京·建邺·沙洲,南京,硕士,3-5年,7月26日,zhilian_direct,岗位职责： 1. 负责自动驾驶卡车的行为决策、路径规划与速度规划等核心算法的研发与工程化实现 2. 针对重卡复杂动力学特性，设计局部实时避障与轨迹规划算法 3. 融合多类算法方案，提升算法在动态交通与狭窄道路等长尾场景中的鲁棒性与交互安全性 4. 协同感知、定位、控制等团队进行系统集成调试与实车验证，参与仿真与测试全流程 任职要求： 1. 硕士及以上学历，计算机/车辆工程/机器人等相关专业 2. 精通路径规划、速度规划、行为决策算法 3. 熟悉Hybrid A*、Lattice、EM、iLQR等算法 4. 熟练掌握C++/C或Matlab编程语言 5. 至少1个L2++或L4项目开发落地经验 工作地点 南京建邺区江苏零浩网络科技有限公司6楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C#,Python,SQL,C++,运动控制算法,视觉图像算法,深度学习算法,搜索算法,PyTorch",http://www.zhaopin.com/jobdetail/CC293273230J40874474009.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
预测规划算法工程师,优尼达斯(天津)科技有限公司,2.8-5万,常州·金坛·东城,常州,本科,3-5年,7月26日,zhilian_direct,"职位描述 Python PyTorch 运动控制算法 搜索算法 视觉图像算法 机器学习算法 数据采集 数据分析 智驾 人工智能 云计算 职位描述：负责自动驾驶中预测、决策、规划相关的算法研究和落地。参与行泊或主动安全产品研发，提高模型性能和产品安全性。持续跟踪行业最新技术进展，进行新技术探索。职位要求：理解常用的算法以及调优方法，具有强化学习、模仿学习相关经验优先。优秀的python/C++编程能力和模型开发能力，掌握基础的数据结构和算法，熟练使用Python、pytorch。熟悉常见的规划算法（A*,RRT*，Lattice based，MPC，Apollo EM）或行为决策、行为意图/轨迹预测相关算法。有行泊、主动安全相关量产研发经验优先。在CVPR/ICCV/ECCV/NeurPS/ICLR/ACL/EMNLP等有相关论文发表，或在相关国际竞赛和算法竞赛（ACM/IOI/NOI/Top Coder)中取得优异成绩者优先。 工作地点 常州金坛区鑫城大道 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","Python,PyTorch,运动控制算法,搜索算法,视觉图像算法,机器学习算法,数据采集,数据分析",http://www.zhaopin.com/jobdetail/CCL1257408440J40832603416.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
搜推算法leader,京东集团,2-4万·19薪,北京·通州·台湖,北京,硕士,5-10年,7月26日,zhilian_direct,职位描述 推荐算法 搜索算法 工作内容 负责统筹海外站的工作，包括业务需求支撑、日常算法体验效果迭代。 负责境外业务的搜索推荐核心链路算法的研发工作(召回、排序、策略、相关性、导购商卡)，致力于提升用户体验和流量转化效率，支撑海外业务快速发展。 针对海外业务特点，做搜推前瞻性的技术规划(包括多语言NLP模型，跨语言搜索等)，并推动实施。 岗位要求 计算机/数学相关专业，NLP/机器学习方向硕士及以上学历。 理解海外业务，具备较好的业务sense；有海外电商搜推算法经验者优先。 具备良好规划能力、组织协作、人员管理能力，有带团队经验者优先。 对工作有激情，出色的执行力，强烈的责任感，以及优秀的学习能力。 工作地点 通州区京东集团全球总部北京1号园区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"推荐算法,搜索算法",http://www.zhaopin.com/jobdetail/CC192921310J40748586109.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
ai训练师（包三餐/双休）,软通动力信息技术(集团)股份有限公司,1-2万,北京·海淀·中关村,北京,本科,经验不限,7月26日,zhilian_direct,"职位描述 视觉图像算法 自然语音处理 搜索算法 语音算法 机器人算法 视频算法 模式识别 推荐算法 广告算法 导航算法 机器学习 岗位描述： 1,参与 AI 大模型能力评测项目，具体包括： 配合团队完成日常标注/评测质量抽检、数据复盘等相关工作，保障项目交付效率与质量； 2,管理和对接供应商团队，与项目经理高效联动，及时反馈质量风险，参与评测方案评审和标准制定，确保质量要求贯穿项目全周期； 3,跟踪大模型评测技术动态，探索语音、多模态、Agent等新场景的质量控制方法，引入轻量工具或机制提升质检效率。 岗位要求： 1,本科及以上学历，影视背景优先，编导、导演、戏文（但要视听语言过硬）、摄影（但要有一定文字能力）专业的同学。 具备良好的视觉审美能力，能精准识别图像/视频质量问题； 2,具备较强的中文阅读理解能力，能准确理解抽象描述和细微差异； 3,要求沟通表达能力强，灵活理解力强，逻辑能力强，有统筹规划和多线程工作能力，细心、耐心，有结构化做事的习惯； 4,能接受重复性较高的工作，在任务量大时保持质量稳定； 5,有owner意识，工作认真负责。 加分项：有相关工作经验/熟练运用表格函数 工作地点 北京海淀区盈都大厦-D座1 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","视觉图像算法,自然语音处理,搜索算法,语音算法,机器人算法,视频算法,模式识别,推荐算法,广告算法,导航算法,机器学习",http://www.zhaopin.com/jobdetail/CC000544460J40828690116.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
ROS 开发工程师（教育机器人方向）,博创尚和,1-1.3万,北京·朝阳·大屯,北京,本科,经验不限,7月26日,zhilian_direct,岗位职责 1.基于公司教育机器人产品，负责 ROS1/ROS2 系统下机器人功能开发与优化，涵盖移动底盘、机械臂相关模块开发。 2.独立完成传感器驱动适配、导航算法调试与实现，保障机器人底层运动控制稳定运行。 3.参与机器人硬件与软件的联调，解决 ROS 系统运行中的兼容性、稳定性问题。 4.配合团队完成 ROS 相关技术文档编写、接口说明整理，协助完善机器人底层开发规范。 5.完成基于ROS1、ROS2及机器人相关的实验课程开发。 任职要求 1.机器人工程、自动化、计算机、电子等相关专业本科及以上学历。 2.熟练掌握 Python/C++，精通 Linux 操作系统，扎实掌握 ROS1 及 ROS2 开发基础，熟悉核心组件与通信机制。 3.有ROS1/ROS2 独立开发移动底盘或机械臂项目经验，能独立完成模块代码编写、调试与优化。 4.有参加ROS相关学科竞赛经历并作为团队核心成员获取国家级奖项者优先。 5.具备良好的问题排查能力、团队协作意识，对教育机器人领域有热情。 工作地点 北京朝阳区京环大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"大模型算法,SLAM算法,规控算法,搜索算法,融合感知算法,C/C++,Python,ROS1/ROS2,参加算法相关竞赛/获奖",http://www.zhaopin.com/jobdetail/CC586964720J41006950804.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
机器视觉工程师,绍兴中砥数字科技有限公司,1-1.5万·13薪,绍兴·新昌县·七星街道,绍兴,硕士,经验不限,7月26日,zhilian_direct,职位描述 图像处理 视觉图像算法 推荐算法 搜索算法 视频算法 运动控制算法 Python VR/AR 人工智能 计算机软件 1、负责机器视觉项目的软件设计、开发工作； 2、负责设备视觉部分选型（相机、镜头、光源等）以及视觉工具算法的确定； 3、确定视觉检测算法及软件的编写； 4、跟进客户现场视觉系统的安装调试工作、编写视觉项目操作手册，对视觉软件的调试和运用做好培训。 任职要求： 1、计算机、图像处理、机器视觉、光学相关专业，本科及以上学历。 2、熟练使用VC/Python等软件，熟悉深度学习网络框架。 3、熟悉机器视觉镜头，光源，相机的特点并有选型经验，熟练视觉系统搭建和结构设计。 4、熟悉图像处理常用算法原理，并能够灵活运用算法进行图像匹配、定位、分割和识别。 5、熟悉工厂自动化设备。 6、有一定的英语基础，能看懂简单的英文技术资料。 7、有纺织相关领域从业经验，或瑕疵视觉检测相关工作经验者从优 注：以上条件如熟练程度稍逊，或只有部分几项符合要求，建议应聘机器视觉助理工程师、或技术员等相关岗位。 职位福利：带薪年假、五险一金、住宿补贴、餐补、定期团建、高温补贴、通讯补助、大牛带队、周末双休 薪酬：应届生10k--15k 工作地点 绍兴新昌县高新园区科技孵化器1号楼2楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像处理,视觉图像算法,推荐算法,搜索算法,视频算法,运动控制算法,Python,VR/AR",http://www.zhaopin.com/jobdetail/CCL1438175970J40448409915.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
人工智能讲师,石家庄清美动漫软件职业技术学校,9000-14000元,石家庄·桥西·新石,石家庄,本科,3-5年,7月21日,zhilian_direct,职位描述 深度学习 机器学习 视觉图像算法 自然语音处理 运动控制算法 搜索算法 一、岗位概述 我们正在寻找热爱教学、具备扎实技术功底的人工智能领域专业讲师，负责讲授机 器学习、深度学习、计算机视觉、自然语言处理或 AI Agent 智能体等方向的系统 化课程。候选人需具备良好的表达能力与课程设计能力，能够将复杂理论转化为易 于理解的教学内容，助力学员实现从入门到实战的能力跃迁。 二、基本任职要求（所有方向通用） 学历背景：本科及以上学历，计算机科学、软件工程、人工智能、数学、统计学等相关专业优先； 编程能力： 精通 Python 编程语言，熟练掌握面向对象编程、函数式编程及常用数据结构； 熟练使用 Pandas、NumPy 进行数据分析与处理，具备真实项目中的数据清洗、特征提取经验； 三、专项方向要求（满足以下任一方向） 方向一：机器学习方向 熟悉主流机器学习算法原理与应用场景，包括但不限于： -线性回归、逻辑回归 - 决策树、随机森林、GBDT、XGBoost、LightGBM - SVM、朴素贝叶斯、K-Means、层次聚类、密度聚类 -精通 Scikit-learn 库的使用，能带领学生完成端到端建模流程； -掌握数据预处理（标准化、归一化、编码）、特征工程、交叉验证、超参数调优等关键技能； 方向二：深度学习方向 - 深入理解前馈神经网络、BP 反向传播机制、激活函数、损失函数、优化器； - 精通 PyTorch 框架，能熟练进行张量操作、自动微分、模型定义与训练； - 熟悉 TensorFlow 基本架构与 Keras 高层 API，了解 .h5 与 tf-lite 模型保存与部 署； 方向三：计算机视觉方向 - 熟练使用 OpenCV 进行图像处理，包括灰度化、滤波、边缘检测、形态学操作； - 深入理解 YOLO 系列算法（尤其是 YOLOv8）的网络结构与训练推理流程； - 掌握多目标跟踪核心技术模块： - SORT / DeepSORT 算法原理 - 匈牙利匹配算法与卡尔曼滤波器协同工作原理 - 具备实际项目经验，如车流量统计、行人跟踪、视频分析等； - 熟悉相机成像原理与张正友标定法，能在项目中实现相机畸变校正与空间映射。 方向四：自然语言处理方向 - 熟悉中文文本预处理流程：分词、去停用词、词干提取、TF-IDF、Word2Vec、Sentence-BERT； - 掌握 RNN 及其变体（LSTM/GRU）在文本分类、命名实体识别、人名分类等任务中的应用； - 深入理解 Attention 机制与 Transformer 架构（Encoder-Decoder 结构、Multi-Head Attention）； - 能够复现 Seq2Seq 英译法翻译模型； - 熟悉 BERT 及其衍生模型（RoBERTa、ALBERT、ChatGLM）的基本原理与 Fine-tuning 方法； - 掌握 HuggingFace Transformers 库的使用，能加载预训练模型并进行下游任务微 调。 方向五：AI Agent 智能体方向 - 熟悉主流 AI Agent 工具平台，如影刀 RPA、飞书智能表格、阿里云短视频生成插 件等； - 掌握 RAG（Retrieval-Augmented Generation）架构原理与实现方式； - 精通 LangChain 框架，能构建链式调用、代理决策、记忆管理等功能模块； - 具备本地部署大语言模型（LLM）的能力，熟悉 Llama.cpp、Ollama、ChatGLM3、Qwen 等开源模型的运行与调优； 教学素养： 具备授课经验（线上/线下），逻辑清晰，语言表达能力强； 能独立完成课件制作、案例设计与实训指导； 有责任心，善于引导学生思考，关注学习效果； 工作地点 桥西区清美教育(石家庄盛邦校区) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"深度学习,机器学习,视觉图像算法,自然语音处理,运动控制算法,搜索算法",http://www.zhaopin.com/jobdetail/CC185822520J40868966714.htm?refcode=4019&srccode=401903&preactionid=f75dd654-c2ea-46d3-8304-47fe59f2989b
