job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
python开发工程师,外企德科数字技术有限公司,1.5-2.5万,上海·浦东·金桥,广州,本科,经验不限,7月26日,zhilian_direct,岗位职责： 负责Python后台、自动化工具、数据服务平台开发迭代；参与需求分析、接口开发、功能优化与问题排查，基于Linux环境完成代码开发、调试与版本交付，沉淀通用工具与技术文档，配合团队完成项目落地与持续优化。 任职要求： 1、统招本科及以上，计算机、理工科专业； 2、熟练Python基础、主流框架、数据结构与算法； 3、有后台开发、自动化工具、数据处理、运维开发相关经验优先； 4、岗位需参加华为统一机考，达标方可面试，有明确筛选门槛。 面试流程： 机考→综测→HR面→技术一面→技术二面→主管 工作地点 上海华为研究所浦东新区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,Python,http://www.zhaopin.com/jobdetail/CCL1480117890J40883461105.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
python工程师/算法工程师-急招-双休,软通动力信息技术(集团)股份有限公司,1.1-1.6万,深圳·龙岗·平湖,广州,本科,1-3年,7月25日,zhilian_direct,职位描述 图像算法 机器学习 Python Pandas NLP 半导体行业 1.有python开发经验1年以上 2.有算法经验 3.本科及以上学历 工作地点 深圳龙岗区中科谷 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"图像算法,机器学习,Python,Pandas,NLP",http://www.zhaopin.com/jobdetail/CC000544460J40747402216.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
python开发,北京颢辰科创科技有限公司,9000-18000元,银川·金凤区·北京中路街道,广州,本科,5-10年,7月25日,zhilian_direct,岗位职责: 本岗位的核心目标是将气象数据、算法模型转化为稳定、可靠的业务产品。主要负责： 1.数据产品开发：设计并开发自动化流程，对多源气象数据（如数值预报、卫星、雷达、观测站数据）进行解码、融合与加工，形成标准化的数据产品。 2.可视化与产品生成：利用Python技术栈，开发自动化图表、报告生成系统，将复杂的气象数据转化为直观的图片、图表、动画及图文简报，满足业务决策需求。 3.工程化与系统集成：将数据处理流程和产品生成模块进行服务化封装，通过API接口或微服务形式，与公司内部业务平台（如Web前端、移动应用）集成，保障系统的稳定和高性能。 4.技术方案落地：与气象算法工程师、产品经理紧密协作，理解业务逻辑，将算法原型和产品需求转化为可维护、可扩展的工程代码。 5.文档与优化：编写清晰的技术文档，并持续对现有数据处理流水线进行性能优化和可靠性提升。 任职要求: 1. 5年以上Python开发经验，熟悉Linux python开发、调试、环境部署。 2.扎实的编程基础，精通python数据处理和气象绘图，良好的shell编程能力。 3. 熟练掌握Pandas、Numpy等数据处理工具。 4. 熟练掌握flask、django一种或多种web框架开发，具备独立搭建python后端服务的能力。 5.了解常见气象数据格式，可基于python实现各种气象数据处理和气象数据产品加工等相关工作。 6.有丰富的python气象可视化和绘图经验，如等值线图、色斑图、剖面图、探空图等。 7. 有JAVA等其他后端开发经验者优先。 8. 有团队管理经验，有tob项目管理经验优先。 8. 较强的学习能力，对新技术有强烈的兴趣，优秀的团队协作能力和敬业精神。 工作地点 银川市-金凤区-新昌西路71号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Linux,Pandas,NumPy,Flask,Django,Java",http://www.zhaopin.com/jobdetail/CCL1521769630J40872565509.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
python爬虫工程师,北京碧博格尔科技服务有限公司,1.5-3万,西安·长安·郭杜,广州,硕士,1-3年,7月25日,zhilian_direct,职位描述 数据挖掘 爬虫开发 Python 1、负责辅助决策系统的数据采集全流程工作，包括数据接口开发、数据抓取、数据清洗与整理，确保数据的准确性与完整性。 2、负责28个省份辅助决策系统相关工具的开发与维护，提升数据处理与系统操作的效率。 3、负责系统数据运维工作，排查数据异常问题，优化数据处理流程，保障数据稳定供应。 4、配合研发团队与产品经理，根据业务需求开发数据相关功能，支撑系统迭代优化。 5、参与系统测试与上线工作，确保数据相关功能正常运行。 1、学历要求：硕士及以上学历，计算机、数据科学、统计学、电力系统及其自动化等相关专业优先，了解电力交易业务者加分。 2、经验要求：1-3年及以上Python应用开发经验，有数据采集、数据处理及电力行业相关系统开发经验者优先；熟悉电力交易辅助决策系统、电力市场数据特点，有相关系统Python开发经验者优先。 3、技术要求：精通Python编程语言，具备扎实的Python应用开发功底，能独立完成电力交易辅助决策系统相关的Python程序开发、调试与优化；熟悉requests、scrapy等数据采集工具，熟练操作MySQL、MongoDB等数据库；具备数据清洗、数据可视化、接口开发相关能力，能适配电力交易数据的特殊性（如实时性、准确性要求）；了解电力交易相关业务逻辑，能结合业务需求完成Python开发相关工作者优先。 4、其他要求：具备较强的问题解决能力与学习能力，能快速适应电力交易业务需求变化及系统迭代；工作认真细致，具备良好的团队协作精神；注重代码规范性与可维护性，能配合研发团队完成电力交易辅助决策系统的开发与运维工作；严格遵守电力行业数据安全相关规定，保障系统数据与交易相关信息的安全性、保密性。 工作地点 西安长安区中交科技城-东区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"数据挖掘,爬虫开发,Python",http://www.zhaopin.com/jobdetail/CC849264270J40826789716.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
python爬虫工程师,上海策贸科技有限公司,1.4-1.7万,上海·徐汇·龙华,广州,本科,3-5年,7月25日,zhilian_direct,岗位职责 1. 结合大模型训练需求，设计和优化高效、智能化的爬虫系统，进行多源（文本、语音、视觉）数据采集。 2. 针对大模型数据预处理要求，优化爬虫数据格式和质量，提升爬取数据对训练和推理的适用性。 3. 结合大模型场景，构建半自动/自动化定向抓取能力，推进数据抓取工作平台化建设。 4. 跟进最新的反爬技术与反制策略，持续优化爬虫架构和性能，保障数据采集的稳定性与持续性。 5. 负责数据存储方案设计与基础查询优化，确保大规模数据的高效存取。 二、职位要求 1. 本科及以上学历，计算机科学、人工智能、网络安全等相关专业，具备多年爬虫开发相关工作经验。 2. 精通Python 编程语言，熟练掌握 Scrapy、BeautifulSoup、Selenium、Playwright 等爬虫相关框架与工具。 3. 熟悉并能绕过常见的反爬技术，具备独立解决IP 代理、验证码识别、动态渲染、JS 加密等反爬问题的能力。 4. 熟悉HTTP/HTTPS 协议及常见 Web 前端技术（HTML、CSS、JavaScript），能分析动态网页加载逻辑，对复杂数据进行高效提取和清洗。 5. 熟悉大模型训练和数据处理流程，能够根据模型需求灵活调整数据抓取策略。 6. 熟悉MySQL、MongoDB 等数据库的使用，能完成数据的存储与基本的查询优化。 7. 具备良好的问题排查能力、沟通协作能力和责任心，有较强的学习能力和技术钻研精神。 三、加分项 1. 有大规模数据抓取与处理经验，尤其是针对大模型训练数据的采集和优化。 2. 有大模型或AI 相关领域的爬虫应用经验，能够理解和支持模型数据需求。 3. 熟悉数据加密与解密技术，能够破解复杂的加密算法。 具备AI 或大模型领域的技术背景，对模型训练全流程有深入理解。 工作地点 徐汇区上海库帕思科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Scrapy,BeautifulSoup,SELENIU",http://www.zhaopin.com/jobdetail/CC716548080J41022525504.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
软件工程师c/c++/python/java+双休,外企德科数字技术有限公司,2.2-2.3万·16薪,长沙·岳麓·麓谷,广州,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1、负责云平台Web前端技术框架与核心组件的设计和开发； 2、理解云平台用户体验行为，完成前端用户体验UI的设计和开发 3、通过各种前端技术手段，提升用户体验并满足性能要求； C++/C开发高级工程师 岗位职责： 1、负责云平台框架与核心组件的设计和开发； 任职要求： 1、熟练掌握C++/C语言进行软件开发与优化； 2、熟悉Kubernetes、Docker等容器生态软件技术原理，具有丰富的面向容器的集群资源调度平台使用经验优先。 3、熟悉springboot/nginx/kafka/redis/zookeeper/RabbitMQ等开源中间件技术及源码者优先； 4、具备良好的沟通以及协调能力，能胜任跨团队跨部门协作。 Java/python开发工程师 岗位职责： 1、负责云平台框架与核心组件的设计和开发； 任职要求： 1、熟练掌握Java/python语言进行软件开发与优化； 2、熟悉Kubernetes、Docker等容器生态软件技术原理，具有丰富的面向容器的集群资源调度平台使用经验优先。 3、熟悉springboot/nginx/kafka/redis/zookeeper/RabbitMQ等开源中间件技术及源码者优先； 4、具备良好的沟通以及协调能力，能胜任跨团队跨部门协作。 工作地点 岳麓区华为长沙研究所岳麓大道588号芯城科技园1栋 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"C语言,Java,Python",http://www.zhaopin.com/jobdetail/CCL1480117890J40624474005.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
python爬虫助理工程师,合肥红青职业技术培训学校有限公司,5000-6000元,合肥,广州,大专,经验不限,7月25日,zhilian_direct,职位描述 人工智能 计算机软件 岗位内容: 1. 协助爬虫系统的设计和开发，实现高效稳定的数据采集和分析处理。 2. 参与数据清洗、去重、格式化等操作，确保数据质量满足业务需求。 3. 参与爬虫程序，提高爬取效率和成功率，降低误差率以及被封禁的风险。 4. 承担部分自动化测试脚本开发，保证爬虫系统的稳定性和可靠性。 任职要求: 1. 熟练掌握 Python 语言，了解 HTTP 协议及常见的反爬虫算法。 2. 具备良好的算法和数据结构基础，熟悉多线程、异步编程等技术。 3. 熟悉各类数据库，如 MySQL、Redis、MongoDB 等，并有实际项目应用经验。 4. 具备良好的英文阅读能力，能够阅读英文技术文档和资料。 工作地点 合肥工投创智天地A2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1462723410J40878997503.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
Python 服务端工程师,南昌瞬声建筑有限公司,1.1-1.3万·13薪,南昌·东湖·大院,广州,本科,3-5年,7月25日,zhilian_direct,职位描述 Django Flask MySQL PostgreSQL PYTHON后端开发 建筑工程系统开发 数据采集与分析 Shell JavaScript PHP Scrapy MongoDB 工程施工 云计算 通信/网络设备 工作职责 1. 负责建筑工程管理系统的Python服务端架构设计与核心模块开发，支撑项目进度、成本、质量等业务场景的数字化需求。 2. 对接建筑设计、施工数据接口，实现工程数据的实时采集、清洗与分析，为业务决策提供技术支持。 3. 优化系统性能，解决高并发数据查询、复杂计算场景下的技术瓶颈，保障系统稳定运行。 4. 参与技术方案评审与代码质量管控，推动团队工程化实践与技术栈迭代。 任职要求 1. 本科及以上学历，计算机、软件工程等相关专业，基础扎实。 2. 3年以上Python后端开发经验，精通Django/Flask等主流框架，熟悉RESTful API设计规范。 3. 掌握MySQL/PostgreSQL等关系型数据库，具备数据库优化、索引设计及事务处理能力。 4. 了解建筑行业业务流程（如工程管理、BIM数据处理优先），能快速理解业务需求并转化为技术方案。 5. 具备良好的问题分析能力与团队协作精神，能独立解决复杂技术问题。 工作地点 南昌东湖区武商洲际酒店 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Django,Flask,MySQL,PostgreSQL,PYTHON后端开发,建筑工程系统开发,数据采集与分析,Shell,JavaScript,PHP,Scrapy,MongoDB",http://www.zhaopin.com/jobdetail/CCL1511487790J40957412215.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
java/Python/C/C++/JS/AI算法/软件测试,外企德科数字技术有限公司,2-4万·14薪,苏州·虎丘,广州,本科,经验不限,7月26日,zhilian_direct,职位描述 深度学习 机器学习 图像算法 VGGNet 计算机软件 人工智能 云计算 1、本科及以上学历； 2、熟悉Java，C/C++，Python等任意一种后端开发技术； 3、编写概要设计能力要强； 4、沟通表达能力较好，逻辑思维清晰； 5、资深导师专业带教，六险一金，法定节假日福利，内部知识论坛； 6、薪资架构：薪资薪资+绩效工资+年终奖，周末加班双倍。岗位要求 岗位要求 1、计算机、软件、通信等相关专业，统招本科及以上学历； 2、基础扎实，熟悉掌握但不限于Python/JAVA/C++/C/JS/HTML/GO等任一编程语言，有良好的编程习惯； 3、对数据结构、算法有一定了解； 4、具备解决问题的能力、善于沟通，乐于合作； 5、资深导师专业带教，法定节假日福利，内部知识论坛分享。 工作地点 虎丘区华为苏州研究所华为苏州研究所 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"深度学习,机器学习,图像算法,VGGNet",http://www.zhaopin.com/jobdetail/CCL1480117890J40837669605.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
软件研发工程师（成都：C++、C#、Java、Python、Web前端）(J10355),北京全路通信信号研究设计院集团有限公司,1.2-2万,成都·青羊·文家,广州,硕士,经验不限,7月25日,zhilian_direct,岗位职责: 1.负责高速铁路、普速铁路、重载铁路等列车运行控制系统相关产品设计与研发。 2.负责相关产品前瞻性技术研究及对外科技合作。 3.负责相关产品需求分析工作。 4.负责相关产品前端、后端软件设计研发及维护工作。 5.负责相关技术文档的撰写。 6.负责相关产品数字化、智能化转型工作，推进低代码、人工智能等技术在产品中的应用。 任职要求: 1、计算机科学与技术、软件工程、电子科学与技术、信息与通信系统、控制科学与工程、仪器科学与技术等相关专业。 2、具有较强的科研能力，同时熟练掌握主流编程语言，如C++、C#、Java、Python、Web前端等；学习成绩优异，且具有丰富的项目经验者优先。 3、具备良好的思维能力、学习能力和沟通协调能力，具备团队合作意识、责任心、事业心。 4、具备良好的英文资料阅读、翻译和写作能力，口语表达能力优异者优先。 5、具有高质量学术论文、专利、基金或者大型项目申请经验者优先。 工作地点 成都青羊区中国通号研究设计院 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Java,Python",http://www.zhaopin.com/jobdetail/CC133636200J40998230104.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
Python测试,软通动力信息技术(集团)股份有限公司,8000-13000元,成都·郫都·德源,广州,本科,1-3年,7月25日,zhilian_direct,职位描述 Python 测试开发 存储 计算机软件 周末双休、带薪年假，全额五险一金基数，定期体检等... 1、本科及以上学历，1年以上软件测试工作经验； 2、熟悉Python语言，能编写自动化脚本优先，熟悉linux常用操作； 3、熟悉软件测试相关流程并在实际项目中参与过测试； 多个Python测试岗，有Python自动化测试、web测试、嵌入式测试、可靠性测试、服务器软件测试、存储测试等等，欢迎垂询。 工作地点 成都郫都区万科·菁蓉都会 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,测试开发,存储",http://www.zhaopin.com/jobdetail/CC000544460J40359791416.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
Python自动化开发工程师,吉林省智广恒胜科技有限公司,4000-8000元,长春·南关·鸿城,广州,大专,经验不限,7月25日,zhilian_direct,岗位职责 1、使用Python结合Selenium完成网页自动化操作、业务流程自动执行、模拟人工浏览器操作。 2、编写自动化脚本，实现网页登录、表单填写、页面点击跳转、数据采集、信息录入等工作。 3、定位网页元素，处理普通网页、动态加载页面，解决页面等待、弹窗、iframe等常见问题。 4、维护现有自动化脚本，排查运行报错、页面改版导致的定位失效等问题，持续优化稳定性。 5、完成简单数据清洗、文件读写、采集数据入库等配套工作，可在Windows、Linux环境部署运行脚本。 6、按照业务需求新增自动化任务，做好简单使用说明与运行日志维护。 任职要求 1、熟练使用Python基础语法，能够独立编写完整运行脚本。 2、熟练掌握Selenium工具使用，熟悉元素八大定位方式、浏览器驱动配置、等待策略设置。 3、能够处理弹窗、iframe嵌套、页面异步加载等常见网页自动化场景。 4、了解基础HTML、DOM结构，能看懂页面源码快速定位元素。 5、具备基础MySQL或文件存储能力，可把抓取数据进行保存整理。 6、了解Windows、Linux基础操作，能在对应环境部署运行自动化脚本。 7、工作细心，能够耐心调试脚本，主动排查程序运行异常。 加分项 1、掌握Playwright、PyAutoGUI等其他自动化工具； 2、有简单反爬应对、验证码简单处理经验； 3、具备基础爬虫、RPA流程开发经验； 4、会使用定时任务实现脚本自动运行。 工作地点 长春市公安局交通警察支队南关区大队 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,Python,http://www.zhaopin.com/jobdetail/CCL1283587270J40911234703.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
赴日Python开发工程师（全程日语面试）,株式会社GSD,2-4万,日本,广州,本科,经验不限,7月25日,zhilian_direct,职位描述 Python 软件工程师 岗位内容： 1. 开发Python应用程序、模块和库。 2. 设计并维护高质量的代码库，确保代码易于理解、可维护和可扩展。 3. 开发和维护自动化测试套件，确保代码质量和稳定性。 4. 调查和解决与应用程序、库或基础设施相关的技术问题。 任职要求： 1. 三年及以上Python编程经验。 2. 熟悉常见的Python框架和工具，如Django、Flask、Pyramid、Requests等。 3. 熟悉SQL和NoSQL数据库，并能够设计和优化数据库模式。 4. 熟悉Linux操作系统，并熟练使用命令行工具。 5. 具备良好的团队合作精神和沟通能力。 工作地点 日本东京 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,软件工程师",http://www.zhaopin.com/jobdetail/CC293515380J40374759711.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
Python高级全栈工程师（兼架构）,成都开方数据科技有限公司,2.5-3.5万·13薪,成都·成华·龙潭,广州,本科,5-10年,7月25日,zhilian_direct,岗位职责】 1.主导公司核心业务系统的整体架构设计，制定分层架构、模块边界与技术路线；结合业务发展与 AI 系统特性，设计高可用、高扩展的技术架构 2.参与并主导核心模块的编码实现，负责关键接口设计与复杂业务逻辑实现； 3.提供软件开发全流程技术指导、专项培训与经验分享，赋能团队成员，提升整体研发能力与技术沉淀； 4.协同测试工程师制定关键模块测试计划，参与线上 / 测试环境问题定位与根因分析，保障产品质量； 5.主导技术疑难问题攻关，开展新技术调研与可行性评估，推动技术架构迭代优化与技术债务清理； 6.调研新技术（微服务、异步架构、任务调度框架等）并评估可行性，支持 AI 算法系统的工程落地与规模化部署。 7.完成上级领导交办的其他技术相关工作任务。 【任职要求】 （一）基础条件 1.本科及以上学历，计算机科学与技术、软件工程等相关专业优先； 2.5-8 年 后端开发经验，具备2年以上架构设计经验，有主导中大型系统架构设计或核心模块开发经验者优先。 （二）技术硬技能 1.精通 Python（FastAPI / Django / 异步编程 / 多进程并发），熟悉 RESTful API 设计与接口规范制定； 2.掌握 Spring、SpringBoot、SpringCloud、MyBatis 等主流开发框架，能灵活应对复杂业务场景的技术选型； 3.熟练操作 Oracle、MySQL、MSSQL 等数据库，具备数据库表设计、SQL 优化、索引调优能力； 4.熟练使用 SVN、Git 等版本管理工具，具备规范的代码分支管理与提交习惯； 5.熟悉 IBM MQ 等消息中间件的应用场景、配置部署与问题排查； 6.掌握 Redis、Memcached 等缓存服务的原理与实践，能结合业务场景设计缓存策略并解决缓存常见问题。 7.熟悉分层架构设计、模块解耦、微服务或模块化设计思想； （三）软素质要求 1.具备良好的跨部门沟通协调能力、团队协作意识，责任心强，乐于技术分享，能承受合理工作压力。 【薪资福利】 调薪机会，薪资与能力、贡献直接挂钩，不设上限；多劳多得，激励价值创造； 【职位亮点】 扁平化管理，凭实力快速进阶，团队无内耗，专注技术与成长，接触核心业务与前沿技术，技术交流频繁，团队成长氛围浓厚。 工作地点 成华区成都开方数据科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"前端开发,后端开发,架构开发,Python,MySQL,Oracle,Java",http://www.zhaopin.com/jobdetail/CC430413510J40862825113.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
Python后端开发-工业AI方向-全额五险一金,软通动力信息技术(集团)股份有限公司,1-1.1万,广州·海珠·官洲,广州,本科,3-5年,7月25日,zhilian_direct,职位描述 Python MySQL Oracle AI 工业 人工智能 通信/网络设备 云计算 职位信息： 1.负责工业领域 AI 相关系统的架构设计与开发，深度融合工业场景需求与 AI 技术，构建高可用、高性能的解决方案。 2.运用 Python 编写核心代码实现工业 AI 产品功能，完成项目全流程开发，撰写详尽的技术文档，深度参与工业 AI 需求分析，提炼业务逻辑。 3.主导解决工业 AI 项目开发过程中复杂技术难题，如工业数据处理、AI 模型部署优化等。 4.独立完成单元、功能测试，针对工业 AI 应用特性进行专项测试，严格把控软件质量，确保产品稳定性。 5.协助完成工业 AI 项目的全流程测试工作，为项目上线和工业现场实施提供专业技术支持，保障系统平稳运行。 岗位要求： 1.本科及以上学历，计算机软件、自动化、工业工程及相关专业，具备扎实的 Python 基础，熟练掌握常用设计模式与架构模式。 2.3年以上服务器端开发经验，拥有工业软件或工业互联网平台开发经验，熟悉工业数据采集、处理流程；具备 AI 项目开发经验，掌握机器学习、深度学习算法及模型开发与部署。 3.熟悉常用中间件，数据库，redis等，能够在工业场景下进行数据存储与交互优化。 4.精通 docker 服务部署与容器化技术，可实现工业 AI 应用的高效部署与管理。 5.精通 Linux 系统下的工业 AI 应用环境部署及性能优化，保障系统在工业复杂环境中的稳定运行。 6.精通 Python 编程，能够熟练运用 Python 进行工业数据处理、算法开发及系统集成。 7.具备良好的沟通能力、协调能力和问题解决能力，能够与工业领域专家、AI 团队高效协作。 8.具备较强的需求分析和系统设计能力，拥有优秀的文档编写能力，可撰写高质量工业 AI 技术文档。 9.有工业视觉质检（如缺陷检测、目标识别、图像分割等）相关项目经验者优先 工作地点 广州海珠区合景科盛广场 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,MySQL,Oracle,AI,工业",http://www.zhaopin.com/jobdetail/CC000544460J40827760916.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
资深全栈开发工程师（Python/Vue）,大连弗斯特高新人才发展管理有限公司,2-2.5万·13薪,上海·静安·石门二路,广州,大专,5-10年,7月25日,zhilian_direct,职位描述 前端开发 后端开发 Vue Python 职位概述 负责 RDCDP 平台端到端产品功能开发，覆盖前端应用与后端服务。设计并实现 RESTful API 及前端交互层，保障系统的可靠性、安全性、可测试性与性能。 主要职责 前端架构与实现 负责 Web 前端架构与组件设计；实现高质量页面及交互逻辑，确保代码可维护性与可扩展性。 设计体系与用户体验 与产品 / 设计团队协作，优化信息架构、交互流程与易用性；推广并落地组件化设计体系及统一视觉规范。 后端开发 设计服务接口，实现后端 API；保障系统的可观测性、可扩展性与高可用性。 测试与质量保障 编写单元测试（UT）/ 系统集成测试（SIT）用例并执行测试，维护需求到测试结果的可追溯性；参与性能与安全测试。 云原生交付 在云平台上完成服务的构建与部署。 安全与合规 实现身份认证与权限控制、输入校验、日志记录与审计；支持隐私设计合规及合规证明材料输出。 协作沟通 与产品、QA、SRE 团队共同定义需求、服务等级协议（SLA）及质量门禁；参与代码评审，并指导团队同事。 任职要求 5 年以上软件开发经验，具备从需求到上线的端到端交付主导能力。 后端：熟练掌握至少一种后端语言（优先 Python），熟悉主流框架（如 FastAPI/Flask/Spring Boot）；具备微服务架构、RESTful API 设计经验。 前端：精通现代前端技术栈（TypeScript、JavaScript、HTML5、CSS3）；熟练使用至少一种主流框架（优先 Vue，或 React/Angular）及状态管理、路由、表单相关方案。 UI/UX 实践：具备交互设计与易用性优化经验，能够将设计稿高质量转化为前端实现。 掌握算法与数据结构知识。 具备至少一种公有云使用经验及云原生实践经验（容器、Kubernetes、Serverless）。 熟悉 CI/CD 流程与缺陷管理工具。 工作地点 上海嘉禾中心静安区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"前端开发,后端开发,Vue,Python",http://www.zhaopin.com/jobdetail/CC135794170J40952506502.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
C/C++/Java/Python/JS软件开发/算法/数据,外企德科数字技术有限公司,1.7-3万·15薪,广州·白云·松洲,广州,本科,经验不限,7月25日,zhilian_direct,职位描述 Java Python C语言 计算机软件 岗位选择： 软件开发、软件测试、嵌入式开发、算法、运维、数据分析等（工作地点可选北京、上海、深圳、东莞、杭州、南京、武汉、成都、西安、长沙、苏州、济南、广州等） 岗位要求： 1、统招本科及以上学历（学信网可查），985/211/双一流大学优先；计算机、通信相关专业优先，非相关专业有相关工作经验也可以。 2、热爱编程，基础扎实，熟悉JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或多种，有良好的编程习惯。 3、对数据结构、算法有一定了解，熟悉TCP/IP协议及互联网常见应用和协议的原理。 4、有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，熟悉网络安全、信息安全等相关领域。 5、熟悉软件开发过程，熟练运用软件开发工具，具备良好的软件工程能力。 6、具备独立工作能力和解决问题的能力，善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践。 7、有强烈的团队合作精神，有良好的英语读写能力，有大型通信设备开发经验者优先。 岗位福利： 1、薪资结构：底薪+绩效+年终奖，入职即缴纳五险一金，额外补充商业险，每年一次调薪调职机会。 2、团建+内购会+班车+免费夜宵+节日福利+生日会+年度免费体检+公司内部健康驿站+带薪年假+半年导师一对一带教。 3、5天8小时，弹性打卡，双休，月末最后一个周六加班，双倍工资。 4、大厂待遇，合同签约4年，项目稳定，个人瓶颈期可申请挑战新项目，晋升空间广，办公环境高大上。 工作地点 白云区华为广州研发中心(建设中)C座 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Java,Python,C语言",http://www.zhaopin.com/jobdetail/CCL1480117890J40616278405.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
C# python 上位机工程师,合肥云捷智能科技有限公司,8000-16000元·14薪,合肥·包河·烟墩,广州,本科,3-5年,7月25日,zhilian_direct,职位描述 C++ C 工业自动化/机器人 【工作内容】 - 负责工业自动化系统中上位机软件的开发与维护，使用C#进行界面设计与功能实现； - 参与系统需求分析，根据项目要求完成模块设计与代码编写； - 与硬件团队协作，实现软件与设备的通信与数据交互； - 编写技术文档，确保开发过程可追溯、可维护。 【任职要求】 - 计算机相关专业本科及以上学历，5年以上C#开发经验； - 熟悉Windows Forms或WPF开发框架，具备良好的面向对象编程能力； - 熟悉串口通信、modbusTCP等常见通信协议，有工业自动化项目经验者优先； -有固高、雷赛、正运动、运动控制器开发经验优先 -根据设备需求可独立完开发上位机软件 - 具备较强的学习能力和团队协作精神，能适应项目压力。 奖金绩效 五险一金 专业培训 出国机会 绩效奖金 年终奖金 员工旅游 工作地点 包河区合肥云捷智能科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,C",http://www.zhaopin.com/jobdetail/CCL1500792680J40919341508.htm?refcode=4019&srccode=401903&preactionid=69178ccb-5634-4fe6-b7c4-766cae56fcf0
