job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
自动驾驶系统工程师,山东星科智能科技股份有限公司,6000-10000元,济南·历下·智远,济南,本科,经验不限,7月26日,zhilian_direct,岗位职责： 1. 负责自动驾驶相关实验设备与系统的研发与实现，包括视觉感知、传感器融合及控制系统 2. 负责基于 ROS / Jetson / Ubuntu 的系统搭建、功能开发与调试 3. 负责计算机视觉算法（YOLO、姿态识别、人脸识别等）的工程化落地 4. 参与硬件选型、结构设计（SolidWorks建模）及整机集成调试 5. 负责仿真系统（Gazebo）与实物系统的联调，实现“仿真-实物”闭环验证 6. 支撑公司教学类产品（实验箱/实训平台）的技术实现与功能完善 任职要求： 1.车辆工程、机器人工程、计算机、电子信息等相关专业本科及以上学历 2.熟悉掌握自动驾驶、机器人基础理论，熟悉感知、融合、运动控制完整技术链路 3.熟悉C++/Python 编程语言，熟悉数据结构、多线程、内存优化、代码工程化规范 4.熟悉运动控制、路径规划、PID/MPC 控制算法、 Qt/UI 界面开发经验者优先 5.有教学设备、高校实训项目交付经验者优先 工作地点 济南历下区山东星科智能科技股份有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,Java,C++,视觉图像算法,PyTorch,Carsim,数据库开发,数据分析",http://www.zhaopin.com/jobdetail/CC120759150J40859236707.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶系统工程师,经纬恒润,1.2-2万·16薪,天津·西青·张家窝,天津,硕士,1-3年,7月26日,zhilian_direct,职位描述 新能源汽车 新能源/燃油整车研发制造 工作职责 1. 负责ADAS产品专业技术调研，开发产品方案； 2. 作为接口人，负责与公司内部对应的子系统工程师沟通，下发设计需求，指导设计，跟踪设计过程，审核设计成果； 3. 作为接口人，负责对接外部供应商，负责技术需求释放、技术方案评审、开发过程追踪和技术管理等工作； 4. 负责ADAS产品专业技术问题的处理工作，为方案提供专业技术意见，对技术问题提供解决思路和方法，主导设计和验证等工作； 5. 支持ADAS量产开发项目和其他专业的工作。 任职要求 1. 硕士及以上学历； 2. 至少在以下一个汽车电子技术领域有丰富的专业开发经历：ADAS和自动驾驶功能、雷达或光学等传感器、硬件、结构、软件、工艺和生产、ECU认可和试验、电磁兼容EMC、功能安全、信息安全、EE架构和通信技术、ASPICE等管理过程、质量管理等； 3、具有严谨的工作作风和质量意识； 4. 具备优秀的沟通、协调、管理和组织能力； 5. 熟练使用商务英语； 6. 掌握需求开发、需求管理、FMEA、DFM等工具者优先； 7. 具有汽车ECU或电子产品开发经验者优先； 8. 会驾驶汽车，有C以上级别驾驶证优先。 工作地点 西青区经纬恒润(天津)研究开发有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"新能源汽车,新能源/燃油整车研发制造",http://www.zhaopin.com/jobdetail/CC000571490J40841642011.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
eVTOL 自动驾驶系统工程师（感知与规划方向）(A138351),浙江追梦空天科技有限公司,2.1-3.5万·14薪,西安·雁塔·丈八沟,西安,硕士,5-10年,7月26日,zhilian_direct,职位描述 运动控制算法 职位描述： 1. 自主飞行系统架构设计 • 负责 eVTOL 飞行器自主飞行系统的整体架构设计，覆盖 感知 — 定位 — 规划 — 决策 — 控制 全栈链路 • 制定软件架构分层与模块间接口规范，确保系统满足适航认证（DO-178C）可追溯性要求 • 评估并选型核心算法框架与中间件（ROS2 / CyberRT / 自研），平衡实时性、确定性与可维护性 2. 多传感器融合感知 • 负责 eVTOL 机载多传感器融合感知系统开发，包括： ◦ 视觉感知：目标检测、语义分割、光流估计、深度估计 ◦ LiDAR 感知：3D 障碍物检测、点云分割、地形分析 ◦ 毫米波雷达：远距离目标检测与跟踪 ◦ 多模态融合：Camera-LiDAR-Radar 后融合 / 特征级融合 • 针对低空飞行场景特有挑战进行算法优化： ◦ 复杂气象条件（雨雾、逆光、低照度）下的感知鲁棒性 ◦ 三维空间障碍物检测（电线、楼宇、鸟类、其他飞行器） ◦ 起降区域识别与可降落区域评估 ◦ GPS 信号受限场景下的视觉惯导定位（VIO / VSLAM） 3. NVIDIA Jetson Orin 平台部署与优化 • 负责自动驾驶算法在 NVIDIA Jetson Orin（AGX Orin / Orin NX / Orin Nano） 平台上的工程化部署 • 使用 TensorRT 进行推理引擎优化，包括： ◦ INT8 / FP8 / FP16 量化，精度-性能 trade-off 调优 ◦ 2:4 结构化稀疏（Structured Sparsity）加速，模型剪枝与重训练 ◦ 算子融合（Operator Fusion）、Kernel Auto-Tuning ◦ Dynamic Shape / Plugin 开发 • 基于 CUDA / DeepStream 进行视频流前处理与后处理管线开发 • 满足机载实时性约束：端到端感知延迟 < 30ms，控制回路 100Hz • 进行功耗-性能联合调优（DLA + GPU 协同调度），适配 eVTOL 整机功耗预算 4. 规划与决策 • 负责自主飞行轨迹规划算法开发： ◦ 全局路径规划（A* / RRT* / 强化学习） ◦ 局部轨迹优化（MPC / 优化型轨迹生成） ◦ 实时避障与冲突消解 • 设计飞行决策逻辑状态机，覆盖以下场景： ◦ 正常巡航 / 起飞 / 降落 ◦ 应急场景：发动机失效、感知降级、链路中断、迫降 ◦ 间断接管：人机协同决策权限切换 • 开发飞行包线保护逻辑，确保自主飞行不超出安全飞行包络 5. 仿真与测试验证 • 搭建 eVTOL 自主飞行仿真测试平台： ◦ 场景仿真：基于 AirSim / Gazebo / Isaac Sim 构建城市低空飞行场景库 ◦ 传感器仿真：相机 / LiDAR / Radar 仿真模型与注入 ◦ 异常注入：传感器故障、通信中断、恶劣天气仿真 • 完成软件在环（SIL）与硬件在环（HIL）测试闭环 • 设计感知算法评测体系，覆盖功能、性能、鲁棒性三个维度 • 参与飞行试验，负责感知系统外场标定、数据采集与问题闭环 6. 适航与安全工程 • 参与自主飞行系统的适航认证工作： ◦ 按 DO-178C（机载软件）要求建立软件生命周期数据 ◦ 软件需求-设计-代码-测试的可追溯性管理 ◦ 模型覆盖分析（MC/DC）与目标码验证 • 引入汽车行业 ISO 26262 功能安全方法论，建立 AI 模型的安全论证思路 • 参与系统 FMEA / FTA 分析，识别感知失效模式与安全机制 职位要求： 1、学历与专业 • 硕士及以上学历，计算机科学 / 电子工程 / 自动化 / 航空航天 / 机器人 / 通信相关专业 • 博士优先，方向为计算机视觉、自动驾驶、机器人感知、SLAM 者优先 2、行业经验 • 5 年以上自动驾驶或机器人感知系统研发经验 • 具备以下任一背景者优先： ◦ 主机厂（OEM）自动驾驶研发部门：蔚小理、华为车 BU、比亚迪、吉利等 ◦ Tier1 自动驾驶团队：博世、大陆、采埃孚等 ◦ 头部自动驾驶公司：Momenta、小马智行、文远知行、毫末智行、轻舟智航等 ◦ 无人机 / eVTOL 公司：大疆、亿航、峰飞、沃飞长空、时的科技等 • 有量产项目落地经验者优先（L2+ / L3 / L4 均可） 3、核心技术能力 编程与工程 • 精通 C++（C++14/17） 与 Python，具备扎实的数据结构与算法基础 • 熟悉 Linux 开发环境，熟练使用 CMake / Bazel / Git 等工程工具链 • 具备良好的软件工程规范意识：代码评审、单元测试、CI/CD、文档习惯 • 有量产级软件架构设计经验，理解实时系统、多线程、内存管理 NVI,运动控制算法,http://www.zhaopin.com/jobdetail/CCL1398597600J40881521905.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
ADAS系统开发工程师（自动驾驶系统工程师）,广州市凯泽利科技有限公司,1.3-2万,广州·花都·秀全,广州,本科,1-3年,7月26日,zhilian_direct,职位描述 新能源/燃油整车研发制造 1、负责智驾系统方案、系统架构设计，负责传感器、执行器、对手件的需求规范和验收规范制定； 2、负责智驾系统的系统交互规范设计，负责CAN通信、以太网通信的设计，制定对手件的交互规范； 3、负责行车、泊车、记忆泊车等功能的故障降级、功能安全、数据上云式样等其中任意一项的设计 任职要求： 1、本科及以上学历，车辆工程、电气工程、计算机技术、自动化相关专业； 2、熟悉LCC+，H-NOA，C-NOA，记忆泊车，记忆行车等高阶智驾功能的功能场景； 3、熟悉智驾域控，对智驾算法有一定了解 4、熟悉整车诊断、数据上云等规范 5、熟悉CAN总线协议和以太网协议，熟练使用Canoe、USBCAN等。 工作地点 广州花都区鼎盛智谷01 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,新能源/燃油整车研发制造,http://www.zhaopin.com/jobdetail/CC823999070J40951579315.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶系统工程师,经纬恒润,1.5-2万,天津·西青·张家窝,天津,硕士,经验不限,7月26日,zhilian_direct,职位描述 新能源汽车 新能源/燃油整车研发制造 工作职责 1. 负责ADAS产品专业技术调研，开发产品方案； 2. 作为接口人，负责与公司内部对应的子系统工程师沟通，下发设计需求，指导设计，跟踪设计过程，审核设计成果； 3. 作为接口人，负责对接外部供应商，负责技术需求释放、技术方案评审、开发过程追踪和技术管理等工作； 4. 负责ADAS产品专业技术问题的处理工作，为方案提供专业技术意见，对技术问题提供解决思路和方法，主导设计和验证等工作； 5. 支持ADAS量产开发项目和其他专业的工作。 任职要求 1. 硕士及以上学历； 2. 至少在以下一个汽车电子技术领域有丰富的专业开发经历：ADAS和自动驾驶功能、雷达或光学等传感器、硬件、结构、软件、工艺和生产、ECU认可和试验、电磁兼容EMC、功能安全、信息安全、EE架构和通信技术、ASPICE等管理过程、质量管理等； 3、具有严谨的工作作风和质量意识； 4. 具备优秀的沟通、协调、管理和组织能力； 5. 熟练使用商务英语； 6. 掌握需求开发、需求管理、FMEA、DFM等工具者优先； 7. 具有汽车ECU或电子产品开发经验者优先； 8. 会驾驶汽车，有C以上级别驾驶证优先。 工作地点 西青区经纬恒润(天津)研究开发有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"新能源汽车,新能源/燃油整车研发制造",http://www.zhaopin.com/jobdetail/CC000571490J40841237011.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶车辆端软件系统工程师 / 车载基础软件工程师,北控城市环境服务集团有限公司,1.5-3万,深圳·坪山·龙田,深圳,本科,1-3年,7月26日,zhilian_direct,"岗位职责： 1. 车云通信架构设计与开发 - 负责自动驾驶车辆与云端监控平台的高性能通信协议的开发与维护（如MQTT, SOME/IP, DDS或自定义TCP/UDP协议）。 - 负责车辆实时状态数据（如位置、姿态、故障码）的上报，以及云端调度指令（如OTA升级、远程接管、路径规划下发）的可靠接收与解析。 - 优化通信链路，处理弱网、断网等极端情况下的数据缓存与重传机制，保证数据零丢失。 2. 车辆健康管理与故障诊断 - 负责车载自动驾驶系统的故障库搭建与维护，定义故障等级（如警告、限制性能、立即停车）。 - 开发车辆自检程序，实时监控各传感器（激光雷达、摄像头、IMU等）、计算单元和执行器（线控底盘）的健康状态。 - 设计故障诊断与隔离机制，快速定位软硬件故障源。 3. 功能安全与应急处理策略实现 - 负责故障应急处理模块的开发，根据故障等级触发相应的最小风险策略。 - 实现降级处理逻辑（例如：主传感器失效，自动切换备选方案）。 - 开发安全监控看门狗程序，确保主进程崩溃时能自动恢复或执行安全停车（即进程监管）。 4. 人机交互（HMI）后端与语音播报集成 - 负责车辆端语音播报逻辑的触发与实现，将系统状态、故障提示、导航信息转化为语音指令输出。 - 与HMI前端团队协作，定义车辆状态显示接口，确保驾驶员能及时获取自动驾驶系统状态。 5. 系统集成与性能优化 - 负责系统软件在不同硬件平台（工控机、Orin、地瓜等）上的移植与适配。 - 分析系统资源占用（CPU、内存、网络），优化软件性能，确保实时性。 任职要求： 1. 基础技能 - 本科及以上学历，计算机科学、自动化、车辆工程或相关专业。 - 精通C/C++编程，具备良好的编码习惯，熟悉Linux或QNX环境下的开发和调试。 - 熟悉多线程、多进程编程，深刻理解进程间通信机制（共享内存、DDS、Socket等）。 2. 协议与中间件 - 熟悉常用的车云通信协议（MQTT, HTTP/2, gRPC）以及车载通信协议（SOME/IP, DDS, CAN）。 - 有ROS/ROS2或CyberRT实际开发经验者优先。 3. 系统理解 - 熟悉Linux系统原理，具备系统级调试能力。 - 理解功能安全基本概念，有故障诊断、健康管理软件开发经验者优先。 4. 业务逻辑 - 对自动驾驶系统架构有整体认知，理解传感器、感知、定位、规划、控制各模块的基本数据流。 - 具备语音合成（TTS）或车载HMI相关开发经验者优先。 5. 综合素质 - 具备强烈的责任感，对自动驾驶的安全性有敬畏之心。 - 具备良好的故障排查逻辑思维能力，能快速定位“到底是车坏了、网络断了、还是软件bug了”。 加分项： - 有实际的车规级项目落地经验。 - 熟悉Docker容器化技术在车端的应用。 - 有实际车辆路测跟车调试经验。 工作地点 坪山区坪山城投智园A栋深圳坪山城投智园A栋12楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报",工业自动化/机器人,http://www.zhaopin.com/jobdetail/CC302209580J40862397901.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶平台与系统集成工程师,浙江舜泰汽车有限公司,1.2-1.6万,湖州·德清县·洛舍镇,湖州,本科,经验不限,7月26日,zhilian_direct,岗位职责 1.负责无人叉车软件平台及公共基础组件研发，为定位、感知、规控等模块提供统一的平台能力支撑。 2.负责基础软件平台开发，包括 ROS/ROS2、中间件、通信框架、配置管理、参数管理、生命周期管理等公共能力建设。 3.负责研发工程化体系建设，包括软件集成、自动构建、CI/CD、自动化测试、软件包管理、版本发布及数据采集/回放工具链开发，提升研发效率和软件质量。 4.负责日志管理、数据采集、运行状态监测、故障诊断及异常恢复等平台能力建设，提高系统稳定性及问题定位效率。 5.负责软件部署、升级及维护工具开发，支持研发测试、项目交付及现场问题分析。 6.推动软件开发规范、代码规范及研发工具链建设，持续完善平台能力。 任职要求 1.本科及以上学历，计算机、软件工程、自动化、机器人等相关专业。 2.熟悉 C++17（或以上）及 Linux 开发，具备良好的编码规范和软件设计能力。 3.熟悉 Git、CMake，熟悉 ROS/ROS2，理解 Topic、TF、Launch、参数系统等基础机制。 4.熟悉面向对象设计思想，具备公共组件或平台框架开发经验。 优先条件 1.有 AGV、AMR、无人叉车、移动机器人等产品研发经验。 2.熟悉 Docker、GitLab CI 等研发工具，具有软件集成、CI/CD、自动化部署等工程化实践经验。 3.有日志系统、数据采集工具、故障诊断、性能分析或系统监控相关开发经验。 4.有机器人现场调试、系统集成或项目交付经验。 工作地点 车联网商业中心湖州市-德清县-发展大道265号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Python,机器学习算法,视觉图像算法,运动控制算法,ROS,无人叉车,自动驾驶",http://www.zhaopin.com/jobdetail/CCL1492082010J40989262602.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶仿真系统工程师,北京中汽恒泰教育科技有限公司,220-280元/天,北京·昌平·龙泽园,北京,硕士,经验不限,7月26日,zhilian_direct,职位描述 实习证明 Python C++ ROS CARLA 无人驾驶 职位描述 1、自动驾驶仿真系统框架搭建 2、各子系统模块的接口设计 3、子系统功能的编程实现 职位要求： 1、熟悉Python开发，编程中用过多线程技术 2、熟悉carla、ROS2和autoware优先。 3、可以离校实习，实习时间至少6个月。 4、实习薪资200+元/日 工作地点 北京昌平区果栋LOFT 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Python,C++,ROS,CARLA",http://www.zhaopin.com/jobdetail/CC664240020J40651645516.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶-系统运维工程师,智能车联,9000-12000元,北京·大兴,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1. 自动驾驶网络安全测试：负责自动驾驶车辆、车联网相关安全测试工作，梳理测试需求，按照测试标准，执行测试内容，输出完整测试报告。 2. 系统环境搭建与部署运维：负责公司相关系统、平台、车载系统软硬件环境的搭建、调试、部署、维护，保障测试环境稳定可用，解决环境部署、运行过程中的各类故障，支撑日常测试、研发调试工作高效开展。 3. 软件平台功能测试：负责自动驾驶核心软件平台、配套工具链的功能测试、回归测试、兼容性测试，精准定位软件BUG，整理测试数据，沉淀测试经验，优化测试流程。 4. 测试流程落地与优化：配合研发团队完成版本迭代测试、编写测试方案、测试用力等，跟进版本全生命周期管理工作。 5. 公司公共ICT管理：负责公司IDC设备、设施管理、公共IT设备管理与运维。 6. 定向成长培养：公司提供专属培养体系，前期夯实测试运维、安全测试基础能力，后期重点培养自动驾驶数据应用和智慧交通领域系统的开发能力，逐步参与项目开发工作，完成从系统运维与测试服务向软件开发的转型。 任职要求： 1. 本科及以上学历，计算机、软件工程、网络工程、电子信息、自动化、车辆工程等相关专业，3年以上相关经工作验，有一定开发能力者优先。 2. 具备基础的计算机网络知识、Linux系统操作能力，熟悉常用环境部署、命令运维基础，了解软件测试基本流程、用例设计方法。 3. 了解自动驾驶基础架构、车载网络（CAN/LIN/以太网）、车载软件体系者优先，有车载/车联网/网络安全测试、系统运维部署经验者加分。 4. 具备基础代码认知能力（Python/Shell等），愿意学习自动化测试、测试工具开发、框架二次开发相关技术，有长期深耕自动驾驶测试领域的意愿。 5. 具备良好的问题排查能力、逻辑思维能力，工作细致严谨，责任心强，善于沟通协作，能够快速适配项目迭代节奏。 6.自学能力强，善于借助和协调资源完成本工作任务。 7.薪资范围：9-1.2万/月 六险一金 节日福利 定期体检 餐补 交通部 通讯补 工作地点 北京大兴区国家智能汽车与智慧交通(京冀示范区亦庄基地) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"自动驾驶系统工程师,系统开发",http://www.zhaopin.com/jobdetail/CC449715630J40910042203.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶平台与系统集成工程师,浙江舜泰汽车有限公司,1.5-2.3万,湖州·德清县·洛舍镇,湖州,大专,1-3年,7月26日,zhilian_direct,岗位职责 1. 负责自动驾驶系统软件集成与版本交付，统筹各功能模块的软件集成、联调验证、版本管理、发布打包及交付物输出。 2. 负责车载底层软件与平台基础设施建设，包括运行环境、中间件、通信框架、资源管理及系统稳定性优化。 3. 负责研发效能与 DevOps 体系建设，完善代码管理、自动构建、持续集成、自动测试、制品管理及持续发布流程。 4. 负责推动需求管理、配置管理、变更管理、可追溯性管理及质量管控流程执行落地。 5. 负责系统监管与运行保障模块开发维护，包括健康监测、故障诊断、异常恢复、降级策略及进程守护。 6. 负责数据与可观测性体系建设，包括日志收集、运行指标监控、告警机制、数据采集、持久化及问题分析闭环。 7. 向部署实施、测试验证及项目交付团队提供软件包、发布说明、部署指引及技术支持，协助现场问题定位与版本闭环。 岗位要求 1. 本科及以上学历，计算机、软件工程、自动化、车辆工程等相关专业。 2. 熟悉车载软件开发流程，理解需求、设计、开发、集成、测试、发布的完整生命周期。 3. 熟悉 Linux 平台开发，具备扎实的 C++ / Python / Shell 工程能力。 4. 熟悉自动驾驶常见通信架构及中间件，如 ROS / ROS 2、DDS、CAN、Ethernet 等。 5. 熟悉 gitlab CI/CD、自动化测试、版本发布及研发流程。 6. 熟悉日志、监控、诊断及复杂问题定位方法。 7. 有量产自动驾驶、域控制器或机器人平台经验者优先。 工作地点 湖州市-德清县-创业大道浙江省湖州市德清县洛舍镇创业大道398号A座3楼04室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,人工智能,http://www.zhaopin.com/jobdetail/CCL1492082010J40988592102.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶行车系统工程师,上海华驿汽车技术有限公司,1.6-1.7万,上海·嘉定·安亭,上海,本科,3-5年,7月26日,zhilian_direct,"岗位职责： 1. 负责智能驾驶L2+行车类功能的功能规范定义，KPI定义，需求拆解，系统方案设计及联调，包含ACC/LCC/DLC/NOA/Urban NOA/MRM等功能； 2. 负责制定上述功能的开发计划，验证计划，管控开发进度，定期汇报状态，及时上报风险； 3. 负责分析实车测试问题、售后问题及专项问题，定位问题软件模块，根本原因，制定解决方案，推动问题闭环及汇报； 4. 负责整车相关变更或系统方案变更的影响评估，制定解决方案； 5. 负责功能相关的法规标准符合性评估，制定解决方案，如CICAP, IVISTA,R79等； 6. 负责各车型基线软件的功能迭代计划，变更管理，功能逻辑测试及准出评审； 任职要求： 1. 本科或硕士以上学历，计算机、车辆工程、自动化等专业； 具备至少5年以上同岗位经验 2. 具有上述功能开发经验和系统设计经验； 3. 熟悉智能驾驶域控制器软硬件架构设计和功能需求； 4. 熟悉智能驾驶各种常用感知传感器、定位设备等基本原理和优劣势； 5. 熟悉各种常用感知、规划控制算法的基本原理及优劣势； 6. 熟悉行业相关法律、法规，测试标准等。 工作地点 上海嘉定区汽车·创新港 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","C++,Python,ADAS开发",http://www.zhaopin.com/jobdetail/CC273877480J40873302405.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶系统算法工程师,上海儒一信息科技有限公司,3-6万·14薪,上海·嘉定·江桥,上海,本科,3-5年,7月26日,zhilian_direct,岗位职责】 1、负责自动驾驶系统中算法的设计、研发与优化。 2、与感知、规划、融合、定位团队协作，支撑自动驾驶系统的稳定运行。 3、将视觉感知、自然语言指令与驾驶动作对齐，解决自动驾驶在复杂交互场景下的“理解力”瓶颈。 4、设计从原始传感器输入到路径规划/控制输出的端到端神经网络，优化感知、决策与控制的闭环性能。 5、满足上述任一要求即可。 【任职要求】 1. 计算机、 自动化、机器人、车辆工程、人工智能等相关专业本科及以上学历。 2. 有激光 SLAM、点云、目标检测/分割、大模型、深度学习等自驾项目经验。 3. 有自动驾驶算法包括感知模型等项目经验，有端到端项目经验。 4. 熟练使用 Python / C++ ，具备良好的算法实现与工程能力。 5、满足上述任一要求即可。 奖金绩效 年底双薪，期权激励 工作地点 上海嘉定区北虹桥松日中心 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"C++,Python,深度学习算法,机器学习算法,视觉图像算法,SLAM,PyTorch,TensorFlow",http://www.zhaopin.com/jobdetail/CC384996630J41001222204.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
自动驾驶开发系统架构设计工程师(169985),上海艾杰飞人才管理咨询有限公司,3.5-4.5万,广州·增城·永宁,广州,本科,5-10年,7月26日,zhilian_direct,职位描述 新能源汽车 新能源/燃油整车研发制造 新能源/燃油车零部件 ■基本信息■ 工作地点：广州市黄埔区 工作时间：08:30 - 17:15 工资范围：35000 - 45000 语言要求：日语不问 英语不问 ■职能描述■ ■ 具备自动驾驶L3、L4级系统设计、法规及认证管理领导能力的经理 ■ 推动自动驾驶L3级在广州市的实证项目认证获取，并推进一辆验证车的开发 ■ 在自动驾驶L3、L4级开发过程中，负责梳理必要的开发项目、细化实际业务内容、分配成员任务并管理进度 ■ 基于技术经验，研判技术趋势及市场前景，提出系统方案 等 【关键词】日企招聘 猎头 求职 日语人才网 招聘找工作 求职平台 招聘信息 应届生求职 应届生招聘 汽车工程 ■职位要求■ ■ 具备汽车行业（含供应商）经验 ■ L3、L4级自动驾驶开发经验；大型系统设计经验 ■福利休假■ 五险一金 + 补充公积金 + 商业医疗保险 + 餐费补贴 + 交通补贴 国家法定休假 ■企业信息■ 某日系技术研发公司 工作地点 广州增城区摇田河大街153号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"新能源汽车,新能源/燃油整车研发制造,新能源/燃油车零部件",http://www.zhaopin.com/jobdetail/CC334040110J40928683208.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
高薪诚聘 家装给排水深化设计师 / 水系统规划工程师,郴州星科水电系统科技有限公司,6000-10000元,郴州·北湖区·郴江街道,郴州,大专,1-3年,7月26日,zhilian_direct,岗位职责： 全案水系统设计： 负责对接家装客户，根据户型结构及业主需求，独立完成全屋给排水（上水、下水、热水回水）的管道走向规划与系统图绘制。 终端洁具定位： 精确规划马桶、暗装花洒、墙出水龙头、浴缸等预埋件的墙体定位与安装高度，确保与最终装修效果完美契合。 设备选型配合： 配合销售，完成循环水泵、软水机、净水机、前置过滤器等设备的选型与水电交底。 任职要求 图纸深化与交底： 绘制详细的给排水施工图（包括等电位联结、管道保温、排水坡度设计），并负责向施工队进行现场技术交底及验收。 专业背景： 给排水科学与工程、环境工程或相关专业，大专及以上学历。 经验要求： 2年以上家装或工装给排水设计经验，熟悉《建筑给水排水设计标准》及当地自来水公司/物业的接管要求。 软件技能： 熟练操作AutoCAD（天正给排水优先）、Office办公软件，能看懂建筑结构图。 核心能力： 具备极强的现场协调能力，能妥善处理水电工种交叉施工时的管线冲突问题。 工作地点 郴州北湖区君鑫物流城4栋38-45号伟星 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"方案设计,给水系统,排水系统,管道系统,水暖系统,水循环系统,AutoCAD",http://www.zhaopin.com/jobdetail/CC708535830J40865999307.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
汽车控制器系统工程师,东风电驱动系统有限公司,6000-10000元,襄阳·襄州区·东津镇,襄阳,本科,3-5年,7月26日,zhilian_direct,职位描述 控制器 嵌入式软件研发 ECU VCU BCM 英语4级及以上 1.负责汽车电子产品的需求定义、产品软件需求分析书撰写； 2.协助项目开发的组织与推进； 3.与客户就相关技术问题进行沟通，从产品最初设计到整个生命周期的维护、升级完善、技术支持与协作，包括市场、客户相关技术问题（需求）的同步支持、排查、解答； 4.编写项目文档及文档的维护管理，包括设计的流程、标准、规范、规划的制订，并协助完成相关产品的认证工作。 工作地点 襄阳襄州区东风电驱动系统有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"控制器,嵌入式软件研发,ECU,VCU,BCM,英语4级及以上",http://www.zhaopin.com/jobdetail/CC841112970J40947265508.htm?refcode=4019&srccode=401903&preactionid=640b1789-eef6-4344-8285-d3caefe8ecbe
